step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-actor/lr_step
134,1.7137501179048614e-06,8.242974646945513e-06
135,1.6984579801081127e-06,8.27659233810819e-06
136,1.745590220759851e-06,8.721808345750784e-06
137,1.7887411687897119e-06,8.871884366082634e-06
138,1.574377016168709e-06,7.65957248901914e-06
139,1.6107697177805456e-06,8.049743720453092e-06
140,1.7192133862118824e-06,8.778042774951878e-06
141,1.7187217704358155e-06,8.609929913720966e-06
142,1.6317233620902817e-06,8.093053856181583e-06
143,1.5893670110760778e-06,8.365418453741112e-06
144,1.6280248381613992e-06,8.364213847229855e-06
145,1.6797516860862655e-06,9.25328043842341e-06
146,1.6049132676080763e-06,8.588664463960868e-06
147,1.6869273102663883e-06,9.23803136444794e-06
148,1.650631364237518e-06,8.902127756269113e-06
149,1.5509227734162273e-06,8.435551963123619e-06
150,1.5134527070409541e-06,8.08723963217439e-06
151,1.5666044095037027e-06,8.584505129501427e-06
152,1.6143867773050578e-06,8.600979293112132e-06
153,1.5274767812859464e-06,8.344153771742976e-06
154,1.5329431533174213e-06,8.578837994594433e-06
155,1.538252627226392e-06,8.608479453431238e-06
156,1.5753227882861828e-06,8.802363489379736e-06
157,1.5210537575227034e-06,8.44136142575279e-06
158,1.5625182621253425e-06,8.449150387239806e-06
159,1.51370583578553e-06,8.37028379341762e-06
160,1.611819601482098e-06,8.996980389053436e-06
161,1.5199647068698198e-06,7.976207197432285e-06
162,1.4989076114361122e-06,7.854530515100142e-06
163,1.5530423857678336e-06,8.34838446933629e-06
164,1.5134552367343202e-06,8.135458693570744e-06
165,1.5118590109109776e-06,8.528365063248654e-06
166,1.528394332886031e-06,8.762476668061986e-06
167,1.4520904997973697e-06,8.44126451347011e-06
168,1.5216257832205873e-06,8.85006600061276e-06
169,1.471865057237621e-06,8.207608474147129e-06
170,1.4084986480008162e-06,8.216887117013238e-06
171,1.4525599274770922e-06,8.545653515589792e-06
172,1.4402729760409939e-06,8.244451421431378e-06
173,1.4486871992340704e-06,8.726718504960448e-06
174,1.4243775914970355e-06,8.86111449349105e-06
175,1.3667334097710038e-06,8.442392974585569e-06
176,1.4701502980826228e-06,8.987301158150344e-06
177,1.4358816996639011e-06,8.798943456239236e-06
178,1.4388794323846582e-06,8.819126270835056e-06
179,1.4353383560006048e-06,9.150221206087124e-06
180,1.384767181862998e-06,8.60534461527642e-06
181,1.3466236096896525e-06,8.497564474170748e-06
182,1.4670941509583162e-06,8.982909100166248e-06
183,1.3894488677842292e-06,8.476021041213898e-06
184,1.3678369625610868e-06,8.53669620481692e-06
185,1.384328706976812e-06,8.727442995307656e-06
186,1.4402017086377045e-06,9.090371852792152e-06
187,1.4042400257923545e-06,8.80110615155458e-06
188,1.4547830465638757e-06,9.660408291318702e-06
189,1.4355115214006134e-06,9.420246195258282e-06
190,1.3496757450329214e-06,8.589733149027162e-06
191,1.4391764003427441e-06,9.257015133548196e-06
192,1.3776592165161059e-06,9.225474750365906e-06
193,1.3517662904402287e-06,8.932525404114076e-06
194,1.3584701617592908e-06,8.844251669598519e-06
195,1.3526082385487626e-06,9.008311437552933e-06
196,1.4044977713776585e-06,9.319663513368228e-06
197,1.3966890000981368e-06,9.075746322027569e-06
198,1.3615954730817647e-06,8.621112598332862e-06
199,1.3993400610246216e-06,9.18466621089244e-06
200,1.2952545659971746e-06,8.667847597662135e-06
201,1.393737322460414e-06,9.104188371507023e-06
202,1.300975851595161e-06,8.94371787574385e-06
203,1.4180531148852553e-06,9.337030459002168e-06
204,1.4262375101149484e-06,9.627786149928016e-06
205,1.4169464697446617e-06,9.560906696050392e-06
206,1.4309859659777235e-06,9.65324156815106e-06
207,1.3697801248837886e-06,9.292660936251052e-06
208,1.3664921279633129e-06,9.31662579895617e-06
209,1.4058258688122338e-06,9.790088302254322e-06
210,1.4098040482568053e-06,9.78901514604902e-06
211,1.332153981351935e-06,9.290857160579952e-06
212,1.378892202547399e-06,9.624129292727466e-06
213,1.3813291959281822e-06,9.686334328012435e-06
214,1.3018353575792871e-06,9.476874080025563e-06
215,1.3036890842797255e-06,9.578920604208897e-06
216,1.3439408625528158e-06,9.555117165063409e-06
217,1.3320260055784463e-06,9.59774831250267e-06
218,1.3109830133903616e-06,9.683252813429408e-06
219,1.3772120886518765e-06,9.885135091171896e-06
220,1.298131996270911e-06,9.512089670636593e-06
221,1.3189981322541243e-06,9.816146498610659e-06
222,1.3321970363602249e-06,9.676273712501247e-06
223,1.310427270112377e-06,9.562640523080057e-06
224,1.3131661070493216e-06,9.713126674259319e-06
225,1.3337368891518325e-06,9.302817799558338e-06
226,1.3636864674056808e-06,9.972247321558057e-06
227,1.335661948536352e-06,9.96864201306373e-06
228,1.287160098540778e-06,9.621615893358344e-06
229,1.3332783375034106e-06,9.955282686765145e-06
230,1.326934361011734e-06,9.587621197175454e-06
231,1.311372019536781e-06,9.8239985937713e-06
232,1.3733232912095665e-06,9.970064186803816e-06
233,1.3622860013320829e-06,9.979832564176618e-06
234,1.2805266292456842e-06,9.479926155446275e-06
235,1.3816269347277594e-06,9.80332955229253e-06
236,1.3337898237542958e-06,9.82667751567736e-06
237,1.2685707074597654e-06,9.298389916858514e-06
238,1.2986567425885032e-06,9.698198060292064e-06
239,1.350691427150405e-06,9.678435318808024e-06
240,1.36844210196834e-06,9.961158371971113e-06
241,1.312212534715171e-06,9.62053803868705e-06
242,1.295849213738564e-06,9.73486546343182e-06
243,1.2790427973551568e-06,9.43034206330015e-06
244,1.342451206860682e-06,1e-05
245,1.2894784454584891e-06,9.563623058909609e-06
246,1.2988472422207709e-06,9.862632007593591e-06
247,1.2960034638859672e-06,9.856129322900164e-06
248,1.2772241200675503e-06,9.683728560977739e-06
249,1.268970181195823e-06,9.922500885848924e-06
250,1.343290038555246e-06,9.87508218861752e-06
251,1.3118703660295726e-06,9.788039522550978e-06
252,1.2129533615491075e-06,8.961560166862944e-06
253,1.3021539701706135e-06,9.827392807118014e-06
254,1.3053472744783904e-06,9.63863387073673e-06
255,1.2867913458121957e-06,9.657655249928124e-06
256,1.2891254088982445e-06,9.463435896320508e-06
257,1.254125595376384e-06,9.450055852914722e-06
258,1.2934623785257952e-06,9.763197388749856e-06
259,1.2501991943141272e-06,9.07369892033199e-06
260,1.279333766051669e-06,9.655351369930662e-06
261,1.311904794169613e-06,9.67754389834809e-06
262,1.276916779159412e-06,9.836638495380879e-06
263,1.2200692387033535e-06,9.310499608984584e-06
264,1.270757001488123e-06,9.590976309209634e-06
265,1.2553176050336269e-06,9.524598261260372e-06
266,1.2565429508032383e-06,9.933376120389308e-06
267,1.3096527801776981e-06,9.89424652028892e-06
268,1.2469835395403433e-06,9.731985559689497e-06
269,1.290387987228576e-06,9.523549379402776e-06
270,1.3184083548070523e-06,9.909220023749945e-06
271,1.2410999235479002e-06,9.595840417840104e-06
272,1.3054753701475598e-06,9.891203683639663e-06
273,1.2703356097740456e-06,9.76717645982535e-06
274,1.276323532809544e-06,9.768300762876959e-06
275,1.3235499036780609e-06,9.93356380716883e-06
276,1.2596364301178638e-06,9.626551166078632e-06
277,1.2706949320362568e-06,9.846717851577648e-06
278,1.3014205059858594e-06,1e-05
279,1.274837010606059e-06,9.766800666215399e-06
280,1.2499656644996697e-06,9.731906435663902e-06
281,1.3346444305225392e-06,9.992595633946422e-06
282,1.3088799892862908e-06,9.79005585904393e-06
283,1.2635554520994919e-06,9.609076753829718e-06
284,1.2273283012498016e-06,9.561107474916996e-06
285,1.1898918398375815e-06,9.341002229303914e-06
286,1.2418582972089746e-06,9.544526068328665e-06
287,1.2365052751864414e-06,9.600834461974223e-06
288,1.2585391705245064e-06,9.711994981411377e-06
289,1.2539141276981238e-06,9.708507066727666e-06
290,1.2338375496277824e-06,9.650545063689844e-06
291,1.2257315879165971e-06,9.304332179103422e-06
292,1.2411083458534098e-06,9.39614549364422e-06
293,1.2686445496993012e-06,9.483742432562193e-06
294,1.3058664293071572e-06,9.704124300503993e-06
295,1.2694022246024379e-06,9.35046667398784e-06
296,1.262867322482692e-06,9.526083597705488e-06
297,1.2410394496026376e-06,9.201387461381514e-06
298,1.2677070202624953e-06,9.554630811234552e-06
299,1.2334143811881185e-06,9.503315735206616e-06
300,1.2350777651627624e-06,9.324121019679047e-06
