step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr7.5e-6-response_length/mean_step
170,2644.1025390625,2690.244140625,2736.17578125
171,2627.01953125,2718.373046875,2666.095703125
172,2825.2646484375,2759.2451171875,2769.1572265625
173,2689.2841796875,2574.2685546875,2650.0439453125
174,2831.189453125,2778.9326171875,2791.203125
175,2694.5546875,2613.2431640625,2637.0322265625
176,2753.3056640625,2659.7490234375,2670.83984375
177,2787.6220703125,2647.359375,2563.12109375
178,3020.7958984375,2775.830078125,2812.640625
179,2897.4697265625,2675.8740234375,2665.802734375
180,2769.484375,2552.767578125,2551.041015625
181,2847.48046875,2635.169921875,2628.9296875
182,2930.228515625,2723.6767578125,2708.2568359375
183,2961.134765625,2740.7158203125,2768.2978515625
184,2798.3447265625,2597.677734375,2587.5791015625
185,2857.1806640625,2621.4541015625,2628.537109375
186,2806.7890625,2553.044921875,2520.7021484375
187,2822.306640625,2672.8486328125,2643.201171875
188,3049.1875,2945.9111328125,2771.2509765625
189,2856.0439453125,2755.94921875,2657.109375
190,2884.240234375,2743.72265625,2690.9501953125
191,2937.0234375,2818.7314453125,2694.13671875
192,2981.6591796875,2806.193359375,2734.220703125
193,2806.3369140625,2724.876953125,2632.61328125
194,2942.19140625,2791.79296875,2723.978515625
195,2813.078125,2631.8759765625,2674.5458984375
196,2811.6044921875,2625.9423828125,2594.7900390625
197,2702.876953125,2451.015625,2483.732421875
198,2906.2216796875,2711.169921875,2701.1513671875
199,2765.0400390625,2647.66015625,2638.935546875
200,2743.29296875,2642.470703125,2650.3408203125
201,2842.6708984375,2710.904296875,2685.08203125
202,2799.619140625,2735.671875,2692.2060546875
203,2748.7294921875,2680.9052734375,2639.73046875
204,2884.310546875,2742.6318359375,2718.7236328125
205,2729.240234375,2574.7822265625,2602.9404296875
206,2737.1884765625,2603.7646484375,2612.5
207,2656.015625,2512.3955078125,2520.333984375
208,2940.578125,2692.1318359375,2734.4658203125
209,2705.025390625,2604.828125,2591.0361328125
210,3000.8779296875,2769.798828125,2855.697265625
211,2782.158203125,2608.7255859375,2682.0830078125
212,2889.630859375,2640.4521484375,2718.701171875
213,2887.2607421875,2708.6064453125,2756.8740234375
214,2788.654296875,2574.1591796875,2710.994140625
215,2636.056640625,2492.443359375,2614.34765625
216,2628.3740234375,2467.2734375,2608.009765625
217,2718.7060546875,2503.5126953125,2681.0166015625
218,2857.2958984375,2615.9033203125,2894.240234375
219,2742.3251953125,2555.8671875,2744.1396484375
220,2650.689453125,2540.7490234375,2716.6953125
221,2652.82421875,2506.189453125,2721.078125
222,2806.724609375,2591.41796875,2816.1904296875
223,2632.755859375,2485.904296875,2735.7421875
224,2513.3095703125,2349.103515625,2642.8203125
225,2819.1357421875,2632.6181640625,2852.736328125
226,2703.7138671875,2560.3427734375,2770.140625
227,2738.845703125,2568.8681640625,2720.8974609375
228,2743.798828125,2548.2802734375,2804.8701171875
229,2987.6640625,2688.548828125,2855.90625
230,3031.6611328125,2745.0771484375,2922.8544921875
231,2886.560546875,2562.1552734375,2712.6416015625
232,2850.5908203125,2569.9326171875,2757.244140625
233,2890.3369140625,2572.064453125,2691.8408203125
234,2785.0771484375,2519.509765625,2610.50390625
235,2775.3984375,2508.279296875,2592.318359375
236,2711.8544921875,2476.736328125,2580.0439453125
237,2918.3271484375,2592.865234375,2729.5869140625
238,2832.7939453125,2524.2080078125,2546.4384765625
239,2820.720703125,2591.8583984375,2737.33203125
240,2695.4619140625,2465.69140625,2587.0947265625
241,2790.9814453125,2506.548828125,2622.119140625
242,2731.5537109375,2496.1201171875,2540.3232421875
243,2731.3779296875,2449.2041015625,2606.197265625
244,2602.634765625,2340.5126953125,2408.3603515625
245,2761.720703125,2512.9853515625,2573.5703125
246,2921.6328125,2650.734375,2690.6806640625
247,2634.0791015625,2429.9765625,2543.970703125
248,2628.9736328125,2430.21875,2507.2294921875
249,2694.0400390625,2472.154296875,2562.0595703125
250,2760.5146484375,2584.931640625,2726.4091796875
251,2714.5673828125,2454.994140625,2581.666015625
252,2836.1318359375,2631.533203125,2696.859375
253,2723.5361328125,2538.2841796875,2588.775390625
254,2605.984375,2345.8798828125,2458.53125
255,2694.1259765625,2527.8955078125,2593.44140625
256,2722.75,2519.4189453125,2580.7216796875
257,2711.0888671875,2643.5712890625,2622.7978515625
258,2735.662109375,2598.1376953125,2589.353515625
259,2776.935546875,2676.431640625,2650.3662109375
260,2783.4345703125,2679.40234375,2612.212890625
261,2746.4580078125,2665.5283203125,2559.1923828125
262,2755.02734375,2684.8291015625,2555.1064453125
263,2890.7412109375,2794.8876953125,2613.6533203125
264,2872.0615234375,2753.7802734375,2664.9541015625
265,2875.9990234375,2848.2158203125,2625.240234375
266,2846.01953125,2796.0703125,2570.5498046875
267,2791.6376953125,2657.787109375,2415.0185546875
268,2623.25390625,2453.4375,2300.95703125
269,2745.33984375,2601.091796875,2338.5
270,2850.96875,2682.515625,2414.3154296875
271,2903.314453125,2745.9111328125,2383.97265625
272,2895.3984375,2791.494140625,2390.9267578125
273,2797.2265625,2631.1875,2242.12109375
274,2782.99609375,2636.55859375,2224.6044921875
275,2857.8056640625,2669.8203125,2287.1044921875
276,2864.330078125,2692.21484375,2342.1142578125
277,3076.2060546875,2826.08984375,2379.345703125
278,2939.421875,2708.6865234375,2263.6435546875
279,2942.1806640625,2682.5927734375,2265.4384765625
280,2976.4599609375,2766.896484375,2336.576171875
281,2908.03515625,2688.7724609375,2270.2509765625
282,2814.966796875,2522.5029296875,2154.8515625
283,3081.3828125,2892.849609375,2449.482421875
284,3023.9638671875,2791.7900390625,2418.607421875
285,2728.9619140625,2491.2939453125,2188.3623046875
286,3154.3310546875,2904.751953125,2510.6279296875
287,3044.0712890625,2825.6416015625,2456.4833984375
288,2930.2314453125,2705.5888671875,2367.921875
289,3128.15625,2780.4287109375,2457.158203125
290,2938.564453125,2602.478515625,2385.8720703125
291,2965.65625,2673.7822265625,2444.6728515625
292,2862.01171875,2588.8623046875,2324.2705078125
293,2851.369140625,2621.736328125,2375.708984375
294,2979.67578125,2711.6416015625,2503.25390625
295,2752.185546875,2510.69140625,2304.7880859375
296,2929.7470703125,2662.0390625,2534.1923828125
297,3030.92578125,2773.1171875,2679.38671875
298,2952.0615234375,2645.71484375,2616.921875
299,2822.19921875,2537.6357421875,2543.16796875
300,2917.890625,2650.189453125,2582.7822265625
