step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-critic/advantages/mean_step
22,-0.08277641236782074,-0.07972346991300583,-0.051575917750597,-0.19393067061901093,-0.19265097379684448,-0.16276815533638
23,-0.0664815604686737,-0.07149606943130493,-0.05147158354520798,-0.17552585899829865,-0.16680796444416046,-0.19764293730258944
24,-0.04491909593343735,-0.06192228943109512,-0.06225062161684036,-0.18394368886947632,-0.17930413782596588,-0.15653352439403534
25,-0.03455275297164917,-0.06756334751844406,-0.07492097467184067,-0.15920819342136383,-0.1864650845527649,-0.17885249853134155
26,-0.07067170739173889,-0.07725997269153595,-0.06675510853528976,-0.16408734023571014,-0.14429202675819397,-0.16161681711673737
27,-0.06714331358671188,-0.0674235001206398,-0.05851791054010391,-0.1821262389421463,-0.1572490632534027,-0.17562904953956604
28,-0.06349757313728333,-0.049305327236652374,-0.06296992301940918,-0.19198104739189148,-0.13936468958854675,-0.15758606791496277
29,-0.0304395854473114,-0.07052683085203171,-0.05924352258443832,-0.17657199501991272,-0.16382741928100586,-0.16012054681777954
30,-0.061022840440273285,-0.0730527862906456,-0.06117020174860954,-0.13756906986236572,-0.1488475650548935,-0.15688292682170868
31,-0.08334987610578537,-0.05506233498454094,-0.0681314691901207,-0.14813536405563354,-0.14259755611419678,-0.1421484500169754
32,-0.06947178393602371,-0.056428007781505585,-0.06093903258442879,-0.14973419904708862,-0.0979401096701622,-0.14709292352199554
33,-0.03937360271811485,-0.07102804630994797,-0.06212802976369858,-0.15324175357818604,-0.0926496759057045,-0.12192301452159882
34,-0.07197152823209763,-0.06657306104898453,-0.06039656326174736,-0.12560856342315674,-0.08692407608032227,-0.10312063246965408
35,-0.06808105856180191,-0.06556782126426697,-0.06239694729447365,-0.1309453845024109,-0.11293146759271622,-0.08741471916437149
36,-0.05903054028749466,-0.07331688702106476,-0.08256234973669052,-0.0990169420838356,-0.08867936581373215,-0.11394365131855012
37,-0.05191454291343689,-0.06481269001960754,-0.047825440764427185,-0.13172489404678345,-0.08644597977399826,-0.10051047056913376
38,-0.0633876770734787,-0.057052768766880035,-0.05103899538516998,-0.08551205694675446,-0.10480638593435287,-0.08067836612462997
39,-0.09308997541666032,-0.07927264273166656,-0.05360550060868263,-0.10210853815078735,-0.10728075355291368,-0.0795331597328186
40,-0.09228359162807465,-0.05338188633322716,-0.06332014501094818,-0.11428730934858322,-0.10165717452764512,-0.0740288570523262
41,-0.06515625864267349,-0.05264638736844063,-0.06829486787319183,-0.09348288178443909,-0.1039930209517479,-0.06763888150453568
42,-0.05681652948260307,-0.0601983405649662,-0.08225640654563904,-0.10546128451824188,-0.0631246268749237,-0.08927907794713974
43,-0.05653955787420273,-0.062215931713581085,-0.0914142280817032,-0.06398569047451019,-0.10592404007911682,-0.12040002644062042
44,-0.0729752704501152,-0.04895002022385597,-0.07391224801540375,-0.09719554334878922,-0.09348855912685394,-0.10003362596035004
45,-0.08190467208623886,-0.05263765901327133,-0.07063855230808258,-0.07399362325668335,-0.09374780207872392,-0.10146133601665495
46,-0.09850616008043288,-0.048402223736047745,-0.05327700823545456,-0.07113098353147507,-0.11197744309902193,-0.06434904038906097
47,-0.05522628873586655,-0.0352088063955307,-0.05123056843876839,-0.05952904373407364,-0.0887366235256195,-0.09314287453889848
48,-0.04931749776005745,-0.06998250633478165,-0.07615415751934052,-0.07158920913934708,-0.06803726404905319,-0.06715165823698044
49,-0.06443005055189133,-0.058253854513168335,-0.05847914516925812,-0.08073905855417252,-0.07558279484510422,-0.06296668946743011
50,-0.07297630608081818,-0.0583922266960144,-0.030845865607261658,-0.0830225944519043,-0.06617379933595657,-0.03919345885515213
51,-0.09922049194574356,-0.07043176144361496,-0.05327991396188736,-0.06774522364139557,-0.09082483500242232,-0.08904743939638138
52,-0.08023397624492645,-0.0512179471552372,-0.06565826386213303,-0.0667441114783287,-0.06959467381238937,-0.06511423736810684
53,-0.08232840150594711,-0.06449294835329056,-0.059378478676080704,-0.07044706493616104,-0.10603629052639008,-0.04532169550657272
54,-0.06157006323337555,-0.05874527618288994,-0.04442059248685837,-0.06409599632024765,-0.06460864096879959,-0.08216101676225662
55,-0.06920979171991348,-0.060426853597164154,-0.06291327625513077,-0.06923666596412659,-0.08400431275367737,-0.07806220650672913
56,-0.08808618783950806,-0.05888349562883377,-0.08222190290689468,-0.07447797060012817,-0.08522370457649231,-0.07823445647954941
57,-0.07994359731674194,-0.047322969883680344,-0.0641346201300621,-0.08401414752006531,-0.06383423507213593,-0.08770802617073059
58,-0.06286972016096115,-0.07804234325885773,-0.05310023948550224,-0.07587262243032455,-0.0850038230419159,-0.084879569709301
59,-0.07040246576070786,-0.05540244281291962,-0.03612139821052551,-0.10684185475111008,-0.0602860189974308,-0.07665879279375076
60,-0.07908765226602554,-0.0419490821659565,-0.028879862278699875,-0.07114695012569427,-0.06660119444131851,-0.07281780987977982
61,-0.07668112963438034,-0.06282860785722733,-0.06079243868589401,-0.06335630267858505,-0.09035172313451768,-0.07750923186540604
62,-0.08059684187173843,-0.0535375215113163,-0.05565883591771126,-0.08201710879802704,-0.07426438480615616,-0.09786885976791382
63,-0.07012777775526047,-0.07417812198400497,-0.04175560921430588,-0.10425672680139542,-0.06606332957744598,-0.11439255625009535
64,-0.08107185363769531,-0.051790330559015274,-0.042753592133522034,-0.08129080384969711,-0.07079360634088516,-0.06094418093562126
65,-0.06985769420862198,-0.06619977205991745,-0.06106336787343025,-0.08651400357484818,-0.06415580958127975,-0.06220545247197151
66,-0.09762735664844512,-0.06453530490398407,-0.05287642031908035,-0.07030799984931946,-0.06362630426883698,-0.0767369344830513
67,-0.05934848636388779,-0.08006706088781357,-0.05550194904208183,-0.044504351913928986,-0.05462305620312691,-0.07775253057479858
68,-0.065433070063591,-0.06212521716952324,-0.06277462095022202,-0.096995510160923,-0.08110522478818893,-0.0861213356256485
69,-0.04271328076720238,-0.0587407723069191,-0.06094039976596832,-0.06510887295007706,-0.07950521260499954,-0.07878389954566956
70,-0.04500230774283409,-0.07186979055404663,-0.04431939125061035,-0.03994902968406677,-0.07239072024822235,-0.07987815886735916
71,-0.06336747854948044,-0.061231713742017746,-0.041566893458366394,-0.06138473376631737,-0.07689090073108673,-0.05527079850435257
72,-0.05602113530039787,-0.05952901393175125,-0.07126365602016449,-0.050162870436906815,-0.06081174314022064,-0.12035173922777176
73,-0.05193397030234337,-0.07879064977169037,-0.06416460126638412,-0.04533115774393082,-0.08598512411117554,-0.07990116626024246
74,-0.06584635376930237,-0.06258465349674225,-0.0562724843621254,-0.0643477663397789,-0.06480296701192856,-0.08192761987447739
75,-0.06695150583982468,-0.04902893304824829,-0.07237228751182556,-0.07985240966081619,-0.09067477285861968,-0.0879121869802475
76,-0.04268733784556389,-0.05979408323764801,-0.04304433986544609,-0.07684563845396042,-0.06206785887479782,-0.06039867550134659
77,-0.0467015765607357,-0.06545893102884293,-0.05915962532162666,-0.07688233256340027,-0.06912235915660858,-0.09105578809976578
78,-0.06128636375069618,-0.06559808552265167,-0.04667585343122482,-0.07627920806407928,-0.044490475207567215,-0.050507623702287674
79,-0.06419659405946732,-0.04272964969277382,-0.053964439779520035,-0.07706398516893387,-0.057392146438360214,-0.053796302527189255
80,-0.08601771295070648,-0.04675615206360817,-0.06176454573869705,-0.1172626093029976,-0.06529855728149414,-0.05448172986507416
81,-0.03938620537519455,-0.04532749950885773,-0.051927343010902405,-0.06291235238313675,-0.034015536308288574,-0.053141627460718155
82,-0.052186671644449234,-0.0648152083158493,-0.05107713490724563,-0.07552947103977203,-0.04835788160562515,-0.052246954292058945
83,-0.04551536962389946,-0.0616704523563385,-0.05264503136277199,-0.05751330778002739,-0.08124920725822449,-0.07330995798110962
84,-0.05426117777824402,-0.06258116662502289,-0.0464232936501503,-0.1095377430319786,-0.0619710311293602,-0.07329867035150528
85,-0.033861491829156876,-0.052985887974500656,-0.05991090089082718,-0.06578563153743744,-0.03635401278734207,-0.08245564252138138
86,-0.04859308525919914,-0.05425293743610382,-0.04822801053524017,-0.0720226988196373,-0.08142448216676712,-0.08709258586168289
87,-0.05619265139102936,-0.034520868211984634,-0.0496668741106987,-0.07282248884439468,-0.0660104975104332,-0.06327559798955917
88,-0.06219042465090752,-0.03641865774989128,-0.05321894958615303,-0.08115488290786743,-0.06629250198602676,-0.0730966329574585
89,-0.04904034361243248,-0.06215232238173485,-0.04294939339160919,-0.08846452087163925,-0.07227456569671631,-0.06788202375173569
90,-0.03923852741718292,-0.03462062403559685,-0.06525342911481857,-0.0606333427131176,-0.06921403855085373,-0.06218675896525383
91,-0.05925858020782471,-0.05916516482830048,-0.04219362139701843,-0.07365085184574127,-0.08805351704359055,-0.06047777086496353
92,-0.05475492030382157,-0.05807153880596161,-0.041025273501873016,-0.0702495351433754,-0.06121329218149185,-0.06747293472290039
93,-0.06582466512918472,-0.04792437329888344,-0.05225483328104019,-0.06154880300164223,-0.07480434328317642,-0.060967087745666504
94,-0.04677163437008858,-0.05222714319825173,-0.05414009839296341,-0.054377056658267975,-0.07059367746114731,-0.056299373507499695
95,-0.059504684060812,-0.05566154047846794,-0.09629643708467484,-0.05591242015361786,-0.05599099397659302,-0.06866243481636047
96,-0.04308311268687248,-0.05198825150728226,-0.08166377246379852,-0.06505168229341507,-0.031601566821336746,-0.06692344695329666
97,-0.06663689762353897,-0.05643662065267563,-0.04591163620352745,-0.06037190556526184,-0.05869169160723686,-0.04979744553565979
98,-0.06214893236756325,-0.052742473781108856,-0.07817274332046509,-0.0563187375664711,-0.06684121489524841,-0.0506412610411644
99,-0.06251800060272217,-0.04709789529442787,-0.04800022765994072,-0.04438043013215065,-0.040433090180158615,-0.07396955043077469
100,-0.04999798163771629,-0.04091541096568107,-0.06204749271273613,-0.058870162814855576,-0.07022454589605331,-0.06836992502212524
101,-0.0742853581905365,-0.05801220238208771,-0.05137166753411293,-0.06993981450796127,-0.08073419332504272,-0.04568689689040184
102,-0.08041375875473022,-0.03960329666733742,-0.07127928733825684,-0.05599629506468773,-0.05277195945382118,-0.07619763910770416
103,-0.05439010262489319,-0.0450952909886837,-0.06613682210445404,-0.05043822526931763,-0.04539144039154053,-0.07544811069965363
104,-0.05737036466598511,-0.03151995316147804,-0.048641711473464966,-0.0540824830532074,-0.049892913550138474,-0.062225524336099625
105,-0.07018867880105972,-0.05630524083971977,-0.07481938600540161,-0.060153719037771225,-0.08668220043182373,-0.08037413656711578
106,-0.05947966128587723,-0.05471368879079819,-0.060727644711732864,-0.06834837794303894,-0.06130693852901459,-0.06941168010234833
107,-0.06963655352592468,-0.03796504810452461,-0.06470569223165512,-0.05478956550359726,-0.05809658765792847,-0.04518473520874977
108,-0.08081477135419846,-0.04239574819803238,-0.05597585812211037,-0.05532827600836754,-0.08102911710739136,-0.0775521770119667
109,-0.05359463766217232,-0.04910637065768242,-0.06509894877672195,-0.04938063770532608,-0.05693136528134346,-0.06882713735103607
110,-0.06849896162748337,-0.05872114002704621,-0.04313687980175018,-0.04004063084721565,-0.06600867956876755,-0.06005452200770378
111,-0.08025005459785461,-0.042599644511938095,-0.051305171102285385,-0.05849091708660126,-0.06456027925014496,-0.06536446511745453
112,-0.0598880872130394,-0.05423771962523461,-0.04451374709606171,-0.04651926830410957,-0.06799621134996414,-0.061757564544677734
113,-0.07053171098232269,-0.0520997941493988,-0.05872224643826485,-0.04830527305603027,-0.07434964925050735,-0.06491740047931671
114,-0.06775835156440735,-0.04679522290825844,-0.06689895689487457,-0.06117475405335426,-0.05959934741258621,-0.06881119310855865
115,-0.07878394424915314,-0.048251502215862274,-0.06943868100643158,-0.055244505405426025,-0.061790019273757935,-0.09092389792203905
116,-0.06565601378679276,-0.050593480467796326,-0.044577863067388535,-0.06976509839296341,-0.06323670595884323,-0.07023272663354874
117,-0.05866137519478798,-0.04733887314796448,-0.05269397795200348,-0.04473282024264336,-0.0707499086856842,-0.07906898856163025
118,-0.07479226589202881,-0.04645773768424988,-0.06081840768456459,-0.05939117819070816,-0.06092726811766625,-0.0630216896533966
119,-0.0505695566534996,-0.06112807244062424,-0.05212736129760742,-0.054594218730926514,-0.05968443676829338,-0.05780443176627159
120,-0.0719509944319725,-0.03571736812591553,-0.06171005964279175,-0.05354710668325424,-0.05798479914665222,-0.057030089199543
121,-0.06468918174505234,-0.03836088627576828,-0.06146332994103432,-0.06660278886556625,-0.04686145856976509,-0.06091771274805069
122,-0.06620573252439499,-0.05264567583799362,-0.05722678080201149,-0.0382852666079998,-0.03536657243967056,-0.05140313133597374
123,-0.05450444668531418,-0.04961274191737175,-0.048395223915576935,-0.06684500724077225,-0.056625332683324814,-0.051412515342235565
124,-0.06416305899620056,-0.07397951930761337,-0.05435900017619133,-0.05640207231044769,-0.06581128388643265,-0.05387786030769348
125,-0.053947120904922485,-0.06138559430837631,-0.04995148256421089,-0.07149281352758408,-0.05539902299642563,-0.04454676061868667
126,-0.05079469084739685,-0.04822832345962525,-0.06346770375967026,-0.052482303231954575,-0.05464654788374901,-0.05930453911423683
127,-0.03693404421210289,-0.0694427490234375,-0.02783767506480217,-0.06653992831707001,-0.05413581058382988,-0.05246482044458389
128,-0.04651854932308197,-0.04863126203417778,-0.04701418057084083,-0.04682000353932381,-0.034921880811452866,-0.04532370716333389
129,-0.05094458535313606,-0.04422737658023834,-0.04643619433045387,-0.06395388394594193,-0.06723004579544067,-0.04949412867426872
130,-0.06734175980091095,-0.04341748356819153,-0.04323789104819298,-0.05850062146782875,-0.05880047380924225,-0.047396235167980194
131,-0.04460565000772476,-0.06158485636115074,-0.03594084456562996,-0.08105773478746414,-0.06630314141511917,-0.05567376688122749
132,-0.03656376525759697,-0.03723269701004028,-0.058979712426662445,-0.06179587543010712,-0.06525101512670517,-0.074531190097332
133,-0.04793477803468704,-0.04496410861611366,-0.04651912301778793,-0.060317546129226685,-0.057650741189718246,-0.06348417699337006
134,-0.03422477841377258,-0.03801843151450157,-0.05488318204879761,-0.049971770495176315,-0.0429382398724556,-0.04595727473497391
135,-0.048959504812955856,-0.04870124161243439,-0.0660073384642601,-0.061496853828430176,-0.03931297734379768,-0.07322387397289276
136,-0.045681118965148926,-0.04815296828746796,-0.04206562042236328,-0.04461326077580452,-0.050675585865974426,-0.032487060874700546
137,-0.0279123205691576,-0.060573823750019073,-0.05834066495299339,-0.06039196625351906,-0.05307466164231301,-0.05861729010939598
138,-0.04654572531580925,-0.035929545760154724,-0.036238931119441986,-0.06724637746810913,-0.049924176186323166,-0.06269494444131851
139,-0.059955205768346786,-0.03899358585476875,-0.05094685032963753,-0.05234985053539276,-0.05036149173974991,-0.05355629324913025
140,-0.03731128200888634,-0.0414215549826622,-0.04770839586853981,-0.06154616549611091,-0.03449396789073944,-0.06085837632417679
141,-0.07094039767980576,-0.05207862704992294,-0.051205459982156754,-0.060939230024814606,-0.05782857537269592,-0.05601975694298744
142,-0.04994736611843109,-0.04359104484319687,-0.0458219051361084,-0.07007528841495514,-0.05269439518451691,-0.059156402945518494
143,-0.03531830385327339,-0.05011266469955444,-0.03969263285398483,-0.047688767313957214,-0.028561696410179135,-0.03444880247116089
144,-0.04681500419974327,-0.04874920845031738,-0.035398878157138824,-0.058377888053655624,-0.037030890583992,-0.05739501491189003
145,-0.036836735904216766,-0.03361255303025246,-0.04626741632819176,-0.0411614291369915,-0.035667188465595245,-0.040622226893901825
146,-0.05094796046614647,-0.053302839398384094,-0.030605634674429893,-0.04313264042139053,-0.05338501185178757,-0.045404285192489624
147,-0.0430651530623436,-0.025085987523198128,-0.050384875386953354,-0.05070028454065323,-0.03481384366750717,-0.064043790102005
148,-0.0489167720079422,-0.03623553365468979,-0.050054460763931274,-0.09225547313690186,-0.03536246344447136,-0.058899521827697754
149,-0.042395200580358505,-0.034253112971782684,-0.049564339220523834,-0.07361025363206863,-0.03054027073085308,-0.06261365860700607
150,-0.0784187912940979,-0.04228368401527405,-0.04448296129703522,-0.06408990919589996,-0.04043057933449745,-0.04691047593951225
151,-0.041833098977804184,-0.031462959945201874,-0.04023987427353859,-0.060802072286605835,-0.027974961325526237,-0.062196388840675354
152,-0.05003587529063225,-0.047813113778829575,-0.031822942197322845,-0.05428479611873627,-0.0445391945540905,-0.04204956069588661
153,-0.05408204346895218,-0.03398680314421654,-0.0514180026948452,-0.06923943758010864,-0.05430464819073677,-0.06432003527879715
154,-0.041995249688625336,-0.03440089151263237,-0.04201686754822731,-0.04887282848358154,-0.012035833671689034,-0.04610743373632431
155,-0.05799819901585579,-0.04861743748188019,-0.042417578399181366,-0.04179946333169937,-0.04719115421175957,-0.06406664848327637
156,-0.04686790704727173,-0.036379050463438034,-0.04848366603255272,-0.0387585312128067,-0.030248960480093956,-0.057883452624082565
157,-0.0487016886472702,-0.06511283665895462,-0.05356341600418091,-0.046846795827150345,-0.03790559619665146,-0.08291910588741302
158,-0.05179421603679657,-0.048751868307590485,-0.048442043364048,-0.02535646036267281,-0.014743402600288393,-0.0784316211938858
159,-0.05157332867383957,-0.07800621539354324,-0.03826860710978508,-0.03499612957239151,-0.051531724631786346,-0.050860464572906494
160,-0.05872805416584015,-0.058536168187856674,-0.06316041201353073,-0.03518463298678398,-0.04007355496287346,-0.0651429072022438
161,-0.033149268478155136,-0.047577496618032455,-0.0469607338309288,-0.049489825963974,-0.04751082882285118,-0.04557297006249428
162,-0.053970180451869965,-0.04968776926398277,-0.03853472322225571,-0.05165591835975647,-0.04815661907196045,-0.05949543416500091
163,-0.05092911794781685,-0.05439264699816704,-0.04634128883481026,-0.057985980063676834,-0.05698014423251152,-0.05442316457629204
164,-0.048074617981910706,-0.04310841113328934,-0.04633490741252899,-0.06205036491155624,-0.06140542775392532,-0.043971799314022064
165,-0.0424053780734539,-0.04412709176540375,-0.04352743178606033,-0.05004454031586647,-0.02719736844301224,-0.0532856248319149
166,-0.04170277714729309,-0.05512426421046257,-0.04573928192257881,-0.03808148577809334,-0.04659304767847061,-0.05533742904663086
167,-0.04318273067474365,-0.03892084956169128,-0.05237439647316933,-0.06294670701026917,-0.053712181746959686,-0.050943996757268906
168,-0.030783869326114655,-0.05328373238444328,-0.05746152251958847,-0.0554732009768486,-0.06407520174980164,-0.04801203683018685
169,-0.029284248128533363,-0.059038303792476654,-0.05109217017889023,-0.046542081981897354,-0.05397951975464821,-0.061188165098428726
170,-0.05272392928600311,-0.06380784511566162,-0.03151727467775345,-0.03909388557076454,-0.04783855006098747,-0.03339255601167679
171,-0.051825180649757385,-0.05609550327062607,-0.05232583358883858,-0.02942088432610035,-0.034405797719955444,-0.0612654946744442
172,-0.050791140645742416,-0.04905229806900024,-0.030786992982029915,-0.04259523004293442,-0.04829571768641472,-0.0381600558757782
173,-0.04054286703467369,-0.07782669365406036,-0.05540981888771057,-0.05134691298007965,-0.06797508895397186,-0.03722972050309181
174,-0.03667217865586281,-0.05461925640702248,-0.03973809257149696,-0.04689537733793259,-0.05125434696674347,-0.05512426793575287
175,-0.046898722648620605,-0.04660703241825104,-0.02829255349934101,-0.03848252445459366,-0.046028364449739456,-0.027936358004808422
176,-0.02595563605427742,-0.0496542789041996,-0.042305078357458115,-0.04874347150325775,-0.053617093712091446,-0.017598513513803482
177,-0.04233938455581665,-0.0664987787604332,-0.038164172321558,-0.05001172050833702,-0.04578967019915581,-0.030274687334895137
178,-0.03710957616567612,-0.05817785486578941,-0.05953550338745117,-0.032761070877313614,-0.05645052716135979,-0.04528774693608284
179,-0.03260667622089386,-0.04932859539985657,-0.0521678701043129,-0.04081496223807335,-0.05683417618274689,-0.04620892554521561
180,-0.047664329409599304,-0.03535192832350731,-0.07779354602098465,-0.06435073912143707,-0.053146861493587494,-0.06965626031160355
181,-0.04954346641898155,-0.05732233077287674,-0.057405900210142136,-0.05573076754808426,-0.0523824580013752,-0.04358427971601486
182,-0.04314699023962021,-0.04698005691170693,-0.03992318361997605,-0.04662211239337921,-0.049895528703927994,-0.0464937761425972
183,-0.05975792929530144,-0.04648343473672867,-0.023257914930582047,-0.05406157299876213,-0.05037842318415642,-0.02627931721508503
184,-0.03893266245722771,-0.04044749587774277,-0.03452076390385628,-0.04144107922911644,-0.047569390386343,-0.03736014291644096
185,-0.04227692633867264,-0.028340594843029976,-0.04754707217216492,-0.04352812096476555,-0.05069444701075554,-0.04271144419908523
186,-0.023534130305051804,-0.044947851449251175,-0.05733420699834824,-0.04018839821219444,-0.06423211842775345,-0.06046892330050469
187,-0.0344340056180954,-0.041262224316596985,-0.05015603452920914,-0.04918334633111954,-0.04064883291721344,-0.031988874077796936
188,-0.04425650089979172,-0.027424966916441917,-0.04619622975587845,-0.04156006872653961,-0.04038646072149277,-0.05685950815677643
189,-0.04150959849357605,-0.04846346005797386,-0.05050324648618698,-0.04487348347902298,-0.0658382922410965,-0.05443491041660309
190,-0.042217809706926346,-0.0240897536277771,-0.04544060677289963,-0.036410849541425705,-0.060395047068595886,-0.06455779075622559
191,-0.06404874473810196,-0.03477740287780762,-0.046359702944755554,-0.05278179049491882,-0.06280567497015,-0.05743556097149849
192,-0.04889822378754616,-0.03565119951963425,-0.06681814044713974,-0.06078279018402099,-0.03906675800681114,-0.0816022977232933
193,-0.0410887748003006,-0.051220186054706573,-0.058718014508485794,-0.05637434870004654,-0.06273289769887924,-0.05352973937988281
194,-0.04472140222787857,-0.04035352170467377,-0.04412555322051048,-0.0433678962290287,-0.05835900083184242,-0.05677030235528946
195,-0.037061210721731186,-0.0320180281996727,-0.04278327152132988,-0.0506022684276104,-0.051801323890686035,-0.049698326736688614
196,-0.04355251416563988,-0.037417177110910416,-0.037335414439439774,-0.036084212362766266,-0.04160624369978905,-0.043812647461891174
197,-0.04426918178796768,-0.034975290298461914,-0.050711147487163544,-0.022749552503228188,-0.07105088233947754,-0.033364761620759964
198,-0.04973575472831726,-0.054706472903490067,-0.03866540268063545,-0.058700304478406906,-0.0850672498345375,-0.03196687251329422
199,-0.04075222089886665,-0.029611807316541672,-0.03221260756254196,-0.05333225801587105,-0.06942933797836304,-0.06777637451887131
200,-0.03157351538538933,-0.039146412163972855,-0.055093299597501755,-0.038930296897888184,-0.05516333132982254,-0.03942785784602165
201,-0.030331913381814957,-0.036596447229385376,-0.052611611783504486,-0.05688897147774696,-0.04749264940619469,-0.04666084423661232
202,-0.010065742768347263,-0.04181215539574623,-0.04876208305358887,-0.03786024823784828,-0.07258926331996918,-0.04552004486322403
203,-0.02730043418705463,-0.04127892851829529,-0.057981036603450775,-0.047531019896268845,-0.07295503467321396,-0.04731209576129913
204,-0.026098676025867466,-0.05418872460722923,-0.06594504415988922,-0.04530002176761627,-0.05538375675678253,-0.047958508133888245
205,-0.04291503503918648,-0.05472056567668915,-0.0397573746740818,-0.08099609613418579,-0.06752079725265503,-0.030772071331739426
206,-0.039238568395376205,-0.04376048967242241,-0.050478558987379074,-0.05649193003773689,-0.05528849735856056,-0.07043703645467758
207,-0.034300945699214935,-0.046208206564188,-0.053735874593257904,-0.059486277401447296,-0.05639548599720001,-0.06383073329925537
208,-0.0362427718937397,-0.05846025422215462,-0.05072573199868202,-0.046456847339868546,-0.07020311802625656,-0.06831099092960358
209,-0.035829100757837296,-0.06248525157570839,-0.05140643194317818,-0.054522719234228134,-0.06651818752288818,-0.0660066306591034
210,-0.027697617188096046,-0.04070867598056793,-0.05801127478480339,-0.03327556699514389,-0.0408792570233345,-0.0662621408700943
211,-0.04435041919350624,-0.056419748812913895,-0.03304634243249893,-0.04554753750562668,-0.057662542909383774,-0.05582517012953758
212,-0.049967169761657715,-0.06645134836435318,-0.0507863350212574,-0.05527438968420029,-0.0796450674533844,-0.05964193120598793
213,-0.04265272244811058,-0.05609339475631714,-0.0650160014629364,-0.04815758392214775,-0.06228699907660484,-0.061799466609954834
214,-0.03665536642074585,-0.03669587895274162,-0.030542340129613876,-0.04292901232838631,-0.058560796082019806,-0.035631708800792694
215,-0.03282792866230011,-0.04783939942717552,-0.05242696776986122,-0.05383852496743202,-0.06252509355545044,-0.06285780668258667
