step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-critic/score/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-critic/score/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-critic/score/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-critic/score/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-critic/score/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-critic/score/mean_step
34,-0.1876063346862793,-0.09130072593688963,-0.16856789588928223,-0.26840639114379883,-0.2573051452636719,-0.3094301223754883
35,-0.20774340629577637,-0.12304449081420898,-0.18347597122192383,-0.25388550758361816,-0.3201611042022705,-0.2566704750061035
36,-0.19371533393859863,-0.1275935173034668,-0.1859285831451416,-0.24360013008117676,-0.26248884201049805,-0.27948760986328125
37,-0.1900951862335205,-0.12823128700256348,-0.191112756729126,-0.270188570022583,-0.2650117874145508,-0.24892401695251465
38,-0.15348577499389648,-0.020377635955810547,-0.08430171012878418,-0.17567133903503418,-0.1923513412475586,-0.15151715278625488
39,-0.19614458084106445,-0.09686923027038574,-0.20003747940063477,-0.23167920112609863,-0.1951136589050293,-0.24304747581481936
40,-0.2596762180328369,-0.0406041145324707,-0.19193792343139648,-0.275463342666626,-0.2054750919342041,-0.17917680740356445
41,-0.29927730560302734,-0.12338924407958984,-0.19968318939208984,-0.3067936897277832,-0.2258007526397705,-0.2407224178314209
42,-0.2160203456878662,-0.0602259635925293,-0.2054605484008789,-0.26638174057006836,-0.181873083114624,-0.21468186378479004
43,-0.12838315963745117,-0.06428146362304688,-0.10907697677612305,-0.18360042572021484,-0.1741020679473877,-0.16953468322753906
44,-0.1632852554321289,-0.14360666275024414,-0.2319674491882324,-0.28128695487976074,-0.2272181510925293,-0.22615432739257812
45,-0.10298299789428712,0.002986431121826172,-0.24365687370300293,-0.21247029304504397,-0.08820199966430664,-0.3119029998779297
46,-0.0933995246887207,-0.08038020133972168,-0.2389740943908691,-0.15436959266662598,-0.2259559631347656,-0.19859862327575684
47,-0.09338998794555664,-0.04942488670349121,-0.1528830528259277,-0.1599729061126709,-0.13966941833496094,-0.1570117473602295
48,-0.1331009864807129,-0.09430241584777832,-0.11218595504760742,-0.2283458709716797,-0.15201282501220703,-0.12207484245300292
49,-0.07373595237731934,-0.1542682647705078,-0.2017385959625244,-0.22429132461547852,-0.2374722957611084,-0.2023603916168213
50,-0.22638607025146484,-0.18360519409179688,-0.12797880172729492,-0.2829444408416748,-0.26594018936157227,-0.1770462989807129
51,-0.03632164001464844,-0.07611775398254395,0.020992755889892575,-0.11232781410217284,-0.204634428024292,0.011734962463378906
52,-0.00644230842590332,-0.08657455444335938,-0.010967254638671877,-0.1293962001800537,-0.2077240943908691,-0.060246944427490234
53,-0.1269545555114746,-0.1782526969909668,-0.09569859504699708,-0.2142469882965088,-0.2598989009857178,-0.12586116790771484
54,-0.10662007331848145,-0.17098045349121094,-0.2021384239196777,-0.1849229335784912,-0.21163249015808103,-0.19839930534362793
55,-0.08507490158081055,-0.07747316360473633,-0.27976155281066895,-0.1393122673034668,-0.11165523529052734,-0.25905728340148926
56,-0.10496807098388672,-0.0693051815032959,-0.2497007846832275,-0.0919332504272461,-0.16308927536010742,-0.21585702896118164
57,-0.12643074989318848,-0.09584999084472656,-0.06546974182128906,-0.1971731185913086,-0.18731188774108887,-0.04512286186218262
58,-0.1295304298400879,-0.006486177444458008,-0.28873634338378906,-0.2247750759124756,-0.10044503211975098,-0.27469801902770996
59,-0.07094216346740723,-0.10423874855041504,-0.09162068367004396,-0.1879875659942627,-0.1784687042236328,-0.0946953296661377
60,-0.16228318214416504,0.02868056297302246,-0.2538623809814453,-0.20977425575256348,0.0047643184661865234,-0.2518768310546875
61,-0.07356858253479004,-0.07883095741271973,-0.2187504768371582,-0.15491819381713867,-0.18366098403930664,-0.19996333122253415
62,-0.036553144454956055,-0.06062889099121094,-0.09140491485595705,-0.05126523971557617,-0.15467238426208496,-0.12118935585021973
63,-0.1052851676940918,-0.08802056312561035,-0.18748950958251953,-0.13729333877563477,-0.1193561553955078,-0.21785330772399905
64,-0.13866806030273438,-0.12804651260375977,-0.1572108268737793,-0.22131657600402832,-0.2476968765258789,-0.1776528358459473
65,-0.1093435287475586,0.014729499816894531,-0.16433262825012207,-0.2237076759338379,-0.09897232055664062,-0.10787391662597656
66,-0.07065796852111816,-0.1099534034729004,-0.15527009963989258,-0.14357447624206543,-0.2402803897857666,-0.09964156150817872
67,-0.041974782943725586,-0.0081787109375,-0.16321825981140137,-0.13493776321411133,-0.0924079418182373,-0.1005709171295166
68,-0.2286388874053955,-0.20269560813903809,-0.0317530632019043,-0.3089563846588135,-0.28262853622436523,-0.025021076202392575
69,-0.18259501457214355,-0.16268324851989746,-0.0715019702911377,-0.25388646125793457,-0.2027108669281006,0.020440101623535156
70,-0.12670302391052246,-0.15105628967285156,-0.11912083625793456,-0.17586398124694824,-0.1768937110900879,-0.0773630142211914
71,0.00649714469909668,0.039108991622924805,-0.19771885871887207,-0.10585641860961914,-0.04550051689147949,-0.1283094882965088
72,-0.07620859146118164,-0.00731348991394043,-0.1891629695892334,-0.09915590286254884,-0.09195184707641602,-0.16614961624145508
73,-0.11347436904907228,0.03033351898193359,-0.11059451103210448,-0.13271307945251465,-0.055677175521850586,-0.03251171112060547
74,-0.03652834892272949,-0.0903451442718506,-0.12322187423706056,-0.10830211639404295,-0.15199995040893555,-0.07827377319335938
75,-0.007975578308105469,-0.01496744155883789,-0.09061241149902344,-0.06708312034606934,-0.09929633140563963,-0.07913851737976074
76,-0.1253507137298584,-0.029503583908081055,-0.08317756652832031,-0.19919443130493164,-0.14845681190490723,0.03308439254760742
77,-0.20774459838867188,-0.027397632598876953,-0.16729307174682617,-0.21738600730895996,-0.14701294898986816,-0.16338634490966797
78,-0.003780841827392578,-0.19379568099975583,-0.20089507102966309,8.463859558105469e-05,-0.23922228813171387,-0.1892855167388916
79,-0.010453462600708008,-0.01865220069885254,-0.13378524780273438,-0.06308770179748535,-0.09987139701843262,-0.1400156021118164
80,-0.08344292640686035,0.09537649154663086,-0.01429128646850586,-0.1621572971343994,-0.0030519962310791016,0.04667782783508301
81,-0.030134916305541992,-0.017107486724853516,0.00816798210144043,-0.053848981857299805,-0.055098772048950195,0.027053356170654297
82,-0.02519679069519043,-0.07745647430419922,-0.10570621490478516,-0.01841092109680176,-0.12803077697753906,-0.04548311233520508
83,0.013075828552246094,-0.0659024715423584,-0.07448482513427734,0.0007908344268798828,-0.0372624397277832,-0.10359740257263184
84,-0.15644025802612305,-0.13956642150878906,-0.05075788497924805,-0.17122697830200195,-0.17238950729370117,0.04364609718322754
85,-0.10814976692199708,-0.10846209526062012,-0.28392744064331055,-0.11249470710754396,-0.17061734199523926,-0.23815250396728516
86,-0.03959178924560547,0.027790069580078125,-0.12537574768066406,-0.0885782241821289,-0.028809309005737305,-0.08185076713562012
87,0.0019378662109375,-0.06881117820739746,-0.08867478370666504,-0.007042407989501953,-0.16795086860656738,-0.09147357940673828
88,-0.13857626914978027,-0.0956740379333496,-0.12328433990478516,-0.19568395614624023,-0.13790059089660645,-0.05305600166320801
89,-0.09024858474731444,-0.048705339431762695,-0.06544899940490723,-0.12740015983581543,-0.05392932891845703,-0.03709125518798828
90,-0.04019284248352051,-0.14970898628234863,-0.0967416763305664,-0.09018397331237792,-0.2378413677215576,-0.05866551399230957
91,0.04648900032043457,-0.16681694984436035,-0.04187417030334473,0.011837482452392578,-0.1291098594665527,-0.018048524856567383
92,-0.08866667747497559,-0.11280179023742676,-0.22616076469421387,-0.09247398376464844,-0.08896493911743164,-0.23602914810180664
93,-0.17269468307495117,-0.07270550727844238,-0.04773306846618652,-0.18589115142822263,-0.10502481460571288,-0.03437972068786621
94,-0.015525579452514648,-0.10609769821166992,-0.20578956604003903,-0.057805538177490234,-0.13611459732055664,-0.1670632362365723
95,0.08358502388000488,-0.07541561126708984,0.028377532958984375,0.01003265380859375,-0.10924100875854492,0.02387833595275879
96,0.019476652145385746,-0.07663917541503906,0.04995298385620117,-0.051605939865112305,-0.06990933418273926,0.009752750396728516
97,-0.012617826461791992,0.07405257225036621,-0.0821526050567627,-0.05143547058105469,0.06055736541748047,-0.10457086563110352
98,-0.05050206184387207,-0.0027489662170410156,0.030749082565307617,-0.04087710380554199,-0.07067608833312988,0.04985189437866211
99,0.04901313781738281,-0.02975630760192871,-0.08081674575805664,0.005623817443847656,-0.06950950622558594,-0.08410882949829102
100,0.0896449089050293,-0.09412670135498048,-0.023318767547607425,0.04123830795288086,-0.10847210884094238,-0.024055004119873047
101,-0.04967665672302246,-0.0032227039337158203,-0.04319262504577637,-0.0881795883178711,-0.050101518630981445,-0.01367640495300293
102,-0.07265520095825195,0.02707219123840332,-0.12210369110107422,-0.1310741901397705,-0.04774975776672363,-0.11340570449829102
103,-0.20021748542785645,0.08830595016479492,0.008818387985229492,-0.21811628341674805,0.07828760147094727,0.06978845596313477
104,-0.06522965431213379,0.0708930492401123,-0.014137029647827148,-0.1202845573425293,0.005483865737915039,-0.003297090530395508
105,0.008360147476196289,-0.05396890640258789,0.012076616287231444,-0.05289816856384277,-0.05505204200744629,0.03775167465209961
106,-0.1533658504486084,0.039983510971069336,-0.1038210391998291,-0.20234251022338867,0.008947372436523438,-0.09628915786743164
107,0.04524540901184082,-0.02671337127685547,-0.07355928421020508,0.02438974380493164,-0.08381986618041992,-0.10441446304321288
108,-0.02355051040649414,-0.07616090774536133,-0.0426938533782959,-0.0541536808013916,-0.11323046684265135,-0.09535908699035645
109,0.017908096313476562,-0.12483835220336914,-0.004023551940917969,-0.0182037353515625,-0.10329270362854004,0.014844417572021484
110,-0.07246947288513184,-0.01341843605041504,-0.0928959846496582,-0.11150884628295898,-0.05109810829162598,-0.09692692756652832
111,0.0764768123626709,0.060732364654541016,-0.003246784210205078,0.02919936180114746,0.028619050979614254,0.029423952102661133
112,0.07654500007629395,-0.04752063751220703,0.03643369674682617,0.06492233276367188,-0.07347488403320312,0.06418967247009277
113,0.046262502670288086,0.05694985389709473,-0.1053011417388916,0.055539608001708984,0.02349257469177246,-0.06406044960021973
114,-0.044798851013183594,-0.19411921501159668,-0.08955049514770508,-0.09883928298950195,-0.2257559299468994,-0.05427408218383789
115,-0.05686020851135254,0.10139727592468262,-0.05769228935241699,-0.08304166793823242,0.017107486724853516,-0.06501889228820801
116,-0.06919360160827637,0.10509896278381348,-0.11266088485717772,-0.11504888534545898,0.04537320137023926,-0.12005257606506348
117,-0.03954267501831055,0.1181635856628418,-0.05014967918395996,-0.08885645866394043,0.0423588752746582,0.005515336990356445
118,0.07184386253356934,-0.04234433174133301,-0.043509483337402344,0.07306647300720215,-0.10874319076538086,-0.03322649002075195
119,-0.04500412940979004,0.12233924865722656,-0.1373727321624756,-0.08100271224975586,0.06461524963378906,-0.08201241493225098
120,-0.1201636791229248,0.03638672828674317,-0.058812618255615234,-0.14117670059204102,-0.033365488052368164,-0.04990077018737793
121,-0.08307099342346191,0.1290271282196045,-0.17081236839294434,-0.10023689270019533,0.08454751968383789,-0.10401153564453124
122,-0.04771113395690918,-0.1274557113647461,-0.00857996940612793,0.02252960205078125,-0.14113140106201172,0.025276899337768555
123,0.03221774101257324,0.14869308471679688,-0.03365015983581543,-0.00042939186096191406,0.028847455978393555,0.02675032615661621
124,-0.11726880073547365,0.013114213943481444,-0.13918042182922363,-0.09438824653625488,-0.05154705047607422,-0.08672809600830078
125,0.1354377269744873,-0.07103323936462402,-0.08845210075378418,0.1016371250152588,-0.12466859817504884,-0.03762221336364746
126,-0.030259370803833008,0.15024828910827637,-0.07914304733276367,-0.025303363800048828,0.11120152473449708,-0.07464337348937988
127,-0.07427120208740234,-0.018770217895507812,0.11140131950378418,-0.09799861907958984,-0.08347201347351074,0.14327335357666016
128,-0.03370356559753418,0.04533672332763672,0.07714295387268066,-0.05827093124389648,-0.006172895431518555,0.13244867324829102
129,-0.04609036445617676,0.05179023742675781,0.001935720443725586,-0.048915863037109375,0.027623891830444336,0.040595293045043945
130,0.015184640884399414,0.001183271408081055,-0.1719963550567627,-0.005547046661376953,-0.11031794548034668,-0.08559870719909668
131,0.0839376449584961,0.06688094139099121,-0.0909249782562256,0.03362274169921875,0.04015851020812988,-0.020461559295654297
132,-0.03883552551269531,0.08090758323669434,-0.03471779823303223,-0.06351184844970703,0.012311220169067385,-0.03789377212524414
133,-0.05973553657531738,0.05852961540222168,-0.0939044952392578,-0.08578157424926758,0.04588747024536133,-0.06123828887939453
134,-0.08374166488647461,-0.0030524730682373047,0.005490541458129883,-0.07060742378234863,0.011423826217651367,0.09280848503112792
135,0.024849891662597656,0.1254136562347412,-0.23684239387512207,0.04250907897949219,0.0473790168762207,-0.18949246406555176
136,-0.061078786849975586,-0.009464263916015623,-0.023144006729125977,-0.11246585845947266,-0.0487515926361084,0.022249221801757812
137,0.05611848831176758,0.018904685974121097,0.025516510009765625,0.00480961799621582,-0.08061075210571289,0.06601834297180176
138,0.04095029830932617,-0.10555362701416016,0.023948192596435547,0.07538843154907227,-0.17113375663757324,0.09188175201416016
139,-0.03757452964782715,-0.08507966995239258,-0.09381318092346191,-0.020572900772094727,-0.12743330001831055,-0.013414382934570312
140,0.0834043025970459,-0.04249906539916992,-0.128493070602417,0.07343387603759766,-0.07843422889709473,-0.07418966293334961
141,-0.04728245735168457,0.07651758193969727,-0.09521007537841795,-0.06605386734008789,0.04155850410461426,-0.0686960220336914
142,-0.00804901123046875,-0.05302548408508301,0.05951976776123047,0.0021872520446777344,-0.10680389404296876,0.08330130577087402
143,0.008013010025024414,0.05145740509033203,-0.021404504776000977,-0.010162353515625,-0.001025676727294922,-0.042693138122558594
144,0.00694727897644043,0.06511306762695312,-0.018345117568969727,0.024326086044311523,-0.013983726501464844,0.0018270015716552737
145,-0.07809782028198242,0.09883952140808104,0.05475044250488281,-0.03060030937194824,0.019201993942260746,0.051473140716552734
146,0.02198958396911621,-0.02880644798278809,-0.1172327995300293,0.0035369396209716797,-0.09378409385681152,-0.1240386962890625
147,0.10999226570129396,0.09321975708007812,-0.07175040245056152,0.07981991767883301,-0.006141185760498047,-0.07432913780212402
148,0.03852677345275879,0.03892111778259277,-0.06078767776489258,-0.009548187255859377,-0.1095261573791504,0.043091535568237305
149,-0.08919715881347656,0.0661318302154541,-0.030577898025512695,-0.14362049102783203,0.03035926818847656,0.01923370361328125
150,0.09470152854919434,0.0752110481262207,0.01576375961303711,0.12206006050109865,0.03958725929260254,0.06561064720153809
151,-0.15374231338500977,0.04343056678771973,-0.1279137134552002,-0.17550992965698242,-0.1194760799407959,-0.09343218803405762
152,-0.01418137550354004,-0.0020546913146972656,0.021809101104736328,-0.050797462463378906,-0.12344765663146973,0.04821062088012695
153,0.09530186653137208,0.16004347801208496,-0.09244704246520996,0.04602813720703125,0.07114624977111816,-0.03611207008361816
154,-0.07311844825744629,0.17809796333312988,-0.09025239944458008,-0.12659072875976562,0.10056018829345705,-0.02396392822265625
155,0.10087871551513672,0.2205827236175537,-0.07300257682800293,0.05830693244934082,0.11297249794006348,-0.05177712440490723
156,-0.15964436531066897,0.1088564395904541,0.01127004623413086,-0.1342623233795166,0.04543662071228027,0.08008718490600586
157,0.10395002365112305,0.13703203201293945,-0.14028191566467285,0.07919025421142578,0.004207611083984375,-0.1023409366607666
158,0.04422116279602051,0.11458587646484376,-0.03787732124328613,0.020554542541503903,-0.003565549850463867,0.06642603874206543
159,0.021944046020507812,0.20911312103271484,-0.07606863975524902,0.02866983413696289,0.05229592323303223,-0.03440141677856445
160,0.025542020797729492,-0.035413265228271484,-0.058646202087402344,0.0334622859954834,-0.090470552444458,-0.0005314350128173828
161,0.05768275260925293,0.04326033592224121,0.03300786018371582,0.022265195846557617,-0.01482224464416504,0.08524417877197266
162,0.04758954048156738,0.04275155067443848,0.016334056854248047,0.0795280933380127,-0.08101606369018555,0.05062127113342285
163,-0.004904270172119141,0.09440755844116212,-0.05850553512573242,-0.0005638599395751953,-0.03599715232849121,-0.029500722885131836
164,0.190507173538208,-0.005070924758911133,0.004855155944824219,0.1541910171508789,-0.0339353084564209,0.05338931083679199
165,0.09345006942749023,0.0494234561920166,-0.014437437057495115,0.06357479095458984,-0.06416082382202148,0.06768298149108887
166,-0.04503321647644043,0.05459451675415039,0.0029954910278320312,-0.05437421798706055,-0.04721641540527344,0.08122968673706055
167,0.058350324630737305,0.10978960990905762,-0.005848884582519531,0.06897211074829102,-0.025397539138793945,0.02117347717285156
168,0.009032487869262695,0.11898159980773926,0.03935694694519043,0.03680253028869629,0.06029534339904785,0.13202714920043945
169,0.011104345321655272,0.07445907592773438,0.08220934867858887,-0.005147457122802734,-0.01757049560546875,0.14077544212341309
170,-0.03638339042663574,0.13876056671142578,-0.0653221607208252,-0.040740966796875,0.02902007102966309,0.017012596130371094
171,-0.006540536880493164,-0.018168210983276367,-0.01469707489013672,-0.013855218887329102,-0.10491728782653809,0.011130332946777344
172,0.06285405158996582,0.19954800605773929,-0.10381269454956056,-0.00897979736328125,0.12482762336730956,-0.030181884765625
173,0.06506061553955078,0.10728144645690918,0.007422208786010742,0.031311988830566406,-0.0233306884765625,0.05369901657104492
174,0.07749223709106445,0.1345500946044922,-0.01502370834350586,0.04962658882141113,0.0646512508392334,-0.016713619232177734
175,-0.02545166015625,0.023415565490722656,0.08144354820251465,0.011461973190307615,-0.01979207992553711,0.08540606498718262
176,-0.08051729202270508,0.16922736167907715,-0.08150053024291992,-0.08108043670654297,0.09688758850097656,-0.008741617202758789
177,0.109328031539917,0.14071345329284668,-0.01703667640686035,0.14074468612670898,0.07702040672302246,0.038567304611206055
178,0.02652740478515625,0.009141206741333008,-0.02558565139770508,0.015346288681030272,-0.09177184104919434,-0.02460169792175293
179,-0.004955768585205078,0.004300355911254883,-0.0073511600494384766,-0.017592668533325195,-0.07032275199890137,0.06113934516906738
180,-0.02487039566040039,0.005668163299560547,0.0821235179901123,0.022610187530517575,-0.07050371170043945,0.10242748260498048
181,0.043022871017456055,0.10443854331970216,0.014069080352783205,0.03389096260070801,-0.0005514621734619141,0.0398869514465332
182,0.0714409351348877,-0.015698671340942383,-0.0371861457824707,0.06339383125305176,-0.13409423828125,-0.009819507598876951
183,-0.007258415222167969,0.023529052734375,-0.08735013008117676,0.026766300201416016,-0.016329288482666016,-0.031132936477661133
184,0.03226065635681152,-0.04135894775390625,0.0772850513458252,-0.01462411880493164,-0.08856034278869629,0.07667875289916992
185,-0.014781713485717772,0.05716300010681152,-0.012920141220092772,-0.0071239471435546875,-0.026920080184936523,-0.025432348251342773
186,-0.03814840316772461,-0.11312699317932128,0.11207318305969238,-0.01771092414855957,-0.17449307441711426,0.11599206924438477
187,-0.0019791126251220703,0.04817080497741699,-0.06677436828613281,-0.03835010528564453,-0.013484716415405272,-0.020229816436767575
188,0.011874914169311523,0.026526451110839844,-0.10002422332763672,0.05456805229187012,-0.0746607780456543,-0.06373834609985352
189,0.04589247703552246,0.0672614574432373,0.017121553421020508,0.07459592819213867,0.02439403533935547,0.010596036911010742
190,0.019321918487548828,0.00811314582824707,-0.038433074951171875,0.0411226749420166,-0.053678035736083984,-0.024712085723876953
191,0.05055832862854004,0.11157536506652832,-0.051493167877197266,0.017450332641601562,0.01846885681152344,-0.019924402236938477
192,-0.07627344131469727,0.1818177700042725,0.013321161270141602,-0.1070711612701416,0.09437799453735352,0.08924341201782227
193,-0.06331753730773926,0.07273364067077637,0.03418087959289551,-0.025953054428100582,0.006458759307861328,0.08788013458251953
194,0.056844234466552734,-0.008348464965820312,-0.11519336700439452,0.0704643726348877,-0.06500577926635742,-0.07004189491271973
195,0.17095184326171875,0.08018875122070312,0.0699002742767334,0.14942598342895508,0.02808547019958496,0.059494972229003906
196,0.15549778938293457,0.06005239486694336,0.03135824203491211,0.10665416717529295,-0.014124155044555664,0.02945113182067871
197,0.17055249214172363,0.04382181167602539,0.06090664863586426,0.1674973964691162,0.04046010971069336,0.10763263702392578
198,0.02560710906982422,0.2265684604644775,0.004708051681518555,0.05001640319824219,0.1466684341430664,0.06292867660522461
199,0.01017475128173828,-0.06850814819335938,0.08125185966491699,0.07761430740356445,-0.1313924789428711,0.060308218002319336
200,-0.03703546524047851,0.05843472480773926,0.011128664016723633,-0.06981420516967773,0.011035919189453123,0.06168770790100098
201,-0.06328868865966797,0.024794578552246097,-0.003736734390258789,-0.024179935455322266,-0.04045867919921875,0.03240323066711426
202,-0.08288168907165527,0.023955821990966797,-0.02862858772277832,-0.07333707809448242,0.03945326805114746,-0.048553466796875
203,0.060324907302856445,0.18613195419311523,-0.15981340408325195,0.06951761245727539,0.11958694458007812,-0.11990642547607422
204,0.05815482139587402,0.04455995559692383,-0.002385854721069336,0.03881335258483887,0.03321075439453125,-0.05061149597167969
205,-0.04673433303833008,0.15372323989868164,-0.062253713607788086,-0.0062372684478759766,0.061583518981933594,-0.06637167930603027
206,0.04168558120727539,0.06142997741699219,0.04538869857788086,0.08200955390930176,0.03528308868408203,0.03251838684082031
207,0.08333468437194824,0.08018302917480469,0.07787585258483887,0.06485509872436523,0.011883258819580078,0.038893699645996094
208,-0.06753253936767578,0.11350059509277344,-0.06712126731872559,0.026422739028930664,0.006323814392089844,-0.08064651489257812
209,0.10259270668029784,0.0520780086517334,0.031108379364013672,0.1496419906616211,-0.013335943222045898,0.002695798873901367
210,0.15419840812683103,0.03339648246765137,-0.020226716995239254,0.1696646213531494,0.012568235397338867,0.03347158432006836
211,0.10193705558776855,0.15625667572021484,0.014904260635375977,0.13691449165344238,0.09766173362731934,0.006623744964599609
212,0.08238887786865234,0.16639256477355957,0.016348600387573242,0.0977492332458496,0.10753631591796876,0.04374432563781738
213,0.14273810386657715,0.10450458526611328,0.02473926544189453,0.17220163345336914,0.06811332702636719,0.05149126052856445
214,0.111922025680542,0.028410673141479492,-0.011640310287475586,0.07693886756896973,-0.04689955711364746,0.019043445587158203
215,0.121840238571167,0.009567022323608398,0.09742236137390135,0.1423783302307129,-0.084625244140625,0.1432783603668213
216,-0.06555008888244629,0.1654987335205078,0.1206974983215332,-0.06878972053527832,0.10329604148864746,0.1483781337738037
217,-0.0010259151458740234,0.13061308860778809,0.09974312782287598,0.014689922332763672,-0.013954401016235352,0.11255311965942384
218,0.02792048454284668,0.015223503112792969,-0.24519681930541992,0.05921125411987305,-0.06456589698791504,-0.19351863861083984
219,-0.0044100284576416016,0.03505897521972656,0.03519392013549805,0.015097379684448242,-0.003278017044067383,0.05841326713562012
220,0.05659914016723633,-0.003420114517211914,0.05162858963012695,0.045075178146362305,-0.06165432929992676,0.040373802185058594
221,-0.16460967063903809,0.05760979652404785,0.0473325252532959,-0.12103652954101562,0.036271095275878906,0.15031838417053223
222,0.1451852321624756,0.07054734230041504,-0.033319950103759766,0.1842501163482666,0.024736881256103516,-0.017787694931030273
