step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-critic/score/mean_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-critic/score/mean_step
87,-0.5621318817138672,-0.05774569511413574
88,-0.6491975784301758,-0.060086965560913086
89,-0.639331579208374,-0.01959323883056641
90,-0.5528209209442139,-0.02420139312744141
91,-0.49573183059692383,0.00020956993103027344
92,-0.6565907001495361,-0.25310349464416504
93,-0.401029109954834,-0.025708913803100582
94,-0.5958600044250488,-0.1694338321685791
95,-0.44138479232788086,-0.04357624053955078
96,-0.4082164764404297,0.026634931564331055
97,-0.5221900939941406,-0.06261086463928223
98,-0.4668900966644287,0.012591838836669922
99,-0.5219151973724365,-0.08787727355957031
100,-0.4573860168457031,-0.061738014221191406
101,-0.5448193550109863,-0.06921052932739258
102,-0.5493800640106201,-0.1050868034362793
103,-0.39284586906433105,0.03785848617553711
104,-0.41244053840637207,0.07090020179748535
105,-0.3642294406890869,0.02161169052124023
106,-0.4855685234069824,-0.07416224479675293
107,-0.5425832271575928,-0.1030597686767578
108,-0.5047612190246582,-0.08619284629821777
109,-0.4248015880584717,-0.01259303092956543
110,-0.5388913154602051,-0.10202193260192872
111,-0.42455196380615234,0.03860354423522949
112,-0.38654208183288574,0.06266474723815918
113,-0.5104029178619385,-0.05270552635192871
114,-0.4392545223236084,-0.04293966293334961
115,-0.5153815746307373,-0.0759737491607666
116,-0.5963256359100342,-0.08713936805725098
117,-0.4249157905578614,-0.0034859180450439453
118,-0.5043368339538574,-0.042061805725097656
119,-0.6300399303436279,-0.14897561073303223
120,-0.4906337261199951,-0.00610661506652832
121,-0.5769908428192139,-0.16969919204711914
122,-0.4134931564331054,0.020268678665161133
123,-0.41559696197509766,-0.052288055419921875
124,-0.584479570388794,-0.06332039833068848
125,-0.4495692253112793,-0.02297401428222656
126,-0.48777246475219727,-0.06164979934692383
127,-0.2828373908996582,0.10161972045898438
128,-0.2595405578613281,0.07796859741210938
129,-0.39635539054870605,0.06257247924804688
130,-0.5626933574676514,-0.1634523868560791
131,-0.4945535659790039,-0.06633329391479492
132,-0.4018237590789795,-0.01207113265991211
133,-0.46304988861083984,-0.01039266586303711
134,-0.3593449592590332,0.054642677307128906
135,-0.5790283679962158,-0.14884161949157715
136,-0.5008811950683594,0.01224994659423828
137,-0.41313982009887695,0.07740592956542969
138,-0.27396082878112793,0.05196547508239746
139,-0.4913322925567627,-0.07039952278137207
140,-0.4444611072540283,-0.05159115791320801
141,-0.4247097969055176,-0.03599905967712402
142,-0.32601451873779297,0.10066580772399902
143,-0.4405803680419922,0.00353860855102539
144,-0.3685305118560791,-0.015633583068847656
145,-0.27797889709472656,0.07139039039611816
146,-0.48568081855773926,-0.11422085762023926
147,-0.483248233795166,-0.06536245346069336
148,-0.3155629634857178,0.011641740798950195
149,-0.38509154319763184,0.07212495803833008
150,-0.2897069454193115,0.009521007537841795
151,-0.5094060897827148,-0.10100102424621582
152,-0.2944071292877197,0.05252194404602051
153,-0.4989302158355713,-0.035622358322143555
154,-0.41127467155456543,-0.06557965278625488
155,-0.4082088470458984,-0.02574467658996582
156,-0.4019308090209961,0.03945493698120117
157,-0.48343706130981445,-0.07179641723632812
158,-0.3825981616973877,-0.024077177047729492
159,-0.3799126148223877,-0.05102062225341797
160,-0.3769562244415283,-0.013681888580322266
161,-0.3098869323730469,0.02435135841369629
162,-0.3262674808502197,0.05352210998535156
163,-0.3481581211090088,-0.01083517074584961
164,-0.3008878231048584,0.043984174728393555
165,-0.2880592346191406,0.025586843490600582
166,-0.27319931983947754,0.06152606010437012
167,-0.353792667388916,0.007208108901977539
168,-0.2926750183105469,0.07237648963928223
169,-0.25272583961486816,0.13860368728637695
170,-0.4277832508087158,-0.01131296157836914
171,-0.378406286239624,-0.03964877128601074
172,-0.3994746208190918,-0.06247305870056152
173,-0.33667659759521484,-0.008183956146240234
174,-0.3079824447631836,-0.022060871124267575
175,-0.2769174575805664,0.08172035217285156
176,-0.4083485603332519,-0.036783695220947266
177,-0.3300924301147461,-0.04931378364562988
178,-0.3643519878387451,-0.016324996948242188
179,-0.3076210021972656,0.05444765090942383
180,-0.2579805850982666,0.07346940040588379
181,-0.3147621154785156,0.011769294738769531
182,-0.4177522659301758,0.0007641315460205078
183,-0.41351318359375,-0.0741875171661377
184,-0.2273252010345459,0.09427762031555176
185,-0.3701589107513428,-0.02258515357971191
186,-0.20989203453063965,0.13925385475158691
187,-0.39029932022094727,-0.07024908065795898
188,-0.4337332248687744,-0.08428645133972168
189,-0.35750317573547363,0.013003110885620115
190,-0.3583707809448242,-0.006227254867553711
191,-0.3776400089263916,-0.0005881786346435547
192,-0.2978527545928955,0.10650253295898438
193,-0.3139185905456543,0.09239530563354492
194,-0.4386439323425293,-0.009546995162963867
195,-0.2561614513397217,0.07475471496582031
196,-0.33303189277648926,0.07897210121154785
197,-0.2306382656097412,0.09935665130615234
198,-0.2915613651275635,0.03194379806518555
199,-0.2586331367492676,0.11862421035766602
200,-0.3018620014190674,0.07697129249572754
201,-0.3204829692840576,0.05981874465942383
202,-0.34515929222106934,0.019809246063232425
203,-0.38793230056762695,-0.09644532203674316
204,-0.32677459716796875,-0.003776073455810547
205,-0.38434767723083496,-0.10237741470336914
206,-0.3202829360961914,0.08558154106140137
207,-0.29704761505126953,0.03719687461853027
208,-0.40131354331970215,-0.058803558349609375
209,-0.2969238758087158,-0.011693954467773438
210,-0.377856969833374,0.02098250389099121
211,-0.3824002742767334,0.013034820556640623
212,-0.3718228340148926,0.05134773254394531
213,-0.2295374870300293,0.05995774269104004
214,-0.24776077270507812,0.04754996299743652
215,-0.21563315391540527,0.1514122486114502
216,-0.19054532051086423,0.08735013008117676
217,-0.20250582695007324,0.16751456260681152
218,-0.509178638458252,-0.1966891288757324
219,-0.3943250179290771,0.01055002212524414
220,-0.27865147590637207,0.09494423866271973
221,-0.2637143135070801,0.04301762580871582
222,-0.3345673084259033,0.025452375411987305
223,-0.31998777389526367,0.02781367301940918
224,-0.14869236946105957,0.23490405082702637
225,-0.38131070137023926,-0.031789541244506836
226,-0.26404380798339844,0.06333279609680176
227,-0.18796253204345703,0.20981621742248535
228,-0.2946507930755615,0.02666330337524414
229,-0.3466968536376953,0.02947235107421875
230,-0.35811710357666016,-0.006362199783325195
231,-0.32094788551330566,0.024329423904418945
232,-0.3801462650299072,-0.08403992652893066
233,-0.23660016059875488,0.12295866012573242
234,-0.28737378120422363,0.032872915267944336
235,-0.18444347381591797,0.11502313613891602
236,-0.17537999153137207,0.10043025016784668
237,-0.21084332466125488,0.12778902053833008
238,-0.24592971801757812,0.1296994686126709
239,-0.27661681175231934,-0.01422572135925293
240,-0.25830888748168945,0.12375760078430176
241,-0.170060396194458,0.10722112655639648
242,-0.30672216415405273,0.044503211975097656
243,-0.3462820053100586,-0.054248809814453125
244,-0.22716379165649417,0.05646538734436035
245,-0.3161602020263672,0.0261843204498291
246,-0.31652140617370605,-0.03771257400512695
247,-0.2382354736328125,0.0823822021484375
248,-0.23181986808776855,0.06381344795227051
249,-0.26683783531188965,0.021771669387817383
250,-0.30504775047302246,0.02554106712341309
251,-0.21874547004699707,0.19242048263549805
252,-0.3196091651916504,-0.025434255599975582
253,-0.2477257251739502,0.048621416091918945
254,-0.1832120418548584,0.11930465698242188
255,-0.26828980445861816,0.0273897647857666
256,-0.2446746826171875,0.03738260269165039
257,-0.2569313049316406,0.13035225868225098
258,-0.27732300758361816,0.06559419631958008
259,-0.2834146022796631,-0.0005645751953125
260,-0.316791296005249,-0.0465395450592041
261,-0.2245619297027588,0.056937217712402344
262,-0.2509927749633789,0.1199946403503418
263,-0.37451767921447754,-0.09418416023254396
264,-0.2284584045410156,0.1232168674468994
265,-0.29261016845703125,0.008600711822509766
266,-0.2479248046875,0.028663158416748047
267,-0.2753574848175049,0.06816577911376953
268,-0.1789100170135498,0.16889095306396484
269,-0.19741368293762207,0.1042335033416748
270,-0.286454439163208,0.017374277114868164
271,-0.32454729080200195,-0.018604040145874023
272,-0.30046606063842773,0.0694727897644043
273,-0.2084865570068359,0.11800885200500488
274,-0.214188814163208,0.10395550727844238
275,-0.16052985191345215,0.11407685279846191
276,-0.2706577777862549,-0.001870870590209961
277,-0.33535075187683105,-0.07264018058776855
278,-0.22423601150512695,0.0951857566833496
279,-0.16866850852966309,0.10786938667297365
280,-0.3163468837738037,-0.06430792808532715
281,-0.350114107131958,-0.03952503204345703
282,-0.19541692733764648,0.17853617668151855
283,-0.2751941680908203,0.10423874855041504
284,-0.2344505786895752,0.1130502223968506
285,-0.15308380126953125,0.12625503540039062
286,-0.42217063903808594,-0.024329662322998047
287,-0.2952306270599365,0.03243517875671387
288,-0.20438575744628903,0.11631488800048828
289,-0.23125910758972168,0.06812596321105957
290,-0.2444853782653809,0.012572050094604492
291,-0.16505742073059082,0.13834547996520996
292,-0.22052478790283203,0.07118058204650879
293,-0.2918703556060791,-0.04541826248168945
294,-0.24144721031188965,0.06598734855651855
295,-0.23016595840454104,0.0978529453277588
296,-0.2472836971282959,0.10261869430541992
297,-0.3505585193634033,-0.011432886123657228
298,-0.25977396965026855,0.05702018737792969
299,-0.09980511665344238,0.13902783393859863
300,-0.2742788791656494,0.051103830337524414
