step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-training/rollout_probs_diff_max_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-training/rollout_probs_diff_max_step
1,0.18157388269901276,0.18507039546966553
2,0.27569448947906494,0.3765135407447815
3,0.21491378545761108,0.36676767468452454
4,0.2236841917037964,0.2156788259744644
5,0.3653128743171692,0.29362812638282776
6,0.28285419940948486,0.24591493606567383
7,0.1787380576133728,0.2599799335002899
8,0.3161880075931549,0.2415718138217926
9,0.18462532758712769,0.27709531784057617
10,0.21012678742408752,0.23239216208457947
11,0.3036521077156067,0.2050216794013977
12,0.301469087600708,0.17917925119400024
13,0.27312129735946655,0.3311261534690857
14,0.27150797843933105,0.2974492311477661
15,0.2351776957511902,0.3014817237854004
16,0.23923304677009585,0.23000586032867432
17,0.24354052543640137,0.217557430267334
18,0.15628758072853088,0.14519178867340088
19,0.21238455176353457,0.1997983455657959
20,0.2708126902580261,0.2448895275592804
21,0.3158852159976959,0.26389366388320923
22,0.1902709603309631,0.15840411186218262
23,0.32934704422950745,0.24607469141483307
24,0.1950865387916565,0.2261044681072235
25,0.26725614070892334,0.4990914762020111
26,0.24293723702430725,0.236160546541214
27,0.4855058193206787,0.14606109261512756
28,0.18453139066696167,0.3042725920677185
29,0.5066519379615784,0.381380558013916
30,0.29822856187820435,0.3980873227119446
31,0.2799125909805298,0.3049907088279724
32,0.19936618208885193,0.16224819421768188
33,0.26258906722068787,0.2617117166519165
34,0.2096695899963379,0.17910581827163696
35,0.19268275797367096,0.2850630283355713
36,0.3017112612724304,0.1846333146095276
37,0.4025912880897522,0.25740015506744385
38,0.3793199956417084,0.15146774053573608
39,0.26222342252731323,0.16005754470825195
40,0.6737290024757385,0.2420022338628769
41,0.17273831367492676,0.1813386082649231
42,0.2371349036693573,0.31750884652137756
43,0.3772674798965454,0.9194642901420592
44,0.2992117702960968,0.1546357274055481
45,0.24438819289207456,0.24779129028320312
46,0.32383695244789124,0.22360533475875857
47,0.28057682514190674,0.3393658995628357
48,0.17455077171325684,0.27086806297302246
49,0.2422351241111755,0.5250964164733887
50,0.2772756814956665,0.20412611961364743
51,0.24658560752868652,0.3579646348953247
52,0.243863582611084,0.2931702435016632
53,0.21038377285003665,0.35618942975997925
54,0.24943923950195312,0.24265983700752256
55,0.21425610780715945,0.20382386445999143
56,0.34460797905921936,0.2715378999710083
57,0.1698659062385559,0.21033424139022827
58,0.2431981265544891,0.184648334980011
59,0.16253423690795898,0.344872385263443
60,0.22607165575027463,0.13789212703704834
61,0.23956622183322904,0.25386103987693787
62,0.43991386890411377,0.2511487603187561
63,0.30158093571662903,0.2622649073600769
64,0.37602826952934265,0.2118735909461975
65,0.3290562033653259,0.2865406572818756
66,0.30156269669532776,0.24490928649902344
67,0.19945859909057617,0.2792252004146576
68,0.32748082280158997,0.3474450707435608
69,0.3807896375656128,0.1853153705596924
70,0.3042635917663574,0.2297924757003784
71,0.21785348653793335,0.1714547872543335
72,0.34301137924194336,0.28149330615997314
73,0.1840648055076599,0.18268635869026184
74,0.2266676127910614,0.30162015557289124
75,0.2733020484447479,0.1775357723236084
76,0.449503093957901,0.2560945153236389
77,0.2308439314365387,0.4099535048007965
78,0.20834100246429443,0.16884034872055054
79,0.23597031831741333,0.20681166648864743
80,0.1991276443004608,0.20577675104141235
81,0.3042466342449188,0.24034860730171204
82,0.323624849319458,0.32089763879776
83,0.32725989818573,0.1603485345840454
84,0.21486808359622955,0.14912807941436768
85,0.2406003177165985,0.3797057867050171
86,0.5493956804275513,0.14727577567100525
87,0.2622656226158142,0.3475077748298645
88,0.21260547637939453,0.2621430456638336
89,0.21499884128570557,0.5132680535316467
90,0.22066234052181244,0.18209221959114075
91,0.37540414929389954,0.33942264318466187
92,0.19181425869464871,0.19944709539413452
93,0.31501251459121704,0.1687479019165039
94,0.4727943539619446,0.4675332903861999
95,0.24169623851776123,0.16224998235702515
96,0.3068140745162964,0.3976762294769287
