step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-training/rollout_probs_diff_mean_step
1,0.0038627670146524906,0.003834228264167905
2,0.003904624143615365,0.003905436722561717
3,0.003850653301924467,0.003851741086691618
4,0.003931689541786909,0.003950885962694883
5,0.003904502373188734,0.003919149748980999
6,0.003893735585734248,0.003876549657434225
7,0.003956131171435118,0.003986161667853594
8,0.003933679312467575,0.003956868313252926
9,0.0038740888703614473,0.003953573759645224
10,0.0038554721977561712,0.0038588910829275846
11,0.0038263944443315263,0.0038725673221051697
12,0.003899603383615613,0.0039067380130290985
13,0.003830432891845703,0.0037801603320986032
14,0.0038161843549460177,0.003726100781932473
15,0.003914604429155588,0.003796085948124528
16,0.004033069126307964,0.003842814825475216
17,0.0039244648069143295,0.0035942066460847855
18,0.0038233755622059102,0.003517339238896966
19,0.0037763731088489294,0.0034866214264184237
20,0.0038970846217125654,0.0035963784903287888
21,0.003920446615666151,0.003573574125766754
22,0.0038482407107949257,0.0034552328288555145
23,0.00396813964471221,0.003606569487601518
24,0.003938480746001005,0.0035298089496791363
25,0.0038320154417306185,0.0034561629872769117
26,0.003917277790606022,0.003561916528269649
27,0.003862319979816675,0.003472744021564722
28,0.003873516572639346,0.0035962697584182024
29,0.0038195839151740074,0.003435492282733321
30,0.0038098832592368126,0.0034152171574532986
31,0.003911718726158142,0.0035206256434321404
32,0.0038397577591240406,0.003394351340830326
33,0.003886875929310918,0.0035318562295287848
34,0.003888903185725212,0.0035337030421942472
35,0.003849350148811936,0.0034491191618144512
36,0.003941487520933151,0.0035150221083313227
37,0.00377831538207829,0.0034605865366756916
38,0.0038591453339904542,0.0034819685388356447
39,0.003942184150218964,0.003569564549252391
40,0.0038331053219735622,0.003498212434351444
41,0.0039754873141646385,0.0036751541774719954
42,0.003903836477547884,0.0035277926363050938
43,0.003801023121923208,0.0033908637706190348
44,0.003848778549581766,0.00359737453982234
45,0.003953278996050358,0.003611301071941853
46,0.003907604143023491,0.0035652234219014645
47,0.00386030157096684,0.0034461270552128553
48,0.00384569400921464,0.003642639378085733
49,0.0038045733235776424,0.003516071941703558
50,0.003849942935630679,0.0035173387732356787
51,0.003798488527536392,0.003470415249466896
52,0.003793578129261732,0.003450100775808096
53,0.003918888512998819,0.0035462852101773024
54,0.003918909467756748,0.00365555239841342
55,0.003928910940885544,0.003671885933727026
56,0.004018372390419245,0.0036837379448115826
57,0.0038944229017943144,0.0035711380187422037
58,0.0038470616564154625,0.003580579301342368
59,0.0038400746416300535,0.003557836404070258
60,0.003990550991147757,0.003767220769077539
61,0.00395749369636178,0.0036723173689097166
62,0.003942165058106184,0.0036379110533744097
63,0.0038381610065698624,0.0036104328464716673
64,0.003992712125182152,0.003733663586899638
65,0.00387077103368938,0.003583386540412903
66,0.0038534447085112338,0.003624145872890949
67,0.003976692445576191,0.0036411790642887354
68,0.003747356589883566,0.00346130644902587
69,0.003788221627473831,0.003469993593171239
70,0.0038082455284893513,0.003507964313030243
71,0.003962267655879259,0.0036628427915275097
72,0.004000713117420673,0.0036918558180332184
73,0.003887779777869582,0.0036343734245747328
74,0.00382121535949409,0.0035345323849469423
75,0.0037528856191784143,0.0035577183589339256
76,0.003967599011957645,0.0037524281069636345
77,0.0038514970801770687,0.0035009514540433884
78,0.003885243553668261,0.0035653908271342516
79,0.003902165684849024,0.003649626625701785
80,0.0038434730377048254,0.0035658949054777622
81,0.0038459612987935543,0.0035510894376784563
82,0.0038868512492626905,0.003679127199575305
83,0.003929907456040382,0.003676345339044929
84,0.003857846837490797,0.0035992609336972237
85,0.003929588943719864,0.003637988120317459
86,0.00384250283241272,0.0035882287193089724
87,0.003889277577400207,0.0035263437312096357
88,0.003795713884755969,0.0035738330334424973
89,0.003784838132560253,0.0035487713757902384
90,0.003848172724246979,0.0035424919333308935
91,0.0038870046846568584,0.003621091600507498
92,0.003856218419969082,0.0035135727375745773
93,0.00391320139169693,0.003656354732811451
94,0.003939596004784107,0.0037057583685964346
95,0.0038686743937432766,0.003501366591081023
96,0.0037544553633779287,0.0034851920790970325
97,0.003957007080316544,0.0035952208563685417
98,0.0039047824684530497,0.0036287084221839905
99,0.003794664982706309,0.003548600245267153
100,0.003830001456663013,0.0035520384553819895
101,0.003855046816170216,0.003499798011034727
102,0.003885239362716675,0.003621910931542516
103,0.0038018326740711927,0.0034876102581620216
104,0.003921952098608017,0.003521525766700506
105,0.003960599657148123,0.003609908279031515
106,0.00387722160667181,0.003568856278434396
107,0.003924031741917133,0.003619521390646696
108,0.003866568207740784,0.0035639232955873013
109,0.0038103782571852207,0.0035011491272598505
110,0.003832607064396143,0.003567346837371588
111,0.003914428409188986,0.003661402501165867
112,0.0038071325980126858,0.00360343256033957
113,0.0039430600591003895,0.003717552404850722
114,0.0038120329845696688,0.0035610648337751627
115,0.0038906289264559746,0.003635056549683213
116,0.003859860356897116,0.0036490801721811295
117,0.003803137456998229,0.0035141671542078257
118,0.003859948134049773,0.003654045984148979
119,0.00385980773717165,0.0035706430207937956
120,0.003773308824747801,0.0035482451785355806
121,0.003914880100637674,0.003665951546281576
122,0.003784769214689731,0.003528264816850424
123,0.0038604403380304575,0.0035987826995551586
124,0.0038495827466249466,0.0035468314308673143
125,0.003919086419045925,0.003709543962031603
126,0.003841341007500887,0.0036543800961226225
127,0.003909201826900244,0.003614602144807577
128,0.0038733852561563258,0.0035800719633698463
129,0.0039004844147711992,0.0036163583863526583
130,0.003864184254780412,0.003711721859872341
131,0.003955198917537928,0.003722272114828229
132,0.003866345388814807,0.003645952558144927
133,0.0038266857154667377,0.0035583351273089647
134,0.0038059058133512735,0.0036009387113153934
135,0.0038465559482574463,0.003692166646942496
136,0.0039994684047997,0.003820816520601511
137,0.0036788845900446177,0.0034933160059154034
138,0.003800307400524616,0.0036125648766756058
139,0.003918914590030909,0.0037574931047856808
140,0.003974054474383593,0.003758749924600125
141,0.003741068998351693,0.0036160326562821865
142,0.003815991338342428,0.0036812019534409046
143,0.003858214942738414,0.003701390232890844
144,0.003960561007261276,0.0038262465968728065
145,0.0038216158282011743,0.003662461647763848
146,0.003933489788323641,0.0038521576207131143
147,0.0038790509570389986,0.0038753217086195946
148,0.00385850016027689,0.003795578144490719
149,0.003780755680054426,0.0037433698307722807
150,0.0038962371181696658,0.003858777694404125
151,0.003937656059861183,0.003952722530812025
152,0.003859675256535411,0.003842389676719904
153,0.0038078499492257833,0.003859174204990268
154,0.003908134065568447,0.0038612631615251303
155,0.003916870802640915,0.0038581860717386007
156,0.003873861161991954,0.0038347961381077766
157,0.003891667118296027,0.0039085024036467075
158,0.003888711566105485,0.003898991271853447
159,0.0040055871941149235,0.003987857606261969
160,0.0038259136490523815,0.003796596312895417
