step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-training/rollout_probs_diff_std_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-training/rollout_probs_diff_std_step
1,0.007653494365513325,0.007620268035680056
2,0.007692687679082155,0.007690073922276497
3,0.007647383492439985,0.00765539426356554
4,0.0077155577018857,0.007730896584689617
5,0.007672226522117853,0.007687708362936974
6,0.007703488226979971,0.007698093075305224
7,0.007749402895569801,0.0077811614610254765
8,0.007717364002019167,0.007753340527415276
9,0.007648415863513947,0.007744389586150646
10,0.007657917682081461,0.0077056060545146465
11,0.007627398241311312,0.007737081963568926
12,0.007676853332668543,0.007781600579619408
13,0.007664285600185394,0.007756383623927832
14,0.007664243225008249,0.007761684712022543
15,0.007696310989558697,0.007824156433343887
16,0.007807672955095768,0.007884657941758633
17,0.007736012805253267,0.007668159436434507
18,0.007664957549422979,0.00762327341362834
19,0.007594252936542034,0.007634202018380165
20,0.007696491666138172,0.007751461118459701
21,0.007697209250181913,0.007741985842585564
22,0.00769334239885211,0.0076759192161262035
23,0.007766163907945156,0.007829869166016579
24,0.007748324424028397,0.0077741569839417934
25,0.007685852702707052,0.007735876832157373
26,0.007745800074189901,0.007815035991370678
27,0.007674839813262224,0.007747108116745949
28,0.007686926983296871,0.007855774834752083
29,0.007661884184926748,0.007751152850687504
30,0.007692709565162659,0.007736995816230774
31,0.00774072390049696,0.007806725334376097
32,0.00767881702631712,0.007710383739322424
33,0.007726654410362244,0.007862558588385582
34,0.007713207509368658,0.007817303761839867
35,0.00767081743106246,0.007810008712112904
36,0.00773540185764432,0.007814629934728146
37,0.007652002386748791,0.007778326515108347
38,0.007665612734854221,0.007776584941893816
39,0.00773493992164731,0.007864431478083134
40,0.007685869000852108,0.007827906869351864
41,0.007761700078845024,0.007950769737362862
42,0.007744453847408295,0.007856701500713825
43,0.0076773990876972675,0.007764451671391725
44,0.007705082651227713,0.007912641391158104
45,0.007776064332574606,0.007921215146780014
46,0.007738911081105471,0.007900107651948929
47,0.00770776579156518,0.007810242008417845
48,0.007680957205593586,0.007969477213919163
49,0.007662276737391949,0.007892719469964504
50,0.007709534838795662,0.007905260659754276
51,0.007701518479734659,0.007863951846957207
52,0.007691844832152128,0.007854844443500042
53,0.007751820143312216,0.00794276688247919
54,0.0077456822618842125,0.00802172627300024
55,0.007771824486553669,0.00800707284361124
56,0.007839328609406948,0.008039525710046291
57,0.00772508978843689,0.007932671345770359
58,0.00770250428467989,0.007961569353938103
59,0.007717016153037548,0.007956786081194878
60,0.007774166762828827,0.008078128099441528
61,0.007779761683195829,0.008037774823606014
62,0.007763335481286049,0.007985115051269531
63,0.007733251433819532,0.007995666936039925
64,0.007799110375344753,0.008068245835602283
65,0.007744526956230402,0.008006129413843155
66,0.007734985556453466,0.008047266863286495
67,0.007793568540364504,0.008038417436182499
68,0.007673924323171377,0.007940378040075302
69,0.007694053929299116,0.007944160141050816
70,0.007685726508498192,0.007943550124764442
71,0.00782740954309702,0.00809297151863575
72,0.007815200835466385,0.008088669739663601
73,0.007730688899755478,0.008107935078442097
74,0.007703554816544056,0.008014760911464691
75,0.007652172818779945,0.008017493411898613
76,0.007791853975504637,0.00817040354013443
77,0.007724004331976175,0.007981429807841778
78,0.00775970658287406,0.007993192411959171
79,0.007758443243801594,0.00809071958065033
80,0.00775487395003438,0.008044294081628323
81,0.007719106506556272,0.008016840554773808
82,0.007751187775284052,0.008149059489369392
83,0.00780167430639267,0.008131268434226513
84,0.007722390349954367,0.008089098148047924
85,0.007793875876814127,0.008138659410178661
86,0.007735091727226973,0.008089284412562847
87,0.007768899668008089,0.008030715398490429
88,0.007698567118495703,0.008092834614217281
89,0.007684305775910616,0.008077121339738369
90,0.007769396062940359,0.00807951856404543
91,0.007785468827933073,0.008120804093778133
92,0.007750189397484064,0.008043313398957253
93,0.007791228126734495,0.008168491534888744
94,0.0078048198483884335,0.008222711272537708
95,0.007764849811792374,0.008052574470639229
96,0.00767328729853034,0.008086607791483402
97,0.007846751250326633,0.008129913359880447
98,0.007790772244334221,0.00818625744432211
99,0.007716475985944271,0.0081629091873765
100,0.0077515109442174435,0.008144179359078407
101,0.007769397925585508,0.008085834793746471
102,0.00776806054636836,0.008184763602912426
103,0.007714679464697838,0.008138136938214302
104,0.007796981371939182,0.008103352040052414
105,0.007838387042284012,0.00821356475353241
106,0.007796809077262878,0.008176361210644245
107,0.007831155322492123,0.008224890567362309
108,0.0077865952625870705,0.008195288479328156
109,0.007734622340649366,0.008146041072905064
110,0.0077396659180521965,0.008182692341506481
111,0.007798227947205305,0.008294765837490559
112,0.007724897470325232,0.008263069204986095
113,0.007833792828023434,0.008296056650578976
114,0.007698219269514084,0.008219387382268906
115,0.007776876445859671,0.008284518495202065
116,0.007714186329394579,0.008247476071119308
117,0.007737397216260433,0.008207976818084717
118,0.007775922771543264,0.008272100239992142
119,0.007757517974823713,0.008214342407882214
120,0.007721775211393833,0.008249040693044662
121,0.007832037284970284,0.008330845274031162
122,0.007726732175797224,0.00827574823051691
123,0.007789363618940115,0.008302074857056141
124,0.007735703140497208,0.008258537389338017
125,0.0078298794105649,0.008448753505945206
126,0.007757192011922598,0.008373499847948551
127,0.0078042675741016865,0.008357899263501167
128,0.007803326938301325,0.00830481294542551
129,0.007800701539963484,0.00836390070617199
130,0.00777121027931571,0.008381092920899391
131,0.007832271978259087,0.008422992192208767
132,0.007770271971821785,0.00837028305977583
133,0.007761384360492229,0.008264889009296894
134,0.007740535773336887,0.008332565426826477
135,0.007773962337523699,0.00833240244537592
136,0.007874870672821999,0.008445034734904766
137,0.007654350250959396,0.008205803111195564
138,0.007756583858281374,0.008358933962881565
139,0.007801111321896315,0.008380372077226639
140,0.007856432348489761,0.008383752778172493
141,0.00770954042673111,0.008303020149469376
142,0.007775128819048405,0.008398438803851604
143,0.007788998074829578,0.008357401005923748
144,0.007846822962164879,0.008463078178465366
145,0.00777800427749753,0.008344493806362152
146,0.007820419035851955,0.008430925197899342
147,0.007783235050737858,0.00840212032198906
148,0.007801642641425133,0.008342164568603039
149,0.007733756210654974,0.008289187215268612
150,0.00781548023223877,0.008380884304642677
151,0.00783824548125267,0.00841909646987915
152,0.00779159227386117,0.00836857408285141
153,0.007746868766844273,0.008346282877027988
154,0.007844150066375732,0.008383700624108315
155,0.007822506129741669,0.00835081934928894
156,0.007774385157972574,0.00834907591342926
157,0.007792903110384941,0.008400303311645985
158,0.007813135161995888,0.008438214659690857
159,0.00786564126610756,0.008470575325191021
160,0.00777098536491394,0.008406191132962704
161,0.007778354920446873,0.008374488912522793
162,0.007843020372092724,0.00844656303524971
163,0.007826081477105618,0.008426317013800144
164,0.007873877882957458,0.00843334011733532
165,0.007727477233856916,0.008398323319852352
166,0.007781782187521458,0.008350539021193981
167,0.007828126661479473,0.008374009281396866
168,0.007792545482516289,0.00837128795683384
169,0.007739806082099676,0.008314230479300022
170,0.007867728359997272,0.008432525210082531
171,0.007732165977358818,0.008388961665332317
172,0.007820472121238708,0.00840707030147314
173,0.007769678253680468,0.008393307216465473
174,0.007760053034871817,0.008417281322181225
175,0.007761779241263866,0.008384551852941513
176,0.007784468587487936,0.008444594219326973
177,0.007849128916859627,0.008445890620350838
178,0.00781382154673338,0.008299683220684528
179,0.007721597328782082,0.008370163850486279
180,0.007779753766953945,0.008386222645640373
181,0.007833343930542469,0.008454488590359688
182,0.007790183648467064,0.008380310609936714
183,0.007733488921076059,0.00840939860790968
184,0.007774439174681902,0.008363534696400166
185,0.007786853238940239,0.008442569524049759
186,0.007844912819564342,0.008456677198410034
187,0.007813265547156334,0.00845234002918005
188,0.0077912285923957825,0.008424210362136364
189,0.007733042351901531,0.008329708129167557
190,0.00786512903869152,0.00844568107277155
191,0.007744628004729748,0.008350644260644913
192,0.007764351088553667,0.008378149010241032
193,0.007802234031260014,0.008431204594671726
194,0.007787178736180067,0.008376361802220345
195,0.007792703807353973,0.00843925029039383
196,0.007805211935192347,0.008417822420597076
197,0.007821610197424889,0.008372216485440731
198,0.007840380072593689,0.0084417425096035
199,0.007731270045042038,0.008372224867343903
200,0.007754769176244736,0.008386188186705112
201,0.007723825983703136,0.00832835678011179
202,0.007802950218319893,0.008441254496574402
203,0.007815202698111534,0.00845896266400814
204,0.007781511638313532,0.008425365202128887
205,0.007825942710042,0.00847816001623869
206,0.007801429834216833,0.008492600172758102
207,0.0077876681461930275,0.008414551615715027
208,0.00785649474710226,0.008458496071398258
209,0.007902231998741627,0.008530319668352604
210,0.007740973494946957,0.008419053629040718
211,0.007831573486328125,0.008464285172522068
212,0.007856580428779125,0.008518843911588192
213,0.007748088333755732,0.008405465632677078
214,0.007815531454980373,0.008436206728219986
215,0.007856065407395363,0.008495934307575226
216,0.007782758213579655,0.008435864001512527
217,0.007750918623059988,0.008481809869408607
218,0.007788651622831821,0.008466430008411407
219,0.007790699135512114,0.008446406573057175
220,0.007825287990272045,0.008492306806147099
221,0.007771250791847706,0.00843947846442461
222,0.007780224550515413,0.008526175282895565
223,0.007770240306854248,0.00841264147311449
224,0.007808355614542961,0.00846412219107151
225,0.007828357629477978,0.008480156771838665
226,0.007843662053346634,0.00851250160485506
227,0.007736898958683014,0.008461321704089642
228,0.007819120772182941,0.008546004071831703
229,0.007803421467542648,0.008489756844937801
230,0.007802124135196209,0.008479689247906208
231,0.007874604314565659,0.008574726060032845
232,0.007864597253501415,0.008661916479468346
233,0.0077611845917999744,0.008597701787948608
234,0.007874907925724983,0.00867412704974413
235,0.007846157997846603,0.008685189299285412
236,0.007765018381178379,0.008630676195025444
237,0.007828794419765472,0.008604107424616814
238,0.007805723231285811,0.008753376081585884
239,0.007810452487319708,0.008724622428417206
240,0.007838965393602848,0.008628875017166138
241,0.007744848728179932,0.00863658543676138
242,0.007769476622343063,0.008662741631269455
243,0.007819108664989471,0.00869727786630392
244,0.00779744191095233,0.008677864447236061
245,0.007782246917486191,0.008647462353110313
246,0.00781647115945816,0.008663410320878029
247,0.00780014181509614,0.00864379107952118
248,0.007786804810166359,0.008626816794276237
249,0.00784657709300518,0.008693009614944458
250,0.007908448576927185,0.00874107051640749
251,0.007706749718636274,0.008581848815083504
252,0.007889988832175732,0.008661686442792416
253,0.007870038971304893,0.00862959772348404
254,0.00787709467113018,0.008585060946643353
255,0.007855987176299095,0.008639809675514698
256,0.007805176544934511,0.008603863418102264
257,0.007826284505426884,0.008619667962193489
258,0.007819432765245438,0.00864623486995697
259,0.007856405340135098,0.008711256086826324
260,0.007837708108127117,0.008646003901958466
261,0.007809762842953205,0.008621009066700935
262,0.007752447854727507,0.008635850623250008
263,0.007807296235114336,0.00865252036601305
264,0.007841388694941998,0.00864835362881422
265,0.007809065282344818,0.00867002084851265
266,0.007821713574230671,0.008676204830408096
267,0.007816612720489502,0.008643707260489464
268,0.007820306345820427,0.008616737090051174
269,0.007834826596081257,0.008612408302724361
270,0.007809572387486696,0.008624558337032795
271,0.007856382057070732,0.00863067340105772
272,0.007848531007766724,0.008658929727971554
273,0.007928063161671162,0.008682315237820148
274,0.007922938093543053,0.008620352484285831
275,0.007772659417241812,0.008564409799873829
276,0.007818096317350864,0.008538798429071903
277,0.007819077000021935,0.008571692742407322
278,0.007811868097633123,0.008576005697250366
279,0.007860369980335236,0.008544162847101688
280,0.007908913306891918,0.008581185713410378
281,0.007811876479536295,0.008548911660909653
282,0.007795583922415972,0.00856709387153387
283,0.007829016074538231,0.008481231518089771
284,0.007745868992060423,0.008463428355753422
285,0.007798056583851576,0.008520090021193027
286,0.007828710600733757,0.008510459214448929
287,0.007777116727083921,0.008507044985890388
288,0.007851880975067616,0.00855891965329647
289,0.0078149838373065,0.008466322906315327
290,0.007816815748810768,0.008549370802938938
291,0.007823488675057888,0.008486723527312279
292,0.007846410386264324,0.008545871824026108
293,0.007889630272984505,0.00856928713619709
294,0.007811595220118761,0.008490385487675667
295,0.007853588089346886,0.008525167591869831
296,0.007849881425499916,0.008463199250400066
297,0.007825544103980064,0.00846520159393549
298,0.007794969715178013,0.008478953503072262
299,0.00794114451855421,0.008580353111028671
300,0.007813354954123497,0.008421835489571095
