step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-reward/overlong_rate_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-reward/overlong_rate_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-reward/overlong_rate_step,deepseek1.5b_fa_partial_lr1e-6-reward/overlong_rate_step,deepseek1.5b_fa_partial_lr1e-5-reward/overlong_rate_step
48,0.1962890625,0.091796875,0.0166015625,0.349609375,0.046875
49,0.16796875,0.0751953125,0.0283203125,0.263671875,0.052734375
50,0.1533203125,0.076171875,0.0263671875,0.302734375,0.044921875
51,0.1396484375,0.0732421875,0.0126953125,0.2958984375,0.037109375
52,0.1767578125,0.0693359375,0.0107421875,0.28125,0.0380859375
53,0.1279296875,0.0537109375,0.001953125,0.19140625,0.0341796875
54,0.1337890625,0.0556640625,0.00390625,0.2265625,0.0390625
55,0.1181640625,0.0751953125,0.0009765625,0.232421875,0.0478515625
56,0.1435546875,0.0458984375,0.0166015625,0.232421875,0.052734375
57,0.1337890625,0.0478515625,0.0224609375,0.2177734375,0.0361328125
58,0.07421875,0.046875,0.0244140625,0.1982421875,0.0302734375
59,0.0888671875,0.0419921875,0.0087890625,0.19921875,0.044921875
60,0.080078125,0.0546875,0.0068359375,0.224609375,0.037109375
61,0.08984375,0.0498046875,0.0029296875,0.197265625,0.0341796875
62,0.0986328125,0.060546875,0.001953125,0.19140625,0.0341796875
63,0.0654296875,0.0439453125,0,0.140625,0.0390625
64,0.060546875,0.0654296875,0.001953125,0.1953125,0.0458984375
65,0.0517578125,0.0380859375,0.013671875,0.1142578125,0.029296875
66,0.0703125,0.0517578125,0.025390625,0.14453125,0.0283203125
67,0.0869140625,0.0712890625,0.0361328125,0.1689453125,0.0322265625
68,0.03515625,0.05078125,0.0146484375,0.158203125,0.04296875
69,0.0439453125,0.0556640625,0.0107421875,0.109375,0.0302734375
70,0.060546875,0.0498046875,0.00390625,0.1181640625,0.0224609375
71,0.060546875,0.0390625,0.001953125,0.1240234375,0.03125
72,0.041015625,0.05859375,0,0.1533203125,0.0283203125
73,0.03515625,0.0263671875,0,0.091796875,0.017578125
74,0.0947265625,0.056640625,0.001953125,0.1318359375,0.02734375
75,0.08203125,0.0595703125,0.0087890625,0.1171875,0.01953125
76,0.046875,0.0546875,0.033203125,0.13671875,0.021484375
77,0.0263671875,0.0419921875,0.0263671875,0.09765625,0.0234375
78,0.0888671875,0.05078125,0.033203125,0.1025390625,0.015625
79,0.0673828125,0.0546875,0.0185546875,0.103515625,0.01171875
80,0.017578125,0.041015625,0.0009765625,0.083984375,0.0244140625
81,0.025390625,0.0498046875,0.0009765625,0.064453125,0.015625
82,0.09375,0.078125,0,0.11328125,0.0419921875
83,0.0576171875,0.0458984375,0.0009765625,0.0849609375,0.013671875
84,0.015625,0.0615234375,0.0029296875,0.07421875,0.0224609375
85,0.0126953125,0.0595703125,0.0087890625,0.087890625,0.03515625
86,0.0888671875,0.0517578125,0.0185546875,0.072265625,0.0224609375
87,0.05078125,0.0537109375,0.025390625,0.076171875,0.0244140625
88,0.021484375,0.0556640625,0.0166015625,0.0595703125,0.0234375
89,0.0166015625,0.0400390625,0.00390625,0.060546875,0.0224609375
90,0.0888671875,0.046875,0.0029296875,0.0693359375,0.01953125
91,0.0810546875,0.046875,0.0009765625,0.07421875,0.0185546875
92,0.0126953125,0.056640625,0,0.1044921875,0.021484375
93,0.017578125,0.025390625,0.001953125,0.0283203125,0.013671875
94,0.0986328125,0.0322265625,0.009765625,0.0576171875,0.0166015625
95,0.0673828125,0.0322265625,0.0390625,0.037109375,0.0283203125
96,0.0146484375,0.0380859375,0.0654296875,0.0654296875,0.029296875
97,0.025390625,0.0322265625,0.01953125,0.0498046875,0.0263671875
98,0.126953125,0.0322265625,0.0009765625,0.0693359375,0.03515625
99,0.126953125,0.0400390625,0,0.056640625,0.029296875
100,0.04296875,0.037109375,0,0.0458984375,0.02734375
101,0.0546875,0.0498046875,0,0.0654296875,0.0361328125
102,0.1474609375,0.0439453125,0,0.087890625,0.0419921875
103,0.0673828125,0.013671875,0.001953125,0.0302734375,0.0263671875
104,0.0634765625,0.03515625,0.0185546875,0.0576171875,0.0283203125
105,0.05859375,0.029296875,0.04296875,0.0341796875,0.0224609375
106,0.064453125,0.0361328125,0.0400390625,0.048828125,0.0380859375
107,0.072265625,0.0263671875,0.00390625,0.044921875,0.025390625
108,0.0654296875,0.0361328125,0,0.0498046875,0.029296875
109,0.05859375,0.0380859375,0,0.0595703125,0.041015625
110,0.0654296875,0.0244140625,0.001953125,0.048828125,0.0341796875
111,0.1171875,0.0361328125,0.015625,0.0615234375,0.029296875
112,0.1259765625,0.0263671875,0.04296875,0.05859375,0.0380859375
113,0.0830078125,0.0126953125,0.0302734375,0.025390625,0.0078125
114,0.06640625,0.0205078125,0.001953125,0.0263671875,0.0185546875
115,0.0732421875,0.025390625,0,0.0361328125,0.0224609375
116,0.0771484375,0.03515625,0,0.0458984375,0.0205078125
117,0.0712890625,0.046875,0,0.0341796875,0.0244140625
118,0.0458984375,0.0283203125,0.0009765625,0.0498046875,0.0322265625
119,0.064453125,0.0234375,0,0.0361328125,0.021484375
120,0.1171875,0.025390625,0.0166015625,0.0615234375,0.0419921875
121,0.1123046875,0.0302734375,0.0263671875,0.0419921875,0.05859375
122,0.05078125,0.0244140625,0.017578125,0.0712890625,0.017578125
123,0.0546875,0.0146484375,0,0.0283203125,0.03125
124,0.09765625,0.0244140625,0,0.03515625,0.0205078125
125,0.0966796875,0.0322265625,0.005859375,0.0478515625,0.02734375
126,0.0517578125,0.029296875,0.0576171875,0.021484375,0.01953125
127,0.078125,0.03515625,0.0673828125,0.0361328125,0.0439453125
128,0.1025390625,0.037109375,0.013671875,0.03515625,0.0439453125
129,0.078125,0.0361328125,0,0.05078125,0.029296875
130,0.0537109375,0.0439453125,0.0498046875,0.0390625,0.0224609375
131,0.0654296875,0.0439453125,0.2041015625,0.0380859375,0.0205078125
132,0.0859375,0.0380859375,0.2021484375,0.0302734375,0.0224609375
133,0.076171875,0.0224609375,0.0068359375,0.013671875,0.0185546875
134,0.037109375,0.056640625,0,0.044921875,0.02734375
135,0.056640625,0.03125,0,0.0361328125,0.0224609375
136,0.0888671875,0.0234375,0,0.025390625,0.0234375
137,0.0615234375,0.0234375,0,0.0322265625,0.03515625
138,0.0234375,0.02734375,0,0.0224609375,0.0283203125
139,0.0634765625,0.0205078125,0,0.021484375,0.025390625
140,0.1044921875,0.021484375,0,0.0283203125,0.0146484375
141,0.07421875,0.037109375,0.0146484375,0.0341796875,0.0283203125
142,0.0498046875,0.029296875,0.0478515625,0.0341796875,0.04296875
143,0.0576171875,0.009765625,0.005859375,0.0107421875,0.009765625
144,0.09765625,0.0224609375,0,0.037109375,0.0390625
145,0.0546875,0.0263671875,0.1064453125,0.03515625,0.0263671875
146,0.0361328125,0.0205078125,0.4794921875,0.021484375,0.029296875
147,0.0361328125,0.017578125,0.6044921875,0.0283203125,0.01953125
148,0.103515625,0.029296875,0.2548828125,0.0244140625,0.0224609375
149,0.0888671875,0.0234375,0.4404296875,0.017578125,0.017578125
150,0.033203125,0.033203125,0.947265625,0.0380859375,0.02734375
151,0.0458984375,0.0400390625,0.9365234375,0.0283203125,0.0283203125
152,0.078125,0.0283203125,0.9208984375,0.048828125,0.0322265625
153,0.056640625,0.0234375,0.912109375,0.0107421875,0.0224609375
154,0.0263671875,0.046875,0.884765625,0.0302734375,0.0380859375
155,0.02734375,0.0166015625,0.8251953125,0.029296875,0.0322265625
156,0.06640625,0.0322265625,0.7900390625,0.025390625,0.033203125
157,0.068359375,0.0205078125,0.716796875,0.03515625,0.0224609375
158,0.0263671875,0.0283203125,0.6708984375,0.0283203125,0.0068359375
159,0.037109375,0.021484375,0.6357421875,0.0244140625,0.02734375
160,0.03515625,0.0263671875,0.5615234375,0.0341796875,0.021484375
161,0.0380859375,0.0185546875,0.4677734375,0.0380859375,0.0244140625
162,0.0341796875,0.0244140625,0.3115234375,0.0498046875,0.017578125
163,0.0263671875,0.021484375,0.1943359375,0.01953125,0.015625
164,0.0732421875,0.0185546875,0.083984375,0.0263671875,0.02734375
165,0.0849609375,0.025390625,0.029296875,0.0380859375,0.0224609375
166,0.052734375,0.025390625,0.0029296875,0.0224609375,0.017578125
167,0.04296875,0.0126953125,0.0009765625,0.0244140625,0.015625
168,0.07421875,0.0263671875,0,0.0283203125,0.0126953125
169,0.052734375,0.0224609375,0,0.025390625,0.025390625
170,0.0126953125,0.017578125,0,0.0244140625,0.0078125
171,0.0234375,0.021484375,0,0.0224609375,0.01953125
172,0.0439453125,0.0234375,0.0009765625,0.03125,0.0224609375
173,0.0390625,0.0078125,0.0009765625,0.0126953125,0.017578125
174,0.0234375,0.0244140625,0.0009765625,0.0419921875,0.0126953125
175,0.0380859375,0.0205078125,0,0.017578125,0.0205078125
176,0.072265625,0.01953125,0.017578125,0.025390625,0.015625
177,0.04296875,0.017578125,0.013671875,0.0263671875,0.029296875
178,0.017578125,0.0224609375,0.0146484375,0.0244140625,0.013671875
179,0.0263671875,0.01171875,0.021484375,0.01953125,0.015625
180,0.0654296875,0.017578125,0.0205078125,0.0234375,0.009765625
181,0.046875,0.0234375,0,0.037109375,0.0224609375
182,0.0244140625,0.0302734375,0,0.0517578125,0.017578125
183,0.013671875,0.017578125,0,0.0205078125,0.021484375
184,0.052734375,0.021484375,0,0.0341796875,0.0146484375
185,0.0400390625,0.0185546875,0,0.0283203125,0.0234375
186,0.0234375,0.015625,0.0009765625,0.0341796875,0.033203125
187,0.03125,0.021484375,0.005859375,0.0361328125,0.01171875
188,0.046875,0.0166015625,0.0146484375,0.029296875,0.0234375
189,0.052734375,0.005859375,0.0107421875,0.0244140625,0.0107421875
190,0.0234375,0.017578125,0.013671875,0.033203125,0.0146484375
191,0.04296875,0.025390625,0.0068359375,0.0478515625,0.017578125
192,0.068359375,0.017578125,0.0048828125,0.0546875,0.021484375
193,0.05859375,0.0126953125,0,0.0224609375,0.0009765625
194,0.021484375,0.01953125,0.0068359375,0.046875,0.015625
195,0.0322265625,0.009765625,0.00390625,0.046875,0.01171875
196,0.0625,0.0185546875,0.0029296875,0.04296875,0.015625
197,0.0869140625,0.0185546875,0.0009765625,0.0400390625,0.0126953125
198,0.0283203125,0.009765625,0.001953125,0.029296875,0.0166015625
199,0.03515625,0.0068359375,0.0126953125,0.0302734375,0.01953125
200,0.0458984375,0.015625,0.013671875,0.0576171875,0.013671875
201,0.037109375,0.025390625,0.0126953125,0.03515625,0.0263671875
202,0.0234375,0.0185546875,0.009765625,0.056640625,0.01171875
203,0.0166015625,0.0087890625,0.0029296875,0.025390625,0.017578125
204,0.0439453125,0.0185546875,0.0009765625,0.0361328125,0.0107421875
205,0.041015625,0.0078125,0.001953125,0.025390625,0.0185546875
206,0.0263671875,0.0126953125,0.0009765625,0.0361328125,0.013671875
207,0.0283203125,0.021484375,0.001953125,0.0400390625,0.0205078125
208,0.0390625,0.0126953125,0.0048828125,0.0322265625,0.021484375
209,0.01953125,0.01953125,0.009765625,0.0234375,0.01171875
210,0.0166015625,0.01953125,0.0166015625,0.0341796875,0.0224609375
211,0.0205078125,0.0205078125,0.0166015625,0.0244140625,0.0087890625
212,0.025390625,0.021484375,0.0048828125,0.0361328125,0.01953125
213,0.017578125,0.015625,0.0009765625,0.033203125,0.0078125
214,0.0166015625,0.017578125,0,0.029296875,0.021484375
215,0.01171875,0.005859375,0,0.0224609375,0.01171875
216,0.0224609375,0.0205078125,0,0.0234375,0.0126953125
217,0.0166015625,0.0146484375,0.0048828125,0.01953125,0.015625
218,0.0146484375,0.0185546875,0.0078125,0.0263671875,0.013671875
219,0.0029296875,0.0185546875,0.0234375,0.0322265625,0.017578125
220,0.0107421875,0.0283203125,0.0361328125,0.0224609375,0.013671875
221,0.0107421875,0.017578125,0.0234375,0.0185546875,0.017578125
222,0.01953125,0.0302734375,0.0009765625,0.037109375,0.021484375
223,0.0146484375,0.0126953125,0.0009765625,0.02734375,0.0185546875
224,0.0126953125,0.01953125,0,0.0263671875,0.0166015625
225,0.0107421875,0.0234375,0,0.046875,0.025390625
226,0.0068359375,0.021484375,0,0.03125,0.01171875
227,0.0087890625,0.01171875,0.0009765625,0.03515625,0.0205078125
228,0.013671875,0.0185546875,0.00390625,0.033203125,0.013671875
229,0.015625,0.0146484375,0.021484375,0.0263671875,0.0205078125
230,0.0078125,0.0078125,0.03125,0.01953125,0.01171875
231,0.005859375,0.0185546875,0.017578125,0.015625,0.0205078125
232,0.0068359375,0.0146484375,0.0087890625,0.0361328125,0.005859375
233,0.005859375,0.00390625,0.0009765625,0.0166015625,0.0166015625
234,0.013671875,0.0087890625,0,0.015625,0.0029296875
235,0.0029296875,0.009765625,0,0.0205078125,0.0087890625
236,0.0009765625,0.0078125,0.0009765625,0.0234375,0.0087890625
237,0.00390625,0.01953125,0.0009765625,0.0400390625,0.015625
238,0.009765625,0.01953125,0.0068359375,0.033203125,0.0244140625
239,0.0078125,0.017578125,0.01953125,0.0224609375,0.00390625
240,0.0078125,0.0205078125,0.02734375,0.0302734375,0.009765625
241,0.0068359375,0.013671875,0.017578125,0.0185546875,0.0078125
242,0.01171875,0.0166015625,0.009765625,0.029296875,0.01953125
243,0.001953125,0.015625,0.0009765625,0.0185546875,0.00390625
244,0.0048828125,0.021484375,0,0.0380859375,0.0146484375
245,0.0048828125,0.0146484375,0,0.0283203125,0.00390625
246,0.00390625,0.015625,0,0.017578125,0.01953125
247,0.0087890625,0.013671875,0.0009765625,0.0380859375,0.0205078125
248,0.0048828125,0.0107421875,0.0068359375,0.025390625,0.013671875
249,0.00390625,0.015625,0.017578125,0.041015625,0.01953125
250,0.0048828125,0.033203125,0.0205078125,0.041015625,0.0185546875
251,0.001953125,0.021484375,0.025390625,0.03125,0.0078125
252,0.0068359375,0.01953125,0.005859375,0.0341796875,0.0234375
253,0.0078125,0.0322265625,0,0.037109375,0.0068359375
254,0.009765625,0.009765625,0,0.0302734375,0.0205078125
255,0.0048828125,0.013671875,0,0.0341796875,0.0205078125
256,0.0087890625,0.01171875,0,0.0244140625,0.0126953125
257,0.009765625,0.0166015625,0.0009765625,0.0322265625,0.013671875
258,0.0126953125,0.015625,0.0107421875,0.0166015625,0.0126953125
259,0.0126953125,0.0107421875,0.037109375,0.03125,0.015625
260,0.0166015625,0.0185546875,0.037109375,0.0380859375,0.017578125
261,0.0126953125,0.017578125,0.0146484375,0.037109375,0.0126953125
262,0.015625,0.01953125,0,0.0400390625,0.0302734375
263,0.009765625,0.0107421875,0,0.017578125,0.005859375
264,0.01171875,0.0126953125,0,0.021484375,0.0283203125
265,0.0087890625,0.021484375,0,0.02734375,0.0224609375
266,0.013671875,0.0166015625,0.001953125,0.0302734375,0.025390625
267,0.0146484375,0.01171875,0.0224609375,0.021484375,0.0146484375
268,0.0126953125,0.01171875,0.0458984375,0.0234375,0.025390625
269,0.0146484375,0.00390625,0.0302734375,0.0322265625,0.0126953125
270,0.015625,0.0087890625,0.0009765625,0.013671875,0.0126953125
271,0.017578125,0.0009765625,0,0.0234375,0.017578125
272,0.015625,0.0263671875,0,0.0458984375,0.0244140625
273,0.017578125,0.0029296875,0.0009765625,0.01953125,0.01171875
274,0.0126953125,0.021484375,0.0087890625,0.03125,0.0107421875
275,0.01953125,0.0244140625,0.0390625,0.0302734375,0.0244140625
276,0.0263671875,0.0126953125,0.05078125,0.0341796875,0.01953125
277,0.013671875,0.01171875,0.0390625,0.0234375,0.0146484375
278,0.0126953125,0.0185546875,0,0.037109375,0.0087890625
279,0.0185546875,0.009765625,0,0.029296875,0.0283203125
280,0.0234375,0.0048828125,0,0.0244140625,0.015625
281,0.021484375,0.0166015625,0.0009765625,0.03125,0.029296875
282,0.0166015625,0.00390625,0.001953125,0.0322265625,0.0224609375
283,0.0146484375,0.0068359375,0.013671875,0.0205078125,0.0146484375
284,0.0224609375,0.01171875,0.0478515625,0.0361328125,0.021484375
285,0.0146484375,0.01171875,0.0517578125,0.0322265625,0.0166015625
286,0.0234375,0.013671875,0.0078125,0.0341796875,0.03125
287,0.0146484375,0.0166015625,0,0.0380859375,0.0185546875
288,0.015625,0.0107421875,0,0.0283203125,0.0224609375
289,0.0263671875,0.009765625,0,0.0380859375,0.0234375
290,0.0244140625,0.01171875,0.0126953125,0.03515625,0.0283203125
291,0.0234375,0.0078125,0.0390625,0.037109375,0.03125
292,0.025390625,0.0126953125,0.087890625,0.0390625,0.0322265625
293,0.017578125,0.0107421875,0.037109375,0.029296875,0.03515625
294,0.025390625,0.0126953125,0,0.0341796875,0.0126953125
295,0.0263671875,0.0048828125,0,0.017578125,0.0419921875
296,0.013671875,0.009765625,0,0.033203125,0.0185546875
297,0.0205078125,0.0087890625,0.0126953125,0.021484375,0.0126953125
298,0.0263671875,0.013671875,0.0859375,0.0341796875,0.021484375
299,0.0224609375,0.0087890625,0.08984375,0.0263671875,0.0322265625
300,0.021484375,0.0107421875,0.025390625,0.0361328125,0.0234375
