step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-reward/overlong_reward_mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-reward/overlong_reward_mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-reward/overlong_reward_mean_step,deepseek1.5b_fa_partial_lr1e-6-reward/overlong_reward_mean_step,deepseek1.5b_fa_partial_lr1e-5-reward/overlong_reward_mean_step
31,-0.13020944595336914,-0.06363821029663086,-0.11819100379943848,-0.28240180015563965,-0.0982203483581543
32,-0.18966317176818848,-0.0939939022064209,,-0.28524065017700195,-0.07796835899353027
33,-0.1420905590057373,-0.04676175117492676,,-0.23222112655639648,-0.05011296272277832
34,-0.10764718055725098,-0.06975126266479492,-0.05746316909790039,-0.2577970027923584,-0.06603240966796875
35,-0.09178972244262695,-0.05654430389404297,,-0.23539972305297852,-0.041326284408569336
36,-0.13428092002868652,-0.055722951889038086,,-0.21298980712890625,-0.04004526138305664
37,-0.10633254051208496,-0.030890464782714844,-0.07431316375732422,-0.18621611595153809,-0.027936220169067383
38,-0.09220695495605467,-0.06382513046264648,-0.02729010581970215,-0.2617156505584717,-0.039554595947265625
39,-0.06212568283081055,-0.03887581825256348,,-0.17993688583374023,-0.025393009185791016
40,-0.09982466697692872,-0.03459024429321289,-0.03238558769226074,-0.19861960411071777,-0.02672719955444336
41,-0.11158990859985352,-0.040158748626708984,-0.024735689163208008,-0.226806640625,-0.026477813720703125
42,-0.05705738067626953,-0.0323183536529541,-0.01740884780883789,-0.21590733528137207,-0.022871017456054688
43,-0.04805541038513184,-0.0199277400970459,-0.0002038478851318359,-0.1595327854156494,-0.00808858871459961
44,-0.07472038269042969,-0.0178070068359375,-0.000985860824584961,-0.1896984577178955,-0.007954835891723633
45,-0.07395720481872559,-0.014823198318481444,-0.003081083297729492,-0.1757967472076416,-0.012642145156860352
46,-0.06389760971069336,-0.02949857711791992,-0.004088163375854492,-0.19385695457458496,-0.0178377628326416
47,-0.0632941722869873,-0.02138066291809082,-0.003563880920410156,-0.17731404304504397,-0.01303863525390625
48,-0.06428313255310059,-0.017487287521362305,-0.004235029220581055,-0.17672944068908691,-0.008000850677490234
49,-0.05615568161010742,-0.01497817039489746,-0.006976604461669922,-0.12635231018066406,-0.011262178421020508
50,-0.04082155227661133,-0.012475967407226562,-0.006603240966796875,-0.13872861862182617,-0.007491111755371094
51,-0.03860163688659668,-0.011123418807983398,-0.0042724609375,-0.1376965045928955,-0.006323099136352539
52,-0.046808481216430664,-0.011460542678833008,-0.0031578540802001953,-0.12564301490783691,-0.005678653717041016
53,-0.033426523208618164,-0.010768890380859377,-0.00033783912658691406,-0.0968153476715088,-0.006503105163574219
54,-0.031190872192382812,-0.009752511978149414,-0.0011823177337646484,-0.10318946838378906,-0.0059337615966796875
55,-0.03442263603210449,-0.014356613159179688,-0.0004622936248779297,-0.10443234443664552,-0.007984638214111328
56,-0.03885221481323242,-0.01004958152770996,-0.0027768611907958984,-0.10470414161682128,-0.008637428283691406
57,-0.03771615028381348,-0.008884429931640625,-0.005536079406738281,-0.10270237922668456,-0.0059604644775390625
58,-0.01724696159362793,-0.007213115692138672,-0.005353450775146484,-0.08730292320251465,-0.003852605819702149
59,-0.0239715576171875,-0.008185148239135742,-0.0017812252044677734,-0.09144163131713869,-0.007587671279907227
60,-0.0168304443359375,-0.008350610733032227,-0.0017533302307128906,-0.09830594062805176,-0.00617527961730957
61,-0.020762920379638672,-0.008072137832641602,-0.00028586387634277344,-0.08701968193054199,-0.004868030548095703
62,-0.024387836456298828,-0.01143336296081543,-0.0007212162017822266,-0.07573437690734863,-0.004892110824584961
63,-0.014291048049926758,-0.0070421695709228516,0,-0.0598604679107666,-0.005162715911865234
64,-0.014194488525390623,-0.014618635177612305,-8.344650268554688e-06,-0.07033920288085938,-0.006531953811645508
65,-0.009806156158447266,-0.006266593933105469,-0.0044307708740234375,-0.04635906219482422,-0.003384828567504883
66,-0.015948772430419922,-0.007861852645874023,-0.007458686828613281,-0.05008244514465332,-0.004626035690307617
67,-0.023537158966064453,-0.012109994888305664,-0.00950026512145996,-0.06017780303955078,-0.005505561828613281
68,-0.009043216705322266,-0.009506940841674805,-0.0045604705810546875,-0.0632634162902832,-0.00598597526550293
69,-0.010480880737304688,-0.008513689041137695,-0.0028917789459228516,-0.03659462928771973,-0.005101919174194336
70,-0.015251874923706056,-0.009165763854980469,-0.0006537437438964844,-0.04192543029785156,-0.003437519073486328
71,-0.013247013092041016,-0.0056781768798828125,-0.0003938674926757813,-0.035819292068481445,-0.003269672393798828
72,-0.010360002517700195,-0.011931419372558594,0,-0.05399584770202637,-0.003387451171875
73,-0.01121234893798828,-0.004381418228149414,0,-0.03137660026550293,-0.002182483673095703
74,-0.021739721298217773,-0.01041889190673828,-8.487701416015625e-05,-0.037772178649902344,-0.003827333450317383
75,-0.021126508712768555,-0.012474536895751951,-0.0018467903137207031,-0.03542661666870117,-0.0040743350982666016
76,-0.009859561920166016,-0.007794857025146484,-0.007011175155639648,-0.04106998443603515,-0.002952098846435547
77,-0.007756471633911133,-0.00832366943359375,-0.009918689727783205,-0.030055999755859375,-0.003120899200439453
78,-0.021131515502929688,-0.007933378219604492,-0.008011817932128906,-0.02861356735229492,-0.0018527507781982424
79,-0.01929759979248047,-0.007233858108520508,-0.004675865173339844,-0.028211116790771484,-0.0022878646850585938
80,-0.004812002182006836,-0.006014585494995117,-0.0005292892456054688,-0.031210899353027344,-0.00251913070678711
81,-0.007940530776977539,-0.008571147918701172,-0.0001227855682373047,-0.018959760665893555,-0.002809762954711914
82,-0.025049924850463867,-0.014929533004760742,0,-0.0332646369934082,-0.005096435546875
83,-0.012104511260986328,-0.005411863327026367,-3.24249267578125e-05,-0.023408174514770508,-0.001369953155517578
84,-0.0045588016510009766,-0.009925603866577148,-0.0005815029144287109,-0.017984390258789062,-0.0041866302490234375
85,-0.0028696060180664062,-0.010967016220092772,-0.0006170272827148438,-0.021304845809936523,-0.005864143371582031
86,-0.0218045711517334,-0.008947372436523438,-0.004220485687255859,-0.014547348022460938,-0.0033614635467529297
87,-0.013624906539916992,-0.010014533996582031,-0.00487065315246582,-0.02044844627380371,-0.0032126903533935547
88,-0.006864786148071289,-0.010282516479492188,-0.003720760345458984,-0.014509916305541992,-0.004492998123168945
89,-0.004573345184326172,-0.00741124153137207,-8.034706115722656e-05,-0.014263153076171877,-0.004042625427246094
90,-0.02280879020690918,-0.0068204402923583984,-0.00026297569274902344,-0.015357494354248049,-0.003288745880126953
91,-0.019639253616333008,-0.006403923034667969,-2.002716064453125e-05,-0.01649761199951172,-0.0029594898223876953
92,-0.0024254322052001953,-0.007406949996948242,0,-0.027699708938598633,-0.004060268402099609
93,-0.003876209259033203,-0.003011465072631836,-0.0003209114074707031,-0.004885196685791016,-0.0016732215881347656
94,-0.03184628486633301,-0.003693819046020508,-0.0004377365112304687,-0.014451980590820312,-0.0014612674713134766
95,-0.021034955978393555,-0.003841876983642578,-0.005258321762084961,-0.008234739303588867,-0.004414558410644531
96,-0.004735231399536133,-0.004576206207275391,-0.00693202018737793,-0.01455831527709961,-0.003841400146484375
97,-0.007727622985839844,-0.006752490997314453,-0.0021059513092041016,-0.014275312423706056,-0.004344463348388672
98,-0.03822755813598633,-0.005922079086303711,-6.318092346191406e-05,-0.015660762786865234,-0.00590062141418457
99,-0.03784751892089844,-0.005991935729980469,0,-0.01267719268798828,-0.003736734390258789
100,-0.012575387954711914,-0.006655216217041016,0,-0.009284019470214844,-0.0054721832275390625
101,-0.020864009857177734,-0.008066892623901367,0,-0.013780832290649414,-0.005496978759765625
102,-0.04847216606140137,-0.007039546966552734,0,-0.02460455894470215,-0.007231473922729492
103,-0.018742084503173828,-0.0016469955444335938,-4.744529724121094e-05,-0.006379365921020508,-0.003093719482421875
104,-0.01949191093444824,-0.006532430648803711,-0.0008492469787597656,-0.011887311935424805,-0.0039064884185791016
105,-0.018265485763549805,-0.003467321395874023,-0.002433300018310547,-0.008092403411865234,-0.0026705265045166016
106,-0.016865015029907227,-0.005189418792724609,-0.001405954360961914,-0.008738040924072266,-0.005460500717163086
107,-0.022629261016845703,-0.003137826919555664,-6.699562072753906e-05,-0.008490800857543945,-0.0034945011138916016
108,-0.018790721893310547,-0.008742570877075195,0,-0.011170387268066406,-0.0054454803466796875
109,-0.020015239715576172,-0.004718780517578125,0,-0.013379812240600586,-0.0052642822265625
110,-0.017652034759521484,-0.003007650375366211,-5.91278076171875e-05,-0.010737895965576172,-0.00496983528137207
111,-0.03704690933227539,-0.0044744014739990234,-0.0005450248718261719,-0.013165950775146484,-0.005175590515136719
112,-0.04509210586547851,-0.0033190250396728516,-0.0016663074493408203,-0.009813308715820312,-0.0038187503814697266
113,-0.027024507522583008,-0.0015666484832763672,-0.0008058547973632812,-0.003912925720214844,-0.0010447502136230469
114,-0.017960071563720703,-0.004387617111206055,-2.2172927856445312e-05,-0.004914045333862305,-0.003668785095214844
115,-0.023388147354125977,-0.0039958953857421875,0,-0.006952047348022461,-0.0027811527252197266
116,-0.01929020881652832,-0.006894350051879883,0,-0.01132512092590332,-0.002463340759277344
117,-0.023173809051513672,-0.007658481597900391,0,-0.007578849792480469,-0.0028908252716064453
118,-0.009067058563232422,-0.003081798553466797,-7.152557373046875e-07,-0.00928807258605957,-0.0056133270263671875
119,-0.020520687103271484,-0.0024361610412597656,0,-0.006935358047485352,-0.0020804405212402344
120,-0.03842902183532715,-0.003488779067993164,-0.0003314018249511719,-0.011963605880737305,-0.007264852523803711
121,-0.036527395248413086,-0.0030891895294189453,-0.00039124488830566406,-0.009887456893920898,-0.009056806564331056
122,-0.014481544494628906,-0.0025403499603271484,-0.0002310276031494141,-0.016613245010375977,-0.0030536651611328125
123,-0.016399383544921875,-0.001772165298461914,0,-0.004645109176635742,-0.004559516906738281
124,-0.03354310989379883,-0.0023064613342285156,0,-0.007590770721435547,-0.0024995803833007812
125,-0.029672622680664062,-0.005497932434082031,-6.866455078125e-05,-0.012057065963745115,-0.0048999786376953125
126,-0.016643285751342773,-0.004342794418334961,-0.0007967948913574219,-0.004986763000488281,-0.0022563934326171875
127,-0.02121448516845703,-0.004223823547363281,-0.0009474754333496094,-0.006642341613769531,-0.008029937744140625
128,-0.029446125030517575,-0.006707429885864258,-0.00011849403381347656,-0.008276939392089844,-0.006161689758300781
129,-0.02256298065185547,-0.002646207809448242,0,-0.00904536247253418,-0.004016876220703125
130,-0.019231081008911133,-0.005750417709350586,-0.0007047653198242188,-0.007681846618652344,-0.0023131370544433594
131,-0.021564245223999023,-0.005975008010864258,-0.006013631820678711,-0.005998849868774414,-0.0038764476776123047
132,-0.024802684783935547,-0.004180908203125,-0.006983518600463867,-0.00644683837890625,-0.0027108192443847656
133,-0.022061586380004883,-0.0030515193939208984,-0.0001666545867919922,-0.002279996871948242,-0.00293731689453125
134,-0.010648727416992188,-0.00937342643737793,0,-0.008160114288330078,-0.003445863723754883
135,-0.014747142791748049,-0.0044744014739990234,0,-0.006730794906616211,-0.002051353454589844
136,-0.02282094955444336,-0.003256082534790039,0,-0.004642486572265625,-0.004060983657836914
137,-0.01662611961364746,-0.002378225326538086,0,-0.005390167236328125,-0.004601240158081055
138,-0.005873203277587891,-0.004547595977783203,0,-0.005016803741455078,-0.003949880599975586
139,-0.019294023513793945,-0.002373695373535156,0,-0.003668785095214844,-0.0030715465545654297
140,-0.024883270263671875,-0.0025174617767333984,0,-0.0059435367584228516,-0.0023984909057617188
141,-0.021364927291870117,-0.004366397857666016,-0.0001201629638671875,-0.005120277404785156,-0.006106376647949219
142,-0.014351367950439451,-0.0056302547454833984,-0.0004324913024902344,-0.00816798210144043,-0.009754180908203123
143,-0.015064477920532228,-0.0027320384979248047,-8.130073547363281e-05,-0.001644611358642578,-0.0009317398071289062
144,-0.026363134384155273,-0.003049612045288086,0,-0.008611202239990234,-0.005863666534423828
145,-0.014899253845214844,-0.003397703170776367,-0.0014712810516357422,-0.006779193878173828,-0.003812313079833984
146,-0.01165628433227539,-0.0022897720336914062,-0.019615888595581055,-0.0035767555236816406,-0.003721475601196289
147,-0.00937485694885254,-0.002711057662963867,-0.02727031707763672,-0.00490260124206543,-0.002594470977783203
148,-0.02960038185119629,-0.004549980163574219,-0.007050514221191406,-0.004265546798706055,-0.005185842514038086
149,-0.02709794044494629,-0.003445148468017578,-0.13610529899597168,-0.002831697463989258,-0.0026912689208984375
150,-0.01259303092956543,-0.0042552947998046875,-0.45781612396240234,-0.006270170211791992,-0.003746986389160156
151,-0.014113903045654295,-0.004292964935302734,-0.6044957637786865,-0.0052645206451416016,-0.003742218017578125
152,-0.024082660675048828,-0.003337860107421875,-0.5964076519012451,-0.010105133056640623,-0.005397319793701172
153,-0.012902498245239258,-0.0027587413787841797,-0.5930445194244385,-0.0017418861389160156,-0.002573251724243164
154,-0.007919073104858398,-0.0058863162994384766,-0.5663871765136719,-0.0035858154296875,-0.003576040267944336
155,-0.008254528045654297,-0.0021822452545166016,-0.4771881103515625,-0.0054931640625,-0.0042591094970703125
156,-0.016365528106689453,-0.00519251823425293,-0.44425415992736816,-0.004706621170043945,-0.005072832107543945
157,-0.015957117080688477,-0.0019266605377197263,-0.36886000633239746,-0.0062863826751708984,-0.0026683807373046875
158,-0.006724357604980469,-0.0031375885009765625,-0.31058287620544434,-0.003627300262451172,-0.0004317760467529297
159,-0.009094476699829102,-0.0032241344451904297,-0.2770414352416992,-0.002603292465209961,-0.0035855770111083984
160,-0.0066204071044921875,-0.002633094787597656,-0.20587682723999023,-0.0044443607330322266,-0.002765417098999023
161,-0.007636308670043945,-0.003883838653564453,-0.1383566856384277,-0.006819725036621094,-0.003694534301757813
162,-0.011064767837524414,-0.002288341522216797,-0.07364892959594727,-0.00945448875427246,-0.0029103755950927734
163,-0.005816221237182617,-0.0038154125213623047,-0.03629660606384277,-0.0032765865325927734,-0.001595258712768555
164,-0.015303850173950195,-0.0013556480407714844,-0.011407852172851562,-0.0037441253662109375,-0.004263162612915039
165,-0.0167844295501709,-0.003529071807861328,-0.0030591487884521484,-0.00738525390625,-0.004298686981201172
166,-0.010994911193847656,-0.0035686492919921875,-0.0001842975616455078,-0.003998756408691406,-0.0017178058624267578
167,-0.010420799255371094,-0.0016863346099853516,-5.412101745605469e-05,-0.004230022430419922,-0.0026865005493164062
168,-0.016901254653930664,-0.003285646438598633,0,-0.0044820308685302734,-0.0017228126525878906
169,-0.011390447616577148,-0.004177570343017578,0,-0.004889011383056641,-0.0034401416778564453
170,-0.002053499221801758,-0.002290487289428711,0,-0.0038962364196777344,-0.0014023780822753906
171,-0.0051996707916259766,-0.0032913684844970703,0,-0.004556179046630859,-0.0014104843139648438
172,-0.01298379898071289,-0.0028228759765625,-4.410743713378906e-05,-0.003381490707397461,-0.003492116928100586
173,-0.0056149959564208984,-0.0007500648498535156,-1.430511474609375e-06,-0.0018239021301269531,-0.001934528350830078
174,-0.004969120025634766,-0.004372835159301758,-2.1219253540039062e-05,-0.01209092140197754,-0.002286672592163086
175,-0.009292840957641602,-0.0024559497833251953,0,-0.002239465713500977,-0.0027358531951904297
176,-0.01738286018371582,-0.0036208629608154297,-0.0010023117065429688,-0.0042760372161865234,-0.0015621185302734375
177,-0.0107879638671875,-0.0014319419860839844,-0.0010523796081542969,-0.004611968994140625,-0.003904104232788086
178,-0.00464940071105957,-0.003052949905395508,-0.0007076263427734375,-0.0069200992584228516,-0.002029895782470703
179,-0.006238460540771484,-0.0016264915466308594,-0.0009186267852783204,-0.005476951599121094,-0.0023756027221679688
180,-0.01594257354736328,-0.002070188522338867,-0.0009958744049072266,-0.0035860538482666016,-0.0008339881896972656
181,-0.008785724639892578,-0.004038572311401367,0,-0.006087779998779297,-0.003159761428833008
182,-0.00645136833190918,-0.006737232208251953,0,-0.011445045471191406,-0.0034532546997070312
183,-0.002537250518798828,-0.002167224884033203,0,-0.002964496612548828,-0.0034284591674804688
184,-0.011960983276367188,-0.0031135082244873047,0,-0.007228374481201172,-0.002974271774291992
185,-0.007710933685302734,-0.0025806427001953125,0,-0.004848480224609375,-0.0022797584533691406
186,-0.005274534225463867,-0.0014014244079589844,-3.24249267578125e-05,-0.003309965133666992,-0.004656076431274414
187,-0.0059931278228759766,-0.0021343231201171875,-8.726119995117188e-05,-0.00616002082824707,-0.0016276836395263672
188,-0.011408805847167969,-0.0023572444915771484,-0.0006091594696044922,-0.00560760498046875,-0.004041433334350586
189,-0.012149572372436523,-0.001177072525024414,-0.00035119056701660156,-0.003751277923583984,-0.0015330314636230469
190,-0.00630640983581543,-0.0032956600189208984,-0.00034880638122558594,-0.006482601165771484,-0.003966093063354492
191,-0.010764837265014648,-0.0028083324432373047,-0.0001652240753173828,-0.012310504913330078,-0.0040569305419921875
192,-0.017354965209960938,-0.001667022705078125,-9.751319885253906e-05,-0.007691860198974609,-0.003394126892089844
193,-0.010458946228027344,-0.002093791961669922,0,-0.002650022506713867,-8.344650268554688e-05
194,-0.005679607391357422,-0.0018935203552246096,-0.00021219253540039065,-0.008249759674072266,-0.0015795230865478516
195,-0.006705045700073242,-0.0011196136474609375,-7.081031799316406e-05,-0.007989168167114258,-0.0010247230529785156
196,-0.014055967330932615,-0.0024099349975585938,-6.747245788574219e-05,-0.007170200347900391,-0.001998424530029297
197,-0.01770758628845215,-0.0018558502197265625,-2.3365020751953125e-05,-0.009491682052612305,-0.002264738082885742
198,-0.006586313247680664,-0.0014281272888183594,-1.0013580322265623e-05,-0.005282163619995117,-0.000987529754638672
199,-0.00903034210205078,-0.0009336471557617188,-0.00027680397033691406,-0.004433393478393555,-0.002845287322998047
200,-0.009976863861083984,-0.001207590103149414,-0.0005552768707275391,-0.00978708267211914,-0.0017735958099365234
201,-0.008414268493652344,-0.002459287643432617,-0.000408172607421875,-0.0044515132904052734,-0.0027184486389160156
202,-0.004024505615234375,-0.0019431114196777344,-0.0003495216369628906,-0.013936281204223633,-0.001058816909790039
203,-0.002312898635864258,-0.0010378360748291016,-6.794929504394531e-05,-0.00447392463684082,-0.002546548843383789
204,-0.008647918701171875,-0.0017366409301757812,-2.384185791015625e-06,-0.006943464279174805,-0.0019044876098632812
205,-0.00951385498046875,-0.001359701156616211,-1.9550323486328125e-05,-0.004768610000610352,-0.0018155574798583984
206,-0.006065845489501953,-0.0011696815490722656,-1.430511474609375e-06,-0.005781888961791992,-0.0012459754943847656
207,-0.0046193599700927734,-0.0033080577850341797,-2.4080276489257812e-05,-0.006605386734008789,-0.002054929733276367
208,-0.008196353912353516,-0.001529216766357422,-0.00018477439880371096,-0.0063550472259521484,-0.003385305404663086
209,-0.004701137542724609,-0.0033712387084960938,-0.00035071372985839844,-0.005094766616821289,-0.0018634796142578125
210,-0.002866029739379883,-0.001878499984741211,-0.0002543926239013672,-0.007794380187988281,-0.0033032894134521484
211,-0.002920866012573242,-0.0030155181884765625,-0.00046133995056152344,-0.0038001537322998047,-0.0009336471557617188
212,-0.004822969436645508,-0.002683877944946289,-0.00012135505676269533,-0.00632023811340332,-0.0023546218872070312
213,-0.0015783309936523438,-0.001335859298706055,-7.152557373046875e-06,-0.005196571350097656,-0.0011103153228759766
214,-0.0021746158599853516,-0.0027434825897216797,0,-0.00496220588684082,-0.002448558807373047
215,-0.0019729137420654297,-0.0007028579711914062,0,-0.003731727600097656,-0.0012557506561279297
216,-0.004148244857788086,-0.0019130706787109375,0,-0.003106117248535156,-0.0020270347595214844
217,-0.0024518966674804688,-0.003060340881347656,-7.319450378417969e-05,-0.0039060115814208984,-0.002437591552734375
218,-0.0018970966339111328,-0.0028181076049804688,-0.00015735626220703125,-0.0029976367950439453,-0.0017242431640625
219,-0.0004639625549316406,-0.00216817855834961,-0.0006580352783203125,-0.006093263626098633,-0.0027091503143310547
220,-0.001001596450805664,-0.0035462379455566406,-0.000705718994140625,-0.003475189208984375,-0.0012814998626708984
221,-0.002126932144165039,-0.0020599365234375,-0.0005316734313964844,-0.0028252601623535156,-0.002521276473999023
222,-0.005188703536987305,-0.0078051090240478516,-1.4781951904296877e-05,-0.007071018218994141,-0.005590915679931641
223,-0.003297567367553711,-0.0016968250274658203,-1.6450881958007812e-05,-0.0042667388916015625,-0.0026297569274902344
224,-0.002604246139526367,-0.002080678939819336,0,-0.004197835922241211,-0.0030410289764404297
225,-0.001413583755493164,-0.002385854721069336,0,-0.008455276489257812,-0.0037276744842529297
226,-0.0017323493957519531,-0.0025031566619873047,0,-0.004772663116455078,-0.0019261837005615232
227,-0.0021495819091796875,-0.0007293224334716797,-4.0531158447265625e-06,-0.007432699203491211,-0.002707242965698242
228,-0.0028333663940429688,-0.0024309158325195312,-4.76837158203125e-05,-0.008006572723388672,-0.002819538116455078
229,-0.001737833023071289,-0.001819610595703125,-0.0003275871276855469,-0.0037848949432373047,-0.002172231674194336
230,-0.0007734298706054688,-0.001063823699951172,-0.0006453990936279297,-0.0028455257415771484,-0.00291299819946289
231,-0.0017418861389160156,-0.0014491081237792969,-0.00026702880859375,-0.002420186996459961,-0.0036363601684570312
232,-0.0013620853424072266,-0.0013885498046875,-0.0001544952392578125,-0.004942178726196289,-0.001399993896484375
233,-0.0007417201995849609,-0.0005373954772949219,-6.198883056640625e-06,-0.0021789073944091797,-0.0037279129028320312
234,-0.0027875900268554688,-0.0003898143768310547,0,-0.001743793487548828,-0.00024890899658203125
235,-0.0008645057678222656,-0.000705718994140625,0,-0.003893613815307617,-0.0011112689971923828
236,-9.131431579589844e-05,-0.001149892807006836,-2.384185791015625e-07,-0.0049173831939697266,-0.001034259796142578
237,-0.00032520294189453125,-0.0019681453704833984,-2.6226043701171875e-06,-0.011365652084350586,-0.0016536712646484375
238,-0.0016329288482666016,-0.003117084503173828,-7.62939453125e-05,-0.004718780517578125,-0.002935171127319336
239,-0.0013856887817382812,-0.002302408218383789,-0.0002989768981933594,-0.003384828567504883,-0.00030612945556640625
240,-0.0006277561187744141,-0.002125263214111328,-0.0003600120544433594,-0.006131649017333984,-0.0012614727020263672
241,-0.0011601448059082031,-0.0011801719665527344,-0.00024819374084472656,-0.003409147262573242,-0.0027065277099609375
242,-0.002641916275024414,-0.0013017654418945312,-0.00011587142944335938,-0.004833221435546875,-0.0017254352569580078
243,-0.0007376670837402344,-0.00214385986328125,-3.337860107421875e-06,-0.0016596317291259766,-0.000560760498046875
244,-0.0006773471832275391,-0.0026814937591552734,0,-0.008928537368774414,-0.0023391246795654297
245,-0.0005631446838378906,-0.0015888214111328125,0,-0.0062868595123291016,-0.0002267360687255859
246,-0.000652313232421875,-0.0019104480743408203,0,-0.0017893314361572266,-0.0037078857421875
247,-0.0018508434295654297,-0.0024099349975585938,-1.0013580322265623e-05,-0.009461641311645508,-0.004914283752441406
248,-0.0010738372802734375,-0.0009779930114746094,-5.125999450683594e-05,-0.003598451614379883,-0.0019469261169433592
249,-0.00048279762268066406,-0.0010128021240234375,-0.0001270771026611328,-0.006110191345214844,-0.002702951431274414
250,-0.000583648681640625,-0.004372835159301758,-0.00018453598022460935,-0.006656646728515625,-0.003862857818603515
251,-0.00041365623474121094,-0.0027132034301757812,-0.00034308433532714844,-0.0051534175872802734,-0.0011012554168701172
252,-0.0004954338073730469,-0.0035636425018310547,-2.2411346435546875e-05,-0.0056858062744140625,-0.004253387451171875
253,-0.0007598400115966797,-0.005530595779418945,0,-0.006592750549316406,-0.0008220672607421875
254,-0.0023174285888671875,-0.001363992691040039,0,-0.005733489990234375,-0.0042552947998046875
255,-0.001198530197143555,-0.0013737678527832031,0,-0.004216909408569336,-0.0032606124877929688
256,-0.001310586929321289,-0.0008242130279541016,0,-0.004570960998535156,-0.0015840530395507812
257,-0.001709699630737305,-0.002336740493774414,-1.430511474609375e-05,-0.0063054561614990234,-0.0015044212341308594
258,-0.002101421356201172,-0.0018537044525146484,-0.00012159347534179688,-0.0052394866943359375,-0.0007860660552978516
259,-0.0018341541290283203,-0.0005955696105957031,-0.0003688335418701172,-0.006869077682495117,-0.001708984375
260,-0.0025358200073242188,-0.0028018951416015625,-0.0004162788391113281,-0.007716655731201172,-0.003484010696411133
261,-0.0017702579498291016,-0.002595186233520508,-0.00016379356384277344,-0.005208253860473633,-0.0017964839935302734
262,-0.001495361328125,-0.0017695426940917969,0,-0.005850076675415039,-0.004073381423950195
263,-0.001691579818725586,-0.0009119510650634766,0,-0.0015459060668945312,-0.0007135868072509766
264,-0.0016553401947021484,-0.0011713504791259766,0,-0.002805471420288086,-0.005879640579223633
265,-0.0008742809295654297,-0.0015053749084472656,0,-0.003906726837158203,-0.003284215927124023
266,-0.001878976821899414,-0.0014958381652832031,-2.4080276489257812e-05,-0.00375676155090332,-0.003809213638305664
267,-0.0018112659454345703,-0.0008146762847900391,-0.0002048015594482422,-0.003706216812133789,-0.0022814273834228516
268,-0.002035379409790039,-0.0008339881896972656,-0.0003864765167236328,-0.004380464553833008,-0.005055665969848633
