step,deepseek1.5b_sync_8gpu_lr3e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-response_length/mean_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-response_length/mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_lr5e-6-response_length/mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-response_length/mean_step,deepseek1.5b_fa_partial_lr1e-6-response_length/mean_step,deepseek1.5b_fa_partial_lr1e-5-response_length/mean_step,deepseek1.5b_sync_lr1e-5-response_length/mean_step,deepseek1.5b_sync_lr1e-6-response_length/mean_step
37,2575.015625,3209.892578125,3677.353515625,2543.4130859375,2801.845703125,2536.751953125,3010.1796875,,4055.3671875,2960.79296875,2483.2568359375,3575.720703125
38,2406.90625,2935.5478515625,3614.373046875,2514.2080078125,3309.373046875,2393.1123046875,2540.4970703125,1909.9072265625,4712.5126953125,3122.28515625,2441.69140625,3525.7060546875
39,2565.9560546875,3159.076171875,3137.51171875,2621.2392578125,2889.9150390625,2582.72265625,,1867.4521484375,4080.5791015625,2862.9208984375,2679.453125,3623.7041015625
40,2549.634765625,2987.64453125,3843.1015625,2632.96875,2929.91796875,,2340.7099609375,,4328.01953125,2969.4658203125,2680.6435546875,3497.919921875
41,2595.037109375,3005.09375,3880.0029296875,2629.048828125,3138.3203125,2813.810546875,2154.90625,,4441.8017578125,3030.02734375,2792.896484375,3603.0888671875
42,2577.177734375,2991.359375,3360.34375,2784.6435546875,3086.5380859375,2823.8388671875,2041.796875,2474.2314453125,4536.4697265625,3076.1748046875,2758.1083984375,3498.9677734375
43,2803.5634765625,3127.6240234375,3074.48828125,,2673.0185546875,2780.8505859375,1632.77734375,2448.87890625,3847.515625,2614.626953125,2850.1962890625,3537.7587890625
44,2698.9912109375,2914.3134765625,3564.431640625,2773.6171875,2780.02734375,2814.583984375,1551.8984375,2150.0087890625,4169.7734375,2612.771484375,2708.7138671875,3343.5078125
45,2740.4052734375,3058.84375,3547.515625,2918.3544921875,2805.0478515625,3019.0927734375,1502.060546875,2024.7451171875,4170.8916015625,2768.59765625,3012.556640625,3520.59375
46,2406.4658203125,2677.484375,3367.77734375,2732.3330078125,3063.849609375,2708.904296875,1614.24609375,2057.38671875,4308.6708984375,3000.3486328125,2763.5107421875,3197.82421875
47,2411.5869140625,2747.94140625,3300.9228515625,,2782.5048828125,2753.4248046875,1585.833984375,,3986.390625,2692.1904296875,2756.265625,3142.4677734375
48,2325.4990234375,2709.537109375,3600.8466796875,2667.6181640625,2900.2763671875,2655.3203125,1548.2822265625,2625.2109375,4206.822265625,2797.4013671875,2736.90234375,3217.48046875
49,2421.591796875,2763.2763671875,3335.3466796875,2723.2978515625,2765.7412109375,,1713.404296875,3093.748046875,3586.033203125,2640.90625,2785.2041015625,3129.9521484375
50,2280.810546875,2648.82421875,3212.32421875,2654.009765625,2888.423828125,2454.30859375,1682.6455078125,3144.8818359375,3835.6669921875,2780.0849609375,2677.9619140625,2979.89453125
51,2313.7412109375,2694.681640625,3072.8701171875,2690.771484375,2730.80078125,2466.0849609375,1511.2294921875,2828.685546875,3637.734375,2639.3125,2685.9130859375,3058.5185546875
52,2429.916015625,2732.30859375,3355.6455078125,2643.7646484375,2857.740234375,2467.2783203125,1376.8779296875,2813.4140625,3839.9931640625,2673.65234375,2704.5361328125,2991.791015625
53,2403.0673828125,2656.5478515625,2992.9912109375,2562.8212890625,2518.0361328125,2474.263671875,1255.34375,3119.626953125,3088.1884765625,2534.9296875,2631.791015625,2955.4423828125
54,2683.1689453125,2699.64453125,2907.927734375,2819.0458984375,2640.796875,2636.56640625,1280.6962890625,3601.6875,3395.2236328125,2565.3720703125,2806.2275390625,3164.640625
55,2581.4873046875,2730.44921875,2870.33203125,2693.818359375,2670.11328125,2507.669921875,1336.458984375,3482.1201171875,3317.734375,2582.2685546875,2795.154296875,3111.0625
56,2646.1806640625,2709.6103515625,3199.396484375,2767.306640625,2696.5673828125,2638.2978515625,1504.0654296875,3348.8583984375,3466.103515625,2806.05078125,2781.1435546875,3083.5244140625
57,2537.1357421875,2495.08203125,2967.3681640625,2574.9853515625,2530.31640625,2513.4658203125,1572.4921875,3616.12109375,3231.1416015625,2545.943359375,2683.5595703125,2974.736328125
58,2811.5498046875,2807.462890625,2741.8486328125,2862.2666015625,2658.7236328125,2843.466796875,1540.3369140625,3963.505859375,3209.2109375,2518.2177734375,2961.89453125,3336.03515625
59,2788.984375,2699.5283203125,2828.8955078125,2777.4169921875,2660.16796875,2785.771484375,1297.4287109375,3323.5810546875,3178.6162109375,2738.5068359375,2934.7158203125,3195.0302734375
60,2768.20703125,2716.216796875,2850.478515625,2744.87109375,2715.2705078125,2810.041015625,1136.1630859375,,3335.666015625,2616.8837890625,2958.8486328125,3162.916015625
61,2616.228515625,2751.1591796875,2765.8017578125,2855.0517578125,2637.0673828125,2860.3935546875,1079.806640625,3651.1201171875,3070.53515625,2668.3662109375,3032.2958984375,3083.8994140625
62,2388.05078125,2503.015625,2864.939453125,2642.9072265625,2809.92578125,2605.275390625,1062.638671875,4078.287109375,3240.07421875,2678.6396484375,2807.2666015625,2761.1533203125
63,2555.01953125,2609.82421875,2613.98828125,2755.9306640625,2581.7548828125,2834.4931640625,1049.2333984375,3957.421875,2826.1455078125,2521.0263671875,2949.8671875,2991.751953125
64,2405.5,2461.919921875,2645.763671875,2633.5439453125,2713.1982421875,2654.0732421875,1241.8173828125,3867.5029296875,3152.0107421875,2633.6982421875,2779.357421875,2725.1787109375
65,2455.0263671875,2606.2568359375,2544.8876953125,2738.576171875,2615.5087890625,2827.9072265625,1401.3408203125,4021.3271484375,2784.5869140625,2514.935546875,2860.5576171875,2791.9697265625
66,2387.09375,2650.4453125,2604.25390625,2659.615234375,2633.748046875,2711.8837890625,1643.8662109375,4055.0048828125,2843.7978515625,2538.734375,2844.427734375,2875.076171875
67,2413.455078125,2444.1767578125,2699.7607421875,2614.333984375,2840.5009765625,2664.8193359375,1739.009765625,4037.1103515625,2977.3466796875,2576.279296875,2847.5029296875,2929.8349609375
68,2376.8505859375,2531.5322265625,2332.35546875,2613.63671875,2736.09375,2632.25,1560.6162109375,4370.2060546875,2987.033203125,2586.30078125,2835.328125,2854.0009765625
69,2438.2763671875,2570.923828125,2365.3701171875,2624.78125,2615.30859375,2672.36328125,1355.6044921875,4292.869140625,2677.2177734375,2579.77734375,2838.015625,3021.3837890625
70,2391.6748046875,2439.9169921875,2577.220703125,2497.8369140625,2754.697265625,2650.5302734375,1138.73046875,4217.4638671875,2797.7431640625,2581.1982421875,2836.75390625,2872.5107421875
71,2357.0732421875,2499.8828125,2540.365234375,2547.0869140625,2707.8564453125,2679.4521484375,1038.82421875,4292.529296875,2746.0732421875,2572.703125,2876.6953125,2878.4375
72,2398.58203125,2495.0107421875,2482.697265625,2551.2265625,2935.6455078125,2817.484375,1008.7568359375,4244.18359375,3045.453125,2663.861328125,2842.1533203125,2839.2373046875
73,2292.66015625,2401.755859375,2375.33984375,2477.7314453125,2717.6962890625,2683.189453125,1048.08984375,4367.447265625,2803.1611328125,2586.7001953125,2736.9375,2690.3525390625
74,2371.515625,2546.767578125,2793.7548828125,2568.1044921875,2823.7392578125,2749.0048828125,1294.7353515625,4714.0751953125,2857.1630859375,2544.001953125,2861.40625,2873.1064453125
75,2337.18359375,2498.3076171875,2787.3056640625,2592.38671875,2879.435546875,2684.8671875,1511.21875,4716.15234375,2921.3583984375,2655.298828125,2823.69140625,2701.8515625
76,2325.4658203125,2381.1455078125,2334.302734375,2505.7373046875,2918.2900390625,2681.65625,1826.0654296875,2857.6923828125,2948.080078125,2760.052734375,2696.353515625,2637.451171875
77,2514.458984375,2545.2109375,2283.234375,2671.5205078125,2665.431640625,2849.04296875,1969.013671875,1518.5927734375,2610.4296875,2540.0205078125,2900.5625,2853.8037109375
78,2373.5048828125,2441.43359375,2771.4150390625,2601.0625,2869.3369140625,2766.18359375,1877.3466796875,1175.173828125,2882.2080078125,2646.859375,2848.125,2720.595703125
79,2417.6728515625,2483.6474609375,2637.2412109375,2665.6396484375,2837.52734375,2784.0478515625,1717.5673828125,1365.931640625,2702.84765625,2543.80859375,2799.5322265625,2744.126953125
80,2340.8759765625,2381.9072265625,2042.2255859375,2512.32421875,2682.83203125,2715.2841796875,1482.32421875,1788.970703125,2490.42578125,2498.37890625,2867.6787109375,2632.9189453125
81,2521.9140625,2503.9521484375,2168.1787109375,2757.833984375,2825.3896484375,2828.8623046875,1300.3095703125,2247.4990234375,2497.8447265625,2630.140625,2888.4091796875,2795.1337890625
82,2456.2451171875,2462.142578125,2763.9580078125,2665.271484375,3024.2626953125,2710.5595703125,1312.8759765625,2800.7744140625,2837.4228515625,2804.8525390625,2915.82421875,2688.4208984375
83,2483.98046875,2408.8828125,2443.791015625,2704.548828125,2910.7705078125,2697.2177734375,1486.05859375,3112.7744140625,2613.2412109375,2554.1123046875,2834.259765625,2608.1748046875
84,2375.337890625,2390.169921875,1834.1611328125,2651.990234375,2904.193359375,2670.701171875,1665.591796875,2939.4755859375,2544.5107421875,2614.4755859375,2746.3037109375,2574.0966796875
85,2663.791015625,2507.1689453125,1873.90234375,2899.92578125,2924.6025390625,2890.6435546875,1936.24609375,2504.3447265625,2649.6513671875,2682.6083984375,2955.046875,2870.4921875
86,2493.2119140625,2360.9599609375,2622.23828125,2721.3193359375,2943.4736328125,2753.2451171875,2188.4697265625,2271.169921875,2614.908203125,2693.873046875,2801.65234375,2673.6328125
87,2510.130859375,2465.984375,2197.6328125,2767.6484375,2849.8095703125,2842.1240234375,2375.75,2346.7783203125,2560.0947265625,2474.1298828125,2926.0498046875,2727.0908203125
88,2413.9873046875,2439.0146484375,1615.7451171875,2743.4599609375,2878.1474609375,2843.7119140625,2313.419921875,2646.466796875,2401.779296875,2555.6728515625,2857.900390625,2653.447265625
89,2585.390625,2528.0693359375,1682.38671875,2920.5947265625,2781.6181640625,2950.5947265625,2083.173828125,3015.6357421875,2433.34765625,2507.5244140625,2993.5107421875,2841.94140625
90,2692.7958984375,2532.8349609375,2570.12109375,2795.80859375,2933.8408203125,2911.048828125,1964.12109375,3491.5615234375,2581.5546875,2585.8623046875,2916.0712890625,2759.787109375
91,2522.7255859375,2386.9873046875,2375.5244140625,2706.24609375,2844.8076171875,2767.73828125,2013.982421875,3674.6083984375,2532.4296875,2629.021484375,2897.8359375,2623.2548828125
92,2789.81640625,2606.0732421875,1311.642578125,2877.4111328125,2965.4609375,3047.337890625,1959.0732421875,3745.7841796875,2846.8544921875,2653.9755859375,3012.7568359375,2884.1064453125
93,2497.4384765625,2407.208984375,1344.380859375,2587.431640625,2690.142578125,2734.4521484375,2083.2001953125,3682.484375,2149.29296875,2433.591796875,2806.171875,2529.9267578125
94,2546.205078125,2438.9658203125,2422.619140625,2639.8642578125,2793.6845703125,2818.3349609375,2279.541015625,3609.6591796875,2564.5302734375,2578.3837890625,2809.7763671875,2621.9697265625
95,2391.9970703125,2341.06640625,2017.70703125,2576.2724609375,2739.267578125,2725.1865234375,2746.9521484375,3644.1611328125,2244.0380859375,2559.2373046875,2728.2099609375,2448.4462890625
96,2571.189453125,2459.1337890625,1132.8486328125,2695.5830078125,2925.2294921875,2816.447265625,2964.921875,3786.3779296875,2603.224609375,2691.2861328125,2842.4560546875,2849.23046875
97,2531.1923828125,2456.0517578125,1335.1396484375,2693.2607421875,2775.39453125,2822.4306640625,2699.326171875,3906.8115234375,2409.85546875,2559.7109375,2848.541015625,2651.306640625
98,2536.287109375,2358.1181640625,2720.1064453125,2691.41015625,2768.8447265625,2863.4072265625,2399.28125,3866.1240234375,2571.2724609375,2690.501953125,2781.283203125,2708.998046875
99,2681.0458984375,2502.2880859375,2657.98828125,2804.1796875,2796.23828125,2891.4609375,2261.099609375,3819.1171875,2534.671875,2703.8681640625,2857.4248046875,2926.103515625
100,2619.95703125,2365.2548828125,1625.5458984375,2595.52734375,2727.4716796875,2687.8896484375,2098.4228515625,3977.05078125,2335.888671875,2601.9765625,2748.15625,2703.447265625
101,2633.966796875,2569.9765625,1871.0908203125,2806.486328125,2913.34375,2813.7158203125,2228.0283203125,4207.4775390625,2593.873046875,2733.0908203125,2955.951171875,2874.0556640625
102,2611.9013671875,2497.818359375,2700.228515625,2731.896484375,2960.8408203125,2695.6884765625,2662.73046875,4422.3359375,2868.01171875,2969.0908203125,2774.16796875,2819.318359375
103,2656.2294921875,2494.095703125,2279.23046875,2762.9736328125,2641.8427734375,2847.4833984375,3128.10546875,4032.4609375,2286.6162109375,2604.015625,2964.216796875,2755.8662109375
104,2518.9384765625,2246.9345703125,1661.4306640625,2576.2802734375,2843.3935546875,2623.46875,3296.9619140625,3930.103515625,2539.7255859375,2713.09765625,2781.6513671875,2440.865234375
105,2406.35546875,2219.1904296875,1686.2978515625,2573.431640625,2654.271484375,2592.9404296875,3505.5859375,4106.5986328125,2308.0859375,2595.8857421875,2725.75390625,2358.55078125
106,2711.4599609375,2466.103515625,2280.9990234375,2885.9580078125,2751.140625,2855.10546875,3448.060546875,4383.498046875,2385.9208984375,2751.7900390625,3014.203125,2858.7177734375
107,2770.71875,2542.44140625,2161.8291015625,2882.759765625,2793.9111328125,2949.6103515625,3299.4423828125,4649.14453125,2529.375,2627.630859375,3031.2265625,2804.2744140625
108,2657.1923828125,2418.369140625,1706.7236328125,2738.1953125,2632.1796875,2866.814453125,3185.880859375,4343.287109375,2414.9833984375,2617.5029296875,2934.8466796875,2674.65234375
109,2681.634765625,2487.306640625,1866.2470703125,2853.041015625,2841.2490234375,2919.54296875,3188.7177734375,4281.2744140625,2629.65625,2748.3984375,2804.0927734375,2780.5546875
110,2672.3095703125,2542.3154296875,2229.400390625,2761.828125,2714.658203125,2944.853515625,3012.3818359375,4468.083984375,2467.892578125,2610.8681640625,2960.767578125,2843.6494140625
111,2581.4619140625,2430.8154296875,2678.7509765625,2788.6328125,2949.298828125,2970.384765625,3114.8955078125,4570.146484375,2755.9091796875,2720.166015625,2864.7939453125,2715.97265625
112,2472.037109375,2365.89453125,2497.400390625,2613.6123046875,2954.2744140625,2711.5087890625,3539.9736328125,4697.828125,2740.6796875,2817.419921875,2711.232421875,2370.2744140625
113,2716.05078125,2404.443359375,2214.9892578125,2893.6611328125,2480.0166015625,2957.4423828125,3427.435546875,4352.45703125,2137.59765625,2267.427734375,2918.0380859375,2732.1025390625
114,2573.6162109375,2366.802734375,2254.41796875,2751.0986328125,2682.6611328125,2793.0126953125,3273.9072265625,4412.7919921875,2354.1376953125,2638.0498046875,2867.4970703125,2524.8857421875
115,2585.9951171875,2403.8173828125,2333.64453125,2748.7275390625,2572.126953125,2862.4306640625,3173.494140625,4598.77734375,2380.0068359375,2365.9921875,2788.5546875,2504.9296875
116,2751.650390625,2531.625,2413.7529296875,2932.7705078125,2754.392578125,3041.24609375,3135.4052734375,4794.0341796875,2594.9462890625,2577.7626953125,2865.4580078125,2814.0322265625
117,2682.3125,2387.2119140625,2322.814453125,2748.859375,2791.3115234375,2736.0498046875,3192.732421875,4813.4462890625,2409.1328125,2477.4228515625,2807.9833984375,2491.365234375
118,2720.080078125,2412.859375,2274.7646484375,2713.8984375,2715.5185546875,2816.5419921875,3358.4892578125,4643.30859375,2462.9384765625,2660.9658203125,2732.7705078125,2590.0009765625
119,3029.25390625,2688.5166015625,2423.328125,3018.7041015625,2604.509765625,2982.904296875,3666.037109375,4697.0791015625,2301.08984375,2485.0224609375,2995.5625,2860.11328125
120,2807.51953125,2476.8955078125,2960.4189453125,2961.859375,2850.4404296875,2825.4306640625,3894.5859375,4803.51953125,2643.5419921875,2619.859375,2816.244140625,2692.0478515625
121,2772.2861328125,2466.35546875,2821.1328125,2910.9482421875,2881.0771484375,2788.51171875,4014.51953125,4948.095703125,2573.671875,2859.048828125,2830.0703125,2622.5380859375
122,2652.046875,2416.8193359375,2360.1435546875,2817.361328125,2788.7802734375,2703.095703125,3939.482421875,4925.6181640625,2638.275390625,2491.4580078125,2829.55078125,2479.7255859375
123,2607.193359375,2373.921875,2377.48828125,2733.796875,2666.693359375,2718.130859375,3448.302734375,6106.2861328125,2362.44921875,2560.7744140625,2764.818359375,2388.666015625
124,2839.63671875,2594.9267578125,2772.763671875,2912.1279296875,2615.9326171875,2843.82421875,3677.7373046875,5730.91015625,2404.673828125,2458.1015625,2937.5693359375,2675.443359375
125,2648.5283203125,2563.76953125,2675.5205078125,2731.6708984375,2735.6669921875,2716.4931640625,4069.7431640625,4563.396484375,2409.2412109375,2404.35546875,2888.3994140625,2465.2607421875
126,2666.80859375,2558.0732421875,2234.87109375,2804.13671875,2702.185546875,2723.8779296875,4318.7294921875,3230.7490234375,2236.103515625,2488.4814453125,2936.484375,2525.248046875
127,2438.1220703125,2524.419921875,2476.166015625,2659.515625,2860.2802734375,2610.076171875,4328.2783203125,1898.01171875,2507.44140625,2710.6103515625,2774.345703125,2308.5029296875
128,2350.4599609375,2542.9228515625,3013.7021484375,2635.5859375,2765.58984375,2515.6591796875,4198.0693359375,1253.8486328125,2456.5517578125,2604.4208984375,2649.3251953125,2317.6513671875
129,2502.94921875,2715.2724609375,2809.6640625,2763.56640625,2873.53515625,2647.06640625,4050.587890625,1131.9111328125,2555.58203125,2538.7353515625,2829.3427734375,2492.3427734375
130,2797.509765625,2670.984375,2318.6171875,2952.873046875,2759.7421875,2870.666015625,4050.01953125,1253.1650390625,2413.9013671875,2407.341796875,2981.9365234375,2752.3837890625
131,2549.173828125,2540.8828125,2478.453125,2779.958984375,2964.7255859375,2709.62109375,4061.2587890625,1608.7412109375,2508.427734375,2582.01171875,2910.166015625,2591.271484375
132,2558.8134765625,2561.16796875,2852.1708984375,2785.677734375,2813.5703125,2717.8212890625,3959.4296875,2028.65234375,2419.5068359375,2477.875,2934.9638671875,2576.82421875
133,2624.2841796875,2643.126953125,2715.4267578125,2761.99609375,2663.0693359375,2654.359375,3086.9775390625,2508.31640625,2094.5947265625,2436.501953125,2942.2490234375,2538.6357421875
134,2637.7802734375,2582.2763671875,2055.7626953125,2719.4892578125,2864.6708984375,2683.7939453125,2548.384765625,2844.51953125,2390.0078125,2516.703125,2936.6767578125,2521.43359375
135,2744.2373046875,2648.1181640625,2449.9501953125,2865.9609375,2837.572265625,2866.5576171875,2488.1357421875,2606.2607421875,2533.267578125,2585.2548828125,3028.4580078125,2717.80078125
136,2784.7861328125,2725.9384765625,2842.650390625,2849.892578125,2581.6474609375,2806.3642578125,2707.8505859375,2208.68359375,2125.3505859375,2331.2001953125,3038.333984375,2648.5751953125
137,2659.349609375,2643.8701171875,2569.8603515625,2814.498046875,2711.7470703125,2753.431640625,3056.3994140625,2106.9658203125,2373.7421875,2629.09765625,3000.72265625,2533.212890625
138,2457.869140625,2546.3173828125,1882.0712890625,2567.228515625,2705.2861328125,2459.2353515625,3423.60546875,2245.212890625,2339.849609375,2532.099609375,2703.5419921875,2358.251953125
139,2640.3173828125,2492.1259765625,2236.0966796875,2743.208984375,2661.177734375,2703.900390625,3541.162109375,2504.369140625,2241.412109375,2474.7783203125,2846.1845703125,2404.591796875
140,2764.0419921875,2568.8525390625,2803.087890625,2782.48828125,2676.8251953125,2824.359375,3731.2353515625,2854.728515625,2368.681640625,2512.693359375,2842.2822265625,2480.97265625
141,2698.2294921875,2566.0439453125,2581.9091796875,2800.1943359375,2858.9140625,2822.7333984375,4006.18359375,3025.451171875,2417.8466796875,2546.494140625,2891.302734375,2399.4990234375
142,2631.1552734375,2531.3349609375,2029.5927734375,2673.9091796875,2769.0498046875,2700.134765625,4445.0537109375,3123.232421875,2474.5439453125,2588.154296875,2738.5478515625,2288.2724609375
143,2734.1259765625,2587.1826171875,2122.6484375,2750.400390625,2621.3349609375,2669.7119140625,4232.0498046875,2828.9775390625,2056.2626953125,2337.216796875,2827.7783203125,2278.9208984375
144,2568.048828125,2538.455078125,2707.63671875,2690.8447265625,2748.267578125,2688.240234375,4123.669921875,2730.16015625,2437.4169921875,2613.0224609375,2926.421875,2228.5048828125
145,2667.763671875,2523.533203125,2376.5234375,2651.2705078125,2704.3076171875,2652.2255859375,4497.6748046875,2722.892578125,2330.6474609375,2513.2412109375,2844.126953125,2191.001953125
146,2914.6455078125,2670.537109375,1861.3134765625,2815.697265625,2734.875,2878.974609375,4979.0283203125,2958.634765625,2394.51953125,2644.4755859375,3056.9404296875,2374.1943359375
