step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-critic/advantages/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-critic/advantages/mean_step
63,-0.08890589326620102,-0.07858781516551971,-0.07467968016862869
64,-0.0906095802783966,-0.07601108402013779,-0.05583953857421875
65,-0.0733100026845932,-0.05029776319861412,-0.05236612632870674
66,-0.08311012387275696,-0.05851888656616211,-0.06341628730297089
67,-0.09208323061466216,-0.08500508219003677,-0.06497013568878174
68,-0.08491639047861099,-0.09233668446540833,-0.07178456336259842
69,-0.08954367786645889,-0.09953919798135756,-0.058153875172138214
70,-0.0722513198852539,-0.05439133942127228,-0.054279875010252
71,-0.07208307087421417,-0.06442961096763611,-0.03916861116886139
72,-0.07486911118030548,-0.07062850147485733,-0.06131598353385925
73,-0.09437953680753708,-0.07265104353427887,-0.06459556519985199
74,-0.07862849533557892,-0.05991194024682045,-0.04220815375447273
75,-0.08358049392700195,-0.10518644005060196,-0.05437692627310753
76,-0.06965188682079315,-0.015112223103642464,-0.020510371774435043
77,-0.07074887305498123,-0.07177907973527908,-0.05523454397916794
78,-0.064220130443573,-0.055838692933321,-0.05569688603281975
79,-0.0757916271686554,-0.06945060193538666,-0.04593684896826744
80,-0.08573926240205765,-0.06287820637226105,-0.06507064402103424
81,-0.06227582693099976,-0.05234871059656143,-0.031743716448545456
82,-0.07905589044094086,-0.06093726307153702,-0.05205400660634041
83,-0.06543956696987152,-0.06207776442170143,-0.047994215041399
84,-0.057712722569704056,-0.06277863681316376,-0.03949567303061485
85,-0.06540394574403763,-0.07123842090368271,-0.0633876621723175
86,-0.07145725190639496,-0.04131241887807846,-0.03865392506122589
87,-0.06165708974003792,-0.06772828847169876,-0.041794221848249435
88,-0.06996579468250275,-0.0653158575296402,-0.057024795562028885
89,-0.06785053014755249,-0.05738260969519615,-0.04810722917318344
90,-0.0392288975417614,-0.05513949319720268,-0.04047568142414093
91,-0.06121622025966644,-0.09376513957977296,-0.05689220875501633
92,-0.0669274628162384,-0.05221940949559212,-0.04818866774439812
93,-0.0492321141064167,-0.06243296340107918,-0.0470251739025116
94,-0.04894309863448143,-0.06300633400678635,-0.02120271883904934
95,-0.06917635351419449,-0.07083496451377869,-0.03821618482470512
96,-0.04995448887348175,-0.06429453194141388,-0.05791107565164566
97,-0.05211055278778076,,-0.03281664475798607
98,-0.06394481658935547,-0.05345453321933746,-0.0415835976600647
99,-0.06645703315734863,-0.07268254458904266,-0.06764338165521622
100,-0.06733161956071854,-0.06145321577787399,-0.05043664947152138
101,-0.07705545425415039,-0.07513260841369629,-0.04282284528017044
102,-0.06657865643501282,-0.06682241708040237,-0.045957814902067184
103,-0.05139055848121643,-0.056080542504787445,-0.0435219369828701
104,-0.04505226016044617,-0.053036879748106,-0.04936518520116806
105,-0.06427595764398575,-0.06884248554706573,-0.041928987950086594
106,-0.09600552171468736,-0.06461739540100098,-0.05824645608663559
107,-0.057948801666498184,-0.04347671940922737,-0.03134588524699211
108,-0.046433497220277786,-0.06452128291130066,-0.053897444158792496
109,-0.07253236323595047,-0.05903487652540207,-0.05673600733280182
110,-0.06796091794967651,-0.05926954001188278,-0.04739377647638321
111,-0.06833498179912567,-0.05174071714282036,-0.053283773362636566
112,-0.055005479604005814,-0.03593652695417404,-0.030920814722776413
113,-0.06241077929735184,-0.04377240687608719,-0.04986969754099846
114,-0.04582057148218155,-0.05913218855857849,-0.039694420993328094
115,-0.05687051638960838,-0.05192241445183754,-0.06089001893997192
116,-0.06955364346504211,-0.045865561813116074,-0.03411484509706497
117,-0.03879502788186073,-0.06576903909444809,-0.0607261098921299
118,-0.0490003377199173,-0.03330784663558006,-0.041173264384269714
119,-0.04814768955111504,-0.03964534029364586,-0.04210951924324035
120,-0.05894230306148529,-0.05631157010793686,-0.041506461799144745
121,-0.05005472153425217,-0.05383564904332161,-0.049655213952064514
122,-0.05902909114956856,-0.05333251133561134,-0.04309763014316559
123,-0.03947373479604721,-0.05314362794160843,-0.04447201266884804
124,-0.04733872041106224,-0.05654878914356232,-0.03137194365262985
125,-0.03390723094344139,-0.042743127793073654,-0.025953911244869232
126,-0.03739645704627037,-0.040083106607198715,-0.04777700826525688
127,-0.03368806838989258,-0.05382325127720833,-0.051598433405160904
128,-0.03703228756785393,-0.05403025448322296,-0.03885486349463463
129,-0.025911560282111168,-0.04152532666921616,-0.05199469625949859
130,-0.04071185737848282,-0.06396152079105377,-0.05095731094479561
131,-0.03745712339878082,-0.04717247933149338,-0.040678322315216064
132,-0.04624715819954872,-0.05630653351545334,-0.03659346327185631
133,-0.031123949214816093,-0.0499238520860672,-0.05644913390278816
134,-0.042148083448410034,-0.04963220655918121,-0.04540185257792473
135,-0.04603692144155502,-0.052464134991168976,-0.04969191923737526
136,-0.03198019415140152,-0.05551381781697273,-0.04007161781191826
137,-0.053627993911504745,-0.04942672327160835,-0.04492995515465736
138,-0.06556568294763565,-0.03781667351722717,-0.032672811299562454
139,-0.030750762671232224,-0.0419246219098568,-0.035890694707632065
140,-0.05754201114177704,-0.05231216549873352,-0.032712966203689575
141,-0.040929969400167465,-0.05651906505227089,-0.030575096607208252
142,-0.04873441532254219,-0.058774352073669434,-0.025381479412317276
143,-0.03871866688132286,-0.05054960399866104,-0.022165633738040924
144,-0.04441691190004349,-0.03199513256549835,-0.031260110437870026
145,-0.04340073466300965,-0.06016945093870163,-0.029392005875706673
146,-0.03998625278472901,-0.05841875076293945,-0.04703185334801674
147,-0.06628254801034927,-0.047540370374917984,-0.03378598019480705
148,-0.05150268226861954,-0.07092490792274475,-0.035155367106199265
149,-0.04645039513707161,-0.05531434714794159,-0.03715021163225174
150,-0.037022192031145096,-0.05176607519388199,-0.03670166805386543
151,-0.04724474623799324,-0.05194368213415146,-0.04485718160867691
152,-0.03182583674788475,-0.04923887550830841,-0.029599113389849663
153,-0.03445016220211983,-0.04697601497173309,-0.052885886281728745
154,-0.04719458520412445,-0.03790092095732689,-0.03433248773217201
155,-0.05646537244319916,-0.07287309318780899,-0.048614244908094406
156,-0.04481663182377815,-0.05610446259379387,-0.04976531118154526
157,-0.06374411284923553,-0.05868888646364212,-0.04596477001905441
158,-0.04965023323893547,-0.06068886443972587,-0.05211218073964119
159,-0.049139924347400665,-0.04768873006105423,-0.03450663015246391
160,-0.07337971776723862,-0.07722674310207367,-0.029082052409648895
161,-0.05377568304538727,-0.04073679819703102,-0.04388568177819252
162,-0.05777536332607269,-0.04673376306891441,-0.06442399322986603
163,-0.04782470315694809,-0.03112001158297062,-0.05004741996526718
164,-0.05369918420910835,-0.03745521605014801,-0.05333286896348
165,-0.04939883202314377,-0.05092703923583031,-0.0359954833984375
166,-0.03374878689646721,-0.033042795956134796,-0.04622162878513336
167,-0.04723106324672699,-0.05669645965099335,-0.03578776866197586
168,-0.05624217167496681,-0.04549229517579079,-0.048088811337947845
169,-0.05478431656956673,-0.04849249869585037,-0.06552629172801971
170,-0.032218169420957565,-0.032006870955228806,-0.031996436417102814
171,-0.051619887351989746,-0.04154964163899422,-0.035981807857751846
172,-0.06393594294786453,-0.04707113280892372,-0.03737954795360565
173,-0.03937452286481857,-0.04233497381210327,-0.05280429869890213
174,-0.07341647893190384,-0.05684801936149597,-0.06980472803115845
175,-0.0559718944132328,-0.02356071025133133,-0.05869457125663757
176,-0.04769542068243027,-0.05352223664522171,-0.05072901397943497
177,-0.04715720564126968,-0.030468307435512543,-0.04611384496092796
178,-0.07189104706048965,-0.042739804834127426,-0.05514198914170265
179,-0.06319867074489594,-0.04669426009058952,-0.08177021890878677
180,-0.06520944088697433,-0.05119449645280838,-0.07153735309839249
181,-0.04633653536438942,-0.054093118757009506,-0.05489042773842811
182,-0.05912450328469277,-0.033401209861040115,-0.056833185255527496
183,-0.035934701561927795,-0.03224059194326401,-0.0480802021920681
184,-0.040061116218566895,-0.04787227883934975,-0.05371659621596336
185,-0.030864818021655083,-0.0437229797244072,-0.034357164055109024
186,-0.061794448643922806,-0.05778321251273155,-0.06349188834428787
187,-0.04491402208805084,-0.03382832929491997,-0.04631292074918747
188,-0.059628162533044815,-0.050153084099292755,-0.05999775230884552
189,-0.060091275721788406,-0.07025939226150513,-0.049066830426454544
190,-0.05029688403010368,-0.05877141281962395,-0.05352829769253731
191,-0.058829985558986664,-0.055166807025671005,-0.06052570417523384
192,-0.0696294829249382,-0.06275907903909683,-0.06174502894282341
193,-0.06383952498435974,-0.05500297248363495,-0.040620092302560806
194,-0.035971492528915405,-0.0628877654671669,-0.04394826292991638
195,-0.027613624930381775,-0.04813586547970772,-0.0556790865957737
196,-0.025201521813869476,-0.04963154345750809,-0.049471404403448105
197,-0.03761012479662895,-0.0416964553296566,-0.042938634753227234
198,-0.030636657029390335,-0.05724342167377472,-0.058134645223617554
199,-0.044860102236270905,-0.07293059676885605,-0.0654316321015358
200,-0.04573094844818115,-0.070792056620121,-0.054378435015678406
201,-0.04250811040401459,-0.05872846022248268,-0.04688217490911484
202,-0.0435456782579422,-0.05719279497861862,-0.03370875492691994
203,-0.03747283294796944,-0.045960236340761185,-0.03468973934650421
204,-0.03440866619348526,-0.06991429626941681,-0.054663896560668945
205,-0.05113700032234192,-0.061668749898672104,-0.047196514904499054
206,-0.05605881288647652,-0.0332217700779438,-0.04898633807897568
207,-0.046314507722854614,-0.04388025030493736,-0.04111311584711075
208,-0.05754335969686508,-0.0599091500043869,-0.05635939538478851
209,-0.034212980419397354,-0.034591201692819595,-0.030845381319522858
210,-0.04940629005432129,-0.06298031657934189,-0.03976394608616829
211,-0.050932325422763824,-0.037760499864816666,-0.040018822997808456
212,-0.05292952433228493,-0.036973290145397186,-0.04740940406918526
213,-0.04957474023103714,-0.056220561265945435,-0.05486638471484184
214,-0.02869289740920067,-0.027564365416765213,-0.03999201580882072
215,-0.04946371540427208,-0.04468557238578797,-0.0461169071495533
216,-0.04272257909178734,-0.04672723636031151,-0.04464869201183319
217,-0.05586007982492447,-0.03755686432123184,-0.049484457820653915
218,-0.03930811956524849,-0.045876044780015945,-0.05415179580450058
219,-0.04702368006110191,-0.04175234213471413,-0.039884116500616074
220,-0.03658607229590416,-0.05504788085818291,-0.05049296095967293
221,-0.05309375375509262,-0.04113782197237015,-0.04711143299937248
222,-0.04047812521457672,-0.03191285952925682,-0.05981529876589775
223,-0.05141375586390495,-0.04449668154120445,-0.06442473083734512
224,-0.03382172808051109,-0.06433182954788208,-0.045637406408786774
225,-0.03879312053322792,-0.03712780773639679,-0.03164893388748169
226,-0.04112093895673752,-0.03752097487449646,-0.033203285187482834
227,-0.032048020511865616,-0.02552977204322815,-0.02933768928050995
228,-0.054263658821582794,-0.04370466247200966,-0.05237562581896782
229,-0.03160575404763222,-0.036576371639966965,-0.05036904662847519
230,-0.05277176201343536,-0.06169557198882103,-0.05614278465509415
231,-0.037017397582530975,-0.03780334070324898,-0.05608463287353515
232,-0.03046010434627533,-0.041208185255527496,-0.04421918839216232
233,-0.062154099345207214,-0.05327591672539711,-0.05603425204753876
234,-0.05318789184093475,-0.04721132293343544,-0.049623604863882065
235,-0.062215473502874374,-0.06174706295132637,-0.059661827981472015
236,-0.050779812037944794,-0.030852779746055603,-0.04235568270087242
237,-0.04619877785444259,-0.07189975678920746,-0.06671258807182312
238,-0.055437397211790085,-0.04287140071392059,-0.042945705354213715
239,-0.04472086951136589,-0.03537898510694504,-0.04353459179401398
240,-0.05639462545514107,-0.06602712720632553,-0.05906208977103233
241,-0.0557214692234993,-0.06126666069030762,-0.048550207167863846
242,-0.06293796747922897,-0.04120659455657005,-0.053921908140182495
243,-0.043175313621759415,-0.06823218613862991,-0.04806126654148102
244,-0.05092000961303711,-0.033657725900411606,-0.03969867900013923
245,-0.04435688257217407,-0.0644446462392807,-0.04255064204335213
246,-0.04569554328918457,-0.048741236329078674,-0.04344715550541878
247,-0.058850448578596115,-0.05335249379277229,-0.04117664322257042
248,-0.054165638983249664,-0.04501568526029587,-0.024519311264157295
249,-0.05749677121639252,-0.03451641649007797,-0.04234202578663826
250,-0.03513670712709427,-0.045866504311561584,-0.03079656139016151
251,-0.044446107000112534,-0.05659933388233185,-0.0475548692047596
252,-0.04726708680391312,-0.03668712079524994,-0.03534790873527527
253,-0.04013132303953171,-0.04806479811668396,-0.04375755041837692
254,-0.041868045926094055,-0.03973697870969772,-0.02423601783812046
255,-0.059875860810279846,-0.03028029017150402,-0.04020845144987106
256,-0.03342127427458763,-0.03831477835774422,-0.03454063460230827
257,-0.05971333011984825,-0.07282939553260803,-0.03551695868372917
258,-0.043565116822719574,-0.05329743772745133,-0.03374441713094711
259,-0.03483700007200241,-0.04772816598415375,-0.026741379871964455
260,-0.056796442717313766,-0.0470585860311985,-0.023588690906763077
261,-0.06824280321598053,-0.032507508993148804,-0.03005026839673519
262,-0.05652385577559471,-0.07039983570575714,-0.054743848741054535
263,-0.05296541750431061,-0.05059342831373215,-0.05173112452030182
264,-0.05675339698791504,-0.0629969984292984,-0.04238834232091904
265,-0.046631112694740295,-0.035635560750961304,-0.031184187158942223
266,-0.04550427943468094,-0.05773516744375229,-0.05132871866226196
267,-0.029465103521943092,-0.05143727362155914,-0.03629922494292259
268,-0.03604969382286072,-0.03645287826657295,-0.02732853032648563
269,-0.05297982320189476,-0.03479314222931862,-0.0376940481364727
270,-0.051606521010398865,-0.055984172970056534,-0.06022381410002709
271,-0.04283510521054268,-0.03880276530981064,-0.03585037589073181
272,-0.03803923726081848,-0.04269987717270851,-0.02962573617696762
273,-0.03617145121097565,-0.05566326156258583,-0.04026307165622711
274,-0.03107197768986225,-0.043130937963724136,-0.03548485040664673
275,-0.03411910682916641,-0.0462803952395916,-0.05341077595949173
276,-0.04469560459256172,-0.06743954122066498,-0.043089721351861954
277,-0.03689667582511902,-0.04219317436218262,-0.03431158885359764
278,-0.042869266122579575,-0.06445696204900742,-0.03275337070226669
279,-0.03605780005455017,-0.036820411682128906,-0.0682547315955162
280,-0.03160133957862854,-0.026184802874922752,-0.03783636912703514
281,-0.034814801067113876,-0.03614098951220512,-0.039390042424201965
282,-0.03778550401329994,-0.03242848813533783,-0.037815771996974945
283,-0.041484445333480835,-0.027092747390270233,-0.037491265684366226
284,-0.06053613126277923,-0.04410691559314728,-0.050383757799863815
285,-0.036469925194978714,-0.044416334480047226,-0.0417957566678524
286,-0.029443439096212387,-0.03539157286286354,-0.03950255364179611
287,-0.04217894747853279,-0.05025911331176758,-0.0387147068977356
288,-0.05125897005200386,-0.03823459520936012,-0.04546700045466423
289,-0.03188570961356163,-0.04253236576914787,-0.03778496757149696
290,-0.0314505510032177,-0.04025883600115776,-0.02771737053990364
291,-0.04304283484816551,-0.03567100688815117,-0.03820803761482239
292,-0.03180159255862236,-0.0348823256790638,-0.04222210496664047
293,-0.02772527001798153,-0.02803448773920536,-0.018490612506866455
294,-0.031065143644809723,-0.03302647918462753,-0.032727111130952835
295,-0.030602652579545975,-0.04227650538086891,-0.04117153212428093
296,-0.054984550923109055,-0.051828134804964066,-0.04243111237883568
297,-0.04250212758779526,-0.04798252508044243,-0.027237949892878532
298,-0.0452471524477005,-0.05216318741440773,-0.03618045896291733
299,-0.02287553064525127,-0.0419062077999115,-0.03242528811097145
300,-0.03922561556100845,-0.03317594528198242,-0.04965800791978836
