step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-critic/rewards/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-critic/rewards/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-critic/rewards/mean_step
65,-0.07427191734313965,-0.13457226753234863,-0.09360623359680176
66,-0.1235041618347168,-0.10430693626403809,-0.0906517505645752
67,-0.11474370956420898,-0.10743355751037598,-0.04587745666503906
68,0.028986692428588867,-0.011918306350708008,0.03186631202697754
69,-0.042569875717163086,-0.07478785514831543,-0.031851768493652344
70,-0.08239316940307617,-0.1346759796142578,-0.025644779205322266
71,-0.1573042869567871,-0.15070271492004397,-0.11951279640197754
72,-0.12361454963684082,-0.16702771186828613,-0.11587262153625488
73,-0.07631516456604004,-0.09464263916015624,-0.00805807113647461
74,-0.118086576461792,-0.1321260929107666,-0.05035567283630371
75,-0.0904104709625244,-0.12508630752563477,-0.03302717208862305
76,-0.03996872901916504,-0.032030582427978516,-0.01307082176208496
77,-0.15807867050170898,-0.15006089210510254,-0.11016225814819336
78,-0.16663742065429688,-0.22462964057922363,-0.17579102516174316
79,-0.08569955825805664,-0.12294769287109376,-0.07220125198364258
80,-0.017398357391357422,-0.004105567932128906,0.025449275970458984
81,-0.04711771011352539,-0.0322880744934082,0.07721662521362305
82,-0.04892945289611816,-0.05303788185119629,-0.010129928588867188
83,-0.09636664390563963,-0.07995104789733887,-0.011766910552978516
84,0.024328947067260746,0.03778243064880371,0.04718613624572754
85,-0.25130748748779297,-0.2554142475128174,-0.14501476287841797
86,-0.12023115158081056,-0.14545798301696777,-0.08531737327575684
87,-0.09929919242858888,-0.09598135948181152,-0.06014347076416016
88,-0.08334875106811523,-0.10362958908081056,-0.07487916946411133
89,-0.12269330024719238,-0.0950336456298828,-0.012764215469360352
90,-0.06187081336975098,-0.07095694541931152,-0.009154558181762695
91,-0.10924887657165527,-0.02377009391784668,0.029031753540039062
92,-0.2006676197052002,-0.20628833770751953,-0.15300869941711426
93,0.017768144607543945,0.03554868698120117,0.04252862930297851
94,-0.13486695289611816,-0.1640613079071045,-0.09253621101379396
95,0.012511014938354492,-0.014427900314331056,0.106689453125
96,0.05193614959716797,0.06379461288452148,0.12569975852966309
97,,,-0.001881122589111328
98,,,0.05869317054748535
99,,,-0.09714436531066896
100,-0.0025272369384765625,-0.05498218536376953,-0.011252164840698242
101,-0.0674123764038086,-0.07590031623840332,-0.020114898681640625
102,-0.11504650115966795,-0.08392834663391113,-0.05044817924499512
103,0.008585929870605469,0.023849010467529297,0.06905078887939453
104,0.034829139709472656,-0.02408885955810547,0.02215099334716797
105,0.04886770248413086,0.03391242027282715,0.11435842514038086
106,-0.10452151298522948,-0.0722649097442627,-0.03671431541442871
107,-0.09175658226013184,-0.09752202033996582,-0.003789186477661133
108,-0.050438642501831055,-0.06595969200134277,-0.02004480361938477
109,-0.03321218490600586,0.013462543487548828,0.05490994453430176
110,-0.1012735366821289,-0.07630777359008789,-0.08040189743041992
111,-0.004289865493774414,-0.018424034118652344,0.02728176116943359
112,0.09400296211242676,0.05687236785888672,0.12061119079589844
113,-0.12830424308776855,-0.04808330535888672,-0.027515888214111328
114,-0.03528404235839844,-0.0893406867980957,-0.011095046997070312
115,-0.0620267391204834,-0.07361173629760742,-0.03803682327270508
116,-0.11275434494018556,-0.13685965538024902,-0.06385159492492676
117,0.0054607391357421875,-0.02567768096923828,-0.02129340171813965
118,-0.06982207298278809,-0.05325031280517578,0.050900936126708984
119,-0.07753896713256836,-0.10107135772705078,-0.0816335678100586
120,-0.033971309661865234,-0.07135224342346191,-0.05491209030151367
121,-0.16724658012390137,-0.1780688762664795,-0.10815167427062988
122,-0.06456685066223145,-0.04389667510986328,0.054782867431640625
123,0.018386363983154297,0.0020720958709716797,0.009626626968383787
124,-0.1531357765197754,-0.13109254837036133,-0.07684922218322754
125,-0.09745049476623537,-0.058861494064331055,-0.027287006378173828
126,-0.08381032943725586,-0.05486798286437988,-0.012569427490234377
127,0.13315272331237793,0.11919188499450684,0.1604459285736084
128,0.07371687889099121,0.04697370529174805,0.14639616012573242
129,0.01303553581237793,0.019552230834960938,0.07319903373718262
130,-0.1494741439819336,-0.1266937255859375,-0.1239793300628662
131,-0.11237025260925292,-0.029475688934326172,-0.021725893020629883
132,-0.011263370513916016,-0.05823254585266113,0.0005981922149658203
133,-0.05795645713806152,-0.014371156692504885,-0.03509688377380371
134,0.012578010559082031,0.08279037475585938,0.06592416763305664
135,-0.2292959690093994,-0.16330313682556152,-0.14548850059509277
136,-0.011831998825073242,-0.02302861213684082,0.007162332534790039
137,0.011871814727783205,0.09467315673828124,0.04395723342895508
138,0.020592689514160156,0.07198429107666016,0.038340091705322266
139,-0.11731910705566406,-0.03660321235656738,-0.01790761947631836
140,-0.09707045555114746,-0.03582596778869629,-0.04304695129394531
141,-0.07114553451538086,-0.03153800964355469,0.0007402896881103516
142,0.03190445899963379,0.08738493919372559,0.082366943359375
143,-0.019285917282104492,-0.017805099487304688,-0.01270294189453125
144,-0.03344273567199707,0.007272481918334961,0.03390765190124512
145,0.06255817413330078,0.1048293113708496,0.0406031608581543
146,-0.11056756973266602,-0.09693503379821776,-0.13421320915222168
147,-0.09410667419433594,-0.00995326042175293,-0.0461273193359375
148,0.013059854507446287,0.026660919189453125,0.04012656211853027
149,-0.02484655380249023,-0.02880263328552246,0.020264863967895508
150,0.06358814239501953,0.08423781394958496,0.047324419021606445
151,-0.17481374740600586,-0.11626195907592772,-0.11384773254394533
152,0.07545351982116699,0.0792999267578125,0.04728269577026367
153,-0.02603626251220703,-0.015992164611816406,-0.04414248466491699
154,-0.07367825508117676,-0.021779298782348633,-0.07860541343688965
155,-0.09093594551086426,-0.031640052795410156,-0.06345176696777344
156,0.06035757064819336,0.05106711387634277,0.08062982559204102
157,-0.10195112228393556,-0.10176753997802734,-0.05940532684326172
158,0.029381990432739254,0.023173809051513672,0.05396080017089844
159,-0.07172846794128418,-0.044922828674316406,-0.05316567420959473
160,-0.011460304260253906,0.0009684562683105468,0.007163047790527344
161,0.04129362106323242,0.12919902801513672,0.07844829559326172
162,0.02562260627746582,0.06306695938110352,0.03921341896057129
163,-0.05248856544494629,0.006606101989746094,-0.04212069511413574
164,0.11170625686645508,0.07077264785766602,0.014878273010253906
165,0.04231619834899902,-0.004873752593994141,0.0888059139251709
166,0.09128570556640624,0.10048317909240724,0.05150604248046875
167,0.0581059455871582,0.041274309158325195,0.0037381649017333984
168,0.10198187828063963,0.1190340518951416,0.10381746292114258
169,0.09837102890014648,0.1299886703491211,0.1385202407836914
170,-0.02567911148071289,0.01404428482055664,-0.006540536880493164
171,0.01504969596862793,-0.003802061080932617,0.019599437713623047
172,-0.04294085502624512,-0.04879021644592285,-0.024631738662719727
173,0.0513150691986084,0.054537296295166016,0.0380098819732666
174,0.04351925849914551,-0.017868757247924805,0.029060840606689453
175,0.13180923461914062,0.11519932746887208,0.08837890625
176,-0.00418543815612793,0.009410381317138672,0.02906656265258789
177,0.016267061233520508,0.006587028503417969,0.021439790725708008
178,-0.0016694068908691406,-0.012126922607421877,-0.009606361389160156
179,0.034212350845336914,0.033480167388916016,0.0025653839111328125
180,0.10310697555541992,0.10362529754638672,0.1108856201171875
181,0.031246423721313477,0.05757689476013184,0.03584122657775879
182,-0.0447230339050293,0.01476144790649414,-0.005846261978149414
183,-0.032164812088012695,-0.06473112106323242,-0.030449628829956055
184,0.11925673484802246,0.08403849601745605,0.11759614944458008
185,0.042154788970947266,-0.002371788024902344,0.04172372817993164
186,0.12702274322509766,0.1631338596343994,0.15164899826049805
187,-0.00679469108581543,-0.02733778953552246,-0.042980194091796875
188,-0.11493253707885742,-0.0544886589050293,-0.04790067672729492
189,0.0780949592590332,0.091322660446167,0.05935096740722656
190,-0.03477144241333008,0.060585975646972656,0.06245851516723633
191,-0.0315093994140625,-0.03641819953918457,0.004123210906982422
192,0.08057332038879395,0.10800957679748537,0.12227463722229004
193,0.0633692741394043,0.11667776107788086,0.12236714363098145
194,-0.025368213653564453,-0.022269248962402344,-0.03431129455566406
195,0.04574012756347656,0.07659006118774414,0.09523153305053712
196,0.0937514305114746,0.03870058059692383,0.027766704559326172
197,0.07187008857727051,0.11379623413085938,0.1372852325439453
198,0.02941274642944336,0.08340716361999512,0.06905531883239746
199,0.09528613090515135,0.1249380111694336,0.10850334167480467
200,0.03703808784484863,0.07357573509216309,0.06321263313293457
201,0.017989635467529297,0.03952383995056152,0.07052016258239746
202,-0.06743884086608887,0.013726472854614258,4.100799560546875e-05
203,-0.11466479301452635,-0.10118389129638672,-0.13210630416870117
204,-0.0076978206634521484,-0.026261568069458008,-0.021538496017456055
205,-0.0982058048248291,-0.09196805953979492,-0.09030389785766602
206,0.0008559226989746094,0.07715964317321777,0.08687376976013184
207,0.014421463012695312,0.06781363487243652,0.050577640533447266
208,-0.06584858894348145,-0.0426485538482666,-0.08840775489807129
209,0.0053920745849609375,0.01578044891357422,0.008325338363647461
210,-0.027189970016479492,-0.0060045719146728516,0.05674171447753906
211,-0.03258228302001953,-0.03690457344055176,0.0348818302154541
212,-0.011132001876831056,0.05424332618713379,0.03941512107849121
213,-0.017090320587158203,0.055938720703125,0.0875539779663086
214,0.015177011489868164,0.048363447189331055,0.07847476005554199
215,0.1298058032989502,0.12416791915893556,0.17558884620666504
216,0.0860586166381836,0.11568546295166016,0.1645200252532959
217,0.15286827087402344,0.17989039421081543,0.18230342864990232
218,-0.20558881759643555,-0.1843135356903076,-0.12423348426818848
219,0.040006399154663086,0.04480457305908203,0.06512665748596191
220,0.06102418899536133,0.08779454231262207,0.06740832328796387
221,0.15145039558410645,0.106126070022583,0.12043523788452148
222,0.013572931289672852,-0.0008420944213867188,0.015511035919189451
223,0.02279448509216309,-0.023712158203125,0.03778481483459473
224,0.16293644905090332,0.1732950210571289,0.20724105834960935
225,0.010114669799804688,-0.023372650146484375,-0.011949300765991213
226,0.0958099365234375,0.045961618423461914,0.08556008338928223
227,0.14620184898376465,0.21216893196105957,0.22831273078918457
228,0.03857541084289551,-0.0017676353454589844,-0.01636672019958496
229,0.0455470085144043,0.0055141448974609375,0.008436918258666992
230,-0.006207704544067383,-0.032782793045043945,0.005106925964355469
231,0.04005694389343262,0.042818546295166016,0.002346277236938477
232,-0.08622145652770996,-0.053902387619018555,-0.08602666854858398
233,0.1424856185913086,0.13332343101501465,0.11062455177307128
234,0.07203936576843262,0.038956403732299805,0.031615495681762695
235,0.12449979782104492,0.07953262329101562,0.12802624702453613
236,0.16260695457458496,0.16447758674621582,0.13493037223815918
237,0.11549615859985352,0.08233308792114258,0.11525917053222656
238,0.10425114631652832,0.1409740447998047,0.09940075874328612
239,-0.038771629333496094,-0.011194467544555664,-0.005069255828857422
240,0.10569572448730467,0.11840319633483888,0.11578536033630372
241,0.09525823593139648,0.14135980606079102,0.1450352668762207
242,0.007647514343261719,0.05606675148010254,0.06457352638244629
243,-0.03428149223327637,-0.08113455772399902,-0.052607059478759766
244,0.08607149124145508,0.06858086585998535,0.11351847648620604
245,0.0360105037689209,0.02216958999633789,0.02206254005432129
246,0.001270771026611328,-0.03916168212890625,0.039870500564575195
247,0.1458275318145752,0.08684635162353516,0.15719842910766602
248,0.05481624603271485,0.07518196105957031,0.10746312141418456
249,0.0290067195892334,0.07032585144042969,0.08414936065673828
250,0.025622129440307617,0.057808637619018555,0.09486103057861328
251,0.193392276763916,0.2006497383117676,0.1844196319580078
252,-0.04768705368041992,-0.027103185653686523,-0.031473636627197266
253,0.088775634765625,0.08779454231262207,0.11760807037353516
254,0.12831783294677734,0.13582324981689453,0.1038837432861328
255,0.03197050094604492,0.04990339279174805,0.036278486251831055
256,0.04463982582092285,0.09637904167175292,0.08611083030700684
257,0.09569406509399414,0.1053154468536377,0.11139178276062012
258,0.002345561981201172,-0.004486799240112305,0.07753992080688477
259,0.020632266998291016,-0.0225222110748291,0.07032012939453125
260,-0.07676029205322266,-0.06359648704528809,-0.03454017639160156
261,0.07265567779541016,0.1503894329071045,0.09410929679870604
262,0.1274893283843994,0.1312882900238037,0.16791558265686035
263,-0.033884286880493164,-0.07018589973449707,-0.06001615524291992
264,0.09501910209655762,0.11043334007263184,0.09749436378479004
265,0.04449462890625,0.015623092651367188,0.05904674530029297
266,0.0719599723815918,0.0711507797241211,0.07284426689147949
267,0.07501935958862305,0.09125638008117676,0.10660457611083984
268,0.1247091293334961,0.17656230926513672,0.1871633529663086
269,0.12228679656982422,0.09265995025634766,0.1256566047668457
270,0.047608375549316406,0.0619354248046875,0.06832766532897949
271,-0.034816741943359375,0.01031804084777832,0.03325152397155762
272,0.0590367317199707,0.07420468330383301,0.09415626525878906
273,0.09972834587097168,0.1319737434387207,0.1677083969116211
274,0.05519747734069824,0.06115555763244629,0.08278965950012207
275,0.11840605735778809,0.11296463012695312,0.1503908634185791
276,0.0021898746490478516,0.00866079330444336,0.02976250648498535
277,-0.08348894119262695,-0.06668710708618164,-0.06991291046142578
278,0.1118614673614502,0.07189249992370605,0.13687658309936523
279,0.07617902755737305,0.12132024765014648,0.11205530166625977
280,-0.05632781982421875,-0.09196758270263672,-0.03919482231140137
281,-0.044100046157836914,-0.027824878692626953,-0.01889824867248535
282,0.1329965591430664,0.18483710289001465,0.1882786750793457
283,0.05556297302246094,0.11008501052856444,0.05983519554138184
284,0.06789541244506836,0.08960151672363281,0.06976079940795898
285,0.1172642707824707,0.12152910232543944,0.1421525478363037
286,-0.04948091506958008,0.0067789554595947266,-0.04434776306152344
287,-0.0019216537475585935,0.020138978958129883,0.05455493927001953
288,0.10773015022277832,0.10457444190979004,0.15699291229248047
289,0.02861309051513672,0.055201053619384766,0.08452272415161133
290,0.05937004089355469,0.00917196273803711,0.05106377601623535
291,0.10844898223876952,0.13825726509094238,0.13067150115966797
292,0.07623648643493652,0.02606368064880371,0.05364251136779785
293,-0.02446913719177246,-0.04448580741882324,0.007128238677978516
294,0.04495739936828613,0.010426998138427734,0.016610383987426758
295,0.12702345848083496,0.1482706069946289,0.11964273452758788
296,0.08611440658569336,0.09735465049743652,0.11816620826721191
297,0.0014083385467529297,-0.00022125244140625,0.019014835357666016
298,0.0950164794921875,0.07902097702026367,0.07343673706054688
299,0.0955040454864502,0.1345515251159668,0.13828420639038086
300,0.06733942031860352,0.09140539169311523,0.06521439552307129
