step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-rollout_corr/rollout_log_ppl_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-rollout_corr/rollout_log_ppl_step
1,0.6406186819076538,0.6438246369361877
2,0.6480497121810913,0.6480270624160767
3,0.6541985273361206,0.649235725402832
4,0.6380214095115662,0.6383184790611267
5,0.6540428400039673,0.6487160921096802
6,0.6193392872810364,0.6160497069358826
7,0.6416442394256592,0.6344562768936157
8,0.6368471384048462,0.615196943283081
9,0.6525655388832092,0.6237022280693054
10,0.6290742754936218,0.5783529877662659
11,0.6445643305778503,0.580890417098999
12,0.6402475833892822,0.5479766726493835
13,0.6054025292396545,0.5017536878585815
14,0.5993369817733765,0.4709886908531189
15,0.6443140506744385,0.4755636155605316
16,0.6381413340568542,0.48294275999069214
17,0.6150414943695068,0.4519224762916565
18,0.5993778705596924,0.4301798939704895
19,0.6307747960090637,0.4169645607471466
20,0.6345447301864624,0.4246113896369934
21,0.6477228403091431,0.4167806804180145
22,0.5967860221862793,0.39099475741386414
23,0.6405168175697327,0.4124638736248016
24,0.6308149099349976,0.4035269320011139
25,0.5948354601860046,0.38273054361343384
26,0.5967653393745422,0.38995832204818726
27,0.6244962215423584,0.3837804496288299
28,0.6210294365882874,0.38875794410705566
29,0.6140567064285278,0.37328600883483887
30,0.5764011144638062,0.3792734444141388
31,0.6163610219955444,0.387845903635025
32,0.6159659028053284,0.3737480640411377
33,0.6095670461654663,0.3844016194343567
34,0.6185215711593628,0.3888908624649048
35,0.615810215473175,0.36277249455451965
36,0.6295914649963379,0.3875277936458587
37,0.5800051689147949,0.3718329966068268
38,0.6060407161712646,0.3704960346221924
39,0.6243459582328796,0.38949474692344666
40,0.5940467715263367,0.3706923425197602
41,0.6466171145439148,0.4050969183444977
42,0.600388765335083,0.38104769587516785
43,0.5844252109527588,0.36743608117103577
44,0.596687376499176,0.38688796758651733
45,0.6102952361106873,0.39506393671035767
46,0.5931779146194458,0.37569060921669006
47,0.5963861346244812,0.3697771430015564
48,0.5992906093597412,0.3804394006729126
49,0.594937264919281,0.3682694733142853
50,0.5932350158691406,0.372563749551773
51,0.5412741303443909,0.354117751121521
52,0.559211015701294,0.3510790169239044
53,0.576447606086731,0.36751189827919006
54,0.6049818992614746,0.3795957863330841
55,0.5966247916221619,0.39546048641204834
56,0.5968718528747559,0.3936321139335632
57,0.5965288281440735,0.37622976303100586
58,0.5987525582313538,0.3824703991413117
59,0.5816541910171509,0.3777506351470947
60,0.647759735584259,0.4091259837150574
61,0.6106551289558411,0.3954259753227234
62,0.6077192425727844,0.3827396631240845
63,0.5581631660461426,0.3710389733314514
64,0.6036972403526306,0.3919016122817993
65,0.577172040939331,0.370047390460968
66,0.5581838488578796,0.3639738857746124
67,0.5877984762191772,0.3761732578277588
68,0.5399960279464722,0.34394824504852295
69,0.5480028390884399,0.3515736758708954
70,0.5803794264793396,0.3602229654788971
71,0.5725730061531067,0.375849187374115
72,0.6202210783958435,0.3922059237957001
73,0.5978994965553284,0.37199634313583374
74,0.577812910079956,0.36885595321655273
75,0.5768904685974121,0.3670554459095001
76,0.6039689779281616,0.3882977962493897
77,0.5797590017318726,0.3679186403751374
78,0.5648800134658813,0.3765987157821655
79,0.5865232944488525,0.37710458040237427
80,0.5391517281532288,0.36189550161361694
81,0.5598852038383484,0.3709574043750763
82,0.6023968458175659,0.3847026526927948
83,0.5714826583862305,0.38060516119003296
84,0.5637456178665161,0.3605258762836456
85,0.5718921422958374,0.36706581711769104
86,0.5658696889877319,0.3623984158039093
87,0.553267776966095,0.3593239188194275
88,0.5645513534545898,0.3589005470275879
89,0.5509703159332275,0.3532382845878601
90,0.5533267259597778,0.35776323080062866
91,0.5503852367401123,0.3630635142326355
92,0.5590438842773438,0.35610219836235046
93,0.5564757585525513,0.3610270321369171
94,0.5709434151649475,0.36913150548934937
95,0.5601500272750854,0.34385019540786743
96,0.5376236438751221,0.33442816138267517
97,0.5430498719215393,0.34654495120048523
98,0.5671027898788452,0.3538624346256256
99,0.5375679135322571,0.3301558494567871
100,0.5244450569152832,0.3361656665802002
101,0.5545123219490051,0.34232646226882935
102,0.570604145526886,0.35145384073257446
103,0.5415831804275513,0.3324922025203705
104,0.5398159027099609,0.3384435474872589
105,0.5436885356903076,0.3388616740703583
106,0.5495017766952515,0.34303995966911316
107,0.5484587550163269,0.3508158326148987
108,0.5262803435325623,0.3327406346797943
109,0.5364905595779419,0.32597923278808594
110,0.548140823841095,0.33603566884994507
111,0.5605979561805725,0.3477456569671631
112,0.5469365119934082,0.3409511148929596
113,0.5546872615814209,0.35645046830177307
114,0.5711442232131958,0.33672088384628296
115,0.5473591089248657,0.33924010396003723
116,0.5855921506881714,0.349488228559494
117,0.5371619462966919,0.33006349205970764
118,0.5604821443557739,0.3525368273258209
119,0.5498814582824707,0.3427485227584839
120,0.517179012298584,0.3330998420715332
121,0.5482803583145142,0.34738272428512573
122,0.5194432139396667,0.3214379847049713
