step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-rollout_corr/training_log_ppl_step
1,0.6410441398620605,0.6442444324493408
2,0.6484665870666504,0.6484454274177551
3,0.654640793800354,0.6496729850769043
4,0.6384561061859131,0.6387385129928589
5,0.6544995307922363,0.6491315364837646
6,0.61976158618927,0.6164743900299072
7,0.6420823335647583,0.6348925828933716
8,0.6373098492622375,0.6156160235404968
9,0.6530057787895203,0.6241468191146851
10,0.6295087337493896,0.5787878632545471
11,0.6450034976005554,0.5812925696372986
12,0.6406905055046082,0.5483977794647217
13,0.6058408617973328,0.502142608165741
14,0.5997616648674011,0.47137224674224854
15,0.6447384357452393,0.4759309589862823
16,0.6385682821273804,0.48332637548446655
17,0.6154569983482361,0.4523300528526306
18,0.5997862219810486,0.4305812120437622
19,0.6311904191970825,0.4173291027545929
20,0.6349726319313049,0.42502593994140625
21,0.6481336355209351,0.4171192049980163
22,0.5971802473068237,0.391323059797287
23,0.6409518122673035,0.4128228425979614
24,0.631232500076294,0.4038824141025543
25,0.5952427983283997,0.3830769062042236
26,0.5972127914428711,0.3903578817844391
27,0.6249380111694336,0.3841620087623596
28,0.6214504241943359,0.3890968859195709
29,0.6144481301307678,0.37363556027412415
30,0.5767914056777954,0.3796242475509643
31,0.616771399974823,0.388175755739212
32,0.6163908243179321,0.3741161823272705
33,0.6099879741668701,0.3847726285457611
34,0.6189591884613037,0.3892588615417481
35,0.6162129044532776,0.3631266951560974
36,0.6300119161605835,0.3879143297672272
37,0.580410361289978,0.37216511368751526
38,0.6064577698707581,0.3708312511444092
39,0.6247863173484802,0.3898740708827973
40,0.5944629311561584,0.37106117606163025
41,0.6470655202865601,0.4054754078388214
42,0.6008005738258362,0.38137301802635193
43,0.5848183035850525,0.36773133277893066
44,0.5971245765686035,0.387255996465683
45,0.6107028722763062,0.3953884243965149
46,0.5936030149459839,0.37604016065597534
47,0.5967983603477478,0.3701116442680359
48,0.5996676087379456,0.380790114402771
49,0.5953447818756104,0.3686111569404602
50,0.5936397314071655,0.3729298710823059
51,0.5416970252990723,0.3544518053531647
52,0.5596054196357727,0.3514172434806824
53,0.5768502950668335,0.3678154051303863
54,0.6054011583328247,0.3799372911453247
55,0.5970504283905029,0.3958270251750946
56,0.5973109602928162,0.39403438568115234
57,0.5969487428665161,0.3765786290168762
58,0.5991796255111694,0.3828859031200409
59,0.5820492506027222,0.3781430721282959
60,0.6482070684432983,0.4094915688037872
61,0.6110855937004089,0.39583465456962585
62,0.6081509590148926,0.383091539144516
63,0.558584451675415,0.37138092517852783
64,0.6041087508201599,0.39225801825523376
65,0.5775769948959351,0.3704177737236023
66,0.5586017370223999,0.36433666944503784
67,0.5882209539413452,0.37649086117744446
68,0.5403870344161987,0.34428316354751587
69,0.5484040379524231,0.3519430458545685
70,0.5807753801345825,0.3605436682701111
71,0.5730001926422119,0.3762272298336029
72,0.6206557750701904,0.39264732599258423
73,0.5983153581619263,0.37234199047088623
74,0.5782307982444763,0.3692180216312408
75,0.577275276184082,0.36740708351135254
76,0.604382336139679,0.38866952061653137
77,0.5801792740821838,0.3683044910430908
78,0.5652759075164795,0.3769364655017853
79,0.5869321227073669,0.3774464726448059
80,0.5395564436912537,0.3622724413871765
81,0.5602858066558838,0.3712914288043976
82,0.6028072834014893,0.3850635886192322
83,0.5719050765037537,0.3809903562068939
84,0.5641453862190247,0.3608891367912293
85,0.5723038911819458,0.367375910282135
86,0.5662778615951538,0.3627350926399231
87,0.5536699891090393,0.3596803843975067
88,0.5649585723876953,0.3592313826084137
89,0.5513742566108704,0.35358670353889465
90,0.5537352561950684,0.35809558629989624
91,0.5507946014404297,0.3633938729763031
92,0.559474766254425,0.3564625084400177
93,0.5568812489509583,0.3613877594470978
94,0.5713794231414795,0.3695206344127655
95,0.5605838894844055,0.3442022502422333
96,0.5380198955535889,0.3347488343715668
97,0.5434465408325195,0.3469482660293579
98,0.5675121545791626,0.3542303442955017
99,0.5379626750946045,0.33048340678215027
100,0.5248493552207947,0.33650556206703186
101,0.5548936128616333,0.34266626834869385
102,0.5710236430168152,0.3518422842025757
103,0.5419772863388062,0.332893967628479
104,0.5401964783668518,0.33881860971450806
105,0.5441118478775024,0.33918026089668274
106,0.5499154925346375,0.3434114158153534
107,0.5488530397415161,0.3512074649333954
108,0.5266591906547546,0.3331298828125
109,0.536883533000946,0.3262934982776642
110,0.5485774874687195,0.33639660477638245
111,0.5609842538833618,0.3481085002422333
112,0.5473420023918152,0.3413194715976715
113,0.5551329255104065,0.3568771779537201
114,0.5715495347976685,0.3370746672153473
115,0.5477525591850281,0.3395901918411255
116,0.5860101580619812,0.3498527407646179
117,0.5375568866729736,0.33040526509284973
118,0.5608929395675659,0.3529203236103058
119,0.5502655506134033,0.34314122796058655
120,0.517596960067749,0.3334748148918152
121,0.5487059950828552,0.3477376699447632
122,0.5198526978492737,0.32180890440940857
123,0.5267896056175232,0.3324495553970337
124,0.561964750289917,0.3314739465713501
125,0.5473882555961609,0.33988356590270996
126,0.5456517338752747,0.34055453538894653
127,0.5487159490585327,0.3280065357685089
128,0.5244859457015991,0.33140233159065247
129,0.5467193722724915,0.3356285095214844
130,0.5648399591445923,0.35143032670021057
131,0.5668004751205444,0.35313597321510315
132,0.5521708726882935,0.33621275424957275
133,0.5320950746536255,0.3333975076675415
134,0.5441524982452393,0.33437541127204895
135,0.5348756313323975,0.34967419505119324
136,0.5617244243621826,0.3627060651779175
137,0.5061742663383484,0.3244659900665283
138,0.5075015425682068,0.33098796010017395
139,0.5643860697746277,0.3611344397068024
140,0.5371100902557373,0.35784977674484253
141,0.5194588899612427,0.34247148036956787
142,0.5121252536773682,0.3361630141735077
143,0.5328717827796936,0.3539322018623352
144,0.5593308806419373,0.3632690906524658
145,0.5208357572555542,0.3494355380535126
146,0.575416624546051,0.38837504386901855
147,0.5480604767799377,0.38664954900741577
148,0.5190805196762085,0.3790736496448517
149,0.5128735303878784,0.3682444393634796
150,0.5389533042907715,0.39502596855163574
151,0.5538671612739563,0.4140241742134094
152,0.5245709419250488,0.385403037071228
153,0.5426568388938904,0.3998018205165863
154,0.5226768255233765,0.39173221588134766
155,0.5497354865074158,0.3935672640800476
156,0.547042965888977,0.384223073720932
157,0.5701011419296265,0.40717196464538574
158,0.5359187126159668,0.38717392086982727
159,0.5663225054740906,0.40777119994163513
160,0.5175328254699707,0.3711113035678863
161,0.5390165448188782,0.3816982805728912
162,0.5386642813682556,0.3832800090312958
163,0.5248230695724487,0.3706458508968353
164,0.5303939580917358,0.37544625997543335
165,0.5642259120941162,0.36177435517311096
166,0.5225578546524048,0.35245072841644287
167,0.5605096817016602,0.3716273903846741
168,0.5201281905174255,0.35042643547058105
169,0.5152760744094849,0.34121525287628174
170,0.5515385866165161,0.35978561639785767
171,0.517135739326477,0.3476310968399048
172,0.5309756398200989,0.3569994866847992
173,0.5347884297370911,0.35357025265693665
174,0.5271382331848145,0.3365932106971741
175,0.5255738496780396,0.35409075021743774
176,0.5342618227005005,0.35462868213653564
177,0.5333515405654907,0.35866501927375793
178,0.5297312140464783,0.35572710633277893
179,0.5201288461685181,0.3504076302051544
180,0.502208948135376,0.3468545973300934
181,0.5275478959083557,0.3577675223350525
182,0.5332873463630676,0.35186436772346497
183,0.5432792901992798,0.3514305651187897
184,0.5112040042877197,0.3372250497341156
185,0.518113374710083,0.34966209530830383
186,0.5192979574203491,0.3370146155357361
187,0.5486983060836792,0.35130828619003296
188,0.5575862526893616,0.35423052310943604
189,0.5034279227256775,0.3246481120586395
190,0.5462166666984558,0.35383591055870056
191,0.5279586911201477,0.34254977107048035
192,0.5225982666015625,0.340991735458374
193,0.5084434747695923,0.3348875641822815
194,0.5326766967773438,0.3450928032398224
195,0.5555509924888611,0.35992148518562317
196,0.5187042951583862,0.34276917576789856
197,0.5149058699607849,0.331950306892395
198,0.5273215770721436,0.35166609287261963
199,0.502072274684906,0.3383018374443054
200,0.5250837802886963,0.34841659665107727
201,0.5177306532859802,0.34081512689590454
202,0.531846284866333,0.36193323135375977
203,0.5527880191802979,0.3658062219619751
204,0.5475746989250183,0.3682251572608948
205,0.5573165416717529,0.3724643588066101
206,0.5376434922218323,0.3548868000507355
207,0.5316140651702881,0.3614309430122375
208,0.5482176542282104,0.3738824129104614
209,0.5360733270645142,0.3817870020866394
210,0.5391488671302795,0.36894068121910095
211,0.5394341349601746,0.38003411889076233
212,0.5380147695541382,0.37164467573165894
213,0.5010684728622437,0.36260151863098145
214,0.5185242295265198,0.3754184544086456
215,0.5288532972335815,0.380002498626709
216,0.5262077450752258,0.3677086234092712
217,0.5185124278068542,0.3749852478504181
218,0.5465584993362427,0.4025413393974304
219,0.5416670441627502,0.3814210891723633
220,0.5357034802436829,0.3931312263011933
221,0.535704493522644,0.3902316093444824
222,0.5159890651702881,0.3965123891830444
223,0.5191152095794678,0.39491602778434753
224,0.5259121060371399,0.3979983925819397
225,0.5393345355987549,0.4107535481452942
226,0.5159822702407837,0.40217089653015137
227,0.5256406664848328,0.387545108795166
228,0.5097905397415161,0.3965223431587219
229,0.5320689082145691,0.4052053689956665
230,0.5238100290298462,0.4017125070095062
231,0.536187469959259,0.4118232727050781
