step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-rollout_corr/kl_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-rollout_corr/kl_step
1,0.0004394873685669154,0.0004340225423220545
2,0.0004326024209149182,0.0004481804498936981
3,0.0004663742147386074,0.000448370206868276
4,0.0004451237036846578,0.0004403609782457352
5,0.0004574395134113729,0.0004386458022054285
6,0.00044251346844248474,0.0004404662759043276
7,0.0004504807584453374,0.0004401855112519115
8,0.0004621935077011585,0.0004468598635867238
9,0.00044370253453962505,0.0004468169645406306
10,0.0004400641773827374,0.0004355643759481609
11,0.0004478929622564465,0.0004091708105988801
12,0.0004638244863599539,0.0004247675533406437
13,0.00045361416414380074,0.0004004454240202904
14,0.00044511546730063856,0.0003883148601744324
15,0.0004430786066222936,0.0003710635064635426
16,0.00045084059820510447,0.0003968199889641255
17,0.00043920212192460895,0.00037835666444152594
18,0.0004389113455545157,0.0003925439377781004
19,0.0004219154070597142,0.00034492422128096223
20,0.00044805670040659606,0.00039876881055533886
21,0.00043156297761015594,0.0003379685222171247
22,0.0004166204307693988,0.0003310843603685498
23,0.0004371600807644427,0.0003546535735949874
24,0.0004281459841877222,0.0003435731923673302
25,0.0004132844915147871,0.00033718778286129236
26,0.00044912638259120286,0.0003723662521224469
27,0.0004400405159685761,0.0003627019177656621
28,0.0004330365336500108,0.00033675224403850734
29,0.0004040405619889498,0.00034685301943682134
30,0.00041527816210873425,0.00034405954647809267
31,0.0004329824587330222,0.00033824791898950934
32,0.00043736895895563066,0.00035842545912601054
33,0.0004316201666370034,0.000362401973688975
34,0.00045058070099912584,0.0003564351936802268
35,0.0004252024518791586,0.0003539831086527556
36,0.00042419121018610895,0.00036955613177269697
37,0.00040930270915851,0.00034132334985770285
38,0.000442053540609777,0.00035600652336142957
39,0.0004538864304777235,0.00037532459828071296
40,0.0004295179096516222,0.0003687435819301754
41,0.00045638889423571527,0.0003649810096248984
42,0.00041931745363399386,0.00033873654319904745
43,0.0004003743815701455,0.0003268553118687123
44,0.00043754870421253145,0.00036993244430050254
45,0.0004178411909379065,0.0003417286789044738
46,0.0004481395008042454,0.00035377254243940115
47,0.0004224636068101972,0.0003363601572345942
48,0.00041141858673654497,0.00036533368984237313
49,0.00041991780744865537,0.0003427037736400962
50,0.00040199182694777846,0.00037650365266017616
51,0.0004290338256396353,0.00033015775261446834
52,0.00041045909165404737,0.00033852222259156406
53,0.0004281149012967944,0.0003261722158640623
54,0.0004360155726317316,0.0003603860386647284
55,0.0004370220704004169,0.00037205233820714056
56,0.0004583552363328636,0.0004039005434606224
57,0.00043734017526730895,0.00036896753590554
58,0.0004373140400275588,0.0003857403062283993
59,0.0004119648947380483,0.0003746860602404922
60,0.0004600761749316007,0.000371503469068557
61,0.00044070076546631753,0.00038714378024451435
62,0.0004501642833929509,0.00037343971780501306
63,0.00043250847375020385,0.0003491986426524818
64,0.00043307748273946345,0.0003895454865414649
65,0.0004226376186124981,0.00035836530150845647
66,0.0004263622686266899,0.000372607697499916
67,0.0004355965938884765,0.00034751620842143893
68,0.0004076059849467129,0.0003424493479542434
69,0.0004215909575577826,0.00035396835301071405
70,0.0004248832410667091,0.0003162132343277335
71,0.0004422847705427557,0.00037451888783834875
72,0.0004453630826901645,0.0004234935622662306
73,0.0004213079519104213,0.00035267238854430616
74,0.00042505800956860185,0.00037438730942085385
75,0.0004038136394228786,0.00034796728868968785
76,0.00043016302515752614,0.00036387844011187553
77,0.00044127306318841875,0.0003775735676754266
78,0.0004174275672994554,0.0003414537641219795
79,0.0004234903899487108,0.0003604563244152814
80,0.0004235499363858253,0.00036964291939511895
