step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-rollout_corr/rollout_ppl_step
1,1.968533992767334,1.9766736030578609
2,1.9751921892166135,1.9691489934921265
3,2.029090166091919,2.0253074169158936
4,1.9498283863067627,1.9470206499099731
5,1.995741844177246,1.9849835634231567
6,1.898524522781372,1.8927721977233891
7,1.9510761499404907,1.9338014125823977
8,1.947199821472168,1.9051597118377688
9,2.0104148387908936,1.9449570178985596
10,1.9349182844161987,1.8307405710220337
11,1.9784765243530271,1.8387103080749512
12,1.9562907218933103,1.765681505203247
13,1.8684953451156616,1.6764512062072754
14,1.8580034971237185,1.6234056949615479
15,1.9723536968231201,1.6335886716842651
16,1.9479981660842896,1.6449893712997437
17,1.9220764636993408,1.597609043121338
18,1.8680673837661743,1.5601252317428589
19,1.9488118886947632,1.5374722480773926
20,1.956982970237732,1.5498597621917725
21,1.9803352355957031,1.536691427230835
22,1.855275273323059,1.493041753768921
23,1.9495046138763428,1.5262501239776611
24,1.9356178045272827,1.5146582126617432
25,1.8516498804092407,1.480748176574707
26,1.8552874326705933,1.4911494255065918
27,1.9219861030578609,1.484493374824524
28,1.9306598901748655,1.4879258871078491
29,1.9148062467575069,1.467809796333313
30,1.8121793270111084,1.4765442609786987
31,1.906694293022156,1.488036036491394
32,1.9126986265182495,1.4647197723388672
33,1.8852810859680176,1.4842337369918823
34,1.9029908180236816,1.4886761903762815
35,1.905626893043518,1.4485441446304321
36,1.9255144596099856,1.486678123474121
37,1.8298641443252563,1.4632234573364258
38,1.8953173160552979,1.467326045036316
39,1.914931297302246,1.4911823272705078
40,1.8630523681640625,1.4624288082122805
41,1.9856822490692139,1.5154922008514404
42,1.875313401222229,1.4772156476974487
43,1.843235731124878,1.4567644596099854
44,1.8649978637695312,1.4853414297103882
45,1.8792493343353271,1.4988491535186768
46,1.8629791736602783,1.4684683084487915
47,1.8796669244766235,1.4618948698043823
48,1.8935458660125732,1.4756890535354614
49,1.8718454837799072,1.4588488340377808
50,1.875395655632019,1.4655436277389526
51,1.7466237545013428,1.4353692531585691
52,1.7846332788467407,1.433494210243225
53,1.8278248310089111,1.4580695629119873
54,1.8826829195022583,1.474530577659607
55,1.860377550125122,1.4979684352874756
56,1.865981101989746,1.4972103834152222
57,1.8871278762817385,1.470250129699707
58,1.8734924793243408,1.4799333810806274
59,1.8411369323730469,1.473259687423706
60,1.9890564680099487,1.5218597650527954
61,1.8851470947265625,1.4980087280273438
62,1.8939446210861208,1.479786992073059
63,1.7807590961456299,1.4604065418243408
64,1.8663817644119265,1.4916120767593384
65,1.8358078002929688,1.4596946239471436
66,1.7806651592254639,1.4500532150268557
67,1.8433562517166135,1.4693834781646729
68,1.7468769550323486,1.4199395179748535
69,1.7692584991455078,1.4323996305465698
70,1.8470118045806885,1.445356011390686
71,1.8062114715576172,1.4679313898086548
72,1.933271884918213,1.4943585395812988
73,1.8743574619293213,1.4624733924865725
74,1.820604920387268,1.4587093591690063
75,1.8452892303466797,1.4585261344909668
76,1.889427900314331,1.4896835088729858
77,1.8325337171554563,1.458130121231079
78,1.7940212488174438,1.468923807144165
79,1.8605647087097168,1.4705849885940552
80,1.7497227191925049,1.4472174644470217
81,1.789097785949707,1.4621726274490356
82,1.894581079483032,1.481791377067566
83,1.8234617710113523,1.4775173664093018
84,1.800523042678833,1.4466124773025513
85,1.8267500400543213,1.4551836252212524
86,1.8030784130096436,1.446159601211548
87,1.7731940746307373,1.4437668323516846
88,1.8063194751739504,1.442426085472107
89,1.7787652015686035,1.4339567422866821
90,1.773880958557129,1.4395664930343628
91,1.7642698287963867,1.4492665529251099
92,1.7974168062210083,1.4378411769866943
93,1.7928156852722168,1.4465181827545166
94,1.8172788619995115,1.4583399295806885
95,1.7971605062484741,1.4225850105285645
96,1.7596842050552368,1.4071776866912842
97,1.7499123811721802,1.4232250452041626
98,1.8119943141937256,1.4361650943756104
99,1.7567137479782104,1.4019365310668943
100,1.7328447103500366,1.4090923070907593
101,1.7904973030090332,1.4174469709396362
102,1.830397605895996,1.4320991039276123
103,1.7562776803970337,1.402570366859436
104,1.7476146221160889,1.4140913486480713
105,1.7585155963897705,1.4135490655899048
106,1.775209903717041,1.4182289838790894
107,1.760883092880249,1.430605411529541
108,1.7242761850357056,1.4036874771118164
109,1.7394006252288818,1.3929882049560551
110,1.7684228420257568,1.4085074663162231
111,1.797897458076477,1.4255075454711914
112,1.7681219577789309,1.4145017862319946
113,1.7808085680007937,1.4379162788391109
114,1.8322898149490356,1.4102580547332764
115,1.773313045501709,1.4143770933151243
116,1.8528683185577393,1.4303711652755735
117,1.7541803121566772,1.401269793510437
118,1.8003625869750977,1.4325677156448364
119,1.7644776105880735,1.4173778295516968
120,1.7065645456314087,1.403533101081848
121,1.7676465511322021,1.42426598072052
122,1.7181897163391109,1.3881714344024658
123,1.7219982147216797,1.4033111333847046
124,1.7986338138580322,1.4012267589569092
125,1.7702739238739014,1.412499189376831
126,1.7696207761764526,1.4138975143432615
127,1.7837677001953125,1.396880269050598
128,1.7359297275543213,1.4039027690887451
129,1.770381212234497,1.4091017246246338
130,1.8292721509933472,1.4297810792922974
131,1.8050282001495361,1.4339791536331177
132,1.7906514406204224,1.4127739667892456
133,1.7401150465011597,1.4052704572677612
134,1.766645908355713,1.4056161642074585
135,1.7447059154510498,1.428507685661316
136,1.7931712865829468,1.4472050666809082
137,1.687666893005371,1.390133023262024
138,1.6943162679672241,1.400356411933899
139,1.8077820539474487,1.4449247121810913
140,1.7465096712112431,1.4414787292480469
141,1.7155077457427979,1.4181406497955322
142,1.6958198547363281,1.407649040222168
143,1.7416858673095703,1.4345921277999878
144,1.7950326204299931,1.4485089778900146
145,1.7163021564483645,1.4279354810714722
146,1.8188196420669556,1.4849892854690552
147,1.774659514427185,1.4829752445220947
148,1.7074379920959473,1.4700093269348145
149,1.702219843864441,1.4561166763305664
150,1.7547534704208374,1.4974817037582395
151,1.7876876592636108,1.5270991325378418
152,1.7273203134536743,1.4821524620056152
153,1.7651180028915403,1.503586769104004
154,1.7143484354019165,1.4889647960662842
155,1.7733738422393799,1.4948339462280271
156,1.774620532989502,1.4810712337493896
157,1.817126989364624,1.5137923955917358
