step,deepseek1.5b_sync_8gpu_lr3e-6-actor/grad_norm_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/grad_norm_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/grad_norm_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/grad_norm_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/grad_norm_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/grad_norm_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/grad_norm_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/grad_norm_step,deepseek1.5b_fa_partial_lr1e-6-actor/grad_norm_step,deepseek1.5b_fa_partial_lr1e-5-actor/grad_norm_step,deepseek1.5b_sync_lr1e-5-actor/grad_norm_step,deepseek1.5b_sync_lr1e-6-actor/grad_norm_step
1,0.05949049210175872,0.06291651725769043,,0.061677091754972935,,0.062660476192832,,,,,0.06410793587565422,0.06058458145707846
2,0.061834584921598434,0.0703692976385355,0.06528146285563707,0.06267650797963142,0.06357433181256056,0.062160336412489414,0.07699493691325188,0.07315457798540592,0.06848814338445663,0.06813238188624382,0.05986172053962946,0.0619106818921864
3,0.06074719736352563,0.07490778155624866,0.0662937005981803,0.05792612861841917,,,0.07960844971239567,,0.06314863730221987,0.06371264113113284,0.06171882897615433,0.05623596906661987
4,0.06136002391576767,0.07692837994545698,0.05947620142251253,0.06288681365549564,0.05795184150338173,0.060730453580617905,0.09771256987005472,0.10035584960132836,0.06228427030146122,0.06031844625249505,0.06226261705160141,0.06201416626572609
5,0.06939548999071121,0.08127538114786148,,0.07249228376895189,,0.06894962210208178,,,0.06561944354325533,0.06804603151977062,0.06971658114343882,0.06662503443658352
6,,0.07834310736507177,0.0610851114615798,,,0.06485461071133614,,,0.06122314790263772,0.06041089817881584,0.06902728788554668,0.05949456756934523
7,0.06332690548151731,0.1070757731795311,,0.07724091317504644,,0.06576556153595448,0.08296034298837185,0.16993149556219578,0.0590108260512352,0.06476595532149076,0.07150227017700672,0.058595805428922176
8,0.0711466995999217,,0.07014059647917747,,,0.07194963935762644,,0.11396785266697408,0.06810780242085457,0.0726303681731224,0.07830499857664108,0.06796326395124197
9,0.07523779012262821,0.11627604998648168,0.07277931179851294,,0.06835287529975176,0.07590934820473194,0.08234847150743008,0.12143043056130408,0.06464769225567579,0.07623603101819754,0.0822841078042984,0.06997604295611382
10,,,0.07317006587982178,0.08757881075143814,0.06507064029574394,,,0.09970478899776936,0.05721343960613012,0.07939887512475252,0.08457077480852604,0.06765403505414724
11,0.07487547490745783,0.12118119187653063,0.07953132037073374,0.07910335529595613,,,0.0901887770742178,,0.0620507481507957,0.08245803881436586,0.07976122386753559,0.05898080579936504
12,0.07509721163660288,0.11481744237244128,0.0903867045417428,,0.06676714308559895,0.07339397631585598,,0.10481787472963332,0.05951607692986727,0.10597202554345132,0.08301475457847118,0.06269082240760326
13,,0.12297655455768108,0.08922887034714222,,,,,,0.05765074770897627,0.07959922961890697,0.08074398711323738,0.058687301352620125
14,0.08067390508949757,0.12129328399896622,,0.08082886785268784,,0.08251787535846233,0.09256873279809952,0.130479384213686,0.06966064032167196,0.08240431640297174,0.07776811346411705,0.06908313930034637
15,0.08007953595370054,0.1115167997777462,0.10940480977296828,0.07799636200070381,0.07088814582675695,0.07770287618041039,0.09961722232401372,0.2200462706387043,0.0626325597986579,0.09108955040574074,0.08238755166530609,0.06936446856707335
16,0.0824875496327877,,0.12014360539615154,,0.07626042701303959,,0.10981070250272752,,0.06775117199867964,0.08903261832892895,0.08643261156976223,0.07221977319568396
17,0.08043962251394987,0.10481499508023262,0.11129777505993844,0.08269703574478626,0.07546246889978647,0.08235013484954834,0.11392653733491898,,0.06576620228588581,0.0840948736295104,0.0832265205681324,0.07469274941831827
18,0.08305974304676056,0.09319433756172656,0.14340108633041382,0.08604503236711025,,0.08468412049114704,,,0.06862511392682791,0.08246979862451553,0.08066388219594955,0.07330549135804176
19,0.08187943883240223,0.08657441101968288,0.16318029165267944,0.08325152844190598,0.08020997606217861,,0.11072830855846404,0.20245541259646416,0.06990719959139824,0.09549519792199136,0.08115729503333569,0.07039953768253326
20,,0.08755110017955303,0.1708826757967472,0.07637518085539341,,0.08267281390726566,,0.15087317302823067,0.06898760888725519,0.10626243986189364,0.07792116887867451,0.07487653754651546
21,0.08284341357648373,0.09119462594389915,,0.06970711052417755,0.07654529437422752,0.08496466465294361,0.15017398074269295,0.14306391775608063,0.07236339151859283,0.11553564108908176,0.07712341658771038,0.0779418982565403
22,,0.08575660176575184,0.18562969751656055,0.07860858552157879,0.0730336969718337,0.08610819466412067,0.16234438493847847,0.10208244621753693,0.06775749288499355,0.1395781673491001,0.08139823749661446,0.07721490040421486
23,,0.08444931916892529,0.2004013992846012,0.08495560102164745,,0.08806338161230087,0.1740192249417305,0.10337387397885324,0.07338542398065329,0.17853537388145924,0.08441931754350662,0.0751091418787837
24,0.08395577035844326,0.08376794494688511,0.15218858420848846,0.07855911180377007,0.07965509593486786,0.08373737521469593,0.17023741453886032,0.08486720826476812,0.07060996070504189,0.20148876681923863,0.0730866901576519,0.07636538613587618
25,0.0865363571792841,0.08476633206009865,0.2240241952240467,0.07269188575446606,,,0.16021807864308357,0.07364460686221719,0.06831359677016735,0.19582814536988735,0.07446812093257904,0.07734772842377424
