step,deepseek1.5b_sync_8gpu_lr3e-6-actor/pg_loss_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/pg_loss_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/pg_loss_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/pg_loss_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/pg_loss_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/pg_loss_step,deepseek1.5b_fa_partial_lr1e-6-actor/pg_loss_step,deepseek1.5b_fa_partial_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_lr1e-5-actor/pg_loss_step,deepseek1.5b_sync_lr1e-6-actor/pg_loss_step
35,,,0.06743427939818503,0.02517296265295954,0.03431904060380475,0.0219030918824501,,-0.4348626581195276,0.007066628287248022,0.04421525903035217,0.0287588897376736,-0.01103465254209368
36,0.07124231461148156,0.03903788383536266,0.05000591194584558,0.04907277741585858,0.049913270523802566,,,,0.03311198128903925,0.040352559815801214,0.03872960911030532,0.02281935310929839
37,0.06790613239490995,0.0697117725571843,0.05379722439465695,0.03471726248244522,0.041391456885065736,0.02400152331961181,0.15081831140923896,,0.037567001531442656,0.03458673136992729,0.04472685245764296,0.04672142848285432
38,0.036072405895538395,0.0995278637537922,0.05180285348887992,0.013344156262974138,0.04828677365594558,0.051905306390011674,0.11922932970037436,-0.4489790581865236,0.004316956289585505,0.04508223082484619,0.052411897489037074,-0.00153866050823126
39,0.08427278133240179,0.09627866557093512,0.07430564202377354,0.06308631935871745,0.046677421264007535,0.06171866702607076,,-0.45380631284206174,0.05542589933702402,0.04021677141497548,0.04609034124405298,0.05635898196442213
40,0.06061035062316478,0.10729997195812756,0.050951688135910445,0.03350951961942883,0.04378956366008424,,0.14662326485313315,,0.027743722293507744,0.03805691416164336,0.04927419771411223,0.11155992774365586
41,-0.00944946727668139,0.11125868948238347,0.044360868076637416,0.05499056463827401,0.036893970347222194,0.05846433203578272,0.13736377238114983,,0.02641915129743211,0.028013091565981085,0.058758605602633907,-0.0046868144963809755
42,0.0088782504176379,0.11842765120763944,0.04907721713413338,0.0600458598937621,0.047353952367302554,0.011415390406909864,0.114730941819289,-0.4200014904199634,0.019615723820606945,0.03163364053398254,0.029681015836104052,0.03846883307414828
43,0.06604612996306969,0.06993236236485245,0.04923730242944657,,0.05589007615526498,0.02338323183266766,0.013970088634323474,-0.4277789688203484,0.0486047012589097,0.02851370521352692,0.002914364456501062,0.07863291598005162
44,0.04746072614034347,0.0938334431457406,0.06401535833720118,0.03751483220185037,0.04017436598951463,0.05579149264121952,0.02547778254529476,-0.4458062386838719,0.034973276441860435,0.02129432989158886,0.03979401745164069,0.055603227862775384
45,0.027693256160546294,0.07057242136079367,0.05258787576383384,0.03272036627822672,0.034785475861554005,0.07426970732194604,0.04658997250783159,-0.4759015645540785,0.044857438251710846,0.02776390981307486,0.055840283077486674,0.06912662730337615
46,0.021693624155886937,-0.010822425290825777,0.05723740613143491,0.05076422023489613,0.04718570243136355,0.02077936046953255,0.048406506992023424,-0.4759783820773009,0.039373310363316705,0.04650367836347869,0.04506144610877527,0.02688462063542829
47,0.05659663699205453,0.03288078069317635,0.06170794980266692,,0.02624799471004735,0.016701307560651912,0.05313653502889792,,0.05101348009065987,0.02540615682300995,0.024872940910427133,0.02398060696577886
48,-0.009668781083121305,0.09594265996793185,0.05422870424217763,0.01633453555587039,0.03217263830947559,0.005424778974884248,0.06543696217340766,-0.4654209854488726,0.04580163534433268,0.03167741627567011,0.07296600534027675,0.08312371280590014
49,0.01976188272738,0.07474805267520424,0.059824747704624315,0.04882493142758904,0.025182247255656875,,0.07477510163789702,-0.4334769329871051,0.05547027590932885,0.016239376847352105,0.04745406584333978,0.09773088924703188
50,0.06896351218165364,0.05673795036000229,0.04490302238673394,0.027978591409009823,0.02606340139925578,0.04343780794806662,0.08344360932824202,-0.4339542977686506,0.03638552630582126,0.0273915438340282,0.04786094759401749,0.051094802313855325
51,0.008444938457614626,0.08797034625922606,0.047125776746373305,0.04855151568699512,0.026073410358719684,0.04664389287063386,0.05587119101119242,-0.47604658000636846,0.04231765608756177,0.02134817103126352,0.0516116313801831,0.1533257045375649
52,0.03006427613985352,0.014832569405371032,0.04444819803438804,0.021525185513382897,0.01835013697882459,0.011975471604500854,0.04184511333005503,-0.4761735346110072,0.05109546534345099,0.016946933092185645,0.0361249831277064,0.04268758192006317
53,0.06317182689326728,0.10124409142190416,0.03799017676226413,0.04248241856862478,0.02179305408583332,0.04033461473045463,0.012006252334685996,-0.47622459731064737,0.07872793934620859,0.01383143858967628,0.060841008094826066,0.04239300707922666
54,0.03379798374407983,0.057610755176938255,0.04789181096748507,0.06197553042693471,0.024263204984890763,0.0058370235587972275,0.03375262948975433,-0.4360674557101447,0.053990980555681745,0.01103807849540317,0.014180484158941908,0.06732420348271262
55,0.0336355753333919,0.020470020422180824,0.045847875785284486,0.047487376221397426,0.024851957572536776,0.005362263002098189,0.016250067927103373,-0.4732868666469585,0.06378509187152304,0.017710133854961896,0.02009628021824028,0.08377340368315345
56,0.020077730283446726,0.03498077666517929,0.048035475720098475,0.029713241101489984,0.020334583347164426,0.03363061011896207,0.05802915327512892,-0.4762819376192056,0.05449210297911122,0.03250396645262299,0.02259398895330378,-0.01248469360780291
57,0.06705890860303043,0.05897128158505893,0.04047249552434096,0.032687055463611614,0.019356085686013103,0.03081630475480779,0.0752918530452007,-0.4745428225432988,0.06828639264949743,0.02113444269480169,0.03046682802960277,0.03014210830997399
58,0.04979465341421019,0.016640512598030455,0.033363931910002975,0.0689659702602512,0.020476645227972767,0.03607356948623419,0.08572360319976724,-0.4348917317111045,0.06837186922140859,0.026124696674060033,0.033645035025983816,0.07592817360546178
59,0.0633856772328727,0.004424567690875847,0.04019930553249651,0.008764678535953863,0.015190997114132188,0.06379664256704132,0.03934044870402431,-0.4760774751775898,0.05980314534667741,0.0260872924504838,0.004084144716443916,0.07088845542784838
60,0.06466855610415223,0.06111865503100944,0.040630691979913536,0.03317462588051967,0.016158854635591524,0.03267552864053869,0.03748100481243455,,0.05689384234153749,0.017563979370379457,0.021600603193292045,0.03550310156140313
61,0.020627214536034444,0.06267654681596468,0.03195649156145919,0.034092150423930434,0.016562147650802217,0.013676912190931034,0.016095421106001595,-0.476355234044604,0.04657415106703411,0.02300780541872882,0.04522518872090586,0.052041760536667425
62,0.037447759643782774,0.12720163916128513,0.043098021827916,0.04384929104344337,0.02555010924015733,0.02729829404620432,0.011926454651984386,-0.4679821412719321,0.06527969606895567,0.02256208838934981,0.02694523038007901,0.049938890333578456
63,0.04791321315371988,0.007105830559339665,0.04258313211357745,0.04146341867999581,0.03129305102095259,0.04565928038050515,0,-0.477103514072951,0.05417704959796765,0.01804603371851954,0.0430604479242902,0.04986546325835661
64,0.07452591189792201,0.017078388400932454,0.04448282520502289,0.014719745910042548,0.03700909036160738,0.0001381405578513295,0.008316939063661266,-0.4764452197414357,0.0559900810135332,0.026434533012661632,0.0555339623351756,0.04820918725135925
65,0.025615836169890827,-7.121546150301583e-05,0.046342256556499706,0.06083007324423306,0.02433022623836223,0.008787651447408812,0.05869767301919637,-0.4824200593284331,0.0707426599133214,0.011603371427327149,0.0219769198688482,0.05770420504723006
66,0.05612003640203511,-0.007301691989596293,0.03776512853755776,0.028682352634859853,0.033693000750758983,0.004136883081173437,0.08052071359804813,-0.47641940898029134,0.06711703057544582,0.02873132663467004,0.01242258882848546,0.0253046485267987
67,-0.0014564045113729662,0.011861723383844948,0.042376417457944626,0.026760113048112544,0.02794615239781706,0.0180729302301188,0.10014157346131468,-0.4764770956535358,0.05008241191944762,0.020228359198881662,0.03641488509674673,0.036490556179160194
68,0.07011571433531572,0.030800854019162216,0.03308306923622695,0.025209707046087715,0.02641038420912878,0.02633449893437501,0.05363182360997598,-0.47259659008705057,0.06275806836174525,0.02179243474711257,0.05455759680535266,0.07783606786733799
69,0.04276570708634608,-0.0055171561357383325,0.034187011578978854,0.014174983218254056,0.030760384581753897,0.017906783841681317,0.04750535947096069,-0.4728193702467251,0.05065707782159734,0.017041754749698157,0.05749118580624213,0.09597927911454462
70,0.01477924303162581,0.05122824836871587,0.03895448198363738,0.02533813138703067,0.019150280188114262,0.03202956304903637,0.02024825901753502,-0.4765326537308283,0.04961725130851846,0.011147101144388216,0.06618238500777807,0.0588228136584803
71,0.013218088599387556,0.0119471572297698,0.028560332599226967,0.021868466833439015,0.01784212854818179,0.00836186905780778,0.01250827930198284,-0.486693836573977,0.045798339240263886,0.009619665278819411,0.053932080812955974,0.0838702869386907
72,0.024911549583521264,0.047122434863922535,0.022337382199111744,0.043661004510795465,0.036006485657708254,0.03425957932563506,0,-0.4764713159238454,0.06955086290486179,0.014791334442634252,0.012517565969574209,0.056804127987561515
73,0.05644830513165289,0.06069916385149554,0.03720887821202723,0.02095953877869761,0.016571602654039452,0.009838633544859476,0,-0.4766067757154815,0.0454973739297202,0.0031222692500705307,0.05351365811884534,0.0387628072685402
74,0.028619716723369493,0.03516594487700786,0.022421901695452107,0.026219705127914494,0.02485708095133532,0.0030927181815059157,0.0065832477375806775,-0.481274742516689,0.039412647186509275,0.025658898061010404,0.0329390296578822,0.08091184414274721
75,0.04236309364569024,0.028400415821352,0.049239622377172054,0.0003239852740080096,0.02302102897556324,0.030492817031699815,0.02979146860889159,-0.35657866645487957,0.04297531682004774,0.023525119972418903,0.02998107905659708,0.0403020539206409
76,0.0377649504580404,0.0349152360113294,0.0509706154698506,0.014597503498407605,0.015929985427646898,0.05075235951335344,0.09644498666966685,-0.25683739269152284,0.05886431362523581,0.019874494502118974,-0.009981329490983626,0.08997760657166509
77,0.0413908452310352,0.006764191869933711,0.032911902069123755,0.024755833937888383,0.026687041467766903,0.041064027485845145,0.074500385504507,-0.4762532353342976,0.05498835947855696,0.006646882460699999,0.02883558310168155,0.040802115298332
78,-0.010315012402770662,0.01888335965099941,0.04411357911862979,0.030793476044209456,0.021597525337483603,0.03996249443662237,0.08638836714817444,-0.4761192563455552,0.03262303331302974,0.007572356034643235,0.009039523005640149,0.05870876116364343
79,0.028807217475105062,0.02260805408559463,0.04951162042482338,0.051176288177885,0.02307960813141108,0.01637350200144283,0.059490862498932984,-0.476308064738987,0.041921930031776355,0.019593631937368627,0.033490058609459084,0.06750293031922183
80,0.019751857644621396,0.031454254740310716,0.03748559589121214,0.001785574173936766,0.023931802605147823,0.03993279189307941,0.0058549063760438,-0.4764665305847302,0.06314249975378061,0.021589116527138685,0.06180015044810716,0.02995855600511277
81,0.006980557487622718,0.030714675941226233,0.04740258420497412,0.016081445744475786,0.02063418535880146,0.027681849209329812,0.004633749873391935,-0.4730949789227452,0.0299754123443563,0.012060764494890464,0.016025403409003047,0.03641495172581699
82,0.021569038879079017,0.035987751916763955,0.05082531755203945,0.014980353984356045,0.020946999781472183,-0.012079513526259689,0,-0.4392850369331427,0.04631965691169171,0.017494161825197807,0.06904447544366121,0.031169589724413527
83,0.044811970884211405,0.007282478689830896,0.03985280239066924,0.05621803148460458,0.011304019588351366,0.033112810173406615,0.0034156462243117858,-0.4119746236538049,0.021772222995423363,0.014388122373418357,0.00026185528440691996,0.0625443071267
84,0.05223457634019723,0.024720101084312773,0.007859113174163213,0.043064011367278,0.034591860121508944,0.01820638853314449,0.00959945618888014,-0.444492457259912,0.04981291425838208,0.009733994144561107,0.027381806470657463,0.031211303818963643
85,0.046557321798417206,0.06511148874415085,0.01144752121763304,0.04145987126230466,0.01883628617451905,0.01363511277259022,0.01999356936539698,-0.47652651197859086,0.053501848033590704,0.017313859694695566,0.03166757307826629,0.010554815688010422
86,0.03534437967255144,0.04456791566190077,0.06320111872432221,0.08715534071416187,0.021178217466967908,0.06308844276463788,0.040494239947292954,-0.4765802668989636,0.03760457655346272,0.013590877266210557,0.016398290323195397,0.018718254683335545
87,0.04197934977401019,0.03319250049571565,0.03793178495061511,0.06007290039815416,0.02307970453693997,0.04554695377373719,0.04411590491690731,-0.4766188770590816,0.054098013758220986,0.0143239674043798,0.03745952220924664,0.044757941575994664
88,0.013239504802186277,-0.03384551701219607,0.050397433480156906,0.016847765515194624,0.025074286582366767,0.012228534480527742,0.033211057489097584,-0.47664460001396947,0.05176845494634108,0.006953445410999848,0.03206932336252066,0.0050182968884655565
89,0.029424952790577663,-0.012141254903554,0.04466384107217891,0.004589614440192236,0.015540064189053735,0.03921068828640273,0.005991985490254592,-0.4766751081333496,0.041471692963568785,0.01850255359204311,0.02640093197987881,0.0359347892194819
90,0.04102825146401301,0.025692948676805827,0.07126395000886987,0.04417900638873107,0.015695049516580184,0.0256571926693141,0.004570309160044417,-0.4633717908582185,0.04153231227792275,-5.189583271203446e-05,-0.0029631862266796816,0.04749333299605496
91,0.011933407815376997,0.02110727744323526,0.05701001763691238,0.04356549012300093,0.015555330104689348,0.045415326558213565,0.0022915520748938434,-0.4529620051616803,0.03845248601264473,0.013412617488029356,0.06544754233846106,0.02957903710057508
92,0.023795957903530507,0.014502844664093573,0.023781193174727377,0.016886675210116664,0.019689472797381313,0.0069289767471616415,0,-0.4741176312963944,0.03714769878502011,0.012476856963985483,0.04248591479699826,0.04271264109593176
93,0.01827517580750282,0.0020218296074290265,0.06826452672248706,0.06777197383235034,0.015557321722781126,0.051341708897780336,0.004029533389257267,-0.4719173558696639,0.01750138836973747,0.0048095346468244315,0.06180830049129327,0.02759683156000392
94,0.05870391442294931,0.04119694195699708,0.08625921886095966,-0.006661897417870932,0.025387450832113245,0.00871103823010344,0.01203873279155232,-0.4767132180277258,0.032861421235111266,0.01590319585011457,0.004533828096100478,0.05912768844336824
95,0.04781470178932068,0.006906492280904786,0.062631408112793,0.024856028299836908,0.016638313862131326,0.06182699036071426,0.046440714501500224,-0.4729146544123069,0.032585917393589625,0.015287128187537746,0.072131047525545,0.09760128401831024
96,0.04520084913747269,0.03807963786675827,0.05383420933117122,0.04587182892964847,0.019911729338673467,0.05913688148802976,0.04717752682336141,-0.471042189426953,0.036766237492940945,0.018033838723567897,0.0634918576979544,0.0362962073268136
97,0.01537514819210628,0.016756793011836635,0.09998241362700357,0.004107951870537363,0.02203232983720227,0.03370698366779834,0.0231259593847426,-0.4736406823503785,0.03137566891564347,0.018405148433885188,0.0010708035188145004,0.04170079523828463
98,0.024540932929994597,0.019209575961212977,0.05814485924929613,0.03883187493283913,0.009718044962141905,0.04122098827519949,0.001038604270434007,-0.47199254867155105,0.04226137377614237,0.018029649761956534,0.06802965698079788,0.00223413129333494
99,0.05253790655024204,0.047357826907500566,0.038907777079657535,0.013736760574829532,0.021844199746283263,0.010394810668003627,0,-0.47653631994035095,0.026688763462601628,0.017977853362026508,0.04796249625906057,0.09905231195989472
100,0.018626274127200304,-0.008890880937087786,0.05778179208573419,0.0376180771786494,0.016950177610851824,0.07009670684419689,0,-0.4767718529619742,0.019398337653001363,0.013967029251489294,0.04877763067588603,0.0809824389334608
101,0.022164157422594144,0.029176398860727204,0.1015514986584094,0.02548558881971985,0.02006356836955092,0.015702412514656316,0,-0.47482231180765666,0.03241357107162912,0.022985768895978257,0.023724268629621292,0.04894801537921012
102,0.03022602858436585,0.0019437768187344773,0.0707649212126853,0.04331112745603605,0.00968828716486314,0.016966851386314374,0,-0.4712666932027787,0.04355941706853628,0.028222682614796213,0.09454403859986373,0.06998448509875743
103,0.05732701966280729,0.01415943854044599,0.04038849242897413,0.07835416289708519,0.007997267361133709,0.0064016052623401265,0.00097297337197233,-0.47675157312187366,0.02814180032328295,0.01997947243398812,0.051413797576969955,0.12618471703353862
104,0.05238440757511853,0.04560486706077427,0.07127629494516441,0.00914254729559616,0.020748341587932373,0.042736818492812745,0.009402029718330596,-0.4767871640797239,0.030071550238062628,0.025669225529100004,0.03351607361219067,0.01205588555274062
105,0.05029042956812191,0.03327750390053552,0.12303671286554164,0.03524275756535644,0.013067156849956518,0.003662527350456912,0.016804291441076202,-0.47679861926008016,0.016508704931197826,0.015616776610386296,0.019110973304123036,0.027793971750043056
106,0.029725015200710914,-0.013644244916577009,0.031028721039547236,-0.007893074833134506,0.024314901261618616,0.03968113386844152,0.012343291833531111,-0.4769012982142158,0.020150763787114556,0.018140091178793227,0.03974475016730139,0.04092237258282694
107,0.05181066729619488,0.0033748024425221956,0.04511987156979558,0.05272267729014857,0.01840251844419072,0.01607612277075532,0.0016998622813844122,-0.46413228823803365,0.03757343066172325,0.02101218662684801,0.06090372831386048,0.012480188131348768
108,0.06773926179630507,0.006103404337409302,0.11584989232278532,0.02703908774537922,0.01897132055455586,0.04268458371484485,0,-0.47673256843700074,0.04319496411062573,0.02228181898908588,0.05768584767338325,0.04696464643643594
109,0.060182163163517544,-0.022706937565999397,0.08051351380890992,-0.0027133638291161333,0.01877726820339376,0.041807126051480736,0,-0.4767968934902456,0.026001283579262235,0.012201116751839436,0.017524673814477865,0.12101870258993586
110,0.052639069599536015,0.022840921794795577,0.03726988378684837,0.05588395285667502,0.010845857106460244,0.022393860599549953,0.0018729025032371285,-0.4768021481577307,0.03362042681465027,0.01627404064311122,0.03903990482558584,0.06538890175033885
111,0.08578910965807296,-0.017411823424481554,0.036924629125905994,0.00994060792527307,0.012303505250429224,0.03565380520740291,0.008898840256051699,-0.4743922016932629,0.027433333329099696,0.02812452046237013,0.04930166729081975,0.036533416159727494
112,0.040330976344193914,-0.009506483238510556,0.06595344302786543,0.008840236952210034,0.02196749689119315,-0.014695226660478513,0.013206639534473652,-0.4640393284207675,0.02450413476844915,0.015887560618466523,-0.000543901137262992,0.011569346199621576
113,0.062414760758656485,-0.026426277272179277,0.08849104321825507,0.05586484117463897,0.005633204463720176,0.020993707673824247,0.010784545723652172,-0.47677915534586646,0.019023499261038523,0.013129073821801285,0.0297920877001161,-0.01188406333221792
114,0.05331728461715102,0.004410799580909952,0.04827226308862009,0.018626263594342163,0.01514840395293504,0.040163601690437645,0.0007347006321651861,-0.4768245696031954,0.015291878603420628,0.02195217074165612,0.048825672896782635,0.034093052709067706
115,0.042097914578334894,0.009540250479858514,0.04999435198078572,0.05826010294549633,0.02015777012820763,0.04197760894203384,0,-0.47682355626602657,0.029793523533953703,0.016843661956954747,0.07357680368744468,0.01415058463362584
116,0.06519890123854566,-0.011885961394000333,0.03698638364312501,0.05465400261891773,0.026562604550235847,0.017531926456285873,0,-0.4702926310128533,0.02097566118277427,0.008304143158056831,0.005327641181793297,0.050049659483192954
117,0.03989283710507152,0.05720361581234101,0.05829952562294238,0.021150620574189816,0.018366268997851876,0.03769219350760977,0,-0.4769226512580644,0.02750804437982879,0.014976399920669792,0.05327548137131544,0.0811095840613234
118,0.04648033223566017,-0.01942871009623559,0.006184694437806115,0.01940558966362005,0.01678700092509189,0.03699783947195101,0.00011464695853646845,-0.47677634767023847,0.034213071315889465,0.016759840890699707,0.047526325095986977,0.031253282953912276
119,0.05366965754120656,0.04795140235000872,0.04142914023964295,0.022102575543613057,0.021634872180584352,-0.013303519881219472,0,-0.4768448973482009,0.020335095292466576,0.01943558042648874,0.05273058483180648,0.05612987603592501
120,0.015907292458166467,-0.018801270078256493,0.05564856753289859,0.008354506724572275,0.019137586818033014,0.0191065022231669,0.0021091143462399486,-0.4768547392450273,0.034754944821997924,0.012421788475876385,0.02568463477791738,0.045747092701276415
121,0.0291306548308512,0.050909616438730154,0.05654972081993037,0.015934332957840525,0.01893870142691867,0.02777073987181211,0.0027822506526717916,-0.463276602269616,0.02880034059899117,0.03084730269438296,0.03280178836575942,0.05504314355766837
122,0.03384177178122627,0.015954115314343653,0.057628367329471075,0.008378406429983443,0.008600290719641634,-0.0022082761897763703,0.003592293239535138,-0.41263343911850825,0.043392833629695815,0.02075016495473392,0.03089495396170605,0.06524295297549543
123,0.04685839196008601,0.00039752639349899255,0.06345581762434449,0.010254062923195306,0.008574472698455793,0.0009057756506081204,0,-0.2786090694426093,0.02082102072017733,0.02048044752473288,0.012390129830237129,0.04208677578390052
124,0.07704977824755588,0.006342339407638065,0.05946659141702071,0.061673880454236496,0.017466499272359215,0.03841710576762125,0,-0.23092608523438685,0.02917250950304151,0.020579559002271708,0.02078412803530227,0.027300150077735452
