step,deepseek1.5b_sync_8gpu_lr3e-6-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/pg_clipfrac_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_fa_partial_lr1e-6-actor/pg_clipfrac_step,deepseek1.5b_fa_partial_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_lr1e-6-actor/pg_clipfrac_step
11,0.0002903550373561395,0.011133289906772405,0.0014754055319108185,0.001053662668013544,,,0.002414970608091506,,0.0002542019776165975,0.001482596893749695,0.0013454025762257517,0.0001335137481214338
12,0.0004373099621607509,0.014631041969059387,0.003502582897523157,,0.0006455203646467446,0.0007738188693355056,,0.0017300781526997028,0.00026694747599279327,0.0042054909075731695,0.0010489896891091052,0.00014493926498509045
13,,0.0127092694959641,0.0022404761562564305,,,,,,0.00022875154117179536,0.003413036559115408,0.0014049485462911198,0.00013805206374801107
14,0.0002971329233580698,0.0139288985586193,,0.0008036806671743062,,0.0003651895529181839,0.003449813149235423,0.0013320212566112683,0.0003578745344390721,0.003764276614499623,0.0010246380339776805,0.00015386358303430824
15,0.0003156487112550715,0.01368099954818129,0.0062499881552158555,0.001317109669112049,0.0010169322122094975,0.00047865894757032274,0.005319770705520976,0.01674573935320331,0.00031872239141667567,0.00359468195960829,0.0010495085352886235,0.00016631593762998998
16,0.00043736984443967233,,0.007881693676221829,,0.0011204936213531217,,0.00529497489469577,,0.00033331533459738934,0.004059840531549963,0.001263372092993946,0.00018824590894682175
17,0.00029245874385113975,0.012456379698051023,0.008709228411943411,0.0008822776846161929,0.0014169912549372536,0.0004545193738996877,0.007775150778097185,,0.0012396450031352051,0.0036490539066025207,0.0012839778910760783,0.00020356105272568176
18,0.00035338258345081366,0.01238283328621037,0.007736033402241722,0.0008115761247609043,,0.0004307681092108223,,,0.0003250812495715157,0.003214461491215356,0.0010081333396365789,0.00018989586754508531
19,0.0003721128471982281,0.011075285099319775,0.01099526999037658,0.0012500323838614113,0.0011591594122081288,,0.0081975575623173,0.01763242241239433,0.00029849374356952186,0.005889906745125593,0.0009737017463824788,0.00017559547093417047
20,,0.011710104552955965,0.015845891553746022,0.0009629206065255858,,0.00047307796188017,,0.002323743850621003,0.0003298764279386685,0.006257331926341672,0.0008529026707909301,0.00018500717425539684
21,0.0003953780374672533,0.011972879640961763,,0.0007545471088143621,0.0010129637332096555,0.0004257359667766043,0.012030726882002575,0.01364958005641321,0.0003214664898183718,0.0096759571690806,0.0009416806816868,0.00021445187460683105
22,,0.011199404102479738,0.012025197660483824,0.0008227438558186315,0.0009259311123892104,0.0005304113401507493,0.008130156239258213,0.0015924315382737685,0.00032773041048568736,0.00958705854663911,0.0013954994562326891,0.00023279902466778624
23,,0.011139178555646553,0.01880346187052617,0.0013054189545528062,,0.0005475766234010532,0.011958640564456249,0.010095492888677443,0.0003256518465707582,0.0195388826550546,0.0010809348235315238,0.0002074085625645239
24,0.0003841240519022904,0.010863271751539718,0.013805052977397892,0.0011060235282648616,0.0012605318156697222,0.00045562737937764134,0.008715936984502971,0.0034179262499492323,0.00031332061217091765,0.021486250896547,0.000688867594567455,0.00021588277926899276
25,0.000398067453238582,0.011682401005754846,0.027522699698707007,0.0011002201725659687,,,0.01312570057543203,0.0031031530837446132,0.00036616049182025296,0.01813185278117436,0.0008017730197934725,0.0002240217710426474
26,0.0004778797476415332,0.01159907468385866,0.01015671215829209,0.0009875455265273558,,,,0.0017595214981856071,0.0003803513604308743,0.008496349127923401,0.0008784345907257282,0.00022227465729313857
27,0.00042045302998303666,0.010885328977504587,,,,,,,0.00046263801287307394,0.005904441737098024,0.0008179216881347072,0.00022083042909538825
28,0.0003378879075878811,,0.010842892485392178,0.0010748500154898844,0.00481882486434658,0.000345239627964283,0.03659880933864752,3.106302142441564e-05,0.0004113600756075661,0.00623615938775577,0.0008498035978463074,0.00024225552466733088
29,0.0003868925701421436,0.01113120093661844,,0.0009941149384854054,0.005406284801743798,0.00036199421466383345,0.03656424636063999,6.132332292390461e-05,0.0003615339115811831,0.00369667296735575,0.0009770849354582526,0.00025961948404074064
30,0.0003304442858230637,0.011780255950590663,0.008241885698340959,0.0010761917168517691,0.008722494510261136,,0.054051350471115714,9.027482654481124e-06,0.00035684201666116253,0.002113712757114742,0.001262608579293699,0.00026149519947536574
31,,,0.0189004158602071,0.0012152594522487517,0.007324638004899979,0.00040129013273384,0.05775614504063555,0,0.00037933508183414234,0.0022838676929585835,0.0010263005174010686,0.00027804512842521945
32,0.0004985607334447196,0.011813422112566144,0.007473640340329915,0.0012546659103153193,0.006502533120180547,0.00038844823788300654,,4.3932717138280464e-07,0.0003464365490584662,0.0014118166192799565,0.001587868709456026,0.0002439573974584164
33,0.00036027600390298176,0.012230316807220405,0.01906547666214919,0.0013908791419453338,0.002895673741201585,0.00032172373096871426,,9.835731335832471e-05,0.00032054059150621805,0.0010588806301344588,0.0010619921775331732,0.0002667734573691405
34,0.0003549909021330677,0.011502195266635122,0.007606852270030624,0.0011084451975193587,0.0017141971763101956,0.0003528851724886887,0.07994036683365681,,0.00031339590267028444,0.001214480311149478,0.0010177662878193491,0.00031896547537447383
35,,,0.016977430676422208,0.0010427646542211732,0.0021780283647861625,0.0004391385150483984,,0,0.0004342098342318642,0.001420309656448528,0.0011320568075557514,0.00030620701282283624
36,0.00040336879604782133,0.011557225217841858,0.006385664311695413,0.0011689892457869108,0.001059025503013708,,,,0.0004020411158409034,0.0014072981188368013,0.0012982123112235014,0.00030364959191933464
37,0.00040055980696251936,0.010929505323416534,0.01573506107146919,0.0011307986048546138,0.001037724750602018,0.00046677991837752513,0.0445219881776211,,0.0003600776274437398,0.0012862206719376644,0.0016051605621453888,0.00030094015131418506
38,0.0003997860459447919,0.01038738630152445,0.00792952757634163,0.0011137448250337911,0.001649507069241188,0.0004568360599158631,0.013980811026622178,1.077607157640159e-06,0.0003518936836550373,0.0021597287255265773,0.001178954467930551,0.0003019248980973106
39,0.0003870516793779787,0.01033256754422798,0.01592736236220086,0.0009212635221956587,0.0007185145104888351,0.0004423009544412847,,0,0.00037392213267163263,0.0013599997025710478,0.001167679003651756,0.0003099990732530472
40,0.000431140186451674,0.010088192693232982,0.00680893442379937,0.0012284458862734777,0.0008337174749560772,,0.020961575041695577,,0.0003962823512066197,0.0014656427130833117,0.0009688347187276544,0.00033525506829391817
41,0.0003883209189249707,0.010090598243219904,0.015000217232081628,0.0012897509693402752,0.0006933216616532036,0.00047362231148432584,0.016861404701380492,,0.0003837282589460222,0.0014214556136356428,0.000959419958191921,0.00032261607677081075
42,0.0004671893286381658,0.010183951120577857,0.009652630336868005,0.001005409199500545,0.0008726128005526377,0.0004418252165773343,0.01828984346693182,0,0.00039675182506594746,0.0015513419599209569,0.0010449572581862974,0.000347157340596683
43,0.0003850985731766005,0.010416838392476611,0.012532163263892804,,0.0007045822241312323,0.00046353119993606623,0.0022185651065456113,2.604209552564977e-06,0.0003403171749910624,0.00121211460299905,0.0011812390016097023,0.00032920003512187506
44,0.0005233574090425464,0.01007849787061406,0.005024196342011627,0.001257446657941078,0.0008181669525478536,0.0004352802947800055,0.006312478662374587,8.520621563410245e-06,0.0004887606970795381,0.0014004636184246266,0.0011764484535400166,0.00032201757269887115
45,0.000374516193271741,0.009979727107945466,0.011341994103668184,0.0008959389226939218,0.0008368344313166311,0.0006907114959580617,0.005191863318208605,0,0.0003989184166248992,0.0014588667258303085,0.0012940005463355597,0.0003545338918140224
46,0.00032248825548752367,0.00895567433690303,0.008476526081290004,0.0013037943292277174,0.0007583297674407218,0.0006242925671868739,0.005093317758060383,0,0.0004103725674516075,0.0015313192906351194,0.0015772665942027483,0.00033025057775298497
47,0.00034483247642079685,0.010151980660583189,0.012325521922408603,,0.0007427939066866945,0.0006899613421453632,0.00385243839748321,,0.00045733524437995725,0.0014603898756959206,0.0013022153807469294,0.00031699199847856147
48,0.0003577573562454615,0.009871022108806452,0.006595584426889088,0.0011599487432669357,0.0008397105978869209,0.000529329541768675,0.0025346770942267574,3.8695138994769775e-07,0.0005825101189424628,0.0013708559431241131,0.0012344581330735974,0.0003391530061094272
49,0.0004462654939599911,0.00879321115817653,0.011452579416718397,0.0011874340035709402,0.0008576247641098302,,0.003831290157839767,0,0.0004763544272699412,0.001513405724672805,0.0014123717085221003,0.00033564636303550367
50,0.0003994049058227184,0.009833470073863282,0.00804816588080226,0.001232660691340033,0.0008736974954167686,0.0004727079436339114,0.0029006467992360235,1.330302674155657e-05,0.0004291867921411862,0.0015583618470383404,0.0016406909945771986,0.0003653178687479587
51,0.0004798235876608358,0.008977955062419357,0.01516510032172758,0.0012099833358433898,0.0008384352368968565,0.0006499274467100086,0.0013552347880731225,0,0.00043874137380824145,0.001630834058719418,0.0015210983295446568,0.000360137772238684
52,0.0004226262000022536,0.007909520598695962,0.009525825339991358,0.001282649974806797,0.0018157756062801929,0.0006204765110468495,0.0030063887517485454,0,0.0013765628073870908,0.0017515936995300182,0.0012671235039761089,0.0003664057616002869
53,0.0004987394578485102,0.0096036117116455,0.0114466016376961,0.0009774212491576789,0.0007494405584359562,0.0007022503157378722,0.0007555188476154788,0,0.0003876309235145077,0.0015681603164875923,0.0014285005527199246,0.00033523873679025036
54,0.0004305399188746289,0.008537386023019237,0.00909037813469233,0.0009256531466668268,0.0007070526979306804,0.0005582042401725537,0.0031061671612795704,5.157274314954591e-07,0.0004004569798107787,0.0015902846986834145,0.0011047910102206515,0.00033845650808001193
55,0.00039996999051557697,0.008865165396056866,0.016256258303727344,0.0010512005228520138,0.0010526867865952923,0.0006583903937098512,0.0005315754028439794,7.231051855482151e-06,0.000439810679645667,0.0013059706258425942,0.001499376574147824,0.0003704736564427351
56,0.00048730016694137774,0.008201317310522427,0.009069541661044287,0.001050218239980473,0.0008292469149240879,0.0006038214805112847,0.0020662003187716634,0,0.0004230756927528192,0.001560997101933026,0.0012605933717991103,0.0003230748669617848
57,0.000547872429395188,0.008592382718282016,0.013488048083317331,0.0011173408200815366,0.0008678113141269767,0.0009197803661711653,0.00203701429811392,1.8477667428949362e-06,0.00036410631643255854,0.0014679559333926869,0.0014183881614549248,0.00035588344091466267
58,0.00047844458690416927,0.008260680640108018,0.009530958451120095,0.0011636981186339572,0.0009230743128778276,0.0007423404769421419,0.0009583779207888356,0.0002103508718312042,0.00042846266136031006,0.0017418705022957208,0.001326193760259129,0.0003519355557690854
59,0.0005116764806795496,0.008687877854936233,0.016650530009092977,0.0012960729436166556,0.0009155900373313472,0.000874651201532591,0.0003858630301389591,0,0.0004229447186859073,0.0016822517826627658,0.0015642480552424934,0.0003624789669036387
60,0.0004853771253606066,0.007100888123594424,0.009941197089352457,0.001014430615191486,0.0007720828607634991,0.00077343239690024,0.0006090085341464067,,0.0003929870456579317,0.001724693808240166,0.0011836671023336914,0.0003200258004956898
61,0.0005036884404752959,0.009430761483821609,0.013952548316358844,0.0011942254834800472,0.0008280984597338338,0.0007626910113512643,0.0004050235967007701,0,0.0004052613155829132,0.00171911812277906,0.0012589359293008822,0.0003366960714023056
62,0.0005854582297312542,0.00910761082272266,0.010085365985224182,0.001284815383996829,0.0009844363356495268,0.0007758393148600216,0.0004404589066535454,6.767149678690374e-06,0.00040016330314347943,0.0016804889534249663,0.0013557903413086371,0.0003659997053318875
63,0.000574054927854281,0.006975017842472507,0.015744553443360367,0.0011373544870943212,0.0009450976359130436,0.001119337645096017,0,1.821892118610337e-06,0.0022443461017199544,0.0024076585734474063,0.0013899196081762386,0.0003591018892992989
64,0.0005577612526445187,0.006472214233853217,0.0074209384001139665,0.0010307387637089377,0.0006714645757929273,0.0009033551550373886,1.1784364791570363e-05,0,0.00042152718249395326,0.0015191915148974051,0.00149195767231244,0.00034544453142189014
65,0.0006274219763449888,0.006731206069449208,0.014253422239994092,0.0012231418759921968,0.0009109270681786558,0.0007965414035338437,0.0001801793778888757,0,0.0004709573922950924,0.0015047614132299714,0.0012525283304534068,0.0003783258339353779
66,0.0005346912990913748,0.006865929774357937,0.008177179504301975,0.0010877377669885392,0.0007618055596466524,0.0005594715560056059,9.927587515241548e-05,6.416774011023367e-06,0.0004488592924947928,0.0015837506106587775,0.0011671124619689571,0.0004009885075458104
67,0.00051487930751456,0.00942749095319366,0.014352721494271298,0.0011654737842263785,0.0007594997828786074,0.00060989978112225,0.0001166577912371985,0,0.0004352558574674808,0.0016648256577506495,0.0013814996570242026,0.0003495000146570017
68,0.000730160217623658,0.00988547279389183,0.007295308973087469,0.0016808140527968928,0.0008374002828837066,0.0006486981920506179,0.00018511385509454057,2.332024098450347e-05,0.0005038691236014767,0.0017452960980229666,0.0014742643284729898,0.0003968889744968226
69,0.00042054328086787545,0.008019263829994135,0.01044926106210926,0.0012162866487415158,0.0008979034346615205,0.0006732295534630994,0.00018823396328950063,7.76377879953886e-06,0.0003863393098364603,0.0014164002978213832,0.0020590970545440327,0.0003719890812796869
70,0.0005574444677541898,0.0077176927033609614,0.007328847570796526,0.0013943210374605228,0.0008289460635856253,0.0007155872472373095,1.6772549854347466e-05,0,0.0004176923694448587,0.0014157590139385926,0.0018632660724739083,0.0003764763423532713
71,0.0004158554026566384,0.006903220032415304,0.010937149185424046,0.0012096275749848783,0.001073216170343818,0.0007164831794852944,4.380660633766335e-05,3.273765125941868e-05,0.0005718721840743267,0.0016232636042135102,0.0016216067533821928,0.0003976926986979379
72,0.0004213755048062416,0.006717998118562575,0.008277798841597607,0.001163322724119681,0.0008533171545812884,0.0007862752727089086,0,0,0.0005186764985306995,0.001492511789344392,0.0011453849508273248,0.0003565963123123982
73,0.0006530611632721653,0.0073827799539063375,0.01062911184289135,0.0015420755440278004,0.0007215129649361748,0.0008272602663498951,0,0,0.0003956511083064396,0.0011707475855723714,0.0017354349089678514,0.00040293427226548905
74,0.0007954426415577669,0.007280960712635603,0.0052986605172115455,0.0013987452918244297,0.0008811928228143651,0.000865621000806774,3.446836035436718e-05,0.0025829889384166404,0.00043993823634964153,0.0016186834689051466,0.00150063985702651,0.0004182783507763646
75,0.0006647608680749625,0.007183601591877002,0.011573445414096712,0.0014391917178587532,0.0007406247375270579,0.0008295342162000452,0.0001678007011404963,0.0010633651855668552,0.0004296450202337726,0.0015331134881116436,0.0013063850926430729,0.0004283082573193696
76,0.0005895937772998473,0.008652621957379678,0.0058464487153283735,0.0017661299590192932,0.0007388640693803878,0.0008343757073550766,6.118747981288054e-05,0.0017275117452300035,0.0004534680390365379,0.0016279699930711992,0.0016156816005915484,0.0003751288776356887
77,0.001009264341495222,0.006166885914449506,0.010432563723431015,0.0012793780541869638,0.0008982764048061235,0.0010290651971661732,0.0003271954589105968,0,0.00042885682790595655,0.0017764008827043654,0.0015593869276840234,0.0004044071068251686
78,0.0007748934110192774,0.006685369302726326,0.007238461132158798,0.0014909134976960558,0.0009382850451332416,0.0006824605505066645,0.00025479051133147767,0,0.0004121154786995379,0.0021461374806396915,0.0018803580711565225,0.0004411578388499038
79,0.0007695166011241806,0.008389969425288177,0.01149555649234972,0.0019508356490405276,0.0009077669855663698,0.0010203792224360985,0.0003345117201774028,0,0.0004895128086315838,0.001646771126805409,0.0016107823855799367,0.0004521185052821931
80,0.0005307109099956304,0.007673133977978314,0.008872920465182687,0.0019949386110670888,0.0008925744770622492,0.0008104620851665414,6.12650849802776e-05,0,0.0004406784749774402,0.0019194933223237365,0.0021763723509918365,0.0004390425967932587
81,0.0006180577606516492,0.009185988617613666,0.01174584394816796,0.0018894972335623433,0.0008412835075036221,0.0011661852154897393,0.00015082938286165395,8.657061698613688e-07,0.0003980794623252083,0.0018937370593994272,0.002610285337271177,0.00039982662755868486
82,0.000598075979846849,0.007796824761929824,0.010228870456924395,0.0013816779954140656,0.0009154090416690936,0.0010164544191866298,0,0,0.0004658179984252681,0.001843419183160222,0.002259682672576123,0.00044213453154497986
83,0.0006099824199258077,0.007891301869578357,0.014066628673448937,0.001417146979847308,0.001107583275022739,0.0012708427834240866,8.966311298763685e-06,0,0.0004617847605423324,0.001947392904872552,0.0020442306069439623,0.0004491055701691948
84,0.0006833462938310411,0.008041330344968702,0.010061920602715367,0.001501236296369312,0.0009499646552753486,0.0009220590593258748,3.264063343522139e-05,1.4679818853189566e-05,0.000454007705856801,0.0018469316922744671,0.001844392399063855,0.00042037728989223407
85,0.0007401670664876292,0.008191888114149486,0.014915554703351815,0.0013053045088002233,0.0008804110347704699,0.001262090165128452,0.0007457124262373327,0,0.00048418645480726103,0.0021431979920187305,0.0019525881948125475,0.0004149237005809222
86,0.0005960880433265533,0.0063435472006353345,0.011329379975842817,0.0013814862432565591,0.0008681978728678326,0.0007799377306885921,0.0001946496334631684,0,0.00042485781718814577,0.001960226939266319,0.001868213506332679,0.0004081423585597715
87,0.0007514300458225128,0.007240723542054184,0.019114940251665297,0.0015389478936058145,0.0010198471094595863,0.0008582385777794285,0.00033122460442882586,0,0.0004686402896902485,0.0022210394935513436,0.0016334734383595196,0.0004026644640517344
88,0.0006558286840781629,0.00808428336332892,0.013799076923563565,0.0016339096639679089,0.00112283047755287,0.0008963832821558922,0.0003406185765134464,0,0.0004046083821413049,0.0022722095419734005,0.001709685543573869,0.0004788535767829671
89,0.0006430002345520112,0.007396170797858902,0.02132639318705176,0.0015593879939038997,0.000998320115776061,0.0012866861067819132,0.0002011047116332246,0,0.0004748163338404588,0.0024392307254098946,0.001894243472386072,0.0004439012361997031
90,0.0007210380285980092,0.008017958236450795,0.01403562205994324,0.0016924919627854251,0.0010762852404729562,0.0012387154810164435,0.00016825663866863275,0,0.0004549469873013009,0.0025584324616314312,0.0019632819699878846,0.00047597701296538055
91,0.0006428767716754105,0.007310654002090765,0.019866058548472613,0.0015006183067027183,0.0008750619372079476,0.0014354307129507084,6.3126599242322205e-06,0,0.00046815482265768734,0.0021257670438606696,0.0017849044058190582,0.0004508843733977604
92,0.0006263029134364236,0.005912526064524795,0.0114268778808461,0.001345109104542124,0.0009572970582212292,0.0015591043049467276,0,0,0.0004884333038500612,0.002372758144270987,0.0019445380171616664,0.0004319749190948469
93,0.0007507050101929437,0.00714734052362965,0.0219338213976395,0.0020585426588159185,0.0008614857470764456,0.0015515544117761235,0.00012879204050044617,0,0.0004177320784290512,0.0022139905295998938,0.0020719473162725557,0.00047006834361845425
94,0.0006863226190274107,0.006957245548177083,0.01676499141504232,0.0019674699190545654,0.0012256335348466052,0.0013213468232823374,8.946288240306033e-05,0,0.0004580730063143501,0.0021069167131206367,0.0018474379900172131,0.00041774098626774504
95,0.0007053351475860836,0.009040129213341666,0.02604015418395435,0.0018005701740315626,0.0010128436899601813,0.0012193657488523968,0.00010329916691026248,0,0.000497138603139425,0.002166406458021205,0.0021033677607547583,0.0005128989177309622
96,0.0007285762313633887,0.010145616444213756,0.016312101863387884,0.0017745981734972193,0.0010582177792421424,0.0010414967690871337,0.0013485972778624772,0,0.0004793777397681224,0.0018827785286059503,0.0019057507293577403,0.00047616431524951367
97,0.0008095609831511147,0.009328054896047287,0.02680454416146555,0.0015232661847598714,0.0010089585640483934,0.0010473295634826998,0.0011281284524522143,0,0.0003773761328678423,0.002039356502488469,0.0020036699539733014,0.0004924298124397189
98,0.0008171860010023872,0.007872239020798588,0.008602457497845356,0.0018436255900823883,0.0010104551035715554,0.001075924592886051,7.486027821683324e-05,4.3408203565744326e-07,0.0004166993028225174,0.0020904610415583683,0.0022338401482730184,0.0004534798623220611
99,0.0007787813068849883,0.00861756579864672,0.013314560608342232,0.0019021305678117125,0.0010257080580827523,0.0009563407152305698,0,0,0.0004921297908787473,0.002205314142026439,0.002155194303798323,0.0004870722288488164
100,0.0009179379239634352,0.009204771110514254,0.009347162432059335,0.001785472292220603,0.0011046065135535451,0.0011755736349641666,0,0,0.0004336312916595691,0.0022457063617275707,0.002317965696766762,0.0004565903002782891
101,0.0006791794848368226,0.008662545781254792,0.01266912914300547,0.0017495208676770008,0.0011741774485375736,0.000860639961415256,0,1.2081535108639705e-06,0.0005214368106624317,0.0028529490822578594,0.002121958234883178,0.0004945648993487426
102,0.0006023073087234456,0.007582453553224791,0.007434874104344798,0.0017996997563559925,0.0008342550085530015,0.0008822865536164566,0,2.6994649530820425e-05,0.0005695338716927515,0.0023225844299025193,0.0022585866473015075,0.000464865447156626
103,0.00078940018152025,0.007768892188706607,0.011308677511963952,0.0019322827943031415,0.0009939371245393255,0.0013457883932720246,2.4817196238776283e-05,0,0.0003944712668785739,0.0026675154923244313,0.0023637279945515647,0.0005212836457115084
104,0.0006816486770012967,0.007428704013685039,0.01132131121905427,0.0017444824305513113,0.0011004496062396191,0.001143277363973119,0.0002910673604390013,0,0.00047215339479013375,0.002980771627042906,0.002232822201871646,0.0004636856089695761
105,0.0007462759839580866,0.007180954756810987,0.018354108484077425,0.0016615101772820195,0.0011140195570204434,0.001093955094467291,0.0003224166152386479,0,0.000409888227765996,0.003756364350538206,0.002181362458161727,0.0004928362950017294
106,0.0007532989070135781,0.008409892646808215,0.010173247706197798,0.0016486280200557043,0.001093144011624995,0.0009852434226385889,0.0012222990743305671,0,0.0004414540335460515,0.004222850445085686,0.002361402336423958,0.0005144362977218753
107,0.0008373351887106159,0.008623019929042417,0.016151123901411643,0.001700827224426792,0.0013666498557715666,0.0011443465306952437,0.00012351627490023788,2.9500748000414617e-05,0.00044875339065501146,0.00521617224705551,0.0021641668053748813,0.0005509465169909943
108,0.0007643160623933326,0.007247094477714052,0.013804783462546766,0.0015985445973167704,0.001149940947226848,0.0010768866530140389,0,0,0.0004844498600323277,0.007362051368459107,0.00216065239857376,0.00046312090655646897
109,0.0009350274913458634,0.009869741311903404,0.01661313954152371,0.001800576364205751,0.000993786802251748,0.0011642538302535392,0,0,0.0005165961942216078,0.008087090943333281,0.001988987890875987,0.0005479751133905319
110,0.0007171712084572191,0.007870242423163481,0.006288839543913127,0.001352859334452305,0.001175391277308965,0.0009012167879215364,5.448860940971003e-05,0,0.0004929719396295695,0.010606552649627095,0.001791318146630753,0.0005577821949329865
111,0.0007194866741309326,0.009127814587004282,0.01025557194946501,0.0015647590725642484,0.0011093504985115875,0.0010296699520867232,0.00010140227353163245,1.467643828205341e-06,0.0004922397357252823,0.011371766275680366,0.0018471421439071056,0.0005370343241804399
112,0.0007903725890125651,0.008764322797235633,0.006251876998541255,0.0017293417984500336,0.0010662252946329117,0.0008703444675076044,0.0009605538563064062,0.00023555561920011992,0.000445383543773527,0.014953499791697487,0.001938190642942486,0.0005257851116766687
113,0.0010230284936889283,0.007807526775448221,0.010290620456817124,0.0018331330963354217,0.0008147652195589217,0.0010307386319254874,0.0006854526365087153,0,0.0004943974897443438,0.01604426609727935,0.002203568115626033,0.0005459257782138415
114,0.0008185650813893039,0.008101115780846158,0.005944514124602544,0.00189107973054023,0.001120408882816264,0.001234112050691952,4.084514087783949e-06,0,0.0004094543323704798,0.01504673905595458,0.002726672011097738,0.0005195625380787159
115,0.0008686512066895758,0.008671980227922581,0.008325894272857112,0.0017153179705485125,0.0011070829026493811,0.0011246289486301802,0,0,0.0004889834589713852,0.010366236256587676,0.0021711389824867226,0.0004866144756162708
116,0.0007500225362838094,0.007367797459377662,0.008650226169860477,0.0017172826203270897,0.0012681970878684998,0.0011157438123013384,0,5.740037910500712e-06,0.0004808295794993517,0.007477361857351449,0.0017970988794627904,0.0004887077180423408
117,0.0007678880012463197,0.006166197432119386,0.012489819067268398,0.0017537523972572585,0.001522111574413844,0.0013302012934045273,0,9.399581438842956e-05,0.0004626702532656661,0.006753840922005056,0.001598862742585403,0.0005497672748272118
118,0.0010257877355343225,0.007074787745148422,0.008873462215297188,0.001697180450586219,0.0013139797691600016,0.0012651072639051737,2.630019275050971e-06,0,0.0004930345544107695,0.007633058125714645,0.0019009432529323595,0.0005214809934159347
119,0.0009383302232312086,0.007986985318711958,0.011455050106443453,0.0017945930783753285,0.0013756112836563262,0.0012261977320287604,0,0,0.0005608233151346924,0.010277177325764516,0.00182562300829482,0.0005803029158245366
120,0.0010462098026177303,0.008122744538185716,0.009909386693000974,0.001482793560254239,0.00137918275199557,0.0012421383998593054,3.653043371607795e-05,0,0.0005265789446903426,0.00944357389165816,0.0018252035471656809,0.0005645394492830747
121,0.0009341468768027316,0.008088694992349358,0.011174470245500645,0.0014473447257718033,0.001588978833077498,0.001433854995151965,7.046217692594368e-05,0.0009838175349744104,0.0004429871488815746,0.008976128806731098,0.002123027159021668,0.0005222385386559836
