step,deepseek1.5b_sync_8gpu_lr3e-6-actor/lr_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/lr_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/lr_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_lr1e-6-actor/lr_step,deepseek1.5b_fa_partial_lr1e-5-actor/lr_step,deepseek1.5b_sync_lr1e-5-actor/lr_step,deepseek1.5b_sync_lr1e-6-actor/lr_step
150,3e-06,1e-05,0,5.3247635538170536e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
151,3e-06,1e-05,1e-05,5.270694542927089e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
152,3e-06,1e-05,0,5.2165937648323115e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
153,3e-06,1e-05,1e-05,5.1624675684989035e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
154,3e-06,1e-05,0,5.108322305875988e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
155,3e-06,1e-05,1e-05,5.0541643311501986e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
156,3e-06,1e-05,0,4.9999999999999996e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
157,3e-06,1e-05,1e-05,4.9458356688498006e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
158,3e-06,1e-05,0,4.891677694124013e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
159,3e-06,1e-05,1e-05,4.837532431501098e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
160,3e-06,1e-05,0,4.783406235167689e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
161,3e-06,1e-05,1e-05,4.729305457072913e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
162,3e-06,1e-05,0,4.6752364461829456e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
163,3e-06,1e-05,1e-05,4.621205547735949e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
164,3e-06,1e-05,0,4.567219102497413e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
165,3e-06,1e-05,1e-05,4.513283446016052e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
166,3e-06,1e-05,0,4.459404907880293e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
167,3e-06,1e-05,1e-05,4.405589810975468e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
168,3e-06,1e-05,0,4.351844470741808e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
169,3e-06,1e-05,1e-05,4.298175194433279e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
170,3e-06,1e-05,0,4.2445882803774165e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
171,3e-06,1e-05,1e-05,4.191090017236177e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
172,3e-06,1e-05,0,4.137686683267939e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
173,3e-06,1e-05,1e-05,4.0843845455907195e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
174,3e-06,1e-05,0,4.0311898594467084e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
175,3e-06,1e-05,1e-05,3.978108867468176e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
176,3e-06,1e-05,0,3.9251477989448795e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
177,3e-06,1e-05,1e-05,3.87231286909303e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
178,3e-06,1e-05,0,3.8196102783259e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
179,3e-06,1e-05,1e-05,3.7670462115261905e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
180,3e-06,1e-05,0,3.7146268373201948e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
181,3e-06,1e-05,1e-05,3.662358307353897e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
182,3e-06,1e-05,0,3.6102467555710294e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
183,3e-06,1e-05,1e-05,3.5582982974932463e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
184,3e-06,1e-05,0,3.5065190295024342e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
185,3e-06,1e-05,1e-05,3.4549150281252635e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
186,3e-06,1e-05,0,3.4034923493201007e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
187,3e-06,1e-05,1e-05,3.352257027766298e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
188,3e-06,1e-05,0,3.3012150761560085e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
189,3e-06,1e-05,1e-05,3.250372484488558e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
190,3e-06,1e-05,0,3.199735219367507e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
191,3e-06,1e-05,1e-05,3.149309223300428e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
192,3e-06,1e-05,0,3.09910041400154e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
193,3e-06,1e-05,1e-05,3.049114683697227e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
194,3e-06,1e-05,0,2.9993578984345673e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
195,3e-06,1e-05,1e-05,2.9498358973929197e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
196,3e-06,1e-05,0,2.9005544921986774e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
197,3e-06,1e-05,1e-05,2.8515194662432423e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
198,3e-06,1e-05,0,2.8027365740043184e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
199,3e-06,1e-05,1e-05,2.7542115403706067e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
200,3e-06,1e-05,0,2.705950059969948e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
201,3e-06,1e-05,1e-05,2.65795779650105e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
202,3e-06,1e-05,0,2.610240382068818e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
203,3e-06,1e-05,1e-05,2.562803416523405e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
204,3e-06,1e-05,0,2.51565246680304e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
205,3e-06,1e-05,1e-05,2.46879306628073e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
206,3e-06,1e-05,0,2.422230714114891e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
207,3e-06,1e-05,1e-05,2.375970874603998e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
208,3e-06,1e-05,0,2.33001897654532e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
209,3e-06,1e-05,1e-05,2.2843804125978356e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
210,3e-06,1e-05,0,2.2390605386493758e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
211,3e-06,1e-05,1e-05,2.1940646731880887e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
212,3e-06,1e-05,0,2.149398096678283e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
213,3e-06,1e-05,1e-05,2.1050660509407583e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
214,3e-06,1e-05,0,2.061073738537635e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
215,3e-06,1e-05,1e-05,2.0174263221618302e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
216,3e-06,1e-05,0,1.9741289240311757e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
217,3e-06,1e-05,1e-05,1.9311866252873126e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
218,3e-06,1e-05,0,1.8886044653993966e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
219,3e-06,1e-05,1e-05,1.846387441572692e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
220,3e-06,1e-05,0,1.8045405081621215e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
221,3e-06,1e-05,1e-05,1.7630685760908621e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
222,3e-06,1e-05,0,1.7219765122740202e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
223,3e-06,1e-05,1e-05,1.6812691390474786e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
224,3e-06,1e-05,0,1.6409512336019699e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
225,3e-06,1e-05,1e-05,1.6010275274224609e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
226,3e-06,1e-05,0,1.561502705732883e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
227,3e-06,1e-05,1e-05,1.5223814069463077e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
228,3e-06,1e-05,0,1.4836682221206e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
229,3e-06,1e-05,1e-05,1.4453676944196475e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
230,3e-06,1e-05,0,1.4074843185801885e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
231,3e-06,1e-05,1e-05,1.370022540384347e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
232,3e-06,1e-05,0,1.332986756137889e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
233,3e-06,1e-05,1e-05,1.296381312154305e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
234,3e-06,1e-05,0,1.260210504244747e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
235,3e-06,1e-05,1e-05,1.224478577213897e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
236,3e-06,1e-05,0,1.1891897243618184e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
237,3e-06,1e-05,1e-05,1.1543480869918553e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
238,3e-06,1e-05,0,1.1199577539246348e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
239,3e-06,1e-05,1e-05,1.0860227610182222e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
240,3e-06,1e-05,0,1.052547090694492e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
241,3e-06,1e-05,1e-05,1.0195346714717813e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
242,3e-06,1e-05,0,9.869893775038558e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
243,3e-06,1e-05,1e-05,9.549150281252633e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
244,3e-06,1e-05,0,9.233153874031103e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
245,3e-06,1e-05,1e-05,8.921941636953434e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
246,3e-06,1e-05,0,8.615550092155479e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
247,3e-06,1e-05,1e-05,8.314015196043501e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
248,3e-06,1e-05,0,8.017372335074485e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
249,3e-06,1e-05,1e-05,7.725656321603414e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
250,3e-06,1e-05,0,7.43890138979788e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
251,3e-06,1e-05,1e-05,7.157141191620548e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
252,3e-06,1e-05,0,6.880408792879904e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
253,3e-06,1e-05,1e-05,6.60873666934993e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
254,3e-06,1e-05,0,6.342156702958851e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
255,3e-06,1e-05,1e-05,6.080700178047688e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
256,3e-06,1e-05,0,5.824397777698859e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
257,3e-06,1e-05,1e-05,5.573279580135438e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
258,3e-06,1e-05,0,5.327375055191312e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
259,3e-06,1e-05,1e-05,5.086713060852788e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
260,3e-06,1e-05,0,4.851321839871907e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
261,3e-06,1e-05,1e-05,4.6212290164521554e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
262,3e-06,1e-05,0,4.3964615930065126e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
263,3e-06,1e-05,1e-05,4.1770459469887003e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
264,3e-06,1e-05,0,3.963007827797627e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
265,3e-06,1e-05,1e-05,3.754372353755559e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
266,3e-06,1e-05,0,3.5511640091604293e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
267,3e-06,1e-05,1e-05,3.35340664141246e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
268,3e-06,1e-05,0,3.161123458215554e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
269,3e-06,1e-05,1e-05,2.974337024853802e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
270,3e-06,1e-05,0,2.7930692615433353e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
271,3e-06,1e-05,1e-05,2.617341440859883e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
272,3e-06,1e-05,0,2.447174185242324e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
273,3e-06,1e-05,1e-05,2.2825874645725945e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
274,3e-06,1e-05,0,2.1236005938321092e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
275,3e-06,1e-05,1e-05,1.9702322308350677e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
276,3e-06,1e-05,0,1.8225003740388544e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
277,3e-06,1e-05,1e-05,1.6804223604318825e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
278,3e-06,1e-05,0,1.544014863498983e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
279,3e-06,1e-05,1e-05,1.413293891264722e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
280,3e-06,1e-05,0,1.2882747844147893e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
281,3e-06,1e-05,1e-05,1.1689722144956673e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
282,3e-06,1e-05,0,1.0554001821929061e-07,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
283,3e-06,1e-05,1e-05,9.47572015688042e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
284,3e-06,1e-05,0,8.455003690945039e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
285,3e-06,1e-05,1e-05,7.491972209725808e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
286,3e-06,1e-05,0,6.58673872923693e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
287,3e-06,1e-05,1e-05,5.739409482640956e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
288,3e-06,1e-05,0,4.9500839077817326e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
289,3e-06,1e-05,1e-05,4.218854635515301e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
290,3e-06,1e-05,0,3.5458074788387585e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
291,3e-06,1e-05,1e-05,2.9310214228202016e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
292,3e-06,1e-05,0,2.3745686153290307e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
293,3e-06,1e-05,1e-05,1.8765143585693924e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
294,3e-06,1e-05,0,1.4369171014165798e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
295,3e-06,1e-05,1e-05,1.0558284325578038e-08,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
296,3e-06,1e-05,0,7.332930744380907e-09,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
297,3e-06,1e-05,1e-05,4.6934887801164414e-09,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
298,3e-06,1e-05,0,2.6402681830023374e-09,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
299,3e-06,1e-05,1e-05,1.173509907579362e-09,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
300,3e-06,1e-05,0,2.9338608443452154e-10,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
