step,deepseek1.5b_sync_8gpu_lr3e-6-actor/lr_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/lr_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/lr_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_lr1e-6-actor/lr_step,deepseek1.5b_fa_partial_lr1e-5-actor/lr_step,deepseek1.5b_sync_lr1e-5-actor/lr_step,deepseek1.5b_sync_lr1e-6-actor/lr_step
41,3e-06,1e-05,1e-05,9.738265855914014e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,,1e-06,1e-05,1e-05,1e-06
42,3e-06,1e-05,0,9.720693073845668e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
43,3e-06,1e-05,1e-05,,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
44,3e-06,1e-05,0,9.683887654178444e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
45,3e-06,1e-05,1e-05,9.664659335858754e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
46,3e-06,1e-05,0,9.644883599083959e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
47,3e-06,1e-05,1e-05,,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,,1e-06,1e-05,1e-05,1e-06
48,3e-06,1e-05,0,9.60369921722024e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
49,3e-06,1e-05,1e-05,9.582295405301133e-06,4.9999999999999996e-06,,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
50,3e-06,1e-05,0,9.560353840699349e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
