step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/ratio_p99_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/ratio_p99_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/ratio_p99_step,deepseek1.5b_fa_partial_lr1e-6-actor/ratio_p99_step,deepseek1.5b_fa_partial_lr1e-5-actor/ratio_p99_step
2,1.1086851091286936,1.1084455779154694,1.1085735507851682,1.1090756918714937,1.109138789756855
3,1.108941663723517,,1.1091453445078148,1.1088704569049326,1.1089286080564715
4,1.1090211533607215,1.1091626475968437,1.131279763668222,1.1094119172368118,1.1081670943986286
5,,,,1.109046807664412,1.1071198626329974
6,1.110989911728478,,,1.108189008036604,1.1099453845008054
7,,,1.1329342152945194,1.1093845525846124,1.113969157005552
8,1.1133601587507156,,,1.1095601329750824,1.1153755828652645
9,1.114025087164784,1.1096830808560223,1.118385871383879,1.1087573545997018,1.1191625594304693
10,1.1157807154391988,1.1105661917008736,,1.1092513673138582,1.1151595098189908
11,1.1232843574891973,,1.153343286384587,1.1077635829725236,1.1323290458086288
12,1.1295513171549758,1.1117066341078181,,1.109470011569188,1.134537648708625
13,1.1421829779215362,,,1.1070399669155415,1.143720194297856
14,,,1.1511692866683003,1.1078293508078323,1.1393809069074043
15,1.200461988037354,1.1117955846310246,1.2168534205884352,1.1088740891768536,1.1517721547538855
16,1.148863344651429,1.119097271296757,1.152909706469233,1.1086050111518486,1.137834421597248
17,1.1794604804987707,1.1204576608724892,1.247422588782178,1.1214439142840331,1.1566875686586806
18,1.2328303001956544,,,1.1084359008542917,1.145896744404343
19,1.269352215497444,1.1143625050347734,1.2530809415149546,1.1081217024761896,1.1521654271076105
20,1.1877654112767484,,,1.1084324950531677,1.2030748328814904
21,,1.1168886620142926,1.2585446328016994,1.109288847454326,1.1769575087353588
22,1.2880721175991006,1.1111888658603626,1.1941116541624068,1.1092579429513878,1.2802076884818148
23,1.3871810024346762,,1.2598110066061574,1.1088602220310884,1.2202790549645819
24,1.1901763463282815,1.116046044612076,1.213194993220402,1.1077076683334692,1.4388494199694513
25,1.2732376168365316,,1.2506052629815207,1.1082566085304957,1.2425310766475708
26,1.2619656968193176,,,1.1053656822318834,1.185343964416495
27,,,,1.1059103355579534,1.2019314561107437
28,1.1912537026851342,1.1354704232106352,1.4255414968506703,1.1078576216267215,1.155448550034789
29,,1.1994029863556317,1.7139687081093364,1.1098898758924025,1.1429623396268913
30,1.2125248316412744,1.1558356351322598,1.411840484663844,1.109377081386554,1.1326782035398053
31,1.3436263307001128,1.2524309375764051,1.480212939735555,1.1054873941176466,1.1281524170089412
32,1.1809974913485348,1.1430231139610405,,1.1067113443241832,1.122427290784461
33,1.275359829910463,1.1497720512932026,,1.1085971205072571,1.1180283227541412
34,1.1877397735764208,1.1266720909541008,1.7815067317285296,1.1072910764875512,1.1202353373795997
35,1.2816958732775643,1.117508650842038,,1.1081809447589497,1.1203567711755826
36,1.188757935600976,1.118233244110059,,1.1069516494870186,1.1212703128926904
37,1.2855219046588306,1.119693066352587,1.3910592907418808,1.106475065907127,1.122266607864321
38,1.1857540416593193,1.1240963261330854,1.226857669254144,1.1210006815856512,1.130543354371789
39,1.2657532468438148,1.1113283368370563,,1.107566873702826,1.1240778663830313
40,1.2152278680926665,1.1146783975605994,1.2988202998171685,1.106644736772234,1.1223204105460045
41,1.3014562671222345,1.1146149432134096,1.2879322567511169,1.1068364044678385,1.1211301543391667
42,1.1789466867070175,1.1145898002357746,1.29451586695181,1.1067013726772172,1.1264206648350057
43,1.21776155636756,1.114305233589126,1.2218914730474353,1.1057075176963476,1.1203635743072815
44,1.1879375867545603,1.1183837638740546,1.2574135190496842,1.1054423797135309,1.1254820437098925
45,1.2804546393454077,1.115998970167268,1.25373411157745,1.107634002669144,1.125792109441978
46,1.1650148486129908,1.113101046398664,1.2311541957765066,1.1074642008904254,1.1258470207140805
