step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/ppo_kl_p99_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/ppo_kl_p99_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/ppo_kl_p99_step,deepseek1.5b_fa_partial_lr1e-6-actor/ppo_kl_p99_step,deepseek1.5b_fa_partial_lr1e-5-actor/ppo_kl_p99_step
2,0.10644363990782962,0.10640489855712212,0.10687345238573746,0.10598245542323977,0.10607951351985376
3,0.10645914045716082,,0.1063388277980364,0.10568034937605264,0.10623121769653528
4,0.10702627726720386,0.10681234861333525,0.10359273691282024,0.10624045959144768,0.10771420755226052
5,,,,0.10637883972658804,0.1128519101214432
6,0.11615136331824176,,,0.10637177905376229,0.11864458293017464
7,,,0.1086449407280902,0.10705609689466657,0.11724666483221476
8,0.11643915744865097,,,0.10634702471977742,0.11755900663973869
9,0.120506258071314,0.11233773862660112,0.10868375272179644,0.10698569282562798,0.11623629491831304
10,0.1258230443363192,0.11204973573520503,,0.10786010686022283,0.14462416782985238
11,0.12190074592070016,,0.11476114151930368,0.10816140052684375,0.11506027789541372
12,0.15458546219454314,0.1155519782070686,,0.11040364450985383,0.17043353508329362
13,0.10867569589663728,,,0.10804762140668608,0.1579127757877543
14,,,0.14608732165458302,0.11004860659752376,0.1680910052493757
15,0.1570234502866668,0.1204653520963392,0.12911430149985365,0.11019121835543032,0.15426136256931106
16,0.23174216652021523,0.11528038438776976,0.19141779751813023,0.10868738808529677,0.17282155992624124
17,0.2374531678958899,0.12963412803946994,0.1449183835501778,0.12151790789707942,0.16295918697759398
18,0.16029941759771726,,,0.1090375997083848,0.15286178985011897
19,0.2022971645935387,0.1190295217017486,0.1628081923214874,0.10816719259242884,0.20362163443647271
20,0.3166068732257087,,,0.1080526780123236,0.17535266558794926
21,,0.11733357826142612,0.18150623159731044,0.10799846065849084,0.28333673160523176
22,0.197374757805324,0.1183967741244531,0.19231337468372656,0.10755213280691316,0.1888771096702732
23,0.2581631739722277,,0.19632459265911684,0.1070687049566129,0.41080888618016614
24,0.2916302489217823,0.12374239565175066,0.1962041103566304,0.1082704296470716,0.2937099827204459
25,0.4794201840234846,,0.1962289311265248,0.11151805178768688,0.3180708279728848
26,0.2003817188535602,,,0.11263421944070916,0.2355250395764742
27,,,,0.1133149377018812,0.14969020847388076
28,0.25344523290486776,0.20822890172513503,0.3946667739993802,0.11063011769826214,0.2076961599311946
29,,0.14250451542344364,0.6400524150077465,0.10773936701859378,0.16004513705681478
30,0.19084772785964352,0.2583158720853842,0.35183348003774884,0.10893292233666904,0.12710571567053897
31,0.29596109747709265,0.16033352125383968,0.4286286403782895,0.1109253492527124,0.13810517447874757
32,0.20958826466283592,0.24425825639358187,,0.11062588247563146,0.12995438312978616
33,0.3389365757508885,0.12361613174935462,,0.10848336945571076,0.12083367792253669
34,0.1984684204129516,0.11595459867108664,0.624864757074953,0.10884663047424208,0.12645655561496794
35,0.3042632306768742,0.16646551048369007,,0.11010097742265632,0.1260363794691586
36,0.182310964873371,0.11656647325560364,,0.1105424036892752,0.12456739609483304
37,0.2857529865742396,0.1081780884823642,0.328723840485327,0.11039839196726949,0.12637129967935898
38,0.23836020886368056,0.13946511147502413,0.22106023465748875,0.12777832086133883,0.14398632457285715
39,0.3577298703215396,0.11801120803439397,,0.10800923285724807,0.12790142137126015
40,0.17509212978942662,0.11472692601275684,0.20891921943984929,0.1082516537217254,0.12821588644619528
41,0.24176338735110703,0.11369365233830904,0.20542099628803115,0.11001920580958437,0.12812918840189463
42,0.25726317164580864,0.1221840740194216,0.2542405180917639,0.10941021544377968,0.1282647132043144
43,0.3422636896589651,0.11519642804219364,0.1702602095901966,0.10954918257979208,0.12530020171991335
44,0.14842222187934176,0.11544687305808922,0.2174544481521783,0.11346875449146922,0.13379751128049044
45,0.20322782113216817,0.11701534672950706,0.2293135612970218,0.11086506890256788,0.1313488152636974
46,0.24355716554415752,0.1169276129323034,0.2108032737091622,0.10799872412903684,0.12584183369809074
