step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/ratio_mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/ratio_mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/ratio_mean_step,deepseek1.5b_fa_partial_lr1e-6-actor/ratio_mean_step,deepseek1.5b_fa_partial_lr1e-5-actor/ratio_mean_step
2,1.0000105759558768,1.000002197020684,0.9999957395608956,0.999997733801476,1.0000194601262482
3,0.9999900991370628,,0.999982652153431,1.000007750638933,1.0000220225590848
4,1.0000105966964077,1.0000059423165235,0.9999968453458824,1.0000186683596737,1.0000012100984654
5,,,,0.9999784439802172,1.0000161126794376
6,1.0000111893787011,,,1.0000008040071502,1.000025815875442
7,,,1.0000324531301277,0.9999933053425608,1.0000055954514253
8,0.9999707926880688,,,1.0000050927715594,0.9999765525033378
9,1.0000332111182313,1.0000167856705455,0.9999917823738522,1.0000061966309493,1.0000126564594245
10,1.0000361437135452,0.9999808002842796,,0.9999974843187444,1.0000164475917868
11,0.9999918745882757,,0.9999692848773192,1.0000142336405555,0.9999691614096886
12,1.000022995271804,1.000002552099802,,1.0000168385568602,1.000008539841775
13,0.9999907968022456,,,1.0000096182325964,1.000057016978949
14,,,1.0000059483779802,1.000024855795444,1.0000151223128948
15,1.0000028164410275,1.0000340766693443,0.9999873523961524,1.0000173705915842,1.0000040594148023
16,0.9999984564715402,1.000002633394832,0.9999930600292588,0.9999988778087876,1.0000255598541214
17,0.9999676815285864,0.9999831536939988,1.0000285801392246,0.9999901921902268,1.000007837920478
18,1.000057959340515,,,0.9999923099342872,1.0000149426050484
19,0.9999776100739836,1.0000344633015914,0.9999665752651968,1.0000066829128906,1.0000208743880357
20,0.9999398467567376,,,0.999982273294418,0.9999806235854825
21,,1.000012072384902,1.0000166364717686,0.999994763472763,1.0000306840986013
22,0.9999193000958656,0.999999065527496,0.9999820032157004,1.000002978377872,1.000011023986441
23,0.9999569459356428,,0.999969999591953,1.000006733542564,1.0000418447113284
24,1.0000211460081707,0.999974486758796,0.9999412143460356,1.0000222896499371,0.9998172533053618
25,0.999992597583972,,1.0000194348631395,1.0000266492692993,0.99997593623166
26,0.9999993905090752,,,0.999933082719023,1.000033929951783
27,,,,0.9999984961890672,1.0000045486476832
28,0.9999814230266348,0.999991923650233,1.000015131212891,1.00001993632151,0.9999956766280084
29,,0.9999676613533256,1.0003478630431788,1.0000234482432502,1.000024289371712
30,0.9999264683335636,0.9999966339518628,1.0000689861364662,0.999989234156661,1.0000150307987792
31,1.00001390748572,0.9999886890460838,0.999997000434538,0.999992892684208,1.0000488249702495
32,1.0000348733103073,1.0000457330157395,,0.9999953505536268,0.9999698780477048
33,1.0000501027410258,0.9999831137798166,,0.9999790386257178,1.0000173795180252
34,0.9999759624102956,1.000043020351912,0.9998222462369412,0.9999987293655672,1.0000359984662603
35,1.0000062593314638,1.0000690374466958,,1.0000148743602402,1.0000217837096457
36,1.0000583674758672,0.9999959692721988,,1.0000074123342833,0.9999593320821094
37,1.000053581800218,0.9999894354153764,1.0002488375330965,1.0000045326453415,1.000002548546027
38,0.9999412784603808,0.999935993526821,0.999927288107574,0.9999315127711365,0.9999799904027588
39,0.9999278871885812,1.0000087448550523,,1.0000018966430644,0.9999823614615452
40,1.000085041298204,1.0000212898092538,1.0000674962835467,1.0000205081294884,1.0000426234672497
41,1.0000464357320074,1.000007406357796,1.0000382546577362,1.0000202016554018,0.9999879635172172
42,1.0000398073151904,0.9999766762020964,1.000052888236112,1.0000002417591929,0.999987184469189
43,0.9999583587851576,1.0000203942585273,0.9998699803836644,1.000013685754947,0.9999990791374154
44,0.9999493110392774,0.9999855909964224,0.9997902516275644,1.0000002277627975,0.9999719193835672
45,1.0000465535159622,1.0000129513708609,0.9995768530516044,0.99999577875805,0.9999683930504102
46,1.0000210816677644,0.9999924582357588,0.999165255638982,0.9999946466449536,1.0000169880669838
47,0.9999922515306484,0.9999628305894794,0.998966738800792,1.000007429172554,1.0000041533737691
48,1.000015665377889,1.0000255026005127,0.9984665353070288,0.9999630952412768,0.9999883871398164
49,0.999964935753446,1.0000213887542486,0.9979292090730112,1.0000018357511675,1.0000050661798854
50,1.000028615057406,0.9999981593279228,0.9974770682288916,0.9999870908804812,0.9999821456812554
51,0.9999474972406384,0.9999555563616884,0.99713572545671,1.0000192649089374,0.999978451173848
52,0.9999448728316274,0.9999081190818778,0.996215699147433,0.9999284978355572,0.9999409526682052
53,1.000031893886626,0.9999624767628584,0.9967080325420414,0.9999752675958388,0.9999910114022592
54,1.0000051332047926,1.000019429290628,0.9954523437257324,0.9999894691311352,1.0000231627436975
55,0.999972520215104,1.0000386562963528,0.9960842929780483,1.0000246214232855,1.0000370722894485
56,1.0000019346187878,1.0000004808967695,0.9959651747097572,0.999988984937469,1.0000255145132542
57,1.000060830468676,1.0000129222869871,0.9957725362231334,1.0000198101358757,0.9999609215630952
58,0.9999412260604678,1.0000064021912525,0.995255435547895,0.9999879640186746,0.9999825712293384
59,0.999993744350615,0.9999823304661712,0.995280400911967,1.0000163026074356,0.9999631497149284
60,1.0000331418813913,1.000035821603468,0.9953270897494404,1.0000087061388927,1.000036914423108
61,1.0000312774352094,1.0000011307493477,0.9956202022014902,0.9999997298148544,1.0000344175511064
62,0.9999991012798326,0.9999920418830934,0.9958698159943408,1.0000141445985613,1.0000032973509188
63,0.99996799945675,1.0005513054256638,0.9959097768968116,0.9999056891120712,0.9998798221756112
64,0.9999584074312332,0.9999918150489996,0.9960719683872804,0.9999966067120885,0.9999945020178956
65,0.9999448822574182,0.9999706828450928,0.9962045405114835,0.9999904675730344,0.9999898138145606
66,1.000089079284897,1.000026250162568,0.9961428482804382,0.9999827172607184,1.0000099687216184
67,0.9999383876244426,1.0000164926455402,0.9960313015503056,0.9999900148018016,0.9999993960373104
68,0.9999591349907544,0.999978456070429,0.995934350002143,1.0000080161473968,0.999930761444072
69,1.0000508535299966,1.0000103536539977,0.9958768460278709,1.00000511583473,1.0000054709737498
70,1.0000600055719795,0.9999975152313708,0.9958823103171128,0.9999815761272248,0.9999973745457827
71,1.0000301548974082,1.000022430354968,0.9960133029768864,0.9999975160149664,1.0000443793212377
72,0.999869262136406,1.0000138926718916,0.996488448853294,0.9999852614003422,1.0000419283944826
73,0.9998266869144852,0.999993403370564,0.9967045389736692,1.000012395383796,1.0000548772141338
74,1.000030244253092,1.0000141913394982,0.996700997898976,0.999995034052567,1.0000082595894733
75,0.999949707087898,0.9999997022618208,0.996614944204396,0.999985772762506,1.0000030003874922
76,0.9999342521895532,0.9999948200774652,0.9966209717627084,0.9999734219389432,1.000005578785971
77,0.9999070446938276,0.999991609732119,0.9963481052903644,1.000000280552795,1.000052943980942
78,1.0000319153405528,0.9999955952482878,0.9962052325762454,0.9999951430272344,1.0000089379385688
79,0.9999094887447731,0.9999809037851556,0.9960259613686038,0.99999504376735,0.999956976622343
80,0.999991810321808,1.0000015845847052,0.9964495818906774,0.9999979152861568,0.9999974070427315
81,0.999929433253098,0.9999774403212076,0.9966839673618476,1.0000250404557358,1.0000075766902703
82,1.0000665189560365,0.9999556557316645,0.996691603231288,1.0000195991843472,0.9999988285394816
83,0.9999660339319344,0.9998551897862286,0.9963834624892722,0.9999737695886106,1.0045709591639231
84,0.999870372729169,0.9999886455043157,0.996465846955303,1.0000091769151451,1.0000245402901409
85,0.9999932529110656,1.0000469723756558,0.9967888723127544,0.9999635820449504,0.9999984545776476
86,0.999898873948813,1.0000035297125578,0.996440777934672,1.0000133994385905,1.0000239668328028
87,1.0001374348584149,1.0000110235426076,0.9960214213157692,0.9999882640199852,0.9999508099306536
88,0.9999568304907877,0.9999813889265122,0.9960835308970316,1.000037933954348,0.999976356892536
89,0.9996385557844844,0.9999980380615364,0.9964190670067355,1.0000265528592798,1.000019785637657
90,1.0002793065630473,0.9999925242589106,0.9967512986105348,1.0000099775127391,0.999994145569702
91,1.000123371846146,1.0000108366465974,0.9967316399845813,0.9999970696866513,0.9999768756435086
