step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/entropy_loss_step
2,0.6642914360127179
3,0.6588183865242172
4,0.6720240972354077
7,0.7524338356161024
9,0.7715037724992726
11,0.8530892072012648
14,0.8056508979352657
15,0.8992283839907032
16,0.9183028257684782
17,1.0117023083148524
19,0.9847228282596916
21,1.3434551927493883
22,1.359044199460186
23,1.277395308658015
24,1.887422880914528
25,1.780464460956864
28,2.516105158254504
29,2.5734913403866813
30,3.6289301408687606
31,3.350031675770879
34,3.1614566964562982
37,3.6399652373511344
38,3.928925628075376
40,3.355863039381802
41,4.00107591971755
42,3.8994325902312994
43,4.134562909603119
44,4.555293049663305
45,5.406832965090871
46,6.016898133093491
47,6.332852696068585
48,6.866032563149929
49,7.778380466625094
50,8.382066354388371
51,8.108640968799591
52,8.229420190677047
53,8.604585345834494
54,9.040641451720148
55,9.908841013908386
56,10.597719132900238
57,11.196613773703575
58,11.58068075031042
59,11.737960804253817
60,11.764276012778282
61,11.78212957084179
62,11.79510984569788
63,11.807813234627249
64,11.818881910294294
65,11.826582726091146
66,11.833196438848972
67,11.836275193840263
68,11.837440334260464
69,11.838813297450542
70,11.841956976801155
71,11.847249299287796
72,11.852723982185124
73,11.857490412890913
74,11.863232467323542
75,11.867462575435638
76,11.870711725205185
77,11.870283784344792
78,11.869197435677052
79,11.867184173315763
80,11.871574744582176
81,11.87420816719532
82,11.878628991544248
83,11.880602102726698
84,11.883756842464209
85,11.885873273015022
86,11.884546715766191
87,11.881319964304566
88,11.881526086479424
89,11.884623728692532
90,11.887000180780888
91,11.88901849091053
92,11.891864437609913
93,11.894864305853844
94,11.896211927756667
95,11.893122101202607
96,11.88800181634724
97,11.891984421759844
98,11.888618297874928
99,11.89292079769075
100,11.898907404392958
101,11.899938602000477
102,11.90067076869309
103,11.90139606781304
104,11.90239149518311
105,11.898647144436836
106,11.897182524204254
107,11.901030095294118
108,11.903186429291964
109,11.904163252562284
110,11.905956333503129
111,11.906339269131422
112,11.90507006458938
113,11.90225967951119
114,11.905277773737907
115,11.907030425965786
116,11.907725701108577
117,11.908827040344477
118,11.909487875178456
119,11.910048477351664
120,11.910311710089443
121,11.908965433947742
122,11.903881170786915
123,11.91127081401646
124,11.9113789498806
125,11.911662395112216
126,11.911228175275028
127,11.9022137215361
128,11.902218848466871
129,11.911921801045535
130,11.911737485788764
131,11.911430637352169
132,11.902593082748352
133,11.878857405856252
134,11.893976151943209
135,11.902844034135342
136,11.904243286699057
137,11.907440271228552
138,11.90922318585217
139,11.91135442070663
140,11.912290064617991
141,11.912772891111672
142,11.909509799443184
143,11.896504724398255
144,11.913892209529877
145,11.913765273988249
146,11.913785100914538
147,11.829172323457897
148,11.912126630544662
149,11.912316936068237
150,11.909746590070426
151,11.909215818159282
152,11.910990145988762
153,11.912466579116881
154,11.912379355169833
155,11.911852155812085
156,11.9128388306126
157,11.912077852524815
158,11.911776305176318
159,11.911203363910316
160,11.910631910897791
161,11.909711030311882
162,11.9087940948084
163,11.90797326527536
164,11.906402215361595
165,11.903569931164384
166,11.90235472470522
167,11.903059221804142
168,11.905690405517817
169,11.907746698707342
170,11.909649103879929
171,11.910936146974564
172,11.911923445761204
173,11.912476025521755
174,11.91299394145608
175,11.91343566402793
176,11.913511656224728
177,11.913657203316689
178,11.913410030305386
179,11.913019575178623
180,11.91240820288658
181,11.912111887708306
182,11.9126816727221
183,11.913568209856749
184,11.913982409983872
185,11.914705090224745
186,11.914925238117576
187,11.91511975042522
188,11.915107324719427
189,11.915322203189136
190,11.915106749162078
191,11.914822740480304
192,11.915129216387868
193,11.915305603295565
194,11.915546288713813
195,11.915585735812783
196,11.915636530146005
197,11.916059106588364
198,11.916458366438746
199,11.916734090074897
200,11.91655190102756
201,11.916469043120742
202,11.916080847382544
203,11.916358606889844
204,11.916817978024485
205,11.917182721197603
206,11.917270429432392
207,11.91751272045076
208,11.917675537988544
209,11.917710676789284
210,11.917467629536986
211,11.917029110714791
212,11.916966976597903
213,11.917204102501271
214,11.917559068650007
215,11.917958633974196
216,11.918319888412952
217,11.918348105624318
218,11.918511399999261
219,11.918531984090803
220,11.918122999370098
221,11.917320305481551
222,11.917067505419254
223,11.91792299412191
224,11.918564015999436
225,11.918922442942858
226,11.91916900128126
227,11.919339060783386
228,11.919407786801456
229,11.919241938740017
230,11.91901268530637
231,11.91802242770791
232,11.917793257161977
233,11.918404873460531
234,11.918921088799834
235,11.91954716667533
236,11.91981128230691
237,11.919981334358454
238,11.919909201562405
239,11.919812949374318
240,11.919563830830157
241,11.918764421716332
242,11.91859746258706
243,11.91901051811874
244,11.919647730886936
245,11.92026124149561
246,11.920541018247604
247,11.920772770419717
248,11.920731564052405
249,11.920518836937845
250,11.920177588239312
251,11.919377667829394
252,11.918950493447484
253,11.919876465573909
254,11.92061011865735
255,11.920971835032104
256,11.92123946826905
257,11.921348869800568
258,11.921338881365957
259,11.920703888870776
260,11.919111071154475
261,11.918388997204602
262,11.920148360542951
263,11.921441527083516
264,11.921802979893982
265,11.92191353533417
266,11.922050391323864
267,11.921802124008536
268,11.920316600240769
269,11.91328420676291
270,11.920275294221938
271,11.92211803328246
272,11.92230207938701
273,11.9221867127344
274,11.92224195972085
275,11.92201876733452
276,11.920786181464791
277,11.916771831922231
278,11.918738142587245
279,11.922056059353054
280,11.92254416551441
281,11.922544907778502
282,11.92254859302193
283,11.922526131384076
284,11.922084619291129
285,11.918604250997303
286,11.915218306705356
287,11.92275011818856
288,11.923330348916352
289,11.923390844836833
290,11.923306957818568
291,11.92302435543388
292,11.92097757011652
293,11.915178735740485
294,11.921683942899108
295,11.92334684636444
296,11.92351988144219
297,11.923501227982342
298,11.922844490036368
299,11.918444353155792
300,11.913636754266918
