step,deepseek1.5b_sync_8gpu_lr3e-6-critic/returns/mean_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-critic/returns/mean_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-critic/returns/mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-critic/returns/mean_step,deepseek1.5b_sync_8gpu_lr5e-6-critic/returns/mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-critic/returns/mean_step,deepseek1.5b_fa_partial_lr1e-6-critic/returns/mean_step,deepseek1.5b_fa_partial_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_lr1e-6-critic/returns/mean_step
20,,-0.16078881919384003,-0.18679767847061157,-0.07623512297868729,,-0.12245762348175047,,-0.08333785086870193,-0.16121050715446472,-0.15188662707805634,-0.12572290003299713,-0.13562622666358948
21,-0.1776288002729416,-0.17688550055027008,,-0.06748746335506439,-0.1581437587738037,-0.09467431902885436,-0.15660537779331207,-0.08793231844902039,-0.13683414459228516,-0.1682785600423813,-0.11046969890594482,-0.16337817907333374
22,,-0.15322211384773254,-0.1501503437757492,-0.07016512751579285,-0.16963177919387817,-0.08872833847999573,-0.13586826622486117,-0.05956219881772995,-0.1380748301744461,-0.15863119065761566,-0.09580760449171066,-0.1704116314649582
23,,-0.1691693514585495,-0.17743206024169922,-0.06634603440761566,,-0.08199163526296616,-0.11859690397977828,-0.1000918224453926,-0.15757741034030914,-0.15585555136203766,-0.1163180097937584,-0.16935870051383972
24,-0.12203530222177504,-0.14641769230365753,-0.1612372845411301,-0.052336059510707855,-0.16201874613761902,-0.06958800554275513,-0.147612527012825,-0.18430574238300323,-0.13100716471672058,-0.16090181469917297,-0.05678563192486763,-0.18803012371063232
25,-0.12592995166778564,-0.16595853865146637,-0.13643158972263336,-0.07580585032701492,,,-0.10711925476789474,-0.137223482131958,-0.13954132795333862,-0.11446604877710342,-0.06486198306083679,-0.15188904106616974
26,-0.12589482963085177,-0.15694983303546906,-0.12519006431102753,-0.0648711770772934,,,,-0.0944615676999092,-0.1569824069738388,-0.14418961107730863,-0.05994660034775734,-0.170005664229393
27,-0.09602352231740952,-0.1455184519290924,,,,,,,-0.15428021550178528,-0.1479719877243042,-0.048271000385284424,-0.17504724860191345
28,-0.10654068738222122,,-0.16128669679164886,-0.05808328837156296,-0.13610893487930298,-0.06426824629306793,-0.1556771993637085,-0.06019037589430809,-0.1778033822774887,-0.13864782452583313,-0.04326873645186424,-0.172294482588768
29,-0.09838839620351791,-0.1496250033378601,,-0.04882677271962166,-0.12198521196842194,-0.06267653405666351,-0.16959907114505768,-0.027932215481996536,-0.13068819046020508,-0.12542231380939484,-0.04760008677840233,-0.1919448673725128
30,-0.12670761346817017,-0.15911667048931122,-0.14667975902557373,-0.05756799131631851,-0.13901983201503754,,-0.3072904050350189,-0.05356776341795921,-0.1616298407316208,-0.13638563454151154,-0.05762740597128868,-0.17205631732940674
31,,,-0.15258736908435822,-0.06293994188308716,-0.10245367884635924,-0.0706644058227539,-0.2940910756587982,-0.09150922298431396,-0.1611127406358719,-0.11429860442876816,-0.041222602128982544,-0.1524384766817093
32,-0.10151316225528716,-0.17086243629455566,-0.16581349074840546,-0.049876581877470016,-0.1384819597005844,-0.0977502539753914,,-0.1338270753622055,-0.1804780960083008,-0.13624781370162964,-0.07889029383659363,-0.19858677685260773
33,-0.08731896430253983,-0.130981907248497,-0.14176777005195618,-0.05292342230677605,-0.10486768186092375,-0.054102279245853424,,-0.14553987979888916,-0.178328737616539,-0.10751472413539886,-0.06919047981500626,-0.194276362657547
34,-0.0982421338558197,-0.1335800737142563,-0.1478903740644455,-0.04675837233662605,-0.13930685818195343,-0.0548553504049778,-0.2331646829843521,,-0.16994889080524445,-0.09640292823314668,-0.05897032096982002,-0.18011869490146637
35,,,-0.1598334163427353,-0.03343188017606735,-0.11149802803993224,-0.05964899808168411,,-0.05502172186970711,-0.18125948309898376,-0.12213484942913055,-0.042618125677108765,-0.1701894253492355
36,-0.119425006210804,-0.13145598769187927,-0.16607145965099335,-0.0602973997592926,-0.10759630799293518,,,,-0.163169264793396,-0.10730646550655364,-0.049747467041015625,-0.1900050789117813
37,-0.10856302082538603,-0.1277923285961151,-0.13466697931289673,-0.06411561369895935,-0.08767405897378922,-0.07974859327077866,-0.3212485611438751,,-0.17007112503051758,-0.08468207716941833,-0.04553602635860443,-0.1792556792497635
38,-0.07110555469989777,-0.12578245997428894,-0.12620000541210177,-0.06589724868535995,-0.11227764934301376,-0.03518814593553543,-0.2300388067960739,-0.030462082475423813,-0.13807256519794464,-0.10713309049606325,-0.055292293429374695,-0.15166085958480835
39,-0.07546960562467575,-0.1095857322216034,-0.15271948277950287,-0.052611343562603,-0.09526413679122923,-0.04385500028729439,,-0.02199617587029934,-0.19251802563667297,-0.10263675451278688,-0.043411463499069214,-0.16303032636642456
40,-0.0838603749871254,-0.11803770810365675,-0.12944529950618744,-0.06811153143644333,-0.09405042231082916,,-0.2504371702671051,,-0.15195555984973907,-0.08301647007465363,-0.06836053729057312,-0.1922422796487808
41,-0.07009784877300262,-0.09251797944307329,-0.13488778471946716,-0.05315776541829109,-0.11148015409708024,-0.07607918977737427,-0.24420417845249176,,-0.14923910796642303,-0.07283049821853638,-0.05210283398628235,-0.19587542116642
42,-0.09246793389320374,-0.10613518208265305,-0.12959297001361847,-0.060261406004428864,-0.08670630306005478,-0.05373203009366989,-0.19879460334777832,-0.06141271814703941,-0.1837363243103027,-0.0843064934015274,-0.044756826013326645,-0.15261030197143555
43,-0.09602686017751694,-0.10393445938825609,-0.1248391568660736,,-0.0870877280831337,-0.047616224735975266,-0.03094233945012093,-0.0586668960750103,-0.1547168642282486,-0.064450204372406,-0.0635637566447258,-0.16497322916984558
44,-0.09839030355215073,-0.08989965915679932,-0.13619156181812286,-0.05104520916938782,-0.0860547348856926,-0.05095501616597176,-0.05252548307180405,-0.031209411099553108,-0.17137260735034943,-0.05433010309934616,-0.04519648849964142,-0.17306660115718842
45,-0.06427723914384842,-0.08063353598117828,-0.11396370828151704,-0.06354551762342453,-0.0811837688088417,-0.06586921215057373,-0.08641621470451355,0,-0.16082604229450226,-0.05725439637899399,-0.06170526519417763,-0.1821269392967224
46,-0.055680375546216965,-0.05918895825743675,-0.12264472991228104,-0.06322523206472397,-0.0938216745853424,-0.03590792417526245,-0.11065932363271712,0,-0.17184163630008698,-0.08382022380828857,-0.06928906589746475,-0.14125321805477142
47,-0.07404964417219162,-0.06962200254201889,-0.13919693231582642,,-0.06377209722995758,-0.04370937868952751,-0.10512930154800416,,-0.1812921166419983,-0.068507619202137,-0.04968733340501785,-0.13527442514896393
48,-0.04335352405905723,-0.07052501291036606,-0.11790313571691512,-0.05020105838775635,-0.07216525822877884,-0.042700547724962234,-0.1378634124994278,-0.010657538659870625,-0.16354712843894958,-0.06389545649290085,-0.05190357193350792,-0.17991292476654053
49,-0.045746076852083206,-0.08006033301353455,-0.1231563240289688,-0.06522946059703827,-0.0627036765217781,,-0.1782340705394745,-0.04477042332291603,-0.17348270118236542,-0.05109604075551033,-0.05446959286928177,-0.16368354856967926
50,-0.05586560070514679,-0.06402246654033661,-0.10130992531776428,-0.052346497774124146,-0.07263414561748505,-0.01984381303191185,-0.1697995513677597,-0.03809435665607453,-0.1767416149377823,-0.06979332119226456,-0.046160776168107986,-0.13975365459918976
51,-0.06112787500023842,-0.0724012553691864,-0.12060324847698212,-0.06956406682729721,-0.05771760642528534,-0.05381381511688232,-0.12069958448410034,0,-0.16722284257411957,-0.0701264888048172,-0.06521812081336975,-0.18323729932308197
52,-0.0671086236834526,-0.058622248470783234,-0.1135801449418068,-0.040168531239032745,-0.07530113309621811,-0.03982561454176903,-0.09514252096414566,0,-0.1762300431728363,-0.04722142219543457,-0.0591767355799675,-0.1264084428548813
53,-0.04779282212257385,-0.0844576507806778,-0.08104093372821808,-0.04299630969762802,-0.055521149188280106,-0.0298380833119154,-0.03345691040158272,0,-0.14503701031208038,-0.02347714640200138,-0.0564001090824604,-0.14285747706890106
54,-0.05667062848806381,-0.07112960517406464,-0.09856819361448288,-0.062308020889759064,-0.0725991278886795,-0.04320306330919266,-0.06299543380737305,-0.03456757962703705,-0.16329406201839447,-0.04059251397848129,-0.03652070462703705,-0.13842691481113434
55,-0.06646682322025299,-0.07182526588439941,-0.11273574829101562,-0.047478459775447845,-0.07133083790540695,-0.028232140466570858,-0.026664353907108307,-0.0018015814712271096,-0.14816996455192566,-0.04723871499300003,-0.05343373492360115,-0.1638977974653244
56,-0.0642886832356453,-0.06635641306638718,-0.08291979879140854,-0.04953400418162346,-0.055239249020814896,-0.05853808298707008,-0.11177723109722136,0,-0.16274552047252655,-0.06628593057394028,-0.04122094437479973,-0.12791162729263306
57,-0.08767294883728027,-0.05979866534471512,-0.09411689639091492,-0.04365701228380203,-0.05647439882159233,-0.05126630514860153,-0.152236208319664,-0.000756049295887351,-0.1763858050107956,-0.04168752208352089,-0.061885666102170944,-0.1673891693353653
58,-0.07674381136894226,-0.057522039860486984,-0.09217919409275056,-0.05270061269402504,-0.05193933844566345,-0.03399207442998886,-0.17198418080806732,-0.07949211448431015,-0.1709245890378952,-0.05911878123879433,-0.0545075424015522,-0.15862935781478882
59,-0.06957485526800156,-0.05157747119665146,-0.09918620437383652,-0.02274809218943119,-0.04925796389579773,-0.05206482857465744,-0.0724225789308548,0,-0.1568315178155899,-0.045114338397979736,-0.05693211406469345,-0.1466016322374344
60,-0.06841455399990082,-0.04787353798747063,-0.07838024199008942,-0.04550556465983391,-0.03586908057332039,-0.05433271452784538,-0.07501653581857681,,-0.1421943157911301,-0.05144237354397774,-0.03385607898235321,-0.13454554975032806
61,-0.05687979608774185,-0.05252312123775482,-0.06187130883336067,-0.03139606490731239,-0.045520056039094925,-0.04192645475268364,-0.030558429658412933,0,-0.12402289360761642,-0.06382802128791809,-0.04807760566473007,-0.10961614549160004
62,-0.07910538464784622,-0.06828401237726212,-0.08395496755838394,-0.04065081104636192,-0.0545833557844162,-0.05459588021039963,-0.02710292860865593,-0.024975568056106567,-0.14121045172214508,-0.046453915536403656,-0.06276058405637741,-0.1425488144159317
63,-0.090112566947937,-0.049919866025447845,-0.08254696428775787,-0.049363281577825546,-0.05842404440045357,-0.05967595800757408,0,-0.00034498923923820257,-0.1310843527317047,-0.03905049338936806,-0.0668940395116806,-0.1241655945777893
64,-0.06221284717321396,-0.03785761445760727,-0.08535943925380707,-0.03784731775522232,-0.07391007244586945,-0.04923607409000397,-0.015998439863324165,0,-0.1485898196697235,-0.05393552407622337,-0.06055367738008499,-0.11959218233823776
65,-0.04227527230978012,-0.04415016248822212,-0.07409495860338211,-0.05378178134560585,-0.04702701419591904,-0.03589976578950882,-0.11549558490514757,-0.018678950145840645,-0.14930595457553864,-0.03791744261980057,-0.048076700419187546,-0.10650642216205596
66,-0.08079695701599121,-0.0803246721625328,-0.10422778129577635,-0.04872707277536392,-0.0620492622256279,-0.050792984664440155,-0.1683700531721115,-0.0016197666991502049,-0.14998407661914823,-0.04468684270977974,-0.05488191172480583,-0.13464410603046417
67,-0.07063701748847961,-0.05412647128105163,-0.09762321412563324,-0.05054853111505509,-0.049079157412052155,-0.04784068465232849,-0.21252013742923737,0,-0.13357341289520264,-0.05327243730425835,-0.04349960014224053,-0.11199042201042177
68,-0.1033145859837532,-0.06307606399059296,-0.05977263301610947,-0.05115051940083504,-0.053770631551742554,-0.04667273536324501,-0.1066730096936226,-0.018268465995788578,-0.14002196490764618,-0.05625675246119499,-0.07053299993276596,-0.12601201236248016
69,-0.057463061064481735,-0.047991205006837845,-0.07085131853818893,-0.03068431094288826,-0.060810308903455734,-0.05861565470695496,-0.09442825615406036,-0.0029231002554297447,-0.10776416957378387,-0.045011114329099655,-0.04780682921409607,-0.15169863402843475
70,-0.051798127591609955,-0.04105926305055618,-0.07380729913711548,-0.04222751408815384,-0.05321619659662247,-0.031108979135751724,-0.03819362074136734,0,-0.11715133488178252,-0.047466717660427094,-0.0763416662812233,-0.10788494348526
71,-0.05787155032157898,-0.052956048399209976,-0.054642919450998306,-0.047324590384960175,-0.04560088738799095,-0.04052143171429634,-0.021328717470169067,-0.014433588832616806,-0.11014504730701448,-0.04189814627170563,-0.05885474756360054,-0.10378259420394896
72,-0.07103327661752701,-0.03900066018104553,-0.05401476472616196,-0.05762515217065811,-0.06963181495666504,-0.03758259862661362,0,0,-0.1454487144947052,-0.04663372039794922,-0.04202969744801521,-0.11318942904472352
73,-0.046393051743507385,-0.056844450533390045,-0.057884108275175095,-0.03402155637741089,-0.03382611647248268,-0.051265183836221695,0,0,-0.10168658196926116,-0.024917976930737495,-0.05517606437206268,-0.13390807807445526
74,-0.05384547635912895,-0.05122186243534088,-0.06913123279809952,-0.034334395080804825,-0.04208754003047943,-0.04090207070112229,-0.01309035625308752,-0.07074009627103806,-0.10758311301469804,-0.03645427525043487,-0.04012952372431755,-0.11725810915231703
75,-0.05819331854581833,-0.04602103680372238,-0.10046412795782088,-0.029852766543626785,-0.053066350519657135,-0.043700844049453735,-0.05958458036184311,-0.20958618819713593,-0.1260219365358353,-0.048044219613075256,-0.04857668653130531,-0.10592016577720642
76,-0.03828997910022736,-0.04071684181690216,-0.09230725467205048,-0.05207557231187821,-0.03144385293126106,-0.041948121041059494,-0.19699519872665405,-0.191790834069252,-0.11481667309999466,-0.0564996525645256,-0.04792901873588562,-0.1140771210193634
77,-0.07671044021844864,-0.0670718401670456,-0.07316934317350388,-0.034127429127693176,-0.06005629152059555,-0.05238853022456169,-0.14657722413539886,0,-0.11447621881961824,-0.032411303371191025,-0.047855786979198456,-0.1247386708855629
78,-0.03928357735276222,-0.04153325408697128,-0.08937317132949829,-0.03136075288057327,-0.03999955579638481,-0.05304306373000145,-0.17985261976718905,0,-0.0924089103937149,-0.024974791333079335,-0.04519299045205116,-0.09832245111465454
79,-0.05729316920042038,-0.046857669949531555,-0.11328958719968796,-0.031966377049684525,-0.06681354343891144,-0.042774099856615067,-0.11384086310863496,0,-0.11389198154211044,-0.04479852318763733,-0.043048858642578125,-0.108811154961586
80,-0.060652997344732285,-0.061313796788454056,-0.05449087917804718,-0.04736093804240227,-0.05788589268922806,-0.05530693754553795,-0.009322449564933777,0,-0.13595440983772278,-0.04959196224808693,-0.05844832211732864,-0.10613023489713667
81,-0.037934280931949615,-0.04580684006214142,-0.07594822347164154,-0.034728772938251495,-0.05164935812354088,-0.041046664118766785,-0.009098069742321968,-0.005793668329715729,-0.06231699883937836,-0.043763358145952225,-0.03727380931377411,-0.13532766699790957
82,-0.039247769862413406,-0.04891189560294151,-0.12127234786748886,-0.037220489233732224,-0.050255946815013885,-0.0399332270026207,0,-0.039968617260456085,-0.10252147167921066,-0.0439005009829998,-0.04593677446246147,-0.07144293189048767
83,-0.06576641649007797,-0.028935834765434265,-0.07796861231327057,-0.043037980794906616,-0.029768722131848335,-0.04167695343494415,-0.005993096623569727,-0.05496704205870629,-0.0897340178489685,-0.04097824916243553,-0.038332369178533554,-0.09775133430957794
84,-0.05696825310587883,-0.05062085762619972,0.004588237963616848,-0.04395822063088417,-0.06372280418872833,-0.04143963009119034,-0.01700020581483841,-0.02579404041171074,-0.09371120482683182,-0.043940842151641846,-0.040283311158418655,-0.09998304396867752
85,-0.06895868480205536,-0.053713712841272354,-0.016683591529726982,-0.062230195850133896,-0.05677375569939613,-0.06350097805261612,-0.03919469192624092,0,-0.09014248847961426,-0.058631688356399536,-0.06528337299823761,-0.09453336894512177
86,-0.0609467588365078,-0.04154982417821884,-0.11201132833957672,-0.05409576743841171,-0.0481145903468132,-0.05224062129855156,-0.08015064150094986,0,-0.0943477600812912,-0.03392782434821129,-0.04601035267114639,-0.08876776695251465
87,-0.058394305408000946,-0.05029849708080292,-0.066506527364254,-0.05054490640759468,-0.06079251691699028,-0.04170605167746544,-0.09035567194223404,0,-0.1006222441792488,-0.03729797154664993,-0.07270000129938126,-0.1020735427737236
88,-0.046588197350502014,-0.05088888108730316,-0.027743477374315265,-0.037692535668611526,-0.05419967696070671,-0.04864228889346123,-0.06288664788007736,0,-0.08812529593706131,-0.04054679721593857,-0.052937719970941544,-0.107851542532444
89,-0.06350059807300568,-0.05048203840851784,-0.056804314255714417,-0.05171750858426094,-0.042995113879442215,-0.04474339261651039,-0.013608078472316263,0,-0.08997553586959839,-0.04409557580947876,-0.05567815899848938,-0.07845041900873184
90,-0.06090055778622627,-0.04289672151207924,-0.13283059000968933,-0.043104611337184906,-0.056297339498996735,-0.0487496554851532,-0.009602311998605728,-0.01007430162280798,-0.0802372619509697,-0.03667563945055008,-0.02370171807706356,-0.10318567603826524
91,-0.049331631511449814,-0.03979422152042389,-0.11713135242462158,-0.050325050950050354,-0.03999900072813034,-0.05393853038549423,-0.004598623141646385,-0.0145729323849082,-0.09313035011291504,-0.04306907579302788,-0.061779916286468506,-0.10371696949005128
92,-0.05287185683846474,-0.05405139923095703,0.0009564367937855422,-0.05606425553560257,-0.056696876883506775,-0.05310899019241333,0,-0.006666148081421852,-0.09081053733825684,-0.039934370666742325,-0.05391343683004379,-0.08660657703876495
93,-0.062369875609874725,-0.055718839168548584,-0.05954083055257797,-0.05187558010220528,-0.03881848603487015,-0.05787307024002075,-0.00786658376455307,-0.005480137653648853,-0.045592937618494034,-0.039589714258909225,-0.0537288561463356,-0.09715420007705688
94,-0.05299758538603783,-0.04645394533872605,-0.1569652259349823,-0.03778908774256706,-0.03793076053261757,-0.05966027081012726,-0.026020992547273636,0,-0.07332589477300644,-0.041131313890218735,-0.04340934008359909,-0.07134885340929031
95,-0.06282183527946472,-0.053816840052604675,-0.0797482579946518,-0.04590900242328644,-0.039513301104307175,-0.07475834339857101,-0.0977242961525917,-0.003929609898477793,-0.0713019147515297,-0.044419337064027786,-0.04596586525440216,-0.09870821982622148
96,-0.08329417556524277,-0.05117853730916977,-0.05151606723666191,-0.05304247513413429,-0.059110917150974274,-0.06367240101099014,-0.1214066818356514,-0.005387239158153534,-0.08347868174314499,-0.05193857476115227,-0.06199260056018829,-0.10779256373643877
97,-0.06770739704370499,-0.055135130882263184,-0.1405310481786728,-0.04621588811278343,-0.04097713530063629,-0.0562603659927845,-0.052806537598371506,-0.006458058953285217,-0.05745389312505722,-0.053448792546987534,-0.05663299188017845,-0.1007046103477478
98,-0.06507610529661179,-0.04799576848745346,-0.17023378610610962,-0.05674125626683235,-0.029879679903388023,-0.056569624692201614,-0.0028822775930166245,-0.00439427699893713,-0.08423606306314468,-0.035042259842157364,-0.05786874517798424,-0.0829974040389061
99,-0.07828351855278015,-0.06468287855386734,-0.0973622277379036,-0.03316107764840126,-0.03815546631813049,-0.07126129418611526,0,-0.0008997554541565478,-0.07595810294151306,-0.05150364339351654,-0.056689582765102386,-0.11974993348121644
100,-0.0791773647069931,-0.07243937253952026,-0.05561511591076851,-0.04848570749163627,-0.042643193155527115,-0.06815668195486069,0,0,-0.06738685816526413,-0.050219208002090454,-0.06314411759376526,-0.10967231541872025
101,-0.04511669650673866,-0.06649035215377808,-0.1588328778743744,-0.04526691883802414,-0.062027137726545334,-0.045372530817985535,0,-0.005355503410100937,-0.07530992478132248,-0.0524618998169899,-0.06394439935684204,-0.10659638047218324
102,-0.04190668836236,-0.052434757351875305,-0.15228931605815887,-0.047004587948322296,-0.037510693073272705,-0.03654185310006142,0,-0.01748795248568058,-0.11384780704975128,-0.05271150171756744,-0.07006380707025528,-0.10058757662773132
103,-0.06858416646718979,-0.04676719754934311,-0.1240159347653389,-0.05444632098078728,-0.03368929773569107,-0.05990227684378624,-0.0025306055322289467,0,-0.046186111867427826,-0.04929795861244202,-0.06808365136384964,-0.11206040531396866
104,-0.06905549019575119,-0.045172810554504395,-0.07391326129436493,-0.04924597963690758,-0.03143595531582832,-0.054109737277030945,-0.024975677952170372,0,-0.08112551271915436,-0.057195477187633514,-0.05499790981411934,-0.0987161248922348
105,-0.0597478486597538,-0.04857473820447922,-0.18030548095703125,-0.04404423385858536,-0.04101713374257088,-0.03746100515127182,-0.054482556879520416,0,-0.06168888881802559,-0.04384373500943184,-0.0566537119448185,-0.0920099839568138
106,-0.08002032339572906,-0.05538654699921608,-0.09598806500434875,-0.061043985188007355,-0.044155851006507874,-0.03996573016047478,-0.043629709631204605,-0.0010973185999318955,-0.05953280255198479,-0.05062435194849968,-0.07628727704286575,-0.11270637065172195
107,-0.06759148836135864,-0.05046405270695686,-0.08675204962491989,-0.051697809249162674,-0.05817996338009834,-0.04801015183329582,-0.005054914392530918,-0.02167019620537758,-0.06793021410703659,-0.05490768700838089,-0.05165988951921463,-0.08551526814699173
108,-0.06573402136564255,-0.04621769860386848,-0.14681750535964966,-0.05059484764933586,-0.0580967478454113,-0.06292366236448288,0,0,-0.07763414084911346,-0.0534377358853817,-0.06782380491495132,-0.09175998717546464
109,-0.08352506160736084,-0.05834127962589264,-0.13273900747299194,-0.06623674184083939,-0.053695451468229294,-0.07454147934913635,0,0,-0.07627163082361221,-0.06275074183940887,-0.0637829527258873,-0.11832450330257416
110,-0.07105735689401627,-0.05887175351381302,-0.11167321354150772,-0.04579693824052811,-0.03971370309591293,-0.054588306695222855,-0.003528623143211007,0,-0.08189387619495392,-0.03652840852737427,-0.05744975805282593,-0.10472512990236282
111,-0.06751169264316559,-0.055299390107393265,-0.12179410457611084,-0.04922842979431152,-0.04891183599829674,-0.06901858001947403,-0.027253419160842896,-0.0031093342695385218,-0.08131871372461319,-0.06218098104000091,-0.06893730908632278,-0.08892733603715897
112,-0.05049831420183182,-0.04810274764895439,-0.203035369515419,-0.037808772176504135,-0.04358296096324921,-0.04106086492538452,-0.045162755995988846,-0.02129068225622177,-0.06394471228122711,-0.03205103054642677,-0.05601290240883827,-0.05972973629832268
113,-0.0727720707654953,-0.04513303190469742,-0.2096959352493286,-0.051227692514657974,-0.03075590170919895,-0.05027218163013458,-0.03702627494931221,0,-0.06178738549351692,-0.03983459994196892,-0.06339789181947708,-0.11506500095129012
114,-0.07138022035360336,-0.04970645159482956,-0.15316444635391235,-0.05188026279211044,-0.03259686753153801,-0.04589914157986641,-0.0031718388199806213,0,-0.04428734257817269,-0.047257084399461746,-0.06701602041721344,-0.08521106839179993
115,-0.06557530164718628,-0.05136388540267944,-0.12372393906116486,-0.05207165330648422,-0.04022670164704323,-0.06257804483175278,0,0,-0.08020436763763428,-0.05304335802793503,-0.06792844086885452,-0.09995194524526596
116,-0.07119813561439514,-0.048075832426548,-0.1512334942817688,-0.066506028175354,-0.06084580346941948,-0.05855652317404747,0,-0.0045076459646224976,-0.0833851546049118,-0.04553702101111412,-0.04482719674706459,-0.08896932750940323
117,-0.08099658042192459,-0.04218750447034836,-0.1257949322462082,-0.04140140861272812,-0.0582691952586174,-0.03609032928943634,0,-0.005111939739435911,-0.07097034156322479,-0.043736133724451065,-0.05024772882461548,-0.09494084119796752
