step,deepseek1.5b_sync_8gpu_lr3e-6-critic/score/mean_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-critic/score/mean_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-critic/score/mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-critic/score/mean_step,deepseek1.5b_sync_8gpu_lr5e-6-critic/score/mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-critic/score/mean_step,deepseek1.5b_fa_partial_lr1e-6-critic/score/mean_step,deepseek1.5b_fa_partial_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_lr1e-6-critic/score/mean_step
29,-0.1097586154937744,-0.07898139953613281,,0.023928403854370117,-0.14423298835754397,-0.04904985427856445,-0.4357936382293701,-1.000575065612793,-0.5827412605285645,-0.133392333984375,0.008358955383300781,-0.3619718551635742
30,-0.10766267776489258,-0.13670039176940918,-0.3110318183898926,-0.017553329467773438,-0.2553694248199463,,-0.7180829048156738,-1.001845121383667,-0.69207763671875,-0.22518610954284668,0.02239513397216797,-0.43740391731262207
31,,,-0.12435007095336914,-0.14011216163635254,-0.07145071029663086,-0.10773205757141112,-0.6045191287994385,-1.003242015838623,-0.5363080501556396,-0.1294703483581543,-0.09175252914428712,-0.4696867465972901
32,-0.2566862106323242,-0.2572333812713623,-0.3556787967681885,-0.09608840942382812,-0.2346189022064209,-0.15888547897338867,,-1.0072226524353027,-0.642662525177002,-0.22835898399353027,-0.12915325164794922,-0.4932317733764648
33,-0.2041027545928955,-0.19069933891296387,-0.2397468090057373,-0.1412045955657959,-0.08387112617492676,-0.06010627746582031,,-1.0090315341949463,-0.4099555015563965,-0.09698796272277832,-0.11127471923828124,-0.5134382247924805
34,-0.13234782218933103,-0.1048104763031006,-0.14866280555725098,-0.020560264587402344,-0.18303251266479492,-0.0448763370513916,-0.4734787940979004,,-0.4980313777923584,-0.20275115966796875,-0.02322077751159668,-0.3815169334411621
35,,,-0.18749284744262695,-0.014487504959106444,-0.09560680389404295,-0.040485382080078125,,-1.0019192695617676,-0.4502434730529785,-0.10382628440856934,-0.04197406768798828,-0.3797025680541992
36,-0.12523794174194336,-0.12356090545654295,-0.13818717002868652,0.0015773773193359375,-0.002988576889038086,,,,-0.34580230712890625,0.02440786361694336,-0.08582282066345215,-0.4394237995147705
37,-0.1189277172088623,-0.07030677795410156,-0.14344191551208496,0.06081032752990723,-0.06995296478271484,0.01974701881408691,-0.6016569137573242,,-0.2975442409515381,-0.025983095169067383,0.004883766174316406,-0.2950446605682373
38,-0.019939422607421875,-0.03155350685119629,-0.3324413299560547,0.031485795974731445,-0.2532782554626465,0.0478367805480957,-0.6268994808197021,-1.000795841217041,-0.5644500255584717,-0.2719764709472656,0.054576873779296875,-0.2606010437011719
39,-0.06602072715759277,-0.07467389106750488,0.0003743171691894531,-0.01173090934753418,-0.07012581825256348,0.002815723419189453,,-1.0007038116455078,-0.30298376083374023,-0.046877384185791016,-0.02346205711364746,-0.2807433605194092
40,0.006924867630004883,-0.04174447059631348,-0.09396529197692872,0.04804563522338867,-0.02873086929321289,,-0.6554324626922607,,-0.3138539791107178,0.01233530044555664,0.0304567813873291,-0.23203539848327637
41,-0.14385008811950684,-0.11433839797973631,-0.3166680335998535,-0.05365252494812012,-0.290158748626709,-0.10396218299865724,-0.696610689163208,,-0.547119140625,-0.15733718872070312,-0.08901691436767578,-0.3589050769805908
42,-0.04622960090637207,-0.06236004829406738,-0.19377613067626953,0.019191741943359375,-0.1280214786529541,0.02241039276123047,-0.7420182228088379,-1.0028033256530762,-0.41512608528137207,-0.1341991424560547,-0.020389080047607425,-0.2278749942779541
43,0.0033478736877441406,-0.08346271514892578,-0.032430410385131836,,-0.1097714900970459,0.043645620346069336,-0.6974694728851318,-1.0018205642700195,-0.2825796604156494,-0.04129171371459961,0.038907527923583984,-0.25067901611328125
44,-0.06372356414794922,-0.027385950088500977,-0.1255016326904297,0.004878044128417969,-0.0783538818359375,-0.016626596450805664,-0.733407735824585,-1.000690460205078,-0.3459484577178955,-0.019673585891723633,0.02729153633117676,-0.2759881019592285
45,-0.14335966110229492,-0.1265730857849121,-0.1638009548187256,-0.06179237365722656,-0.11247944831848145,-0.08594465255737305,-0.8741748332977295,-1,-0.3125154972076416,-0.07709527015686035,-0.096480131149292,-0.33663105964660645
46,-0.12419438362121582,-0.09658122062683104,-0.21233510971069336,0.0004014968872070313,-0.20137357711791992,-0.06331539154052734,-0.8869006633758545,-1,-0.47120070457458496,-0.1838533878326416,-0.03721737861633301,-0.28618812561035156
47,-0.06365251541137695,-0.04927206039428711,-0.2312629222869873,,-0.16200566291809082,0.03612947463989258,-0.8277826309204102,,-0.39411091804504395,-0.14780426025390625,0.04904651641845703,-0.188279390335083
48,-0.05822181701660156,-0.04427504539489746,-0.2263925075531006,0.05226397514343262,-0.1815497875213623,0.036191701889038086,-0.898766279220581,-1.000248670578003,-0.4521200656890869,-0.11737585067749023,0.007348537445068359,-0.22844243049621585
49,-0.09976863861083984,-0.08083891868591309,-0.11279630661010742,0.0013697147369384766,-0.06185317039489746,,-0.90541410446167,-1.0022270679473877,-0.2064304351806641,-0.03469967842102051,-0.013840675354003906,-0.2412874698638916
50,-0.09421348571777344,-0.02894926071166992,-0.19316530227661133,0.015548467636108398,-0.10817909240722656,0.024721145629882812,-0.9421501159667968,-1.0010662078857422,-0.33599424362182617,-0.1110067367553711,0.0413670539855957,-0.20204615592956543
51,0.1479356288909912,0.15266084671020508,-0.09133601188659668,0.2201828956604004,-0.0579984188079834,0.22417140007019043,-0.9202880859375,-1,-0.3037121295928955,-0.03366684913635254,0.1865842342376709,-0.034532785415649414
52,0.08937287330627441,0.07945919036865234,-0.21282410621643064,0.14821887016296387,-0.208726167678833,0.14229846000671387,-0.9582359790802002,-1,-0.3834555149078369,-0.14239740371704102,0.121337890625,-0.10377812385559082
53,-0.005354642868041992,-0.01061081886291504,0.021260976791381836,0.06575775146484375,0.07516860961914062,0.05760049819946289,-0.9495565891265868,-1,-0.1007215976715088,0.03255939483642578,0.10789179801940918,-0.1574568748474121
54,-0.10875749588012695,-0.0871882438659668,-0.1132221221923828,-0.024501800537109375,-0.021471261978149418,-0.012477397918701172,-0.9543073177337646,-1.0011556148529053,-0.23990821838378903,-0.06062126159667969,-0.01829218864440918,-0.22008562088012695
55,-0.12582063674926758,-0.17292165756225586,-0.10864138603210448,-0.109100341796875,-0.06904411315917969,-0.09270119667053224,-0.969212293624878,-1.0000395774841309,-0.1942760944366455,-0.023609638214111328,-0.06890153884887695,-0.2815711498260498
56,-0.06976056098937988,-0.13572359085083008,-0.2790865898132324,-0.09914755821228027,-0.25809645652770996,-0.04491925239562988,-1.002776861190796,-1,-0.4113447666168213,-0.2059030532836914,-0.07926082611083984,-0.26413583755493164
57,0.09124183654785156,0.06549954414367676,-0.17834115028381348,0.11698555946350098,-0.13583755493164062,0.13147950172424316,-1.0016298294067385,-1.0000371932983398,-0.26090550422668457,-0.05674171447753906,0.1282174587249756,-0.09930992126464844
58,-0.17459440231323242,-0.16733241081237793,-0.08365321159362793,-0.1195213794708252,-0.04236936569213867,-0.10854244232177734,-1.0034003257751465,-1.005404710769653,-0.18886542320251465,0.03130364418029785,-0.08906412124633789,-0.3084597587585449
59,0.06585431098937988,0.010910272598266602,-0.1079559326171875,0.06652045249938965,0.07775235176086426,0.06270241737365723,-1.0017812252044678,-1,-0.11097288131713869,0.0060842037200927734,0.02656888961791992,-0.12385249137878418
60,-0.15246248245239258,-0.18775439262390137,-0.1379241943359375,-0.10646295547485352,-0.05717873573303223,-0.10128235816955566,-1.001753330230713,,-0.29557156562805176,0.00749659538269043,-0.09675168991088869,-0.272244930267334
61,-0.08008122444152832,-0.14428234100341797,-0.09302854537963869,-0.07249855995178223,-0.0725252628326416,-0.0576014518737793,-1.0002858638763428,-1,-0.133894681930542,-0.1220555305480957,-0.08379125595092773,-0.2118840217590332
62,-0.030049800872802734,-0.05765414237976074,-0.12790346145629883,0.0410463809967041,-0.08760523796081543,0.030618667602539062,-1.0007212162017822,-1.0007011890411377,-0.27885937690734863,-0.04395461082458496,0.028450489044189453,-0.14286375045776367
63,-0.07164692878723145,-0.1257762908935547,-0.004525423049926758,-0.01916408538818359,0.07889533042907715,-0.04105854034423828,-1,-1.000014305114746,-0.0657198429107666,0.057337284088134766,-0.030450105667114254,-0.20539474487304688
64,-0.07245326042175293,-0.16555047035217285,-0.19388198852539065,-0.04161667823791504,-0.030243635177612305,-0.03565573692321777,-1.0000083446502686,-1,-0.18557357788085935,-0.10223507881164552,-0.0707547664642334,-0.22649121284484863
65,0.007538557052612305,-0.06353521347045898,-0.06839990615844727,0.027651309967041016,0.04451465606689453,0.05768942832946777,-1.0044307708740234,-1.0005958080291748,-0.06979656219482422,0.03958392143249512,0.08758378028869629,-0.06537961959838867
66,-0.02686429023742676,-0.08366060256958008,-0.10188627243041992,-0.0048525333404541016,-0.06059622764587402,0.04729127883911133,-1.0074586868286133,-1.0000059604644775,-0.16922307014465332,-0.07103228569030762,0.028545379638671875,-0.1697995662689209
67,-0.010614871978759766,-0.08714985847473145,-0.17392778396606445,0.0800473690032959,-0.053125619888305664,0.11266636848449708,-1.00950026512146,-1,-0.16759967803955078,-0.0035524368286132812,0.06187295913696289,-0.15355587005615234
68,0.08501076698303223,0.06601214408874512,-0.2141213417053223,0.13326239585876465,-0.0817725658416748,0.18659234046936035,-1.004560470581055,-1.0005536079406738,-0.1941227912902832,-0.04504847526550293,0.14505863189697266,-0.06662344932556152
69,0.02817296981811523,0.007937908172607422,-0.08469963073730469,0.07148218154907227,0.034455060958862305,0.09839820861816406,-1.0028917789459229,-1.0000128746032717,-0.10495400428771973,0.039819955825805664,0.06179213523864746,-0.10788321495056152
70,-0.001988649368286133,0.006365299224853516,-0.14611124992370603,0.05373024940490723,-0.04236888885498047,0.11445283889770508,-1.0006537437438965,-1,-0.14544105529785156,-0.03273439407348633,0.02421236038208008,-0.09940385818481444
71,-0.045746803283691406,-0.10445213317871094,-0.18316888809204104,-0.04000067710876465,-0.06817817687988281,0.0020906925201416016,-1.0003938674926758,-1.0002405643463137,-0.14324116706848145,-0.03451967239379883,0.008409500122070312,-0.13382411003112793
72,-0.07070779800415039,-0.09841299057006836,-0.3091881275177002,-0.04725193977355957,-0.0685720443725586,0.0033292770385742188,-1,-1,-0.19852709770202637,-0.073699951171875,-0.036182403564453125,-0.17441201210021973
73,0.0862128734588623,0.025730133056640625,-0.24754047393798828,0.07921957969665527,-0.057115793228149414,0.1201467514038086,-1,-1,-0.24231410026550293,-0.0959324836730957,0.12653684616088867,-0.05953693389892578
74,-0.02055048942565918,-0.02090930938720703,-0.11158347129821776,0.04403114318847656,0.02864360809326172,0.01637554168701172,-1.0000848770141602,-1.012770175933838,-0.13152217864990234,-0.011639833450317385,0.008091211318969727,-0.13203859329223633
75,-0.013996124267578123,-0.04201626777648926,-0.25745463371276855,0.07521462440490723,-0.09645891189575195,0.09891343116760254,-1.0018467903137207,-1.0931756496429443,-0.26784849166870117,-0.1583712100982666,0.013950824737548828,-0.0229034423828125
76,0.02530193328857422,-0.017923593521118164,-0.328218936920166,0.015074729919433594,-0.17966985702514648,0.07027864456176758,-1.0070111751556396,-1.009530544281006,-0.22271060943603516,-0.18849897384643555,0.04738903045654297,-0.08418631553649902
77,-0.07515883445739746,-0.07728314399719238,-0.10345959663391112,-0.012426137924194336,0.03855133056640625,-0.006307363510131836,-1.0099186897277832,-1,-0.16482162475585938,-0.030464649200439453,0.035416603088378906,-0.18526172637939453
78,-0.08835530281066895,-0.08270788192749023,-0.2652721405029297,-0.07400035858154297,-0.1505115032196045,-0.03915858268737793,-1.008011817932129,-1,-0.2903323173522949,-0.14247775077819824,-0.05536460876464844,-0.1997077465057373
79,0.027276039123535156,-0.06868267059326172,-0.20875072479248047,0.03869915008544922,-0.06387448310852051,0.06802511215209961,-1.0046758651733398,-1,-0.17274236679077148,-0.02572536468505859,0.04630160331726074,-0.14828133583068848
80,0.1235809326171875,0.06559228897094727,-0.11223387718200684,0.09154629707336426,0.13070416450500488,0.1746234893798828,-1.0005292892456057,-1,-0.07613277435302734,0.05021524429321289,0.09589362144470216,0.025681257247924805
81,0.05915951728820801,0.02335953712463379,-0.15442490577697754,0.11143946647644044,0.03439760208129883,0.18959903717041016,-1.0001227855682373,-1.0000262260437012,-0.06583476066589355,0.038205862045288086,0.14029312133789062,-0.05651521682739258
82,0.014399290084838867,-0.05406045913696289,-0.16567492485046387,0.1209886074066162,0.002648591995239258,0.11452627182006836,-1,-1.000593662261963,-0.1309208869934082,0.006622314453125,0.10145115852355956,-0.021659374237060547
83,-0.01549363136291504,-0.037523508071899414,-0.19960451126098633,-0.013933420181274414,-0.08548998832702637,0.05478262901306152,-1.0000324249267578,-1.0015060901641846,-0.1659862995147705,-0.05605745315551758,-0.026398897171020508,-0.10200166702270508
84,0.11590003967285156,0.01908564567565918,-0.375652551651001,0.1012580394744873,0.02913689613342285,0.2214105129241943,-1.0005815029144287,-1.0004925727844238,-0.14298439025878906,-0.01981163024902344,0.2010338306427002,0.03889632225036621
85,-0.07984018325805664,-0.17206144332885742,-0.2372446060180664,-0.1147606372833252,0.03786110877990723,-0.04483485221862793,-1.0006170272827148,-1,-0.09747672080993652,0.05468273162841797,-0.10999011993408205,-0.21979594230651855
86,-0.011327028274536133,-0.09031963348388672,-0.2366483211517334,0.001587629318237305,-0.03238487243652344,0.03787589073181152,-1.004220485687256,-1,-0.14540672302246094,-0.10101771354675292,0.02527427673339844,-0.11742258071899414
87,0.05535697937011719,-0.07991862297058105,-0.193312406539917,0.029627084732055664,0.03490734100341797,0.11914372444152832,-1.0048706531524658,-1,-0.1454484462738037,0.047568559646606445,0.07895183563232422,-0.0862739086151123
88,0.02694916725158691,-0.0666666030883789,-0.4814741611480713,-0.004064083099365234,-0.04153251647949219,0.09842371940612792,-1.003720760345459,-1,-0.166853666305542,-0.08066487312316895,0.06337332725524902,-0.09365057945251463
89,0.09064745903015135,-0.038274288177490234,-0.41277647018432617,0.08244919776916504,-0.03670811653137207,0.09777092933654784,-1.0000803470611572,-1,-0.18809127807617188,-0.0782613754272461,0.03799581527709961,-0.035233497619628906
90,0.03369903564453125,-0.01755070686340332,-0.2161681652069092,0.0303800106048584,0.0068514347076416016,0.08521127700805664,-1.000262975692749,-1.0002648830413818,-0.11691999435424805,-0.05406999588012695,0.08630633354187012,-0.05889010429382324
91,0.04102635383605957,0.028031587600708008,-0.353623628616333,0.07832098007202148,-0.04351329803466797,0.12736129760742188,-1.0000200271606443,-1.0003540515899658,-0.06532573699951172,-0.0654594898223877,0.07691383361816406,-0.07084512710571289
92,-0.13211560249328613,-0.16967201232910156,-0.5805504322052002,-0.09969425201416016,-0.06014132499694824,-0.04728865623474121,-1,-1.0000853538513184,-0.24840283393859863,-0.07827901840209961,-0.04691958427429199,-0.24549388885498047
93,0.14049768447875977,0.008986473083496094,-0.4921574592590332,0.1273953914642334,0.13566040992736816,0.15638494491577148,-1.0003209114074707,-1.0001137256622314,0.034177303314208984,0.11551427841186523,0.0901486873626709,-0.001760721206665039
94,-0.03795719146728515,-0.1765921115875244,-0.436143159866333,-0.05555438995361328,-0.06228756904602051,0.05687737464904785,-1.0004377365112305,-1,-0.2468738555908203,-0.06982064247131348,-0.017587661743164062,-0.1688392162322998
95,0.1707155704498291,0.030539989471435547,-0.3725974559783935,0.17676591873168945,0.12311124801635742,0.1902313232421875,-1.005258321762085,-1.000056505203247,-0.027765989303588867,0.05808544158935547,0.1317760944366455,0.08783435821533203
96,0.2134840488433838,0.08730053901672363,-0.6668446063995361,0.15252327919006348,0.02667379379272461,0.24911069869995117,-1.006932020187378,-1.0000708103179932,-0.1063551902770996,0.06647109985351562,0.2035205364227295,0.007337808609008789
97,0.0303800106048584,-0.05054020881652832,-0.6053838729858398,-0.010393619537353516,0.04988813400268555,0.0627586841583252,-1.002105951309204,-1.0001771450042725,-0.037712812423706055,0.05815553665161133,-0.010945320129394531,-0.06991457939147949
98,0.12796473503112793,0.046478271484375,-0.30971193313598633,0.07300090789794922,-0.01568770408630371,0.20618081092834473,-1.000063180923462,-1.0000457763671875,-0.16800451278686523,-0.10941624641418456,0.1185283660888672,0.04314589500427246
99,0.02890300750732422,-0.08256793022155762,-0.31128501892089844,-0.018124818801879883,0.05064868927001953,0.07050085067749023,-1,-1.0000078678131104,-0.09666156768798828,0.03337264060974121,-0.0003864765167236328,-0.08945178985595703
100,0.04483342170715332,-0.01858043670654297,-0.5145285129547119,0.1164100170135498,0.030454158782958984,0.13125348091125488,-1,-1,-0.08936214447021484,0.07265281677246094,0.0931248664855957,-0.030962705612182617
101,0.016362667083740234,-0.01308751106262207,-0.49352025985717773,0.07111978530883789,0.03685498237609863,0.12539362907409668,-1,-1.0000648498535156,-0.0958120822906494,0.037471771240234375,-0.0015761852264404297,-0.08564615249633789
102,0.014652490615844728,-0.09461522102355956,-0.34144091606140137,0.024128198623657227,-0.09883642196655272,0.04068660736083984,-1,-1.0005955696105957,-0.21015143394470215,-0.12441897392272948,0.05106210708618164,-0.1121375560760498
103,0.12253785133361816,-0.01671433448791504,-0.37616395950317383,0.14082694053649902,0.013978004455566406,0.17960095405578613,-1.0000474452972412,-1,-0.05716061592102051,0.045734405517578125,0.12767863273620603,0.024314403533935547
104,0.04720115661621094,0.026548385620117188,-0.5780856609344482,0.04760169982910156,-0.012391805648803713,0.09216094017028809,-1.0008492469787598,-1,-0.1427466869354248,0.0507810115814209,0.123429536819458,0.029912233352661133
105,0.19139909744262695,0.03443193435668945,-0.6002967357635498,0.1168804168701172,-0.03862357139587402,0.18142914772033691,-1.0024333000183103,-1,-0.09793615341186523,-0.0280611515045166,0.1274418830871582,0.06534624099731445
106,0.017235279083251953,-0.0629734992980957,-0.2649118900299072,-0.00755000114440918,0.08074808120727539,0.08883810043334961,-1.001405954360962,-1.00000262260437,0.026418209075927734,0.002351999282836914,0.022203922271728516,-0.08828234672546387
107,-0.023628950119018555,-0.13087201118469238,-0.4230198860168457,-0.008685827255249023,0.06522154808044434,0.06295561790466309,-1.0000669956207275,-1.000903606414795,-0.09833455085754396,0.0062711238861083984,-0.011269807815551758,-0.08719468116760254
108,0.001646280288696289,-0.07061052322387695,-0.6340250968933105,0.0019969940185546875,0.028366804122924805,0.07546329498291016,-1,-1,-0.0775766372680664,0.05900764465332031,0.012555837631225586,-0.08343172073364258
109,0.12491178512573242,0.0025413036346435547,-0.6079058647155762,0.09501361846923828,0.028484344482421875,0.18478178977966309,-1,-1,-0.1247079372406006,-0.2103424072265625,0.14432430267333984,0.016053438186645508
110,-0.005526304244995117,-0.06196403503417969,-0.3067145347595215,0.0268862247467041,-0.003007650375366211,0.047637224197387695,-1.0000591278076172,-1,-0.15722227096557617,-0.01082921028137207,-0.037663936614990234,-0.10580921173095705
111,0.10346674919128418,-0.036254167556762695,-0.4315781593322754,0.025913476943969727,-0.15095877647399902,0.095994234085083,-1.0005450248718262,-1.000056505203247,-0.24754095077514648,-0.15751934051513672,0.09968161582946776,-0.05855345726013184
112,0.2232038974761963,0.04942917823791504,-0.6407952308654785,0.10875487327575684,-0.08925652503967285,0.2494213581085205,-1.0016663074493408,-1.0010173320770264,-0.1406726837158203,-0.023350000381469727,0.1418757438659668,0.0825660228729248
113,0.01080179214477539,-0.07246065139770508,-0.525071382522583,-0.00548863410949707,0.002339601516723633,0.05253291130065918,-1.0008058547973633,-1,-0.05274105072021485,-0.09870100021362305,0.010210514068603516,-0.08057737350463867
114,0.09934473037719728,-0.04302787780761719,-0.2542881965637207,0.03745412826538086,0.030768632888793945,0.11901593208312988,-1.0000221729278564,-1,-0.0908515453338623,-0.011481285095214844,-0.06740427017211914,-0.04186058044433594
115,0.011504650115966795,-0.052375078201293945,-0.412060022354126,-0.016048908233642578,0.0975666046142578,0.06285786628723145,-1,-1,0.07507920265197754,0.08120322227478027,-0.02485990524291992,-0.05356001853942871
116,-0.08820462226867676,-0.14794588088989258,-0.4216339588165283,-0.055225372314453125,0.08685564994812012,-0.01720118522644043,-1,-1.0000813007354736,-0.0015594959259033203,0.06980228424072266,0.0013806819915771484,-0.1003870964050293
