step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_lr1e-6-actor/lr_step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-actor/lr_step
41,,,5.678453028978686e-06
42,,,5.949376262564484e-06
43,,,5.761543238678095e-06
44,,,5.433548289370892e-06
45,,,5.57243115392711e-06
46,,,5.595568134206665e-06
47,,,5.4109888058708976e-06
48,,,5.083047999963169e-06
49,,,5.2491636270187134e-06
50,,,4.8350899778321676e-06
51,,,5.029001525469094e-06
52,,,4.658753785119163e-06
53,,,4.670862477156209e-06
54,,,4.580237441523346e-06
55,,,4.8349485196443104e-06
56,,,4.702395968042218e-06
57,,,4.7181311828627145e-06
58,,,4.470344824222553e-06
59,,,4.309319862493072e-06
60,,,4.214428987436518e-06
61,,,4.5322083905404466e-06
62,,,4.3743979412384415e-06
63,,,4.161848701291287e-06
64,,,3.9311145115613475e-06
65,,,4.148706523039918e-06
66,,,3.922724335226933e-06
67,,,3.7796165862439248e-06
68,,,3.85190164575687e-06
69,,,3.4249830173268124e-06
70,,,3.531006118575097e-06
71,,,3.589026950267419e-06
72,,,3.7771591803135836e-06
73,,,3.856678406710314e-06
74,,,3.6139355865004452e-06
75,,,3.414044840548584e-06
76,,,3.467053024092252e-06
77,,,3.662933316045082e-06
78,,,3.3219945838782297e-06
79,,,3.426952578524861e-06
80,,,3.267809020184658e-06
81,,,3.179073751635188e-06
82,,,3.184361169234558e-06
83,,,3.2271089793217354e-06
84,,,3.1959603967948162e-06
85,,,3.0254658239651054e-06
86,,,3.0498093052872778e-06
87,,,2.812614357210417e-06
88,,,2.8765292196940183e-06
89,,,2.8165646399652245e-06
90,,,2.834180951641137e-06
91,,,2.68449620129561e-06
92,,,2.779120876452552e-06
93,,,2.690837043552947e-06
94,,,2.750319558692039e-06
95,,,2.8177024945118286e-06
96,,,2.5326833000292738e-06
97,,,2.5342499028638315e-06
98,,,2.757852749667395e-06
99,,,2.7098083686136387e-06
100,,,2.615705433271934e-06
101,,,2.5715733999882548e-06
102,,,2.538157749986845e-06
103,,,2.553254170304822e-06
104,,,2.3407674141222364e-06
105,,,2.5769139357647866e-06
106,,,2.3984757582325427e-06
107,,,2.4139438210540825e-06
108,,,2.389089250788202e-06
109,,,2.358220311945828e-06
110,,,2.2338468235165463e-06
111,,,2.3672089921117816e-06
112,,,2.311653192359051e-06
113,,,2.18589280226978e-06
114,,,2.2585264298617587e-06
115,,,2.2030751250699963e-06
116,,,2.1099541012392855e-06
117,,,2.1806863753637748e-06
118,,,2.000463381991767e-06
119,,,2.116495992241358e-06
120,,,2.0433884822355227e-06
121,,,2.0044940394316553e-06
122,,,2.0079809871715935e-06
123,,,1.945463359031524e-06
124,,,1.939019323667463e-06
125,,,1.8871849909745054e-06
126,,,1.8795821547322825e-06
127,,,1.956235242574532e-06
128,,,1.8260487608464079e-06
129,,,1.7663444377583296e-06
130,,,1.8056086923474875e-06
131,,,1.7697376511063351e-06
132,,,1.8430013736408107e-06
133,,,1.717146856684506e-06
134,,,1.7137501179048614e-06
135,,,1.6984579801081127e-06
136,,,1.745590220759851e-06
137,,,1.7887411687897119e-06
138,,,1.574377016168709e-06
139,,,1.6107697177805456e-06
140,,,1.7192133862118824e-06
141,,,1.7187217704358155e-06
142,,,1.6317233620902817e-06
143,,,1.5893670110760778e-06
144,,,1.6280248381613992e-06
145,,,1.6797516860862655e-06
146,,,1.6049132676080763e-06
147,,,1.6869273102663883e-06
148,,,1.650631364237518e-06
149,,,1.5509227734162273e-06
150,,,1.5134527070409541e-06
151,,,1.5666044095037027e-06
152,,,1.6143867773050578e-06
153,,,1.5274767812859464e-06
154,,,1.5329431533174213e-06
155,,,1.538252627226392e-06
156,,,1.5753227882861828e-06
157,,,1.5210537575227034e-06
158,,,1.5625182621253425e-06
159,,,1.51370583578553e-06
160,,,1.611819601482098e-06
161,,,1.5199647068698198e-06
162,,,1.4989076114361122e-06
163,,,1.5530423857678336e-06
164,,,1.5134552367343202e-06
165,,,1.5118590109109776e-06
166,,,1.528394332886031e-06
167,,,1.4520904997973697e-06
168,,,1.5216257832205873e-06
169,,,1.471865057237621e-06
170,,,1.4084986480008162e-06
171,,,1.4525599274770922e-06
172,,,1.4402729760409939e-06
173,,,1.4486871992340704e-06
174,,,1.4243775914970355e-06
175,,,1.3667334097710038e-06
176,,,1.4701502980826228e-06
177,,,1.4358816996639011e-06
178,,,1.4388794323846582e-06
179,,,1.4353383560006048e-06
180,,,1.384767181862998e-06
181,,,1.3466236096896525e-06
182,,,1.4670941509583162e-06
183,,,1.3894488677842292e-06
184,,,1.3678369625610868e-06
185,,,1.384328706976812e-06
186,,,1.4402017086377045e-06
187,,,1.4042400257923545e-06
188,,,1.4547830465638757e-06
189,,,1.4355115214006134e-06
190,,,1.3496757450329214e-06
191,,,1.4391764003427441e-06
192,,,1.3776592165161059e-06
193,,,1.3517662904402287e-06
194,,,1.3584701617592908e-06
195,,,1.3526082385487626e-06
196,,,1.4044977713776585e-06
197,,,1.3966890000981368e-06
198,,,1.3615954730817647e-06
199,,,1.3993400610246216e-06
200,,,1.2952545659971746e-06
201,,,1.393737322460414e-06
202,,,1.300975851595161e-06
203,,,1.4180531148852553e-06
204,,,1.4262375101149484e-06
205,,,1.4169464697446617e-06
206,,,1.4309859659777235e-06
207,,,1.3697801248837886e-06
208,,,1.3664921279633129e-06
209,,,1.4058258688122338e-06
210,,,1.4098040482568053e-06
211,,,1.332153981351935e-06
212,,,1.378892202547399e-06
213,,,1.3813291959281822e-06
214,,,1.3018353575792871e-06
215,,,1.3036890842797255e-06
216,,,1.3439408625528158e-06
217,,,1.3320260055784463e-06
218,,,1.3109830133903616e-06
219,,,1.3772120886518765e-06
220,,,1.298131996270911e-06
221,,,1.3189981322541243e-06
222,,,1.3321970363602249e-06
223,,,1.310427270112377e-06
224,,,1.3131661070493216e-06
225,,,1.3337368891518325e-06
226,,,1.3636864674056808e-06
227,,,1.335661948536352e-06
228,,,1.287160098540778e-06
229,,,1.3332783375034106e-06
230,,,1.326934361011734e-06
231,,,1.311372019536781e-06
232,,,1.3733232912095665e-06
233,,,1.3622860013320829e-06
234,,,1.2805266292456842e-06
235,,,1.3816269347277594e-06
236,,,1.3337898237542958e-06
237,,,1.2685707074597654e-06
238,,,1.2986567425885032e-06
239,,,1.350691427150405e-06
240,,,1.36844210196834e-06
241,,,1.312212534715171e-06
242,,,1.295849213738564e-06
243,,,1.2790427973551568e-06
244,,,1.342451206860682e-06
245,,,1.2894784454584891e-06
246,,,1.2988472422207709e-06
247,,,1.2960034638859672e-06
248,,,1.2772241200675503e-06
249,,,1.268970181195823e-06
250,,,1.343290038555246e-06
251,,,1.3118703660295726e-06
252,,,1.2129533615491075e-06
253,,,1.3021539701706135e-06
254,,,1.3053472744783904e-06
255,,,1.2867913458121957e-06
256,,,1.2891254088982445e-06
257,,,1.254125595376384e-06
258,,,1.2934623785257952e-06
259,,,1.2501991943141272e-06
260,,,1.279333766051669e-06
261,,,1.311904794169613e-06
262,,,1.276916779159412e-06
263,,,1.2200692387033535e-06
264,,,1.270757001488123e-06
265,,,1.2553176050336269e-06
266,,,1.2565429508032383e-06
267,,,1.3096527801776981e-06
268,,,1.2469835395403433e-06
269,,,1.290387987228576e-06
270,,,1.3184083548070523e-06
271,,,1.2410999235479002e-06
272,,,1.3054753701475598e-06
273,,,1.2703356097740456e-06
274,,,1.276323532809544e-06
275,,,1.3235499036780609e-06
276,,,1.2596364301178638e-06
277,,,1.2706949320362568e-06
278,,,1.3014205059858594e-06
279,,,1.274837010606059e-06
280,,,1.2499656644996697e-06
281,,,1.3346444305225392e-06
282,,,1.3088799892862908e-06
283,,,1.2635554520994919e-06
284,,,1.2273283012498016e-06
285,,,1.1898918398375815e-06
286,,,1.2418582972089746e-06
287,,,1.2365052751864414e-06
288,,,1.2585391705245064e-06
289,,,1.2539141276981238e-06
290,,,1.2338375496277824e-06
291,,,1.2257315879165971e-06
292,,,1.2411083458534098e-06
293,,,1.2686445496993012e-06
294,,,1.3058664293071572e-06
295,,,1.2694022246024379e-06
296,,,1.262867322482692e-06
297,,,1.2410394496026376e-06
298,,,1.2677070202624953e-06
299,,,1.2334143811881185e-06
300,,,1.2350777651627624e-06
