step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-rollout_corr/k3_kl_step
1,0.000440831392345651,0.0004401976756494621
2,0.0004432632502397135,0.000444323185507124
3,0.0004470351231357999,0.00044696880322190225
4,0.0004679412682720753,0.00045993397665477137
5,0.0004839403673622065,0.0004877360787759244
6,0.0004875712336707906,0.000527874040283389
7,0.0005595672724475183,0.0005020470360154592
8,0.0005055423030821007,0.0004917454619999262
9,0.0005226453711472104,0.00048515582940516263
10,0.0005239644711638966,0.0004921194071217682
11,0.0005567896322234799,0.000556136951123837
12,0.0005850848127010976,0.0005221545008466551
13,0.0005868598679269001,0.0005445450677848848
14,0.0005955183383490542,0.0005093775774763675
15,0.0005568206778813571,0.0004972666760988345
16,0.0005835054285537057,0.0005044596289780002
17,0.0005305271102687666,0.0005548882707444136
18,0.0005864095423930848,0.0005298300843845171
19,0.0005026442684336669,0.0005970808374513581
20,0.000602944136733727,0.000598807157803094
21,0.0005088706401203615,0.0006505834842659839
22,0.0005626577727432447,0.000644815449492386
23,0.0004854398318080134,0.0005163685996912566
24,0.0005237248326585885,0.0005828918713935612
25,0.0004947698530725718,0.0004973214764552388
26,0.000478235005086789,0.0005010235911054462
27,0.0004559818355898772,0.0005044844332587672
28,0.0005062093352448539,0.0005074095225166111
29,0.0004593432358455002,0.0004522822208132428
30,0.0005027018622578387,0.0004608213338786566
31,0.0004976461347853599,0.00047973400987324393
32,0.0005341765082405237,0.00042810436355276304
33,0.0005034242408111737,0.00044965637118279814
34,0.0005013783520120169,0.0004362302119521441
35,0.00046999251753732096,0.0004475011869328141
36,0.0005150456828380621,0.0004355886883913204
37,0.0004819064746698131,0.0004951865889563038
38,0.0004720792640000582,0.00045489218427974265
39,0.00048476614363874144,0.0004889771617811112
40,0.0004802428246386206,0.0004428488034136535
41,0.00047218404045163814,0.0004705459951521068
42,0.0004722833233498996,0.00047155161332739225
43,0.0005053266497105307,0.0004929829808200494
44,0.0004391623502410117,0.0004909040975235256
45,0.00048499692308144984,0.0005383847296581648
46,0.0004490064117218447,0.000493389440998726
47,0.0004664450301334,0.0005253923199234123
48,0.0004483699921365769,0.0005070525129177929
49,0.000494464874464029,0.000428905076726706
50,0.0004578238975610523,0.0005209558189108066
51,0.0004533150667109447,0.00045480106317159085
52,0.0004435313652912124,0.0004828097594976758
53,0.00049365758931321,0.00046001531336514745
54,0.000435877390817379,0.0005168926478030958
55,0.00045356108337106955,0.0004888173277885514
56,0.0004562516292242522,0.0005008148078732553
57,0.0004406650751709668,0.0004584310433074279
