step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-rollout_corr/ppl_ratio_step
270,1.000489924709464,1.000706876211978
271,1.0005477866114572,1.0007228781282902
272,1.0005140204069227,1.000769879824171
273,1.0005544418735162,1.0007352593044438
274,1.0004928477628288,1.0008278732808928
275,1.00053188780492,1.0007572177176676
276,1.000486653652929,1.0007590504052737
277,1.000494025139646,1.0007239632308484
278,1.0005471505397974,1.0007315468974411
279,1.000499492374862,1.0007472891981402
280,1.000555980103937,1.0007416424798032
281,1.000548360780591,1.0007593332168958
282,1.000523196851335,1.0007772808894515
283,1.0004933648639256,1.000744725614786
284,1.000512971941914,1.0007526083868377
285,1.0004717299714685,1.0007474855519831
286,1.000508499145508,1.0007894122600556
287,1.0005166770683394,1.0007422958314418
288,1.0004969159277473,1.0008025601506234
289,1.000481777739796,1.0008392369747163
290,1.0004720576107502,1.000826266758582
291,1.0004994929876438,1.000707261711359
292,1.000505531706461,1.0006796458363532
293,1.0005434425764306,1.0006344996392729
294,1.0005050091895946,1.000661912709475
295,1.0005269136279822,1.0007353975456588
296,1.0005233347077265,1.0006500114500525
297,1.0004850819706916,1.0007028391256052
298,1.0004811505121844,1.0007687408257937
299,1.0005086431545869,1.0007304020226
300,1.0004847063259643,1.0007423425421993
