step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-rollout_corr/log_ppl_abs_diff_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-rollout_corr/log_ppl_abs_diff_step
1,0.0004985856191565703,0.0004955230689255973
2,0.0004905591705486902,0.0005025071585098178
3,0.0004887093036614005,0.0005044568055442082
4,0.0005283144157020128,0.0005256944949745528
5,0.0005476243702589698,0.0005573374879531911
6,0.0005552634443176184,0.0006004269378525173
7,0.0006162413625421131,0.0005710049615931654
8,0.0005881673043895428,0.0005842264195621283
9,0.0006234575316662134,0.0005871752090180442
10,0.000609021065272451,0.0005974286495634611
11,0.0006246635811616979,0.0006399118667167354
12,0.0006650750194845993,0.0006463178591123627
13,0.0006901937553526036,0.0006333218699015857
14,0.0007032823267960054,0.0006489914023652752
15,0.000692223536475467,0.0006485918007196492
16,0.0007294813813527783,0.0006678772023871894
17,0.0006611863410729381,0.0007085465798354562
18,0.0006933083991725653,0.0006987686004465918
19,0.0006485216102090716,0.0007659544588932476
20,0.000729740741181082,0.0007349767339292156
21,0.0006532355270255953,0.0008101253129816063
22,0.0007089473649382573,0.0008183475255390402
23,0.0005986572239679645,0.0006746288773731641
24,0.000678739338438486,0.0007651635738612742
25,0.0006320945268079844,0.000668223269377976
26,0.0006439928143308639,0.0006599440918858147
27,0.0006339550760631461,0.0006344652125676476
28,0.0006619679936972847,0.0006785749077467839
29,0.000631731178189165,0.0006330304741613172
30,0.0006472604430936848,0.0006142669800039318
31,0.0006521654524823091,0.0006255707905351994
32,0.0006639797167649487,0.0005769375561084057
33,0.0006650889960534794,0.0006111297094927673
34,0.0006380311257695819,0.0005580079667284043
35,0.000610599094649106,0.0005899021398363402
36,0.0006752994661303811,0.0005620600199912334
37,0.0006013303928284585,0.000632612917061557
38,0.0006689993760071382,0.0006019610093636928
39,0.0006288525206267567,0.0006256470991762139
40,0.0006337547470955029,0.0005990198134668389
41,0.0006261137463652853,0.0006081880185597472
42,0.0006070041113267761,0.0006381919028740412
43,0.0006382751309336693,0.0006686190828054904
44,0.0005621224789441234,0.0006179210744448938
45,0.000622498906357743,0.0007011123870186218
46,0.0006070022071559456,0.0006646973542046908
47,0.0005844913272994745,0.0007017860386781649
48,0.0005984061664776163,0.0006275010032018494
49,0.0006532627392289214,0.0005777022811011326
50,0.0006032528177743906,0.0006814037868934974
51,0.0006277860691050975,0.00060930408210716
52,0.0005959979691014222,0.0006568867413859282
