step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-rollout_corr/log_ppl_diff_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-rollout_corr/log_ppl_diff_step
1,0.00044267524844020625,0.0004337525815624277
2,0.0004387965183290678,0.0004517875996296223
3,0.00043227578838583554,0.0004613582532878714
4,0.00047312305558577013,0.00045694410877572143
5,0.00047572576645861416,0.0004910671335608185
6,0.00048752875893204664,0.0005348979295623705
7,0.0005344997015696077,0.0005080715889586205
8,0.0004994829958572414,0.0004738432040731766
9,0.0005175258278448659,0.000473559385231478
10,0.0005142650113572832,0.0004898927710847818
11,0.0005328070204585299,0.0005452200421759385
12,0.0005750062213223828,0.0005405896456834977
13,0.0006022167674797986,0.0005062105699197771
14,0.0005870882878298289,0.0005114078078285254
15,0.0005735967307813894,0.000524934634171359
16,0.0006088992660866295,0.0005167927767127744
17,0.000531874666809141,0.0005361401943758891
18,0.0005281320648684584,0.0005260260518926579
19,0.0005006655652216018,0.0006045336046049954
20,0.000569508422962545,0.0005733206393927048
21,0.0005066495031891841,0.000655041071127016
22,0.0005671867026972694,0.0006369049797500781
23,0.0004542358245438796,0.0005327103913080128
24,0.0005132967252038904,0.0005977658964876219
25,0.0004920518517373669,0.0005222624819285365
26,0.000501480672589767,0.0004941384698277272
27,0.0005064495179242711,0.0004760344637873004
28,0.0005169135748254966,0.0005387682582714057
29,0.00049543036398212,0.0004638525703087045
30,0.00048077533380665367,0.0004772101906671436
31,0.0005044785502832383,0.00046385517594585294
32,0.000524954724380136,0.00042906060297867913
33,0.0005393954235897592,0.0004666970897752825
34,0.0004684079827749581,0.0004174753681322077
35,0.0004647381134537638,0.0004439826952618443
36,0.0005567392381933164,0.00039678130602217
37,0.00045551014690090594,0.0004906410690926424
38,0.0004911589841694159,0.0004389817924284875
39,0.0004841341475738074,0.0004709538947724111
40,0.0004741649696044101,0.0004330962561329698
41,0.000470493005120882,0.00046595706179210184
42,0.0004641920953175952,0.0004934303456842315
43,0.0004730468365892193,0.0005091828088871451
44,0.0004280423804995539,0.00046192424011337607
45,0.000484717516620169,0.0005786510370875302
46,0.0004507992081909568,0.0005139359403433907
47,0.0004315072114337681,0.0005393841735843452
48,0.00046152694240504384,0.00048196150111214694
49,0.0005000248018692589,0.0004170140221569133
50,0.0004486780254189015,0.0005481972526212075
51,0.0004887361007565447,0.0004440472878840387
52,0.00043869055422730624,0.0005059443649721679
53,0.0005139689726882888,0.000458565614724904
54,0.00043859103850285314,0.0005486618050554171
55,0.000443560936268912,0.0004798050198143669
56,0.0004857690154022096,0.0005178725786360399
57,0.0004166273349310389,0.0004595621475687039
58,0.0004261659104515946,0.0005235027980362523
59,0.0004155304978190716,0.0004881134093466244
60,0.0004557962092154152,0.0005112894307398533
61,0.0004623436550815541,0.0005108743591997402
62,0.0004715393579839951,0.0005246261095422629
63,0.0004547352879037111,0.00048650289430170125
64,0.0004550271976088519,0.0005017534052784028
65,0.0004444931072107931,0.0004325470388613301
66,0.0004313973564679049,0.0005045116090130363
67,0.0004300643004193297,0.0004958491964294453
68,0.00043566430647545254,0.00046022786418868574
69,0.0004055760616054726,0.0005336481711140095
70,0.0004139858510455952,0.000544674009874095
71,0.0004306635454604191,0.0006108831525835967
72,0.0004680123369597623,0.0006000147951013446
73,0.0004241559133043804,0.0006151804537772047
74,0.00044680759662610184,0.0005211248664916358
75,0.0003827321206942476,0.0004568342347038437
76,0.0004220087142229891,0.0004687819069944546
77,0.00044693760712616066,0.0004609035737310646
78,0.0004258605477123941,0.0004998956864721727
79,0.0004550872520023101,0.0005210955365744969
80,0.0004167975750303096,0.0005385748016937424
81,0.0003796818710899843,0.0004949031738035393
82,0.0004224426586724471,0.000479393805458983
83,0.00039358529010669594,0.0005230212208627585
84,0.00044151969612022713,0.0004808270118566326
85,0.00041758477256827913,0.00047336691296157534
86,0.0004917152494670063,0.00047930452787102776
87,0.0004327432336239667,0.00043670244801319313
88,0.0005055354077320828,0.0004502262413403795
89,0.0003748225800589725,0.00048786095259794655
90,0.00043920677689714333,0.0007574627791663007
91,0.00041279775323679,0.0005227125398240181
92,0.000394407978188375,0.0005259075581256588
93,0.000447028953436618,0.0004998786284688301
94,0.0004177652292555866,0.0005410119434604407
95,0.00043720116173281336,0.0004980404548318585
96,0.0004473492424738522,0.00044409220650462345
97,0.00043541699001198574,0.0005040992268203449
98,0.00040884804142089185,0.000571729150459803
99,0.00037397054327538046,0.0004434937890541354
100,0.0003852810418395945,0.0004923397159694925
101,0.000422879200341088,0.0004556902807180027
102,0.0004164159140465191,0.00046006666260771975
103,0.0004879350321032779,0.00051419589937176
104,0.00044679846987040223,0.0005992443989327967
105,0.00048760085048558575,0.0006484552810758859
106,0.0004157610458745156,0.0005242419662078067
107,0.00046338830495849174,0.0005797213416426097
108,0.0004144883015212166,0.000557005778132082
109,0.0003959486734830471,0.0005138175920398864
110,0.00038200223589986615,0.0004940911843396819
111,0.00038466192652971846,0.0005349803284517628
112,0.00035655092827587746,0.0004949708239902931
113,0.0003887717052061076,0.000572901084039824
114,0.00041444213104298235,0.0005481240057517447
115,0.0003945703812611273,0.0005057547754329501
116,0.0004133772159910958,0.0005335895875088102
117,0.0003987262751934395,0.0005260619167329207
118,0.0003775842201958967,0.0005571946888976969
119,0.000421826557864077,0.0005382297848680335
120,0.00039811321577396734,0.0006290944704941484
121,0.00047055595174091047,0.000640809341578505
122,0.0004375743350075416,0.0006688323419655804
123,0.0003748390442654324,0.0006060504426863458
124,0.0004179504045783811,0.0005923763703928368
125,0.0004074523478294622,0.00064272176781898
126,0.0004474016788535773,0.0006391005107053099
127,0.0004417448081156294,0.0005966096272430832
128,0.000452910053281091,0.0007041496183404661
129,0.00041478858802502746,0.0005591248327887806
130,0.0003889736872870551,0.0006362615537330963
131,0.0004378329992212301,0.0006544868826381389
132,0.0004283225385988555,0.0006701057069759289
133,0.0003969868101416112,0.0006122322522721581
134,0.00040732559122873334,0.0006706811554111136
135,0.0004118406947787493,0.0006945509793897346
136,0.0004098074779499762,0.0006754724888470388
137,0.00038807597038504314,0.000709252371512486
138,0.00044176268143587545,0.000565246264267487
139,0.00045316299057134306,0.0006030650565451144
140,0.0004180981851992069,0.0006321691832753954
141,0.0004156590313824581,0.0006425612990117063
142,0.0004370453931378448,0.0005930486848044547
143,0.0004141185103901258,0.0006392883655819808
144,0.00044958121096669854,0.0006087746913000816
145,0.000413629044973618,0.0006475024652714142
146,0.00043527467795050664,0.0006972207253056695
147,0.0004702558491272514,0.0006964000324150751
