step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-rollout_corr/rollout_ppl_step
1,2.0528804436326027,2.055568728638791
2,1.9809870251818844,1.989197713798947
3,2.0397054623444,2.0805509959930903
4,1.9781135182048,1.9690548665383285
5,2.0202312651392704,2.0213508987799287
6,1.9017519246280927,1.9134471912573023
7,1.9029401162345159,1.8953047171235085
8,1.934465307328436,1.9209879396948963
9,1.9173928744206992,1.90888501437647
10,1.7980908304452896,1.8119656515236084
11,1.8062841495679272,1.807240413694546
12,1.7875625088810922,1.779998151110668
13,1.714628366221275,1.6732308523995536
14,1.7576745619960858,1.6784587549892338
15,1.7339533983419335,1.7012360518177352
16,1.731896357367868,1.6876255993436022
17,1.7130205258727074,1.6640011359006168
18,1.6552108831703662,1.6523875927454548
19,1.6581374784310658,1.6654867392033341
20,1.6591739477146241,1.6329175382852554
21,1.6544778304986465,1.6375538181317482
22,1.6035644610722861,1.5249350658945136
23,1.627916428374081,1.5612544444830794
24,1.6355692607007528,1.5434328454236188
25,1.5804551682974162,1.5229806707877862
26,1.5916856145713387,1.5251196128757376
27,1.6064732418883416,1.5295254275202752
28,1.6042361585866836,1.511722662892097
29,1.5804610720702579,1.486734505265187
30,1.5789361801885424,1.4856923189831943
31,1.6006724944426898,1.5073519022691817
32,1.5510759758097783,1.4514834004086117
33,1.579146890767983,1.4498335034364749
34,1.5767124898376919,1.4470960448185601
35,1.5425661546843392,1.414765084073657
36,1.565803037826405,1.4489323108695271
37,1.5053991127759216,1.4349908289455229
38,1.5207542251599462,1.4359578215762188
39,1.5177204183688977,1.4354359653024449
40,1.4843425391576228,1.4082611676305532
41,1.512729079621594,1.444969710780353
42,1.4879652483518733,1.4060882899910212
43,1.4611025418747554,1.392699775535886
44,1.466767471461069,1.3995950050652026
45,1.47836270081726,1.416071567507017
46,1.45234643504387,1.4101056184619665
47,1.426557407155633,1.38690216653049
48,1.436499648541212,1.3928822573178854
49,1.4009014468640089,1.3616383381006196
50,1.415982852248769,1.363261191174388
51,1.3839732726153575,1.337600249892626
52,1.384181357135898,1.325249401231607
53,1.3749573918489308,1.343808912113309
54,1.3946669313103657,1.3520396632098015
55,1.384774121569424,1.3584528849238442
56,1.3874449499306225,1.346784126190912
57,1.3654387330538351,1.3350265137851238
58,1.350510941729659,1.3310628935046818
59,1.3367590645239469,1.3229667754335837
60,1.370387021629583,1.334578518356596
61,1.3540328834205866,1.3222190311009234
62,1.3348657702272004,1.3206223190615052
63,1.3129130550905281,1.298158434884889
64,1.3311952058639789,1.302948991457621
65,1.3095212949392123,1.279897202078889
66,1.300287394539306,1.2627007246017456
67,1.305240783935938,1.274656272879461
68,1.2690801051886458,1.2408121887006258
69,1.2752787217497823,1.248229022324085
70,1.2812946621328591,1.2475109351308724
71,1.297715800628066,1.2573466446250676
72,1.3092860659448111,1.272402810305357
73,1.2826029390096665,1.2409934189758802
74,1.2676889853818076,1.2374319296616774
75,1.27251407291208,1.2427589022799541
76,1.2882823242646892,1.2452628272466169
77,1.2611251104445684,1.22355332331998
78,1.2650475012404578,1.2237995964724844
79,1.254914196829001,1.2293391252557435
80,1.245723980523291,1.214896674721669
81,1.246093681038812,1.2108311422524
82,1.2506014184980856,1.2199061553925277
83,1.2464948143900894,1.2179260803830056
84,1.2327589286785376,1.2024060010910034
85,1.2321456450791586,1.2038462280549789
86,1.216023799404502,1.1946973747440746
87,1.2178936935961246,1.1992074875604537
