step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-rollout_corr/training_ppl_step
1,2.0538264592601494,2.0565013068503344
2,1.9818879318949971,1.9901328990856808
3,2.040642894886352,2.081518877502326
4,1.979087875852751,1.9699825611184625
5,2.0212368754210406,2.022373143583536
6,1.902709219742704,1.9145015563543248
7,1.9039916647107975,1.8962901454222831
8,1.935474116887365,1.921944685978815
9,1.9184450012142371,1.9098361419247731
10,1.7990377750890008,1.8128900522222888
11,1.8072915771795857,1.8082654591778229
12,1.7886301587025324,1.7810107419888181
13,1.7156999127141068,1.6741076272969344
14,1.7587325926504884,1.6793414154513315
15,1.7349777544538179,1.7021631821990009
16,1.7329915933634925,1.6885262233455007
17,1.713966452601281,1.664916108176112
18,1.6561163242906334,1.6532819431863333
19,1.6589931368827822,1.6665196511894464
20,1.6601483935401553,1.6339087586849927
21,1.6553313457048855,1.63865517001403
22,1.6044948204205585,1.5259440021740422
23,1.6286758289831442,1.5621042267272347
24,1.63643356334222,1.5443789358768198
25,1.581252157296005,1.5237896740436554
26,1.5925010875230885,1.525900959968567
27,1.6073068224248432,1.5302789114415645
28,1.605094763494673,1.512556390502514
29,1.5812601578377543,1.487445266583027
30,1.579728890032995,1.486417887050931
31,1.601508497837044,1.5080717723994028
32,1.551912483714876,1.452121247039285
33,1.5800249019549009,1.4505305304413751
34,1.5774736681154795,1.447714514320805
35,1.5432972255207245,1.415409461018585
36,1.5667084233705388,1.449522464774376
37,1.5060965165495874,1.4357072530048234
38,1.5215280169719143,1.4365965308327424
39,1.5184745646831468,1.4361389130353928
40,1.485062008866897,1.4088884726166726
41,1.5134594044307383,1.4456623160257571
42,1.4886674964150717,1.4067964810878038
43,1.4618182426149195,1.3934341316542975
44,1.4674067270188105,1.4002507548779248
45,1.479096844792366,1.4169108945698965
46,1.453019198484537,1.4108492117375135
47,1.4271898925304414,1.3876761127263308
48,1.4371788159012795,1.393562301229208
49,1.4016140326857571,1.362214752086779
50,1.4166313496075178,1.364034414663911
51,1.384670006601434,1.3382088305094304
52,1.384809685772971,1.325934818812779
53,1.375683069611207,1.3444394562393427
54,1.3952948419853701,1.3527938578100431
55,1.3854007590107802,1.3591219761541913
56,1.3881341566642127,1.347499956332502
57,1.366017231031468,1.335653926804662
58,1.3511050655728294,1.331771109091199
59,1.3373208560404324,1.3236267001114108
60,1.3710271141358783,1.3352740229595277
61,1.3546726312488315,1.3229016614231195
62,1.335509479851336,1.321336492503944
63,1.3135262841456816,1.2988034309375855
64,1.3318117654158008,1.3036135798081374
65,1.310114860916749,1.2804577212508133
66,1.3008575796296722,1.2633517842739819
67,1.3058129033217063,1.2753022055073482
68,1.2696485425296582,1.2413943441290605
69,1.2758069459348915,1.2489052403718233
70,1.2818326532840727,1.248202610956995
71,1.2982833091169597,1.2581328768283129
72,1.30991136846019,1.2731774743646382
73,1.2831560339778665,1.241769354986517
74,1.2682688424275033,1.2380876330993114
75,1.2730094581132845,1.2433423109744726
76,1.2888351104608398,1.2458578264101958
77,1.2617000706848644,1.2241275551773252
78,1.2655934812057583,1.2244168887051141
79,1.2554955663425582,1.2299840468026342
80,1.2462483992179234,1.2155571346863725
81,1.2465769887663596,1.211441148959455
82,1.2511360049247742,1.2204996339976788
83,1.2469903474173891,1.2185710977230753
84,1.2333148702194816,1.2029970798641445
85,1.2326638035121418,1.2044265087355266
86,1.2166337311267852,1.195274341674078
87,1.218429447710514,1.1997362268822531
88,1.2143329460173846,1.1954054715377944
89,1.2139047621326011,1.18784143098376
90,1.2040932171401524,1.184466533189596
91,1.2099921514348284,1.1867935072098459
92,1.204399510178455,1.184956271118588
93,1.2071044895707106,1.1905839800141578
94,1.21479352244309,1.191316498177392
95,1.1910237803673134,1.1726642580968991
96,1.1916920127613204,1.1603432402692058
97,1.2078221614162128,1.1850223704132925
98,1.2068148741409892,1.1830256059765816
99,1.1970541653308002,1.1690299993469602
100,1.1936196425840966,1.1686620345202887
101,1.193748432610716,1.1720919674912165
102,1.1918618959330378,1.1702719557852972
103,1.1770040009702956,1.154159251777899
104,1.1926388018406355,1.1617682598531247
105,1.1811424615351778,1.158388555834168
106,1.1807320202616127,1.151320042596622
107,1.1805577870797026,1.1561278381517957
108,1.173777918730463,1.145786044853074
109,1.166488038939099,1.1374879951278367
110,1.1753556636117757,1.1424336458245912
111,1.1737287750556358,1.1476579134662943
112,1.1623832400028524,1.1373988469926324
113,1.1693058058966035,1.1510269340305102
114,1.1627324049671492,1.1432775564136959
115,1.1567155431423868,1.1427514971029469
116,1.1613252052948588,1.1484013758599758
117,1.148719796910882,1.135639594069549
118,1.1555020467537205,1.141453485663344
119,1.1518845253370025,1.1435015062491098
120,1.1483578783544628,1.136567636614754
121,1.1504836802681286,1.1400205870954
122,1.1434453012687815,1.1267485576016565
123,1.1433432652127171,1.1292718965105897
124,1.1392785713753917,1.1291040456957289
125,1.1377608820796017,1.1306186443151431
126,1.1447719594552404,1.1309197775342248
127,1.1341557044535877,1.1259539443999529
128,1.1308838557906271,1.1221159253269437
129,1.132955147042161,1.1267597732089814
130,1.1307426186447795,1.1295254220339386
131,1.137509161162944,1.1292946355586702
132,1.125734004945982,1.1232818988236517
133,1.1256039465467134,1.1230361458252776
134,1.1237449944019318,1.1234797764392126
135,1.1281261132207028,1.1283491257164209
136,1.1310644646485648,1.1302790499546311
137,1.1146694155676025,1.110407273200425
138,1.117441813647747,1.1156066471622106
139,1.1262966517359017,1.1259251025527024
140,1.1256842066844304,1.1209445910697635
