step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-rollout_corr/training_ppl_step
141,1.1185768562846068,1.1130639490154053
142,1.1163525397960958,1.1156216462453206
143,1.1192990490576116,1.1166190463443135
144,1.123354172334075,1.1255745081738993
145,1.1168238434940578,1.1161882406608623
146,1.124094980813208,1.1271475245555242
147,1.1221651573266302,1.120026847658058
148,1.1126436754697706,1.1114718284871845
149,1.109913131085838,1.1069113835692406
150,1.1145471408963203,1.11246741753678
151,1.118413186818361,1.1134218553702036
152,1.1116993520408869,1.1062993375318393
153,1.1131171009889462,1.1098463965410534
154,1.1115947599921907,1.107688831951883
155,1.1158371051637137,1.109956714917313
156,1.1105902729237953,1.1043661717664113
157,1.113389005511999,1.1035593849691478
158,1.111070988381781,1.1034537465734915
159,1.118052206024891,1.1093279333277182
160,1.11096536864837,1.0955182234446208
161,1.10911506769203,1.0929043085678765
162,1.1131403416395187,1.0985475870018655
163,1.1104093343019483,1.0944150669707189
164,1.1101848021859215,1.098517703061754
165,1.1114738824275825,1.1005506848180018
166,1.1051864929142452,1.0958139662231718
167,1.110793229283356,1.1005038445772126
168,1.1058124487483223,1.0923875010675854
169,1.1023570835590362,1.0908876221354415
170,1.105420355285917,1.0935226688566415
171,1.1044260288884,1.0897888016441597
172,1.104516890238632,1.094032193885909
173,1.1031597420573234,1.0954060266641052
174,1.0986134867583002,1.0899089176369752
175,1.1062112399717656,1.0954816695716647
176,1.103329838412564,1.09251685034145
177,1.1051495425403115,1.0924928046085618
178,1.1039310764860024,1.0954187817043728
179,1.100036350744111,1.087780307301066
180,1.0978351887315512,1.087411650944324
181,1.1063742008060218,1.0913567860921225
182,1.1008255627266197,1.0854276451799605
183,1.0990495085716248,1.085566808892922
184,1.100070206493866,1.087322110576289
185,1.103724291411842,1.0894789661873472
186,1.1020994033664464,1.086323457104819
187,1.1058484237641095,1.0946008979596875
188,1.1046567918224768,1.0926212328283684
189,1.097664376454694,1.084039043797099
190,1.1048066090969813,1.089091619186931
191,1.0992156866599214,1.0890335301342218
192,1.0984561914621396,1.0856463525030349
193,1.0975797261510576,1.0839796178042889
194,1.0972135649486021,1.0858405721576316
195,1.1020677460402977,1.0880318883467803
196,1.1012763595435675,1.0865825387564572
197,1.0989275559782985,1.080539232627912
198,1.1009779250757261,1.088464519855651
199,1.0937753954813594,1.0805356197578964
200,1.100893745464938,1.0843404132959455
201,1.0941200318724609,1.0819969051940874
202,1.1036642085422168,1.0860726782544092
203,1.104314569292999,1.088179680772803
204,1.102683098140088,1.087456971068274
205,1.102788665309185,1.0878312352630828
206,1.0998403920633038,1.084001771767031
207,1.0988573999631974,1.0836110883815722
208,1.1011069366200403,1.0879587726460564
209,1.1023741042198134,1.0880342837084425
210,1.0964468253983393,1.0835909674996915
211,1.099026166075884,1.0857751429080964
212,1.0995448079137575,1.0864713903930452
213,1.0936447503891855,1.0845440240657849
214,1.0938875605893688,1.0854460645629012
215,1.096576667413479,1.084716559811072
216,1.0969640198277264,1.0852574050426482
217,1.0947497288386026,1.0865724944406083
218,1.0998029309240254,1.0882547221919323
219,1.0933514226760184,1.08454106197409
220,1.095308112601439,1.0860954105206158
221,1.0967321637130918,1.085460107694281
222,1.0945662436160175,1.083767408505082
223,1.0956227970974786,1.08486282631107
224,1.0958994841430243,1.0807909884530569
225,1.0983286828479986,1.0891428557427032
226,1.0958322112758956,1.0879403595691142
227,1.093273796850727,1.08378989663389
228,1.095555820090826,1.0893687401776728
229,1.0953333784233439,1.08288615817825
230,1.0945956534809536,1.0860589636223656
231,1.0997382232616113,1.08983974562337
232,1.098245407370004,1.0900710029527545
233,1.0930396599131962,1.0817609102181764
234,1.0995841498176255,1.0863181576132774
235,1.096008842074594,1.0856499450074302
236,1.0916015898309104,1.079789015262023
237,1.0935964935592244,1.0843319760068604
238,1.0975170488967452,1.083796002281209
239,1.0992897511883215,1.0900074587184556
240,1.0947595358621784,1.083771614924721
241,1.093712952247886,1.0833124335234363
242,1.0922233344510546,1.0814580243566765
243,1.097166483713822,1.0887045795097947
244,1.0934458992830138,1.0823269107419513
245,1.0942417171805403,1.0871179202198982
246,1.092739920814832,1.0870165553689004
247,1.0918482336260025,1.0837784158065915
248,1.091988532670907,1.0851523267186205
249,1.0965370190414514,1.0859317013195584
250,1.0945874669335105,1.0847106474511168
251,1.0874414047816905,1.0760759643238522
252,1.0936652913012288,1.085028120449611
253,1.0940665148553397,1.0821398012340069
254,1.0925058551677842,1.0825477047099008
255,1.0927842779214991,1.0798420227236218
256,1.0901930328635945,1.0802697467928133
257,1.0928188115358353,1.0820456671973933
258,1.0897076062503317,1.0771076565093185
259,1.0926934211719326,1.0806019085904826
260,1.095124969879786,1.0814644790564976
261,1.092470714024135,1.083054037143787
262,1.087626117606496,1.077126105936865
263,1.0917403376764725,1.0791803657387693
264,1.0901605890291493,1.07918019592762
265,1.0903507237407295,1.0829885946586728
266,1.0938606163994833,1.083109884541862
267,1.0897366181015968,1.081172123875307
268,1.0932855695486068,1.0787080927027597
269,1.095375904586257,1.0830340838950612
270,1.0892096844523451,1.0797313470789724
271,1.094825987205949,1.0828190648555756
272,1.0916563917038054,1.0812367908656595
273,1.0918273570991697,1.0810372040917475
274,1.0958954147821247,1.0836270392561953
275,1.0904159329154277,1.0803687457616131
276,1.0913716987484978,1.0815561000878613
277,1.0935861437835477,1.0876028180122377
278,1.0921025972726732,1.080781111183266
279,1.089895716891056,1.080000004110237
280,1.096734632145275,1.085619248011533
281,1.0947167632125672,1.0813677885259192
282,1.0915658564829247,1.0782715606813629
283,1.0885529471768274,1.0787617662549018
284,1.0861792220246225,1.0762231459422986
285,1.0902954760938883,1.0781421695525446
286,1.0898154517014822,1.0782161176204683
287,1.0906735297706391,1.079346231222153
288,1.09053457437492,1.079450379908085
289,1.0886634307151493,1.0784150508046149
290,1.0889999260279266,1.0755033905015272
291,1.0899907243113185,1.0753836700320245
292,1.0915828877832832,1.0757701647281646
293,1.0941767637119737,1.0775567537546158
294,1.0921956740839536,1.074709360897541
295,1.0914223302155734,1.0764512550465914
296,1.0894058157097208,1.0733436954021454
297,1.091345301270485,1.0750074570669848
298,1.0893245963823226,1.0749812161221222
299,1.0885978731371109,1.0733561599254609
300,1.085418145426295,1.0719171473208595
