step,deepseek1.5b_sync_8gpu_entadapt_initial_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_entadapt_lr1e-5-response_length/mean_step
172,2864.12890625,3086.5556640625
173,2719.3115234375,2953.5595703125
174,2802.3818359375,3109.705078125
175,2730.8671875,2981.28515625
176,2756.0087890625,2960.08984375
177,2652.166015625,2866.171875
178,2944.3603515625,3037.0791015625
179,2820.1474609375,2912.9326171875
180,2597.2744140625,2821.3798828125
181,2704.337890625,2936.8125
182,2840.1337890625,3060.8154296875
183,2813.01171875,2944.705078125
184,2715.94140625,2822.3955078125
185,2781.24609375,2887.75390625
186,2643.7021484375,2888.2236328125
187,2713.1083984375,2971.087890625
188,2893.0361328125,3117.6064453125
189,2806.9306640625,3053.482421875
190,2856.0615234375,3055.4921875
191,2914.490234375,3104.318359375
192,2855.1806640625,3034.0419921875
193,2830.439453125,3030.4921875
194,2880.314453125,3060.99609375
195,2795.9921875,2921.37890625
196,2758.8896484375,2919.904296875
197,2673.80859375,2859.4404296875
198,2936.248046875,3028.990234375
199,2752.9814453125,2840.2021484375
200,2834.6455078125,2849.2587890625
201,2909.3603515625,2950.78515625
202,2919.4248046875,2950.478515625
203,2795.04296875,2946.654296875
204,2890.3369140625,3011.65625
205,2785.3837890625,3003.01953125
206,2812.7587890625,2929.8388671875
207,2759.7490234375,2902.009765625
208,2868.96484375,3058.251953125
209,2857.62890625,2970.662109375
210,2991.603515625,3114.0927734375
211,2893.44921875,3081.0263671875
212,2854.4609375,3074.734375
213,2925.0615234375,3127.888671875
214,2883.2060546875,3101.37890625
215,2733.65234375,2960.0546875
216,2729.9306640625,3022.013671875
217,2808.33984375,3090.4052734375
218,2967.498046875,3124.8046875
219,2823.0546875,3125.412109375
220,2854.7392578125,3108.8896484375
221,2831.7958984375,3139.189453125
222,2906.49609375,3233.587890625
223,2831.7919921875,3075.4287109375
224,2696.32421875,3045.435546875
225,2899.146484375,3114.7783203125
226,2870.0556640625,3167.8310546875
227,2799.5234375,3068.8125
228,2842.0673828125,3171.546875
229,2930.8525390625,3274.873046875
230,3018.5419921875,3270.3291015625
231,2866.845703125,3173.8857421875
232,2943.6806640625,3224.4970703125
233,2869.087890625,3110.6806640625
234,2835.220703125,3073.103515625
235,2860.8125,3099.5068359375
236,2742.1201171875,3105.443359375
237,2835.37890625,3136.328125
238,2888.2626953125,3166.0703125
239,2944.1005859375,3309.345703125
240,2788.740234375,3140.4072265625
241,2858.7294921875,3203.4619140625
242,2866.2080078125,3146.369140625
243,2882.62890625,3309.5048828125
244,2698.3271484375,3104.6611328125
245,2892.2626953125,3322.2421875
246,3013.6396484375,3369.4150390625
247,2827.962890625,3256.5966796875
248,2823.537109375,3168.1904296875
249,2878.6875,3322.095703125
250,2963.3330078125,3221.43359375
251,2813.7041015625,3172.375
252,2943.119140625,3350.701171875
253,2823.4951171875,3262.6748046875
254,2719.986328125,3037.6494140625
255,2794.3388671875,3103.3251953125
256,2825.166015625,3206.201171875
257,2832.615234375,3161.68359375
258,2817.7060546875,3157.56640625
259,2804.93359375,3175.9775390625
260,2831.462890625,3191.2568359375
261,2829.3056640625,3269.8115234375
262,2838.345703125,3244.3984375
263,2986.3408203125,3313.7138671875
264,2770.2060546875,3327.03125
265,2914.8046875,3310.5107421875
266,2883.677734375,3317.693359375
267,2840.46875,3084.86328125
268,2682.962890625,3049.099609375
269,2785.53515625,3120.22265625
270,2862.912109375,3210.0732421875
271,2900.119140625,3373.5390625
272,2863.1591796875,3305.7646484375
273,2813.97265625,3237.4345703125
274,2856.904296875,3311.361328125
275,2844.6259765625,3349.3486328125
276,2830.4013671875,3255.826171875
277,2967.05078125,3388.0263671875
278,2834.8896484375,3330.107421875
279,2785.05078125,3243.0517578125
280,2882.666015625,3465.5458984375
281,2803.8935546875,3312.712890625
282,2772.1513671875,3191.666015625
283,3060.5791015625,3385.2001953125
284,2891.1728515625,3309.9248046875
285,2687.96875,3144.8173828125
286,3085.7421875,3429.697265625
287,3012.6416015625,3461.4052734375
288,2797.3466796875,3446.4814453125
289,2995.49609375,3475.1904296875
290,2862.8193359375,3468.9521484375
291,2873.3837890625,3425.353515625
292,2819.7958984375,3452.0263671875
293,2849.0068359375,3403.806640625
294,2891.3447265625,3492.9423828125
295,2722.9736328125,3337.0048828125
296,2896.412109375,3493.0341796875
297,3069.2021484375,3503.140625
298,2856.580078125,3474.208984375
299,2833.990234375,3425.5673828125
300,2896.3271484375,3505.287109375
