step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-critic/score/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-critic/score/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-critic/score/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-critic/score/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-critic/score/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-critic/score/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-critic/score/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-critic/score/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-critic/score/mean_step
30,-0.13567852973937988,-0.2385716438293457,-0.08010244369506836,-0.2537238597869873,-0.3180868625640869,-0.3276488780975342,-0.2726571559906006,-0.28412437438964844,-0.14165377616882324
31,-0.16699004173278809,-0.35119032859802246,-0.19217395782470703,-0.3488585948944092,-0.3056020736694336,-0.3293743133544922,-0.29700469970703125,-0.33139801025390625,-0.2255308628082275
32,-0.013044118881225586,-0.2843775749206543,-0.13409781455993652,-0.31972622871398926,-0.21493029594421387,-0.2539961338043213,-0.3619463443756103,-0.3794705867767334,-0.3010520935058594
33,-0.15221905708312988,-0.2835683822631836,-0.12987995147705078,-0.22800850868225095,-0.3181173801422119,-0.31133055686950684,-0.3620564937591553,-0.33460044860839844,-0.2015440464019775
34,-0.16257119178771973,-0.23599600791931152,-0.09909701347351074,-0.25203800201416016,-0.2999544143676758,-0.3511486053466797,-0.32470035552978516,-0.3093526363372803,-0.13446903228759766
35,-0.12187337875366212,-0.3725464344024658,-0.2040956020355225,-0.3538951873779297,-0.33658766746520996,-0.303865909576416,-0.3143172264099121,-0.26323914527893066,-0.13379573822021484
36,-0.05614018440246582,-0.2609715461730957,-0.08639979362487793,-0.23290443420410156,-0.3026752471923828,-0.30804991722106934,-0.29878711700439453,-0.2886502742767334,-0.1830575466156006
37,-0.08881926536560059,-0.24345111846923828,-0.15677952766418457,-0.20471930503845215,-0.291745662689209,-0.3551445007324219,-0.2931075096130371,-0.29280924797058105,-0.09905743598937988
38,-0.057787179946899414,-0.17522549629211426,-0.011112689971923828,-0.2114431858062744,-0.24522638320922852,-0.2832670211791992,-0.2121443748474121,-0.22639942169189453,-0.04854941368103027
39,-0.038372039794921875,-0.25884556770324707,-0.128448486328125,-0.27414536476135254,-0.24873065948486328,-0.29973816871643066,-0.3032841682434082,-0.319652795791626,-0.12356948852539062
40,-0.13495278358459473,-0.14169931411743164,-0.01353311538696289,-0.16901445388793945,-0.30406832695007324,-0.3368368148803711,-0.15603899955749512,-0.1789722442626953,-0.0940866470336914
41,-0.15762042999267578,-0.21322917938232425,-0.02847075462341309,-0.2222800254821777,-0.3405296802520752,-0.3676187992095947,-0.28911519050598145,-0.2615776062011719,-0.16052889823913574
42,-0.08952450752258301,-0.14733147621154785,-0.08037090301513672,-0.15617036819458008,-0.275043249130249,-0.33591151237487793,-0.2606539726257324,-0.2514362335205078,-0.10684537887573242
43,0.006022214889526367,-0.17888355255126953,-0.0259091854095459,-0.17265558242797852,-0.1593174934387207,-0.23432064056396484,-0.18499326705932617,-0.16121292114257812,-0.08552193641662598
44,-0.058596134185791016,-0.2531883716583252,-0.1638166904449463,-0.2593696117401123,-0.21503114700317383,-0.2873237133026123,-0.18072938919067383,-0.23499107360839844,-0.10857295989990234
45,-0.07140326499938965,-0.1318349838256836,-0.0061228275299072266,-0.16489458084106445,-0.21961569786071777,-0.2176532745361328,-0.29427075386047363,-0.29272985458374023,-0.1767747402191162
46,-0.019313335418701172,-0.1892831325531006,-0.06838631629943848,-0.19405031204223633,-0.13188576698303223,-0.20415759086608887,-0.21865224838256836,-0.19114303588867188,-0.14148592948913574
47,-0.0289304256439209,-0.17783522605895996,-0.09102129936218262,-0.18574023246765137,-0.17973613739013672,-0.22732043266296387,-0.16458702087402344,-0.16585063934326172,-0.08175230026245117
48,-0.11135697364807128,-0.14921188354492188,-0.11728286743164062,-0.1731104850769043,-0.1807119846343994,-0.21239542961120603,-0.13724708557128906,-0.1177980899810791,-0.12044334411621094
49,-0.04347348213195801,-0.2740459442138672,-0.17158126831054688,-0.23221325874328613,-0.12507987022399902,-0.18480944633483887,-0.22292447090148929,-0.21832036972045896,-0.10734009742736816
50,-0.14493513107299805,-0.21114158630371097,-0.13019275665283203,-0.2398831844329834,-0.2427666187286377,-0.2191598415374756,-0.13060879707336426,-0.15762925148010254,-0.07059288024902344
51,0.02736544609069824,-0.18620038032531736,-0.04138994216918945,-0.1790006160736084,-0.06962394714355469,-0.06656622886657715,0.023026704788208008,0.0400843620300293,0.09225010871887208
52,0.034760236740112305,-0.1981058120727539,-0.09514117240905762,-0.16132330894470215,-0.07385587692260742,-0.05871701240539551,-0.043582916259765625,-0.0635828971862793,0.02222585678100586
53,-0.04596066474914551,-0.2653019428253174,-0.15960216522216797,-0.270535945892334,-0.16939163208007812,-0.12943792343139648,-0.1069638729095459,-0.1080329418182373,-0.0014448165893554688
54,-0.03839921951293945,-0.2086777687072754,-0.1825850009918213,-0.22764158248901367,-0.13921213150024414,-0.09367704391479492,-0.14399099349975586,-0.16811680793762207,-0.13342690467834473
55,-0.009041786193847656,-0.12615203857421875,-0.09062933921813963,-0.15761947631835938,-0.1054384708404541,-0.11528658866882324,-0.2472541332244873,-0.23508429527282715,-0.16944456100463867
56,-0.021133899688720703,-0.13006019592285156,-0.07847738265991211,-0.2398676872253418,-0.09287691116333008,-0.10929298400878906,-0.20142364501953125,-0.255173921585083,-0.138810396194458
57,-0.045182228088378906,-0.17766356468200684,-0.09431099891662598,-0.20015311241149905,-0.13989567756652832,-0.1417403221130371,0.005430936813354492,-0.008998870849609375,0.010309696197509766
58,-0.10933279991149902,-0.08498716354370117,-0.004005908966064453,-0.0933706760406494,-0.21322345733642575,-0.17340636253356934,-0.26160454750061035,-0.29456496238708496,-0.22254133224487305
59,-0.009179115295410156,-0.14188265800476074,-0.08601164817810059,-0.18395018577575684,-0.10352110862731934,-0.15292143821716309,-0.05295920372009277,-0.10866355895996094,-0.0666353702545166
60,-0.12671422958374023,-0.06738400459289551,0.03233075141906738,-0.054283857345581055,-0.16705942153930664,-0.1399240493774414,-0.26108717918395996,-0.26311564445495605,-0.19192957878112793
61,-0.06356430053710938,-0.2014498710632324,-0.10664224624633788,-0.21098804473876953,-0.10994482040405272,-0.16901230812072754,-0.21857666969299316,-0.16464638710021973,-0.1689906120300293
62,0.0008559226989746094,-0.16227436065673828,-0.10830211639404295,-0.15746688842773438,-0.06304645538330078,-0.12047123908996582,-0.11020565032958984,-0.1262683868408203,-0.0833899974822998
63,-0.007997512817382812,-0.11051487922668456,-0.07678437232971191,-0.1215369701385498,-0.1192026138305664,-0.1222214698791504,-0.19030523300170896,-0.1985490322113037,-0.14663195610046387
64,-0.0357661247253418,-0.14004921913146973,-0.09695172309875488,-0.20002341270446777,-0.1937425136566162,-0.1733710765838623,-0.18758702278137207,-0.18129754066467285,-0.18541193008422852
65,-0.1226482391357422,-0.02873969078063965,-0.017628908157348633,-0.06631231307983398,-0.14741802215576172,-0.18393468856811523,-0.07427191734313965,-0.13457226753234863,-0.09360623359680176
66,0.00269317626953125,-0.21856379508972168,-0.16720819473266602,-0.2139222621917725,-0.11016345024108888,-0.041567325592041016,-0.1235041618347168,-0.10430693626403809,-0.0906517505645752
67,0.013924837112426758,-0.07609367370605469,-0.011335372924804688,-0.08124923706054688,-0.07754254341125488,-0.04509711265563965,-0.11474370956420898,-0.10743355751037598,-0.04587745666503906
68,-0.18308544158935547,-0.2464759349822998,-0.22394132614135745,-0.2360024452209473,-0.23520612716674805,-0.2608034610748291,0.028986692428588867,-0.011918306350708008,0.03186631202697754
69,-0.1561596393585205,-0.20006108283996585,-0.13331222534179688,-0.1989121437072754,-0.19079113006591797,-0.1974215507507324,-0.042569875717163086,-0.07478785514831543,-0.031851768493652344
70,-0.07083392143249512,-0.1814885139465332,-0.09225630760192872,-0.17156100273132324,-0.1277599334716797,-0.11036825180053712,-0.08239316940307617,-0.1346759796142578,-0.025644779205322266
71,0.07920217514038086,-0.08946514129638672,-0.017337322235107422,-0.06889605522155762,-0.011980056762695312,-0.022673845291137695,-0.1573042869567871,-0.15070271492004397,-0.11951279640197754
72,-0.05626678466796875,-0.15703392028808594,-0.07973575592041016,-0.07643485069274902,-0.0475466251373291,-0.11397647857666016,-0.12361454963684082,-0.16702771186828613,-0.11587262153625488
73,-0.053254127502441406,-0.0517423152923584,-0.04009890556335449,-0.048111915588378906,-0.10289907455444336,-0.14623093605041504,-0.07631516456604004,-0.09464263916015624,-0.00805807113647461
74,0.05612659454345703,-0.14264750480651855,-0.1146998405456543,-0.14374089241027832,-0.027866601943969727,-0.04559183120727539,-0.118086576461792,-0.1321260929107666,-0.05035567283630371
75,0.02474761009216309,-0.06112480163574219,-0.03423047065734863,-0.01766180992126465,0.0031020641326904297,-0.05102038383483887,-0.0904104709625244,-0.12508630752563477,-0.03302717208862305
76,-0.08786153793334961,-0.09350943565368652,-0.09737563133239746,-0.12201738357543944,-0.14293527603149414,-0.1998920440673828,-0.03996872901916504,-0.032030582427978516,-0.01307082176208496
77,-0.13628363609313965,-0.09240388870239258,-0.06630516052246094,-0.11106133460998537,-0.19817543029785156,-0.15056753158569336,-0.15807867050170898,-0.15006089210510254,-0.11016225814819336
78,0.0423126220703125,-0.23283767700195312,-0.18958234786987305,-0.21390700340270996,-0.03786444664001465,-0.01742863655090332,-0.16663742065429688,-0.22462964057922363,-0.17579102516174316
79,0.05162501335144043,-0.07090091705322266,-0.03776288032531738,-0.05489349365234375,-0.08487939834594727,-0.03119206428527832,-0.08569955825805664,-0.12294769287109376,-0.07220125198364258
80,-0.025236129760742188,-0.023226499557495117,0.023948192596435547,0.0405573844909668,-0.13765740394592285,-0.14839458465576172,-0.017398357391357422,-0.004105567932128906,0.025449275970458984
81,0.021501779556274418,-0.10895800590515135,-0.05910658836364746,-0.05753207206726074,-0.056215763092041016,-0.05790877342224121,-0.04711771011352539,-0.0322880744934082,0.07721662521362305
82,0.016794681549072266,-0.13829684257507324,-0.10498619079589844,-0.08461213111877441,-0.01383066177368164,-0.044504642486572266,-0.04892945289611816,-0.05303788185119629,-0.010129928588867188
83,0.08008742332458496,-0.03761053085327149,-0.06417179107666016,-0.029582977294921875,0.0006594657897949219,-0.019614458084106445,-0.09636664390563963,-0.07995104789733887,-0.011766910552978516
84,-0.08813190460205078,-0.18451595306396484,-0.1394956111907959,-0.15025615692138672,-0.13300776481628418,-0.11823511123657228,0.024328947067260746,0.03778243064880371,0.04718613624572754
85,-0.05431485176086426,-0.1867671012878418,-0.19375824928283691,-0.13746190071105957,-0.07040596008300781,-0.09253501892089844,-0.25130748748779297,-0.2554142475128174,-0.14501476287841797
86,-0.006345510482788086,-0.05009937286376953,-0.02426362037658691,-0.007932424545288086,-0.05371594429016113,-0.08611488342285156,-0.12023115158081056,-0.14545798301696777,-0.08531737327575684
87,0.04562783241271973,-0.12682890892028809,-0.12088894844055176,-0.08828258514404297,0.004533529281616211,-0.014849424362182615,-0.09929919242858888,-0.09598135948181152,-0.06014347076416016
88,-0.08518123626708984,-0.14901137351989746,-0.13296103477478027,-0.09679245948791504,-0.17382550239562988,-0.19284796714782715,-0.08334875106811523,-0.10362958908081056,-0.07487916946411133
89,-0.052170515060424805,-0.04111123085021973,-0.07489943504333496,-0.027954816818237305,-0.07375264167785645,-0.13788390159606934,-0.12269330024719238,-0.0950336456298828,-0.012764215469360352
90,-0.02840590476989746,-0.2392566204071045,-0.19351553916931152,-0.19800353050231936,-0.08507490158081055,-0.09812259674072266,-0.06187081336975098,-0.07095694541931152,-0.009154558181762695
91,0.07937908172607422,-0.17902493476867676,-0.13433837890625,-0.1835939884185791,0.016984939575195312,-0.013221263885498049,-0.10924887657165527,-0.02377009391784668,0.029031753540039062
92,0.009938478469848633,-0.10247159004211426,-0.08122682571411133,-0.08658480644226074,-0.0922551155090332,-0.13773679733276367,-0.2006676197052002,-0.20628833770751953,-0.15300869941711426
93,-0.1080913543701172,-0.12882566452026367,-0.10560369491577148,-0.0986638069152832,-0.11311674118041992,-0.16978740692138672,0.017768144607543945,0.03554868698120117,0.04252862930297851
94,0.01632380485534668,-0.12004804611206056,-0.12289810180664062,-0.10706496238708496,-0.05840778350830078,-0.11274361610412598,-0.13486695289611816,-0.1640613079071045,-0.09253621101379396
95,0.06530284881591797,-0.1316428184509277,-0.13437366485595703,-0.08830142021179199,0.09513592720031738,0.041379451751708984,0.012511014938354492,-0.014427900314331056,0.106689453125
96,0.02667379379272461,-0.07847976684570312,-0.03687596321105957,-0.0865473747253418,-0.024859189987182617,-0.05374813079833984,0.05193614959716797,0.06379461288452148,0.12569975852966309
97,0.05396485328674317,0.046523094177246094,0.05579710006713867,0.04821896553039551,-0.04600358009338379,-0.09771513938903809,-0.0977637767791748,,-0.001881122589111328
98,0.05085492134094238,-0.044111013412475586,-0.014747142791748049,-0.06416082382202148,0.005450248718261719,-0.05925154685974121,0.050013065338134766,0.0008544921875,0.05869317054748535
99,0.0853431224822998,-0.08033323287963867,-0.05443143844604492,-0.04318881034851074,0.06611514091491699,-0.03454399108886719,-0.06366562843322754,-0.08932733535766602,-0.09714436531066896
100,0.08122086524963379,-0.09351730346679688,-0.11512351036071776,-0.13476061820983887,0.05406498908996582,0.001346588134765625,-0.0025272369384765625,-0.05498218536376953,-0.011252164840698242
101,-0.006114482879638672,-0.028836488723754883,-0.0526432991027832,-0.052942752838134766,-0.08754992485046387,-0.08048510551452637,-0.0674123764038086,-0.07590031623840332,-0.020114898681640625
102,-0.04358553886413574,-0.015631437301635742,-0.024201154708862305,0.0014383792877197266,-0.08295416831970215,-0.12571239471435547,-0.11504650115966795,-0.08392834663391113,-0.05044817924499512
103,-0.18192815780639648,0.07606911659240723,0.07206130027770996,0.0652000904083252,-0.22817778587341309,-0.184128999710083,0.008585929870605469,0.023849010467529297,0.06905078887939453
104,-0.04300951957702637,0.03652548789978027,0.044500112533569336,0.03539586067199707,-0.08278870582580566,-0.1209421157836914,0.034829139709472656,-0.02408885955810547,0.02215099334716797
105,0.01100778579711914,-0.08899950981140137,-0.06636857986450195,-0.04672837257385254,-0.02968764305114746,-0.041184186935424805,0.04886770248413086,0.03391242027282715,0.11435842514038086
106,-0.08417963981628418,0.035402774810791016,0.01076030731201172,0.08152627944946289,-0.20870685577392575,-0.18419861793518064,-0.10452151298522948,-0.0722649097442627,-0.03671431541442871
107,0.0858149528503418,-0.04102849960327149,-0.05118203163146973,-0.06386423110961914,0.01448512077331543,-0.02234172821044922,-0.09175658226013184,-0.09752202033996582,-0.003789186477661133
108,0.005511045455932617,-0.08556294441223145,-0.09303593635559082,-0.08312487602233887,-0.02377772331237793,-0.039931297302246094,-0.050438642501831055,-0.06595969200134277,-0.02004480361938477
109,0.054970741271972656,-0.15209436416625977,-0.117661714553833,-0.14156651496887207,0.012766122817993164,0.011179447174072266,-0.03321218490600586,0.013462543487548828,0.05490994453430176
110,-0.0524444580078125,0.009912967681884766,0.009467601776123049,0.0008347034454345703,-0.12669754028320312,-0.11107540130615234,-0.1012735366821289,-0.07630777359008789,-0.08040189743041992
111,0.0939006805419922,0.020352602005004883,0.042514801025390625,0.06013655662536621,0.047013282775878906,0.022185087203979492,-0.004289865493774414,-0.018424034118652344,0.02728176116943359
112,0.1272580623626709,-0.06219196319580078,-0.05372309684753418,-0.06810855865478516,0.05711960792541504,0.057260990142822266,0.09400296211242676,0.05687236785888672,0.12061119079589844
113,0.04916024208068848,0.04321098327636719,0.02790236473083496,0.016918659210205078,0.019733667373657227,0.006289482116699219,-0.12830424308776855,-0.04808330535888672,-0.027515888214111328
114,0.03660392761230469,-0.1914358139038086,-0.1881115436553955,-0.2284233570098877,-0.03881716728210449,-0.04477953910827637,-0.03528404235839844,-0.0893406867980957,-0.011095046997070312
115,-0.02986741065979004,0.03431415557861328,0.05977511405944824,0.10445785522460938,-0.0969388484954834,-0.08379387855529785,-0.0620267391204834,-0.07361173629760742,-0.03803682327270508
116,-0.0550687313079834,0.06323909759521484,0.09681344032287598,0.07181978225708008,-0.07781052589416504,-0.10582828521728516,-0.11275434494018556,-0.13685965538024902,-0.06385159492492676
117,-0.06454706192016602,0.06312179565429688,0.03685545921325683,0.05409407615661621,-0.06332182884216309,-0.12026190757751463,0.0054607391357421875,-0.02567768096923828,-0.02129340171813965
118,0.1223454475402832,-0.1025545597076416,-0.08535575866699219,-0.0764918327331543,0.060935020446777344,0.07493090629577637,-0.06982207298278809,-0.05325031280517578,0.050900936126708984
119,-0.06380367279052734,0.034163713455200195,0.07242250442504883,0.061717987060546875,-0.1282248497009277,-0.05884456634521485,-0.07753896713256836,-0.10107135772705078,-0.0816335678100586
120,-0.09075021743774414,-0.026148557662963867,-0.0019075870513916016,-0.001961708068847656,-0.18692445755004883,-0.12393617630004884,-0.033971309661865234,-0.07135224342346191,-0.05491209030151367
121,-0.06152486801147461,0.1101703643798828,0.11296725273132324,0.0981893539428711,-0.11106634140014648,-0.08310818672180176,-0.16724658012390137,-0.1780688762664795,-0.10815167427062988
122,0.0534515380859375,-0.17141389846801758,-0.13074564933776855,-0.14180278778076172,-0.013932943344116213,-0.018622636795043945,-0.06456685066223145,-0.04389667510986328,0.054782867431640625
123,0.07711935043334961,0.02714252471923828,0.10272955894470216,0.040515899658203125,-0.00788426399230957,0.010570287704467772,0.018386363983154297,0.0020720958709716797,0.009626626968383787
124,-0.05247926712036133,-0.06896042823791504,-0.06641340255737305,-0.05309343338012695,-0.11396074295043944,-0.1318206787109375,-0.1531357765197754,-0.13109254837036133,-0.07684922218322754
125,0.18595480918884277,-0.10802245140075684,-0.15544605255126953,-0.12427186965942384,0.11581158638000488,0.11661791801452635,-0.09745049476623537,-0.058861494064331055,-0.027287006378173828
126,-0.06726598739624023,0.09099888801574708,0.07595324516296387,0.10308170318603516,-0.055001258850097656,-0.08330702781677246,-0.08381032943725586,-0.05486798286437988,-0.012569427490234377
127,-0.05151247978210449,-0.029462099075317383,-0.06831002235412598,-0.08410811424255371,-0.12534642219543457,-0.13866138458251953,0.13315272331237793,0.11919188499450684,0.1604459285736084
128,0.05103707313537598,-0.007277488708496094,0.01743030548095703,0.005201578140258789,-0.08955049514770508,-0.0361173152923584,0.07371687889099121,0.04697370529174805,0.14639616012573242
129,0.01792740821838379,0.05287671089172363,0.023646116256713867,-0.00867772102355957,-0.03971004486083984,-0.041124582290649414,0.01303553581237793,0.019552230834960938,0.07319903373718262
130,0.06011533737182617,-0.104461669921875,-0.06800413131713867,-0.03095555305480957,0.012435674667358398,0.008941173553466797,-0.1494741439819336,-0.1266937255859375,-0.1239793300628662
131,0.08818531036376953,0.04430818557739258,-0.005208015441894531,0.0210111141204834,-0.02080821990966797,0.018568992614746097,-0.11237025260925292,-0.029475688934326172,-0.021725893020629883
132,-0.02017521858215332,0.06951689720153809,0.05673694610595703,0.05228590965270996,-0.06458544731140137,-0.06550335884094238,-0.011263370513916016,-0.05823254585266113,0.0005981922149658203
133,-0.03449654579162598,-0.018480539321899418,0.02810955047607422,0.04102373123168945,-0.08546924591064453,-0.0947866439819336,-0.05795645713806152,-0.014371156692504885,-0.03509688377380371
134,-0.009333372116088867,-0.0847022533416748,0.004621744155883789,-0.034279584884643555,-0.0636587142944336,-0.05105304718017578,0.012578010559082031,0.08279037475585938,0.06592416763305664
135,0.049828290939331055,0.029924869537353516,0.023611068725585938,0.07431602478027344,0.01773357391357422,0.029469966888427734,-0.2292959690093994,-0.16330313682556152,-0.14548850059509277
136,-0.02240443229675293,-0.027831315994262695,-0.02723407745361328,-0.0208737850189209,-0.04097843170166016,-0.06660747528076172,-0.011831998825073242,-0.02302861213684082,0.007162332534790039
137,0.06147527694702149,-0.06091761589050293,-0.049846649169921875,-0.016382455825805664,-0.011315107345581056,-0.047357797622680664,0.011871814727783205,0.09467315673828124,0.04395723342895508
138,0.08967018127441406,-0.15820693969726562,-0.1948704719543457,-0.15590262413024902,0.037981271743774414,0.04400515556335449,0.020592689514160156,0.07198429107666016,0.038340091705322266
139,0.03160738945007324,-0.10756182670593262,-0.09349608421325684,-0.11518669128417967,-0.03445124626159668,-0.07052493095397949,-0.11731910705566406,-0.03660321235656738,-0.01790761947631836
140,0.09329581260681152,-0.14565730094909668,-0.10464048385620116,-0.10882353782653809,0.06867837905883789,0.014967918395996094,-0.09707045555114746,-0.03582596778869629,-0.04304695129394531
141,0.02295684814453125,0.05487203598022461,0.07565617561340332,0.052978515625,-0.06447982788085938,-0.10111093521118164,-0.07114553451538086,-0.03153800964355469,0.0007402896881103516
142,0.04430699348449707,-0.0955057144165039,-0.05618882179260254,-0.05668187141418457,-0.0441441535949707,-0.03203582763671875,0.03190445899963379,0.08738493919372559,0.082366943359375
143,0.08727645874023438,-0.0032019615173339844,-0.003860950469970703,0.03097009658813477,0.010329484939575195,0.0064544677734375,-0.019285917282104492,-0.017805099487304688,-0.01270294189453125
144,0.07170367240905762,0.04537558555603027,0.0008206367492675781,0.03632354736328125,-0.04062247276306152,-0.003227710723876953,-0.03344273567199707,0.007272481918334961,0.03390765190124512
145,-0.015861988067626953,0.03837347030639648,0.04265308380126953,0.07596278190612793,-0.044408321380615234,-0.09224534034729004,0.06255817413330078,0.1048293113708496,0.0406031608581543
