step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-critic/returns/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-critic/returns/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-critic/returns/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-critic/returns/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-critic/returns/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-critic/returns/mean_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-critic/returns/mean_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-critic/returns/mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-critic/returns/mean_step
54,-0.04609027877449989,-0.05436576530337334,-0.06347928196191788,-0.05563032254576683,-0.07812757790088654,-0.09772925823926926,-0.06984096765518188,-0.06340718269348145,-0.06361903250217438
55,-0.03049304150044918,-0.06575292348861694,-0.05888041108846664,-0.055449530482292175,-0.10117708146572112,-0.0893000066280365,-0.0994325652718544,-0.07038763910531998,-0.06982064992189407
56,-0.03452830761671066,-0.09197846800088882,-0.0658179223537445,-0.07238686829805374,-0.08821006864309311,-0.07917815446853638,-0.0951441377401352,-0.051578085869550705,-0.06941442936658859
57,-0.05730710178613663,-0.0648900717496872,-0.07422596216201782,-0.0478837676346302,-0.09561912715435028,-0.08622729033231735,-0.11654412746429443,-0.07229288667440414,-0.06632785499095917
58,-0.056342240422964096,-0.09680868685245514,-0.06841053068637848,-0.07242971658706665,-0.10625547170639038,-0.10156285762786864,-0.11436805874109268,-0.07498093694448471,-0.060148756951093674
59,-0.06068878248333931,-0.054668769240379333,-0.0623864121735096,-0.06756026297807693,-0.10684289038181304,-0.11622492223978044,-0.10285978019237518,-0.06990031898021698,-0.048063408583402634
60,-0.05174664407968521,-0.07687747478485107,-0.06568284332752228,-0.09914802759885788,-0.08876516669988632,-0.09343356639146803,-0.07689618319272995,-0.0939474031329155,-0.07581742852926254
61,-0.052567753940820694,-0.09436343610286713,-0.07711811363697052,-0.08064347505569458,-0.07546290010213852,-0.09750348329544067,-0.09357147663831712,-0.059537529945373535,-0.05644134059548378
62,-0.06297937035560608,-0.07459545135498047,-0.06564740836620331,-0.04762153699994087,-0.1102319061756134,-0.09580758959054948,-0.08380451798439026,-0.06037216633558273,-0.06064689531922341
63,-0.07132715731859207,-0.08916974812746048,-0.05888296291232109,-0.07986408472061157,-0.09663517028093338,-0.10440853238105774,-0.08890589326620102,-0.07858781516551971,-0.07467968016862869
64,-0.03905854374170303,-0.10461849719285964,-0.07694096118211746,-0.07647563517093658,-0.09220615774393082,-0.08083602786064148,-0.0906095802783966,-0.07601108402013779,-0.05583953857421875
65,-0.07263413816690445,-0.07204984873533249,-0.057905275374650955,-0.08895023912191391,-0.07272475957870483,-0.08468242734670639,-0.0733100026845932,-0.05029776319861412,-0.05236612632870674
66,-0.05670163035392761,-0.0779523178935051,-0.07509078830480576,-0.0909884348511696,-0.07377783954143524,-0.095038540661335,-0.08311012387275696,-0.05851888656616211,-0.06341628730297089
67,-0.04935270547866821,-0.06745877116918564,-0.0797673836350441,-0.06971313059329987,-0.09473893791437148,-0.07783672958612442,-0.09208323061466216,-0.08500508219003677,-0.06497013568878174
68,-0.0387740321457386,-0.08370164036750793,-0.06183427944779396,-0.09051233530044556,-0.09833894670009612,-0.10344049334526062,-0.08491639047861099,-0.09233668446540833,-0.07178456336259842
69,-0.05394122377038002,-0.0839340090751648,-0.08711716532707214,-0.0927644893527031,-0.06108357757329941,-0.08149251341819763,-0.08954367786645889,-0.09953919798135756,-0.058153875172138214
70,-0.051331039518117905,-0.06263108551502228,-0.05070056766271591,-0.05085432529449463,-0.06603902578353882,-0.06990557163953781,-0.0722513198852539,-0.05439133942127228,-0.054279875010252
71,-0.07386233657598495,-0.07083931565284729,-0.06746853142976761,-0.0707816556096077,-0.09385166317224504,-0.09542624652385712,-0.07208307087421417,-0.06442961096763611,-0.03916861116886139
72,-0.04872222989797592,-0.07236918807029724,-0.047148652374744415,-0.10488802194595336,-0.049867745488882065,-0.05762433260679245,-0.07486911118030548,-0.07062850147485733,-0.06131598353385925
73,-0.0579090528190136,-0.11612128466367722,-0.06122517213225365,-0.11610089987516405,-0.04936979711055755,-0.0639374703168869,-0.09437953680753708,-0.07265104353427887,-0.06459556519985199
74,-0.05780721455812454,-0.08695817738771439,-0.05330277979373932,-0.08861040323972702,-0.09237601608037949,-0.04913730174303055,-0.07862849533557892,-0.05991194024682045,-0.04220815375447273
75,-0.06131014600396156,-0.08052356541156769,-0.05185632407665253,-0.0918830707669258,-0.08942104130983353,-0.06680859625339508,-0.08358049392700195,-0.10518644005060196,-0.05437692627310753
76,-0.030643153935670853,-0.06757288426160812,-0.06048574298620224,-0.08761240541934967,-0.05071641132235527,-0.053774863481521606,-0.06965188682079315,-0.015112223103642464,-0.020510371774435043
77,-0.05179438367486,-0.08574928343296051,-0.05572372302412987,-0.10056642442941666,-0.057079169899225235,-0.07356683164834976,-0.07074887305498123,-0.07177907973527908,-0.05523454397916794
78,-0.0659651979804039,-0.07764432579278946,-0.059873081743717194,-0.08017104119062424,-0.0740758404135704,-0.06685055792331696,-0.064220130443573,-0.055838692933321,-0.05569688603281975
79,-0.048285625874996185,-0.07821666449308395,-0.07655046880245209,-0.07207555323839188,-0.0736951231956482,-0.06204604357481003,-0.0757916271686554,-0.06945060193538666,-0.04593684896826744
80,-0.09424954652786256,-0.05874060466885567,-0.05414031073451042,-0.0925135686993599,-0.11124052107334136,-0.0790155827999115,-0.08573926240205765,-0.06287820637226105,-0.06507064402103424
81,-0.03469344973564148,-0.06793972849845886,-0.03677697479724884,-0.09462199360132216,-0.07817418873310089,-0.061971310526132584,-0.06227582693099976,-0.05234871059656143,-0.031743716448545456
82,-0.07524991780519485,-0.06755867600440979,-0.05127441510558128,-0.07258538156747818,-0.06766359508037567,-0.07589463889598846,-0.07905589044094086,-0.06093726307153702,-0.05205400660634041
83,-0.04740891605615616,-0.07678364217281342,-0.024372853338718414,-0.0922381430864334,-0.04953086003661156,-0.05212147533893585,-0.06543956696987152,-0.06207776442170143,-0.047994215041399
84,-0.05641470849514008,-0.08052044361829758,-0.03429955244064331,-0.08964131027460098,-0.06122708320617676,-0.06504090875387192,-0.057712722569704056,-0.06277863681316376,-0.03949567303061485
85,-0.05391522124409675,-0.04497341439127922,-0.04006096348166466,-0.0820416659116745,-0.0335090197622776,-0.0624685101211071,-0.06540394574403763,-0.07123842090368271,-0.0633876621723175
86,-0.07433303445577621,-0.0710446834564209,-0.05324723944067955,-0.0900244191288948,-0.07865899801254272,-0.06222827732563019,-0.07145725190639496,-0.04131241887807846,-0.03865392506122589
87,-0.06232104077935219,-0.06918100267648697,-0.05417435988783837,-0.06852304935455322,-0.07529231905937195,-0.08891753107309341,-0.06165708974003792,-0.06772828847169876,-0.041794221848249435
88,-0.04746063053607941,-0.0716545432806015,-0.04925073683261871,-0.0777721256017685,-0.06902705132961273,-0.04582849889993667,-0.06996579468250275,-0.0653158575296402,-0.057024795562028885
89,-0.0645008236169815,-0.08684727549552917,-0.05522773787379265,-0.09296735376119614,-0.067830391228199,-0.04492852836847305,-0.06785053014755249,-0.05738260969519615,-0.04810722917318344
90,-0.0487276129424572,-0.07184142619371414,-0.04276252165436745,-0.06896640360355377,-0.059869010001420975,-0.06424092501401901,-0.0392288975417614,-0.05513949319720268,-0.04047568142414093
91,-0.0464380644261837,-0.08142369240522385,-0.056267280131578445,-0.09500324726104736,-0.05358416587114334,-0.05255701765418053,-0.06121622025966644,-0.09376513957977296,-0.05689220875501633
92,-0.047134969383478165,-0.05370965600013733,-0.07374724000692368,-0.08614528179168701,-0.049773238599300385,-0.051520224660634995,-0.0669274628162384,-0.05221940949559212,-0.04818866774439812
93,-0.06393715739250183,-0.05514358729124069,-0.04291202127933502,-0.08732189238071442,-0.0769772157073021,-0.0736662894487381,-0.0492321141064167,-0.06243296340107918,-0.0470251739025116
94,-0.05504581332206726,-0.057021476328372955,-0.05339589715003967,-0.07171497493982315,-0.06214575842022896,-0.06905501335859299,-0.04894309863448143,-0.06300633400678635,-0.02120271883904934
95,-0.06093497946858406,-0.04646966978907585,-0.04086373373866081,-0.07717608660459518,-0.08114784210920334,-0.06507871299982071,-0.06917635351419449,-0.07083496451377869,-0.03821618482470512
96,-0.04680298641324043,-0.06431226432323456,-0.05126537010073662,-0.053408581763505936,-0.07437609136104584,-0.06784959882497787,-0.04995448887348175,-0.06429453194141388,-0.05791107565164566
97,-0.045326799154281616,-0.04095369949936867,-0.05222074314951897,-0.05716564133763313,-0.05904370918869972,-0.049226559698581696,,,-0.03281664475798607
98,-0.05096881091594696,-0.05276954546570778,-0.06545773893594742,-0.069259874522686,-0.04401225224137306,-0.043191757053136826,,,-0.0415835976600647
99,-0.05812877416610718,-0.0751173198223114,-0.054425980895757675,-0.0625772699713707,-0.052411165088415146,-0.04227368161082268,,,-0.06764338165521622
100,-0.06139161065220833,-0.06491634249687195,-0.05405297130346298,-0.0760364904999733,-0.06200787052512169,-0.061690058559179306,-0.06733161956071854,-0.06145321577787399,-0.05043664947152138
101,-0.037998128682374954,-0.062286339700222015,-0.0733991488814354,-0.0648421049118042,-0.05489199608564377,-0.048298429697752,-0.07705545425415039,-0.07513260841369629,-0.04282284528017044
102,-0.05623706430196762,-0.05551895499229431,-0.04253644868731499,-0.05230715498328209,-0.07644962519407272,-0.04295497015118599,-0.06657865643501282,-0.06682241708040237,-0.045957814902067184
103,-0.03694235160946846,-0.06677057594060898,-0.06280779093503952,-0.06438078731298447,-0.07400371134281158,-0.0304684117436409,-0.05139055848121643,-0.056080542504787445,-0.0435219369828701
104,-0.04684972018003464,-0.06797192245721817,-0.04426446557044983,-0.0571063831448555,-0.06558968126773834,-0.05069291591644287,-0.04505226016044617,-0.053036879748106,-0.04936518520116806
105,-0.04326475411653519,-0.06684605032205582,-0.07649023085832596,-0.07014233618974686,-0.06334542483091354,-0.06616608053445816,-0.06427595764398575,-0.06884248554706573,-0.041928987950086594
106,-0.06030326709151268,-0.04336991533637047,-0.05413474515080452,-0.0529230497777462,-0.07614310085773468,-0.06458311527967453,-0.09600552171468736,-0.06461739540100098,-0.05824645608663559
107,-0.05475102365016937,-0.048925500363111496,-0.03880687430500984,-0.04853937029838562,-0.07776215672492981,-0.06114872545003891,-0.057948801666498184,-0.04347671940922737,-0.03134588524699211
108,-0.03966448828577995,-0.04849417135119438,-0.05602323263883591,-0.05948404222726822,-0.09232592582702635,-0.060981180518865585,-0.046433497220277786,-0.06452128291130066,-0.053897444158792496
109,-0.03817260637879371,-0.0806717723608017,-0.07317154109477997,-0.062259491533041,-0.07991938292980194,-0.04476125165820122,-0.07253236323595047,-0.05903487652540207,-0.05673600733280182
110,-0.055498287081718445,-0.06676559150218964,-0.05190674960613251,-0.07173553854227066,-0.05604763701558113,-0.05915713310241699,-0.06796091794967651,-0.05926954001188278,-0.04739377647638321
111,-0.05070410296320915,-0.05577270686626434,-0.05717292800545693,-0.06867580860853195,-0.049425721168518066,-0.05298207327723503,-0.06833498179912567,-0.05174071714282036,-0.053283773362636566
112,-0.033516135066747665,-0.06350040435791016,-0.05888973921537399,-0.0768498107790947,-0.08542949706315994,-0.05582322925329208,-0.055005479604005814,-0.03593652695417404,-0.030920814722776413
113,-0.04198889061808586,-0.052905015647411346,-0.0618274062871933,-0.06880634278059006,-0.057684049010276794,-0.05110446363687515,-0.06241077929735184,-0.04377240687608719,-0.04986969754099846
114,-0.04383060708642006,-0.06027357652783394,-0.046679820865392685,-0.04683500900864601,-0.04238073155283928,-0.06287530809640884,-0.04582057148218155,-0.05913218855857849,-0.039694420993328094
115,-0.04982062429189682,-0.06587455421686172,-0.06065639108419418,-0.04333137348294258,-0.04555436968803406,-0.05467876419425011,-0.05687051638960838,-0.05192241445183754,-0.06089001893997192
116,-0.04209493473172188,-0.06297286599874496,-0.05595613270998001,-0.06967214494943619,-0.05866162106394768,-0.05163942277431488,-0.06955364346504211,-0.045865561813116074,-0.03411484509706497
117,-0.04304045811295509,-0.05223972350358963,-0.058191850781440735,-0.06541462242603302,-0.05311895161867142,-0.051838189363479614,-0.03879502788186073,-0.06576903909444809,-0.0607261098921299
118,-0.048089247196912766,-0.05592400208115578,-0.0437927283346653,-0.04728972166776657,-0.05276383459568024,-0.058444321155548096,-0.0490003377199173,-0.03330784663558006,-0.041173264384269714
119,-0.029246214777231216,-0.08305451273918152,-0.05966394767165184,-0.07048185914754868,-0.034920696169137955,-0.04614924639463425,-0.04814768955111504,-0.03964534029364586,-0.04210951924324035
120,-0.03500303998589516,-0.06958924233913422,-0.03528733551502228,-0.041304927319288254,-0.04250279814004898,-0.05800100415945053,-0.05894230306148529,-0.05631157010793686,-0.041506461799144745
121,-0.024887558072805405,-0.057703498750925064,-0.06608257442712784,-0.04451078176498413,-0.04654868692159653,-0.06823412328958511,-0.05005472153425217,-0.05383564904332161,-0.049655213952064514
122,-0.04291743412613869,-0.0679032951593399,-0.04353060573339462,-0.04785017669200897,-0.041516952216625214,-0.036974843591451645,-0.05902909114956856,-0.05333251133561134,-0.04309763014316559
123,-0.051009178161621094,-0.04054967686533928,-0.05246102064847946,-0.06133858114480972,-0.039144210517406464,-0.062093280255794525,-0.03947373479604721,-0.05314362794160843,-0.04447201266884804
124,-0.059138502925634384,-0.08703915029764175,-0.050901543349027634,-0.04917578399181366,-0.043531954288482666,-0.06451097130775452,-0.04733872041106224,-0.05654878914356232,-0.03137194365262985
125,-0.06219464913010597,-0.06540918350219727,-0.05910056084394455,-0.0469357930123806,-0.05301680415868759,-0.04943845793604851,-0.03390723094344139,-0.042743127793073654,-0.025953911244869232
126,-0.049230773001909256,-0.04716546833515167,-0.06413239985704422,-0.06548523157835007,-0.046994611620903015,-0.041380248963832855,-0.03739645704627037,-0.040083106607198715,-0.04777700826525688
127,-0.04102544113993645,-0.05123664811253548,-0.0463859923183918,-0.04644344374537468,-0.054184332489967346,-0.04775383695960045,-0.03368806838989258,-0.05382325127720833,-0.051598433405160904
128,-0.05003749579191208,-0.05641452223062515,-0.04757224768400192,-0.03649795055389404,-0.042780064046382904,-0.05099225789308548,-0.03703228756785393,-0.05403025448322296,-0.03885486349463463
129,-0.06224248930811882,-0.05591576173901558,-0.05409235507249832,-0.049774419516325,-0.04009629413485527,-0.04270569607615471,-0.025911560282111168,-0.04152532666921616,-0.05199469625949859
130,-0.05671616271138191,-0.04064599797129631,-0.05553201213479042,-0.025980236008763313,-0.027562197297811508,-0.04969414696097374,-0.04071185737848282,-0.06396152079105377,-0.05095731094479561
131,-0.04813111945986748,-0.05676739290356636,-0.05894864350557327,-0.06515523791313171,-0.03904491290450096,-0.05081215873360634,-0.03745712339878082,-0.04717247933149338,-0.040678322315216064
132,-0.03762266039848328,-0.052280887961387634,-0.03651711717247963,-0.06502117961645126,-0.03311646357178688,-0.04559887945652008,-0.04624715819954872,-0.05630653351545334,-0.03659346327185631
133,-0.044791460037231445,-0.0466512031853199,-0.04394572973251343,-0.05902239307761192,-0.0355738028883934,-0.03843865543603897,-0.031123949214816093,-0.0499238520860672,-0.05644913390278816
134,-0.053234025835990906,-0.05366275832056999,-0.05981205031275749,-0.04687607288360596,-0.03206278383731842,-0.03998970985412598,-0.042148083448410034,-0.04963220655918121,-0.04540185257792473
135,-0.04969872906804085,-0.05478566884994507,-0.05040057748556137,-0.03297886252403259,-0.04941517487168312,-0.03788095712661743,-0.04603692144155502,-0.052464134991168976,-0.04969191923737526
136,-0.05393023043870926,-0.0717073455452919,-0.05558684840798378,-0.059718284755945206,-0.058992594480514526,-0.04693453386425972,-0.03198019415140152,-0.05551381781697273,-0.04007161781191826
137,-0.055584777146577835,-0.05522696301341057,-0.04854238405823707,-0.058912552893161774,-0.04254073277115822,-0.06556718796491623,-0.053627993911504745,-0.04942672327160835,-0.04492995515465736
138,-0.05487694218754768,-0.0428675152361393,-0.030359484255313873,-0.03150736540555954,-0.05478301644325256,-0.040609147399663925,-0.06556568294763565,-0.03781667351722717,-0.032672811299562454
139,-0.03898811712861061,-0.0331939235329628,-0.04792097210884094,-0.062187254428863525,-0.055783960968256,-0.06266365945339203,-0.030750762671232224,-0.0419246219098568,-0.035890694707632065
140,-0.05495206266641617,-0.06892126798629761,-0.04714278876781464,-0.0550154410302639,-0.0436246395111084,-0.03282748535275459,-0.05754201114177704,-0.05231216549873352,-0.032712966203689575
141,-0.055585090070962906,-0.04762377589941025,-0.04432107135653496,-0.057471971958875656,-0.06138419359922409,-0.05050390586256981,-0.040929969400167465,-0.05651906505227089,-0.030575096607208252
142,-0.04273153096437454,-0.0328749343752861,-0.04930287227034569,-0.050524547696113586,-0.06459713727235794,-0.0580001138150692,-0.04873441532254219,-0.058774352073669434,-0.025381479412317276
143,-0.059665411710739136,-0.043537892401218414,-0.04692179709672928,-0.04710030555725098,-0.05162916332483291,-0.029249319806694984,-0.03871866688132286,-0.05054960399866104,-0.022165633738040924
