step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/response_len_p90_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/response_len_p90_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/response_len_p90_step,deepseek1.5b_fa_partial_lr1e-6-training/response_len_p90_step,deepseek1.5b_fa_partial_lr1e-5-training/response_len_p90_step
2,8192,8192,8192,8192,8192
3,8192,,8192,8192,8192
4,8192,8192,8192,8192,8192
5,,,,8192,8192
6,8192,,,8192,8192
7,,,8192,8192,8192
8,8192,,,8192,8192
9,8192,8192,8192,8192,8192
10,8192,8192,,8192,8192
11,8192,,8192,8192,8192
12,8192,8192,,8192,8192
13,8192,,,8192,8192
14,,,8192,8192,8192
15,8192,8192,8192,8192,8192
16,8192,8192,8192,8192,8192
17,8192,8192,8192,8192,8192
18,8192,,,8192,8192
19,8192,8192,7670.3994140625,8192,8192
20,8192,,,8192,7822.39990234375
21,,8192,6729.3994140625,8192,7534.099609375
22,8192,8192,6820.39990234375,8192,8192
23,8192,,5907.7998046875,8192,7767.19970703125
24,8192,8048.6982421875,5914.39990234375,8192,7731.6982421875
25,8192,,5785.5,8192,8054.6982421875
26,7742.599609375,,,8192,7014.5986328125
27,,,,8192,7719.39892578125
28,8192,6695.19921875,5293.3994140625,8192,7017.99853515625
29,,6307.4990234375,5905.599609375,8192,6293.5
30,7450.09765625,6507.8994140625,8192,8192,6986.39697265625
31,7698.599609375,6234.7001953125,8192,8192,6994.79833984375
32,8192,6879.19970703125,,8192,6545.19921875
33,7831.2998046875,5754.1982421875,,8192,5915.19970703125
34,7221.19970703125,6401.197265625,5844.49609375,8192,6200.5
35,6864.4990234375,5929.19921875,,8192,5627.7001953125
36,7918.798828125,6009.9990234375,,8192,5595.19970703125
37,7224.298828125,5351.19970703125,6511.0859375,8192,5298.39990234375
38,6854.39892578125,6231.59912109375,4422.4990234375,8192,5712.5
39,6146.5986328125,5467.19970703125,,8192,5159.39990234375
40,6991.7001953125,5363,3894.498779296875,8192,5256
41,7262,5660.59912109375,3651,8192,5310.79931640625
42,5973.19970703125,5449.7001953125,3435.499267578125,8192,5113.5
43,5684.19921875,4763.8994140625,2713.499755859375,8192,4598.7998046875
44,6374.69921875,5209.39990234375,2580.699951171875,8192,4513.39990234375
45,6477.19921875,4854.7001953125,2772.9990234375,8192,4679.69921875
46,6142.8994140625,5362.79931640625,3026.099365234375,8192,5018.099609375
47,6125.0986328125,5125.69921875,3013.699951171875,8192,4772.099609375
48,6197.798828125,5044.798828125,2898.9990234375,8192,4562.69921875
49,6106.19873046875,4813.1982421875,3295.19921875,8179.6982421875,4421
50,5649.59814453125,4835.8994140625,3215.499755859375,8074.8994140625,4578.19921875
51,5518.59814453125,4855.0986328125,2890.099853515625,7972.4990234375,4385.298828125
52,5892.59814453125,4805.099609375,2599.699462890625,7891.498046875,4515.79931640625
53,5378.19970703125,4458.99951171875,2409.39990234375,7398.8994140625,4235.2998046875
54,5477,4642.99951171875,2487.599609375,7445.498046875,4278.99951171875
55,5358.39990234375,4808.7001953125,2715.697998046875,7372.8994140625,4535.099609375
56,5550.69921875,4404.69921875,3059.39990234375,7336.298828125,4539.3994140625
57,5541.3984375,4541.8994140625,3155.299560546875,7438.697265625,4323.599609375
58,4796,4493.79931640625,3326.498291015625,6808.19970703125,4112.69921875
59,4957.0986328125,4514.7998046875,2657.099853515625,7149.4990234375,4469.099609375
60,4910.4990234375,4673.19970703125,2452.19970703125,7119.6953125,4349.7998046875
61,4897.298828125,4568.19970703125,2254.699462890625,6783.9990234375,4432.7998046875
62,5081.3994140625,4734.099609375,2300.098876953125,6431.099609375,4365.39990234375
63,4622.19921875,4399.5,2204.099853515625,5979.69921875,4311.599609375
64,4551.4990234375,4615.8994140625,2623.9990234375,6273.298828125,4423.8984375
65,4369.099609375,4374.39990234375,2986.39990234375,5517.19970703125,4224.8994140625
66,4702,4478.5,3426.699951171875,5790.39990234375,4095.3994140625
67,4855.8984375,4648.599609375,3448.79931640625,6124.8994140625,4108.2998046875
68,4089,4585.099609375,3272.499755859375,6212.2978515625,4295.7001953125
69,4230.7001953125,4560.99951171875,2757.79931640625,5276.7998046875,4430.59912109375
70,4559.7998046875,4373.5,2329.699951171875,5403.3994140625,4131.7001953125
71,4616.8994140625,4501.099609375,2095.7998046875,5397.099609375,4194
72,4280.39990234375,4726.7001953125,2064.099853515625,5919.4990234375,4232.099609375
73,4094.3994140625,4359.099609375,2099.79931640625,5058.099609375,4125.8994140625
74,5067.99951171875,4705.7998046875,2636.699951171875,5504.099609375,4116.7001953125
75,4838.7001953125,4631.19970703125,3070.698486328125,5305.7001953125,4070.39990234375
76,4129.79736328125,4682.5,3664.39990234375,5641.4990234375,4223
77,3992.699462890625,4328.3994140625,3846.39990234375,5104.099609375,4071.7998046875
78,4981.19970703125,4438.7001953125,3736.498291015625,5160.19970703125,4044.7998046875
79,4643.79833984375,4554.5,3277.39990234375,5152.3994140625,4159.39990234375
80,3436.19921875,4399.19921875,2743.499755859375,4855.8984375,4120
81,3713.3994140625,4660.298828125,2607.7998046875,4608.099609375,4073.39892578125
82,5005.5,4935,2492.899658203125,5335.298828125,4434.39990234375
83,4479.8984375,4508.7001953125,2752.099853515625,4831.099609375,3935.699951171875
84,3231.39990234375,4739.69921875,2982.699951171875,4737.7998046875,4161.39990234375
85,3265.19970703125,4650.19970703125,3481.7998046875,4913.69921875,4400.7001953125
86,4949.5,4658.099609375,3918.699951171875,4776.99951171875,4274.39990234375
87,4166.4990234375,4601.7001953125,4026.5986328125,4692,3957.599609375
88,2979,4693.3994140625,3928.39990234375,4621.79931640625,4134.7001953125
89,3134.899169921875,4393.39990234375,3534.39990234375,4523.39990234375,4073.99951171875
90,4922.5,4487,3293.099853515625,4743.6982421875,4203.39990234375
91,4891.7001953125,4492.7998046875,3402.699951171875,4786.298828125,4234.099609375
92,2417.298583984375,4739.5,3386.99951171875,5174.099609375,4121.8994140625
93,2411.499755859375,4216.099609375,3636.099853515625,3919.19921875,4009
94,5085.99951171875,4341.7001953125,3960.599609375,4423.7001953125,4018.39990234375
95,4366.9951171875,4474.19970703125,4547.19970703125,4290.3994140625,4211.5
96,2351.499267578125,4508.3994140625,4823,4630.298828125,4362.7001953125
97,2961.099853515625,4335.7001953125,4391,4241.19970703125,4150.099609375
98,5383.79931640625,4344.099609375,3915.19970703125,4689.9990234375,4305
99,5567.8994140625,4511.8994140625,3700.7998046875,4689.3994140625,4354.39990234375
100,3755.699951171875,4412.19970703125,3421.39990234375,4402.69921875,4321.39990234375
101,4386.7001953125,4621.7001953125,3609.499755859375,4675.39990234375,4401.099609375
102,5807.59912109375,4549.69921875,4147,4955.7998046875,4611.5
103,4582.09765625,4145.8994140625,4548.7001953125,4158.8994140625,4091.899658203125
104,3923.19970703125,4503.9970703125,4722.7998046875,4469.3984375,4325.7998046875
105,4160.2998046875,4195.099609375,4921,4242.798828125,4234.39990234375
106,4554.2998046875,4402.5,4919.7998046875,4406.39990234375,4463.39892578125
107,4703.3994140625,4415.19970703125,4627,4361.7001953125,4270.7001953125
108,4378.099609375,4285.99951171875,4460.7001953125,4502.19970703125,4273.099609375
109,4162.498046875,4517.0986328125,4552.7001953125,4688.099609375,4356
110,4519.59912109375,4272.099609375,4684.7998046875,4444.6982421875,4299.4990234375
111,5358.39990234375,4501.4990234375,4790.7001953125,4727.39892578125,4334.99658203125
112,5437.3994140625,4468.5,4963.099609375,4752.7998046875,4522.8994140625
113,4872.39892578125,4025.099365234375,4914.39990234375,3891.299560546875,3732.7998046875
114,4664.7998046875,4224.39892578125,4652.39990234375,4108,4282.39990234375
115,4760.39990234375,4201.7001953125,4508,4344.7001953125,3990.99853515625
116,4800.69921875,4360.099609375,4485.7001953125,4496.7001953125,4092.7998046875
117,4644.599609375,4618.3994140625,4602,4243.79931640625,4127.7998046875
118,4258.7998046875,4323.7998046875,4708,4399.39990234375,4351.099609375
119,4610.39990234375,4366.5,4858.7001953125,4256.19921875,4062.599609375
120,5263.39990234375,4430.19970703125,4955.7001953125,4706.7001953125,4282.099609375
121,5222.79931640625,4609.7998046875,5002.39990234375,4408.19970703125,4659.7001953125
122,4435.8974609375,4447.599609375,4957.7001953125,4697,4113.099609375
123,4379.8994140625,4125.39990234375,4685.7001953125,4092.7998046875,4210.7001953125
124,5084.2998046875,4233.39990234375,4802.39990234375,4346.99951171875,3989.599609375
125,5073.8994140625,4414.5,4966,4354.19970703125,4113
126,4070.79931640625,4300.99951171875,5066.39990234375,3920.699462890625,4085.19873046875
127,4722.99951171875,4434.099609375,5085.7001953125,4373.099609375,4422.39990234375
128,5132.7998046875,4509.7998046875,4984,4217.99951171875,4500.39990234375
129,4927.4990234375,4562,4857,4508.599609375,4203.7001953125
130,4395,4351.5,5052.7001953125,4418,4037.7998046875
131,4629.7001953125,4613.7998046875,5223,4355.99951171875,4155.099609375
132,4991.5,4448.19970703125,5238.7001953125,4161.7001953125,4055.19970703125
133,4805.3994140625,4212.7998046875,4711.39990234375,3643.299560546875,4051.898681640625
134,4046.699462890625,4696.39990234375,4051.699951171875,4405.599609375,4321.099609375
135,4519.69921875,4442.5,4142.7998046875,4309.69921875,4222.8994140625
136,4995.39990234375,4281.8994140625,4351.99951171875,3916.79931640625,4056.699951171875
137,4689.7998046875,4302.59912109375,4489,4181.4990234375,4359.39990234375
138,3533.699462890625,4413.79931640625,4656.7001953125,4123.7998046875,4197.498046875
139,4543.69921875,4232,4747,4048.499755859375,4116.7001953125
140,5165.39892578125,4231.599609375,4901.7001953125,4145.099609375,4003.7998046875
141,4756.7001953125,4481.099609375,5023.7001953125,4239.69921875,4174.19970703125
142,4016.59765625,4317.39990234375,5087.7001953125,4239,4388.69921875
143,4359.5986328125,4206.8994140625,5007.099609375,3617.798828125,3906.19970703125
144,5061.69921875,4325.7001953125,4897.7001953125,4276.7998046875,4382.7001953125
145,4622.19970703125,4292.7001953125,5124.7001953125,4123.19970703125,4285.8994140625
146,3820.299072265625,4326.599609375,5399.7001953125,4235.099609375,4464.69921875
147,3955.899658203125,4198.099609375,5439.39990234375,4049.299560546875,4126.8994140625
148,5156.19970703125,4408.39990234375,5238,4226.39990234375,4117.19970703125
149,4865.298828125,4414.59912109375,7804.498046875,4123.39990234375,4245.099609375
150,3648.1982421875,4482.39990234375,8192,4261.099609375,4194.2998046875
151,4178.697265625,4424.19970703125,8192,4108.3984375,4328.39990234375
152,4723.7998046875,4370.5,8192,4425.39990234375,4333.19970703125
153,4626.99951171875,4254,8192,3696.7998046875,4111.8994140625
154,3854.699951171875,4605.5,8192,4218.099609375,4438.7001953125
155,3768.499755859375,4409.5,8192,4081.098876953125,4469.099609375
156,4713.7998046875,4377.19921875,8192,4106.7001953125,4350.099609375
157,4617.39990234375,4175.099609375,8192,4196.2998046875,4201.7001953125
158,3601.599609375,4365.8994140625,8192,4034.899658203125,3990.39990234375
159,3583.098388671875,4160.39990234375,8192,4203.79931640625,4260.5
160,4280.8994140625,4409.8994140625,7774.3994140625,4186.7001953125,4266
161,4043.59912109375,4358.99951171875,7043.0986328125,4148.5,4263.8994140625
162,3671.9970703125,4384.7001953125,6290.5,4490.39990234375,4208
163,3839.39892578125,4322.19970703125,5779.4990234375,3960.1982421875,3908.099853515625
164,4821.69921875,4215.7001953125,5003.19970703125,4028.599609375,4191.5
165,4930.59912109375,4335.7001953125,4151.3994140625,4197.8994140625,4142.099609375
166,4460.19970703125,4306.8994140625,3187.499755859375,4105.19970703125,4043.499755859375
167,4260.39990234375,4093.498779296875,2502.298583984375,3961.299560546875,4073.699951171875
