step,deepseek1.5b_sync_8gpu_lr3e-6-training/rollout_probs_diff_max_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/rollout_probs_diff_max_step,deepseek1.5b_sync_8gpu_lr5e-6-training/rollout_probs_diff_max_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_fa_partial_lr1e-6-training/rollout_probs_diff_max_step,deepseek1.5b_fa_partial_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_sync_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_sync_lr1e-6-training/rollout_probs_diff_max_step
30,0.316663533449173,0.298379510641098,0,0.3973065912723541,0,,0,0.0015624500811100006,0,0,0.23934444785118103,0.23286637663841248
31,,,0,0.2055145502090454,0,0.3917449712753296,0,0.0010705739259719849,0,0,0.26775240898132324,0.24294650554656985
32,0.25837939977645874,0.29470565915107727,0,0.274413526058197,0,0.20968946814537048,,0.010053634643554688,0,0,0.28634727001190186,0.21034401655197144
33,0.4426807463169098,0.4256117045879364,0,0.3381974995136261,0,0.41476231813430786,,0.00031782081350684166,0,0,0.3487823009490967,0.2056526243686676
34,0.2426171749830246,0.18144279718399048,0,0.27380824089050293,0,0.16838222742080688,0,,0,0,0.23917609453201297,0.3288238048553467
35,,,0,0.321341335773468,0,0.21352097392082217,,0.0013989601284265518,0,0,0.20886361598968503,0.30165231227874756
36,0.1536259949207306,0.2296428084373474,0,0.2870350480079651,0,,,,0,0,0.3926236927509308,0.2177353948354721
37,0.32219934463500977,0.19482487440109253,0,0.308391273021698,0,0.24135273694992063,0,,0,0,0.3478420078754425,0.2736298441886902
38,0.14654767513275146,0.17924225330352783,0,0.3433745503425598,0,0.2310587465763092,0,0.00027543213218450546,0,0,0.15315735340118408,0.5001546144485474
39,0.32366275787353516,0.21351903676986697,0,0.16081386804580688,0,0.16997575759887695,,0.0002262168563902378,0,0,0.2232205867767334,0.3232259154319763
40,0.16887125372886658,0.21512240171432495,0,0.4281482994556427,0,,0,,0,0,0.339469850063324,0.23376119136810303
41,0.24427089095115664,0.22367265820503235,0,0.2449178695678711,0,0.2140366733074188,0,,0,0,0.4057067334651947,0.3821903467178345
42,0.24282154440879825,0.377368688583374,0,0.24072912335395813,0,0.5543826818466187,0,0.00018712785094976425,0,0,0.2549149692058563,0.3899387717247009
43,0.41019487380981445,0.24293801188468933,0,,0,0.3300016522407532,0,0.00016448739916086197,0,0,0.4721861481666565,0.28007039427757263
44,0.4280667901039123,0.4148997664451599,0,0.3734451532363891,0,0.19983458518981936,0,0.00031127501279115677,0,0,0.27707338333129883,0.24658071994781497
45,0.2369828224182129,0.3120419979095459,0,0.24135518074035645,0,0.20577341318130493,0,0.003352232277393341,0,0,0.22672198712825775,0.3519589900970459
46,0.216218501329422,0.3535137176513672,0,0.2413550317287445,0,0.19943779706954956,0,0.000553852878510952,0,0,0.2924462556838989,0.1823766529560089
47,0.3015887439250946,0.21512144804000857,0,,0,0.1995511949062347,0,,0,0,0.18708112835884097,0.18459659814834595
48,0.1927369236946106,0.25539708137512207,0,0.21410918235778809,0,0.6030265092849731,0,0.0003253216855227947,0,0,0.2156822681427002,0.28492575883865356
49,0.2579602599143982,0.4379747807979584,0,0.3427441120147705,0,,0,0.001067345030605793,0,0,0.38221606612205505,0.2737851142883301
50,0.6781214475631714,0.21038809418678284,0,0.34329861402511597,0,0.20579171180725095,0,0.00043072039261460304,0,0,0.2413337230682373,0.22490417957305908
51,0.7503575682640076,0.22311195731163025,0,0.2861146330833435,0,0.25646165013313293,0,0.002962645143270493,0,0,0.2310576438903809,0.3452589213848114
52,0.3047836422920227,0.2413540482521057,0,0.2622462511062622,0,0.2584493160247803,0,0.0014993473887443542,0,0,0.2440871000289917,0.4206397533416748
53,0.17246687412261963,0.35001102089881897,0,0.49393755197525024,0,0.19981473684310913,0,0.0008471067994832993,0,0,0.4859707355499267,0.19419878721237183
54,0.3299575448036194,0.30178314447402954,0,0.3475801646709442,0,0.38466957211494446,0,0.0009257737547159196,0,0,0.2613712549209595,0.27381280064582825
55,0.2369765043258667,0.2622509002685547,0,0.2324889600276947,0,0.18394508957862857,0,0.0010905321687459946,0,0,0.2738076150417328,0.28616470098495483
56,0.20874419808387756,0.19271433353424072,0,0.28219014406204224,0,0.3237075209617615,0,0.002152033150196075,0,0,0.3782735168933869,0.4600000083446502
57,0.254871129989624,0.2151228189468384,0,0.26795607805252075,0,0.322658896446228,0,0.0015137288719415665,0,0,0.3235938549041748,0.15135109424591064
58,0.2817973494529724,0.2151198387145996,0,0.241355299949646,0,0.22370272874832153,0,0.0011042151600122452,0,0,0.396546483039856,0.24491527676582336
59,0.20057332515716553,0.27730005979537964,0,0.7596253752708435,0,0.1838184893131256,0,0.0030989330261945724,0,0,0.4241411685943603,0.2103596031665802
60,0.21038603782653809,0.3021552562713623,0,0.2574491500854492,0,0.39083331823349,0,,0,0,0.24131160974502563,0.457941472530365
61,0.2001914381980896,0.22547191381454468,0,0.4106954336166382,0,0.3519216477870941,0,0.002923412248492241,0,0,0.24135512113571167,0.21993443369865415
62,0.21019181609153748,0.17457017302513125,0,0.28508180379867554,0,0.26433566212654114,0,0.003434479236602783,0,0,0.4621141850948334,0.19871985912323
63,0.28642070293426514,0.2738114297389984,0,0.2590469717979431,0,0.32824403047561646,0,0.0020526833832263947,0,0,0.2235594391822815,0.21242743730545044
64,0.5608506202697754,0.700965404510498,0,0.3494497537612915,0,0.4127646088600158,0,0.004908047616481781,0,0,0.30579423904418945,0.15484124422073364
65,0.24494889378547668,0.21568137407302856,0,0.31518134474754333,0,0.2103770077228546,0,0.003261111676692962,0,0,0.3281513452529907,0.3516572117805481
66,0.34807297587394714,0.3175749182701111,0,0.2310575544834137,0,0.47578874230384827,0,0.0034489408135414124,0,0,0.2553976774215698,0.3666014075279236
67,0.2369944453239441,0.2549108862876892,0,0.24135509133338928,0,0.1846354603767395,0,0.006411559879779816,0,0,0.37489578127861023,0.45647722482681274
68,0.6523087024688721,0.3583572804927826,0,0.26216989755630493,0,0.2448464334011078,0,0.00538209080696106,0,0,0.7374898195266724,0.2696908712387085
69,0.2778468728065491,0.5465511083602905,0,0.2434917688369751,0,0.3048582673072815,0,0.012364387512207031,0,0,0.2582937479019165,0.38738417625427246
70,0.1662316918373108,0.5305477976799011,0,0.31120866537094116,0,0.2110267877578735,0,0.01097986102104187,0,0,0.4564788341522217,0.324415385723114
71,0.2684432864189148,0.3603397011756897,0,0.7417161464691162,0,0.3282444477081299,0,0.02050168812274933,0,0,0.4091241955757141,0.21510127186775208
72,0.21515750885009768,0.24345630407333377,0,0.24135512113571167,0,0.26627296209335327,0,0.01925835013389587,0,0,0.30716997385025024,0.32720455527305603
73,0.20577403903007507,0.3697996139526367,0,0.32413652539253235,0,0.2528323531150818,0,0.021560728549957275,0,0,0.4100619852542877,0.31734368205070496
74,0.2102048099040985,0.21743127703666687,0,0.5153186321258545,0,0.27381327748298645,0,0.016951680183410645,0,0,0.4606994092464447,0.3807538747787475
75,0.206465482711792,0.24135485291481015,0,0.27381446957588196,0,0.2980527877807617,0,0.0007930565625429153,0,0,0.3772172927856446,0.19982457160949707
76,0.16457891464233398,0.2549137473106384,0,0.28408557176589966,0,0.2151120901107788,0,0.001116812229156494,0,0,0.32274383306503296,0.3015987277030945
77,0.4192155003547669,0.35451993346214294,0,0.5806069374084473,0,0.3282279074192047,0,0.00016576657071709633,0,0,0.44003361463546753,0.2621104419231415
78,0.2592003345489502,0.26434147357940674,0,0.27172157168388367,0,0.2984375059604645,0,0.00020692497491836548,0,0,0.4820457696914673,0.20258891582489016
79,0.22313997149467468,0.23105931282043457,0,0.31757426261901855,0,0.8333709239959717,0,0.0002342581283301115,0,0,0.40451115369796753,0.2729558050632477
80,0.4191433787345886,0.3016808032989502,0,0.4967532455921173,0,0.2309080958366394,0,0.00023704953491687775,0,0,0.33011436462402344,0.2399536371231079
81,0.1859338879585266,0.3354837894439697,0,0.6118557453155518,0,0.3170204758644104,0,0.0003139195032417774,0,0,0.5032557249069214,0.18594324588775635
82,0.22491979598999023,0.25496095418930054,0,0.35298997163772583,0,0.2310578227043152,0,0.0007353127002716064,0,0,0.2978438436985016,0.5398426055908203
83,0.21352028846740723,0.25485754013061523,0,0.41023632884025574,0,0.2674197554588318,0,0.000428288709372282,0,0,0.8297080993652344,0.443599134683609
84,0.24191325902938843,0.32934772968292236,0,0.548603892326355,0,0.3535182774066925,0,0.0007661916315555573,0,0,0.4563533961772918,0.22835659980773929
85,0.4061025381088257,0.3586142659187317,0,0.7186252474784851,0,0.4400331377983093,0,0.0004783063195645809,0,0,0.37747031450271606,0.3531494140625
86,0.21955102682113647,0.29936179518699646,0,0.30159425735473633,0,0.4062737822532654,0,0.0004410119727253914,0,0,0.46893054246902466,0.7221959233283997
87,0.24553215503692627,0.3372858762741089,0,0.43683910369873047,0,0.4102374017238617,0,0.0004235589876770973,0,0,0.3394750952720642,0.2310006618499756
88,0.3277159035205841,0.44003307819366455,0,0.554598867893219,0,0.21510010957717896,0,0.0004924247041344643,0,0,0.43710556626319885,0.46917781233787537
89,0.5554690361022949,0.2763831317424774,0,0.4607001841068268,0,0.2979522943496704,0,0.0004431246779859066,0,0,0.3016381561756134,0.4441934227943421
90,0.24135220050811768,0.526189923286438,0,0.4864457845687866,0,0.380793809890747,0,0.0009034518152475356,0,0,0.407054215669632,0.22116225957870483
91,0.22959038615226743,0.548633337020874,0,0.4062357246875763,0,0.25491201877593994,0,0.0006672050803899765,0,0,0.7602865695953369,0.501902163028717
92,0.35713937878608704,0.21493315696716309,0,0.3175700902938843,0,0.40970712900161743,0,0.0006696451455354691,0,0,0.4417014718055725,0.2353775650262833
93,0.24496304988861084,0.2449834942817688,0,0.5948732495307922,0,0.276499480009079,0,0.0011112503707408905,0,0,0.44496309757232666,0.2460775375366211
94,0.2932348847389221,0.3797507882118225,0,0.3619651794433594,0,0.476087361574173,0,0.0007879063487052917,0,0,0.4626729488372803,0.2481343001127243
95,0.4340904355049134,0.3394758701324463,0,0.5032545924186707,0,0.2440214455127716,0,0.002272851765155792,0,0,0.6611942052841187,0.32037079334259033
96,0.4119412899017334,0.3175753355026245,0,0.5650261640548706,0,0.392310231924057,0,0.0010156231001019478,0,0,0.4564788341522217,0.2716538906097412
97,0.2433578372001648,0.3416414260864258,0,0.35195356607437134,0,0.24242275953292847,0,0.0021004825830459595,0,0,0.3933032751083374,0.3878939151763916
98,0.2553885579109192,0.35195285081863403,0,0.7399729490280151,0,0.6292147636413574,0,0.0012508891522884369,0,0,0.42757031321525574,0.2669755816459656
99,0.2932353913784027,0.2932348847389221,0,0.5545988082885742,0,0.7675905823707581,0,0.0021379198879003525,0,0,0.4924224019050598,0.2573413848876953
100,0.6432070732116699,0.4368433952331543,0,0.4967493414878845,0,0.4102376401424408,0,0.0014535225927829742,0,0,0.44160354137420654,0.210379958152771
101,0.2454337179660797,0.7918646335601807,0,0.5083250999450684,0,0.4102194905281067,0,0.001725759357213974,0,0,0.48723748326301575,0.652591347694397
102,0.30800142884254456,0.3583575189113617,0,0.47736528515815735,0,0.4719164967536926,0,0.002753760665655136,0,0,0.41023707389831543,0.2734508514404297
103,0.3175593316555023,0.5066845417022705,0,0.2932349443435669,0,0.28612327575683594,0,0.003109566867351532,0,0,0.42883720993995667,0.2318163514137268
104,0.2984492778778076,0.528258740901947,0,0.609246015548706,0,0.414131224155426,0,0.002927210181951523,0,0,0.39081281423568726,0.21076732873916623
105,0.19984209537506104,0.3475806415081024,0,0.4115690290927887,0,0.3289645314216614,0,0.0028261616826057434,0,0,0.48426353931427,0.2301613688468933
106,0.27707260847091675,0.7103898525238037,0,0.5545943975448608,0,0.5599758625030518,0,0.0028423555195331573,0,0,0.3653633296489715,0.21653342247009277
107,0.25625914335250854,0.6381206512451172,0,0.34021270275115967,0,0.35086727142333984,0,0.0030843354761600494,0,0,0.9219252467155457,0.3293023109436035
108,0.3772769868373871,0.4099598526954651,0,0.30642640590667725,0,0.4750419855117798,0,0.003182731568813324,0,0,0.29323524236679077,0.3100098967552185
109,0.39973628520965576,0.3358812928199768,0,0.5044612884521484,0,0.3569733202457428,0,0.005879506468772888,0,0,0.4102373421192169,0.31677860021591187
110,0.4139901101589203,0.6357075572013855,0,0.4115694463253021,0,0.3908531963825226,0,0.006155297160148621,0,0,0.7151520848274231,0.32244962453842163
111,0.19308346509933472,0.4770216941833496,0,0.6118521690368652,0,0.3882189989089966,0,0.0060442909598350525,0,0,0.436843603849411,0.5350127816200256
112,0.3535182476043701,0.543249249458313,0,0.3535170257091522,0,0.23105832934379575,0,0.00646866112947464,0,0,0.43996700644493103,0.30427277088165283
113,0.3705924153327942,0.35835641622543335,0,0.3531595766544342,0,0.34402090311050415,0,0.005711019039154053,0,0,0.601371705532074,0.3182820975780487
114,0.5271092653274536,0.5169683694839478,0,0.3372383415699005,0,0.28977757692337036,0,0.010041609406471252,0,0,0.8991705775260925,0.3300768733024597
115,0.26697731018066406,0.4697892665863037,0,0.35351723432540894,0,0.3170914351940155,0,0.010427802801132202,0,0,0.34567564725875854,0.2943214774131775
116,0.29224732518196106,0.42817601561546326,0,0.35351696610450745,0,0.3797557950019837,0,0.005598075687885284,0,0,0.4141417145729065,0.29323285818099976
117,0.44610852003097534,0.8868616223335266,0,0.41401734948158264,0,0.42551541328430176,0,0.009131386876106262,0,0,0.5190832614898682,0.2773023247718811
118,0.35351723432540894,0.9557294249534608,0,0.3487839698791504,0,0.4400312304496765,0,0.023517251014709473,0,0,0.5072853565216064,0.24123233556747437
119,0.3186317980289459,0.33947548270225525,0,0.35665223002433777,0,0.45631489157676697,0,0.013188958168029783,0,0,0.4734571576118469,0.33941903710365295
120,0.39975836873054504,0.45647767186164856,0,0.39108046889305115,0,0.5486321449279785,0,0.015832602977752686,0,0,0.520241379737854,0.21259444952011108
121,0.4429733455181122,0.4400348663330078,0,0.4495261311531067,0,0.31861576437950134,0,0.009629815816879272,0,0,0.5545486807823181,0.29726266860961914
122,0.2413455545902252,0.6783351898193359,0,0.469552218914032,0,0.3603620231151581,0,0.003804624080657959,0,0,0.4398552179336548,0.3487904667854309
123,0.24500396847724917,0.3619649410247803,0,0.5596526265144348,0,0.4102368652820587,0,0.0001269616186618805,0,0,0.7327232360839844,0.6117526888847351
124,0.2981208264827728,0.5944448709487915,0,0.4046360850334167,0,0.4310336709022522,0,9.688735008239746e-05,0,0,0.6782814860343933,0.3920862674713135
125,0.2980239689350128,0.5623722076416016,0,0.4046506881713867,0,0.496754378080368,0,0.0002212882973253727,0,0,0.49675294756889343,0.20874238014221191
126,0.28519362211227417,0.4495386481285095,0,0.49645525217056274,0,0.763857901096344,0,0.00024796556681394577,0,0,0.8259546756744385,0.27959001064300537
127,0.31745296716690063,0.5328641533851624,0,0.35351723432540894,0,0.4141206443309784,0,0.0004608500748872757,0,0,0.6345451474189758,0.301624059677124
128,0.4429504871368408,0.7172131538391113,0,0.482166588306427,0,0.3968485593795776,0,0.00012560468167066574,0,0,0.36703479290008545,0.28814697265625
129,0.2773001194000244,0.5948964357376099,0,0.3849625587463379,0,0.5462151169776917,0,0.0001719989813864231,0,0,0.4373413920402527,0.5047069191932678
130,0.33947569131851196,0.6611925363540649,0,0.4744115471839905,0,0.43684396147727966,0,0.00017821695655584335,0,0,0.9992817044258118,0.36275938153266907
131,0.3305370509624481,0.5466039180755615,0,0.4744124710559845,0,0.3982449769973755,0,0.0002407464198768139,0,0,0.6062123775482178,0.27084246277809143
132,0.4564785659313202,0.48949944972991943,0,0.4564783573150635,0,0.4102364778518677,0,0.00014792662113904953,0,0,0.4102373421192169,0.25833702087402344
133,0.41253164410591125,0.35835716128349304,0,0.6776177883148193,0,0.6034421920776367,0,0.0003688698634505272,0,0,0.7445515990257263,0.3768875300884247
134,0.548349916934967,0.4102373421192169,0,0.33108437061309814,0,0.5903985500335693,0,0.0003308616578578949,0,0,0.7949410080909729,0.2413543462753296
135,0.3717028498649597,0.8289330005645752,0,0.5912684202194214,0,0.4967532455921173,0,0.0005746372044086456,0,0,0.7222251296043396,0.370275616645813
136,0.32345151901245117,0.6705371141433716,0,0.6751086711883545,0,0.4967529773712158,0,0.0003689732402563095,0,0,0.4967540502548218,0.37724584341049194
137,0.2728697657585144,0.3779768645763397,0,0.7298740148544312,0,0.35834282636642456,0,0.00027093058452010155,0,0,0.842972993850708,0.3519028425216675
138,0.4141294360160827,0.35351723432540894,0,0.6188160181045532,0,0.4480634927749634,0,0.0001842901110649109,0,0,0.424378514289856,0.26697707176208496
139,0.39969247579574585,0.4564788341522217,0,0.42752593755722046,0,0.5082591772079468,0,0.0003531370311975479,0,0,0.5311307907104492,0.4120033085346222
140,0.4429735541343689,0.4744108319282532,0,0.5963563919067383,0,0.4371174275875091,0,0.00029017217457294464,0,0,0.4102375209331513,0.5088218450546265
141,0.3777369260787964,0.7388224601745605,0,0.4836152493953705,0,0.49944645166397095,0,0.00044336309656500816,0,0,0.4241411089897156,0.43994978070259094
142,0.42050161957740784,0.4206448793411255,0,0.4429721534252167,0,0.49675101041793823,0,0.0004113204777240753,0,0,0.4141294360160827,0.39441150426864624
143,0.4141286015510559,0.3394762873649597,0,0.5466018915176392,0,0.41489994525909424,0,0.000361570157110691,0,0,0.5216770768165588,0.311063677072525
144,0.32972651720046997,0.4396876990795135,0,0.9679502248764038,0,0.5039222240447998,0,0.0004277164116501808,0,0,0.5155518054962158,0.28557610511779785
145,0.2932349443435669,0.7327468395233154,0,0.5830114483833313,0,0.8289755582809448,0,0.0004213061183691025,0,0,0.7479191422462463,0.42463281750679016
146,0.6472456455230713,0.6580967903137207,0,0.594874382019043,0,0.39975452423095703,0,0.0003274320624768734,0,0,0.5830109715461731,0.24609041213989255
147,0.33773893117904663,0.8811720013618469,0,0.5271311402320862,0,0.43494635820388794,0,0.0006962809711694717,0,0,0.4621174037456513,0.24508363008499143
148,0.6118559837341309,0.3807963132858277,0,0.6201523542404175,0,0.4744957685470581,0,0.0005263471975922585,0,0,0.6927622556686401,0.4204632043838501
149,0.30163729190826416,0.6333965063095093,0,0.41023844480514526,0,0.609266996383667,0,0.0008755549788475037,0,0,0.8271868228912354,0.31861621141433716
150,0.354561984539032,0.45647868514060974,0,0.8173952102661133,0,0.41407251358032227,0,0.00035603437572717667,0,0,0.4400348663330078,0.35195231437683105
151,0.44461941719055176,0.5980929136276245,0,0.7289506196975708,0,0.6219508647918701,0,0.00039524585008621216,0,0,0.548633337020874,0.28802618384361267
152,0.3170452415943146,0.4946303367614746,0,0.5516328811645508,0,0.3773680925369262,0,0.0005289409309625626,0,0,0.4400331377983093,0.270392507314682
153,0.3544761538505554,0.4069226682186126,0,0.5317716598510742,0,0.43632227182388306,0,0.0006645163521170616,0,0,0.9579845070838928,0.3819956779479981
154,0.3933093249797821,0.6836330890655518,0,0.6118559837341309,0,0.6168417930603027,0,0.0006031207740306854,0,0,0.9155643582344056,0.2932353913784027
155,0.5723088383674622,0.5373603701591492,0,0.5543128252029419,0,0.4400346577167511,0,0.0006930176168680191,0,0,0.562373697757721,0.2703547775745392
156,0.35351723432540894,0.3831031918525696,0,0.7615939378738403,0,0.6845858097076416,0,0.0009562177583575248,0,0,0.4115698635578155,0.645785927772522
157,0.5083574056625366,0.5291654467582703,0,0.6652207970619202,0,0.5931470990180969,0,0.0007678251713514328,0,0,0.5664862394332886,0.32824406027793884
158,0.4034944772720337,0.5960507988929749,0,0.5163241028785706,0,0.6496691107749939,0,0.0007966738194227219,0,0,0.44297343492507935,0.36210060119628906
159,0.5599748492240906,0.426651269197464,0,0.5186415314674377,0,0.3793121576309204,0,0.0010924488306045532,0,0,0.4716115593910218,0.34739089012145996
160,0.3583488464355469,0.4927346706390381,0,0.4967442750930786,0,0.4668271541595459,0,0.0007100608199834824,0,0,0.6418517827987671,0.9729525446891784
161,0.4744114577770233,0.6185534596443176,0,0.6541716456413269,0,0.4737588167190552,0,0.0009340066462755204,0,0,0.9909871816635132,0.3016374111175537
162,0.4868384599685669,0.44003361463546753,0,0.6983687281608582,0,0.5311316251754761,0,0.00088456179946661,0,0,0.612651526927948,0.301636666059494
163,0.4101771414279938,0.4085111021995544,0,0.4564788341522217,0,0.7687023878097534,0,0.0008178912103176117,0,0,0.7566034197807312,0.3564273416996002
164,0.3643394708633423,0.5305094122886658,0,0.523422122001648,0,0.757510244846344,0,0.0006432719528675079,0,0,0.8793718814849854,0.4557911157608032
165,0.40577030181884766,0.3571402132511139,0,0.973901093006134,0,0.4522668719291687,0,0.0008098222315311432,0,0,0.7559972405433655,0.31741273403167725
166,0.6552000045776367,0.39975929260253906,0,0.6442366242408752,0,0.583010733127594,0,0.0015351548790931702,0,0,0.8174506425857544,0.3424723744392395
167,0.30163779854774475,0.4578821361064911,0,0.6292527914047241,0,0.6317529678344727,0,0.0010786671191453934,0,0,0.31861865520477295,0.3191376328468323
168,0.9011607766151428,0.5830113887786865,0,0.7074491381645203,0,0.6117403507232666,0,0.0014899801462888718,0,0,0.8035913109779358,0.3433449864387512
169,0.3987000286579132,0.8059206008911133,0,0.7632352113723755,0,0.5576463937759399,0,0.0015828460454940796,0,0,0.4400331377983093,0.6044727563858032
170,0.35351723432540894,0.4370593726634979,0,0.5830117464065552,0,0.5994806289672852,0,0.0028090570122003555,0,0,0.5409165024757385,0.29817360639572144
171,0.44297340512275696,0.5622970461845398,0,0.5248495936393738,0,0.9903903007507324,0,0.002799808979034424,0,0,0.6846100091934204,0.4399237334728241
172,0.5832204818725586,0.5599756240844727,0,0.6317514181137085,0,0.43408921360969543,0,0.002157151699066162,0,0,0.6551989316940308,0.35195213556289673
173,0.4564783573150635,0.4606993496417999,0,0.5948721170425415,0,0.54648756980896,0,0.002132739871740341,0,0,0.5480973720550537,0.4429725408554077
174,0.3582902252674103,0.5183836817741394,0,0.7014302015304565,0,0.546552300453186,0,0.0034569688141345978,0,0,0.6789118647575378,0.3997282385826111
175,0.548633337020874,0.48118823766708374,0,0.6243667006492615,0,0.5830113291740417,0,0.002701748162508011,0,0,0.5319783687591553,0.35955506563186646
176,0.3576120436191559,0.6695273518562317,0,0.5948739647865295,0,0.6580960750579834,0,0.003041442483663559,0,0,0.7716339826583862,0.3678857386112213
177,0.4102373421192169,0.5166192054748535,0,0.5032554864883423,0,0.47717615962028503,0,0.0027338899672031403,0,0,0.8911221623420715,0.2449176013469696
178,0.6817013025283813,0.3583574593067169,0,0.7345806956291199,0,0.3847203254699707,0,0.0015197210013866425,0,0,0.5032562613487244,0.41002658009529114
179,0.7198636531829834,0.45970097184181213,0,0.5540035367012024,0,0.6695194244384766,0,0.002559348940849304,0,0,0.7327512502670288,0.35712674260139465
