step,deepseek1.5b_sync_8gpu_lr3e-6-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_8gpu_lr5e-6-training/rollout_probs_diff_mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_fa_partial_lr1e-6-training/rollout_probs_diff_mean_step,deepseek1.5b_fa_partial_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_lr1e-6-training/rollout_probs_diff_mean_step
11,0.0038217983674257994,0.003786737797781825,0,0.0037872986868023872,,,0,,0,0,0.003716751234605909,0.003828979330137372
12,0.0039057591930031776,0.0038855166640132666,0,,0,0.00383390043862164,,0.0036518292035907503,0,0,0.003757619764655829,0.0038902992382645607
13,,0.003803086234256625,0,,,,,,0,0,0.0036721148062497377,0.003832427551969886
14,0.0037971895653754473,0.003792213276028633,,0.0038122592959553,,0.0037409579381346703,0,0.0029350232798606157,0,0,0.0036682509817183018,0.003828791668638587
15,0.00387309561483562,0.003861882258206606,0,0.0038567062001675367,0,0.003833385882899165,0,0.0022367783822119236,0,0,0.00375821883790195,0.003923539537936449
16,0.0039420961402356625,,0,,0,,0,,0,0,0.0038436013273894782,0.003992870915681124
17,0.003819000907242298,0.0038044420070946217,0,0.003800477366894483,0,0.003710196353495121,0,,0,0,0.003697579260915518,0.0038752362597733736
18,0.0036899885162711143,0.003727878909558058,0,0.0037567683029919863,,0.003691454418003559,,,0,0,0.003613558597862721,0.003804448526352644
19,0.0037391255609691143,0.003713111625984311,0,0.003740639425814152,0,,0,0.0012780122924596071,0,0,0.003677691332995891,0.003787586465477943
20,,0.0038180213887244463,0,0.0038203659933060408,,0.00374940992332995,,0.000957877899054438,0,0,0.0037268453743308783,0.003926116041839123
21,0.0038437156472355127,0.003768935799598694,,0.0038212486542761326,0,0.0037173936143517494,0,0.0005826160777360201,0,0,0.003737842896953225,0.003923235461115837
22,,0.003732657991349697,0,0.003718666965141893,0,0.0036312860902398825,0,0.00029869776335544884,0,0,0.0036077669356018305,0.003880504751577974
23,,0.0037979036569595337,0,0.0038162183482199903,,0.003723182482644915,0,6.0425834817579016e-05,0,0,0.003741460153833032,0.0039345091208815575
24,0.003773255506530404,0.003762762062251568,0,0.0038072490133345127,0,0.003762107808142901,0,5.719336968468269e-06,0,0,0.003655089531093836,0.003911805339157581
25,0.0036996195558458567,0.0037108955439180136,0,0.003695343621075154,,,0,1.7446536730858495e-06,0,0,0.0035277169663459063,0.0038288214709609743
26,0.003782687010243535,0.003701684297993779,0,0.003717245301231742,,,,6.141304425000271e-07,0,0,0.0035657172556966543,0.003874995280057192
27,0.003700448432937264,0.00366757926531136,,,,,,,0,0,0.003571942448616028,0.0038584573194384575
28,0.0038033314049243927,,0,0.0037343534640967846,0,0.003671403741464019,0,1.1981651937276186e-07,0,0,0.0035346762742847204,0.003900169627740979
29,0.0037224090192466974,0.00357719324529171,,0.003669290104880929,0,0.0036219332832843065,0,7.988187178398219e-08,0,0,0.003479864913970232,0.0038066450506448746
30,0.003678506007418037,0.0036003482528030872,0,0.003593589412048459,0,,0,6.617857906121571e-08,0,0,0.0034902875777333975,0.003785793436691165
31,,,0,0.003674811916425824,0,0.0036740952637046576,0,5.437187766688113e-08,0,0,0.0035855192691087723,0.003919803537428379
32,0.003682788461446762,0.0035552510526031256,0,0.003584295278415084,0,0.0035300543531775475,,5.453679818856473e-08,0,0,0.0033975255209952593,0.003821911057457328
33,0.003806101158261299,0.0036071804352104664,0,0.00362717011012137,0,0.0036313070449978113,,4.4723979186755975e-08,0,0,0.0034845315385609865,0.003875409485772252
34,0.003768307622522116,0.003585458965972066,0,0.003593383356928826,0,0.00363067421130836,0,,0,0,0.0034732327330857515,0.0038447852712124586
35,,,0,0.00350746838375926,0,0.0034889953676611185,,4.5061192111006676e-08,0,0,0.0033243100624531507,0.0037759048864245415
36,0.003739788662642241,0.003601223463192582,0,0.003599260002374649,0,,,,0,0,0.0034392871893942356,0.003855148795992136
37,0.0036546303890645504,0.003406248288229108,0,0.0034434001427143812,0,0.003501173574477434,0,,0,0,0.0032948378939181566,0.003741693682968617
38,0.003656666725873947,0.0035175520461052656,0,0.003443559631705284,0,0.003563664620742202,0,3.978197682386053e-08,0,0,0.003393510589376092,0.003825346939265728
39,0.003751737531274557,0.003578030737116933,0,0.0034796781837940216,0,0.0035732833202928305,,3.902718503923097e-08,0,0,0.0034253241028636694,0.003857590490952134
40,0.003658185014501214,0.003456807229667902,0,0.0033708401024341583,0,,0,,0,0,0.0033508616033941507,0.003795715281739831
41,0.00378538784570992,0.003581430297344923,0,0.0034602892119437456,0,0.0035844941157847643,0,,0,0,0.0034716103691607714,0.003939799498766661
42,0.0036451900377869606,0.0034204148687422276,0,0.0033688382245600224,0,0.003525352571159601,0,3.534103854008208e-08,0,0,0.003343180986121297,0.0038152849301695824
43,0.003594297217205167,0.003371095983311534,0,,0,0.003510570852085948,0,3.5413588506116866e-08,0,0,0.0032668807543814182,0.0037249047309160233
44,0.003638981143012643,0.0033591785468161106,0,0.003287466475740075,0,0.003606062149628997,0,3.7875828695632656e-08,0,0,0.003299077041447162,0.003760827006772161
45,0.0036871912889182568,0.0034452229738235474,0,0.003388291224837303,0,0.003672661259770394,0,4.080771986991749e-08,0,0,0.003318195464089513,0.003775702090933919
46,0.0036572222597897057,0.0034159873612225056,0,0.003353563603013754,0,0.003683147020637989,0,4.0185444305507196e-08,0,0,0.003167724469676614,0.003782790387049318
47,0.003572882851585746,0.0032916730269789696,0,,0,0.0035328527446836233,0,,0,0,0.0032110800966620445,0.003660460701212287
48,0.003713480895385146,0.00335765746422112,0,0.003340252675116062,0,0.003632324282079935,0,3.4267692683442874e-08,0,0,0.003247995860874653,0.0037632931489497423
49,0.003561895340681076,0.0032905801199376583,0,0.003171922406181693,0,,0,3.5467252246235155e-08,0,0,0.0031110048294067383,0.003695691004395485
50,0.003635780885815621,0.003303104778751731,0,0.0033153824042528868,0,0.003527479944750666,0,3.5409211562864584e-08,0,0,0.0031170458532869816,0.003727974835783243
51,0.0035540221724659204,0.0032032732851803303,0,0.003124001668766141,0,0.0033797540236264467,0,3.9060708445504127e-08,0,0,0.0030739649664610624,0.003648613812401891
52,0.003486037952825427,0.0032420698553323746,0,0.003114041406661272,0,0.0034013399854302406,0,4.043399570718975e-08,0,0,0.0030153875704854727,0.0036204690113663673
53,0.003604403231292963,0.0032423201482743025,0,0.003187092486768961,0,0.003388451179489494,0,3.883744881250095e-08,0,0,0.003100368194282055,0.0036652858834713697
54,0.0037237482611089945,0.003399967448785901,0,0.0032687378115952015,0,0.0034766013268381357,0,3.70815875783137e-08,0,0,0.0032038548961281776,0.003781135194003582
55,0.003742576343938708,0.0033858995884656906,0,0.003319903276860714,0,0.003530876943841577,0,3.856594332773966e-08,0,0,0.003275888040661812,0.0037172799929976463
56,0.0037438084837049246,0.0034010782837867737,0,0.003364979987964034,0,0.0035605402663350105,0,4.0844010840146445e-08,0,0,0.0032664374448359013,0.0038273849058896303
57,0.0036044735461473465,0.0032956104259938,0,0.003243480809032917,0,0.003448620205745101,0,4.001664777320002e-08,0,0,0.0032092342153191566,0.003742627566680312
58,0.0035847770050168037,0.003301894059404731,0,0.003206436289474368,0,0.003453727113083005,0,3.619988220293635e-08,0,0,0.003141874447464943,0.0037470818497240543
59,0.0034289720933884382,0.0032072775065898895,0,0.003217454068362713,0,0.0033747341949492693,0,5.457525631413773e-08,0,0,0.0030614295974373817,0.003684002673253417
60,0.003646915545687079,0.0034420071169734,0,0.0033220297191292048,0,0.0035886382684111595,0,,0,0,0.003274207701906562,0.003861750243231654
61,0.003576223039999604,0.003347100457176566,0,0.003296444658190012,0,0.003433844074606895,0,4.9217941722190524e-08,0,0,0.0032154007349163294,0.003792248200625181
62,0.003539413446560502,0.0033367015421390533,0,0.0032634546514600515,0,0.003391074016690254,0,4.545874432437813e-08,0,0,0.003109219018369913,0.003819188335910439
63,0.003441983135417104,0.003246404230594635,0,0.003207052126526833,0,0.0032410544808954,0,4.7374530964816586e-08,0,0,0.0030660107731819153,0.003686581738293171
64,0.003576783463358879,0.003407066687941551,0,0.0033261345233768225,0,0.0034482183400541544,0,5.12747462266816e-08,0,0,0.00321417604573071,0.003842482576146722
65,0.0033890835475176573,0.0032354886643588543,0,0.0031490526162087917,0,0.003311743726953864,0,4.700321554196307e-08,0,0,0.003035880159586668,0.0037000542506575584
66,0.0033706664107739925,0.0031535380985587835,0,0.003116627922281623,0,0.0033372007310390472,0,6.037578259565636e-08,0,0,0.0030085595790296793,0.0036857943050563335
67,0.0034700604155659676,0.003233078634366393,0,0.003169464645907283,0,0.0033841568510979414,0,8.130623996294163e-08,0,0,0.003048968268558383,0.0037549224216490984
68,0.0032446414697915316,0.002986874897032976,0,0.0030340710654854774,0,0.003115758765488863,0,6.93863384526594e-08,0,0,0.0027632624842226505,0.0035472975578159094
69,0.003342233132570982,0.0030340678058564663,0,0.003083951538428664,0,0.003159529995173216,0,1.0247658366324687e-07,0,0,0.00288171274587512,0.003585254307836294
70,0.003331427928060293,0.0031037020962685347,0,0.0030522625893354416,0,0.003195177996531129,0,1.1372874553217116e-07,0,0,0.002891584299504757,0.003680427325889468
71,0.0034607374109327793,0.0032113695051521063,0,0.003128326265141368,0,0.0033006672747433186,0,1.640875524344665e-07,0,0,0.003013495123013854,0.003805663203820586
72,0.003525319043546915,0.0032160270493477583,0,0.0031903909984976053,0,0.003285959828644991,0,1.8637429377577067e-07,0,0,0.0030932200606912374,0.003828080836683512
73,0.003450605319812894,0.003053352003917098,0,0.003070160048082471,0,0.003224916523322463,0,1.8142900160000866e-07,0,0,0.002966717816889286,0.003723139874637127
74,0.003323852550238371,0.003106897696852684,0,0.003004953498020768,0,0.003162330249324441,0,1.1466737248611025e-07,0,0,0.0028887419030070305,0.003641267074272037
75,0.0033246194943785667,0.003086470533162355,0,0.002969453576952219,0,0.003080586437135935,0,3.088972988507521e-08,0,0,0.0028871684335172176,0.00364967854693532
76,0.003532193833962083,0.0031783515587449074,0,0.0031349831260740757,0,0.0032565074507147074,0,2.9537416068592393e-08,0,0,0.0029949741438031197,0.003822884056717158
77,0.003279981203377247,0.0030428983736783266,0,0.0028987685218453407,0,0.003083667019382119,0,3.30808695991891e-08,0,0,0.0028161173686385155,0.003607163904234767
78,0.0033109544310718775,0.003080009249970317,0,0.0029623988084495068,0,0.003074908396229148,0,3.9617965796878714e-08,0,0,0.002810379024595022,0.003729529678821564
79,0.0033837968949228525,0.0031287071760743856,0,0.0030388531740754843,0,0.0031041845213621855,0,3.67828505432044e-08,0,0,0.00287145865149796,0.0037622125819325447
80,0.0033215507864952087,0.003045970806851983,0,0.002943812170997262,0,0.003054858883842826,0,3.1794119337291704e-08,0,0,0.0028044634964317083,0.0036930879577994342
81,0.003284777281805873,0.0030273478478193283,0,0.002932501258328557,0,0.0030531841330230236,0,2.8346828884195936e-08,0,0,0.002799397567287087,0.0036436663940548897
82,0.0033933622762560844,0.0031333828810602427,0,0.0030571995303034782,0,0.003126806579530239,0,2.7529198476372585e-08,0,0,0.0028987049590796232,0.003791414201259613
83,0.0034146474208682775,0.0031379887368530035,0,0.0030738580971956253,0,0.003112632082775235,0,2.9843064908163797e-08,0,0,0.002898390404880047,0.0037119281478226185
84,0.0032872757874429226,0.0030489808414131403,0,0.002889924915507436,0,0.0030379474628716707,0,2.914417329691333e-08,0,0,0.0027567436918616295,0.0036915817763656378
85,0.003325767582282424,0.003080798080191016,0,0.002980612451210618,0,0.0030480290297418833,0,2.9715577554156887e-08,0,0,0.0028246259316802025,0.003705784445628524
86,0.003280417760834098,0.0030529960058629513,0,0.002965610008686781,0,0.0030875736847519875,0,2.9310207594335225e-08,0,0,0.002832805970683694,0.003696424886584282
87,0.003285030834376812,0.002947909524664283,0,0.002969545777887106,0,0.0030102157033979893,0,3.1561551594450066e-08,0,0,0.0027153838891535997,0.0035973081830888987
88,0.003232555463910103,0.003036725800484419,0,0.002941460581496358,0,0.002975081093609333,0,3.0907720827144665e-08,0,0,0.002759145572781563,0.003633002517744899
89,0.003150957403704524,0.0029778238385915756,0,0.0028843486215919256,0,0.002961438149213791,0,3.011172111655469e-08,0,0,0.0027045642491430044,0.00358936027623713
90,0.003220051527023315,0.002934047719463706,0,0.00291408016346395,0,0.0030000805854797363,0,3.1355138929711757e-08,0,0,0.002694389084354043,0.0035634622909128666
91,0.003246236359700561,0.002997178118675947,0,0.0029375862795859575,0,0.0029765446670353413,0,2.9419798153185184e-08,0,0,0.002726777922362089,0.003635060274973512
92,0.0031527280807495117,0.0028845835477113724,0,0.0029007247649133205,0,0.0029333941638469696,0,3.066315201749603e-08,0,0,0.0026961476542055607,0.0035784123465418816
93,0.003282892983406782,0.0029864630196243525,0,0.002949852030724287,0,0.00299872737377882,0,3.2944111438837353e-08,0,0,0.0028181711677461863,0.003685197792947292
94,0.0032724635675549507,0.002934752032160759,0,0.003005346283316612,0,0.0030064580496400595,0,3.2677274219850005e-08,0,0,0.002802204107865691,0.0036929503548890352
95,0.0031118111219257116,0.002898844890296459,0,0.002845305949449539,0,0.0028856038115918636,0,3.4390044589827085e-08,0,0,0.002634680364280939,0.0035673545207828283
96,0.0029934721533209085,0.0028544191736727953,0,0.0028565938118845224,0,0.0027695035096257925,0,3.2642788028169896e-08,0,0,0.0026100201066583395,0.003460092004388571
97,0.0031737349927425385,0.0029963962733745575,0,0.0029505928978323936,0,0.002934191608801484,0,3.604819553970629e-08,0,0,0.0027480428107082844,0.003692922880873084
98,0.003240579040721059,0.002945119980722666,0,0.0029548497404903173,0,0.0029405022505670786,0,3.438043094661225e-08,0,0,0.002716192975640297,0.0036515614483505487
99,0.0030209149699658155,0.0028495590668171644,0,0.002843375550583005,0,0.002828181954100728,0,3.694139039112088e-08,0,0,0.0026623085141181946,0.0035732779651880264
100,0.003101503476500511,0.0028403436299413443,0,0.0028462407644838095,0,0.002849490148946643,0,3.7806117347827246e-08,0,0,0.0026049145963042974,0.0035484337713569403
101,0.0030920393764972687,0.0028558517806231976,0,0.0029145595617592335,0,0.002842377871274948,0,3.994250974415081e-08,0,0,0.002678191987797618,0.0035848456900566816
102,0.00320301647298038,0.002922385931015014,0,0.0029379099141806364,0,0.0029787463136017323,0,4.108349216380702e-08,0,0,0.0027183194179087877,0.003686638083308935
103,0.003056495450437069,0.0027857061941176653,0,0.0027843741700053215,0,0.0027041344437748194,0,4.3261643156711216e-08,0,0,0.0025580236688256264,0.003493553027510643
104,0.0031226479914039373,0.0028655652422457933,0,0.002862835070118308,0,0.0028827148489654064,0,4.480473947410246e-08,0,0,0.00264215050265193,0.003587564220651984
105,0.0031777117401361465,0.0029137327801436186,0,0.0029461791273206472,0,0.002947414293885231,0,4.937632525070512e-08,0,0,0.002693034475669265,0.003635855158790946
106,0.003074705135077238,0.002912947442382574,0,0.0028471658006310463,0,0.002884248737245798,0,5.4575806984757946e-08,0,0,0.002621787367388606,0.003554722061380744
107,0.003137843916192651,0.002909208182245493,0,0.0028647324070334435,0,0.0029517163056880236,0,5.7046197099452924e-08,0,0,0.002647602930665016,0.003591426881030202
108,0.0030261853244155645,0.0028917221352458,0,0.00277696643024683,0,0.0028527178801596165,0,5.621713228265436e-08,0,0,0.0025516250170767307,0.003493041731417179
109,0.0030178551096469164,0.002806869801133871,0,0.002702821744605899,0,0.0027378236409276724,0,7.036403815163794e-08,0,0,0.0025168578140437603,0.0034039730671793222
110,0.003035453613847494,0.0028596024494618177,0,0.002803471405059099,0,0.002854850608855486,0,7.285837000381434e-08,0,0,0.0026324340142309666,0.0035519259981811047
111,0.003110916819423437,0.0029255072586238384,0,0.002828462515026331,0,0.0028914748691022396,0,6.600886592877941e-08,0,0,0.002662797924131155,0.0034942191559821367
112,0.0030824008863419294,0.002824491588398814,0,0.0028142479714006186,0,0.002836300525814295,0,8.211510049704884e-08,0,0,0.002619274891912937,0.003376265987753868
113,0.003124890383332968,0.0029362766072154045,0,0.00282368715852499,0,0.0029109602328389883,0,8.51442720772866e-08,0,0,0.0026878032367676497,0.003451491938903928
114,0.002975270850583911,0.0027619178872555494,0,0.0027161657344549894,0,0.002795732114464045,0,9.088651609090449e-08,0,0,0.00255295867100358,0.0034399766009300947
115,0.002988854423165322,0.0028186708223074675,0,0.0027618701569736004,0,0.002797998022288084,0,1.3655791519795457e-07,0,0,0.002556017367169261,0.003377183573320508
116,0.00299900327809155,0.00291232205927372,0,0.002747311955317855,0,0.002827067393809557,0,1.1409612454826858e-07,0,0,0.002646927023306489,0.003489069640636444
117,0.002953130751848221,0.0027759820222854614,0,0.002671720925718546,0,0.0027178621385246515,0,1.2686830075381297e-07,0,0,0.002530371770262718,0.0033211596310138702
118,0.002974465722218156,0.002846968825906515,0,0.0028248645830899477,0,0.002802083734422922,0,1.9076655632943584e-07,0,0,0.002614009426906705,0.00341800507158041
119,0.003000378841534257,0.0028230880852788687,0,0.0027637057937681675,0,0.002812705235555768,0,1.7517004380351866e-07,0,0,0.0026090131141245365,0.003385666524991393
120,0.002946989145129919,0.0028279703110456467,0,0.0027566018979996443,0,0.002738428767770529,0,1.95844918948751e-07,0,0,0.002622919622808695,0.0033291166182607412
121,0.003038441296666861,0.002852425677701831,0,0.002862004330381751,0,0.002879680832847953,0,1.2459523190955224e-07,0,0,0.002689977176487446,0.0034658482763916254
122,0.0028280357364565134,0.0027702469378709793,0,0.002727717161178589,0,0.002706885803490877,0,7.606733021248148e-08,0,0,0.0025364679750055075,0.003313685767352581
123,0.002913942327722907,0.002825754228979349,0,0.0027253534644842148,0,0.0028007784858345985,0,2.3241215174607532e-08,0,0,0.002603747881948948,0.003393695456907153
124,0.0028571002185344696,0.0027805110439658165,0,0.0027456190437078476,0,0.0027285385876893997,0,2.255502273840193e-08,0,0,0.002521538408473134,0.0032507996074855328
125,0.002967576961964369,0.0028109459672123194,0,0.0027924899477511644,0,0.002834921469911933,0,2.449862535058855e-08,0,0,0.0025577284395694733,0.0034321402199566364
126,0.002928829751908779,0.0028531798161566257,0,0.00274956994690001,0,0.0028259344398975372,0,2.5406455606002964e-08,0,0,0.0025881780311465263,0.003427918069064617
127,0.002873376477509737,0.0027479599229991436,0,0.002727697603404522,0,0.002738225506618619,0,2.7966537530232933e-08,0,0,0.0024640823248773813,0.0033077718690037727
128,0.0028647244907915592,0.002764672040939331,0,0.0026765288785099983,0,0.0027567283250391483,0,3.333404663408146e-08,0,0,0.0025404009502381086,0.003256790805608034
129,0.0028285838197916746,0.002714474918320775,0,0.0027377100195735693,0,0.0027693468146026134,0,3.5785028273949144e-08,0,0,0.002503267489373684,0.0032051694579422474
130,0.002826003823429346,0.002881675260141492,0,0.0027225601952522993,0,0.002709633903577924,0,3.2718464382242025e-08,0,0,0.002587010385468602,0.003289160085842014
131,0.0029665993060916662,0.002871830016374588,0,0.002728054765611887,0,0.002790725091472268,0,2.99648981183509e-08,0,0,0.002591310301795602,0.003333990927785635
132,0.002791301580145955,0.0027860708069056273,0,0.0026617790572345257,0,0.0026826998218894005,0,2.6147748855009922e-08,0,0,0.002481602830812335,0.003275255672633648
133,0.002755765337496996,0.00281997537240386,0,0.0026461344677954912,0,0.0026596244424581528,0,2.5207084419776038e-08,0,0,0.002532216487452388,0.003136265790089965
134,0.00276450184173882,0.0028053487185388803,0,0.002610510680824518,0,0.0027299094945192337,0,2.4655816943663922e-08,0,0,0.0024855146184563637,0.0031745308078825474
135,0.0028499874752014875,0.002859904896467924,0,0.00267507485114038,0,0.002678651362657547,0,2.475187166339765e-08,0,0,0.0025455669965595007,0.003229353344067931
136,0.002921623643487692,0.003047974081709981,0,0.0027531515806913376,0,0.00277095939964056,0,2.5380614943060216e-08,0,0,0.0026440448127686977,0.003362141316756606
137,0.0026131130289286375,0.0026477498468011618,0,0.0025371063966304064,0,0.002530495636165142,0,2.567936796538106e-08,0,0,0.0024066343903541565,0.0029699590522795916
138,0.0027515734545886517,0.0027296871412545443,0,0.0026158904656767845,0,0.00260498421266675,0,2.5807251446963164e-08,0,0,0.002505539683625102,0.003075118875131011
139,0.0028868825174868107,0.0028430097736418247,0,0.0027030908968299627,0,0.002780674258247018,0,2.5072521836477797e-08,0,0,0.00254538981243968,0.003315039211884141
140,0.002841964131221175,0.002909022616222501,0,0.0026882770471274853,0,0.0027489750646054745,0,2.5031839712141852e-08,0,0,0.002635068027302623,0.0033002656418830156
141,0.002742972457781434,0.00276942434720695,0,0.0026020684745162725,0,0.0025912506971508265,0,2.4896470662838513e-08,0,0,0.0024763066321611404,0.003090275451540947
142,0.002796765649691224,0.002844549249857664,0,0.002623526379466057,0,0.002641838975250721,0,2.497649731481033e-08,0,0,0.0024774575140327215,0.003137598978355527
143,0.002752715488895774,0.002806476317346096,0,0.0026147544849663973,0,0.002675724448636174,0,2.5207462783782837e-08,0,0,0.0024914813693612814,0.0032155269291251898
144,0.002931084018200636,0.002894819481298327,0,0.002707152860239148,0,0.0027753442991524935,0,2.4885190796908322e-08,0,0,0.0025801598094403744,0.0033234076108783484
145,0.0027210398111492395,0.0027937120757997036,0,0.0025672123301774263,0,0.0026760457549244165,0,2.5416609261696976e-08,0,0,0.0025059368927031755,0.0030714336317032576
146,0.002879221457988024,0.002870480064302683,0,0.002705431543290615,0,0.002745311241596937,0,2.5250646018548657e-08,0,0,0.002585069742053747,0.0032096749637275934
147,0.0027409542817622423,0.0028644080739468336,0,0.0026554486248642206,0,0.0026762059424072504,0,2.500010332084912e-08,0,0,0.0025458955205976963,0.0031214903574436903
148,0.0027030345518141985,0.0027718497440218925,0,0.0025861733593046665,0,0.0025970812421292067,0,2.5504510503537855e-08,0,0,0.002493205014616251,0.003054846776649356
149,0.002624379936605692,0.002677143318578601,0,0.0024905542377382517,0,0.0025349955540150404,0,2.5070898246326585e-08,0,0,0.0024027444887906313,0.0030131826642900705
150,0.0028277996461838484,0.0027559499721974134,0,0.0026216660626232624,0,0.002681017154827714,0,2.5739659292867145e-08,0,0,0.0025286953896284103,0.0031016371212899685
151,0.0027894838713109493,0.0028315566014498472,0,0.002656109165400266,0,0.0026947653386741877,0,2.5889653088029263e-08,0,0,0.0026343362405896187,0.0031190409790724516
152,0.002709462307393551,0.0026784695219248533,0,0.002529098419472575,0,0.002575254999101162,0,2.577754365518103e-08,0,0,0.002417993266135454,0.003003324382007122
153,0.0026982908602803946,0.002750995336100459,0,0.002613322576507926,0,0.002585061825811863,0,2.6699506605609713e-08,0,0,0.002428636187687516,0.002955411095172167
154,0.002757053356617689,0.0027636433951556683,0,0.0025566937401890755,0,0.0026318493764847517,0,2.5710630069397663e-08,0,0,0.002473876345902682,0.0030386762227863073
155,0.0027225720696151257,0.002706813393160701,0,0.0025941866915673018,0,0.0026675977278500795,0,2.6060243740744233e-08,0,0,0.0024346557911485434,0.0030477577820420265
156,0.0026926901191473007,0.002754985122010112,0,0.0025631682947278023,0,0.0026138166431337595,0,2.67948561116782e-08,0,0,0.002445708494633436,0.002938535762950778
157,0.002784674521535635,0.0028397883288562298,0,0.00262971455231309,0,0.0026783847715705633,0,2.7292369253473225e-08,0,0,0.0025102635845541954,0.003052972024306655
158,0.0027832980267703533,0.0027428013272583485,0,0.002645631553605199,0,0.002711147302761674,0,2.7685420178613647e-08,0,0,0.002411728259176016,0.00304388883523643
159,0.00290597858838737,0.002707235049456358,0,0.0026577324606478214,0,0.0027603083290159702,0,2.6982533540831355e-08,0,0,0.002503396011888981,0.003125407500192523
160,0.002670575398951769,0.00266135367564857,0,0.002572996076196432,0,0.002607014263048768,0,2.7658142442987816e-08,0,0,0.002380279591307044,0.002889910712838173
161,0.0027257422916591167,0.0026759530883282423,0,0.002576617756858468,0,0.0026633611414581537,0,2.7787708134496825e-08,0,0,0.0023686629720032215,0.0029521523974835873
162,0.0027801874093711376,0.002783834468573332,0,0.0026685597840696573,0,0.0027141242753714323,0,2.6871449065879467e-08,0,0,0.002467708894982934,0.003005106234923005
163,0.0027254256419837475,0.0026388834230601788,0,0.0026433609891682863,0,0.002630797913298011,0,2.9524521494295186e-08,0,0,0.0023851245641708374,0.0028764635790139437
164,0.002806598786264658,0.0026428664568811655,0,0.0026391262654215097,0,0.002696020994335413,0,2.9568560933057597e-08,0,0,0.002422712277621031,0.0029938281513750553
165,0.002800093498080969,0.0025557747576385736,0,0.0026603664737194777,0,0.00271576177328825,0,2.9811854318495534e-08,0,0,0.0024607281666249037,0.002954279305413366
166,0.0026853890158236027,0.002548250602558255,0,0.0025552399456501007,0,0.0025698321405798197,0,3.5094508632482764e-08,0,0,0.00240354030393064,0.002849608426913619
167,0.0027430930640548468,0.0025070675183087587,0,0.002641900209710002,0,0.002674794988706708,0,3.6679175252629654e-08,0,0,0.002426830353215337,0.0030106734484434128
168,0.002750636311247945,0.002494851825758815,0,0.002556164050474763,0,0.002599470317363739,0,3.3584541370146326e-08,0,0,0.0024096339475363493,0.0028654043562710285
