step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/eos_rate_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/eos_rate_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/eos_rate_step,deepseek1.5b_fa_partial_lr1e-6-training/eos_rate_step,deepseek1.5b_fa_partial_lr1e-5-training/eos_rate_step
113,0.9853515625,1,1,1,1
114,0.9931640625,0.9970703125,1,0.998046875,1
115,0.9892578125,1,1,0.998046875,1
116,0.990234375,0.998046875,1,0.9990234375,1
117,0.98828125,1,1,0.9990234375,1
118,0.9970703125,1,1,0.998046875,1
119,0.9892578125,1,1,0.9990234375,1
120,0.9775390625,0.9990234375,1,1,0.9990234375
121,0.9765625,1,1,0.9970703125,0.9990234375
122,0.9921875,1,1,0.9931640625,1
123,0.9921875,1,1,1,0.9990234375
124,0.9775390625,1,1,0.998046875,1
125,0.9873046875,0.9970703125,1,0.9970703125,0.998046875
126,0.9912109375,1,1,0.9990234375,1
127,0.9892578125,1,1,0.9990234375,0.9990234375
128,0.9873046875,0.9970703125,1,0.9970703125,1
129,0.98828125,1,1,1,1
130,0.9833984375,1,1,0.9990234375,1
131,0.986328125,0.9990234375,1,0.9990234375,1
132,0.9912109375,1,1,0.9970703125,0.9990234375
133,0.9931640625,0.9990234375,1,1,1
134,0.9931640625,0.998046875,1,1,1
135,0.9951171875,0.9990234375,1,1,1
136,0.99609375,1,1,1,0.9990234375
137,0.9931640625,1,1,0.9990234375,1
138,0.998046875,0.9990234375,1,0.9990234375,1
139,0.9912109375,1,1,1,1
140,0.98828125,1,1,0.9990234375,1
141,0.9912109375,0.9990234375,1,0.9990234375,0.9970703125
142,0.9931640625,0.9990234375,1,0.998046875,0.9990234375
143,0.9931640625,0.9990234375,1,1,1
144,0.98828125,1,1,0.998046875,0.9990234375
145,0.9951171875,1,1,0.998046875,0.9990234375
146,0.9931640625,1,1,1,1
147,0.9951171875,0.9990234375,1,1,1
148,0.9833984375,0.9990234375,1,0.9990234375,0.998046875
149,0.9853515625,0.9990234375,0.904296875,0.998046875,0.9990234375
150,0.9912109375,1,0.546875,0.9990234375,1
151,0.9921875,1,0.3115234375,1,1
152,0.9892578125,1,0.33984375,0.9970703125,0.9990234375
153,0.9951171875,1,0.3349609375,1,1
154,0.99609375,1,0.4033203125,0.9990234375,1
155,0.99609375,1,0.5517578125,0.9990234375,1
156,0.994140625,0.998046875,0.6044921875,0.998046875,0.9990234375
157,0.9951171875,1,0.7265625,0.9990234375,1
158,0.99609375,1,0.810546875,1,1
159,0.9951171875,1,0.853515625,1,1
160,0.9970703125,1,0.931640625,0.9990234375,1
161,0.99609375,1,0.982421875,0.9990234375,1
162,0.99609375,1,0.9951171875,0.9970703125,0.9990234375
163,0.9990234375,0.9990234375,0.9990234375,1,1
164,0.998046875,1,1,1,1
165,0.9970703125,1,1,0.9970703125,0.998046875
166,0.9990234375,1,1,1,1
167,0.99609375,1,1,0.9970703125,0.998046875
168,0.9921875,1,1,1,1
169,0.99609375,0.9990234375,1,0.9990234375,1
170,1,0.9990234375,1,0.9990234375,1
171,0.9990234375,0.9990234375,1,0.9990234375,1
172,0.9921875,1,1,1,0.9990234375
173,1,1,1,1,1
174,0.998046875,0.998046875,1,0.9951171875,0.9990234375
175,0.99609375,1,1,1,1
176,0.99609375,0.9990234375,1,1,1
177,0.99609375,1,1,0.9990234375,0.9990234375
178,0.998046875,1,1,0.9951171875,1
179,0.99609375,1,1,0.998046875,1
180,0.99609375,1,1,1,1
181,0.998046875,1,1,0.9990234375,1
182,0.9970703125,0.9970703125,1,0.9970703125,0.998046875
183,1,1,1,1,0.998046875
184,0.99609375,0.9990234375,1,0.998046875,0.998046875
185,0.9990234375,1,1,1,1
186,0.9990234375,1,1,1,1
187,0.9990234375,1,1,0.9990234375,1
188,0.99609375,1,1,0.998046875,1
189,0.998046875,1,1,1,0.9990234375
190,0.9990234375,0.9990234375,1,0.998046875,0.9970703125
191,0.998046875,0.9990234375,1,0.9970703125,0.99609375
192,0.994140625,1,1,1,0.9990234375
193,0.9970703125,1,1,1,1
194,0.998046875,1,1,0.9990234375,1
195,0.998046875,1,1,0.998046875,1
196,0.9970703125,1,1,0.9990234375,1
197,0.9970703125,1,1,0.9970703125,1
198,0.9970703125,1,1,1,1
199,0.998046875,1,1,1,0.9990234375
200,0.9970703125,1,1,1,1
201,0.9970703125,1,1,1,1
202,0.9990234375,1,1,0.99609375,1
203,1,1,1,1,1
204,0.998046875,1,1,1,1
205,0.998046875,1,1,0.9990234375,1
206,0.9990234375,1,1,0.998046875,1
207,0.9990234375,1,1,1,1
208,0.9990234375,1,1,0.9990234375,1
209,0.9990234375,0.9990234375,1,0.99609375,0.9990234375
210,0.9990234375,1,1,0.998046875,0.9990234375
211,1,0.9990234375,1,1,1
212,1,0.9990234375,1,1,1
213,1,1,1,1,1
214,1,1,1,0.998046875,1
215,0.9990234375,1,1,1,1
216,1,1,1,1,1
217,1,0.998046875,1,0.998046875,1
218,1,0.9990234375,1,1,1
219,1,1,1,1,1
220,1,1,1,0.9990234375,1
221,1,1,1,1,0.9990234375
222,0.9970703125,0.9951171875,1,0.994140625,0.99609375
223,0.9990234375,1,1,0.998046875,1
224,1,0.9990234375,1,0.998046875,0.9990234375
225,1,1,1,0.99609375,1
226,1,1,1,0.9990234375,1
227,0.9990234375,1,1,0.9970703125,1
228,1,1,1,0.998046875,0.9990234375
229,1,1,1,0.9990234375,1
230,1,1,1,0.9990234375,0.998046875
231,1,1,1,1,1
232,1,1,1,1,0.9990234375
233,1,1,1,1,0.9990234375
234,0.9990234375,1,1,1,1
235,0.9990234375,1,1,0.9990234375,1
236,1,1,1,1,1
237,1,1,1,0.994140625,1
238,0.9990234375,0.9990234375,1,0.9990234375,1
239,1,1,1,0.9990234375,1
240,1,1,1,0.998046875,1
241,1,1,1,0.998046875,0.998046875
242,1,1,1,0.9990234375,1
243,1,1,1,1,1
244,1,0.9990234375,1,0.9970703125,0.9990234375
245,1,1,1,0.9970703125,1
246,1,1,1,1,1
247,1,1,1,0.994140625,0.998046875
248,1,1,1,1,1
249,1,1,1,1,0.9990234375
250,1,0.9990234375,1,0.9990234375,0.9990234375
251,1,1,1,1,1
252,1,0.9990234375,1,0.998046875,1
253,1,0.9970703125,1,0.9990234375,1
254,0.9990234375,1,1,0.9990234375,0.998046875
255,1,1,1,1,0.9990234375
256,1,1,1,0.9990234375,1
257,1,0.9990234375,1,1,1
258,1,1,1,0.9970703125,1
259,1,1,1,0.9970703125,1
260,1,1,1,0.9970703125,1
261,1,0.9990234375,1,1,1
262,1,1,1,0.9990234375,1
263,1,1,1,1,1
264,1,1,1,1,1
265,1,1,1,0.9990234375,0.9990234375
266,1,1,1,1,0.9990234375
267,1,1,1,1,1
268,0.9990234375,1,1,1,0.998046875
269,1,1,1,0.9970703125,0.998046875
270,1,1,1,1,1
271,1,1,1,0.9990234375,0.9990234375
272,1,1,1,0.9912109375,1
273,0.9990234375,1,1,1,1
274,1,1,1,0.998046875,0.9990234375
275,1,1,1,1,1
276,1,1,1,1,1
277,1,0.9990234375,1,0.998046875,1
278,1,0.9990234375,1,0.998046875,1
279,1,1,1,0.9990234375,1
280,1,1,1,1,0.9970703125
281,1,0.9990234375,1,1,0.9990234375
282,1,1,1,0.9990234375,0.9990234375
283,1,1,1,1,0.9990234375
284,1,1,1,0.9990234375,1
285,1,1,1,1,1
286,1,1,1,1,0.9990234375
287,1,1,1,0.9990234375,0.9990234375
288,1,0.9990234375,1,0.9990234375,0.998046875
289,1,0.9990234375,1,1,0.9990234375
290,0.998046875,1,1,0.99609375,0.998046875
291,1,1,1,1,0.9970703125
292,0.998046875,1,1,0.994140625,0.9990234375
293,1,0.9990234375,1,1,0.99609375
294,0.998046875,1,1,0.9990234375,0.9990234375
295,1,0.9990234375,1,0.998046875,0.998046875
296,1,1,1,0.9970703125,0.9990234375
297,1,1,1,0.9990234375,0.9990234375
298,1,0.9990234375,1,0.9970703125,0.9990234375
299,0.9990234375,1,1,0.9970703125,0.99609375
300,1,1,1,0.9990234375,0.9990234375
