step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/rollout_probs_diff_top1_trainer_prob_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/rollout_probs_diff_top1_trainer_prob_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/rollout_probs_diff_top1_trainer_prob_step,deepseek1.5b_fa_partial_lr1e-6-training/rollout_probs_diff_top1_trainer_prob_step,deepseek1.5b_fa_partial_lr1e-5-training/rollout_probs_diff_top1_trainer_prob_step
2,0.9999229907989502,0.2259406745433807,0.996376931667328,0.9810607433319092,0.8922469615936279
3,0.1726607084274292,,0.7053326964378357,0.3532576560974121,0.9999852180480956
4,0.9999998807907104,0.9999994039535522,0.9999994039535522,0.9999994039535522,0.9947795867919922
5,,,,0.12200668454170228,0.07238870114088058
6,0.5339781641960144,,,0.7286978363990784,0.8056772351264954
7,,,0.8385306000709534,0.7751155495643616,0.010722750797867777
8,0.7970767021179199,,,0.9992387294769288,0.4489646553993225
9,0.9957310557365416,0.1929858773946762,0.05309994891285896,0.017032453790307045,0.07585721462965012
10,0.9999933242797852,0.4651775360107422,,0.9655227065086364,0.999993085861206
11,0.991352677345276,,0.9999997615814208,0.9996801614761353,0.8672046065330505
12,0.9916143417358398,0.8840732574462891,,0.8615239858627319,0.994346559047699
13,0.6603565812110901,,,0.99951171875,0.9999996423721312
14,,,0.9999957084655762,0.9855906963348388,0.9999998807907104
15,0.705620288848877,0.9998600482940674,0.696225643157959,0.9046276807785034,0.9626148343086244
16,0.999998927116394,0.1062534675002098,0.9999957084655762,0.5309286117553711,0.9986749291419984
17,0.9668573141098022,0.9754706025123596,0.7934738993644714,0.9999902248382568,0.9970093369483948
18,0.9973917007446288,,,0.9560198783874512,0.4659861028194427
19,0.976391613483429,0.5275676846504211,1,0.7759895324707031,0.9875230193138124
20,0.5956317186355591,,,0.990189015865326,0.9603976607322692
21,,0.9845709204673768,0.9462968111038208,0.2913128435611725,0.6047844290733337
22,0.9999841451644896,0.7642549872398376,0.9932470321655272,0.9999992847442628,0.7247337698936462
23,0.7548989057540894,,0.9974877834320068,0.7959003448486328,0.8273991942405701
24,0.9999969005584716,0.9999957084655762,0.99997878074646,0.9999897480010986,0.9999785423278807
25,1,,0.7097613215446472,0.9946209192276,0.9962809681892396
26,0.9833129048347472,,,0.15352047979831696,0.9039362668991088
27,,,,0.7187306880950928,0.4833345413208008
28,0.9950858950614928,0.8755872845649719,0.5119544267654419,0.8283196091651917,0.989601194858551
29,,0.5373047590255737,0.992408037185669,1,0.9399091005325316
30,0.9738218784332277,0.7308335304260254,0.9999998807907104,0.9659023880958556,0.9999990463256836
31,0.9916278123855592,0.9999063014984132,0.7907361388206482,0.6746084094047546,0.9999523162841796
32,0.976327657699585,1,,0.9995586276054382,0.9705994725227356
33,1,0.9791576266288756,,0.6640441417694092,0.8276488184928894
34,0.7772642970085144,0.9889053106307985,0.9706765413284302,0.9998680353164672,0.9993699193000792
35,1,0.9705790281295776,,0.8273450136184692,0.9897720217704772
36,1,0.7510054707527161,,0.5621556043624878,0.9999940395355223
37,0.999996304512024,0.8931009769439697,0.8932837843894958,0.2620891034603119,0.9458545446395874
38,0.7835115194320679,1,0.7715035676956177,0.9782901406288148,1
39,0.4635913372039795,0.2196524441242218,,0.8818828463554382,0.7095365524291992
40,0.7772604823112488,1,0.999592125415802,1,0.9974915981292723
41,0.9881151914596558,0.9999545812606812,0.999786913394928,0.981074035167694,0.7746074199676514
42,0.4378206431865692,0.8144755959510803,0.0033347257412970066,0.4002767503261566,0.8879736661911011
43,0.9148806929588318,0.9999997615814208,0.8780789375305176,0.6924799084663391,0.9997501969337464
44,0.7303579449653625,0.9999957084655762,1.2237791452207604e-05,0.59918212890625,1
45,0.7755513787269592,0.999995231628418,0.5743383765220642,0.8662698268890381,0.8512977361679077
46,0.999083399772644,0.9998910427093506,0.9901914596557616,0.031488288193941116,0.9999936819076538
47,0.09112704545259476,0.7954530715942383,0.9998601675033568,0.3763498663902282,0.8019506335258484
48,0.6220974922180176,0.6502057909965515,0.9999507665634156,0.9996838569641112,0.9998282194137572
49,0.9806638956069946,0.9994584918022156,0.993428647518158,0.9999903440475464,0.9999954700469972
50,0.99707293510437,0.9994137287139891,0.9911636114120485,0.34863781929016113,0.9894004464149476
51,0.9988452196121216,0.9046503901481628,0.8615562319755554,0.9988862872123718,0.9525737166404724
52,0.8354243636131287,0.9775941371917723,1.1580344107642304e-05,0.963454008102417,0.8098896145820618
53,0.9992799162864684,0.999936819076538,0.9850462079048156,0.9968212842941284,1
54,0.36091774702072144,0.9995113611221312,0.6467570066452026,0.99882310628891,0.9975257515907288
