step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-critic/rewards/mean_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-critic/rewards/mean_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-critic/rewards/mean_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-critic/rewards/mean_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-critic/rewards/mean_step
1,-1.0354244709014893,-1.007580041885376,-1.0522809028625488,-0.986741304397583,-1.0154342651367188
2,-1.1826586723327637,-1.13728666305542,-1.1594715118408203,-1.119633436203003,-1.1630568504333496
3,-1.1376495361328125,-1.1434526443481443,-1.1259102821350098,-1.1573235988616943,-1.156482219696045
4,-1.1040196418762207,-1.163315773010254,-1.1005744934082031,-1.1215524673461914,-1.1438744068145752
5,-0.8274362087249756,-1.1308188438415527,-0.8824212551116943,-0.8643300533294678,-0.9003801345825195
6,-0.8448150157928467,-1.088233232498169,-0.870502233505249,-0.8727624416351318,-1.0605309009552002
7,-0.8547649383544922,-0.9294812679290771,-0.8155961036682129,-0.8301229476928711,-1.009171962738037
8,-0.3989975452423096,-1.2925777435302734,-0.4425880908966065,-0.4089212417602539,-0.7203710079193115
9,-0.21117591857910156,-1.1804733276367188,-0.23771238327026367,-0.22629284858703613,-0.5219733715057373
10,-0.2665433883666992,-1.2206153869628906,-0.25190186500549316,-0.2026364803314209,-0.5313467979431152
11,-0.4531886577606201,-1.1755645275115971,-0.34829139709472656,-0.3765718936920166,-0.5987675189971924
12,-0.2851560115814209,-1.1760106086730957,-0.20082426071166992,-0.2182011604309082,-0.3839404582977295
13,-0.28597164154052734,-1.1558964252471924,-0.21938371658325195,-0.2592811584472656,-0.4682765007019043
14,-0.2591378688812256,-1.124690294265747,-0.2526562213897705,-0.2354433536529541,-0.5779719352722168
15,-0.11789107322692872,-1.1272850036621094,-0.1030597686767578,-0.11982250213623048,-0.6895718574523926
16,-0.16354799270629883,-1.163249969482422,-0.1083998680114746,-0.11897611618041992,-0.612696647644043
17,-0.04476022720336914,-1.1280107498168943,0.023975610733032227,0.009965181350708008,-0.6767642498016357
18,0.014458179473876951,-1.103809118270874,0.002722740173339844,0.05966520309448242,-0.749680757522583
19,-0.15196561813354492,-1.1101665496826172,-0.12346291542053224,-0.12955379486083984,-0.8231408596038818
20,-0.21190857887268064,-1.1398704051971436,-0.20471835136413577,-0.20616626739501953,-0.898444414138794
21,-0.018698930740356445,-1.131181716918945,0.002216100692749023,0.011158466339111328,-0.9357566833496094
22,-0.041378021240234375,-1.1235923767089844,-0.01209712028503418,-0.05072689056396485,-0.9529368877410888
23,-0.13610196113586426,-1.1571810245513916,-0.17895817756652832,-0.0659036636352539,-0.9969329833984376
24,-0.10352826118469238,-1.1284990310668943,-0.08543252944946289,-0.08539175987243652,-1.002753734588623
25,-0.055933237075805664,-1.1282448768615725,-0.03632044792175293,-0.04447031021118164,-1.0027315616607666
26,-0.07244610786437988,-1.1119067668914795,-0.06536054611206055,0.011921882629394531,-1.0093932151794434
27,-0.12228178977966309,-1.1182661056518557,-0.1058175563812256,-0.07228350639343262,-1.0024104118347168
28,-0.16283488273620603,-1.095205545425415,-0.1401824951171875,-0.11646223068237305,-1.0015652179718018
29,-0.009818315505981444,-1.0885205268859863,0.015828847885131836,0.0023200511932373047,-1.0010733604431152
30,-0.03634023666381836,-1.094496250152588,-0.047333478927612305,-0.035066843032836914,-1.0007355213165283
31,-0.12270307540893556,-1.0790205001831057,-0.15845990180969238,-0.13414359092712402,-1.0029995441436768
32,-0.19665122032165527,-1.0808804035186768,-0.19159626960754397,-0.1152336597442627,-1.0033538341522217
33,-0.1639082431793213,-1.0837764739990234,-0.16041898727416992,-0.11362648010253906,-1.0040550231933594
34,-0.08089137077331543,-1.0724470615386963,-0.03123140335083008,-0.04477596282958984,-1.0055358409881592
35,-0.08458304405212402,-1.0808053016662598,-0.08317804336547852,-0.03546547889709473,-1.0035347938537598
36,-0.07967591285705566,-1.0962064266204834,-0.04937243461608887,-0.05861353874206543,-1.001619577407837
37,-0.04068183898925781,-1.0744602680206299,-0.022134780883789062,0.02413034439086914,-1.005035161972046
38,-0.02966403961181641,-1.096165657043457,0.05776786804199219,0.05233192443847656,-1.0027942657470703
39,-0.038437843322753906,-1.0993103981018066,-0.017688751220703125,0.009671449661254885,-1.0010762214660645
40,-0.007685661315917969,-1.0761754512786863,0.03990340232849121,0.07039713859558105,-1.0018110275268557
41,-0.11956620216369628,-1.1005473136901855,-0.09679675102233888,-0.09820032119750977,-1.0000345706939695
42,-0.02370452880859375,-1.072850465774536,0.01859712600708008,0.004481315612792969,-1.001455545425415
43,0.014631032943725586,-1.0669009685516355,0.014229059219360352,0.016492605209350586,-1.0111403465270996
44,-0.0652167797088623,-1.057554006576538,-0.04329562187194824,-0.02332019805908203,-1.0094537734985352
45,-0.14024686813354492,-1.0526506900787354,-0.10877132415771484,-0.05752229690551758,-1.0014944076538086
46,-0.08156061172485352,-1.0835356712341309,-0.049549102783203125,-0.0814979076385498,-1.0002593994140625
47,0.004856586456298828,-1.0941145420074463,0.021494388580322266,0.021603107452392575,-1
48,0.017477989196777344,-1.1324083805084229,-0.006407499313354492,0.015994787216186523,-1.000104904174805
49,-0.00789332389831543,-1.104635238647461,0.012802839279174805,0.001420736312866211,-1.001805067062378
50,-0.02118539810180664,-1.1012814044952393,-0.010798454284667969,0.03501772880554199,-1.0058245658874512
51,0.21539878845214844,-1.069284200668335,0.19852542877197263,0.15117311477661133,-1.0034875869750977
52,0.15763378143310547,-1.0872764587402344,0.15471625328063965,0.14091062545776367,-1.0001592636108398
53,0.032323360443115234,-1.095233678817749,0.07546591758728027,0.07836413383483887,-1
54,-0.08237051963806152,-1.0848546028137207,-0.06391787528991699,-0.03218197822570801,-1.000246286392212
55,-0.08362221717834473,-1.058645725250244,-0.07262969017028809,-0.06574344635009766,-1.0004830360412598
56,-0.07731080055236816,-1.057358741760254,-0.06554508209228516,-0.05579233169555664,-1.0013084411621094
57,0.08087158203125,-1.0612082481384275,0.08054900169372559,0.1709420680999756,-1.002985954284668
58,-0.08768415451049805,-1.0444676876068115,-0.12703514099121094,-0.07621335983276367,-1.002744197845459
59,0.041295766830444336,-1.0659663677215576,0.0413362979888916,0.04331636428833008,-1.0001397132873535
60,-0.10705947875976562,-1.1104800701141355,-0.1200575828552246,-0.16672277450561523,-1
61,-0.10569500923156738,-1.1408462524414062,-0.11835265159606934,-0.0645146369934082,-1
62,0.01583123207092285,-1.1602301597595217,0.04259991645812988,0.031792640686035156,-1.0001451969146729
63,-0.04846787452697754,-1.1351211071014404,-0.03132271766662598,-0.04039955139160156,-1.0020427703857422
64,-0.038358211517333984,-1.1006073951721191,-0.04180026054382324,-0.08799529075622559,-1.0011909008026123
65,0.003245115280151367,-1.0829122066497805,-0.003371000289916992,0.013556718826293944,-1.0000908374786377
66,-0.019603967666625977,-1.0962347984313965,0.01115274429321289,0.026951313018798828,-1.000044822692871
67,0.03858089447021485,-1.0881826877593994,0.006131649017333984,0.02034306526184082,-1
68,0.13764095306396484,-1.107609748840332,0.15337204933166504,0.12490677833557128,-1.0000646114349363
69,0.02275848388671875,-1.093810796737671,0.05432438850402832,-0.004201650619506836,-1.0011982917785645
70,0.017873048782348633,-1.106696844100952,0.060277462005615234,0.035300493240356445,-1
71,-3.337860107421875e-05,-1.1334853172302246,0.008187294006347656,-0.035176753997802734,-1
72,-0.04958486557006836,-1.108752965927124,0.015399694442749023,-0.1035914421081543,-1.0023438930511477
