step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/r_ctrl_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/r_ctrl_step
20,0.020328058579708465,0.01853575644609152,0.034587062141243165,0.05,0.05,0.05
21,0.02057346691759678,0.01853575644609152,0.034587062141243165,0.05,0.05,0.05
22,0.013568790559642987,0.01959646424033099,0.03585654102508856,0.05,0.05,0.05
23,0.01892912064895467,0.01959646424033099,0.03585654102508856,0.05,0.05,0.05
24,0.01949366275973903,0.01,0.02714674494722013,0.05,0.05,0.05
25,0.01949366275973903,0.01,0.03233617241918189,0.05,0.05,0.05
26,0.01949366275973903,0.01,0.03233617241918189,0.05,0.05,0.05
27,0.01949366275973903,0.01,0.03239291787478323,0.05,0.05,0.05
28,0.019653205273298825,0.01,0.03239291787478323,0.05,0.05,0.05
29,0.011957909658499074,0.01,0.03239291787478323,0.05,0.05,0.05
30,0.01580555746589895,0.014837691650567988,0.03239291787478323,0.05,0.05,0.05
31,0.01580555746589895,0.014837691650567988,0.03271449212579725,0.05,0.05,0.05
32,0.01,0.015421071260995,0.01,0.05,0.05,0.05
33,0.01,0.01,0.015071740572730537,0.05,0.05,0.05
34,0.01,0.01459459082492862,0.017315203681807702,0.05,0.05,0.05
35,0.01,0.01459459082492862,0.021697480671823484,0.05,0.05,0.05
36,0.01,0.014258159515659985,0.01,0.05,0.05,0.05
37,0.01,0.014426375170294305,0.01492341176341384,0.05,0.05,0.05
38,0.01,0.014426375170294305,0.01877619440582075,0.05,0.05,0.05
39,0.01,0.014426375170294305,0.022248754051037503,0.05,0.05,0.05
40,0.01,0.014426375170294305,0.022248754051037503,0.05,0.05,0.05
41,0.01133030677009438,0.014426375170294305,0.022248754051037503,0.05,0.05,0.05
42,0.01302916693568374,0.014426375170294305,0.027726961108735168,0.05,0.05,0.05
43,0.013770380322028025,0.01,0.033089667531181276,0.05,0.05,0.05
44,0.013770380322028025,0.010667362925887635,0.03449625200839633,0.05,0.05,0.05
45,0.014496431594515077,0.01,0.03449625200839633,0.05,0.05,0.05
46,0.014496431594515077,0.01,0.03449625200839633,0.05,0.05,0.05
47,0.014496431594515077,0.014598446330926692,0.024919016211334355,0.05,0.05,0.05
48,0.01478825505481874,0.014598446330926692,0.02974370569103503,0.05,0.05,0.05
49,0.017997386520815187,0.01,0.02974370569103503,0.05,0.05,0.05
50,0.017997386520815187,0.01,0.02974370569103503,0.05,0.05,0.05
51,0.01826283369875456,0.01,0.02974370569103503,0.05,0.05,0.05
52,0.01826283369875456,0.01,0.01,0.05,0.05,0.05
53,0.01826283369875456,0.01,0.01677346287018091,0.05,0.05,0.05
54,0.01,0.012592169454689148,0.01677346287018091,0.05,0.05,0.05
55,0.012532942935906531,0.012592169454689148,0.017458322806719082,0.05,0.05,0.05
56,0.01,0.012592169454689148,0.012444623781588272,0.05,0.05,0.05
57,0.01,0.0132090048620725,0.015539677738995972,0.05,0.05,0.05
58,0.01189823159923389,0.011527384649071454,0.017209118332848335,0.05,0.05,0.05
59,0.012267109841970842,0.01,0.017209118332848335,0.05,0.05,0.05
60,0.01,0.011111800340093316,0.010398604094784296,0.05,0.05,0.05
61,0.010695071513788705,0.01,0.013803861213816316,0.05,0.05,0.05
62,0.010695071513788705,0.01,0.013803861213816316,0.05,0.05,0.05
63,0.01307409620110052,0.01,0.01,0.05,0.05,0.05
64,0.01307409620110052,0.01,0.014285410560048482,0.05,0.05,0.05
65,0.013705517962593594,0.01,0.014285410560048482,0.05,0.05,0.05
66,0.013705517962593594,0.01,0.016299247637332693,0.05,0.05,0.05
67,0.015227554341197656,0.01,0.016299247637332693,0.05,0.05,0.05
68,0.01664302945430171,0.01,0.016299247637332693,0.05,0.05,0.05
69,0.019326628293280013,0.01,0.016299247637332693,0.05,0.05,0.05
70,0.02316396405600306,0.01,0.016299247637332693,0.05,0.05,0.05
71,0.02489222708616251,0.01,0.016299247637332693,0.05,0.05,0.05
72,0.02489222708616251,0.01,0.016299247637332693,0.05,0.05,0.05
73,0.019616007214714803,0.01,0.016299247637332693,0.05,0.05,0.05
74,0.01664609068175819,0.01,0.016299247637332693,0.05,0.05,0.05
75,0.018402851058018584,0.01,0.016299247637332693,0.05,0.05,0.05
76,0.019598166812819513,0.01,0.016299247637332693,0.05,0.05,0.05
77,0.019598166812819513,0.01,0.016299247637332693,0.05,0.05,0.05
78,0.022151647370281045,0.01,0.016299247637332693,0.05,0.05,0.05
79,0.022151647370281045,0.011380971256327276,0.016299247637332693,0.05,0.05,0.05
80,0.020009476610629896,0.013577109762508338,0.019196851940467073,0.05,0.05,0.05
81,0.021080561990455472,0.013577109762508338,0.02880280654321219,0.05,0.05,0.05
82,0.01,0.013577109762508338,0.029409517582085695,0.05,0.05,0.05
83,0.016285591287996965,0.013577109762508338,0.03137903737368398,0.05,0.05,0.05
84,0.016756477793662915,0.013577109762508338,0.03137903737368398,0.05,0.05,0.05
85,0.01,0.015598268843609346,0.03137903737368398,0.05,0.05,0.05
86,0.01,0.015598268843609346,0.0118695736568479,0.05,0.05,0.05
87,0.01,0.01,0.021624305515265937,0.05,0.05,0.05
88,0.01,0.01,0.021624305515265937,0.05,0.05,0.05
89,0.011743840902976508,0.01,0.021624305515265937,0.05,0.05,0.05
90,0.011743840902976508,0.01,0.02373555504362948,0.05,0.05,0.05
91,0.012615135049175902,0.01,0.027372735491039742,0.05,0.05,0.05
92,0.01400688808597181,0.01,0.026424213989432677,0.05,0.05,0.05
93,0.016908811117733104,0.01,0.028768516262044182,0.05,0.05,0.05
94,0.01705389911361859,0.01,0.028768516262044182,0.05,0.05,0.05
95,0.017634633854404263,0.01,0.028768516262044182,0.05,0.05,0.05
96,0.01,0.01,0.01,0.05,0.05,0.05
97,0.01114934345694545,0.01,0.0164246539163388,0.05,0.05,0.05
98,0.01,0.01,0.017580141199857104,0.05,0.05,0.05
99,0.01,0.01,0.017580141199857104,0.05,0.05,0.05
100,0.01,0.01,0.01,0.05,0.05,0.05
101,0.01,0.01059981858410028,0.012885429851609353,0.05,0.05,0.05
102,0.01,0.01,0.01873195467594135,0.05,0.05,0.05
103,0.010504601151580686,0.01,0.01873195467594135,0.05,0.05,0.05
104,0.010504601151580686,0.017016183816828984,0.01873195467594135,0.05,0.05,0.05
105,0.010504601151580686,0.01,0.021799075712336975,0.05,0.05,0.05
106,0.0121861496708088,0.015614395377848714,0.02065511017934608,0.05,0.05,0.05
107,0.0136317734991388,0.011052660941208351,0.02226479698514495,0.05,0.05,0.05
108,0.015617182462847668,0.01,0.02226479698514495,0.05,0.05,0.05
109,0.015617182462847668,0.01,0.01,0.05,0.05,0.05
110,0.016920967340106303,0.01,0.017531185754257998,0.05,0.05,0.05
111,0.016920967340106303,0.01,0.017531185754257998,0.05,0.05,0.05
112,0.017820519763230347,0.01,0.017531185754257998,0.05,0.05,0.05
113,0.017820519763230347,0.01008862239059372,0.017809592817604174,0.05,0.05,0.05
114,0.018583922370853993,0.01,0.018306262770902797,0.05,0.05,0.05
115,0.02030703504963466,0.01,0.02031215310075734,0.05,0.05,0.05
116,0.02030703504963466,0.01,0.02398877219243318,0.05,0.05,0.05
117,0.02030703504963466,0.01,0.02398877219243318,0.05,0.05,0.05
118,0.01,0.01,0.02398877219243318,0.05,0.05,0.05
119,0.01301891076980266,0.01,0.02398877219243318,0.05,0.05,0.05
120,0.016585730590484397,0.01,0.02398877219243318,0.05,0.05,0.05
121,0.016585730590484397,0.01,0.02398877219243318,0.05,0.05,0.05
122,0.016585730590484397,0.01,0.011639295129506512,0.05,0.05,0.05
123,0.01260694391919513,0.01,0.017814033660969845,0.05,0.05,0.05
124,0.016091836295753233,0.01,0.01,0.05,0.05,0.05
125,0.016091836295753233,0.01,0.01,0.05,0.05,0.05
126,0.01782158963611833,0.01,0.01226682286250659,0.05,0.05,0.05
127,0.01782158963611833,0.01,0.014774921133626748,0.05,0.05,0.05
128,0.01782158963611833,0.01,0.01,0.05,0.05,0.05
129,0.011393832791307,0.01,0.012034590964584596,0.05,0.05,0.05
130,0.01658761634107541,0.01,0.012034590964584596,0.05,0.05,0.05
131,0.01,0.01,0.013890857584503565,0.05,0.05,0.05
132,0.011147991914376966,0.01,0.013890857584503565,0.05,0.05,0.05
133,0.015239115525769105,0.01,0.013890857584503565,0.05,0.05,0.05
134,0.015426308939785732,0.01,0.013890857584503565,0.05,0.05,0.05
135,0.017636053164899492,0.01,0.02028609357416921,0.05,0.05,0.05
136,0.01,0.01,0.02028609357416921,0.05,0.05,0.05
137,0.010655474788285909,0.01,0.022544017465379932,0.05,0.05,0.05
138,0.013247046506936233,0.01,0.025492224309616306,0.05,0.05,0.05
139,0.013741321726473568,0.01,0.02730014736399782,0.05,0.05,0.05
140,0.013741321726473568,0.01,0.02730014736399782,0.05,0.05,0.05
141,0.013741321726473568,0.01,0.02730014736399782,0.05,0.05,0.05
142,0.013741321726473568,0.012593149460968458,0.030425040597019996,0.05,0.05,0.05
143,0.01391914855410418,0.012593149460968458,0.01,0.05,0.05,0.05
144,0.012491463454174003,0.01,0.01760794859640536,0.05,0.05,0.05
145,0.013205306004139092,0.010073590256303224,0.01489486959577064,0.05,0.05,0.05
146,0.01571716269531988,0.011124879118386303,0.016251409096088,0.05,0.05,0.05
147,0.01571716269531988,0.011124879118386303,0.016251409096088,0.05,0.05,0.05
148,0.01,0.011124879118386303,0.016251409096088,0.05,0.05,0.05
149,0.01,0.011124879118386303,0.019668687084185933,0.05,0.05,0.05
150,0.01,0.01167796682126608,0.019668687084185933,0.05,0.05,0.05
151,0.01,0.01,0.021375135549998286,0.05,0.05,0.05
152,0.01,0.010410139467620174,0.024512138276007317,0.05,0.05,0.05
153,0.01,0.01,0.024512138276007317,0.05,0.05,0.05
154,0.01,0.01,0.024512138276007317,0.05,0.05,0.05
155,0.01,0.01,0.024512138276007317,0.05,0.05,0.05
156,0.011337613683994987,0.01,0.024512138276007317,0.05,0.05,0.05
157,0.01,0.01,0.024512138276007317,0.05,0.05,0.05
158,0.012281539269136069,0.01,0.02899461731132294,0.05,0.05,0.05
159,0.012281539269136069,0.01,0.02899461731132294,0.05,0.05,0.05
160,0.01708980544892585,0.013538878721493872,0.0197406840254205,0.05,0.05,0.05
161,0.01708980544892585,0.013538878721493872,0.02436765066837172,0.05,0.05,0.05
162,0.01708980544892585,0.01549046939128817,0.02436765066837172,0.05,0.05,0.05
163,0.017324576641073848,0.01549046939128817,0.02503729403611672,0.05,0.05,0.05
164,0.017324576641073848,0.011330348367724986,0.029623568542870137,0.05,0.05,0.05
165,0.01414597812351214,0.014053874181750333,0.0331031792644022,0.05,0.05,0.05
166,0.012585540171409369,0.013587743450321849,0.03415897942708232,0.05,0.05,0.05
167,0.014160408776851182,0.01382080881603609,0.01,0.05,0.05,0.05
168,0.014160408776851182,0.01382080881603609,0.019912554825057063,0.05,0.05,0.05
169,0.01883030414579073,0.01422864484357147,0.019912554825057063,0.05,0.05,0.05
170,0.01883030414579073,0.014721831401379271,0.019912554825057063,0.05,0.05,0.05
171,0.01883030414579073,0.0129082811400123,0.019912554825057063,0.05,0.05,0.05
172,0.018960650756755,0.01,0.019912554825057063,0.05,0.05,0.05
173,0.018960650756755,0.011341716282343922,0.019912554825057063,0.05,0.05,0.05
174,0.018960650756755,0.01,0.019912554825057063,0.05,0.05,0.05
175,0.01921034325322369,0.01,0.01,0.05,0.05,0.05
176,0.01921034325322369,0.01,0.015932693665901308,0.05,0.05,0.05
177,0.01921034325322369,0.01,0.011467145665659996,0.05,0.05,0.05
178,0.01921034325322369,0.01,0.014622653355569164,0.05,0.05,0.05
179,0.02190453770201586,0.01,0.01,0.05,0.05,0.05
180,0.02190453770201586,0.01,0.013247632072160256,0.05,0.05,0.05
181,0.018535108702007676,0.01,0.01083168802113033,0.05,0.05,0.05
182,0.020219823202011766,0.01,0.01207351563556055,0.05,0.05,0.05
183,0.020219823202011766,0.01,0.0132650192442869,0.05,0.05,0.05
184,0.020219823202011766,0.01,0.0132650192442869,0.05,0.05,0.05
185,0.020219823202011766,0.01,0.0132650192442869,0.05,0.05,0.05
186,0.020219823202011766,0.01,0.014318843063243415,0.05,0.05,0.05
187,0.018125162228334775,0.01,0.014318843063243415,0.05,0.05,0.05
188,0.01917249271517327,0.01,0.013609610425512014,0.05,0.05,0.05
189,0.01917249271517327,0.01,0.013964226744377715,0.05,0.05,0.05
190,0.01917249271517327,0.01,0.01,0.05,0.05,0.05
191,0.013224113565246273,0.01,0.01,0.05,0.05,0.05
192,0.013740244295808664,0.01,0.013695529261297062,0.05,0.05,0.05
193,0.01549513221281343,0.01,0.01599237684546008,0.05,0.05,0.05
194,0.01598887250602113,0.01,0.02021505051479086,0.05,0.05,0.05
195,0.01,0.01,0.02309460694834036,0.05,0.05,0.05
196,0.010676775095505915,0.01,0.02431294044263517,0.05,0.05,0.05
197,0.010676775095505915,0.01,0.023398051310088305,0.05,0.05,0.05
198,0.011259326994537964,0.01,0.023855495876361738,0.05,0.05,0.05
199,0.011259326994537964,0.01,0.024747084292003074,0.05,0.05,0.05
200,0.011259326994537964,0.01,0.024747084292003074,0.05,0.05,0.05
201,0.012355779530317744,0.01,0.02628923406583955,0.05,0.05,0.05
202,0.013068479328038883,0.01,0.02683070547439019,0.05,0.05,0.05
203,0.01,0.01,0.02683070547439019,0.05,0.05,0.05
204,0.01,0.01,0.02802772410982644,0.05,0.05,0.05
205,0.01,0.01,0.02802772410982644,0.05,0.05,0.05
206,0.01,0.01,0.014567016830521407,0.05,0.05,0.05
207,0.01,0.01,0.021297370470173924,0.05,0.05,0.05
208,0.010628202766327772,0.01,0.021297370470173924,0.05,0.05,0.05
209,0.01,0.01,0.02508520753619068,0.05,0.05,0.05
210,0.010073849544814594,0.01,0.01,0.05,0.05,0.05
211,0.010073849544814594,0.01,0.014670696957601393,0.05,0.05,0.05
212,0.01,0.01,0.014670696957601393,0.05,0.05,0.05
213,0.01,0.01,0.015151975750193884,0.05,0.05,0.05
214,0.01,0.01,0.010288166185650573,0.05,0.05,0.05
215,0.01,0.01,0.012720070967922228,0.05,0.05,0.05
216,0.01,0.01,0.01546023459469025,0.05,0.05,0.05
217,0.01,0.01,0.01546023459469025,0.05,0.05,0.05
218,0.01,0.01046204227568327,0.01546023459469025,0.05,0.05,0.05
219,0.01,0.01046204227568327,0.01568674424310222,0.05,0.05,0.05
220,0.01,0.01,0.01568674424310222,0.05,0.05,0.05
221,0.01351888923063295,0.01,0.01568674424310222,0.05,0.05,0.05
222,0.01488019018474806,0.01,0.01568674424310222,0.05,0.05,0.05
223,0.01488019018474806,0.01,0.010563954283996289,0.05,0.05,0.05
224,0.01,0.01,0.013457138687940438,0.05,0.05,0.05
225,0.01,0.01,0.014537568590043024,0.05,0.05,0.05
226,0.01,0.01,0.018307400274136663,0.05,0.05,0.05
227,0.01,0.01,0.018307400274136663,0.05,0.05,0.05
228,0.01,0.01,0.018307400274136663,0.05,0.05,0.05
229,0.01,0.01,0.01,0.05,0.05,0.05
230,0.01,0.01,0.012287876111758309,0.05,0.05,0.05
231,0.01,0.01,0.013671386326899113,0.05,0.05,0.05
232,0.01,0.01,0.013671386326899113,0.05,0.05,0.05
233,0.01,0.01,0.01,0.05,0.05,0.05
234,0.01,0.01,0.010116024509942964,0.05,0.05,0.05
235,0.01,0.01,0.01,0.05,0.05,0.05
236,0.01088265449497877,0.01056476682088763,0.01084648338731728,0.05,0.05,0.05
237,0.01088265449497877,0.01,0.01531111850093057,0.05,0.05,0.05
238,0.010949754006450103,0.01,0.016170520038652443,0.05,0.05,0.05
239,0.011971615842357867,0.01,0.016170520038652443,0.05,0.05,0.05
240,0.011971615842357867,0.01,0.015370268407409944,0.05,0.05,0.05
241,0.01,0.01,0.01,0.05,0.05,0.05
242,0.01,0.01,0.010885333831338544,0.05,0.05,0.05
243,0.01,0.01,0.010885333831338544,0.05,0.05,0.05
244,0.01,0.01,0.010885333831338544,0.05,0.05,0.05
245,0.01,0.010831971872448758,0.01,0.05,0.05,0.05
246,0.01,0.010831971872448758,0.01,0.05,0.05,0.05
247,0.01,0.010831971872448758,0.01,0.05,0.05,0.05
248,0.01,0.01,0.01,0.05,0.05,0.05
249,0.01,0.01,0.01,0.05,0.05,0.05
250,0.01,0.01,0.01,0.05,0.05,0.05
251,0.01,0.01,0.016358292838429253,0.05,0.05,0.05
252,0.01,0.01,0.016358292838429253,0.05,0.05,0.05
253,0.01,0.0129998394044499,0.01,0.05,0.05,0.05
254,0.01,0.0129998394044499,0.01,0.05,0.05,0.05
255,0.01229579063408606,0.016000341302153498,0.01,0.05,0.05,0.05
256,0.0156678132481003,0.017494295576807824,0.01,0.05,0.05,0.05
257,0.01609678839896552,0.01,0.01,0.05,0.05,0.05
258,0.01609678839896552,0.01,0.01856644256883585,0.05,0.05,0.05
259,0.017190228277038987,0.01,0.01633060473977911,0.05,0.05,0.05
260,0.01,0.01,0.01,0.05,0.05,0.05
261,0.013448032277918208,0.01020419026745446,0.013767675702001832,0.05,0.05,0.05
262,0.013448032277918208,0.012656544668485968,0.014218104210965218,0.05,0.05,0.05
263,0.014115160266650082,0.012656544668485968,0.01560999522255834,0.05,0.05,0.05
264,0.014115160266650082,0.012656544668485968,0.01,0.05,0.05,0.05
265,0.014115160266650082,0.013785690002981882,0.01,0.05,0.05,0.05
266,0.01414757411852403,0.013785690002981882,0.01128130812084129,0.05,0.05,0.05
267,0.01414757411852403,0.015326599361242524,0.012673864102551023,0.05,0.05,0.05
268,0.01414757411852403,0.015326599361242524,0.014383829316519575,0.05,0.05,0.05
269,0.01,0.01,0.016159856388729382,0.05,0.05,0.05
270,0.015380806829910734,0.011767999234659264,0.021078075780200656,0.05,0.05,0.05
271,0.017275502399738296,0.01,0.021078075780200656,0.05,0.05,0.05
272,0.01,0.01,0.021078075780200656,0.05,0.05,0.05
273,0.01,0.01,0.021078075780200656,0.05,0.05,0.05
274,0.01,0.01,0.021078075780200656,0.05,0.05,0.05
275,0.01,0.01,0.021078075780200656,0.05,0.05,0.05
276,0.01,0.01,0.021078075780200656,0.05,0.05,0.05
277,0.01218567034046548,0.01,0.023808815684441507,0.05,0.05,0.05
278,0.01218567034046548,0.010318683709649168,0.023808815684441507,0.05,0.05,0.05
279,0.01218567034046548,0.012220003373634164,0.023808815684441507,0.05,0.05,0.05
280,0.01440127555799751,0.012220003373634164,0.02764148128987378,0.05,0.05,0.05
281,0.013127176067735813,0.012323930938413784,0.032100172652719985,0.05,0.05,0.05
282,0.01376422581286666,0.012429081829925952,0.032100172652719985,0.05,0.05,0.05
283,0.01376422581286666,0.012429081829925952,0.03435720411960442,0.05,0.05,0.05
284,0.01376422581286666,0.012429081829925952,0.01,0.05,0.05,0.05
285,0.01,0.01,0.01882510088703712,0.05,0.05,0.05
286,0.01,0.016047128171911652,0.01882510088703712,0.05,0.05,0.05
287,0.01,0.0173335437565377,0.02035877699024215,0.05,0.05,0.05
288,0.01,0.0173335437565377,0.022906246005518546,0.05,0.05,0.05
289,0.01,0.0173335437565377,0.025416795169989584,0.05,0.05,0.05
290,0.01,0.0173335437565377,0.025416795169989584,0.05,0.05,0.05
291,0.01217097506266824,0.0173335437565377,0.027309208183405664,0.05,0.05,0.05
292,0.01217097506266824,0.0173335437565377,0.01107598563063987,0.05,0.05,0.05
293,0.01217097506266824,0.01,0.01919259690702277,0.05,0.05,0.05
294,0.01217097506266824,0.01,0.022729861454774812,0.05,0.05,0.05
295,0.01217097506266824,0.01,0.022729861454774812,0.05,0.05,0.05
296,0.01217097506266824,0.01,0.022729861454774812,0.05,0.05,0.05
297,0.01270033633739572,0.01,0.02098634604986855,0.05,0.05,0.05
298,0.012954319506341416,0.01,0.02185810375232168,0.05,0.05,0.05
299,0.012954319506341416,0.01,0.02549424724356809,0.05,0.05,0.05
300,0.015938423364964392,0.01,0.0305012952663484,0.05,0.05,0.05
