step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/r_hat_raw_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/r_hat_raw_step
1,0.019791135106409254,0.005881972697100219,0.03437206552327168,0.08374966376534561,0.07406873880834987,0.056877344271879585
2,0.028315407201980485,0.02942983885432823,0.0847133897046183,0.0030975515740302357,0.060652537399286506,0.04591243596659913
3,0.047972920994493046,0.011185503819391606,0.016493468377660407,-0.0024652538161834673,0.06565585673969485,-0.00395399507563312
4,0.027038017805442485,0.015077430426723012,0.029303493429786266,0.04568015125034981,0.024825706495023168,-0.014346676332523829
5,0.033112892549043385,0.019733078890477065,0.02183144492207451,0.0709700406149061,0.05049234768186569,-0.008648036825309924
6,0.06160178402059228,-0.015300532929445065,0.01876095298360178,0.01916648479317183,0.020602691905673643,0.07724327339574726
7,0.02492930521363367,0.0685640002889296,0.062465238390238514,0.07387740673887315,1.9063141212963503e-05,-0.05880467256697941
8,0.011948582232059144,-0.006639554505031662,0.06621253789291179,0.019887637537103584,0.003887264692070883,0.088810623532154
9,-0.015673942404931706,0.06288225293929654,-0.006909733721370118,0.08106597533122488,0.07410563341718408,0.0022422777335391023
10,-0.00378823307882442,-0.02099486511737265,0.036596310984084765,0.03967528712282249,0.04283877232942413,0.003799456377142256
11,-0.0006781038220991261,0.03639165175607732,0.02249357394908104,0.035003038827883054,0.013678466148327515,0.01763379077010181
12,-0.04444408736768766,0.0024063626358423614,0.05279127442238569,-0.0003390613380469154,0.0412295631268863,0.019391074781518
13,0.012414092923735695,0.00030071993081328346,0.017501482144609257,0.025227756067641195,0.03323974137574767,0.07108780325293555
14,-0.0008545576209519221,0.06611207119460778,0.024290790865057935,0.0273778613514539,-0.03840819199673111,0.024611308867969913
15,-0.007534564974394822,-0.019961387810657857,0.030842358424899793,0.010716318125449962,0.05512485468007,-0.007718328687220149
16,0.019439246419182248,0.03053070896777515,0.056756769859170955,0.061196920774768786,-0.011478862350701773,0.09531842580828712
17,-0.007614833599650581,-0.010318006088534996,-0.016879643027050684,-0.008188995331309562,0.03775611518494255,0.020784222713399067
18,-0.04150179032346274,-0.01681231223118309,-0.01992969144014907,0.026339745946002316,-0.05709457609592572,0.021334045699839668
19,-0.008815637888985145,0.022395992790320743,0.07777830013333706,0.034636779790778664,0.019012095099779216,-0.009300163226342582
20,-0.02056216119687789,-0.023731117191427887,-0.012040963821337637,-0.007529014846529687,-0.016835596859987444,0.03969653148399841
21,0.022782141958591604,-0.04849615758682466,-0.061896284865246454,-0.03799890085068474,-0.02080434557525015,0.006505530944263467
22,0.013568790559642987,0.029142834388486184,0.04728185097969711,-0.012748966996051906,0.005959804841324705,0.05076795144321525
23,0.03565104784196773,-0.08050968818183177,-0.06621998723185428,0.0557987452064082,-0.015434152121691093,0.0010951519349948196
24,0.0245745417567983,0.007140122915472716,0.02714674494722013,2.3306203487596338e-05,0.005176983578404003,0.06250545089292231
25,-0.021967605372385065,0.0006559963219491704,0.03984693731642972,-0.014694581351517912,-0.03599179487776383,-0.006741454950222706
