step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/ratio_mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/ratio_mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/ratio_mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/ratio_mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/ratio_mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/ratio_mean_step
1,1.0000004768371582,0.9999878406524658,0.999999463558197,1.0000028610229492,1.0000172853469849,1.0000046491622925
2,1.000006079673767,1.0000114440917969,1.0000070333480835,0.9999833106994628,0.999994158744812,0.9999943971633912
3,1.00001323223114,1.0000118017196655,0.999992311000824,0.9999887943267822,0.9999802708625792,1.0000052452087402
4,1.000024914741516,1.0000098943710327,1.0000170469284058,1.0000046491622925,0.9999927878379822,1.000007390975952
5,0.9999920129776,1.0000191926956177,1.0000017881393433,1.0000118017196655,0.9999871253967284,1.0000115633010864
6,1.0000137090682983,1.0000001192092896,1.000003695487976,0.9999974966049194,1.0000135898590088,1.0000203847885132
7,1.0000011920928955,1.0000001192092896,1.0000094175338743,1.000002145767212,1.0000216960906982,1.0000174045562744
8,1.000006914138794,0.999999701976776,0.9999934434890748,1.0000101327896118,0.9999949932098388,0.9999942779541016
9,1.0000118017196655,0.9999800324440002,0.9999910593032836,0.9999855756759644,0.9999980926513672,1.000008463859558
10,0.999994158744812,1.0000016689300537,1.0000019073486328,0.9999915957450868,1.0000267028808594,1.0000001192092896
11,0.999989092350006,1.0000067949295044,1.0000052452087402,0.9999948143959044,0.999984622001648,0.9999961853027344
12,0.999994158744812,0.9999882578849792,0.9999865293502808,1.0000001192092896,0.9999966025352478,1.000002384185791
13,0.9999923706054688,0.9999973177909852,0.9999977946281432,1.0000089406967163,0.9999972581863404,0.9999960660934448
14,1.0000524520874023,1.0000107288360596,0.999971866607666,0.9999889731407166,0.9999904036521912,1.000003695487976
15,0.9999810457229614,1.0000147819519043,1.000037670135498,1.0000072717666626,1.0000156164169312,0.999992311000824
16,1.0000245571136477,1.0000121593475342,1.000036120414734,1.0000056028366089,0.9999600052833556,0.999991536140442
17,0.9999966025352478,0.9999628067016602,1.0000300407409668,1.000005125999451,0.9999909996986388,0.9999980926513672
18,1.0000078678131104,0.9999529123306274,0.9999948143959044,0.9999940395355223,0.9999960064888,1.000015139579773
19,0.9999881386756896,1.0000025033950806,0.999960958957672,0.9999880790710448,1.0000149011611938,0.9999952912330629
20,1.000005125999451,0.9999698996543884,0.9999991655349731,1.000009536743164,0.9999998211860656,1.0000191926956177
21,0.999985933303833,0.9999497532844543,1.0000063180923462,1.0000046491622925,0.9999806880950928,0.9999822378158568
22,0.9999720454216005,1.0000141859054563,0.9999836683273317,0.9999821782112122,0.9999909996986388,0.9999874234199524
23,1.000044345855713,0.9999853372573853,1.0000195503234863,1.000001311302185,0.9999943375587464,0.9999706745147704
24,1.0000030994415283,0.999989092350006,0.9999817609786988,0.9999754428863524,0.999993860721588,0.9999864101409912
25,0.999990463256836,1.0000144243240356,1.000033259391785,0.9999826550483704,0.9999868273735046,0.9999696612358092
26,1.0000125169754028,1.0000075101852417,1.0000094175338743,0.9999877214431764,0.9999961256980896,1.0000293254852295
27,0.9999794960021972,0.999994158744812,1.0000121593475342,0.9999732971191406,0.9999892115592957,0.9999884963035583
28,0.9999858140945436,0.9999668598175048,0.9999932646751404,1.000010371208191,0.999993622303009,1.0000008344650269
29,0.9999939799308776,0.9999743103981018,1.0000513792037964,1.000003457069397,0.999950349330902,1.0000039339065552
30,0.9999973177909852,1.000012993812561,1.000017523765564,0.9999926686286926,0.999985933303833,0.9999824166297911
31,1.0000237226486206,1.0000088214874268,1.0000180006027222,0.9999910593032836,1.0000088214874268,0.9999998211860656
32,1.0000085830688477,1.00001323223114,1,1.0000025033950806,0.999970555305481,0.9999925494194032
33,1.000016689300537,0.9999845027923584,1.0000156164169312,0.9999917149543762,0.9999924302101136,1.000003457069397
34,0.9999687075614928,1.000008225440979,1.0000134706497192,0.9999988675117492,1.0000115633010864,1.00001859664917
35,1.0000005960464478,1.0000377893447876,0.9999563097953796,1.0000014305114746,0.9999892115592957,0.999995231628418
36,0.9999719858169556,0.9999977350234984,0.9999951124191284,1.0000027418136597,0.999994695186615,0.9999940395355223
37,1.000005125999451,1.000017523765564,0.999988615512848,1.0000052452087402,1.0000077486038208,1.0000276565551758
38,0.999980330467224,1.0000085830688477,0.999994158744812,1.0000041723251345,0.9999905228614808,1.000020980834961
39,1.0000121593475342,0.9999823570251464,0.9999603629112244,0.9999871253967284,0.999971568584442,1.0000218152999878
40,1.0000030994415283,0.9999873638153076,0.999994158744812,1.0000091791152954,1.0000239610671997,1.0000141859054563
41,1.0000089406967163,1.0000050067901611,1.0000077486038208,0.9999914765357972,1.000001311302185,0.9999839663505554
42,0.999983251094818,1.0000238418579102,1.0000033378601074,0.9999593496322632,1.0000264644622805,0.999981701374054
43,0.9999925494194032,0.9999808073043824,0.9999839663505554,1.0000174045562744,1.000005841255188,0.9999826550483704
44,0.9999899864196776,0.999993622303009,0.999999701976776,1.000000238418579,1.0000050067901611,1.0000170469284058
45,1.0000178813934326,1.0000271797180176,0.9999685287475586,0.9999639391899108,1.000010967254639,0.999991774559021
