step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/entropy_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/entropy_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/entropy_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/entropy_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/entropy_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/entropy_step
1,0.6468151807785034,0.6524223685264587,0.6775720715522766,0.6588650941848755,0.6464450359344482,0.6741810441017151
2,0.672974169254303,0.6627321839332581,0.6736879348754883,0.6701196432113647,0.6707264184951782,0.6747657060623169
3,0.6772193908691406,0.6829838752746582,0.6759091019630432,0.668481707572937,0.6774932742118835,0.6808216571807861
4,0.6495487093925476,0.6408147215843201,0.6648626327514648,0.6525973081588745,0.6471822261810303,0.6713104844093323
5,0.6900002360343933,0.647343099117279,0.6913981437683105,0.6870899796485901,0.6613215208053589,0.6941201686859131
6,0.6566941738128662,0.6526021361351013,0.6371633410453796,0.6697100400924683,0.6656924486160278,0.6462392210960388
7,0.6461169123649597,0.6190668940544128,0.6519392132759094,0.6601184010505676,0.6320400834083557,0.6649850010871887
8,0.6309332251548767,0.6453730463981628,0.6632919311523438,0.6582942605018616,0.6693069338798523,0.6708910465240479
9,0.588222324848175,0.6148808002471924,0.6593757271766663,0.6632958650588989,0.6595653891563416,0.6827795505523682
10,0.5715284943580627,0.6245125532150269,0.6195066571235657,0.6792163848876953,0.6920516490936279,0.6493630409240723
11,0.5304659008979797,0.5403401255607605,0.6062200665473938,0.6701129078865051,0.6346716284751892,0.664242684841156
12,0.5008793473243713,0.5226531028747559,0.6135218739509583,0.6409275531768799,0.6241612434387207,0.6666556000709534
13,0.5004037022590637,0.506950855255127,0.5753549933433533,0.6474047303199768,0.6652947068214417,0.6146335601806641
14,0.4901031255722046,0.4719133675098419,0.5916944146156311,0.6603351831436157,0.6414403319358826,0.6165567636489868
15,0.468193918466568,0.4251982867717743,0.6349157094955444,0.6111572980880737,0.6332234740257263,0.6601085066795349
16,0.4619829058647156,0.43565213680267334,0.6846293807029724,0.6006742715835571,0.6535757780075073,0.638320803642273
17,0.43997547030448914,0.4257558584213257,0.6844493746757507,0.621334969997406,0.6220448017120361,0.6269229650497437
18,0.4621911346912384,0.4381406903266907,0.6794721484184265,0.604117214679718,0.6259264349937439,0.6017963290214539
19,0.4512971639633178,0.4243214428424835,0.6906713247299194,0.5926228165626526,0.6175157427787781,0.6293050050735474
20,0.4630260169506073,0.43675532937049866,0.7791030406951904,0.6084231734275818,0.6329860687255859,0.6324673891067505
21,0.43813556432724,0.42090344429016113,0.7877614498138428,0.601050615310669,0.6037166714668274,0.6326376795768738
22,0.423031210899353,0.4373680055141449,0.7956269383430481,0.5966574549674988,0.6118307709693909,0.562044084072113
23,0.4456537961959839,0.4320757985115051,0.8287519812583923,0.6037088632583618,0.6087056398391724,0.5809878706932068
24,0.44077417254447937,0.4477807283401489,0.8269846439361572,0.5932337045669556,0.5945470333099365,0.5652719736099243
25,0.44588178396224976,0.4470616281032562,0.8196266293525696,0.5994240641593933,0.5903464555740356,0.5284609794616699
26,0.4334198236465454,0.4334113895893097,0.8512795567512512,0.5671433806419373,0.5839603543281555,0.5385248064994812
27,0.4438186287879944,0.451203852891922,0.8428887724876404,0.6112825274467468,0.618386447429657,0.5467367768287659
28,0.42466190457344055,0.4380166828632355,0.8639881610870361,0.595002293586731,0.6030948162078857,0.5300112366676331
29,0.42945635318756104,0.4392830729484558,0.8443408012390137,0.5742583870887756,0.5707873106002808,0.5136122107505798
30,0.4131852388381958,0.42231276631355286,0.8691151738166809,0.5600053668022156,0.554458498954773,0.4959644079208374
31,0.4157780110836029,0.43467268347740173,0.8878451585769653,0.5498256087303162,0.5657519698143005,0.505533754825592
32,0.39836856722831726,0.4243462085723877,0.866361141204834,0.5352528095245361,0.538506805896759,0.49532705545425415
33,0.4204575121402741,0.4102552831172943,0.8892713785171509,0.5634456872940063,0.5243380069732666,0.49649345874786377
34,0.3957844078540802,0.4334166347980499,0.8857867121696472,0.5493398904800415,0.5370399951934814,0.4960984885692597
35,0.41007310152053833,0.4294959008693695,0.8557193279266357,0.5460286140441895,0.5509660243988037,0.4790796637535095
36,0.4066876471042633,0.4310077130794525,0.8994231224060059,0.5387803316116333,0.5335065126419067,0.49426212906837463
37,0.4035506248474121,0.42792388796806335,0.8754903078079224,0.554310142993927,0.5206995010375977,0.4631955921649933
38,0.3861388564109802,0.4419748187065125,0.8602429628372192,0.5270119309425354,0.5365355014801025,0.47753745317459106
39,0.4095659255981446,0.4420619606971741,0.8937771916389465,0.5458037853240967,0.5332512259483337,0.4678524434566498
40,0.41216543316841125,0.4312154054641723,0.8680042028427124,0.5407936573028564,0.519676923751831,0.4431978762149811
41,0.3952978253364563,0.4227108955383301,0.9122068285942078,0.5215268731117249,0.5042632818222046,0.47038599848747253
42,0.3992757499217987,0.43524810671806335,0.8901336193084717,0.5167217254638672,0.52165287733078,0.4425581097602844
43,0.4009995758533478,0.42594924569129944,0.8704198002815247,0.4965827465057373,0.5094764828681946,0.4238700270652771
44,0.3934578001499176,0.4147171974182129,0.8805907964706421,0.480205237865448,0.4992516338825226,0.4332303404808045
45,0.4209035634994507,0.4154237806797027,0.9198618531227112,0.49288737773895264,0.5001451373100281,0.4310263097286224
46,0.4153979420661926,0.4066533148288727,0.9108003377914428,0.4839605689048767,0.49160894751548767,0.4297960102558136
47,0.41350257396698,0.4406569004058838,0.8844784498214722,0.4753592908382416,0.5318595170974731,0.4143141210079193
48,0.413300484418869,0.4135303795337677,0.9005555510520935,0.4651569128036499,0.5028071403503418,0.4325037896633148
49,0.4194658100605011,0.40855473279953,0.8686954379081726,0.4528506100177765,0.5052628517150879,0.41072139143943787
50,0.4360560476779938,0.4239683449268341,0.8763636946678162,0.4699000120162964,0.524533212184906,0.4115773737430573
51,0.41632410883903503,0.3983592092990875,0.8507210612297058,0.4465062618255615,0.4806701838970184,0.40210074186325073
52,0.4284002482891083,0.402169406414032,0.8517776131629944,0.4545569717884064,0.4869430959224701,0.40461915731430054
53,0.4418516755104065,0.42247074842453,0.8716010451316833,0.4580366611480713,0.5066231489181519,0.41954755783081055
54,0.43797609210014343,0.4099138379096985,0.8991138935089111,0.45460519194602966,0.4977930784225464,0.4255782663822174
55,0.4591867923736572,0.4091612100601196,0.9038133025169371,0.46852853894233704,0.4850119650363922,0.43565985560417175
56,0.44028863310813904,0.3985282778739929,0.9111076593399048,0.4562501013278961,0.4713618457317352,0.4436896145343781
57,0.42188510298728943,0.4076151549816131,0.8806296586990356,0.4288908243179322,0.47892796993255615,0.43270841240882874
58,0.4669368863105774,0.39806488156318665,0.8864655494689941,0.4623792171478271,0.46795105934143066,0.42893528938293457
59,0.455667644739151,0.42077556252479553,0.887525200843811,0.4540046453475952,0.49960044026374817,0.4205265343189239
60,0.4584549367427826,0.402405321598053,0.925034761428833,0.4474110305309296,0.4740053117275238,0.4639014005661011
61,0.4561499059200287,0.4084242582321167,0.91141539812088,0.4493093490600586,0.47349053621292114,0.4429240822792053
62,0.4590584635734558,0.44830355048179626,0.9038000702857972,0.44273656606674194,0.5123430490493774,0.445267915725708
63,0.46879303455352783,0.42763862013816833,0.8721489906311035,0.4439396858215332,0.4827166795730591,0.4330493807792664
64,0.45418035984039307,0.43092140555381775,0.911962628364563,0.433148056268692,0.4891652762889862,0.4653377830982208
65,0.46416446566581726,0.4259369969367981,0.8698601722717285,0.4414851665496826,0.48065295815467834,0.4403941333293915
66,0.4609912633895874,0.4448317289352417,0.871236264705658,0.4349565804004669,0.5005515813827515,0.4408313035964966
67,0.49871793389320374,0.4201772212982178,0.8875150680541992,0.4617018699645996,0.4742734432220459,0.45938318967819214
68,0.4918251931667328,0.45169597864151,0.8151330351829529,0.4578370153903961,0.5047796368598938,0.42936405539512634
69,0.4811954498291016,0.4492344260215759,0.822578489780426,0.45083528757095337,0.5043084025382996,0.4341399669647217
70,0.4959080219268799,0.4332554042339325,0.8440754413604736,0.4663178324699402,0.488395631313324,0.4469934999942779
71,0.49098894000053406,0.42736151814460754,0.8664339184761047,0.4544141888618469,0.4808175265789032,0.4679885804653168
72,0.4956840574741363,0.4429287016391754,0.8834251761436462,0.4553239643573761,0.49874570965766907,0.4782479703426361
73,0.5104784965515137,0.43364855647087097,0.8216898441314697,0.47476357221603394,0.4957113265991211,0.4505124092102051
74,0.4858643710613251,0.461995929479599,0.8267480134963989,0.446865439414978,0.5093268752098083,0.4492711126804352
75,0.4856407642364502,0.4478321671485901,0.8133358955383301,0.4555151164531708,0.49442607164382935,0.4453459084033966
76,0.5179640054702759,0.4521990418434143,0.8626885414123535,0.4869190156459808,0.5033526420593262,0.4797901213169098
77,0.49258291721343994,0.4698587656021118,0.8214660286903381,0.46971452236175537,0.5102284550666809,0.44094282388687134
78,0.4952353239059448,0.4509771466255188,0.8277714252471924,0.4593987166881562,0.5002186298370361,0.4535686671733856
79,0.49488240480422974,0.4516884684562683,0.8265900611877441,0.4632556736469269,0.4979305863380432,0.46008068323135376
80,0.48626166582107544,0.44523388147354126,0.8295437693595886,0.4461124539375305,0.4993294775485992,0.4510892629623413
81,0.48894938826560974,0.4477163553237915,0.829363226890564,0.4593512415885926,0.4963271617889404,0.4568440318107605
82,0.4936805367469787,0.4544765055179596,0.8409251570701599,0.4635588228702545,0.516568660736084,0.47476378083229065
83,0.4970908463001251,0.4617280960083008,0.8375942707061768,0.47086381912231445,0.5139638185501099,0.4661339223384857
84,0.508810818195343,0.434607595205307,0.8281909227371216,0.4832743704319,0.49706313014030457,0.4625483751296997
85,0.4959416091442108,0.44975224137306213,0.8469136953353882,0.4724467098712921,0.5171753764152527,0.4717476963996887
86,0.49516093730926514,0.4365899860858917,0.8205222487449646,0.4740068912506103,0.4978305101394654,0.4591841399669647
87,0.48062413930892944,0.434601217508316,0.8327227830886841,0.4588170349597931,0.500335693359375,0.45807501673698425
88,0.4881594479084015,0.4594433307647705,0.8181118965148926,0.460284411907196,0.5295693874359131,0.4538806676864624
89,0.4901750385761261,0.4460353255271912,0.8112635612487793,0.4544828236103058,0.5213648676872253,0.4453226327896118
90,0.506419837474823,0.4428068995475769,0.8010971546173096,0.4671092927455902,0.5280663967132568,0.4444013237953186
91,0.48766136169433594,0.4340321123600006,0.8452023267745972,0.4502437710762024,0.521342933177948,0.4561933279037475
92,0.47580549120903015,0.42983829975128174,0.8261894583702087,0.4301312267780304,0.5165514945983887,0.4459223747253418
93,0.5031879544258118,0.4405418932437897,0.8318403959274292,0.45266053080558777,0.5289400219917297,0.4604175090789795
94,0.5034590363502502,0.4527648389339447,0.8344603180885315,0.44277071952819824,0.535833477973938,0.4655567109584808
95,0.4705463647842407,0.43761685490608215,0.8050236701965332,0.4153505563735962,0.528632640838623,0.441593736410141
96,0.47217071056365967,0.4403963088989258,0.7852232456207275,0.417464941740036,0.5183598399162292,0.426535427570343
97,0.4972555935382843,0.4095200598239898,0.8217789530754089,0.4266093373298645,0.4836513698101044,0.45464888215065
98,0.5143634080886841,0.4192603826522827,0.8272788524627686,0.43741655349731445,0.5024881362915039,0.46677112579345703
99,0.4887717664241791,0.4188067615032196,0.798141360282898,0.4122149050235748,0.48221707344055176,0.4479099214076996
100,0.4943591356277466,0.4354184865951538,0.810230016708374,0.4209371209144592,0.5004010796546936,0.4586666524410248
101,0.4968126118183136,0.4082603454589844,0.8163093328475952,0.4140204191207886,0.4663964509963989,0.45859163999557495
102,0.5021682977676392,0.4205714166164398,0.829179584980011,0.4139515161514282,0.473381906747818,0.4655614197254181
103,0.5106610655784607,0.4271702766418457,0.785129189491272,0.42472684383392334,0.4764217436313629,0.4436681270599365
104,0.49724701046943665,0.4396069049835205,0.8063861727714539,0.40479138493537903,0.49204620718955994,0.47048550844192505
105,0.5072866678237915,0.44777911901474,0.8190495371818542,0.4141710698604584,0.4901820421218872,0.4727753698825836
106,0.5242342948913574,0.42991381883621216,0.8101865649223328,0.429416686296463,0.47267308831214905,0.46707603335380554
107,0.4954734444618225,0.45466673374176025,0.8132016658782959,0.40247148275375366,0.505968451499939,0.4768178462982178
108,0.5057213306427002,0.4540107250213623,0.7888965606689453,0.4142540097236634,0.5055878758430481,0.4615960717201233
109,0.49927768111228943,0.4392576217651367,0.7845005393028259,0.410038709640503,0.48418137431144714,0.45948469638824463
110,0.512220025062561,0.44516274333000183,0.8041608333587646,0.42430341243743896,0.5009039640426636,0.4846823215484619
111,0.5083978176116943,0.4342158138751984,0.80547696352005,0.4200344979763031,0.4914025068283081,0.4848584830760956
112,0.4961663186550141,0.43869298696517944,0.7876736521720886,0.4078683853149414,0.4983853101730346,0.4705256521701813
113,0.49941831827163696,0.42153653502464294,0.839982271194458,0.4077823460102082,0.48696866631507874,0.4967990219593048
114,0.4971827268600464,0.4469054639339447,0.7897570133209229,0.4092932939529419,0.5173373818397522,0.4730256199836731
115,0.5102574825286865,0.4345824122428894,0.810696005821228,0.4233449101448059,0.5087202787399292,0.47790300846099854
116,0.530841052532196,0.4334588050842285,0.8285506367683411,0.4392441809177398,0.5053024888038635,0.48541146516799927
117,0.5007219910621643,0.4169581830501557,0.8019862771034241,0.41356003284454346,0.48591363430023193,0.4592842757701874
118,0.5156083703041077,0.42850619554519653,0.8161564469337463,0.4205284714698791,0.4912333190441131,0.49104610085487366
119,0.5139258503913879,0.4079117476940155,0.8203842043876648,0.4200545847415924,0.4772786796092987,0.48341313004493713
120,0.5328737497329712,0.41953012347221375,0.7987133860588074,0.4425014853477478,0.48796141147613525,0.4737696647644043
121,0.5264073014259338,0.41842061281204224,0.836537778377533,0.430982381105423,0.4805234968662262,0.4877151548862457
122,0.5077815055847168,0.4449799656867981,0.7948155403137207,0.4304721355438232,0.517851710319519,0.4652661383152008
123,0.5148635506629944,0.4184195101261139,0.8152099847793579,0.4316338896751404,0.4904407858848572,0.4753882586956024
124,0.5255889892578125,0.4136887192726135,0.8002810478210449,0.4483250379562378,0.4844244718551636,0.4748687744140625
125,0.4958438575267792,0.43935662508010864,0.8203142285346985,0.41892075538635254,0.5266445875167847,0.4814037084579468
126,0.5177799463272095,0.4027048945426941,0.8208990693092346,0.4463968575000763,0.4753147661685944,0.487551748752594
127,0.49818313121795654,0.41886472702026367,0.8109848499298096,0.43504759669303894,0.5144364833831787,0.4766097068786621
128,0.49780791997909546,0.40052101016044617,0.8087005615234375,0.43322914838790894,0.4965944290161133,0.4755985736846924
129,0.4928763806819916,0.4176846742630005,0.8231591582298279,0.42559272050857544,0.5151408314704895,0.47535979747772217
130,0.4797579050064087,0.4052948653697967,0.8432222008705139,0.42260175943374634,0.5163151025772095,0.47499674558639526
131,0.4772304594516754,0.390539675951004,0.8436077237129211,0.4169515669345856,0.5080400705337524,0.4793862700462342
132,0.48193684220314026,0.3772225379943848,0.8042882084846497,0.4208028018474579,0.4962567389011383,0.4640376269817352
133,0.5103456974029541,0.39620867371559143,0.8080208897590637,0.43692880868911743,0.5162107944488525,0.45652610063552856
134,0.48884662985801697,0.4005194306373596,0.8007462024688721,0.4164177477359772,0.5179328918457031,0.45279815793037415
135,0.47881168127059937,0.35802125930786133,0.8422662615776062,0.4080857038497925,0.4758475124835968,0.47593528032302856
136,0.4629167020320892,0.37635964155197144,0.8671377897262573,0.4018385410308838,0.49742376804351807,0.4832629859447479
137,0.4566677212715149,0.3741816580295563,0.7796650528907776,0.3987275958061218,0.4971832036972046,0.42962124943733215
138,0.4712716937065125,0.3829880356788635,0.7888754606246948,0.4044282138347626,0.506049394607544,0.43637949228286743
139,0.4863899052143097,0.3736182749271393,0.8351274132728577,0.40607789158821106,0.49772951006889343,0.4771840572357178
140,0.4949304759502411,0.3811222016811371,0.843121349811554,0.4115562736988067,0.5003964304924011,0.47148510813713074
141,0.4783940613269806,0.35729068517684937,0.8055219650268555,0.399884819984436,0.47634586691856384,0.4436588287353515
142,0.4638700783252716,0.35506388545036316,0.7926664352416992,0.3899144232273102,0.4827263951301574,0.43404579162597656
143,0.4844167232513428,0.372033417224884,0.8058985471725464,0.400166392326355,0.5014208555221558,0.44827449321746826
144,0.4769448637962342,0.35601288080215454,0.8477558493614197,0.4000769257545471,0.4862602055072784,0.4624435305595398
145,0.49149513244628906,0.3483175039291382,0.7874366641044617,0.4065407514572144,0.4887111186981201,0.4401093125343323
146,0.4789158701896667,0.3563365638256073,0.8387647271156311,0.4072450399398804,0.4902099668979645,0.45978015661239624
147,0.4734415113925934,0.3637586236000061,0.8485295176506042,0.39877021312713623,0.5100182890892029,0.4552081227302551
148,0.47048455476760864,0.3514818847179413,0.81853848695755,0.398432195186615,0.5004193782806396,0.44072628021240234
149,0.48347944021224976,0.3538982570171356,0.8009827136993408,0.4101780951023102,0.4994954466819763,0.4270193576812744
150,0.4785260260105133,0.3439919650554657,0.8362621665000916,0.39790037274360657,0.48923659324646,0.4457727372646332
151,0.499514639377594,0.3458462953567505,0.8507288694381714,0.420090913772583,0.495210200548172,0.45189833641052246
152,0.4749560952186585,0.3494968116283417,0.8128308653831482,0.39554131031036377,0.5034993290901184,0.4328356683254242
153,0.48749688267707825,0.34042587876319885,0.8187845349311829,0.4015931487083435,0.5044939517974854,0.4296660721302033
154,0.476859986782074,0.33007726073265076,0.8274754881858826,0.4032178819179535,0.494671493768692,0.4318908751010895
155,0.470554918050766,0.3411508798599243,0.8403953909873962,0.3911239504814148,0.49431660771369934,0.4441763460636139
156,0.4809563755989074,0.33875709772109985,0.8275536894798279,0.3940334916114807,0.4960583448410034,0.4400092959403992
157,0.4726532399654389,0.33730968832969666,0.8390422463417053,0.38749244809150696,0.4821904003620148,0.4400263726711273
158,0.4656210243701935,0.32277095317840576,0.8253089189529419,0.3837348222732544,0.46815067529678345,0.429238498210907
159,0.4663960933685303,0.3188129663467407,0.8697506189346313,0.38259434700012207,0.45858150720596313,0.4572967290878296
160,0.4613976180553436,0.33734506368637085,0.8003132343292236,0.3769085109233856,0.4753087759017944,0.41509562730789185
161,0.46783506870269775,0.3204115629196167,0.827526867389679,0.3801159858703614,0.4606643319129944,0.42570388317108154
162,0.4619227349758148,0.3264668583869934,0.8473716974258423,0.3752318024635315,0.4761437773704529,0.4330446720123291
163,0.45371097326278687,0.3149799406528473,0.8307906985282898,0.37120920419692993,0.4528157114982605,0.4187507629394531
164,0.451053261756897,0.2881573438644409,0.8345987796783447,0.36194151639938354,0.4187930226325989,0.42773228883743286
165,0.4715416431427002,0.2925378680229187,0.8268753886222839,0.3845484256744385,0.4418627619743347,0.4098830819129944
166,0.47791773080825806,0.27689075469970703,0.8034244775772095,0.3868604302406311,0.4224206209182739,0.4045991003513336
167,0.4769997000694275,0.29504522681236267,0.8552321791648865,0.3840660750865936,0.44097867608070374,0.42364829778671265
168,0.47648733854293823,0.27929335832595825,0.809314489364624,0.39014944434165955,0.4233394265174866,0.3962839245796203
169,0.4796471297740936,0.27649447321891785,0.7874017953872681,0.3851669132709503,0.4304555654525757,0.37570351362228394
170,0.480441689491272,0.2774512469768524,0.8490656018257141,0.3843487799167633,0.4229122996330261,0.3991459310054779
171,0.4830437302589417,0.2783338725566864,0.794029176235199,0.3825337588787079,0.43472549319267273,0.3711988627910614
172,0.4675529897212982,0.25266575813293457,0.8399627804756165,0.3751421868801117,0.39580219984054565,0.3845944404602051
173,0.4628541171550751,0.2534242272377014,0.8218826651573181,0.367726594209671,0.3874819576740265,0.3792148232460022
174,0.4640631973743438,0.2680604159832001,0.7833632826805115,0.3673122227191925,0.3943367004394531,0.3616434335708618
175,0.480020135641098,0.27136847376823425,0.8167259097099304,0.3867796063423157,0.3952435851097107,0.3722488284111023
176,0.48417508602142334,0.27627718448638916,0.8186481595039368,0.384760707616806,0.3932036757469177,0.3749624788761139
177,0.4538591206073761,0.277039110660553,0.8304236531257629,0.363793671131134,0.3759243488311768,0.378499299287796
178,0.4827966988086701,0.2879005968570709,0.7874093055725098,0.3841508626937866,0.3873836696147918,0.35651895403862
179,0.496294766664505,0.3206543028354645,0.7954514026641846,0.4002420902252197,0.4189436137676239,0.3579176068305969
180,0.4626663327217102,0.2915189564228058,0.7905107140541077,0.38345593214035034,0.3768677711486816,0.35962989926338196
181,0.4627742767333984,0.31123587489128113,0.812964141368866,0.3827728927135467,0.39251747727394104,0.3693653345108032
182,0.43961748480796814,0.3234539031982422,0.7925634980201721,0.3752073645591736,0.3982562422752381,0.3735740184783935
183,0.45606905221939087,0.29704543948173523,0.7939367890357971,0.3887035548686981,0.3759182095527649,0.36692014336586
184,0.4704985022544861,0.33063197135925293,0.7794963121414185,0.4101426303386688,0.3997112810611725,0.3714389204978943
185,0.4499545991420746,0.3250998854637146,0.808049201965332,0.39739105105400085,0.39138081669807434,0.3859235942363739
186,0.44916123151779175,0.3235093355178833,0.7934709787368774,0.3973228931427002,0.3893956243991852,0.388337105512619
187,0.4474866390228271,0.3101125955581665,0.8061382174491882,0.4025481343269348,0.37158122658729553,0.3992482721805573
188,0.4372798502445221,0.31309589743614197,0.8061248064041138,0.3950226902961731,0.3825337588787079,0.3990631103515625
189,0.45396819710731506,0.3176758885383606,0.7685155868530273,0.4018538296222687,0.3820824921131134,0.3871848583221435
190,0.44877713918685913,0.3181854784488678,0.8095133304595947,0.3970863223075866,0.3891238868236542,0.41454628109931946
191,0.43828651309013367,0.30873677134513855,0.7784618735313416,0.3812856078147888,0.3676793575286865,0.3950651884078979
192,0.4469106197357178,0.30570825934410095,0.7682135105133057,0.3940138816833496,0.3727467358112335,0.39719972014427185
193,0.440829336643219,0.315219908952713,0.7812938094139099,0.38608211278915405,0.3776700496673584,0.402574360370636
194,0.4529032111167908,0.3188866674900055,0.7773948907852173,0.3903864324092865,0.3839767277240753,0.4057360589504242
195,0.42804887890815735,0.31923261284828186,0.7955726981163025,0.36756449937820435,0.3798901438713074,0.420637845993042
196,0.4095703065395355,0.3328607976436615,0.7744124531745911,0.35615676641464233,0.3971349895000458,0.4043644070625305
197,0.4035777449607849,0.34542325139045715,0.7664134502410889,0.3525959551334381,0.404498815536499,0.400761604309082
198,0.3978756964206696,0.33691853284835815,0.7813346982002258,0.34547728300094604,0.3963247239589691,0.41058894991874695
199,0.3831399381160736,0.3770530223846435,0.7563283443450928,0.3300023078918457,0.4421062171459198,0.3888413906097412
200,0.388117790222168,0.3730512857437134,0.7617002725601196,0.3427320122718811,0.4312174618244171,0.3994758725166321
201,0.3807985484600067,0.3818294703960418,0.7373473048210144,0.3387626111507416,0.4275313913822174,0.38828662037849426
202,0.37869665026664734,0.3872956931591034,0.7756125330924988,0.34455859661102295,0.4336838722229004,0.4206453561782837
203,0.362799733877182,0.3758580982685089,0.7777180671691895,0.3354208767414093,0.4298888146877289,0.4282033741474152
204,0.3566533625125885,0.3746501803398132,0.7784345149993896,0.3274249732494354,0.4366266429424286,0.4391113817691803
205,0.346004456281662,0.38645556569099426,0.7843711376190186,0.32476699352264404,0.4535044729709625,0.4455050230026245
206,0.35503166913986206,0.38177603483200073,0.7558334469795227,0.32529833912849426,0.44873473048210144,0.43444937467575073
207,0.3477232754230499,0.3923822343349457,0.7614381313323975,0.32189181447029114,0.4623349606990814,0.4464317560195923
208,0.34116625785827637,0.3885330557823181,0.7776790857315063,0.31405991315841675,0.4641720652580261,0.4520102143287658
209,0.348797470331192,0.3850378394126892,0.796652615070343,0.3184382915496826,0.46970006823539734,0.4797538220882416
210,0.3406883180141449,0.3952288925647736,0.7535375356674194,0.31198447942733765,0.476301372051239,0.4561960399150848
211,0.3406340181827545,0.36784064769744873,0.7777267098426819,0.3190077543258667,0.4483372271060944,0.4706414043903351
212,0.3552357256412506,0.3737095594406128,0.77604079246521,0.33187684416770935,0.4633325040340424,0.4760509431362152
213,0.3464738428592682,0.37108638882637024,0.7513189911842346,0.3244105279445648,0.4630797505378723,0.449526309967041
