step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/lr_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/lr_step
49,3.4727028948702877e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
50,4.1637916495686974e-06,3.0676765412381757e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
51,2.4999999999999998e-06,3.7577359947580686e-06,4.6533249319439995e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
52,3.797216473091068e-06,2.6198864809204137e-06,4.313809716551236e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
53,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
54,5.066167627028507e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
55,2.4999999999999998e-06,3.2648438772824176e-06,2.826217994314786e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
56,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
57,2.977255264320937e-06,2.4999999999999998e-06,2.872722529571201e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
58,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
59,4.3699870310694674e-06,3.8264924081305355e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
60,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
61,2.4999999999999998e-06,3.1353081437939323e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
62,2.4999999999999998e-06,2.4999999999999998e-06,2.728622888161272e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
63,3.503227527726273e-06,2.4999999999999998e-06,3.1943792919102727e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
64,2.4999999999999998e-06,3.1657278396182357e-06,2.594612549042153e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
65,2.4999999999999998e-06,4.8591704575998356e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
66,3.4817482924481223e-06,3.8264924081305355e-06,4.750011936669967e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
67,2.6743741894183344e-06,3.191467578062198e-06,3.267148918380452e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
68,3.2516783357680497e-06,3.208385708284268e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
69,4.1637916495686974e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
70,4.508932628067034e-06,4.068849176343442e-06,2.846022168206576e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
71,4.7712675579076436e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
72,2.54825976919272e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
73,2.4999999999999998e-06,2.6198864809204137e-06,3.135090623971548e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
74,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
75,2.4999999999999998e-06,2.7262677495849168e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
76,2.632690551772295e-06,2.917481467811556e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
77,3.938147796184984e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
78,2.4999999999999998e-06,3.2893532247392014e-06,2.728622888161272e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
79,2.4999999999999998e-06,3.038765033286573e-06,4.638739180142066e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
80,2.4999999999999998e-06,2.8853048907333995e-06,2.8288860206541244e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
81,2.4999999999999998e-06,3.5334697375798567e-06,2.516455408497701e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
82,2.4999999999999998e-06,2.729221932319517e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
83,5.2617674467575024e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
84,2.823128415211697e-06,2.7262677495849168e-06,4.750011936669967e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
85,4.636205746002382e-06,2.4999999999999998e-06,4.750011936669967e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
86,4.636205746002382e-06,3.383618752511937e-06,2.600427460540531e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
87,3.0975951802079005e-06,2.4999999999999998e-06,2.846022168206576e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
88,3.0340327120988565e-06,2.9962342341759072e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
89,2.7204937490929006e-06,2.4999999999999998e-06,2.712539027771128e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
90,4.5211941652456005e-06,2.4999999999999998e-06,3.37565715842438e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
91,3.79279290901293e-06,2.6343255617174663e-06,2.516455408497701e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
92,2.693316578656068e-06,4.4084491398906065e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
93,4.7712675579076436e-06,2.9831899386159397e-06,2.56293958506886e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
94,2.4999999999999998e-06,2.713300027732116e-06,3.9261635558586354e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
95,2.4999999999999998e-06,6.506446826964706e-06,2.5791124728501245e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
96,4.635936061498503e-06,2.6343255617174663e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
97,4.5211941652456005e-06,2.4999999999999998e-06,2.52350835016901e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
98,2.4999999999999998e-06,2.6089593162014187e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
99,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
100,4.413820377002879e-06,2.917481467811556e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
101,2.4999999999999998e-06,2.9962342341759072e-06,5.481134544754125e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
102,3.571164339813145e-06,4.231061525069576e-06,2.5949522680934063e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
103,3.3432287015705693e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
104,2.9815111645918008e-06,5.009205983632099e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
105,4.858789144180973e-06,3.7577359947580686e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
106,2.7564159706802887e-06,2.729221932319517e-06,2.982685017575302e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
107,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
108,2.4999999999999998e-06,5.5302605491627194e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
109,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
110,2.4999999999999998e-06,5.143254791139521e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
111,3.3051069827844106e-06,2.4999999999999998e-06,3.716112899193441e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
112,2.4999999999999998e-06,3.0215636423520193e-06,4.6813473180055806e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
113,2.4999999999999998e-06,3.661087385208633e-06,2.6309364601441576e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
114,2.4999999999999998e-06,2.4999999999999998e-06,2.52350835016901e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
115,4.990675142698495e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
116,3.976955378055431e-06,3.1323967559536096e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
117,3.1671652349638907e-06,3.8264924081305355e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
118,2.4999999999999998e-06,5.319483075428893e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
119,2.7816141401718776e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
120,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
121,3.501887966479116e-06,3.725310648575467e-06,3.716112899193441e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
122,2.880609358708209e-06,2.9962342341759072e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
123,3.503227527726273e-06,2.4999999999999998e-06,2.5791124728501245e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
124,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
125,4.7712675579076436e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
126,4.7712675579076436e-06,2.4999999999999998e-06,3.135090623971548e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
127,2.645333007613161e-06,3.0676765412381757e-06,4.3098031332813564e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
128,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
129,2.4999999999999998e-06,4.096662882191506e-06,4.585373267188382e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
130,2.4999999999999998e-06,3.8264924081305355e-06,3.0825478233729275e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
131,3.6131425187129557e-06,3.174734693398752e-06,3.716112899193441e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
132,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
133,2.9188293365371684e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
134,4.746475234194945e-06,3.5071180615291784e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
135,3.78522507126533e-06,3.4813703827523137e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
136,2.4999999999999998e-06,2.4999999999999998e-06,2.872722529571201e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
137,3.66033726241058e-06,2.4999999999999998e-06,2.5008486830514733e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
138,2.4999999999999998e-06,2.4999999999999998e-06,3.135090623971548e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
139,4.390365284900189e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
140,3.873267423633307e-06,2.4999999999999998e-06,3.873147670281618e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
141,7.0077167249447915e-06,2.4999999999999998e-06,5.481134544754125e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
142,2.519032469563592e-06,2.5812738800685257e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
143,5.9279347489412966e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
144,5.9279347489412966e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
145,3.568403842021919e-06,2.917481467811556e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
146,3.2516783357680497e-06,2.4999999999999998e-06,2.9480897679784527e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
147,2.4999999999999998e-06,2.4999999999999998e-06,3.0150972418951556e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
148,3.3432287015705693e-06,3.824272602469373e-06,4.0914754017814876e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
149,2.4999999999999998e-06,2.4999999999999998e-06,3.4999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
150,2.605076035841077e-06,4.985879398972437e-06,3.6339034408671998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
151,3.029784864970823e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
152,2.632690551772295e-06,4.105889791402831e-06,3.282981943624742e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
153,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
154,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
155,2.4999999999999998e-06,2.4999999999999998e-06,3.403387487558151e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
156,3.4727028948702877e-06,3.824272602469373e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
157,6.9204085528267714e-06,2.4999999999999998e-06,2.52350835016901e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
158,2.4999999999999998e-06,3.4656225267117733e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
159,2.4999999999999998e-06,3.1323967559536096e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
160,4.990675142698495e-06,2.8329198614637234e-06,2.982685017575302e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
161,3.943105014684869e-06,2.4999999999999998e-06,3.135090623971548e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
162,2.4999999999999998e-06,4.8591704575998356e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
163,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
164,2.4999999999999998e-06,5.009205983632099e-06,2.728622888161272e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
165,2.4999999999999998e-06,3.7577359947580686e-06,2.5489210865699726e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
166,2.4999999999999998e-06,2.984859231498333e-06,2.586635520745725e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
167,3.4565799106427704e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
168,2.8944056297595588e-06,2.4999999999999998e-06,2.52350835016901e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
169,3.571164339813145e-06,2.4999999999999998e-06,2.712539027771128e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
170,2.4999999999999998e-06,3.689733961644325e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
171,3.74626585005409e-06,2.4999999999999998e-06,3.055725644903163e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
172,2.8880903905745353e-06,2.4999999999999998e-06,3.288078894345123e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
173,4.1731520859364735e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
174,2.54825976919272e-06,3.2366147927833428e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
175,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
176,2.4999999999999998e-06,4.6142197829744985e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
177,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
178,2.4999999999999998e-06,4.985879398972437e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
179,3.0975951802079005e-06,2.917481467811556e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
180,4.990675142698495e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
181,3.3949311322949853e-06,2.4999999999999998e-06,3.2640282518491638e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
182,2.693316578656068e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
183,2.4999999999999998e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
184,2.4999999999999998e-06,3.7577359947580686e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
185,3.2516783357680497e-06,2.4999999999999998e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
186,3.2040162976446263e-06,3.340651353420486e-06,2.4999999999999998e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
187,3.033958739327716e-06,2.4999999999999998e-06,3.2640282518491638e-06,3.0999999999999995e-06,3.0999999999999995e-06,3.0999999999999995e-06
