step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/ppo_kl_mean_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/ppo_kl_mean_step
1,0.0004225078737363219,0.0004553887411020696,0.0004335289704613387,0.0004256079555489123,0.0004209448234178126,0.00042664125794544816
2,0.00043850511428900063,0.00043310984619893134,0.0004369251837488264,0.0004607892478816211,0.00045049915206618607,0.00045462840353138745
3,0.000417674717027694,0.0004348533402662724,0.0004439229669515043,0.00044397261808626354,0.00046096809091977775,0.00043252320028841496
4,0.0004118980432394892,0.0004144784761592746,0.0004298589192330837,0.000430288549978286,0.0004347782232798636,0.0004410084802657366
5,0.00045603353646583855,0.0004102817038074136,0.0004462299693841487,0.0004309973446652293,0.00044907518895342946,0.0004353098920546472
6,0.000423306308221072,0.0004374751297291368,0.0004315045080147683,0.0004364354535937309,0.00042668377864174545,0.0004187438171356917
7,0.000437651266111061,0.0004240022390149534,0.00043791800271719694,0.00043743682908825576,0.0004021113563794642,0.0004346657951828092
8,0.0004270658828318119,0.00043952310807071626,0.0004494268505368382,0.0004267423937562853,0.00044699342106468976,0.0004514866741374135
9,0.0004034930316265672,0.0004499192291405052,0.0004482315853238106,0.00045189401134848595,0.00044355032150633633,0.00043131885468028486
10,0.000422126438934356,0.00043252098839730024,0.00042381463572382927,0.0004509485152084381,0.0004215664521325379,0.00043037976138293743
11,0.000413898698752746,0.00039405602728948,0.0004205811710562557,0.0004443235520739108,0.0004402089689392597,0.00043840057333
12,0.0003963695780839771,0.00042077284888364375,0.0004432844871189445,0.00043615727918222547,0.0004357327416073531,0.00043662634561769664
13,0.00039504608139395714,0.0004018232284579426,0.0004268941702321172,0.0004257448599673808,0.0004477945913095027,0.0004317556449677795
14,0.00033553512184880674,0.0003778456593863666,0.0004609561001416296,0.0004522693925537169,0.0004439018084667623,0.00042598386062309146
15,0.00040044690831564367,0.00034647469874471426,0.0004178977687843144,0.0004200792755000293,0.00040630041621625423,0.0004472096334211528
16,0.00035083608236163855,0.0003629346319939941,0.0004460095369722694,0.0004187355807516724,0.0004771473759319633,0.0004547051212284714
17,0.0003621139039751142,0.0004115516494493931,0.0004413712886162102,0.0004231856146361679,0.00044754589907824993,0.0004357277066446841
18,0.0003652707091532648,0.00042599730659276247,0.0004722053708974272,0.0004349242663010955,0.0004375186108518392,0.000412699329899624
19,0.0003748353919945657,0.0003716551582328975,0.0005167053313925862,0.0004305121838115156,0.0004128935106564313,0.00042887788731604815
20,0.0003687982680276036,0.00040670711314305663,0.0005010406603105366,0.0004240494454279542,0.0004280878056306392,0.0004161322140134871
21,0.00036825539427809417,0.00041653175139799714,0.0004967944114468992,0.0004191167827229947,0.00044204556616023183,0.0004532972816377878
22,0.0003705952549353242,0.00036450932384468615,0.0005106655298732221,0.0004386445507407189,0.0004355593118816614,0.0004267182375770062
23,0.00031958657200448215,0.00038868130650371313,0.0004924646927975118,0.00043582619400694966,0.0004207409801892936,0.0004551342863123864
24,0.00035606775782071054,0.00039605770143680274,0.0005286808009259403,0.0004505566612351686,0.0004319076251704246,0.0004343545588199049
25,0.00037514438736252487,0.000374513358110562,0.0004679284174926579,0.0004444776859600097,0.0004299567372072488,0.00043797705438919365
26,0.00034170292201451957,0.00036748734419234097,0.0005101021961309016,0.0004392635019030422,0.0004186924779787659,0.0003844883176498115
27,0.00038255107938311994,0.00039766597910784185,0.0004987037391401827,0.00046010687947273254,0.0004425109946168959,0.0004218013200443238
28,0.0003637562913354486,0.000414104521041736,0.0005240680766291916,0.00041557461372576654,0.0004318678402341902,0.0004042017390020192
29,0.00036369674489833415,0.0004081003717146814,0.0004555377236101776,0.00041995273204520345,0.0004633903736248613,0.00039513866067864
30,0.0003445146430749446,0.0003599671763367951,0.0004929091082885861,0.00042483455035835505,0.0004220109258312732,0.0004097773344255984
31,0.00032063471735455096,0.0003744295390788466,0.0005025233840569854,0.0004251633072271943,0.0004055679310113192,0.0004025941016152501
32,0.0003281630342826247,0.00036939638084732,0.0005072720814496279,0.0004110712034162134,0.00043125468073412776,0.0003977632150053978
33,0.0003342231211718172,0.0003867994237225503,0.0005024856072850525,0.0004293643578421325,0.0004072120063938201,0.0003916205605491996
34,0.0003604535886552185,0.0003734079946298152,0.0005052929045632482,0.0004127618158236146,0.00039126130286604166,0.0003792682255152613
35,0.0003439845168031752,0.0003424063615966588,0.0005564377061091363,0.00041697226697579026,0.0004228952166158706,0.0003872002125717699
36,0.0003700090746860951,0.0003864811733365059,0.00052390166092664,0.00041918185888789594,0.0004098598146811128,0.00040429303771816194
37,0.00033777192584238946,0.00036518138949759305,0.0005242979968897998,0.0004204161232337355,0.0003936198190785945,0.0003529648529365659
38,0.00034940949990414083,0.00037864872138015926,0.0005133956437930465,0.000406003586249426,0.0004191455955151469,0.0003737496444955468
39,0.00033259601332247257,0.0004101047234144062,0.0005617806455120444,0.0004368225345388055,0.0004384181811474264,0.0003695742634590715
40,0.0003428086347412318,0.00039905562880449,0.0005130611243657768,0.00041687735938467085,0.0003790176415350288,0.0003649681166280061
41,0.0003274718765169382,0.00037584418896585703,0.0005246379878371954,0.00042081886203959584,0.0003966780204791576,0.00041211320785805583
42,0.0003512105904519558,0.00036619845195673406,0.0005167601630091667,0.0004486461402848363,0.00038411159766837955,0.00039794406620785594
43,0.00034178729401901364,0.0004042453656438738,0.0005242916522547603,0.0003880949807353318,0.00039144352194853127,0.00038454035529866815
44,0.0003364648437127471,0.0003803671570494771,0.0005158163257874548,0.0003921924508176744,0.0003834059461951256,0.0003602912474889308
45,0.0003308902378194034,0.00034914803109131753,0.0005628443323075771,0.0004478215705603361,0.00038550334284082055,0.0003842029254883528
46,0.00032100273529067636,0.0003568375832401216,0.0004952792078256607,0.0004075378528796136,0.0004108651774004102,0.0003635267203208059
47,0.00029986610752530396,0.00037968726246617734,0.000494974956382066,0.0003905762278009206,0.0004193355271127075,0.00036110877408646047
48,0.0003655080799944699,0.00040705056744627655,0.0005232024122960865,0.00040952235576696694,0.0004033248405903578,0.0003957392764277756
49,0.00036979024298489094,0.00037024065386503935,0.0005318430485203862,0.0003667121636681258,0.0003882964956574142,0.00037845378392376006
50,0.0003454825491644442,0.0004021330096293241,0.0004672193608712405,0.00038636053795926273,0.0004223518189974129,0.00037812942173331976
51,0.0003529234672896564,0.0003848039486911148,0.0004843170463573187,0.00036848310264758766,0.0003827176697086543,0.0003507062210701406
52,0.0003448783536441624,0.0003944410418625921,0.0004883475485257804,0.00038521783426404,0.0003718411026056856,0.00034204876283183694
53,0.00035407234099693596,0.0003878090064972639,0.0005214130505919456,0.00037849831278435886,0.0004076912591699511,0.0003963528433814645
54,0.00035031672450713813,0.00037152826553210616,0.0004956053453497589,0.00038660113932564855,0.0004161718825343996,0.0003370576596353203
55,0.0003980405163019896,0.0004046076501253992,0.0005184522015042603,0.0003893280518241226,0.00041180665721185505,0.0003986480587627738
56,0.0003625039244070649,0.0003827394393738359,0.0005439954693429172,0.0004230462945997715,0.00038651915383525193,0.0003809109330177307
57,0.00033490703208371997,0.000383338745450601,0.0004842799389734864,0.0003921615716535598,0.00038468162529170513,0.0003686152340378612
58,0.0003732485056389123,0.0003764994617085904,0.0004723630263470114,0.0003995798178948462,0.0003681387752294541,0.0003829706693068146
59,0.0003724858979694545,0.0004126128042116761,0.0005361575749702752,0.0004297051054891199,0.0004023627261631191,0.0003892272070515901
