step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_dot_positive_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_dot_positive_step
205,1,0,0,1,1,0
206,0,1,1,1,1,1
207,1,0,0,0,1,0
208,1,0,0,1,0,1
209,1,0,1,1,1,0
210,0,0,1,0,1,0
211,0,0,1,1,0,0
212,1,0,0,1,0,0
213,1,0,1,0,0,1
214,0,0,1,1,1,1
215,1,1,0,1,0,1
216,0,0,1,0,0,1
217,1,1,0,0,0,1
218,1,1,0,1,0,1
219,1,0,1,0,0,1
220,0,1,0,1,0,1
221,1,1,0,0,1,0
222,1,1,0,1,1,0
223,0,1,1,0,0,0
224,1,0,1,0,0,0
225,0,1,1,1,1,0
226,0,0,1,0,1,1
227,1,0,0,1,1,1
228,0,0,0,0,0,1
229,1,0,1,1,0,1
230,1,0,0,1,1,1
231,0,0,1,1,0,0
232,0,0,0,1,0,0
233,1,1,1,1,1,1
234,0,1,1,0,0,0
235,0,1,1,1,1,1
236,1,1,1,0,1,1
237,0,1,1,0,1,1
238,1,0,1,0,1,0
239,1,1,0,0,0,1
240,0,0,1,1,1,1
241,1,1,1,0,0,0
242,0,1,0,0,1,0
243,1,0,0,0,1,0
244,1,0,0,0,0,1
245,0,1,1,1,1,1
246,0,0,1,1,0,0
247,1,0,1,0,1,1
248,1,1,0,0,0,0
249,0,1,0,1,1,1
250,0,1,1,0,0,1
251,0,1,1,0,1,1
252,0,1,0,0,0,0
253,0,1,1,0,1,1
254,1,0,0,0,1,0
255,1,1,1,0,1,0
256,1,1,0,0,0,0
257,1,1,0,1,0,1
258,0,0,1,0,0,0
259,1,0,1,0,1,1
260,1,0,1,1,1,1
261,0,1,1,0,0,1
262,0,1,1,0,0,1
263,1,0,1,1,0,1
264,0,0,1,1,1,1
265,0,1,0,0,1,1
266,1,0,1,0,0,1
267,0,1,1,0,0,0
268,0,0,1,0,1,1
269,1,1,1,0,0,1
270,1,0,1,1,0,1
271,1,1,0,0,0,1
272,1,1,0,1,0,1
273,1,0,0,1,0,1
274,1,0,0,0,1,0
275,1,0,0,1,0,1
276,1,1,0,0,0,0
277,1,1,1,0,0,0
278,0,1,0,1,1,1
279,0,1,0,0,1,0
280,1,0,1,1,0,0
281,1,1,1,0,1,0
282,0,1,0,1,0,1
283,0,0,1,1,0,0
284,0,0,1,1,0,0
285,1,1,0,1,0,1
286,1,1,0,0,1,0
287,1,1,1,1,0,1
288,0,0,1,0,0,1
289,1,0,1,0,0,0
290,0,0,0,0,0,0
291,1,0,1,1,0,0
292,0,0,1,1,0,0
293,0,1,0,1,1,1
294,0,1,1,1,0,0
295,0,0,0,1,0,0
296,0,1,0,0,1,1
297,1,0,1,0,1,1
298,1,1,0,1,0,0
299,0,1,1,0,1,1
300,1,0,1,0,0,1
