step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/pg_loss_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/pg_loss_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/pg_loss_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/pg_loss_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/pg_loss_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/pg_loss_step
1,0.16141995345100352,0.1340279504914788,0.14779439408032757,0.14663373743873886,0.13186733548248347,0.14689535868752118
2,0.1492280427852032,0.14367113785885471,0.13542101062096967,0.14862703975707453,0.13472995341460228,0.14050593919754545
3,0.1708889321862655,0.13991266092109292,0.14828859031674962,0.14772947228557398,0.13267911306266714,0.14525091021399325
4,0.16354152046812198,0.1501596574613891,0.16063236570519585,0.15964523245412338,0.1429310378229101,0.14315369788705087
5,0.14933017521682568,0.16090858739023262,0.14455388643182232,0.1516897178257851,0.14733133685174749,0.14800674426246918
6,0.16934788615141838,0.14446642798159087,0.140181208839446,0.14146276889129317,0.14752134963618144,0.14729068223438996
7,0.1420870633121108,0.16795478916392317,0.1574069152737225,0.1419973588868104,0.1505355543110433,0.143058094598382
8,0.17245295535969107,0.17046417056975005,0.1823755695826953,0.1345960884646893,0.14111370211966734,0.16750874851310288
9,0.18763974847819695,0.1837868487362617,0.2231940446744349,0.1411230235216345,0.16144387483147385,0.18355547862947788
10,0.23156946448805937,0.19743502929680593,0.2013389691237535,0.13696252373399126,0.1491422800617604,0.16777793334530122
11,0.17877613866897132,0.17066943592963862,0.18176329927411172,0.1554700180429275,0.16097158307185477,0.1535003636193149
12,0.16003980285131547,0.14399757652477596,0.1763571377245667,0.15760235307023046,0.16430638497477046,0.1427702630506766
13,0.10985283646022728,0.07309071401167395,0.1088080802835773,0.1731772795967464,0.15277801527263363,0.14789232570836777
14,0.049244082520696494,0.019576609138532534,0.03809435416625782,0.17475215495402907,0.14376558854114094,0.13243167771501108
15,0.04075097081416365,0.031079300224215935,0.052149837103910274,0.16891592787269474,0.16233302751415743,0.17165856996181014
16,0.01930781014391069,0.04775501808958165,0.023260263140680484,0.19876041201979144,0.16565858957787544,0.161033014289737
17,0.0662413252721308,0.005449015194079199,0.02595876027337979,0.21018616259259165,0.22028358386936983,0.18879415725128235
18,0.050104171349327466,0.05975757306889416,0.03697138367883431,0.1843437946889834,0.15944135265119652,0.1932973019564532
19,0.06140170048148811,0.05602286886687147,0.03412751088035293,0.18229257127407883,0.20085451931127965,0.20218503867605855
20,0.08073699948087008,0.0358208728597674,0.05770051493333691,0.19947605967748272,0.2084591930441404,0.21007520553471024
21,0.0764987206180544,0.06131101383992549,0.03471603278982609,0.1895362851813425,0.2016315821762081,0.21723912571495377
22,0.08815711377974367,0.08420405877016796,0.0530691393031096,0.22736125742682317,0.225723190865885,0.18506489153173633
23,0.06959472110826201,0.07534813616757674,0.0538562169918698,0.2048698842687196,0.19279594554581905,0.22289391913634765
24,0.04942952306673461,0.064084351817534,0.0655403898175185,0.21623937707346189,0.1989022269188929,0.17228853373997333
25,0.03719449618078575,0.07110320974243223,0.07898441798426895,0.17458790428589474,0.2069744617114224,0.2040537926608732
26,0.07627243074918322,0.07883797789448485,0.07053130827376199,0.18313142526868792,0.16447205823235642,0.1861428620588693
27,0.07068681674471528,0.07173829763360118,0.061876882345435064,0.206071289764368,0.17606586981982336,0.19562820552783355
28,0.06586009783390008,0.051534426491343766,0.06727191226074117,0.21340003454406545,0.15776326895357048,0.1762826322911955
29,0.031870784078469466,0.07393708692175364,0.06267134861199712,0.19512909420857152,0.17942251551498573,0.17847229371268658
30,0.06511484420583916,0.07811176630687745,0.06595167366430318,0.15566688281459,0.16599583652752797,0.172918827366413
31,0.08681664584243359,0.057775334136408674,0.07229514171437282,0.16382392095659848,0.159164504239207,0.16010183615944695
32,0.0760578089358335,0.06113662149618904,0.06528751224925666,0.1678508962305913,0.10700951551058288,0.16360517397303115
33,0.04066764315842495,0.07371411078309073,0.06613664276971433,0.16916031496636735,0.1033622806002345,0.1347054559967211
34,0.07484126930191148,0.06986550294641347,0.06268498198161915,0.14060966411343542,0.09774666739826898,0.11271980576526
35,0.07239815924015905,0.06886748173971736,0.06467431093455832,0.14741095321369355,0.12786905231364976,0.09803034379386671
36,0.06335322155334454,0.07607043416419401,0.0846158073541837,0.10736499019488596,0.09469419733191256,0.12694699572138132
37,0.05642402642600549,0.06709905415891626,0.05024997885153446,0.14579547059685485,0.09302897624665468,0.11007918155337391
38,0.06848734468803741,0.05924971627177911,0.055311174889009905,0.09471139054478368,0.11317758859968308,0.08908454137902784
39,0.101135242324987,0.0828402557026493,0.05511362091711333,0.11115638542961435,0.1141552543031139,0.08450569709342139
40,0.0984551105517312,0.0565281992040885,0.06542840774551617,0.12486385425076792,0.10898010703662445,0.07939952754441038
41,0.07162198576455314,0.05412019247010262,0.07070013628275221,0.10057095737947212,0.11115709715218472,0.07215257882574709
42,0.05626290128748224,0.061655348369580074,0.08543805410092893,0.11147536424424984,0.06986649305997616,0.09432266689418611
43,0.058545554893013704,0.06441031491333434,0.0987206287612169,0.06966766879559146,0.11694568236271152,0.12815979139101247
44,0.07816698791611998,0.04831008906999427,0.08145444312633213,0.1014882749382463,0.10340431328507954,0.10861842024951328
45,0.08751922752890096,0.05401571144147965,0.07351181088506564,0.07948745511991243,0.0972265650646424,0.10955969413043933
46,0.10085463142395248,0.05298438500989612,0.0576092378469184,0.0763506452418369,0.12132460025524922,0.06784472337070233
47,0.06064984805107088,0.03650958310754504,0.05403688290001203,0.06311646383151778,0.09580353098692072,0.10148856306295784
48,0.05103907352745676,0.07108305339740278,0.08115664563431185,0.07735539650452015,0.07301212208482563,0.0687492273964987
49,0.06907748366799638,0.06073916674826893,0.06327387096825987,0.08652455583214759,0.08032657507207058,0.06841517311886491
50,0.07834246567268993,0.061974181253925266,0.03225000480666328,0.08678708003343283,0.07066271490657527,0.04336454708475988
51,0.10557618781353996,0.07505481512121417,0.05545613602993802,0.07129614998744468,0.09442683120740934,0.09530974419061142
52,0.08345277617028092,0.05470955673252534,0.07007206624770976,0.0695572789482304,0.07611704116981641,0.06720537590308595
53,0.08653648461297374,0.06970052903702975,0.0648907846863438,0.07647198704131977,0.11544488288756624,0.04843388246493608
54,0.0656640270482218,0.06151757449397872,0.047658016919775045,0.06803660400182708,0.0690068793737737,0.08749236378763967
