step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_rms_ema_step
43,9.616062136842146e-07,9.666577526783928e-07,1.0481658410150423e-06,9.648480839133318e-07,9.512922102640129e-07,9.46028757251695e-07
44,9.611514919231258e-07,9.64217598039063e-07,1.0525610063917367e-06,9.721979646106735e-07,9.551100212134265e-07,9.475819973068311e-07
45,9.618620044026772e-07,9.665668663057032e-07,1.0528570392097351e-06,9.733969047280569e-07,9.611091123988727e-07,9.478594862779091e-07
46,9.602489665573232e-07,9.659734587497506e-07,1.0563293126993142e-06,9.793468694962918e-07,9.651555271524973e-07,9.503066723037843e-07
47,9.606946941652578e-07,9.695919116386571e-07,1.0626358987258691e-06,9.865016889885154e-07,9.717989464349827e-07,9.593987626250682e-07
48,9.615999300744108e-07,9.715262125711473e-07,1.066691065408579e-06,9.950158782102323e-07,9.780946173190433e-07,9.638365632868178e-07
49,9.611954733412446e-07,9.73388657949474e-07,1.0648511158646294e-06,9.960048788681753e-07,9.78936810139278e-07,9.659940770503806e-07
50,9.641915063696974e-07,9.713337030656657e-07,1.0681692538987292e-06,1.0012660164518089e-06,9.785397114896926e-07,9.651482439281845e-07
51,9.672863747115288e-07,9.730324380984743e-07,1.0717401011449698e-06,1.0045196040104056e-06,9.751904548619582e-07,9.671550125618644e-07
52,9.67406842865029e-07,9.728684576948752e-07,1.0745872651206172e-06,1.0098200840583774e-06,9.76681392256866e-07,9.70126356446239e-07
53,9.661242214509117e-07,9.721530096210612e-07,1.0865831628864342e-06,1.0137443727316412e-06,9.768072454504583e-07,9.712365543624293e-07
54,9.657837887568508e-07,9.718408014307445e-07,1.081481049858178e-06,1.0164566979058417e-06,9.767651980045885e-07,9.698785395387682e-07
55,9.651192351476528e-07,9.709595546067023e-07,1.0858202226032343e-06,1.0193637466999706e-06,9.809355852593304e-07,9.728994025577983e-07
56,9.660196424314314e-07,9.707624906573058e-07,1.0813044534140639e-06,1.02274291640658e-06,9.828054771974269e-07,9.723755670905762e-07
57,9.649706981853868e-07,9.667063067841382e-07,1.0856994634602363e-06,1.0204843054993328e-06,9.803470777776255e-07,9.770161485947936e-07
58,9.696803164736212e-07,9.698905336269868e-07,1.0852383935414436e-06,1.0201520751149213e-06,9.80069856820248e-07,9.74362703937827e-07
59,9.680149917154745e-07,9.693734281017644e-07,1.0853402914393443e-06,1.0215733871972907e-06,9.803489365387754e-07,9.740330503226509e-07
60,9.65360690835898e-07,9.729824503197424e-07,1.0812728527167264e-06,1.0216201230568064e-06,9.822261213757403e-07,9.721497473113466e-07
