step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_rms_ema_step
161,9.013792681262836e-07,9.33728556404076e-07,1.0498462927395088e-06,9.517926359078744e-07,9.389308508524022e-07,9.69960400470718e-07
162,9.026007609341899e-07,9.373256414785652e-07,1.047389623307881e-06,9.531947208405659e-07,9.384865097650175e-07,9.68816315933723e-07
163,9.002448306036681e-07,9.382720184780083e-07,1.048096119665864e-06,9.517674730537347e-07,9.36970408207968e-07,9.686326370937122e-07
164,8.993787009872893e-07,9.379215566281818e-07,1.0475907510005528e-06,9.522708342260239e-07,9.326283493252107e-07,9.676146535278165e-07
165,9.017792062728464e-07,9.388806665364096e-07,1.0482873274001988e-06,9.544660754645118e-07,9.307433487075119e-07,9.673018295449884e-07
166,9.026863947746932e-07,9.395115798914556e-07,1.0464646001812242e-06,9.528149805912752e-07,9.290413213343981e-07,9.651438371638193e-07
167,9.012732824231216e-07,9.410749792685433e-07,1.0488051195357569e-06,9.574953465278358e-07,9.352778144464557e-07,9.654028728085856e-07
168,8.968367444143167e-07,9.432357642539688e-07,1.0475834416356808e-06,9.582223648718383e-07,9.324096105974675e-07,9.683092600701579e-07
169,8.974367783003421e-07,9.456262674004381e-07,1.0469912264955272e-06,9.572100641454756e-07,9.345853476312608e-07,9.68742111011579e-07
170,8.953474757837511e-07,9.47742765158794e-07,1.0448803721284245e-06,9.555392145333885e-07,9.32119936410908e-07,9.675948939923883e-07
171,8.972080005866441e-07,9.507637114022412e-07,1.0434575815366064e-06,9.555800881711765e-07,9.290657613540728e-07,9.659623505495206e-07
172,8.994129343305466e-07,9.553750880837214e-07,1.03876255355586e-06,9.539811860814901e-07,9.292380470640408e-07,9.647983656413356e-07
173,8.987021715825332e-07,9.600983825415859e-07,1.0388200072211958e-06,9.5424704002685e-07,9.256048260002003e-07,9.639453402079088e-07
174,8.976986009839202e-07,9.638362611821385e-07,1.034704984093238e-06,9.565801787119536e-07,9.236694043220628e-07,9.661520792263957e-07
175,8.945541295963197e-07,9.636192923059454e-07,1.0317758801527234e-06,9.551873671326447e-07,9.188382629369948e-07,9.651370529910531e-07
176,8.899316493000233e-07,9.626079915128249e-07,1.0316217470217336e-06,9.526283224534486e-07,9.161723433738167e-07,9.64546886934614e-07
177,8.908843233127486e-07,9.659886608210287e-07,1.0363922853805755e-06,9.547945301396292e-07,9.125236816035905e-07,9.65583792553799e-07
178,8.897533506677849e-07,9.673330479940442e-07,1.0354403679024849e-06,9.542728737611248e-07,9.126770529056827e-07,9.621747846010157e-07
179,8.910730242695391e-07,9.68516082708541e-07,1.038802386471278e-06,9.530473061426997e-07,9.146606728029816e-07,9.619651948476136e-07
180,8.939818518109721e-07,9.676122025051834e-07,1.042233168397873e-06,9.553356860465106e-07,9.120555055864865e-07,9.61515434947946e-07
181,8.958739935474037e-07,9.705312735653044e-07,1.041328876043035e-06,9.536367460179618e-07,9.131414250576412e-07,9.605449459374531e-07
182,8.938176735022766e-07,9.71004351786577e-07,1.039397142443752e-06,9.555514710200665e-07,9.123892124999356e-07,9.60156405575363e-07
183,8.950278864942493e-07,9.658921240086515e-07,1.0381989814741454e-06,9.566831628856579e-07,9.09576499470174e-07,9.546640935584031e-07
184,8.925640849254502e-07,9.625653816159202e-07,1.0355049674800068e-06,9.517246570600743e-07,9.085056137153735e-07,9.50149331061092e-07
185,8.91886488035951e-07,9.627005911884473e-07,1.0326889353831353e-06,9.509463304629818e-07,9.100429407371036e-07,9.458549765296763e-07
186,8.903706794254919e-07,9.622930559436383e-07,1.0341806286699976e-06,9.490394304468484e-07,9.085819511942813e-07,9.473084809761887e-07
187,8.90483787553612e-07,9.631414684249177e-07,1.028869929103583e-06,9.482077297220767e-07,9.07485133006098e-07,9.441978944385915e-07
188,8.917708475597132e-07,9.63581501865627e-07,1.0285523179248574e-06,9.482349438946748e-07,9.053428038938044e-07,9.458442090570306e-07
189,8.908802687595718e-07,9.651833158133382e-07,1.0279375923354019e-06,9.492130882322506e-07,9.06518391049194e-07,9.459851103456856e-07
190,8.913803915458795e-07,9.603049013851103e-07,1.0259731031161883e-06,9.473064119345954e-07,9.044119857398001e-07,9.463873738581183e-07
191,8.949978542441337e-07,9.618554021162054e-07,1.027442732611608e-06,9.454622053630896e-07,9.077263304095622e-07,9.436872539165971e-07
192,8.958851046418271e-07,9.598894322790117e-07,1.0283666274247598e-06,9.462041211671975e-07,9.0772593112909e-07,9.443431473340668e-07
193,8.973920119666674e-07,9.603837249667945e-07,1.0325030893445202e-06,9.48202095243489e-07,9.083272372791343e-07,9.428620163432467e-07
194,9.020948399880669e-07,9.592187580865678e-07,1.028907125796403e-06,9.495812680089963e-07,9.073593489183663e-07,9.405317919007217e-07
195,8.993251946143919e-07,9.542191693575204e-07,1.029515251659195e-06,9.490666718788074e-07,9.042965642395934e-07,9.409657391751988e-07
196,9.011813280488982e-07,9.50999549887641e-07,1.0312982590578268e-06,9.479625200636905e-07,9.032287447721872e-07,9.41978050528236e-07
197,9.033148706645084e-07,9.481947118397873e-07,1.0297048029697199e-06,9.495740711914328e-07,9.019478992648371e-07,9.439003205600611e-07
198,9.016512120311791e-07,9.488065139682676e-07,1.029292708781669e-06,9.513657166986655e-07,9.042781233572905e-07,9.436074014317952e-07
199,9.046248205745291e-07,9.457927468767623e-07,1.0287551516702951e-06,9.548438234983861e-07,9.074498313153626e-07,9.456732356655948e-07
200,9.057306847049545e-07,9.452215063764327e-07,1.029822240986938e-06,9.546420240549643e-07,9.100332231964791e-07,9.452271596942926e-07
201,9.073148456890319e-07,9.426552426909953e-07,1.02974648394406e-06,9.553350958348375e-07,9.124630891330885e-07,9.461666700009228e-07
202,9.086622770661552e-07,9.416281278253148e-07,1.0305562285384912e-06,9.557629750326045e-07,9.153425347463544e-07,9.489964927794231e-07
203,9.081280744675319e-07,9.398274778216867e-07,1.0258569160271336e-06,9.55005287312279e-07,9.191858301740075e-07,9.494912468244583e-07
204,9.0825278306264e-07,9.357707792320072e-07,1.0287812979438681e-06,9.56945149696192e-07,9.185396087742137e-07,9.492230547906551e-07
205,9.04155181535282e-07,9.353095390756326e-07,1.0280679071486233e-06,9.53972412679947e-07,9.186562757472512e-07,9.489153287243359e-07
206,9.024137848812711e-07,9.365343419779424e-07,1.0256067147871168e-06,9.551107419390117e-07,9.181604375144047e-07,9.512709298763464e-07
207,9.032417081234058e-07,9.343232616924e-07,1.0273131595817245e-06,9.567701593010732e-07,9.171072612692908e-07,9.519429357399783e-07
208,9.033047195882808e-07,9.349998555284452e-07,1.0230219768357702e-06,9.573429805400917e-07,9.192241683489777e-07,9.533445350667923e-07
209,9.042093441627268e-07,9.319368683059159e-07,1.0255572651772845e-06,9.603859086344034e-07,9.182774793584732e-07,9.542294266867975e-07
210,9.050558633819354e-07,9.331844466291107e-07,1.0249412378710384e-06,9.617308359305838e-07,9.219653442226107e-07,9.54454766723547e-07
211,9.011125551327191e-07,9.298093682899852e-07,1.025411144349216e-06,9.613656538751098e-07,9.207503556220022e-07,9.528670784605562e-07
212,9.030127875077648e-07,9.270660668582636e-07,1.0270327869345442e-06,9.63608763707705e-07,9.203022337574651e-07,9.515076336196836e-07
213,9.030913353309971e-07,9.236833777667053e-07,1.0255577497711417e-06,9.631191911091287e-07,9.163341336798051e-07,9.514524853169428e-07
214,9.025044512553167e-07,9.218197950996524e-07,1.0202048252392074e-06,9.60280922890397e-07,9.165662993605133e-07,9.508977607109893e-07
215,9.02381886214744e-07,9.21451699902766e-07,1.021394719112515e-06,9.613468475302475e-07,9.17814413515774e-07,9.529287004552486e-07
216,8.994941047065723e-07,9.188271252289354e-07,1.023161404867151e-06,9.586432523311969e-07,9.187204645181936e-07,9.546526097747106e-07
217,8.963788066265527e-07,9.196366926782128e-07,1.0215806469047334e-06,9.576131999873216e-07,9.164151882105244e-07,9.549578416778631e-07
218,8.963303570683747e-07,9.186660997181128e-07,1.017515860501052e-06,9.56495500849252e-07,9.149317114266153e-07,9.53039787938966e-07
219,8.944777059840385e-07,9.174642091240457e-07,1.017658573232333e-06,9.541378284917904e-07,9.129549257718508e-07,9.538949081101529e-07
220,8.95987020158516e-07,9.182034904318644e-07,1.0188219383143533e-06,9.527895274346883e-07,9.101609411262384e-07,9.528063865285816e-07
221,8.907890575333636e-07,9.178935933055331e-07,1.0157025865376172e-06,9.530325384660871e-07,9.088884434937648e-07,9.503067313968992e-07
222,8.925615847464758e-07,9.203582330347052e-07,1.0132271517820153e-06,9.531566671141357e-07,9.088854441413051e-07,9.504492033371446e-07
223,8.937934361152784e-07,9.203313330572556e-07,1.0107313335155324e-06,9.531530594997337e-07,9.093490251199227e-07,9.476089178165752e-07
224,8.92084763420845e-07,9.228988520006527e-07,1.0157791008648675e-06,9.5214097858335e-07,9.088192996807951e-07,9.487223224627239e-07
225,8.908252018594147e-07,9.219363942356975e-07,1.0125365526165626e-06,9.487299810791319e-07,9.094797323321074e-07,9.46725959941936e-07
226,8.900694261295237e-07,9.234489214571823e-07,1.0084325376688464e-06,9.465867031336884e-07,9.096107813582106e-07,9.462126956340816e-07
227,8.893608503650078e-07,9.235930640674274e-07,1.0100970630578751e-06,9.468219040584262e-07,9.092905809814688e-07,9.482921005086483e-07
228,8.879144735923736e-07,9.255099397112461e-07,1.0073880476577965e-06,9.443923511871528e-07,9.083349744325079e-07,9.470552333225356e-07
229,8.848970873733289e-07,9.266779721999088e-07,1.0065257438767281e-06,9.47731718125465e-07,9.084703299611e-07,9.444845126764505e-07
230,8.829574589339625e-07,9.280033349994832e-07,1.0046796620794085e-06,9.508674976475027e-07,9.0867154572986e-07,9.402528788701479e-07
231,8.833731680028588e-07,9.283505532505491e-07,1.0045806534239852e-06,9.498283881022801e-07,9.099909590560027e-07,9.360758486246419e-07
232,8.82377795572013e-07,9.320050849489156e-07,1.001261305791746e-06,9.553014771874924e-07,9.086090249387096e-07,9.326738037891997e-07
233,8.834462679258084e-07,9.356545134466909e-07,1.002692799590049e-06,9.564916833994663e-07,9.080217016008518e-07,9.323073893049384e-07
234,8.816461175966404e-07,9.371591944364768e-07,1.0044865848378589e-06,9.54861089134821e-07,9.127112917116889e-07,9.316525556250166e-07
235,8.799794149141996e-07,9.374879633306531e-07,1.00379757688091e-06,9.582443079593498e-07,9.122538339360522e-07,9.325229063535515e-07
236,8.818584968718029e-07,9.406171430416765e-07,1.0048542521218753e-06,9.609301962450708e-07,9.075369462047815e-07,9.312938542897468e-07
237,8.796404510809117e-07,9.427897856015468e-07,1.004598921789501e-06,9.608820981828965e-07,9.050360455017136e-07,9.288238632835944e-07
238,8.803832441000855e-07,9.480319860970978e-07,1.0098212331220046e-06,9.65264666840181e-07,9.092134932926477e-07,9.301722806437335e-07
239,8.791700555172061e-07,9.514928824128546e-07,1.0067801119646096e-06,9.627412243507641e-07,9.076988146234963e-07,9.301148116792539e-07
240,8.779644035052115e-07,9.497902819493758e-07,1.0061767274042145e-06,9.65029369337514e-07,9.104725527749464e-07,9.2990433176465e-07
241,8.791860657525845e-07,9.543032496229463e-07,1.007358706937221e-06,9.673186370543435e-07,9.098141971028317e-07,9.27001615336181e-07
242,8.79253707944094e-07,9.569358720167598e-07,1.0048664336211079e-06,9.672221705263469e-07,9.084106687057227e-07,9.253533164984512e-07
243,8.811709588763449e-07,9.581671263521668e-07,1.0015233361625679e-06,9.69113507926432e-07,9.12089440719828e-07,9.22113436629906e-07
244,8.802743697803475e-07,9.620807115161748e-07,1.0004100040204172e-06,9.669212293982542e-07,9.142243976042147e-07,9.277775761367572e-07
245,8.802259986821086e-07,9.66838667248593e-07,9.980533540593002e-07,9.674810136154028e-07,9.125199187873625e-07,9.28510547428592e-07
246,8.799279166878987e-07,9.698150984220144e-07,9.989975993148682e-07,9.665730433890697e-07,9.11788190578252e-07,9.254150917466571e-07
247,8.783010429534613e-07,9.75614907186779e-07,9.981297273338112e-07,9.632927453635709e-07,9.120872215774453e-07,9.257277665882634e-07
248,8.784949325930373e-07,9.799838953077015e-07,9.96132272385596e-07,9.609488352014577e-07,9.091855739482572e-07,9.25112810252302e-07
249,8.777624363742677e-07,9.822823607745276e-07,9.94810367690992e-07,9.619814788084294e-07,9.135424746560106e-07,9.241256709693027e-07
250,8.775137713713711e-07,9.886354212976256e-07,9.957418648982866e-07,9.600525635538377e-07,9.107704844860531e-07,9.248837681426827e-07
251,8.759908822950123e-07,9.93715523568332e-07,1.0007472523210637e-06,9.56207554920001e-07,9.12239966926531e-07,9.244466790328056e-07
252,8.754578229320916e-07,9.996436790101164e-07,9.97076077439202e-07,9.53617273615284e-07,9.10341477130372e-07,9.243388608805212e-07
253,8.721319168287504e-07,1.0087625210607882e-06,9.980231822367646e-07,9.505094261654391e-07,9.115830016464419e-07,9.25392327434802e-07
254,8.734671013182458e-07,1.0138062604197637e-06,9.996425001413414e-07,9.483028307889336e-07,9.100059284624984e-07,9.266550793537172e-07
255,8.742404872656486e-07,1.0221077294254417e-06,1.000997930489743e-06,9.437330587063467e-07,9.104882260899911e-07,9.278189321863896e-07
256,8.760249021441323e-07,1.0313085608192243e-06,1.000056073880941e-06,9.418905322407677e-07,9.094407023462663e-07,9.262292460223132e-07
257,8.741662996353965e-07,1.0431380221612546e-06,1.000668827759519e-06,9.401479835290892e-07,9.11261228921751e-07,9.266812369528112e-07
258,8.749121767915262e-07,1.0571933752051912e-06,1.0007238681005297e-06,9.398678374562234e-07,9.113470711852279e-07,9.250871121135313e-07
259,8.748443331267935e-07,1.063140415373416e-06,1.001242576832782e-06,9.375659789162365e-07,9.083491839851274e-07,9.261902403244108e-07
260,8.75686362763934e-07,1.0766282705802024e-06,1.0013426691616515e-06,9.386080233535659e-07,9.076308633667668e-07,9.254619908705905e-07
261,8.738273499914523e-07,1.0915419471358974e-06,1.00199168449232e-06,9.369861841482445e-07,9.081587325805252e-07,9.287034672208923e-07
262,8.718726957662136e-07,1.1129158048899749e-06,1.001104765056909e-06,9.376472613264496e-07,9.10448824983935e-07,9.311202714790838e-07
263,8.722939985784511e-07,1.1249870094359696e-06,9.979494936912442e-07,9.394612684622451e-07,9.100050215761502e-07,9.302789977634411e-07
264,8.727681348475447e-07,1.1403156821797478e-06,9.993396096087585e-07,9.414099836687492e-07,9.101575552054519e-07,9.316555164345876e-07
265,8.713768941616355e-07,1.151163438581513e-06,9.956543841480791e-07,9.416179601802319e-07,9.069404096594983e-07,9.287158721572426e-07
266,8.710281286610033e-07,1.1643484006416006e-06,9.925046745149008e-07,9.429401343542672e-07,9.017405487860688e-07,9.305212510995924e-07
267,8.735837668557925e-07,1.1805566765513189e-06,9.911761800179077e-07,9.464109836596243e-07,8.974711898229147e-07,9.298471995963586e-07
268,8.755536140896093e-07,1.1938945308112934e-06,9.87402019834922e-07,9.48645015016792e-07,8.939576813541515e-07,9.316398756147864e-07
269,8.731555586349457e-07,1.2096582096583455e-06,9.911580770045039e-07,9.491414095075359e-07,8.933772668645358e-07,9.383731376290148e-07
270,8.757497561778221e-07,1.226765329100398e-06,9.925533975034462e-07,9.536006528042543e-07,8.933496072318664e-07,9.419026565659812e-07
271,8.790300443820179e-07,1.2472567735161729e-06,9.89905940814097e-07,9.560523326750083e-07,8.92776393964117e-07,9.386810185580836e-07
272,8.792711532398041e-07,1.2614596819476089e-06,9.8759101858218e-07,9.55205704484124e-07,8.892378757690466e-07,9.378427645387392e-07
273,8.76265765172789e-07,1.2755294453120979e-06,9.859191910659993e-07,9.551138892986385e-07,8.867936504238413e-07,9.424233793495915e-07
274,8.766496787167994e-07,1.2812218239289698e-06,9.858527246323692e-07,9.54716882045196e-07,8.864189066414166e-07,9.425135280296516e-07
275,8.757783596086907e-07,1.2909376573631312e-06,9.846625135037016e-07,9.560317072054101e-07,8.884970927730222e-07,9.446838010558415e-07
276,8.745348678620844e-07,1.3049013792265201e-06,9.795001163504437e-07,9.560178773627118e-07,8.867261062463104e-07,9.437846296314127e-07
277,8.740380636623927e-07,1.3161925744442774e-06,9.7550415835731e-07,9.586053556244696e-07,8.890530169852468e-07,9.422119183159747e-07
278,8.732501544797967e-07,1.3302369690608165e-06,9.714836890879442e-07,9.634820722674237e-07,8.91036385855818e-07,9.450470641867086e-07
279,8.721346228254372e-07,1.337497318089461e-06,9.692909811974641e-07,9.651373869507671e-07,8.920175196053502e-07,9.474290680095386e-07
280,8.732118926947317e-07,1.3431435833463487e-06,9.72239869262715e-07,9.662217921739975e-07,8.916933873776035e-07,9.477218726853584e-07
281,8.736834659574702e-07,1.3442325451910453e-06,9.747842803757278e-07,9.6619887857179e-07,8.91962327630439e-07,9.472096063907507e-07
282,8.719138243014057e-07,1.3386519036375646e-06,9.75225321304447e-07,9.719961603933039e-07,8.893012083638434e-07,9.500864859691115e-07
283,8.725091622688524e-07,1.340767467142334e-06,9.75011532447114e-07,9.754307678979514e-07,8.886748296611951e-07,9.466488324399183e-07
284,8.737483882401314e-07,1.331568837059161e-06,9.721051883264162e-07,9.825497405865076e-07,8.873430629796656e-07,9.458623864509635e-07
285,8.696479720748429e-07,1.3251450454272666e-06,9.69315495412253e-07,9.84239333435886e-07,8.851785057503766e-07,9.466848350483463e-07
286,8.720683147491168e-07,1.3213765685207947e-06,9.635661770550684e-07,9.848773411534302e-07,8.83085414220541e-07,9.455454433858407e-07
287,8.749963832654332e-07,1.31527811115924e-06,9.641794882975819e-07,9.874105335070812e-07,8.806156089735604e-07,9.482477598519275e-07
288,8.72742474366818e-07,1.311230590130054e-06,9.638918196629916e-07,9.876340009002795e-07,8.787612621892118e-07,9.493455508729072e-07
289,8.725902313767596e-07,1.3120033813380271e-06,9.637253562765762e-07,9.915119154045765e-07,8.764265001480025e-07,9.493712643604e-07
290,8.705504362545976e-07,1.3107101753046106e-06,9.60390937486287e-07,9.96500742587537e-07,8.743329286709071e-07,9.498662041479292e-07
291,8.713500933979661e-07,1.311122457422684e-06,9.622578878278497e-07,1.0028635667413645e-06,8.766268859063298e-07,9.493784290281686e-07
292,8.681965789026202e-07,1.3092837887913161e-06,9.626846543292988e-07,1.0058926856618449e-06,8.769195116943148e-07,9.511698309521504e-07
293,8.637250402180709e-07,1.306407165778164e-06,9.563819416686735e-07,1.0078964030724314e-06,8.793987018087074e-07,9.51381267126036e-07
294,8.668785099569184e-07,1.304699027679165e-06,9.589601399767082e-07,1.0120369124847708e-06,8.785653808811426e-07,9.47652622089109e-07
295,8.640894346043669e-07,1.304370537638571e-06,9.590468498599958e-07,1.013184525171783e-06,8.796179945020217e-07,9.480997530396788e-07
296,8.646129673682642e-07,1.3001127160066787e-06,9.565161717649366e-07,1.0172230687539423e-06,8.811682776996885e-07,9.515659625047048e-07
297,8.650507997627394e-07,1.298058160722347e-06,9.568687204605093e-07,1.0178121128303264e-06,8.819530261246594e-07,9.517930688921911e-07
298,8.659601388682082e-07,1.2891271531755522e-06,9.55172509418642e-07,1.0183596246834789e-06,8.821834934829843e-07,9.521365021297555e-07
299,8.660593930110287e-07,1.285454606193641e-06,9.551232099172784e-07,1.021529298609014e-06,8.814707690792506e-07,9.56841067673274e-07
300,8.688319749715855e-07,1.2821573144576008e-06,9.548468545052057e-07,1.029647497808873e-06,8.813736410686985e-07,9.570664473540897e-07
