step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_norm_A2_sq_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_norm_A2_sq_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_norm_A2_sq_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_norm_A2_sq_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_norm_A2_sq_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_norm_A2_sq_step
1,0.002131189189908046,0.0021293456493749465,0.002076553079941914,0.0019624975686555364,0.0019106350419290624,0.002019918469251365
2,0.0019916259903463595,0.0016050814962064923,0.001699947787152965,0.0020682191507103275,0.001678035370138506,0.0014687268021330172
3,0.001889840795753434,0.0015018274433096317,0.0014829948264704026,0.001832924501564444,0.0019006004640370155,0.0014862886624989746
4,0.0019021586070931144,0.0017244332848066473,0.001425705028877098,0.0019172441628690577,0.001711245501812558,0.0016514972921376947
5,0.0015475029707105968,0.0019702271347707724,0.0019134560950578331,0.0017709729318767322,0.0015851733225123155,0.0019382040458861677
6,0.0018585237325613767,0.0018217643237427503,0.0019061118004052929,0.00197010654659951,0.0015818054067159935,0.001918483452296468
7,0.002088580739605694,0.001994682179902437,0.0021437571444255328,0.0017840637308225737,0.0016687767588036571,0.001791850932455281
8,0.0024689126174055453,0.0023602774724560543,0.002809727627204029,0.0016499507850328305,0.002039748430128875,0.0021091870746290744
9,0.002590820637295265,0.0027466239320443585,0.004059962150987623,0.00178855315140659,0.0018711877338872251,0.0021904288397458305
10,0.0031715466939597047,0.003092022480187832,0.003609407116522054,0.0019018918467219028,0.001658646677500215,0.002035304023948682
11,0.0038068839305019663,0.003912083783905844,0.0033377589171931874,0.0021699972709908182,0.0018505045138738129,0.0018397671660326713
12,0.0038410701233418335,0.0037736391204492023,0.00435733668170063,0.0021340430312511076,0.0020914381733600808,0.0019070010871853776
13,0.004212356458205036,0.004575902494356605,0.003310767467306422,0.0017428863139890764,0.0021012675023725615,0.0018696399523151
14,0.005009221561664874,0.004586878457974454,0.004022256880759109,0.002335097019934238,0.002317258371729514,0.001923367216139697
15,0.004343218594176217,0.004644008428497289,0.004291323636224298,0.0021492496282807493,0.0018891932863873912,0.002020301840009699
16,0.0033799169638829905,0.004958644834221661,0.005046604091218065,0.0029137349637783096,0.0022312346349715115,0.0021771652519828447
17,0.005486003167150708,0.0049152817131448735,0.0054039633670893246,0.0029949039234305895,0.0029157311156644554,0.002605298322466806
18,0.004577229546126608,0.004081946631656251,0.005429676049626613,0.0026119845276680116,0.002225567704079328,0.0027706818680191584
19,0.004224920355822111,0.00385990881960713,0.003960159029617425,0.0025699276432396365,0.0030334916493315526,0.002783945561715434
20,0.003984611628640011,0.003907289970646872,0.00394109676533332,0.003051451745582296,0.0030582469847926365,0.002796224357713904
21,0.003713164587740588,0.00355531979981182,0.003753858883530108,0.003051492979066444,0.0032186885331458776,0.0032303374195497064
22,0.0031944342242879874,0.003402259525485809,0.004691409258320799,0.0032951585586040275,0.0032990391825045567,0.00351951477533449
