step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/grad_norm_pre_clip_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/grad_norm_pre_clip_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/grad_norm_pre_clip_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/grad_norm_pre_clip_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/grad_norm_pre_clip_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/grad_norm_pre_clip_step
1,0.03166906535625458,0.03061513788998127,0.03133206441998482,0.03253328427672386,0.03194381296634674,0.03129684925079346
2,0.03221169486641884,0.02974088117480278,0.030745938420295715,0.030388984829187393,0.02875404991209507,0.02981873974204063
3,0.0313703827559948,0.02772517502307892,0.02884713187813759,0.029337316751480103,0.030227692797780037,0.0283840112388134
4,0.03141481801867485,0.030129970982670784,0.027941888198256493,0.029579397290945053,0.030944203957915303,0.029389875009655952
5,0.03100123070180416,0.03208884596824646,0.032539837062358856,0.031147461384534836,0.030575497075915337,0.03100568614900112
6,0.03352443128824234,0.029249662533402443,0.03129873052239418,0.030320337042212486,0.029252605512738228,0.031379543244838715
7,0.032420072704553604,0.032765235751867294,0.03301852196455002,0.032518744468688965,0.030596403405070305,0.028549179434776303
8,0.03624365106225014,0.03424932435154915,0.03857475146651268,0.02937238477170467,0.029911380261182785,0.033690594136714935
9,0.036243416368961334,0.03855569660663605,0.04358319193124771,0.03225337341427803,0.0319354310631752,0.03393023461103439
10,0.04068246856331825,0.03956186398863792,0.04291587322950363,0.031031038612127304,0.03001523949205875,0.03254862502217293
11,0.04391390457749367,0.04521229490637779,0.04030609130859375,0.032121527940034866,0.03074738010764122,0.029595453292131424
12,0.045390743762254715,0.044073302298784256,0.046930622309446335,0.030690394341945648,0.03220418468117714,0.030850427225232124
13,0.04556746780872345,0.046393267810344696,0.0428030751645565,0.032364968210458755,0.032909054309129715,0.03214915469288826
14,0.0473656989634037,0.04839565604925155,0.04418206959962845,0.032904431223869324,0.031887467950582504,0.03294884413480759
15,0.04508936032652855,0.04562736302614212,0.04876392334699631,0.032280318439006805,0.03193609043955803,0.03302615508437157
16,0.04734698310494423,0.04822215065360069,0.051745738834142685,0.03825298324227333,0.03374650329351425,0.03509186953306198
17,0.0487118624150753,0.05065341293811798,0.05124453082680702,0.03776366263628006,0.03894493728876114,0.03751850500702858
18,0.04554229229688645,0.04456081986427307,0.05419303849339485,0.036878857761621475,0.03314020857214928,0.03813266381621361
19,0.04287371784448624,0.04387225583195686,0.046932633966207504,0.036500874906778336,0.03857491910457611,0.03670006990432739
20,0.04326022043824196,0.042243119329214096,0.04506401717662811,0.03947923332452774,0.03797651082277298,0.038550592958927155
21,0.047580786049366,0.040076132863759995,0.04383792355656624,0.037250351160764694,0.03884604945778847,0.04047531262040138
22,0.042886193841695786,0.04232175648212433,0.047486480325460434,0.03982372209429741,0.04029569402337074,0.041253648698329926
23,0.04322095587849617,0.04216921329498291,0.049104589968919754,0.04065011069178581,0.03940924257040024,0.0406280905008316
24,0.04374976456165314,0.045516010373830795,0.051282595843076706,0.040044136345386505,0.04139905795454979,0.04254318028688431
25,0.043607354164123535,0.04029559716582298,0.048716939985752106,0.04333334416151047,0.04264373332262039,0.04089935123920441
26,0.0389055572450161,0.04302162304520607,0.04626292362809181,0.04236116632819176,0.04331354051828384,0.04137370362877846
27,0.04172822833061218,0.04590896517038345,0.046218883246183395,0.04248714819550514,0.04119361937046051,0.04145935922861099
28,0.044258393347263336,0.0394209586083889,0.04368770122528076,0.04396110773086548,0.043935853987932205,0.044952575117349625
29,0.0434706024825573,0.04306325316429138,0.04523345082998276,0.043649133294820786,0.042102985084056854,0.043627191334962845
30,0.042026322335004807,0.045833904296159744,0.047150079160928726,0.04154225438833237,0.0426749512553215,0.04164933040738106
31,0.043669868260622025,0.04059942811727524,0.04136773571372032,0.04572971165180206,0.041801758110523224,0.042889971286058426
32,0.04198870062828064,0.041439998894929886,0.04299399256706238,0.046552348881959915,0.045198891311883926,0.04042406007647514
33,0.04026877507567406,0.04193267226219177,0.04724384844303131,0.0437101274728775,0.04128652438521385,0.04357615485787392
34,0.04289355129003525,0.0481698252260685,0.045581962913274765,0.04524771124124527,0.04508743807673454,0.04197871685028076
35,0.04074086248874664,0.03932090476155281,0.04971250891685486,0.04245589300990105,0.04322966188192368,0.04113185405731201
36,0.0447063110768795,0.04221833497285843,0.04494791477918625,0.04442247748374939,0.043959084898233414,0.04347667098045349
37,0.037892818450927734,0.04032905027270317,0.04404948651790619,0.0428725890815258,0.04393985867500305,0.04660413786768913
38,0.038871243596076965,0.04340098798274994,0.049415525048971176,0.04522855579853058,0.04703114926815033,0.0454895980656147
39,0.042581189423799515,0.04255162551999092,0.04762193560600281,0.04474986717104912,0.04461628571152687,0.044238656759262085
40,0.0410185307264328,0.04266929253935814,0.04405530169606209,0.04603378474712372,0.04633389413356781,0.043768614530563354
41,0.03983118757605553,0.04165031015872955,0.04362611472606659,0.045550182461738586,0.044334255158901215,0.04377304762601853
42,0.03973059356212616,0.040624283254146576,0.05042913556098938,0.04438711330294609,0.04524492099881172,0.04359285533428192
43,0.0429801419377327,0.04195580258965492,0.05065170302987099,0.04642700031399727,0.040921371430158615,0.043229714035987854
44,0.0401536300778389,0.038692642003297806,0.047891587018966675,0.046870436519384384,0.04332105815410614,0.04118989035487175
45,0.04111688211560249,0.042627789080142975,0.04462084546685219,0.04199434816837311,0.045321058481931686,0.040179766714572906
46,0.039187826216220856,0.040245819836854935,0.04731124639511109,0.046050529927015305,0.0439276285469532,0.0420207604765892
47,0.04085559397935867,0.04377187043428421,0.04984726011753082,0.047317180782556534,0.04628777131438255,0.047726310789585114
48,0.04126179963350296,0.042504481971263885,0.04821492359042168,0.04876489192247391,0.046274635940790176,0.04418551176786423
49,0.04019574448466301,0.04252544045448303,0.04341563582420349,0.04277924820780754,0.04194214567542076,0.04245005548000336
50,0.043045684695243835,0.039301153272390366,0.04768691211938858,0.04642282798886299,0.0409327931702137,0.04000885412096977
51,0.043255310505628586,0.04237929731607437,0.04803984984755516,0.04495202377438545,0.03842705860733986,0.0423782542347908
52,0.04087803140282631,0.04088043794035912,0.04758023843169212,0.0468149408698082,0.04236668720841408,0.043276093900203705
53,0.03970014676451683,0.040408577769994736,0.05541365221142769,0.045878101140260696,0.041278623044490814,0.041832201182842255
54,0.040440451353788376,0.04071839153766632,0.04150383546948433,0.04502171277999878,0.04114236682653427,0.03979802876710892
55,0.04015282541513443,0.04022546857595444,0.049248795956373215,0.04530022665858269,0.04469214007258415,0.04343265667557717
56,0.04144424572587013,0.04076515883207321,0.0419660247862339,0.045820821076631546,0.04292837902903557,0.040571428835392
57,0.03983868658542633,0.0375031903386116,0.04928843304514885,0.041210003197193146,0.039357975125312805,0.04490352049469948
58,0.04464957118034363,0.04343666136264801,0.04537949338555336,0.04273894056677818,0.04109331592917442,0.03894947841763496
59,0.03947332501411438,0.040450263768434525,0.045834701508283615,0.044203367084264755,0.0415506511926651,0.04079683497548103
60,0.03856930509209633,0.04390724748373032,0.04232378676533699,0.04310436174273491,0.04290979728102684,0.0394730381667614
61,0.04198562353849411,0.04178395867347717,0.04513289034366608,0.04356247931718826,0.03904743492603302,0.04065105319023132
62,0.04216068238019943,0.04387117177248001,0.04601121693849563,0.045068662613630295,0.0420093759894371,0.04105418920516968
63,0.04075578972697258,0.04178505018353462,0.045167140662670135,0.04230803996324539,0.0417395681142807,0.04075279459357262
64,0.04034220054745674,0.03886693716049194,0.04772680997848511,0.04178542271256447,0.0398360975086689,0.04104764759540558
65,0.0404246598482132,0.04039422422647476,0.04471348971128464,0.04429729282855987,0.04050938040018082,0.041121091693639755
66,0.04166235029697418,0.0394415557384491,0.04686211794614792,0.042263828217983246,0.041925229132175446,0.03883397579193115
67,0.04458806663751602,0.04019039869308472,0.04481525719165802,0.04521538689732552,0.040708206593990326,0.04024694114923477
68,0.04093833267688751,0.03971173986792565,0.04579336568713188,0.04211315140128136,0.040467437356710434,0.04088246822357178
69,0.0379711352288723,0.03855327516794205,0.04442250728607178,0.03996894136071205,0.040087152272462845,0.04071398451924324
70,0.042832862585783005,0.037049800157547,0.042772822082042694,0.04432341456413269,0.03977692499756813,0.03982699289917946
71,0.04397771880030632,0.03948797285556793,0.04253826662898064,0.04357808083295822,0.04019222408533096,0.04030831530690193
72,0.03992602229118347,0.04113565757870674,0.04529890418052673,0.04302102699875832,0.04031691327691078,0.04374329745769501
73,0.040947798639535904,0.04007495939731598,0.04783153906464577,0.040629636496305466,0.04218845069408417,0.0440247543156147
74,0.04297855123877525,0.03921398147940636,0.04513518512248993,0.044059962034225464,0.039837464690208435,0.04173604398965835
75,0.04060004651546478,0.041667696088552475,0.045362941920757294,0.04219714552164078,0.044863615185022354,0.04366116225719452
76,0.040712542831897736,0.040989842265844345,0.04774652421474457,0.04324793443083763,0.04142183810472488,0.04281733185052872
77,0.03714395314455032,0.03949850425124168,0.04666615277528763,0.03962169587612152,0.03869231045246124,0.039734337478876114
78,0.04106741026043892,0.03979939594864845,0.04241309314966202,0.04161198809742928,0.04007870703935623,0.03761068359017372
79,0.04465103521943092,0.04001835361123085,0.046091869473457336,0.04580128565430641,0.044941339641809464,0.03961032256484032
80,0.040782343596220016,0.040840424597263336,0.048090167343616486,0.04070838540792465,0.03986410051584244,0.04312863573431969
81,0.040527015924453735,0.04249019920825958,0.053575657308101654,0.04078369587659836,0.04261944815516472,0.044741079211235046
82,0.0366053581237793,0.040199268609285355,0.049424558877944946,0.04211805388331413,0.03916895017027855,0.0422869585454464
83,0.04334472492337227,0.042048320174217224,0.04552912339568138,0.04226430505514145,0.04106475040316582,0.04374862089753151
84,0.043054744601249695,0.03776831179857254,0.04596659168601036,0.044129565358161926,0.0380362942814827,0.041655682027339935
85,0.03921358287334442,0.04022001847624779,0.042370814830064774,0.04278403893113136,0.040326960384845734,0.03879395127296448
86,0.04205667972564697,0.03762112185359001,0.04655828699469566,0.04302351176738739,0.040617574006319046,0.04187532141804695
87,0.03787155821919441,0.03822552040219307,0.043508365750312805,0.04374290630221367,0.03828269243240357,0.04115196689963341
88,0.04244077205657959,0.04062319174408913,0.04617375135421753,0.04227425158023834,0.04326014220714569,0.043026141822338104
89,0.04000682011246681,0.039493121206760406,0.04462449625134468,0.04021529853343963,0.04113125428557396,0.04075849801301956
90,0.04047660902142525,0.03717960417270661,0.04539007321000099,0.04189794510602951,0.03969736024737358,0.04021748900413513
91,0.04208976775407791,0.03721251338720322,0.04776057228446007,0.0429854691028595,0.03930888697504997,0.040027305483818054
92,0.04330889880657196,0.040217481553554535,0.04124544560909271,0.03983744606375694,0.04197143763303757,0.03739667683839798
93,0.042318254709243774,0.0387805812060833,0.047023504972457886,0.03914416953921318,0.03945944458246231,0.041768334805965424
94,0.042940422892570496,0.04113288223743439,0.04014445096254349,0.042157113552093506,0.041301093995571136,0.04041805118322373
95,0.03856802731752395,0.04164024814963341,0.04856641963124275,0.03907206654548645,0.03989226371049881,0.045635707676410675
96,0.03981564939022064,0.04087508842349053,0.0473000630736351,0.04001373425126076,0.03707435354590416,0.04164030402898789
97,0.039610352367162704,0.04140826687216759,0.04663766548037529,0.04033610597252846,0.04394932836294174,0.04025594890117645
98,0.041023045778274536,0.041330453008413315,0.04892105236649513,0.043833717703819275,0.045487385243177414,0.043447453528642654
