step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_norm_A1_sq_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_norm_A1_sq_step
1,0.0018026736023679525,0.0015978782560707263,0.001719752680678741,0.001943994068528638,0.0018895214142479228,0.00168720175915843
2,0.0020444634543126494,0.0018318502252210656,0.00178599716007269,0.0016143360138431723,0.0014400278430421092,0.001931777187892407
3,0.0018663667860575703,0.0015389016700202436,0.0017916231879570956,0.0016182961567190934,0.0015290746870293688,0.001749112446671014
4,0.001941480314590554,0.0018528911681457152,0.0016083824743134438,0.0014296328354504748,0.0020261462417609597,0.001853851779627837
5,0.002173586584768954,0.0020688455655131356,0.0022314193487461445,0.001852524501831584,0.0019745331324575463,0.0019407514905664491
6,0.002376162392541723,0.0016535813691662485,0.0019401709468023587,0.001638029566178047,0.0017719585540947062,0.0017377965444105852
7,0.0020134039503776,0.0020240226008600218,0.001960745149515242,0.0021548172346005133,0.002075711564758315,0.0016720660975189205
8,0.0027234550234168237,0.0023631488174299387,0.002772692470099362,0.001733704311520801,0.0015251562069102712,0.002060706400794258
9,0.00274718862085994,0.0028477556869280648,0.003590881648180583,0.002060536354166483,0.0019268441218168912,0.0024043122549375208
10,0.0034738808213629034,0.0033028002379759985,0.0034975923210417243,0.00180282408798158,0.0017969773073947064,0.0021863082572838024
11,0.003912074709611893,0.003977410706845863,0.00301761021709939,0.0018175949280975425,0.0018800727163744832,0.001603085909418079
12,0.004783521136057309,0.003977533101767981,0.004010831092183656,0.001634836591989716,0.0018927336579544667,0.0018275766886539605
13,0.003991378431085017,0.004030849822847127,0.003891593827760725,0.002343976083117167,0.002091392475899179,0.0019902422271202637
14,0.003972491405047629,0.004200713831447279,0.003600795099897792,0.0018803014564290465,0.0019124390951891905,0.0023148305377953347
15,0.003850720784405546,0.0038530280425017726,0.004935773674901107,0.001974633034889433,0.0019773210995243915,0.002376541481362471
16,0.005416041672287497,0.004067290282733281,0.005088637702042446,0.0026018888596753354,0.0023769670774361116,0.0023199361670281178
17,0.004078210226605431,0.005454788761603758,0.00528039227537419,0.002756571574844699,0.0029303757523997144,0.002910610822920735
18,0.004078396562070133,0.0039965389805934936,0.006556752164300541,0.0026886002141249376,0.0024335360341493193,0.002924222784973373
19,0.0031930974554486937,0.0036705396547026176,0.004214703644563722,0.0025809188838654303,0.0028075558642924464,0.0026542109611455687
20,0.00365832997271892,0.0034041421598681254,0.004280969058864265,0.003230283859117696,0.002809400291007052,0.002921398961215997
21,0.005140847866945478,0.0031965028877130276,0.004440387312973455,0.002718100137026289,0.002945618327889964,0.003280311649424448
22,0.004063980725888453,0.0035593823929535137,0.003921232130531003,0.003130476938052349,0.003157453415682163,0.002959036883417192
23,0.003677366158019434,0.0034311844011546224,0.0055335659866435245,0.0030445859780813397,0.003396130330758841,0.0031140851456936815
24,0.0037643170144334,0.003749092969086384,0.004357486750936418,0.0030714062748519724,0.0032094967500964737,0.0035981269707642868
25,0.004848929488500272,0.0031520174416207855,0.00470176632251736,0.003850027482341498,0.0036331904187026057,0.003527138373632488
26,0.003171664161269467,0.003876419118210644,0.004058591431012821,0.003190319747554048,0.003690893279842198,0.0032857216154337093
27,0.003755006328292971,0.0039875184117884625,0.0033446715737920664,0.004195086379282098,0.0037820051495447127,0.003367661679471131
28,0.003581425201545565,0.0030138449288504613,0.004042287241821628,0.0035025305775803054,0.0038027410179095767,0.003818125268396865
29,0.003731256181164052,0.003829721765853151,0.004396327941394958,0.004046000612612023,0.00373630429298401,0.003667275665550213
30,0.003170984022696935,0.004635257222167394,0.004200505628397676,0.00350565447151725,0.0038743741579994697,0.0034675875708047527
31,0.003746064114328142,0.003233876645018741,0.0036264273365725673,0.004292984618196948,0.003615570424488124,0.0038360145238558263
32,0.003503340282118695,0.0033504399725528414,0.003823139293387824,0.004000137580319436,0.0043447083997419185,0.003015918269742409
33,0.003481415224652374,0.003817379240537871,0.004006035400285152,0.00354402038039911,0.003318912117872084,0.003408442824171329
34,0.0033904713349485536,0.004150775126168208,0.004055114992573471,0.003996774286212585,0.0038548414660779583,0.0035878458329574275
35,0.0028859785282518043,0.00310712361801665,0.0040920137999346734,0.00402885783002288,0.003232518370412124,0.003312389403136339
36,0.003967137564215356,0.0035628011198104376,0.004184452663018145,0.00425674799201569,0.004210327533467775,0.0032536600986341375
37,0.00302589779365094,0.003439664958174393,0.0039814024306446105,0.0035568789672310113,0.0038433795910838417,0.0038938004831864446
38,0.0035974868009930536,0.0034956011764814858,0.004458463892011757,0.004139979772836313,0.004104567265854378,0.0042445351982797214
39,0.003209033773404658,0.003755764721333152,0.004218080056271861,0.004392346926470801,0.003555548328954049,0.00415497468312022
40,0.003831539788114823,0.0038836349759034383,0.004231047859358917,0.00397236528201808,0.004720449179171196,0.003981508333201851
41,0.0034172150512374656,0.00343213597741253,0.003678074884410401,0.004544710904466298,0.004175916469066926,0.004205621651339976
42,0.0030554986607868283,0.003270072879731102,0.00530851509506456,0.0036691914544701503,0.004528051422468282,0.004007317098426702
43,0.003762428830397242,0.0033843303357300584,0.004434933808663896,0.00436141381302116,0.003086645380174346,0.004086820520340536
44,0.003147497630916273,0.0030362727892652543,0.0038995974262920857,0.00386974934449225,0.003462411912383052,0.0032774853147400033
45,0.003418540253890491,0.00320981121848175,0.004177294014511465,0.003747858697198553,0.0039617698406092,0.0030775535325410887
46,0.003697559202896385,0.003192031898560715,0.004542078115518818,0.004368879043906111,0.0034726358204313565,0.0030209102337132423
47,0.003772289519188955,0.0029048344236856983,0.004666758219878087,0.004657155542695052,0.004334667482779267,0.003982354741838557
48,0.003274397285002234,0.003973958805254346,0.004548029591483247,0.004982072232180537,0.004491111780349184,0.0038013783629318705
49,0.003450830531961728,0.003943771606776493,0.003339006498678902,0.003519649321318146,0.00332207684384514,0.003790770395171047
50,0.004171944931749144,0.0034629643632463247,0.004829442071740401,0.0039249044364342385,0.003487635366726172,0.0032436024566488324
51,0.0030973067307401977,0.003470309915972001,0.004507254466714206,0.0039434124547823145,0.003095193898931189,0.00370215484902095
52,0.003734734206945236,0.003136271155290045,0.004697841653664679,0.004990480430650879,0.003276462492407378,0.00368786443814338
53,0.002825883789119766,0.003392504847397357,0.006660650969983397,0.004099813350614509,0.0034332194341373063,0.003605563771842357
54,0.003283896460660368,0.0031376496286893386,0.003583304048779351,0.004143603560036532,0.003365359349837382,0.0032335971206147464
55,0.0035439214437214383,0.00298468389123033,0.005353872095747352,0.003539446167438535,0.003882420048451333,0.0036487856083603503
56,0.003755523583689824,0.003566769153342813,0.00378837983370791,0.003758585490816648,0.003706485651950237,0.0031779876381148957
57,0.003185406095192192,0.0024519740712866224,0.004476192007268631,0.003501694657653212,0.003609901277261628,0.003918371169052728
58,0.004255860983824267,0.003666993715184475,0.0035343954774777397,0.0031866544506892976,0.003341623475740181,0.0034997346332137427
59,0.002683238210078649,0.0032933261441895566,0.003988926578468549,0.0037433323805313302,0.003747484655434273,0.0031459809598741464
60,0.0031593266110321316,0.0037181344734273656,0.004138571193729753,0.003567400890976451,0.0036620478584345616,0.0033179819833174377
61,0.003299193936181484,0.00345591466954744,0.00377939206827945,0.0031428806582956314,0.003134242232466846,0.0037097624733688447
62,0.003153651602359576,0.003695678587420849,0.004308721410273379,0.0039988273944765885,0.0036930567441411954,0.003693566774669465
63,0.002994868059146727,0.003687865398132822,0.003410845772144994,0.00351941375845752,0.003755681135784902,0.0035330643598192185
64,0.003096677586490415,0.0032998789252813125,0.005204792472960338,0.003470054736619618,0.00319991680649433,0.0030178092556151074
65,0.0037773369466063906,0.003319406754889903,0.003774831230155902,0.003994137125318026,0.003780532530713377,0.003345488159891488
66,0.003910866995507177,0.002652224171943133,0.004578353902508861,0.0038257670754319943,0.003700282757754134,0.0027873103982415785
