step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_rms_step
53,9.417544145826769e-07,9.58559496218596e-07,1.3145052204369571e-06,1.0883058575236629e-06,9.791984561287172e-07,9.923303147700439e-07
54,9.593155675696969e-07,9.659088458147298e-07,9.84540902321312e-07,1.0679908762156435e-06,9.759662965330569e-07,9.44076257889208e-07
55,9.524927165728886e-07,9.54215864949905e-07,1.1682645047593033e-06,1.0745976737884231e-06,1.0601729430994286e-06,1.0302957999193732e-06
56,9.831273808232268e-07,9.670182756187768e-07,9.955048388198275e-07,1.0869471408321572e-06,1.018333424021261e-06,9.62422693213357e-07
57,9.450407575105419e-07,8.896388131939504e-07,1.1692046543375142e-06,9.775706982616355e-07,9.336374888014059e-07,1.065187197174925e-06
58,1.0591630639500814e-06,1.0303908436411108e-06,1.0764780650843822e-06,1.0138396978111035e-06,9.748026586300713e-07,9.239472554554632e-07
59,9.36373821310684e-07,9.595484231225401e-07,1.087276351499457e-06,1.048578316762308e-06,9.856514511907983e-07,9.677696316343173e-07
60,9.149289741239465e-07,1.041553872461324e-06,1.0039915169869863e-06,1.0225081043876077e-06,1.017892633278075e-06,9.363669900965572e-07
61,9.95969732867743e-07,9.911858602939455e-07,1.070628127392764e-06,1.0333754248202959e-06,9.262709068948557e-07,9.64311582221828e-07
62,1.0001224782310066e-06,1.0406981375755116e-06,1.0914635871026972e-06,1.0691045812165038e-06,9.965332274585888e-07,9.738744907172937e-07
63,9.667960462537019e-07,9.912117079088108e-07,1.0714406753083565e-06,1.003617934185176e-06,9.901329292581756e-07,9.667249666086911e-07
64,9.569849099837188e-07,9.21989264003248e-07,1.1321603380555794e-06,9.91220644055463e-07,9.449794133966216e-07,9.737194229630045e-07
65,9.589410744207634e-07,9.582190811156525e-07,1.0606793691352772e-06,1.0508064189686156e-06,9.609507156099017e-07,9.754615456743877e-07
66,9.883011246777055e-07,9.356201233210331e-07,1.111648414424517e-06,1.0025691640867801e-06,9.945370956509886e-07,9.21207322795411e-07
67,1.0577040756738318e-06,9.533840356219256e-07,1.0630934429793488e-06,1.072585212846345e-06,9.656672909325378e-07,9.54725246373962e-07
68,9.71126243770789e-07,9.420293717781016e-07,1.0862958386699417e-06,9.989949064056562e-07,9.599558028559248e-07,9.698009786980748e-07
69,9.007393424560068e-07,9.145486015350886e-07,1.0537767439370374e-06,9.48130682109959e-07,9.509347290212512e-07,9.658043182625475e-07
70,1.016067599785545e-06,8.78883706488782e-07,1.014643371930697e-06,1.0514260680113391e-06,9.435757120481716e-07,9.447633525988891e-07
71,1.04322559645515e-06,9.367212697303688e-07,1.0090793202713383e-06,1.0337454930686176e-06,9.534273004918791e-07,9.56181205338616e-07
72,9.471125043388331e-07,9.75807129178599e-07,1.0745663320607203e-06,1.0205312925478107e-06,9.56385166084066e-07,1.0376647192118843e-06
73,9.713508089275549e-07,9.506454793758772e-07,1.134644752806164e-06,9.63803466117779e-07,1.0007811558683902e-06,1.0443413742420611e-06
74,1.01952365286972e-06,9.302216885731379e-07,1.0706824940992689e-06,1.0451765614971164e-06,9.45011806355017e-07,9.900493158011878e-07
75,9.631014991243304e-07,9.884279699368774e-07,1.0760853918337549e-06,1.0009874109573553e-06,1.064240565152616e-06,1.0357163136649813e-06
76,9.657701433405368e-07,9.723481483429653e-07,1.1326279777368682e-06,1.0259137971956805e-06,9.825957834942155e-07,1.0156992207146053e-06
77,8.81117144167848e-07,9.369710798160614e-07,1.1069998477197746e-06,9.398933783281579e-07,9.178466778941738e-07,9.425654194812505e-07
78,9.741880985816566e-07,9.441086838343122e-07,1.0061100335952624e-06,9.871064450045446e-07,9.507344966435047e-07,8.921887461274154e-07
79,1.0591977792566546e-06,9.493027472429535e-07,1.093376751576121e-06,1.0864837116613148e-06,1.066084331058863e-06,9.396236009939313e-07
80,9.674258580908621e-07,9.688036953630096e-07,1.140779859320637e-06,9.656714946587854e-07,9.456436386846529e-07,1.0230838691924779e-06
81,9.613690622677497e-07,1.007939197506055e-06,1.270904915233299e-06,9.674580475278409e-07,1.0110050593923685e-06,1.061333707515403e-06
82,8.683407822645314e-07,9.535944210497326e-07,1.1724339097718567e-06,9.991111678231412e-07,9.291534991476128e-07,1.0031178968852262e-06
83,1.0282099142594423e-06,9.974570443503854e-07,1.0800275743508905e-06,1.0025805365633862e-06,9.74125080675811e-07,1.0377909816115286e-06
84,1.0213310675409343e-06,8.959279989945443e-07,1.0904050153327322e-06,1.0468276492728066e-06,9.022850334355889e-07,9.881429344206715e-07
85,9.302122932215567e-07,9.54086717918697e-07,1.0051071545056681e-06,1.01490945348094e-06,9.56623496759616e-07,9.202579155188672e-07
86,9.97655222305746e-07,8.924364456677189e-07,1.1044410038399873e-06,1.0205901705256747e-06,9.635173444963388e-07,9.933531625588796e-07
87,8.98377183445909e-07,9.067738041343375e-07,1.0320917378394129e-06,1.0376554479019506e-06,9.081298787646061e-07,9.761939893455695e-07
88,1.0067666211198469e-06,9.636505379603181e-07,1.095319177386729e-06,1.0028164485715335e-06,1.026203426856737e-06,1.020652524637269e-06
89,9.490291849398859e-07,9.368434209124192e-07,1.0585681646031288e-06,9.539746233684941e-07,9.757026848228828e-07,9.66860184455374e-07
90,9.601733112336826e-07,8.819628718048715e-07,1.076729089514337e-06,9.938898484108467e-07,9.416882338545216e-07,9.540266953803998e-07
91,9.984401846451409e-07,8.827435249772653e-07,1.1329613365126766e-06,1.0196877514423315e-06,9.324730754242231e-07,9.495151133159737e-07
92,1.0273600362840089e-06,9.54026480269065e-07,9.784115039591756e-07,9.450112979807878e-07,9.956332718996345e-07,8.871121990885388e-07
93,1.0038603863430957e-06,9.19940657010334e-07,1.1154767524399226e-06,9.285656305042824e-07,9.360445527211135e-07,9.90815275540946e-07
94,1.0186192364896898e-06,9.757412327676944e-07,9.522940095998387e-07,1.0000377852919152e-06,9.797315934526329e-07,9.587841852285305e-07
95,9.148986300409346e-07,9.877768270154378e-07,1.152077292917815e-06,9.26855322069857e-07,9.463116885587748e-07,1.0825559299514274e-06
96,9.44494350467608e-07,9.696259719697196e-07,1.1220372821503938e-06,9.491932406923725e-07,8.794661611621038e-07,9.877782125096219e-07
97,9.396242361408562e-07,9.822738071848273e-07,1.106323970649509e-06,9.56840389670593e-07,1.0425521586077869e-06,9.549389433826989e-07
98,9.731358212084873e-07,9.804280149656988e-07,1.160489696332607e-06,1.0398097233268408e-06,1.0790373877335542e-06,1.0306467771436906e-06
99,9.511821557479759e-07,9.855164123514631e-07,9.939350073584503e-07,1.0342582777976824e-06,1.0182972950330268e-06,1.0059983724696808e-06
100,9.258887527119144e-07,9.185672489608758e-07,1.074495708536925e-06,9.800140654409817e-07,9.387001138339212e-07,9.596225001171404e-07
101,9.611952226260842e-07,9.546328742090297e-07,1.0084701153583882e-06,1.0787306361610249e-06,1.0320443707053036e-06,9.259001228032035e-07
102,9.786397344008858e-07,9.524259742980193e-07,1.0803216001802957e-06,9.163342521284224e-07,1.0437044503014248e-06,9.947347361196351e-07
103,9.426058379382315e-07,9.033076908407158e-07,1.0071539244874338e-06,9.445960356165472e-07,9.283711555827229e-07,9.520536964210594e-07
104,8.568597280687566e-07,1.0122685762051291e-06,1.0775152368415938e-06,9.365538942907381e-07,9.677931982187443e-07,1.0710534159672457e-06
105,9.739427453030562e-07,9.465356735609867e-07,1.2677579863914336e-06,9.810841288993665e-07,9.499131877134076e-07,1.020831753539408e-06
106,9.185792197062175e-07,9.508051410022782e-07,1.048876734702294e-06,9.265856837430368e-07,9.191650985475396e-07,9.76459518494164e-07
107,9.780865988588297e-07,9.656307159291137e-07,1.0758215252404008e-06,1.0471893869792727e-06,9.470141906013269e-07,9.529257827888812e-07
108,9.340288355954971e-07,9.543312609687247e-07,1.035956471089285e-06,8.548150275973565e-07,9.245463804646876e-07,8.782897412014579e-07
109,9.369628433563278e-07,9.429097989351683e-07,1.0298550475629696e-06,9.562898128297928e-07,9.205235937146088e-07,9.38692558398788e-07
110,9.824800079843272e-07,9.447483566891587e-07,1.072308784388884e-06,8.952900474572624e-07,1.0854341513795497e-06,9.408983913872168e-07
111,8.964771647667319e-07,9.050816319738132e-07,1.0657318604287835e-06,1.0123656637510117e-06,9.864115063017201e-07,9.9592447879067e-07
112,9.813152028511547e-07,9.938767367739787e-07,1.0088775319392241e-06,1.0370271178923e-06,9.984478429427675e-07,9.707065209695938e-07
113,9.847872379158438e-07,9.806150991157689e-07,9.88996445477653e-07,9.357213912653664e-07,1.034448265762143e-06,9.412719600437784e-07
114,9.394822612815403e-07,9.364163370470766e-07,1.0385209894832294e-06,9.54941799230848e-07,9.555544892238718e-07,1.0032147132612096e-06
115,9.616752686383265e-07,9.267389283363776e-07,1.0516538161403654e-06,1.0009383933925632e-06,9.646916198760564e-07,9.83619986361092e-07
116,9.591476230402482e-07,9.663755864094783e-07,9.695777643561856e-07,1.0260724102037763e-06,1.0444908021399377e-06,9.608260875836274e-07
117,8.295798835790849e-07,9.728079936084554e-07,9.870659607153422e-07,9.157656594021467e-07,1.031995472145806e-06,1.0123583842673004e-06
118,9.439784340077509e-07,8.965727823736233e-07,1.0769486189716817e-06,1.0149511580953934e-06,9.729389935783026e-07,1.0209223194905892e-06
119,9.303655893412052e-07,9.206744020968596e-07,1.0548251601239142e-06,9.465771455077361e-07,1.0378275433286493e-06,1.007641236001443e-06
120,9.53244068080812e-07,9.340601721917949e-07,1.093874813084686e-06,8.728116631410636e-07,9.915759799947588e-07,1.009988482377625e-06
121,9.195172968105651e-07,9.441335348307483e-07,1.0536814294996919e-06,9.058468767728232e-07,9.996038795928774e-07,9.471427292457743e-07
122,9.344033051456269e-07,9.3518559633362e-07,1.0182688492569951e-06,9.455347575090319e-07,9.243170652173997e-07,9.305782891946373e-07
123,9.55099644719054e-07,9.001111963686516e-07,9.749755315256776e-07,1.0091685167598317e-06,9.209769862085478e-07,9.955242626603534e-07
124,9.873377014468992e-07,9.485855653471146e-07,1.0431792833599246e-06,9.596579804083469e-07,1.0007308173000458e-06,8.940585827473716e-07
125,8.815776301087412e-07,9.430873684756184e-07,1.0818103035093495e-06,9.815816144272956e-07,9.5638586581541e-07,9.657344785453673e-07
126,9.227639037901998e-07,9.486802868096287e-07,1.17805953647183e-06,9.76283383341331e-07,9.115297374341642e-07,9.829712305442517e-07
127,9.21211291224108e-07,9.548023162047737e-07,1.1021579968739494e-06,9.1644455387333e-07,9.105709943073563e-07,1.0027299513895732e-06
128,8.852773735612547e-07,9.389958313468147e-07,1.0606220874153564e-06,9.305458779514832e-07,9.118664139053759e-07,1.0412710877327287e-06
129,9.111233220675532e-07,9.978657181646394e-07,1.1418232979606859e-06,9.661650281434037e-07,1.00620840568748e-06,9.890857787465751e-07
130,9.485695454370059e-07,9.27198560378212e-07,9.614661962415465e-07,8.846028966811793e-07,1.0216644302413146e-06,9.173893494576814e-07
131,9.2739910991283e-07,9.758518987987034e-07,1.0768831196993458e-06,1.0145042544801385e-06,9.273265203521816e-07,1.0068992256610602e-06
132,8.97394515250285e-07,9.316300294402888e-07,1.0185816512491616e-06,9.114445193568112e-07,9.676748857495186e-07,1.0153992504397101e-06
133,9.260910510761409e-07,9.13454455118954e-07,1.0048572280495408e-06,9.748396016989696e-07,9.201072175488615e-07,1.0061981753692357e-06
134,9.424950050746664e-07,9.251804113359639e-07,1.0395425590839449e-06,9.214517907727195e-07,9.500233209899256e-07,9.624569072844885e-07
135,9.1975296431015e-07,9.569535857124534e-07,1.0606653788399323e-06,9.255333425088096e-07,9.500126520401572e-07,9.508773840961719e-07
136,9.74934291864315e-07,9.088219255491864e-07,1.061474685078087e-06,8.784597614775822e-07,9.58163819388446e-07,9.298476640861936e-07
137,8.946273966276178e-07,9.15451499242768e-07,1.1975521070337189e-06,9.707636158533551e-07,9.526541473831082e-07,9.535424628318267e-07
138,9.398831786845496e-07,9.277736632128293e-07,9.86571598618688e-07,9.906507334382438e-07,9.02194748845654e-07,9.835431928811366e-07
139,9.406331148417079e-07,8.823716979271587e-07,1.067233345794805e-06,9.757608290717892e-07,9.049388380085165e-07,1.0151152128687288e-06
140,8.882710135301936e-07,9.243384384993923e-07,1.0732658014101627e-06,9.68049924464279e-07,9.430765109844874e-07,9.117121634372566e-07
141,9.248751771835516e-07,9.443412099338999e-07,1.0547763120321232e-06,9.826912658087813e-07,9.132126764066691e-07,1.0278752357684903e-06
142,8.420192747289087e-07,9.67631602694253e-07,1.0337232696674742e-06,9.363543755218099e-07,8.981802368432812e-07,9.495154430839874e-07
143,8.544490447277123e-07,1.0002260639891644e-06,1.0149065930936466e-06,9.093405082949123e-07,8.900758412137751e-07,9.237631718793799e-07
144,8.960212754431005e-07,9.277314693945411e-07,1.098299309018487e-06,1.026860794304458e-06,9.238394245909608e-07,9.623453696429321e-07
145,9.414451081509012e-07,9.110192757085748e-07,1.0514381546731215e-06,9.355379387916718e-07,9.258989720750092e-07,9.817718872056302e-07
146,9.244926202868759e-07,9.414832684821989e-07,1.0778854819992541e-06,9.081183221972107e-07,9.88212804475823e-07,9.684646398854254e-07
147,9.076372712798715e-07,8.983679680016534e-07,1.0220224434249337e-06,9.109786129665801e-07,9.479807195487735e-07,9.882501614527627e-07
148,9.038105476863237e-07,9.169979094880552e-07,1.1063008270664909e-06,1.0175841998592645e-06,9.056873958105845e-07,1.002158044836392e-06
149,8.363461905584396e-07,9.216325146694112e-07,1.0826218070678232e-06,9.481549624150913e-07,9.601833557826758e-07,9.05818272454802e-07
150,8.853499640331463e-07,9.456606912502756e-07,1.0675014216196397e-06,9.20437201293239e-07,9.158087281983773e-07,9.91808487082277e-07
151,8.400100673376732e-07,9.508241819867807e-07,1.0275126670805226e-06,9.151581395335835e-07,8.787184489913551e-07,9.680967156712771e-07
152,9.082186132888818e-07,8.971324340239221e-07,1.1936996345691213e-06,9.123475516251444e-07,8.768937925169554e-07,9.911812653482841e-07
153,9.228125468981999e-07,9.154369800993928e-07,1.0069474097118818e-06,9.867394266877748e-07,1.058042036283864e-06,9.841704273620706e-07
154,8.223729794366006e-07,9.212266001793684e-07,9.607089687643152e-07,8.649935850377932e-07,9.559866203769053e-07,9.298235177912385e-07
155,8.968805839845563e-07,9.694568702761211e-07,1.030129212784137e-06,9.637048922649957e-07,9.593541537093542e-07,9.869122286373687e-07
156,8.432539709728372e-07,9.799949015009878e-07,9.75929118265145e-07,8.273136297270829e-07,9.802075666930348e-07,9.616806664459787e-07
157,9.020749030153991e-07,9.108307823968412e-07,9.779378458300789e-07,9.908019528019784e-07,9.239517808462908e-07,9.729747198906517e-07
158,9.222510817268848e-07,9.131372719943304e-07,1.0917140609185736e-06,9.570746537344957e-07,8.989299901991061e-07,9.65304385476254e-07
159,8.626593405701326e-07,9.3524658626946e-07,1.0883658737109467e-06,9.496195388105075e-07,9.551672852170547e-07,9.555363161465132e-07
160,9.6992873041027e-07,9.60043869130244e-07,9.896205978634193e-07,1.0367857997752971e-06,8.645092161668854e-07,9.643505123763648e-07
161,7.968648441677623e-07,8.78224060833051e-07,1.0428867996868866e-06,9.709267004130465e-07,8.912180529941612e-07,9.627319227273644e-07
162,9.258091242844104e-07,1.0056702578938605e-06,1.0007129041069568e-06,9.798343345617033e-07,9.30044029104712e-07,9.470787097308168e-07
163,8.554821543237546e-07,9.562531814674264e-07,1.0615195504675352e-06,9.24649765103946e-07,9.081644786240275e-07,9.651427391335072e-07
164,8.829222382760885e-07,9.31262781481478e-07,1.0379887463596448e-06,9.61834696499517e-07,8.501292305528233e-07,9.48272965775799e-07
165,9.473888066984325e-07,9.571037547927423e-07,1.0615222789934772e-06,9.961756589957811e-07,8.949283369712327e-07,9.61358173871255e-07
166,9.199229763097868e-07,9.514989336373304e-07,1.0118327830206966e-06,9.214441779997788e-07,8.967028012452381e-07,9.241419819216103e-07
167,8.744241477432622e-07,9.707795674332082e-07,1.0932749872718808e-06,1.0464222993224861e-06,1.0537711835755449e-06,9.703245500591404e-07
168,8.125425222470241e-07,9.842906789770581e-07,1.0243715615342395e-06,9.720357134078892e-07,8.779137374666966e-07,1.0235306180400328e-06
169,9.088374221348229e-07,9.910458271833564e-07,1.0357391388326111e-06,9.379763503445799e-07,9.759243512733333e-07,9.769662788985817e-07
170,8.556507279685234e-07,9.879562225675546e-07,1.0047741391534724e-06,9.237930719037355e-07,8.852771232242045e-07,9.45797770627764e-07
171,9.325579718416128e-07,1.0081616900277417e-06,1.0164245602920621e-06,9.56356687289151e-07,8.710364352742098e-07,9.349440251350365e-07
172,9.413066754646947e-07,1.0429912450318458e-06,9.495570219216814e-07,9.236020463774449e-07,9.325114755534336e-07,9.4268265238582e-07
173,8.851976793702763e-07,1.0498409772410177e-06,1.0399116268625809e-06,9.59298264988693e-07,8.56573625787235e-07,9.477378569728065e-07
174,8.786307596102784e-07,1.0348559553526332e-06,9.565195446620365e-07,1.000909813728925e-06,8.868963924374436e-07,1.0080801205776386e-06
175,8.348091732319078e-07,9.59496883658278e-07,9.761229052829457e-07,9.287239471257761e-07,8.270465766207021e-07,9.458515545195503e-07
176,8.021045236703942e-07,9.4339327644354e-07,1.0286932175329356e-06,9.040064735487252e-07,8.655198716734369e-07,9.533337318622744e-07
177,9.089851295545311e-07,1.0302213776768992e-06,1.1270325141985684e-06,9.959524761770604e-07,8.431991079692879e-07,9.85284999318317e-07
178,8.682648704134735e-07,9.928764042813365e-07,1.0173539358187629e-06,9.44361402569544e-07,9.155911076454403e-07,8.974036334981251e-07
179,9.161468227028691e-07,9.909937422839819e-07,1.102680739278353e-06,9.297615213926262e-07,9.523494508516606e-07,9.579829895329768e-07
180,9.492495750982012e-07,9.504384786413899e-07,1.1074180250031711e-06,9.988149042189175e-07,8.625573284730808e-07,9.52969996854264e-07
181,9.31824686539606e-07,1.0259936237076038e-06,1.0241473213011142e-06,9.213568854755395e-07,9.337738950095783e-07,9.421056547380944e-07
182,8.547475926448614e-07,9.799928379907584e-07,1.0026942040573794e-06,9.919312460600477e-07,8.980971739035297e-07,9.527741386956506e-07
183,9.180219333417299e-07,8.687597962280637e-07,1.0154339230516169e-06,9.781853083318994e-07,8.561349519047078e-07,8.503101652361671e-07
184,8.457518551182675e-07,8.99357276154026e-07,9.843187015913768e-07,8.575130463739871e-07,8.881587843741627e-07,8.6436884361218e-07
185,8.790121471354691e-07,9.6526957306647e-07,9.791843255425844e-07,9.361581251182212e-07,9.392521541499736e-07,8.642622404327778e-07
186,8.615703158267708e-07,9.545498862922599e-07,1.0625228011203825e-06,9.12808330140316e-07,8.808231498806651e-07,9.749250654599278e-07
187,8.926328419878947e-07,9.792613055692229e-07,9.279666373417075e-07,9.324054159514173e-07,8.86645587430611e-07,8.850967502242427e-07
188,9.16224987675639e-07,9.719421372391172e-07,1.0225177055290658e-06,9.487520131740355e-07,8.646385507602225e-07,9.771241868073736e-07
189,8.73959271556885e-07,9.956177808198453e-07,1.0162578061357535e-06,9.677978306461928e-07,9.288545470016009e-07,9.48662234830132e-07
190,9.008827244857256e-07,8.676150272487796e-07,9.886478079511289e-07,9.110795622791462e-07,8.643902848613183e-07,9.54030380594338e-07
191,9.637296455109674e-07,9.91314916007011e-07,1.0553656930245848e-06,9.104222805044769e-07,9.706988791350405e-07,8.923849750276989e-07
