step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-actor/pg_clipfrac_step
1,0,0,0,0,0
2,0.00012137811152411894,0.00014345436665990036,0.00013763995610753516,0.00012870611923669154,0.00013188513082201572
3,0.00013881379853266263,0.0016548149083014372,0.00011849007719170154,0.00013710160744820948,0.0007082517754991821
4,0.000194517493613337,0.006716651807477723,0.00017275128650660255,0.00017984094440428387,0.00033582298847250057
5,0.00031445409287651316,0.009058991861963753,0.00037166364817267097,0.0004109370370259304,0.0021606982694742684
6,0.00030098456257595296,0.005362131857371265,0.000597443334122434,0.0002650412176724164,0.00047019795128604034
7,0.00032328481853483026,0.13380656211601594,0.0004321477314918481,0.0004224688507974861,0.0011852811095035148
8,0.00047058075716239936,0.1573123185015801,0.00040873079008463264,0.00047433083754395527,0.0006815425387806803
9,0.0007264108778479951,0.14751590546547322,0.00047620435174979193,0.0004743393026698051,0.0017253399437873725
10,0.0007261286747067923,0.13354695902859431,0.0007135966495473424,0.0012762408489379595,0.00103799386973454
11,0.001281745167712899,0.09844642579836156,0.0009743841699924688,0.0006915439422547193,0.004395860099452186
12,0.0009671486507551012,0.05506146529555017,0.0008868254581445725,0.0013000992663227458,0.0010533941090889805
13,0.0015557684394025273,0.046014560222071545,0.0006703977831615962,0.0013224047523455636,0.0078551312059916
14,0.0013180973749459717,0.04753641384665851,0.0006500181986771517,0.001142499686636711,0.003198739036349707
15,0.001357425611729468,0.004757920716481469,0.000976916734485867,0.0008993779590727695,0.02529777679893641
16,0.0013415335861677506,0.014159197219751975,0.001086301086717059,0.0013117315050104204,0.009895569616244555
17,0.0010768987001430886,0.004842012227345549,0.0009879259817006684,0.000959630132001621,0.01988542559450122
18,0.0015199260097666055,0.0007390537683874,0.0011203948397007658,0.001081976282964716,0.002625707072959759
19,0.0012061344056443584,6.8179327970529834e-06,0.0015625915106110846,0.000802349300123578,0.023804489274425578
20,0.0009896214894297374,0.001471900091036212,0.001839214025833001,0.0011930744882874933,0.0025379960883886573
21,0.0008598207098260993,0,0.0015723954059610964,0.0008760033691894358,0.023557908418782365
22,0.0007342243397943093,0,0.0013571078644173855,0.0009834826957175163,0.0019359980070216157
23,0.0008403876865259009,5.566424887446273e-07,0.0010900258108280426,0.0012434582851806465,0.01294862940281746
24,0.0009136953082979276,0,0.001138895273970775,0.000882414733397938,0.005462997540016659
25,0.0009795890963232522,0,0.0009022276683806142,0.0010311298846270229,0.008628465102295499
26,0.0009136138418225096,0,0.0009338464819742258,0.0006723179647058321,0.0014246854074931785
27,0.0012862271793156175,0,0.0009462847911949056,0.0006142415777503629,0.0034948776673976076
28,0.0008938530101139414,9.568836859493193e-07,0.0011363366948412585,0.0008517271769914003,0.00014135708138580767
29,0.0011772787640534502,0,0.0010794766937275806,0.0006425723565706377,6.133146023950593e-05
30,0.0010782678268142483,0,0.0009154990394541172,0.0007890155366591276,1.1445247475256275e-05
31,0.001112884055601171,0,0.0008693349385620898,0.000722998165678646,1.7402759908691223e-05
32,0.001138849208733258,0,0.0008947479006261952,0.0007370856667746141,6.145488514448516e-06
33,0.001115849583207242,0,0.0009802773087618077,0.0007609585617967419,3.344753811992026e-06
34,0.0008792515221102803,0,0.0012178270727565897,0.0009571547734151132,6.103515625e-07
35,0.0012023099433263714,0,0.0009011139595396492,0.0009020828116869476,7.432379923691904e-07
36,0.0014634702582593173,0,0.0009784058501989218,0.0009500522574367202,0
37,0.0013696932927171185,0,0.0008955317659369722,0.0010140493870450173,0
38,0.00107503539334758,0,0.0008277951428908636,0.0008432049532625809,0
39,0.0008192272295370154,0,0.0009074471762514372,0.0010461087638138518,0
40,0.0008068545441909962,0,0.0009554626425423996,0.0010626119877686993,0
41,0.0006947041316553147,0,0.0009117204887244464,0.0008952937273101096,0
42,0.0007412278537014486,0,0.0009254328240537936,0.0009562762315226792,0
43,0.000822391285661676,0,0.000978088052276386,0.0010259464549043124,0
44,0.0007888488849724725,0,0.0009483187814112172,0.0010826980526805372,0.00017292331771435833
45,0.0008428628007922353,0,0.0012013115969643372,0.0011145516549775146,1.819684257498011e-06
46,0.000915137088601868,0,0.0008558307457904101,0.0008972988338882715,0
47,0.00102007627466654,0,0.0009340104738219616,0.0009239090617310944,0
48,0.0008527915485631508,0,0.0011009850613845629,0.0011804468983494345,0
49,0.000841031230114216,0,0.000934504837784646,0.0009953182702269086,0
50,0.0011093144248661702,0,0.0011890030201746932,0.00095667724890518,0
51,0.0010059663478386937,5.739091893002086e-07,0.0011415794414937235,0.0011344217818520682,8.582253875439555e-06
52,0.0012200734308862593,0,0.001173905647928699,0.001066664444007939,7.484160837397999e-06
53,0.001088081519424122,0,0.0011055471753544615,0.0009927673327865703,0
54,0.0009346374639959364,0,0.001089570592698279,0.0008966284994374557,0
55,0.0011036232021450453,0,0.0009344976967570673,0.0009847270602244308,0
56,0.0010118671330669063,0,0.0009655124475681408,0.0010879668805728216,0
57,0.0013879899775836237,0,0.0012497894214599607,0.0010047888350336028,0
58,0.0011202014452267222,3.1314901091118757e-07,0.0011441141545922371,0.0009614928188966588,5.3110637225017854e-05
59,0.001099384254902444,0,0.001464029433381339,0.0010387355410430023,1.0412339964783646e-06
60,0.000921153104151694,0,0.0011206319572507214,0.0009016548959529824,0
61,0.0010795784602040922,0,0.0012354491341284302,0.001283821158743427,0
62,0.0010829284881419014,6.81263333647691e-06,0.0011808778893369195,0.0010758525859495332,8.891588549886364e-07
63,0.0011521478743568216,3.8137419734642114e-06,0.0012481402617090175,0.001081712412455783,2.655010051127577e-07
64,0.0010977577935591398,0,0.001053735569950645,0.0009899752736828304,1.0757663609561036e-06
65,0.001222475590609628,2.5292481574258e-07,0.0014398187718969975,0.0011623745869428605,7.813742880758722e-07
66,0.0013519007895107884,0,0.001097562138883487,0.0010572829625743907,0
67,0.0011056150689174025,7.498846722834666e-07,0.0014557236789352662,0.001166714692953974,0
68,0.0018731729125943805,0,0.0013770693397584016,0.0011677316665076145,4.722375511586766e-07
69,0.0018587615832508337,2.299594862345276e-06,0.0013194065181071184,0.0009959680542806382,9.41223082312111e-06
70,0.0018897220165854376,2.010450976564654e-06,0.001465338433263241,0.0011345062664706628,0
71,0.0017118500394556063,0,0.0011039839025518937,0.0011412665687657864,0
72,0.0017051155915650334,2.5092422220041044e-05,0.0012523707176747532,0.0012683778008749868,0.00022502582146444183
73,0.0014993675845939183,0,0.001432641957349419,0.0018960572555000465,6.4043775788983706e-06
74,0.0013823075475184769,0,0.0013093399783152247,0.0016470090526557837,0
75,0.001763213410889702,0,0.0013015123370779397,0.0019921593137723903,2.2564888146509227e-07
76,0.001448775448407992,0,0.0015309757280564636,0.0018935700970138672,5.0384150228872445e-06
77,0.0015838368410590596,6.721226767577689e-06,0.0013140029275192596,0.0016295305825960462,5.5670763892769834e-05
78,0.001672033137548992,0,0.0012694616448243323,0.001477741471041018,0
79,0.001655480161782014,3.669342291804271e-06,0.0016057148161606797,0.0016952166298302117,0
80,0.0015108083154397414,1.0282678798126477e-05,0.0014328538839537134,0.0017528163603904095,4.0579276574751897e-07
81,0.0017203396927193946,0,0.001825108902919411,0.0017314341393146258,5.253525543480464e-06
82,0.00182727183484877,0,0.0013974933300114176,0.001998190064953703,3.681498810692574e-06
83,0.001562997481478094,0,0.001667002315278094,0.0021133499306415617,0
84,0.0017433270910433272,8.136493802753234e-07,0.0012812303328411706,0.0014306233476753206,4.060287210450042e-07
85,0.001521411144415691,8.091286817392701e-07,0.0017282745926383949,0.001695746240979393,5.002315245090155e-06
86,0.0020062149566607936,0,0.00147489191195663,0.0012379236183429991,2.327093377309873e-05
87,0.0013037843430192013,0,0.001585849212440533,0.0014148277977732331,0
88,0.0016875735992860946,2.338200045834618e-06,0.001623087452228194,0.001792878654842276,0
89,0.0017702191801216155,0,0.0015668728935665096,0.001496298937375038,0
90,0.0014983003940783205,0,0.0016320230130493958,0.002024572880362116,2.902027735575702e-05
91,0.0015412926963151784,0,0.0016666024233848514,0.0017257280826193091,0
92,0.0016727001405998571,1.6534463745355262e-06,0.0017768771912566688,0.0015659039318052237,0
93,0.0016622761555126777,4.7935069259812525e-06,0.0017281254870289962,0.001414794245560881,0
94,0.0019064487846446269,0,0.0017406059212860666,0.001594065798729259,3.6382557142920333e-06
95,0.0016174878692254424,2.585517854437166e-05,0.0016936100978868622,0.0016127298456966655,5.356322782807348e-06
96,0.001728889055335631,1.50383701437212e-06,0.001780550866699385,0.0019366897506061349,0
97,0.0015567851811372348,4.2276843632335193e-07,0.0023940335953264603,0.0016454413632692151,0
98,0.0017003819939418463,0,0.002851161747844828,0.002133388866654555,3.95765581582536e-06
99,0.0015449255345932518,5.701172777839047e-06,0.0022865637861286814,0.002027744065894377,0.0012068531716621417
100,0.0014901584367635222,0,0.002283816685161108,0.001828304411057096,0.001289089701885766
