step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-actor/grad_norm_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-actor/grad_norm_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-actor/grad_norm_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-actor/grad_norm_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-actor/grad_norm_step
1,0.06468843016773462,0.41147466748952866,0.06139747146517038,0.06570513267070055,0.0769370999187231
2,0.058065677527338266,0.4059836566448212,0.061476146802306175,0.06234606401994824,0.07328315917402506
3,0.06111911032348871,0.3602309823036194,0.05986741604283452,0.06114921532571316,0.09549025166779757
4,0.06091380957514048,0.4731267429888248,0.06480089481920004,0.061303033493459225,0.07551413495093584
5,0.07231372036039829,0.537300169467926,0.07361707463860512,0.0738074192777276,0.1495004938915372
6,0.07266482897102833,0.8006232976913452,0.07110575772821903,0.06559882685542107,0.08874477259814739
7,0.07075340952724218,0.8512897044420242,0.07380687445402145,0.07110131718218327,0.10176328290253878
8,0.08238997496664524,1.4934144467115402,0.08067118935286999,0.07973322458565235,0.0912350956350565
9,0.08091489970684052,1.4627098888158798,0.07967542484402657,0.08272613398730755,0.10558353736996652
10,0.08402062952518463,2.069131225347519,0.08400074765086174,0.08429582417011261,0.10419371537864208
11,0.08042300119996071,1.5855883657932281,0.07993713021278381,0.08054360747337341,0.1218967530876398
12,0.08168965764343739,1.0318539440631866,0.08114002458751202,0.08332796208560467,0.11844241991639136
13,0.08330761082470417,0.7564098909497261,0.07823343575000763,0.08021055348217487,0.1401922982186079
14,0.08385703526437283,0.6851338446140289,0.07718652486801147,0.08089559525251389,0.1258809920400381
15,0.0819157287478447,0.37550320848822594,0.07755710743367672,0.07944883033633232,0.37854117527604103
16,0.08456194400787354,0.27155643329024315,0.08547657169401646,0.08675656467676163,0.25412774831056595
17,0.07921752892434597,0.1754307635128498,0.07409833744168282,0.07583809643983841,0.264284934848547
18,0.0820176973938942,0.07397242356091738,0.08063376881182194,0.08207163400948048,0.19882120192050937
19,0.08191543258726597,0.09651893749833108,0.08390947245061398,0.07477257959544659,0.27530060708522797
20,0.07693220488727093,0.0892612673342228,0.07579522952437401,0.07527721114456654,0.2042418457567692
21,0.07551724091172218,0.0455222986638546,0.07959654554724693,0.07601261883974075,0.2548746317625046
22,0.08160238713026047,0.04055665247142315,0.07461951673030853,0.0786573477089405,0.18739132583141327
23,0.08441027626395226,0.04088560864329338,0.07834071107208729,0.0829757172614336,0.1189679019153118
24,0.07805974967777729,0.03808647254481912,0.07858058251440525,0.072990782558918,0.08785443380475044
25,0.07682889513671398,0.037618867587298155,0.0736948698759079,0.07404272072017193,0.10811453685164452
26,0.07349956221878529,0.034550285432487726,0.07645354606211185,0.06947652250528336,0.07163743115961552
27,0.07640151679515839,0.04025196190923453,0.07137936726212502,0.07261422462761402,0.05086102429777384
28,0.07490929588675499,0.03592190984636545,0.07473713345825672,0.07486067898571491,0.0329446941614151
29,0.07657476887106895,0.044628736563026905,0.07686531357467175,0.0735209733247757,0.02516925521194935
30,0.07689020968973637,0.03250671736896038,0.07258990779519081,0.0759506355971098,0.01875849487259984
31,0.07664074935019016,0.02985456120222807,0.0695336926728487,0.06724351271986961,0.026646804995834827
32,0.0722725410014391,0.02989729354158044,0.06930531468242407,0.07065915502607822,0.018306255107745528
33,0.07271808013319969,0.0308999246917665,0.06859343126416206,0.0689035002142191,0.016452973941341043
34,0.0783767830580473,0.02723634848371148,0.07206437736749649,0.07312101870775223,0.016946979332715273
35,0.07393336109817028,0.0318369516171515,0.06678968295454979,0.06894170306622982,0.014036440523341298
36,0.07533430121839046,0.031174281612038612,0.07416285015642643,0.07188105769455433,0.014783763326704502
37,0.07412935793399811,0.0266616502776742,0.07176223304122686,0.07541200891137123,0.017952051013708115
38,0.07302500680088997,0.028020689263939857,0.07120757550001144,0.06836588773876429,0.016513378359377384
39,0.07020269520580769,0.028027362655848265,0.07354936935007572,0.07677930407226086,0.01194863417185843
40,0.07064682617783546,0.030243885703384876,0.06806650198996067,0.0725040640681982,0.008883788366802037
41,0.06760189402848482,0.03191454941406846,0.06885113380849361,0.06929948925971985,0.006145989755168557
42,0.06780022010207176,0.02487728511914611,0.0654220674186945,0.06900024320930243,0.01055990718305111
43,0.06880170293152332,0.026273346971720457,0.06763379089534283,0.06969145871698856,0.018782842671498656
44,0.06976300943642855,0.026920179836452007,0.06688151508569717,0.07018545921891928,0.02182713057845831
45,0.06818469986319542,0.02651235600933433,0.06628142390400171,0.06562839634716511,0.010274531436152756
46,0.07113265246152878,0.02770262397825718,0.06525146309286356,0.07091148290783167,0.008109461632557213
47,0.0748749291524291,0.02620955929160118,0.06779161095619202,0.07170060090720654,0.004395968280732632
48,0.06657538283616304,0.02524098427966237,0.06906590051949024,0.07447235472500324,0.00723221234511584
49,0.06708891410380602,0.02588904183357954,0.06477729417383671,0.06886203773319721,0.009145382442511618
50,0.07080722879618406,0.02693545399233699,0.07445496134459972,0.0677516981959343,0.014446569606661797
51,0.06585745513439178,0.024765383917838335,0.06772545911371708,0.0707364920526743,0.013477942789904772
52,0.06878728233277798,0.024851624853909016,0.06601504422724247,0.0710830669850111,0.007619550335220992
53,0.07028666138648987,0.02902352111414075,0.07039982080459595,0.07093940488994122,0.004845032119192183
54,0.06529572140425444,0.02426363294944167,0.06489438749849796,0.06402740068733692,0.005034581525251269
55,0.06633196119219065,0.02419601520523429,0.06164201814681291,0.06812679953873158,0.006531329185236245
56,0.06955760717391968,0.025008837692439556,0.06266839150339365,0.06997052673250437,0.011319656507112086
57,0.07653720863163471,0.023352887015789747,0.07060443051159382,0.07252403162419796,0.013840031228028238
58,0.06768373120576143,0.023781659780070186,0.06692156940698624,0.06784307584166527,0.013339045573957264
59,0.06763450801372528,0.02322748908773065,0.06705416180193424,0.06750549469143152,0.00752812740392983
60,0.06663593929260969,0.022512973751872774,0.06548113841563463,0.0650216517969966,0.0033177927834913135
61,0.06920118909329176,0.02310356544330716,0.06726061925292015,0.06987021304666996,0.004078666097484529
62,0.07045334298163652,0.024793756660073996,0.06815582327544689,0.07188623026013374,0.005049290368333459
63,0.0692477747797966,0.023871413432061672,0.062112923711538315,0.06352406833320856,0.012118517654016614
64,0.07037720177322626,0.02625747956335545,0.06222638301551342,0.06389542389661074,0.008897818974219263
65,0.07244390621781349,0.023299904773011804,0.06520409323275089,0.07223368063569069,0.005471738870255649
66,0.0668421071022749,0.02162660425528884,0.06155324634164572,0.06952647492289543,0.004347700101789087
67,0.06744784489274025,0.022232624236494303,0.06566212698817253,0.06894607562571764,0.003563375648809597
68,0.08265719003975391,0.022577736992388964,0.06791026704013348,0.07275721430778503,0.00417573589948006
69,0.0738542452454567,0.02103412500582635,0.06558966264128685,0.06990377232432365,0.013722226722165942
70,0.06987198907881975,0.02182997204363346,0.06576132774353027,0.07275249250233173,0.00583585153799504
71,0.07101058214902878,0.02307201735675335,0.061367142014205456,0.06552877742797136,0.0033426108420826495
72,0.07631696201860905,0.022589656058698893,0.061854044906795025,0.07663695886731148,0.02182541391812265
73,0.07236612215638161,0.020150108728557825,0.0684450063854456,0.08085641451179981,0.0049897978897206485
74,0.06777809001505375,0.020720786415040493,0.06242038868367672,0.07408920302987099,0.0037187040434218943
75,0.07449728809297085,0.02129583479836583,0.0651223948225379,0.07717712037265301,0.0033791736350394785
76,0.07158559933304787,0.020772890653461214,0.07284007035195827,0.08023600094020367,0.006500523362774402
77,0.06974839139729738,0.021491294726729393,0.06339223217219114,0.0727379135787487,0.019379469798877835
78,0.06933074910193682,0.02263086079619825,0.06389074120670557,0.07261270843446255,0.006929999741259962
79,0.07352251000702381,0.020812469301745296,0.06617727223783731,0.08016053587198257,0.0028146032709628344
80,0.07186778634786606,0.019164979923516512,0.06832924112677574,0.07625789381563663,0.0035056861815974116
81,0.07526585645973682,0.022105644457042217,0.07305720262229443,0.08173416368663311,0.01454588386695832
82,0.06944141164422035,0.02067599701695144,0.0644401591271162,0.07778866216540337,0.005170389951672405
83,0.07253286801278591,0.020456598373129964,0.0666185263544321,0.07731509581208229,0.003567105799447745
84,0.07259309943765402,0.022594705689698458,0.05788073688745499,0.07665460556745529,0.0036109022912569344
85,0.07132518105208874,0.02296752016991377,0.0728040486574173,0.07831399887800217,0.007801313069649041
86,0.07513652928173542,0.02041448792442679,0.06903324835002422,0.070122005417943,0.012717540143057704
87,0.06599365454167128,0.020778081147000194,0.06740444712340832,0.07409500889480114,0.0047023681399878114
88,0.07636864855885506,0.022996335057541728,0.06670333631336689,0.0796552486717701,0.002361424936680123
89,0.07191061042249203,0.020785269094631076,0.06521904282271862,0.07590370252728462,0.002262710011564195
90,0.07398069836199284,0.02101019537076354,0.06742030754685402,0.08397865109145641,0.01667032635305077
91,0.07591709867119789,0.02233159309253097,0.06495406944304705,0.07837996631860733,0.005398832669015974
92,0.07247920148074627,0.02243852405808866,0.06601977720856667,0.0717241670936346,0.002310726122232154
93,0.07257216796278954,0.02081628004088998,0.06799094565212727,0.07761724293231964,0.0021669191191904247
