step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-actor/ppo_kl_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-actor/ppo_kl_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-actor/ppo_kl_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-actor/ppo_kl_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-actor/ppo_kl_step
1,0,0,0,0,0
2,-3.770463754973595e-06,1.185187085090527e-05,-6.088333888813364e-06,2.126854013953208e-05,1.2051097686408117e-05
3,3.4338923537039343e-06,0.0003869198835616942,-8.010395640766477e-06,-1.0645255192511998e-06,0.00011043392818552518
4,1.0204910117838072e-05,0.003696559842824677,1.2464952828785478e-05,2.5882506427553732e-05,6.266684697240837e-05
5,5.3521064561902094e-05,0.0027015702109407214,7.67073156847431e-05,8.041606572378665e-05,0.0005122827971729017
6,6.307761309766715e-05,0.001153884874686083,0.00013149033665938977,5.192505116516569e-05,0.00011480344218610256
7,7.074527113601903e-05,0.04654428179823805,7.594073772688184e-05,5.454355606886452e-05,0.0002718283671256091
8,6.274248945054786e-05,0.024586491628724616,7.255843871434298e-05,7.81961822514614e-05,0.00014534980365283446
9,0.00015507068071454305,0.02177695495489037,7.363161327157895e-05,8.197255611695271e-05,0.00035432753852038593
10,0.00015682688998633576,0.022915675282532785,0.00013471059097332278,0.0002924514806830203,0.0002312845002051769
11,0.000247715483510885,0.012886770135212696,0.0001776121007032057,0.00010656290472405675,0.0008520506023330654
12,0.00019760438004872303,0.006580472441519784,0.0001264564376064523,0.00022230916885514077,0.00027279787511563173
13,0.0002793977819422874,0.005941482990894858,0.0001161964388610873,0.00025578735525353096,0.0017760459827374632
14,0.00026114535086047756,0.006473847790455413,9.674646228688196e-05,0.000188990527867657,0.0008163239253541713
15,0.00026508015489075853,0.0018292592061603255,0.000186890375861773,0.00014424170795545907,0.003352401891859813
16,0.0002431244907969783,0.0036086657755235634,0.00020465017378417844,0.00019250106996545328,0.002530245023472667
17,0.00024334778201596976,0.0017913029312524031,0.0001743454146174188,0.00013317658954834077,0.00419008364936287
18,0.00032065473135944335,0.0017037283826012038,0.000197968902491206,0.00020451335269044423,0.001401169823098184
19,0.00018204568213143883,0.00016875328592342548,0.0002755512725886298,0.00010122311199046135,0.005190572118635828
20,0.00021503791477854863,0.0008866482383120696,0.00030232585662139,0.00022037459443282616,0.002103649403822298
21,0.00020198044408295036,0.0001463349256262894,0.00033059424248150257,0.0001812744421474271,0.007212282229981308
22,0.0001470935931468631,0.00010330239399991114,0.00023594902774366056,0.00019537481148440268,0.0018328226266979592
23,0.00012247442335544534,0.00010085854317001922,0.000233613947849882,0.00023842720061657317,0.008872610860853456
24,0.00019763935155371937,5.6666943941548945e-05,0.00012681219152810286,0.00017829531498713043,0.0063965675238068795
25,0.0001832722917269436,7.685655595546023e-05,0.00017389317293052607,0.0002143017013840109,0.009130663893605137
26,0.00012114126791186122,0.0001236394533765174,0.00016196722051656812,0.00016378368222969608,0.001925916182716929
27,0.0002569690226081889,2.9101749333106532e-05,0.00019671917106100584,7.310924011284769e-05,0.005118327274431067
28,0.00018691279763196516,0.00018188439551543613,0.0001905617313350958,0.0002172634843436054,0.0008301655339279102
29,0.00022590048781380217,0.00012776746137104126,0.0001941958618758143,0.00013704919371392813,0.000626059028806222
30,0.00016674918715249126,6.283770674495399e-05,0.00010392843834204669,0.0001503487118301961,0.0005444685173653273
31,0.00022393660647728505,2.7621612276906346e-05,0.00016842729665846772,0.00012843514582753154,0.0002934953403510576
32,0.000190988217980248,5.090007492327686e-05,0.0001701643078567947,0.00011661095024283527,0.00033655523273552036
33,0.0002339112099314096,7.454704976817241e-05,0.00019108532684900377,0.0001396927709113769,0.00021468121219688405
34,0.00013649757076450442,6.442502969756185e-05,0.00019772551173131495,0.00019072794786133848,0.00021852236758297395
35,0.0002116072426966783,5.2853785561045464e-05,0.00014351569255996647,0.0001316478751836788,0.0002228165969295101
36,0.00018756700478099692,9.158653993692349e-05,0.00016962752519273435,0.0001412446637999004,0.00020023865525813683
37,0.00028724914499287166,8.721954077180645e-05,0.00014181587949886016,0.00012454709997651142,0.00010488057485100274
38,0.00020418384437990384,3.638956393462354e-05,0.00013377877322966468,0.00012668532052373394,0.00017249105778281506
39,0.00014409695982057054,4.477886659043928e-05,0.0001080538321083341,0.00014805475932628658,0.00011580105841715153
40,0.00013400549674984284,8.662677381375048e-05,0.0001376144137059348,0.00013828652714664713,0.00013347720311350663
41,9.267576854064092e-05,4.3464212457848815e-05,0.0001577672082604127,0.00017749573996598636,0.00029349022127928795
42,0.00012015294361081684,9.996941446792236e-05,0.00012005615403051532,0.0001458120274055119,0.00019152948318613972
43,0.0001403142057132122,3.2408544534543736e-05,0.00010477325158717576,0.0001848645497169005,0.00024557496732851376
44,0.00011798646598679198,7.510251546539907e-05,0.0001386896662235618,0.00020055244222270984,0.0006139692658418451
45,0.00012780008471741604,3.6252582366438606e-05,0.0002012053200745514,0.00022679651973266432,0.0005060685816293963
46,0.00014907951230972086,2.2217439691743556e-05,8.872878373857756e-05,0.00013883285249463028,7.661145828995094e-05
47,0.00016114478637383573,5.421178504286891e-05,0.00014981254408142806,0.00012999914522756248,0.00039355663809586313
48,0.00012755275308270103,0.00011429244082157246,0.0001272819003142969,0.0001894856856213362,7.628112983593116e-05
49,0.00010843727047163808,8.507491189109667e-05,0.00016252522769694927,0.0001318505898179215,0.0002746143074524617
50,0.00015544647798275234,1.4898682131695516e-05,0.00015281384151322186,0.00016176968941152836,2.1206209897597783e-05
51,0.00023373054131141656,7.844875067802421e-05,0.00012968814125138178,0.00013090611317979076,8.420503842592504e-05
52,0.00015962658531926924,0.00015435793176710175,0.00018270675117932584,0.00014770768352434516,0.00031403903107877487
53,0.00017274278974204195,9.963003819881176e-05,0.00012461327145773553,0.0001580871190334676,4.782580015986563e-05
54,0.00010332985342370725,5.721756852696781e-05,0.00014303478986884858,0.00016957405493066866,0.0001982027369212207
55,0.00016633656357703595,0.00012712869375856514,0.00013031813656313082,0.00016425972997728046,8.97746725042667e-05
56,0.00013700497577842508,3.33463268002987e-05,0.00015020834273439152,0.00019295350480916796,0.00010144658305376733
57,0.00018599190805817356,4.5003941957758954e-05,0.0001584141032114958,0.00016045205656642212,5.657249319697873e-05
58,0.00015044573447220915,7.548250850282164e-05,0.00011540059193522592,0.00015191038422899262,0.0003547267935027539
59,0.00014713460717627217,0.0001082861772494845,0.0002166100661475732,0.00013421592200648863,6.048869928684556e-05
60,0.0001126480397469687,3.644960825705349e-05,0.00010587187370525442,0.00013139179925602553,0.0005824432360703533
61,0.00015368272660961938,4.409998841393959e-05,0.00013413193481515655,0.0002048572554298157,7.119116977285309e-05
62,0.00016633381555799414,2.521498087430219e-05,0.00016175924578286174,0.00015435015452139257,0.00031303110357483455
63,0.00016502491579731523,7.733475717081947e-05,0.0001714233505045589,0.00014919178109163935,0.00016377301068332557
64,0.00013277602776646803,4.434502368657084e-05,0.00015422494391327204,0.00017467167474194412,0.0003339581012571746
65,0.00019766171040676755,5.630603521971243e-05,0.00022311150634379828,0.0001472731724422971,9.101889985523132e-05
66,0.0002676175232643291,4.274359980807842e-05,0.00013451165274941894,0.00014129233306334755,0.00014945873512918804
67,0.00015634268779228324,2.1340786530525215e-05,0.00022177188349429983,0.00014568455227248478,8.418429523649761e-05
68,0.0002857700386148598,3.5488883222643056e-05,0.00020558065575635644,0.00017868516287503224,9.96088017610118e-05
69,0.0002827926710998053,3.509930796574331e-05,0.00013318184972743236,0.00019618651663226848,0.0002413174599278515
70,0.00029023433386974435,5.118769640901919e-05,0.0001620337766315162,0.00014910548743288587,0.00018829391111360044
71,0.0003101019594948145,4.057031262623598e-05,0.0001589419471284338,0.00016480704457819684,0.0003650608380102342
72,0.00025641460175382575,9.805554485725364e-05,0.00020398428536408508,0.0001915094515982929,0.0004893451642611346
73,0.00022501394592008443,9.948967690028472e-05,0.00015163264751323751,0.0002756462565692751,0.00031926572337302636
74,0.00021320576112189696,5.9648979003832045e-05,0.00018499988973182417,0.00026873996140047414,0.00012575091711428756
75,0.0002535521543820318,4.968162825373194e-05,0.00014502523904095848,0.00035125359531207323,7.866442815834627e-05
76,0.0002362080896173155,6.037392289333828e-05,0.00017614518545821574,0.0003009082192537224,0.00014633700212605556
77,0.0002175817887493597,4.978797535762448e-05,0.0002029482512352595,0.00026049251635723315,0.00020587629450377872
78,0.00027442056254515075,4.2587347174992006e-05,0.00017439590801191315,0.0002501572808437202,0.0003178051175310735
79,0.00024556685192290604,3.337171334941964e-05,0.00020028293702298669,0.0002423870448719352,0.0002481672986120057
80,0.00019053523831148925,7.530463303824732e-05,0.0002108904302079711,0.0002747805675399281,3.980877275322293e-05
81,0.00023123189909282272,3.6301770114606726e-05,0.000231353284399344,0.00021571648152814084,0.00014506079084561016
82,0.00023924227913731837,4.527317740701724e-05,0.00019555836449631383,0.0003398257739697659,0.0001990035402656076
83,0.00023327666647853835,0.00014073715713794813,0.0002052046400340007,0.0003692554155904304,0.00016930373846149038
84,0.0002253673134990073,3.2871162448245066e-05,0.00018332659874786827,0.0001973252986726798,0.0001281146769288588
