step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-actor/lr_step
77,1e-05,1e-05,1e-05,8.897969280507494e-06,8.775521422786104e-06
78,1e-05,1e-05,1e-05,8.865810546179731e-06,8.739789495755254e-06
79,1e-05,1e-05,1e-05,8.833256819061128e-06,8.703618687845697e-06
80,1e-05,1e-05,1e-05,8.800311919475902e-06,8.667013243862113e-06
81,1e-05,1e-05,1e-05,8.76697971365409e-06,8.629977459615653e-06
82,1e-05,1e-05,1e-05,8.73326411327783e-06,8.59251568141981e-06
83,1e-05,1e-05,1e-05,8.69916907502232e-06,8.554632305580355e-06
84,1e-05,1e-05,1e-05,8.664698600091462e-06,8.516331777879399e-06
85,1e-05,1e-05,1e-05,8.629856733748325e-06,8.477618593053693e-06
86,1e-05,1e-05,1e-05,8.594647564840407e-06,8.438497294267117e-06
87,1e-05,1e-05,1e-05,8.559075225319786e-06,8.39897247257754e-06
88,1e-05,1e-05,1e-05,8.523143889758227e-06,8.359048766398032e-06
89,1e-05,1e-05,1e-05,8.48685777485727e-06,8.318730860952523e-06
90,1e-05,1e-05,1e-05,8.450221138953383e-06,8.278023487725981e-06
91,1e-05,1e-05,1e-05,8.413238281518225e-06,8.236931423909138e-06
92,1e-05,1e-05,1e-05,8.375913542654093e-06,8.19545949183788e-06
93,1e-05,1e-05,1e-05,8.338251302584579e-06,8.15361255842731e-06
94,1e-05,1e-05,1e-05,8.300255981140544e-06,8.111395534600604e-06
95,1e-05,1e-05,1e-05,8.26193203724142e-06,8.068813374712689e-06
96,1e-05,1e-05,1e-05,8.223283968371945e-06,8.025871075968828e-06
97,1e-05,1e-05,1e-05,8.184316310054356e-06,7.982573677838172e-06
98,1e-05,1e-05,1e-05,8.145033635316131e-06,7.938926261462366e-06
99,1e-05,1e-05,1e-05,8.10544055415332e-06,7.894933949059245e-06
100,1e-05,1e-05,1e-05,8.065541712989546e-06,7.850601903321717e-06
101,1e-05,1e-05,1e-05,8.025341794130722e-06,7.805935326811913e-06
102,1e-05,1e-05,1e-05,7.984845515215559e-06,7.760939461350622e-06
103,1e-05,1e-05,1e-05,7.94405762866195e-06,7.715619587402165e-06
104,1e-05,1e-05,1e-05,7.902982921109215e-06,7.669981023454682e-06
105,1e-05,1e-05,1e-05,7.861626212856404e-06,7.624029125396004e-06
106,1e-05,1e-05,1e-05,7.8199923572966e-06,7.57776928588511e-06
107,1e-05,1e-05,1e-05,7.778086240347345e-06,7.5312069337192695e-06
108,1e-05,1e-05,1e-05,7.735912779877266e-06,7.4843475331969614e-06
109,1e-05,1e-05,1e-05,7.693476925128937e-06,7.437196583476596e-06
110,1e-05,1e-05,1e-05,7.650783656138065e-06,7.389759617931183e-06
111,1e-05,1e-05,1e-05,7.607837983149057e-06,7.342042203498952e-06
112,1e-05,1e-05,1e-05,7.56464494602705e-06,7.294049940030055e-06
113,1e-05,1e-05,1e-05,7.5212096136664575e-06,7.245788459629396e-06
114,1e-05,1e-05,1e-05,7.477537083396114e-06,7.197263425995682e-06
115,1e-05,1e-05,1e-05,7.433632480381085e-06,7.1484805337567586e-06
116,1e-05,1e-05,1e-05,7.389500957021192e-06,7.099445507801324e-06
117,1e-05,1e-05,1e-05,7.345147692346374e-06,7.050164102607081e-06
118,1e-05,1e-05,1e-05,7.300577891408891e-06,7.000642101565434e-06
119,1e-05,1e-05,1e-05,7.255796784672495e-06,6.950885316302772e-06
120,1e-05,1e-05,1e-05,7.2108096273986145e-06,6.90089958599846e-06
121,1e-05,1e-05,1e-05,7.165621699029617e-06,6.850690776699574e-06
122,1e-05,1e-05,1e-05,7.1202383025692445e-06,6.800264780632494e-06
123,1e-05,1e-05,1e-05,7.0746647639602994e-06,6.749627515511442e-06
124,1e-05,1e-05,1e-05,7.028906431459595e-06,6.698784923843993e-06
125,1e-05,1e-05,1e-05,6.982968675010333e-06,6.647742972233703e-06
126,1e-05,1e-05,1e-05,6.936856885611911e-06,6.5965076506799e-06
127,1e-05,1e-05,1e-05,6.8905764746872645e-06,6.545084971874738e-06
128,1e-05,1e-05,1e-05,6.844132873447812e-06,6.493480970497569e-06
129,1e-05,1e-05,1e-05,6.797531532256081e-06,6.4417017025067545e-06
130,1e-05,1e-05,1e-05,6.750777919986076e-06,6.389753244428973e-06
131,1e-05,1e-05,1e-05,6.7038775233814945e-06,6.337641692646106e-06
132,1e-05,1e-05,1e-05,6.656835846411824e-06,6.285373162679803e-06
133,1e-05,1e-05,1e-05,6.609658409626431e-06,6.2329537884738115e-06
134,1e-05,1e-05,1e-05,6.562350749506691e-06,6.180389721674101e-06
135,1e-05,1e-05,1e-05,6.514918417816274e-06,6.127687130906972e-06
136,1e-05,1e-05,1e-05,6.46736698094961e-06,6.0748522010551205e-06
137,1e-05,1e-05,1e-05,6.419702019278642e-06,6.021891132531824e-06
138,1e-05,1e-05,1e-05,6.371929126497965e-06,5.9688101405532915e-06
139,1e-05,1e-05,1e-05,6.324053908968354e-06,5.9156154544092805e-06
140,1e-05,1e-05,1e-05,6.276081985058857e-06,5.862313316732064e-06
141,1e-05,1e-05,1e-05,6.228018984487443e-06,5.808909982763824e-06
142,1e-05,1e-05,1e-05,6.179870547660326e-06,5.755411719622584e-06
143,1e-05,1e-05,1e-05,6.131642325010051e-06,5.701824805566722e-06
144,1e-05,1e-05,1e-05,6.083339976332377e-06,5.648155529258195e-06
145,1e-05,1e-05,1e-05,6.03496917012208e-06,5.594410189024532e-06
146,1e-05,1e-05,1e-05,5.98653558290774e-06,5.540595092119709e-06
147,1e-05,1e-05,1e-05,5.9380448985855545e-06,5.4867165539839505e-06
148,1e-05,1e-05,1e-05,5.889502807752329e-06,5.432780897502587e-06
149,1e-05,1e-05,1e-05,5.840915007037647e-06,5.378794452264053e-06
150,1e-05,1e-05,1e-05,5.792287198435349e-06,5.3247635538170536e-06
151,1e-05,1e-05,1e-05,5.743625088634379e-06,5.270694542927089e-06
152,1e-05,1e-05,1e-05,5.694934388349082e-06,5.2165937648323115e-06
153,1e-05,1e-05,1e-05,5.646220811649013e-06,5.1624675684989035e-06
154,1e-05,1e-05,1e-05,5.59749007528839e-06,5.108322305875988e-06
155,1e-05,1e-05,1e-05,5.5487478980351805e-06,5.0541643311501986e-06
156,1e-05,1e-05,1e-05,5.500000000000001e-06,4.9999999999999996e-06
157,1e-05,1e-05,1e-05,5.451252101964821e-06,4.9458356688498006e-06
158,1e-05,1e-05,1e-05,5.402509924711613e-06,4.891677694124013e-06
159,1e-05,1e-05,1e-05,5.353779188350989e-06,4.837532431501098e-06
160,1e-05,1e-05,1e-05,5.30506561165092e-06,4.783406235167689e-06
161,1e-05,1e-05,1e-05,5.256374911365623e-06,4.729305457072913e-06
162,1e-05,1e-05,1e-05,5.207712801564652e-06,4.6752364461829456e-06
163,1e-05,1e-05,1e-05,5.159084992962354e-06,4.621205547735949e-06
164,1e-05,1e-05,1e-05,5.110497192247671e-06,4.567219102497413e-06
165,1e-05,1e-05,1e-05,5.061955101414448e-06,4.513283446016052e-06
166,1e-05,1e-05,1e-05,5.013464417092263e-06,4.459404907880293e-06
167,1e-05,1e-05,1e-05,4.9650308298779215e-06,4.405589810975468e-06
168,1e-05,1e-05,1e-05,4.916660023667627e-06,4.351844470741808e-06
169,1e-05,1e-05,1e-05,4.868357674989951e-06,4.298175194433279e-06
170,1e-05,1e-05,1e-05,4.820129452339677e-06,4.2445882803774165e-06
171,1e-05,1e-05,1e-05,4.7719810155125605e-06,4.191090017236177e-06
172,1e-05,1e-05,1e-05,4.723918014941144e-06,4.137686683267939e-06
173,1e-05,1e-05,1e-05,4.675946091031648e-06,4.0843845455907195e-06
174,1e-05,1e-05,1e-05,4.628070873502038e-06,4.0311898594467084e-06
175,1e-05,1e-05,1e-05,4.5802979807213585e-06,3.978108867468176e-06
176,1e-05,1e-05,1e-05,4.532633019050393e-06,3.9251477989448795e-06
177,1e-05,1e-05,1e-05,4.4850815821837265e-06,3.87231286909303e-06
178,1e-05,1e-05,1e-05,4.43764925049331e-06,3.8196102783259e-06
179,1e-05,1e-05,1e-05,4.390341590373572e-06,3.7670462115261905e-06
180,1e-05,1e-05,1e-05,4.3431641535881755e-06,3.7146268373201948e-06
181,1e-05,1e-05,1e-05,4.296122476618508e-06,3.662358307353897e-06
182,1e-05,1e-05,1e-05,4.2492220800139264e-06,3.6102467555710294e-06
183,1e-05,1e-05,1e-05,4.202468467743923e-06,3.5582982974932463e-06
184,1e-05,1e-05,1e-05,4.155867126552191e-06,3.5065190295024342e-06
185,1e-05,1e-05,1e-05,4.109423525312738e-06,3.4549150281252635e-06
186,1e-05,1e-05,1e-05,4.063143114388091e-06,3.4034923493201007e-06
187,1e-05,1e-05,1e-05,4.0170313249896694e-06,3.352257027766298e-06
188,1e-05,1e-05,1e-05,3.971093568540407e-06,3.3012150761560085e-06
189,1e-05,1e-05,1e-05,3.925335236039703e-06,3.250372484488558e-06
190,1e-05,1e-05,1e-05,3.879761697430756e-06,3.199735219367507e-06
191,1e-05,1e-05,1e-05,3.834378300970385e-06,3.149309223300428e-06
192,1e-05,1e-05,1e-05,3.789190372601387e-06,3.09910041400154e-06
193,1e-05,1e-05,1e-05,3.744203215327505e-06,3.049114683697227e-06
194,1e-05,1e-05,1e-05,3.69942210859111e-06,2.9993578984345673e-06
195,1e-05,1e-05,1e-05,3.6548523076536285e-06,2.9498358973929197e-06
196,1e-05,1e-05,1e-05,3.6104990429788102e-06,2.9005544921986774e-06
197,1e-05,1e-05,1e-05,3.566367519618918e-06,2.8515194662432423e-06
198,1e-05,1e-05,1e-05,3.522462916603887e-06,2.8027365740043184e-06
199,1e-05,1e-05,1e-05,3.4787903863335464e-06,2.7542115403706067e-06
200,1e-05,1e-05,1e-05,3.435355053972954e-06,2.705950059969948e-06
201,1e-05,1e-05,1e-05,3.392162016850945e-06,2.65795779650105e-06
202,1e-05,1e-05,1e-05,3.349216343861936e-06,2.610240382068818e-06
203,1e-05,1e-05,1e-05,3.3065230748710655e-06,2.562803416523405e-06
204,1e-05,1e-05,1e-05,3.2640872201227364e-06,2.51565246680304e-06
205,1e-05,1e-05,1e-05,3.2219137596526567e-06,2.46879306628073e-06
206,1e-05,1e-05,1e-05,3.1800076427034016e-06,2.422230714114891e-06
207,1e-05,1e-05,1e-05,3.1383737871435977e-06,2.375970874603998e-06
208,1e-05,1e-05,1e-05,3.0970170788907878e-06,2.33001897654532e-06
209,1e-05,1e-05,1e-05,3.055942371338052e-06,2.2843804125978356e-06
210,1e-05,1e-05,1e-05,3.0151544847844385e-06,2.2390605386493758e-06
211,1e-05,1e-05,1e-05,2.9746582058692803e-06,2.1940646731880887e-06
212,1e-05,1e-05,1e-05,2.9344582870104545e-06,2.149398096678283e-06
213,1e-05,1e-05,1e-05,2.8945594458466822e-06,2.1050660509407583e-06
214,1e-05,1e-05,1e-05,2.854966364683872e-06,2.061073738537635e-06
215,1e-05,1e-05,1e-05,2.815683689945648e-06,2.0174263221618302e-06
216,1e-05,1e-05,1e-05,2.7767160316280583e-06,1.9741289240311757e-06
217,1e-05,1e-05,1e-05,2.738067962758582e-06,1.9311866252873126e-06
218,1e-05,1e-05,1e-05,2.699744018859457e-06,1.8886044653993966e-06
219,1e-05,1e-05,1e-05,2.6617486974154233e-06,1.846387441572692e-06
220,1e-05,1e-05,1e-05,2.6240864573459095e-06,1.8045405081621215e-06
221,1e-05,1e-05,1e-05,2.5867617184817773e-06,1.7630685760908621e-06
222,1e-05,1e-05,1e-05,2.5497788610466186e-06,1.7219765122740202e-06
223,1e-05,1e-05,1e-05,2.5131422251427313e-06,1.6812691390474786e-06
224,1e-05,1e-05,1e-05,2.476856110241774e-06,1.6409512336019699e-06
225,1e-05,1e-05,1e-05,2.440924774680215e-06,1.6010275274224609e-06
226,1e-05,1e-05,1e-05,2.4053524351595952e-06,1.561502705732883e-06
227,1e-05,1e-05,1e-05,2.3701432662516776e-06,1.5223814069463077e-06
228,1e-05,1e-05,1e-05,2.3353013999085407e-06,1.4836682221206e-06
229,1e-05,1e-05,1e-05,2.3008309249776836e-06,1.4453676944196475e-06
230,1e-05,1e-05,1e-05,2.26673588672217e-06,1.4074843185801885e-06
231,1e-05,1e-05,1e-05,2.2330202863459123e-06,1.370022540384347e-06
232,1e-05,1e-05,1e-05,2.1996880805241e-06,1.332986756137889e-06
233,1e-05,1e-05,1e-05,2.166743180938875e-06,1.296381312154305e-06
234,1e-05,1e-05,1e-05,2.134189453820273e-06,1.260210504244747e-06
235,1e-05,1e-05,1e-05,2.1020307194925083e-06,1.224478577213897e-06
236,1e-05,1e-05,1e-05,2.070270751925637e-06,1.1891897243618184e-06
237,1e-05,1e-05,1e-05,2.03891327829267e-06,1.1543480869918553e-06
238,1e-05,1e-05,1e-05,2.007961978532172e-06,1.1199577539246348e-06
239,1e-05,1e-05,1e-05,1.9774204849164004e-06,1.0860227610182222e-06
240,1e-05,1e-05,1e-05,1.947292381625043e-06,1.052547090694492e-06
241,1e-05,1e-05,1e-05,1.917581204324603e-06,1.0195346714717813e-06
242,1e-05,1e-05,1e-05,1.8882904397534709e-06,9.869893775038558e-07
243,1e-05,1e-05,1e-05,1.8594235253127369e-06,9.549150281252633e-07
244,1e-05,1e-05,1e-05,1.8309838486627997e-06,9.233153874031103e-07
245,1e-05,1e-05,1e-05,1.8029747473258094e-06,8.921941636953434e-07
246,1e-05,1e-05,1e-05,1.7753995082939932e-06,8.615550092155479e-07
247,1e-05,1e-05,1e-05,1.748261367643915e-06,8.314015196043501e-07
248,1e-05,1e-05,1e-05,1.7215635101567038e-06,8.017372335074485e-07
249,1e-05,1e-05,1e-05,1.6953090689443074e-06,7.725656321603414e-07
250,1e-05,1e-05,1e-05,1.6695011250818096e-06,7.43890138979788e-07
251,1e-05,1e-05,1e-05,1.6441427072458497e-06,7.157141191620548e-07
252,1e-05,1e-05,1e-05,1.6192367913591922e-06,6.880408792879904e-07
253,1e-05,1e-05,1e-05,1.594786300241494e-06,6.60873666934993e-07
254,1e-05,1e-05,1e-05,1.570794103266297e-06,6.342156702958851e-07
255,1e-05,1e-05,1e-05,1.5472630160242924e-06,6.080700178047688e-07
256,1e-05,1e-05,1e-05,1.5241957999928978e-06,5.824397777698859e-07
257,1e-05,1e-05,1e-05,1.5015951622121898e-06,5.573279580135438e-07
258,1e-05,1e-05,1e-05,1.4794637549672189e-06,5.327375055191312e-07
259,1e-05,1e-05,1e-05,1.457804175476751e-06,5.086713060852788e-07
260,1e-05,1e-05,1e-05,1.436618965588472e-06,4.851321839871907e-07
261,1e-05,1e-05,1e-05,1.4159106114806945e-06,4.6212290164521554e-07
262,1e-05,1e-05,1e-05,1.3956815433705868e-06,4.3964615930065126e-07
263,1e-05,1e-05,1e-05,1.3759341352289834e-06,4.1770459469887003e-07
264,1e-05,1e-05,1e-05,1.3566707045017869e-06,3.963007827797627e-07
265,1e-05,1e-05,1e-05,1.337893511838001e-06,3.754372353755559e-07
266,1e-05,1e-05,1e-05,1.319604760824439e-06,3.5511640091604293e-07
267,1e-05,1e-05,1e-05,1.3018065977271215e-06,3.35340664141246e-07
268,1e-05,1e-05,1e-05,1.2845011112394002e-06,3.161123458215554e-07
269,1e-05,1e-05,1e-05,1.2676903322368427e-06,2.974337024853802e-07
270,1e-05,1e-05,1e-05,1.2513762335389006e-06,2.7930692615433353e-07
271,1e-05,1e-05,1e-05,1.2355607296773896e-06,2.617341440859883e-07
272,1e-05,1e-05,1e-05,1.2202456766718094e-06,2.447174185242324e-07
273,1e-05,1e-05,1e-05,1.2054328718115336e-06,2.2825874645725945e-07
274,1e-05,1e-05,1e-05,1.1911240534448903e-06,2.1236005938321092e-07
275,1e-05,1e-05,1e-05,1.1773209007751562e-06,1.9702322308350677e-07
276,1e-05,1e-05,1e-05,1.1640250336634973e-06,1.8225003740388544e-07
277,1e-05,1e-05,1e-05,1.15123801243887e-06,1.6804223604318825e-07
278,1e-05,1e-05,1e-05,1.138961337714909e-06,1.544014863498983e-07
279,1e-05,1e-05,1e-05,1.1271964502138254e-06,1.413293891264722e-07
280,1e-05,1e-05,1e-05,1.1159447305973317e-06,1.2882747844147893e-07
281,1e-05,1e-05,1e-05,1.10520749930461e-06,1.1689722144956673e-07
282,1e-05,1e-05,1e-05,1.0949860163973618e-06,1.0554001821929061e-07
283,1e-05,1e-05,1e-05,1.0852814814119245e-06,9.47572015688042e-08
284,1e-05,1e-05,1e-05,1.076095033218506e-06,8.455003690945039e-08
285,1e-05,1e-05,1e-05,1.0674277498875329e-06,7.491972209725808e-08
286,1e-05,1e-05,1e-05,1.059280648563133e-06,6.58673872923693e-08
287,1e-05,1e-05,1e-05,1.051654685343769e-06,5.739409482640956e-08
288,1e-05,1e-05,1e-05,1.0445507551700365e-06,4.9500839077817326e-08
289,1e-05,1e-05,1e-05,1.0379696917196378e-06,4.218854635515301e-08
290,1e-05,1e-05,1e-05,1.0319122673095492e-06,3.5458074788387585e-08
