step,deepseek1.5b_sync_8gpu_advvar_ent_lr1e-5-actor/entropy_step,deepseek1.5b_sync_8gpu_ent0.1_lr1e-5-actor/entropy_step,deepseek1.5b_sync_8gpu_ent0.001_lr1e-5-actor/entropy_step,deepseek1.5b_sync_8gpu_cosine_floor_lr1e-5-actor/entropy_step,deepseek1.5b_sync_8gpu_cosine_ent0.01_lr1e-5-actor/entropy_step
1,0.6824216822098041,0.6811486664119848,0.6819541845893995,0.6745933890342712,0.6845869475721635
2,0.6779184011013611,0.6713317305995867,0.6746113919294797,0.6682116389274597,0.670164023971428
3,0.6846924567042472,0.7177114699977439,0.6806427451198572,0.6766148209571838,0.6935749966651201
4,0.6656648152078806,0.8369957520316045,0.671444615222175,0.6621880531311035,0.7286731341646777
5,0.674377924121626,1.21181900790903,0.6983456837944686,0.6849410533905029,0.7980012829619937
6,0.6235778096281452,1.6564373751373396,0.6394871381997336,0.6312911510467529,0.7941718550229614
7,0.6335524172522128,2.882490292002883,0.6348661077805818,0.6267305016517639,0.8342151481439085
8,0.6399093716190412,9.42129318995608,0.6355100383516401,0.6167620420455933,0.9381551386415958
9,0.6616279475652335,10.445251038199975,0.6356719200100217,0.6332229375839233,1.042047084788933
10,0.6281977112136655,10.96484282132118,0.572907689632031,0.5676036477088928,1.1313268540031982
11,0.6055132281478672,11.354729122349196,0.5661609033443804,0.557937741279602,1.3291913631061714
12,0.6304541654114065,11.4955489530898,0.5716368740178505,0.5380229949951172,1.5056311184609381
13,0.5243320497018951,11.605641228181344,0.5201584257052413,0.49213823676109314,1.9073256305894073
14,0.5314691923558712,11.734360305162577,0.5217320931932101,0.5044010877609253,3.74261143632854
15,0.5212964561457436,11.767099628081688,0.5093390897233435,0.4834943413734436,5.01483381477495
16,0.5328913501099399,11.846103208715263,0.5237903770266308,0.48574650287628174,3.82659632133113
17,0.5026337553335484,11.8596262383461,0.4734264641468014,0.45011645555496216,4.5184129165751585
18,0.4694257167781272,11.87380518050904,0.46876364691955286,0.4291664958000183,5.643421491279321
19,0.4904048514035013,11.880020450572578,0.4571034757509118,0.4411453604698181,6.5948801171034575
20,0.4741900383960456,11.889274052853857,0.5001328572804151,0.44246184825897217,7.14817050298055
21,0.4606519696804193,11.893693525057571,0.4674178141316301,0.4287847578525543,8.357257320483525
22,0.4324237305670977,11.89744926929474,0.46299103002359226,0.4037937521934509,8.850729574050222
23,0.4486373363062739,11.900151990078111,0.47086711518119934,0.4269787967205048,9.855434222221374
24,0.4334567947169909,11.902326687024187,0.459712084941566,0.40816378593444824,10.74069390296936
25,0.4052444664295763,11.904289827897,0.4388132128154948,0.39704641699790955,11.371917789181074
26,0.42338069821042673,11.905980698916377,0.44355875890442104,0.39130932092666626,11.543966105351082
27,0.42299591359638034,11.906924729444542,0.4450685374755808,0.3989741206169128,11.698294972380005
28,0.42876164012012025,11.908652875734411,0.44464680498335946,0.3969436287879944,11.759742073390797
29,0.3974466993424453,11.909573837466862,0.4218466484120914,0.38492605090141296,11.797982784834774
30,0.4142689338726241,11.910488045733908,0.41625628706703827,0.3868051767349243,11.824442196976054
31,0.40877661091231166,11.911563071337612,0.43439854042870657,0.39039960503578186,11.839837263027826
32,0.4129271022088471,11.912482311990528,0.409316843209256,0.3697503209114074,11.852144465446472
33,0.40414193290762784,11.91316516664293,0.42360356281555833,0.38065049052238464,11.860661591092745
34,0.4108737956732512,11.913696375760166,0.4067395403981209,0.3707024753093719,11.866884264945984
35,0.3708068020073924,11.914325666427612,0.39556130104113457,0.3581298887729645,11.873262917553935
36,0.3998684288370748,11.915250162689054,0.4116640678710408,0.3632078468799591,11.877638054745535
37,0.363525357551691,11.915869402388733,0.39846356661014615,0.3373538851737976,11.881173902544482
38,0.3762334369791624,11.916174358251144,0.3992549023590982,0.3494030237197876,11.88404066647802
39,0.3796276083393466,11.91676764585534,0.4079746410605453,0.34932640194892883,11.885723025710494
40,0.3600614941900685,11.917304962239369,0.38784247011478457,0.33798569440841675,11.885527376775388
41,0.3707828491127917,11.917189180850984,0.4174629157727085,0.35072484612464905,11.889135152101517
42,0.35527425401267554,11.917988395149058,0.38512179941277613,0.33213335275650024,11.891685724258425
43,0.3338727336598649,11.918293463147204,0.36519555060399905,0.3106876611709595,11.89160269015544
44,0.34697137732149624,11.918818448865135,0.38877767466363455,0.32096320390701294,11.892758797954867
45,0.34332527152516623,11.919334446059333,0.3890798473523723,0.31096553802490234,11.894708444995263
46,0.3309981121522625,11.919634755919962,0.37328935889083714,0.3099636435508728,11.894223582744598
47,0.3108143331039519,11.919963013667326,0.362875120121647,0.3062822222709656,11.89718257529395
48,0.33167479400123867,11.920178264902349,0.37409738411328625,0.3037760257720947,11.89880781248212
49,0.3011350459197447,11.920343489017126,0.34640559150526923,0.2820833921432495,11.899947027902346
50,0.31126127731150544,11.92052285029338,0.3495156549005991,0.2862699627876282,11.900187231245496
51,0.2804054984357208,11.92109200816888,0.33830269736548263,0.26921847462654114,11.899898455256508
52,0.28411824508969274,11.921181162198383,0.32269652591397363,0.26223286986351013,11.901274503888311
53,0.279833600576967,11.921038389205933,0.33037688454524394,0.2755965292453766,11.90239398347007
54,0.28003853302297377,11.921371160768995,0.33940386974824255,0.27807334065437317,11.903911299175686
55,0.2831435091793537,11.92167866230011,0.3446955416085465,0.2787764072418213,11.904428504762196
56,0.2821568313853017,11.921772743264832,0.34265396011654625,0.27366432547569275,11.905323707539102
57,0.2637283403474169,11.92197565237681,0.3352017521503426,0.2654682397842407,11.905393198132517
58,0.2607036264329825,11.92204356700816,0.3201407421041619,0.2608700096607208,11.90531616906325
59,0.25873314783993095,11.92239340222799,0.30450898614204064,0.25487977266311646,11.905395597219467
60,0.27827082665333913,11.922617888450622,0.33953484833579173,0.2708488702774048,11.907472575252706
61,0.2708520444575697,11.92291884972499,0.3292132319289852,0.2607058882713318,11.90791982141408
62,0.2655374587823947,11.92304559670962,0.31436192084636005,0.2579684257507324,11.909043836096922
63,0.25039514905603777,11.92320599671333,0.3020701190663709,0.23398016393184665,11.908695220947266
64,0.26251381062902507,11.923286163200766,0.32918075614032294,0.246833011507988,11.90935462825703
65,0.2515092809307611,11.923550459845313,0.2928105876357718,0.23420114815235135,11.90919129206584
66,0.22546546772078035,11.923650074813326,0.29348102261693304,0.22706055641174316,11.910291311832577
67,0.2418815145557303,11.923848448197049,0.28658900781407615,0.22887438535690308,11.910754359685455
68,0.20829752082719877,11.924029971322703,0.2700229875150729,0.21097175776958463,11.911642838801656
69,0.21861440609098368,11.924155460249994,0.2792277050515016,0.21602115035057068,11.911402761936188
70,0.21386555968118565,11.924260875871104,0.27162052865099645,0.2181715965270996,11.910162859275692
71,0.24102228064169515,11.924207422270705,0.28868309619526067,0.2270971387624741,11.912235425364589
72,0.241593902757348,11.924333157906164,0.2962310568672483,0.23671016097068787,11.912395421415567
73,0.22611793490969356,11.924530265728633,0.281267909290777,0.2082589715719223,11.91172422170639
74,0.21298630732450297,11.924578699909272,0.2801501535122161,0.2057282328605652,11.912539969410812
75,0.2086851528729312,11.924774410232663,0.2707008613066541,0.2061537206172943,11.913573460332278
76,0.2342185120484451,11.924849795572683,0.2827678363431584,0.22195297479629517,11.914054857146356
77,0.21012510140943855,11.924919885973775,0.26251187377973745,0.20141291618347168,11.912851942308022
78,0.21055744206976323,11.92510389512585,0.2630756705513467,0.2062520980834961,11.91127515250239
79,0.21159276440316305,11.925070964520977,0.2624220772970306,0.2059531211853027,11.914116850921086
80,0.21104223564976737,11.92515028484406,0.25804907040049635,0.200382798910141,11.91400956501395
81,0.21276702134586548,11.925249599641369,0.2668487797896175,0.20002451539039612,11.914195027202368
82,0.21202211556512685,11.925280979185391,0.2621669341486109,0.20162492990493777,11.912772438923518
83,0.21274767764085947,11.925482966349676,0.2736333787234293,0.20213662087917328,11.91430915792783
84,0.19743412440376623,11.925505663409378,0.24821522723968056,0.191648468375206,11.91521276831627
85,0.2103188641612297,11.92552050857833,0.25217799856228396,0.18950816988945007,11.915474163161385
86,0.1945981054090052,11.925652290147449,0.23249879720705477,0.18527042865753177,11.915170452811502
87,0.20177866917635712,11.925527662941905,0.23157698846318656,0.18622885644435885,11.914619172773053
88,0.1871501414238342,11.925723690253038,0.22164841476413935,0.17814400792121887,11.916429626941682
89,0.1859939860364119,11.925962913781404,0.2173750999561967,0.1785363107919693,11.916861091341293
90,0.1878583920881197,11.925885246350216,0.2168873192664857,0.173090860247612,11.916362366893075
91,0.18972798369248353,11.925995900080752,0.21416029753163457,0.1794387698173523,11.915023915229304
92,0.186129535093557,11.926016974098545,0.21068398359542093,0.178030326962471,11.917183568400722
93,0.18250127027674415,11.926082078148337,0.21632455324288455,0.1807753294706345,11.917494839057326
94,0.1859835407563618,11.926079840802435,0.22198158494652587,0.18401025235652924,11.917503627378547
95,0.1722736595198512,11.925928884477758,0.19878021532415663,0.16699574887752533,11.91651791153532
96,0.16842746698585823,11.926113206948807,0.1855100843771968,0.15602315962314606,11.91711567026196
97,0.17598459587954896,11.92607031006744,0.1942954333499074,0.16940662264823914,11.917930444081623
98,0.18079749237568607,11.926068715427231,0.1881830536938728,0.17022345960140228,11.918486218242084
99,0.1638554830015415,11.926133646893858,0.16578265512362125,0.15156568586826324,11.907290356746618
100,0.1642030858201906,11.926299867263207,0.1654045669685887,0.15985485911369324,11.917213979995612
101,0.16253082894879145,11.926368484130272,0.1606894351636119,0.15936703979969025,11.912180665610492
102,0.16405352053143796,11.926287750403086,0.1656428994403945,0.15934935212135315,11.91297079196998
103,0.1534736764927705,11.926418244838716,0.15088925874927858,0.14687491953372955,11.909988744391336
104,0.16465061085107618,11.926319613176233,0.1629867207428271,0.15563037991523743,11.908329792022704
105,0.16685305555246918,11.926460186072758,0.15755674612327394,0.1561215966939926,11.910361073233863
106,0.16043607846205665,11.926450779472573,0.1489639141389331,0.14237236976623535,11.913120308092662
107,0.15887796275395277,11.926417512819173,0.1459875536772112,0.14527791738510132,11.915095767554115
108,0.15668956959797511,11.926436556503177,0.12859564424624018,0.1385018229484558,11.915537029504776
109,0.14665472968703225,11.926550406676071,0.11694640142504004,0.12931106984615326,11.916158087875532
110,0.15231195065592018,11.926262535266025,0.12673247863228124,0.1370382308959961,11.916499797503151
111,0.1578966881192866,11.92677346684716,0.1326158472498798,0.1367393285036087,11.916529825755529
112,0.1480377026406738,11.9266299728085,0.1277442729571538,0.12874199450016022,11.916863889229006
113,0.16579698281388522,11.92668901609652,0.1402851447371928,0.13519778847694397,11.917576934980309
114,0.15080678929752184,11.927043811841443,0.13305690335919676,0.12071579694747923,11.91794414281845
